时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,3.9885807387660055,64447760.57338341,-7.275957614183426e-12,451.9492513082257,2.9541947855809263,0.4990776183573787,0.14703108819817215,0.008804141426693238,3.1656978265173437,1195.4420768997156,2.6222761299377115,9.353890151911425,386.5938664407611,2.6222761299377115,9.353890151911425,386.5938664407611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.9885807387660055,64447760.57338341,-7.275957614183426e-12,451.9492513082257,2.9541947855809263,0.4990776183573787,0.14703108819817215,0.008804141426693238,3.1656978265173437,1195.4420768997156,2.6222761299377115,9.353890151911425,386.5938664407611,2.6222761299377115,9.353890151911425,386.5938664407611,6.391741210241305,-4.238262458976292e-06,-7.83913918226094e-07,6.759261851926278e-06,-2.2472429710383478e-05,2.9465669830065305e-05,-6.315662813202861e-05,5.5022212632906145e-05,-0.0001142733416953589,7.692408685287298e-05,-0.0001644075735438881,9.086684081421901e-05,-0.00020217293329004632,9.550267547405219e-05,-0.000218421808225723,9.236878253626599e-05,-0.00020802581717201539,8.505160386872142e-05,-0.00017084736820992328,7.784436987476181e-05,-0.00011176560953888071,7.427114175132446e-05,-3.97424731644277e-05,7.590341849106477e-05,3.390441212858152e-05,8.183207068028405e-05,9.770158808453593e-05,8.897672726510287e-05,0.00014225612508199272,9.315743329966045e-05,0.0001620669566439961,9.06039969966868e-05,0.00015653308496002403,7.94267149597274e-05,0.00012996264334137273,6.056328511484282e-05,9.059120144986878e-05,3.7883350404437945e-05,4.885195361033926e-05,1.734986646689791e-05,1.5208187416247588e-05,4.216266004231088e-06,-8.084535689644593e-07
3,3.9885807387660055,64447760.57338341,-7.275957614183426e-12,451.9492513082257,2.9541947855809263,0.4990776183573787,0.14703108819817215,0.008804141426693238,3.1656978265173437,1195.4420768997156,2.6222761299377115,9.353890151911425,386.5938664407611,2.6222761299377115,9.353890151911425,386.5938664407611,14.304329345420193,-9.501368381119575e-06,-1.740952899752883e-06,2.8688385474201997e-05,-7.16593717863861e-05,0.00010408466338984504,-0.0002055670622574134,0.00018903891281486034,-0.00037439028156716357,0.0002619310025525113,-0.0005400093329540503,0.00030834450271150247,-0.0006640834331005354,0.0003236858481079121,-0.0007156809922424775,0.00031301866736990655,-0.0006774081548350219,0.00028833680342623785,-0.0005487975269693505,0.00026409319123683916,-0.00034645853112188563,0.0002522139335537277,-0.00010094274309363354,0.00025803561910113314,0.00014912993715696446,0.00027843452321944746,0.0003646023512384573,0.0003028255846478031,0.0005134690798538591,0.0003168202340482808,0.000577112732806645,0.00030744064484658105,0.0005537598231418773,0.0002682249053356544,0.0004584695531510102,0.00020251552293278782,0.00031972132426762704,0.00012379736557956926,0.00017344623556046166,5.277562320054173e-05,5.565973761860943e-05,9.427130504317017e-06,-1.8246710121085873e-06
4,3.9885807387660055,64447760.57338341,-7.275957614183426e-12,451.9492513082257,2.9541947855809263,0.4990776183573787,0.14703108819817215,0.008804141426693238,3.1656978265173437,1195.4420768997156,2.6222761299377115,9.353890151911425,386.5938664407611,2.6222761299377115,9.353890151911425,386.5938664407611,21.139060072884927,-1.4091934944201097e-05,-2.5231091896133364e-06,9.047848359860605e-05,-0.00018194013720132757,0.00028865325850947976,-0.0005322339120214196,0.0005119407674556295,-0.0009752554700075324,0.0007037846302458265,-0.0014101732068653118,0.0008262736679724152,-0.0017348958189554774,0.0008670027699210293,-0.0018668103317667289,0.0008387952369901545,-0.001759332240821641,0.0007728949166817792,-0.0014111122767602542,0.0007075101250304121,-0.0008665631429965699,0.0006746925404080191,-0.00020761546413948628,0.00068926212736762,0.00046193690752488264,0.0007433206780655678,0.0010367118830003942,0.0008085056621159785,0.0014306231799303378,0.0008457236855892517,0.0015939036124873202,0.0008194729814583605,0.0015224920480004845,0.0007120590812329818,0.0012578203835059754,0.0005327674985814052,0.0008773095650486646,0.0003186727381621526,0.0004780264811966029,0.00012635201706202325,0.00015695202722521148,1.389457247324671e-05,-2.747790613381417e-06
5,3.9885807387660055,64447760.57338341,-7.275957614183426e-12,451.9492513082257,2.9541947855809263,0.4990776183573787,0.14703108819817215,0.008804141426693238,3.1656978265173437,1195.4420768997156,2.6222761299377115,9.353890151911425,386.5938664407611,2.6222761299377115,9.353890151911425,386.5938664407611,23.836159076298856,-1.5948758340052487e-05,-2.784421512310704e-06,0.0001595763016278748,-0.00029670223833477925,0.000486560010174479,-0.0008755790109601953,0.0008548646777484905,-0.0016092409851337123,0.0011717858292499893,-0.0023305565837535825,0.0013750730955285333,-0.002869806977087849,0.0014438356805745235,-0.0030894950641459215,0.0013981853265500254,-0.0029119090855178695,0.0012886582177392175,-0.00233439545931323,0.0011780617192192638,-0.0014302773744340462,0.0011201234175324353,-0.00033536989785342536,0.0011408001725988716,0.0007777885849826803,0.0012283175506187264,0.0017335888763176824,0.0013360745269347329,0.0023883332956849235,0.0013985433442866404,0.0026589552192763555,0.0013555378224463204,0.0025388654970455588,0.0011767027836859921,0.002097437062254691,0.0008774071486257122,0.0014637846922507347,0.0005200492990513495,0.0007992571047380917,0.00019963640014537297,0.0002647773270458803,1.5622017144314577e-05,-3.157859979056572e-06
6,3.9885807387660055,64447760.57338341,-7.275957614183426e-12,451.9492513082257,2.9541947855809263,0.4990776183573787,0.14703108819817215,0.008804141426693238,3.1656978265173437,1195.4420768997156,2.6222761299377115,9.353890151911425,386.5938664407611,2.6222761299377115,9.353890151911425,386.5938664407611,25.214110886584564,-1.693408216289423e-05,-2.880485273023115e-06,0.00022990448825631,-0.00041164306221617807,0.0006854534571460557,-0.0012210410737662877,0.001198455901722769,-0.0022488671336535083,0.0016406424159614407,-0.0032613356534792926,0.0019258100952484272,-0.004020544054330823,0.002024299133141604,-0.00433359129819952,0.001962565326995442,-0.004091165622774627,0.0018093656277313342,-0.0032887811998871218,0.0016516117076342423,-0.002028060355295473,0.001565184150921305,-0.0004981621580052206,0.0015884294782586292,0.0010598432572821326,0.0017070424489904442,0.00239985459696708,0.0018568815832721091,0.003319930085189752,0.001945713247355336,0.00370300994194806,0.0018877136195119034,0.003539477755539841,0.0016388993508666123,0.0029263416419824453,0.001220306637219084,0.0020440947443152364,0.0007198768143696258,0.001117908341867202,0.0002715062114053211,0.0003722121571182093,1.6478247833734838e-05,-3.402627971764093e-06
7,3.9885807387660055,64447760.57338341,-7.275957614183426e-12,451.9492513082257,2.9541947855809263,0.4990776183573787,0.14703108819817215,0.008804141426693238,3.1656978265173437,1195.4420768997156,2.6222761299377115,9.353890151911425,386.5938664407611,2.6222761299377115,9.353890151911425,386.5938664407611,26.043057150372945,-1.7557936056820724e-05,-2.9076335658649435e-06,0.0003006759303582617,-0.000526966596441196,0.0008844125704479637,-0.0015688030015946338,0.0015416550225762142,-0.002894346705747948,0.0021091878248983994,-0.004202878585396147,0.002477282398898102,-0.0051878164846444605,0.002607248744836547,-0.005600362146073954,0.002530928122323511,-0.005299118968434988,0.0023341732897378823,-0.00427718676621515,0.0021274321964542798,-0.0026637735387013564,0.002009158384504553,-0.0007006930332689043,0.0020313359559597354,0.00130283378864356,0.0021785346660061363,0.0030300818897619967,0.0023698727907792067,0.004220278637405399,0.0024862337899975036,0.0047216180972028884,0.0024152420489026226,0.004520817341894972,0.0020982810378750707,0.0037420393503801437,0.0015615373092520283,0.0026166737967600467,0.0009185935595610981,0.0014331315260016902,0.0003426077955814279,0.00047885465643637246,1.6973439469313047e-05,-3.5781937046482486e-06
8,3.9885807387660055,64447760.57338341,-7.275957614183426e-12,451.9492513082257,2.9541947855809263,0.4990776183573787,0.14703108819817215,0.008804141426693238,3.1656978265173437,1195.4420768997156,2.6222761299377115,9.353890151911425,386.5938664407611,2.6222761299377115,9.353890151911425,386.5938664407611,26.590297172111214,-1.799737036298619e-05,-2.899340998237109e-06,0.00037159548102243365,-0.0006427124510645447,0.0010830484128723508,-0.0019188402491926184,0.0018839559644465765,-0.0035456051325885663,0.0025768011931224344,-0.0051551208732396004,0.0030287938139901436,-0.006371660775693828,0.0031919828910597224,-0.006890043688735926,0.0031026412220840197,-0.006536293822136987,0.0028625629210791217,-0.00530049421020311,0.0026051100629509755,-0.0033386890646354512,0.002451676520354282,-0.0009445967095260623,0.0024691118177608096,0.0015048703890091358,0.0026422949998582304,0.003622297758846236,0.0028744687855112123,0.005087515414624823,0.0030195220566454025,0.005713183680888121,0.0029376442334489395,0.005481644879184238,0.002554561766830505,0.004543663265178908,0.001901035814642376,0.003180984391700142,0.001116319571552256,0.0017446377304302626,0.00041316070839136204,0.0005845679052823269,1.728473395582856e-05,-3.7179204792534486e-06
9,3.9885807387660055,64447760.57338341,-7.275957614183426e-12,451.9492513082257,2.9541947855809263,0.4990776183573787,0.14703108819817215,0.008804141426693238,3.1656978265173437,1195.4420768997156,2.6222761299377115,9.353890151911425,386.5938664407611,2.6222761299377115,9.353890151911425,386.5938664407611,26.972895627191786,-1.8329912541907405e-05,-2.8702969250546205e-06,0.000442513077533558,-0.0007588670277664304,0.001281124210906924,-0.002271049804114809,0.0022250032747496255,-0.0042024440543683515,0.0030429998895922586,-0.006117803185324657,0.0035797638630349713,-0.007571818471928218,0.0037778878108104697,-0.008202448135419158,0.0036771346252793733,-0.007802639342402983,0.003394063980208944,-0.006358849411915421,0.0030842806665166184,-0.004053195121070338,0.0028924322548043004,-0.0012305145100260084,0.002901433186316834,0.0016651030580233166,0.003097922297077354,0.00417554114052636,0.003370184669824462,0.0059206879613467435,0.0035450627781673763,0.0066768641374695134,0.0034544614955812378,0.006421286782267533,0.0030074178052360108,0.0053307260529873,0.0022386474461433543,0.003736712803205174,0.0013130472922155804,0.0020522545942558653,0.0004832445109169836,0.0006892754686098202,1.748974695581209e-05,-3.836407951583659e-06
10,3.9885807387660055,64447760.57338341,-7.275957614183426e-12,451.9492513082257,2.9541947855809263,0.4990776183573787,0.14703108819817215,0.008804141426693238,3.1656978265173437,1195.4420768997156,2.6222761299377115,9.353890151911425,386.5938664407611,2.6222761299377115,9.353890151911425,386.5938664407611,27.250219736382274,-1.859485921761731e-05,-2.8279744594843907e-06,0.0005133349328678284,-0.0008753961105111793,0.0014784632599972266,-0.002625296186479598,0.0025645017375040668,-0.004864610061659906,0.0035073560585679084,-0.007090576099463223,0.004129655504856781,-0.008787893483254946,0.004364378503549506,-0.009537191653127018,0.004253853774855381,-0.009097842690626185,0.00392821433956697,-0.007452069086502899,0.0035645897930614017,-0.004807291965769116,0.003331139516219866,-0.001558660825077994,0.003328008694686572,0.0017831186569596668,0.003545055541187831,0.004689265107146473,0.003856573149203347,0.006719206051386992,0.004062364175084649,0.007612107137883946,0.003965236005350103,0.0073392797425554,0.0034565012939853437,0.006102875342501841,0.0025741729660990384,0.004283620436744399,0.001508713661818322,0.0023558467851360074,0.0005528824506412614,0.0007929208973932496,1.7627863394887844e-05,-3.941045820740414e-06
