时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,10.805031531060184,276232354.0533013,40235.8170531058,5044.621296218958,2.256808970960731,0.26323262476209575,0.10210775818722372,0.015603008813933823,2.336199264857417,546.6796034280871,8.665339032952712,7.61977729634136,557.1630184198417,1.8017077912093915,3.472695370883865,917.8265106301649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,10.805031531060184,276232354.0533013,40235.8170531058,5044.621296218958,2.256808970960731,0.26323262476209575,0.10210775818722372,0.015603008813933823,2.336199264857417,546.6796034280871,8.665339032952712,7.61977729634136,557.1630184198417,1.8017077912093915,3.472695370883865,917.8265106301649,3.140725185998816,-3.0617372414487633e-06,-1.581898847019271e-06,-1.1955483029197775e-06,-1.7432528262259608e-05,7.664069451188166e-06,-4.389423413196189e-05,1.7667474807838553e-05,-7.693972955807216e-05,2.6415820434474143e-05,-0.0001106254517609758,3.235614479094079e-05,-0.00013919804700032758,3.494283721397827e-05,-0.00015799404384646057,3.456377957353333e-05,-0.00016414529025945558,3.227607467467991e-05,-0.000156957265360088,2.9422535202480913e-05,-0.0001379084032402728,2.7220527893737844e-05,-0.00011027883502786753,2.6421658149810814e-05,-7.848111498415258e-05,2.712774048393103e-05,-4.7215944245322775e-05,2.881239547155576e-05,-2.0609342570627473e-05,3.054213041519574e-05,-1.4943907918934868e-06,3.1329720903410424e-05,9.024064377205718e-06,3.050665400045019e-05,1.1638956931897855e-05,2.7988143810916348e-05,8.533399081135864e-06,2.4334178719921435e-05,2.765583307215557e-06,2.057800699021064e-05,-2.5390242649308486e-06,1.4945531139615976e-05,-3.608547318569269e-06
3,10.805031531060184,276232354.0533013,40235.8170531058,5044.621296218958,2.256808970960731,0.26323262476209575,0.10210775818722372,0.015603008813933823,2.336199264857417,546.6796034280871,8.665339032952712,7.61977729634136,557.1630184198417,1.8017077912093915,3.472695370883865,917.8265106301649,7.00712393046656,-6.842556704144636e-06,-3.524902862744538e-06,-1.5452129760911504e-06,-4.1512182480824855e-05,2.0317685928772365e-05,-0.00010592920243062988,4.508561741617657e-05,-0.00018678027213901203,6.679221518088143e-05,-0.00026925669707171995,8.152448182771334e-05,-0.00033880756679300874,8.788753291629697e-05,-0.0003835434923862307,8.685201916204425e-05,-0.0003961303162254628,8.10984749740914e-05,-0.0003748253698700185,7.404162264314005e-05,-0.0003235158297638202,6.87710542998957e-05,-0.0002507789660812412,6.716515665762215e-05,-0.00016815108845609324,6.940546223896518e-05,-8.79248913472922e-05,7.402778259414362e-05,-2.0884008167245707e-05,7.850195822617403e-05,2.5596598834409296e-05,8.016956607610949e-05,4.871893105088576e-05,7.724378856207709e-05,5.047858106971329e-05,6.953741283503975e-05,3.689829162913575e-05,5.866190367498335e-05,1.645821210067326e-05,4.761736711287614e-05,-1.973236196511043e-06,3.338529690178268e-05,-8.073769823762254e-06
4,10.805031531060184,276232354.0533013,40235.8170531058,5044.621296218958,2.256808970960731,0.26323262476209575,0.10210775818722372,0.015603008813933823,2.336199264857417,546.6796034280871,8.665339032952712,7.61977729634136,557.1630184198417,1.8017077912093915,3.472695370883865,917.8265106301649,11.034713681320065,-1.0797519163346062e-05,-5.539407445042641e-06,3.1723630320717037e-07,-7.175678000908505e-05,3.9752155969672434e-05,-0.00018604676335099945,8.451187905609019e-05,-0.0003301282061584786,0.00012377470106933423,-0.0004770302478082889,0.00015036526511310355,-0.00059987508724339,0.0001617026217253717,-0.0006765453133844819,0.00015957666253493927,-0.0006933845328629194,0.00014896186350091793,-0.0006472620405735088,0.00013620725897904012,-0.0005457194399129076,0.00012704361331014794,-0.0004052294964494084,0.00012489504219815112,-0.0002479160594110631,0.00012993806114746108,-9.734124289506503e-05,0.0001391872341058824,2.585801137103962e-05,0.00014761121026757372,0.00010765664405637339,0.00014996310538777552,0.00014294004975358654,0.00014275568291303764,0.0001359802322760304,0.00012572797701564326,9.902303608319454e-05,0.00010229433552574345,4.932466189902145e-05,7.880663497950067e-05,5.2265369463244e-06,5.263999045647823e-05,-1.2760270922995016e-05
5,10.805031531060184,276232354.0533013,40235.8170531058,5044.621296218958,2.256808970960731,0.26323262476209575,0.10210775818722372,0.015603008813933823,2.336199264857417,546.6796034280871,8.665339032952712,7.61977729634136,557.1630184198417,1.8017077912093915,3.472695370883865,917.8265106301649,15.133337434486188,-1.4846155841815574e-05,-7.5689445445052444e-06,6.734706574277685e-06,-0.00011297393279994834,7.201638224917728e-05,-0.00029850400346630586,0.0001460789351551942,-0.0005331165511201849,0.00021097417955678134,-0.0007717206590799848,0.00025471897317007043,-0.0009688493137739379,0.0002730023032523584,-0.0010869042982513157,0.00026888410020326707,-0.0011027364523021064,0.0002508325617114214,-0.001011377026305549,0.00022966213995353907,-0.0008263996700575755,0.0002151097335965239,-0.0005769496927837199,0.0002128862343690366,-0.00030203263449212164,0.00022299645098167067,-4.311154774003311e-05,0.00023986026272286066,0.0001636153810212342,0.0002542876701013579,0.000293786730653009,0.00025677450500600704,0.000339019339783801,0.00024110234641143357,0.0003078255366602388,0.00020705106931690663,0.00022317481183544864,0.0001612819917347984,0.00011728706248085357,0.000116059720306443,2.4711917176769e-05,7.227736336285223e-05,-1.758499250739881e-05
6,10.805031531060184,276232354.0533013,40235.8170531058,5044.621296218958,2.256808970960731,0.26323262476209575,0.10210775818722372,0.015603008813933823,2.336199264857417,546.6796034280871,8.665339032952712,7.61977729634136,557.1630184198417,1.8017077912093915,3.472695370883865,917.8265106301649,19.192042310360563,-1.8896042720747065e-05,-9.53046120069676e-06,2.3319633449230225e-05,-0.0001773928550402603,0.0001318714898113009,-0.00047916858528527557,0.00025454530148957995,-0.0008611278653376138,0.00036160722837716387,-0.0012474949012157423,0.0004332014156542533,-0.0015612881443247972,0.0004622697672210267,-0.0017387816491202094,0.00045410416329883045,-0.001741092423255769,0.00042311261849902127,-0.001560811138372849,0.00038769443256914116,-0.0012227332344964936,0.00036440272005642383,-0.0007787330849372684,0.00036279620013159015,-0.000297780240108302,0.00038240209099108137,0.00014709702753235815,0.0004128369573105195,0.000492500421537441,0.00043729984662066413,0.0006963798430159286,0.00043855138025287966,0.0007454569350084498,0.0004055330591701226,0.0006568874674475192,0.00033839704955190267,0.0004739114337735033,0.0002501588771197196,0.0002565384000029691,0.00016432519681551446,6.918946299448514e-05,9.175155471388475e-05,-2.2464394170710896e-05
7,10.805031531060184,276232354.0533013,40235.8170531058,5044.621296218958,2.256808970960731,0.26323262476209575,0.10210775818722372,0.015603008813933823,2.336199264857417,546.6796034280871,8.665339032952712,7.61977729634136,557.1630184198417,1.8017077912093915,3.472695370883865,917.8265106301649,22.17942941506691,-2.193360008757998e-05,-1.0892914057234626e-05,5.234499296088206e-05,-0.0002637412103195966,0.00022145837025682675,-0.0007260047668306739,0.00041144932064157203,-0.0013104732391227907,0.0005763952788155084,-0.001897979523652347,0.0006858220485312719,-0.002367243850093091,0.000729074108292829,-0.0026181477723274515,0.0007145761206479286,-0.0025903553887362237,0.000664921609903593,-0.002273953461258139,0.0006090446183230145,-0.001710602670860221,0.0005731105425143216,-0.0009852750509551156,0.000572222089027653,-0.00021014090484771595,0.0006052824579605152,0.0004965506727411858,0.0006549367317224001,0.001032751746504373,0.0006931953422865596,0.0013317586457372195,0.0006914091989272182,0.0013743307494260345,0.0006314755517339153,0.0011912981998663456,0.0005143754903816701,0.0008562493022218626,0.0003628912130072075,0.00047008183763763993,0.00021738160638924627,0.0001406794486478117,0.00010608032042137447,-2.620066405155755e-05
8,10.805031531060184,276232354.0533013,40235.8170531058,5044.621296218958,2.256808970960731,0.26323262476209575,0.10210775818722372,0.015603008813933823,2.336199264857417,546.6796034280871,8.665339032952712,7.61977729634136,557.1630184198417,1.8017077912093915,3.472695370883865,917.8265106301649,23.834548610463955,-2.366762041898748e-05,-1.1569615868839598e-05,8.433854061594428e-05,-0.0003486467266888263,0.00031399025457366043,-0.0009711415282847454,0.0005707843236915993,-0.0017573432260216426,0.0007929162524696058,-0.0025443539647844837,0.0009396527992339309,-0.0031664648369525983,0.0009968695024917327,-0.0034872913031585746,0.0009759416407928226,-0.0034253843799114257,0.0009073156058228011,-0.002968782393436022,0.0008302467641377027,-0.0021764863942839397,0.0007805967935990365,-0.0011670056616692318,0.0007793491849052163,-9.609337452565912e-05,0.0008251340173222357,0.0008724882319776932,0.0008937272664593572,0.0015979161145729976,0.000945712738093571,0.001988972935951865,0.000940611052865402,0.0020209028145011703,0.0008529783929014584,0.0017388811314806155,0.0006846908442144243,0.0012475468447584943,0.00046871987710696647,0.0006892161907544968,0.00026278838682802655,0.0002154866785948446,0.00011400253057218749,-2.839759086717522e-05
9,10.805031531060184,276232354.0533013,40235.8170531058,5044.621296218958,2.256808970960731,0.26323262476209575,0.10210775818722372,0.015603008813933823,2.336199264857417,546.6796034280871,8.665339032952712,7.61977729634136,557.1630184198417,1.8017077912093915,3.472695370883865,917.8265106301649,24.87455800887563,-2.4800503084071736e-05,-1.1928843830360763e-05,0.00011772330013607247,-0.00043317161814021896,0.0004078442948823887,-0.0012164943463117632,0.000731093241392751,-0.002205226988926066,0.0010100651019373306,-0.0031925143732681174,0.00119405021259315,-0.003968054140285983,0.0012654803386475304,-0.004359142855969014,0.001238393417568245,-0.004263251195443824,0.001150672569738873,-0.003666422445083839,0.0010516428442725744,-0.0026450218081858065,0.0009869699724012117,-0.0013510917649871069,0.0009839452676490901,1.601788201949501e-05,0.0010414193680875156,0.0012469620160488538,0.001128562619077538,0.0021620373232258574,0.0011944255861462113,0.002645447184147523,0.0011863320975530937,0.0026669551420946892,0.0010711463691147362,0.0022861926530192652,0.0008515420000663126,0.0016389333297124097,0.0005708636278235328,0.0009088747526905544,0.00030446432044715986,0.00029117470982491185,0.00011897074562083831,-2.9879995024328174e-05
10,10.805031531060184,276232354.0533013,40235.8170531058,5044.621296218958,2.256808970960731,0.26323262476209575,0.10210775818722372,0.015603008813933823,2.336199264857417,546.6796034280871,8.665339032952712,7.61977729634136,557.1630184198417,1.8017077912093915,3.472695370883865,917.8265106301649,25.582263428298308,-2.5609941302222357e-05,-1.2116093065433458e-05,0.000151844054050779,-0.0005176651466994961,0.0005023103553390667,-0.001462670004318653,0.0008917104989443985,-0.002655332738247559,0.001227316274401932,-0.003844693164320164,0.0014486918223554574,-0.004775673837540882,0.0015348035654792916,-0.005239091436585121,0.0015020146252079035,-0.0051111913291264814,0.0013951872731259147,-0.004375858617846612,0.0012734421394572878,-0.0031266237664906707,0.001192362952333443,-0.001548861113332809,0.0011860151535830106,0.00011460945067721758,0.00125402995271056,0.0016088437761165068,0.0013593099936517969,0.0027151014985760157,0.0014393213978545415,0.003292787521903555,0.0014288367165774436,0.0033059911452057535,0.0012866355958583155,0.0028286509008630654,0.0010160055463051124,0.0020275160563816563,0.0006707454851645453,0.0011274485548287217,0.0003440246532462933,0.00036693409176907603,0.00012235042162388348,-3.0974467535021676e-05
