时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.3746021555522545,31551307.690514177,-2298.436933227278,80.69818600418122,1.3771627718611184,0.1382552136300996,0.04950715918449393,0.005549333331122467,1.4133277017367438,883.730140151109,10.0,10.0,1000.0,10.0,10.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.3746021555522545,31551307.690514177,-2298.436933227278,80.69818600418122,1.3771627718611184,0.1382552136300996,0.04950715918449393,0.005549333331122467,1.4133277017367438,883.730140151109,10.0,10.0,1000.0,10.0,10.0,1000.0,4.691014169311744,-1.0573120291810988e-06,-4.15114712116649e-07,8.282135395022082e-07,-1.00184793094812e-05,6.64125853581124e-06,-2.8968411212492627e-05,1.3299792342655658e-05,-5.317404313187291e-05,1.9046457774717594e-05,-7.741071830922495e-05,2.274760833707952e-05,-9.656147708558707e-05,2.4045011876538037e-05,-0.00010653514986443119,2.330052903874908e-05,-0.00010498807200136082,2.1378173167829947e-05,-9.17092088881449e-05,1.9325050082915404e-05,-6.860781028186538e-05,1.8030121672758445e-05,-3.9311553430484475e-05,1.794665239563013e-05,-8.453008505405138e-06,1.8954551453835102e-05,1.922220021641432e-05,2.040780543914904e-05,3.975692877204313e-05,2.1361550522957327e-05,5.071965472764525e-05,2.091570435920742e-05,5.1631818024452545e-05,1.8568038038020002e-05,4.400075846157536e-05,1.4457770696107546e-05,3.095173886496447e-05,9.4106377300573e-06,1.6536499778514135e-05,4.767373811182744e-06,4.847989243913282e-06,1.0500112123450716e-06,-4.321498445588082e-07
3,1.3746021555522545,31551307.690514177,-2298.436933227278,80.69818600418122,1.3771627718611184,0.1382552136300996,0.04950715918449393,0.005549333331122467,1.4133277017367438,883.730140151109,10.0,10.0,1000.0,10.0,10.0,1000.0,10.813012031156248,-2.4399378914905295e-06,-9.535508494723382e-07,3.0184031160943803e-06,-2.607320925913339e-05,1.8555491140876617e-05,-7.611921990580682e-05,3.636590598904611e-05,-0.00014021447511178671,5.175872708888255e-05,-0.00020439101540093875,6.168876128225617e-05,-0.0002548548654351947,6.518315974673335e-05,-0.00028052729839524274,6.320719088369536e-05,-0.0002750458829254439,5.8086201974684806e-05,-0.00023784322468667593,5.264830874668664e-05,-0.00017413438926569492,4.929911510907902e-05,-9.383390402878677e-05,4.926116453974606e-05,-9.613416030916412e-06,5.218930785903604e-05,6.553652154605608e-05,5.629216026509142e-05,0.00012077934926333415,5.895148569975671e-05,0.00014946193151941552,5.767004868328629e-05,0.00015029971881401767,5.1052844456906825e-05,0.00012748351414172205,3.949126517664789e-05,8.968978662986276e-05,2.5301931665849507e-05,4.820612498926849e-05,1.226539112560759e-05,1.4531016198568857e-05,2.4200017123550093e-06,-1.0001622234810919e-06
4,1.3746021555522545,31551307.690514177,-2298.436933227278,80.69818600418122,1.3771627718611184,0.1382552136300996,0.04950715918449393,0.005549333331122467,1.4133277017367438,883.730140151109,10.0,10.0,1000.0,10.0,10.0,1000.0,16.733507262845233,-3.781199776919948e-06,-1.4682836814529127e-06,7.1112367387937265e-06,-4.690472969477238e-05,3.581829989002491e-05,-0.00013826278340422138,6.872059227082575e-05,-0.0002555034079052483,9.71792047457196e-05,-0.00037282876179643395,0.00011556027425719181,-0.00046457867610852566,0.00012204840311543701,-0.000510064946478561,0.00011842020573390195,-0.0004973869170261552,0.0001089896706186914,-0.0004255083318887922,9.902484214240176e-05,-0.0003042707349301048,9.30208276707601e-05,-0.00015237981079130412,9.32611936953631e-05,6.242212519367694e-06,9.907212800576071e-05,0.00014705635883883366,0.00010703113026389076,0.0002495891420342686,0.00011213155963817697,0.0003012899797472576,0.00010959026891868769,0.0002997991318594854,9.673470050886211e-05,0.00025317676686499536,7.433072954209689e-05,0.000178057415772934,4.6869108024959605e-05,9.6128871215264e-05,2.1695625173141582e-05,2.962209520408961e-05,3.7436339824034416e-06,-1.5562843840377695e-06
5,1.3746021555522545,31551307.690514177,-2298.436933227278,80.69818600418122,1.3771627718611184,0.1382552136300996,0.04950715918449393,0.005549333331122467,1.4133277017367438,883.730140151109,10.0,10.0,1000.0,10.0,10.0,1000.0,23.122909794436552,-5.236297249756795e-06,-2.010801590707588e-06,1.5758687876966715e-05,-8.076521267816107e-05,6.667450248501451e-05,-0.00024066710354737184,0.00012495029413847408,-0.0004461766542681593,0.00017536273572891974,-0.0006515797499893585,0.0002079576093427406,-0.0008111069221515214,0.0002195027590171315,-0.000887735543294008,0.00021311816542682725,-0.0008601554004992913,0.000196448890622478,-0.0007265955851624871,0.00017888828835883823,-0.0005049140058765293,0.0001685030801274661,-0.00022900826365722542,0.00016941727448188825,5.775450307797942e-05,0.0001804017437788463,0.0003108675097753022,0.00019519033361877936,0.0004932020842250095,0.00020457414335039057,0.0005820569542751843,0.00019972673969107047,0.000573330035591214,0.00017571601392766135,0.00048197706668882495,0.00013399654884276108,0.0003386881122235042,8.296646874642227e-05,0.00018350896150781462,3.6356273570852883e-05,5.767353297693373e-05,5.168356427821967e-06,-2.1702928816752865e-06
6,1.3746021555522545,31551307.690514177,-2298.436933227278,80.69818600418122,1.3771627718611184,0.1382552136300996,0.04950715918449393,0.005549333331122467,1.4133277017367438,883.730140151109,10.0,10.0,1000.0,10.0,10.0,1000.0,29.422594282635696,-6.68739914343497e-06,-2.5144797228287347e-06,3.4349158399069956e-05,-0.0001413086251007687,0.00012605014967877133,-0.000425814945027141,0.0002307032897396803,-0.00079179502563639,0.00032119344455978053,-0.0011569882616517752,0.0003798029952466087,-0.0014386120159238583,0.00040072415350888034,-0.0015695512674760708,0.00038941957606813526,-0.001511188880213412,0.0003594808707002634,-0.001260502378149684,0.00032780110405710095,-0.0008503241296045046,0.0003090969445783672,-0.00034286495068530404,0.0003110731158740218,0.00018225590273821825,0.0003316363817046676,0.0006432786233710673,0.00035926269389100293,0.0009720048552317829,0.0003767718764594573,0.0011268642621501026,0.0003675672843356924,0.0011006922151485267,0.000322344232992215,0.0009216248882354258,0.0002438890878960236,0.0006469802457021444,0.00014815127297808026,0.0003514917630606927,6.111695799199829e-05,0.00011228321893288118,6.562981456569237e-06,-2.8071646251347904e-06
7,1.3746021555522545,31551307.690514177,-2298.436933227278,80.69818600418122,1.3771627718611184,0.1382552136300996,0.04950715918449393,0.005549333331122467,1.4133277017367438,883.730140151109,10.0,10.0,1000.0,10.0,10.0,1000.0,32.79414514489237,-7.480585679042294e-06,-2.7516376054504246e-06,5.4658217584543886e-05,-0.00020180863176904869,0.0001875383994829314,-0.0006120476850723563,0.00033883845263337316,-0.0011400845122858246,0.00046964458243057503,-0.0016667186533592564,0.000554588326680448,-0.0020716915653238655,0.0005852600922122774,-0.002257391171833386,0.0005692748081895193,-0.0021676315235653774,0.0005259431522142303,-0.001798063427821823,0.00047957914501991545,-0.0011966226417001683,0.00045172031775723775,-0.0004541674517927467,0.000454001008047803,0.0003129172665975258,0.00048378091489233296,0.0009850034639517118,0.0005243531635110144,0.0014622431808324612,0.0005503368507733473,0.0016838142126425126,0.0005369688061856955,0.0016394213078032563,0.0004702620567933738,0.0013706438573620934,0.00035431533487579643,0.000961937271201094,0.00021292166511174306,0.0005233489837625593,8.475085757615603e-05,0.00016852542880765165,7.298932593659484e-06,-3.1794703280446142e-06
8,1.3746021555522545,31551307.690514177,-2298.436933227278,80.69818600418122,1.3771627718611184,0.1382552136300996,0.04950715918449393,0.005549333331122467,1.4133277017367438,883.730140151109,10.0,10.0,1000.0,10.0,10.0,1000.0,34.862547421488784,-7.981212040117756e-06,-2.8702079481473677e-06,7.566326636564727e-05,-0.0002622508368067623,0.00024971612058410415,-0.00079880161308496,0.00044755646913292743,-0.0014899617787722439,0.0006186514977458874,-0.002179523790289152,0.0007301384656062183,-0.002709594027826518,0.0007709738138453047,-0.002951863401748633,0.0007506797142528024,-0.0028323616554930538,0.0006939712471635549,-0.0023451943707505215,0.0006324138081754518,-0.0015532014430451981,0.0005944769814435006,-0.0005757537867359048,0.0005960740825917175,0.0004340144780192774,0.0006344061995862226,0.0013184788991960922,0.0006877854517730665,0.001945901998558946,0.0007225428213642124,0.0022359405958652535,0.0007054574833898077,0.0021749523907385574,0.0006175722225297615,0.0018178274163913257,0.0004641926518508666,0.0012760887343678787,0.00027706170824993016,0.0006950634044174302,0.00010771918733329875,0.00022493439354257338,7.74229213623394e-06,-3.433359659492119e-06
9,1.3746021555522545,31551307.690514177,-2298.436933227278,80.69818600418122,1.3771627718611184,0.1382552136300996,0.04950715918449393,0.005549333331122467,1.4133277017367438,883.730140151109,10.0,10.0,1000.0,10.0,10.0,1000.0,36.2516744939363,-8.329809490151918e-06,-2.926880266426909e-06,9.70134920934897e-05,-0.0003227439886148293,0.00031216714216611245,-0.000986247021212198,0.0005564053855676753,-0.0018417925746013028,0.0007677606085226225,-0.0026961474868390164,0.0009060289901469374,-0.0033536405814640576,0.0009574916361932025,-0.003655045002415763,0.0009333171283307151,-0.0035083337253479815,0.0008632892587349739,-0.0029057617522783535,0.0007860347603163703,-0.0019247667741096983,0.0007370559802580171,-0.0007129831715058346,0.000736902748833688,0.0005398253152418705,0.000783034855799991,0.0016379795864027297,0.0008490266261438959,0.0024176299483323993,0.0008928713118690429,0.0027785994674917117,0.0008726165860467005,0.002703583978093937,0.0007640341442664869,0.002260516040598051,0.0005734897653179106,0.0015877677574230374,0.0003407259140026949,0.0008657766896044022,0.0001302872646189996,0.0002811821899646146,8.033701308750633e-06,-3.6252416167997975e-06
10,1.3746021555522545,31551307.690514177,-2298.436933227278,80.69818600418122,1.3771627718611184,0.1382552136300996,0.04950715918449393,0.005549333331122467,1.4133277017367438,883.730140151109,10.0,10.0,1000.0,10.0,10.0,1000.0,37.241163741173025,-8.589416033831045e-06,-2.9470929146680274e-06,0.00011854464410017838,-0.00038331926890710006,0.0003746864817910196,-0.0011744169445764487,0.0006651512799325594,-0.002195680872279558,0.000916725205663378,-0.0032168662811990216,0.0010820185208266768,-0.004004391640746498,0.0011445952367301828,-0.004367876324902108,0.0011170038681245745,-0.004196927673611506,0.001033748931325988,-0.0034815942185197923,0.0009403126956457916,-0.002313547533629917,0.0008793193046404608,-0.0008683785446594554,0.0008763131933715339,0.0006276878935928674,0.0009294460841968817,0.0019408880729106452,0.001007823612800014,0.0028750352809587183,0.0010610754815911282,0.00330977173449194,0.001038253523367732,0.003223757808367931,0.0009095471659995256,0.002697630478651827,0.0006822092676696408,0.0018963247914780758,0.000404000185179183,0.0010351670816230155,0.00015258220834304023,0.00033714567258226404,8.236246014387895e-06,-3.7804353674705424e-06
