时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,25.707338998586103,561713909.408885,2.3283064365386963e-10,62027.919960783955,2.8087360592019226,0.2765603607939899,0.1908583945443601,0.035610338303534265,2.879750386885924,274.04307087045515,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,25.707338998586103,561713909.408885,2.3283064365386963e-10,62027.919960783955,2.8087360592019226,0.2765603607939899,0.1908583945443601,0.035610338303534265,2.879750386885924,274.04307087045515,10.0,10.0,0.0,10.0,10.0,0.0,0.7635382098265838,-3.6719608821839077e-06,-1.4470301730536716e-06,-1.2330646872175895e-05,-4.053360914407593e-06,-1.3999261668905547e-05,-5.400004272673501e-06,-1.4931872643273453e-05,-9.36407847624901e-06,-1.5049936306859627e-05,-1.688047184777049e-05,-1.4541895551277133e-05,-2.8451078184042552e-05,-1.3755901966319512e-05,-4.4040963031925776e-05,-1.3114214064536181e-05,-6.305221750720365e-05,-1.3013900078758703e-05,-8.435914788224251e-05,-1.3733154500505443e-05,-0.00010640272183030529,-1.5359283978351274e-05,-0.00012733411486162016,-1.7750139644374814e-05,-0.00014519251793227895,-2.0534925298188632e-05,-0.00015809884959144376,-2.315399035865711e-05,-0.000164445900466304,-2.4931521455279905e-05,-0.00016306629047269553,-2.5170783203298044e-05,-0.00015336224674101403,-2.325907801254944e-05,-0.0001353847859210976,-1.8768906821753607e-05,-0.00010985491858452445,-1.1544352565927321e-05,-7.812274878746158e-05,-1.7095232044645885e-06,-4.2086295989952956e-05,3.6723260340330713e-06,-1.4464282549936743e-06
3,25.707338998586103,561713909.408885,2.3283064365386963e-10,62027.919960783955,2.8087360592019226,0.2765603607939899,0.1908583945443601,0.035610338303534265,2.879750386885924,274.04307087045515,10.0,10.0,0.0,10.0,10.0,0.0,2.053629351059065,-9.898351427368784e-06,-3.8939961145063025e-06,-3.6226088925298645e-05,-3.0611798081365917e-06,-4.315248930374677e-05,4.1278003250634103e-07,-4.735819860710895e-05,-4.67845522666027e-06,-4.8594721356654954e-05,-2.1446037146604963e-05,-4.7459115292118274e-05,-5.161346034584659e-05,-4.507360981651743e-05,-9.520236598836673e-05,-4.281152961094042e-05,-0.00015045228191576775,-4.1981644390475485e-05,-0.00021393204721625224,-4.353101170552686e-05,-0.00028083605004274536,-4.7816681606408363e-05,-0.0003454336481942011,-5.448290264566044e-05,-0.0004016251202607898,-6.246182687371076e-05,-0.0004435465568665839,-7.009574748731052e-05,-0.0004661626792820835,-7.536112128536009e-05,-0.0004657893989712078,-7.616154757391487e-05,-0.00044049625318939086,-7.064951406254478e-05,-0.00039035015008416675,-5.753494681638208e-05,-0.00031747733719617754,-3.6346083340222866e-05,-0.00022593131040371913,-7.468060516939868e-06,-0.00012142638477901137,9.899484114717091e-06,-3.8916644672204745e-06
4,25.707338998586103,561713909.408885,2.3283064365386963e-10,62027.919960783955,2.8087360592019226,0.2765603607939899,0.1908583945443601,0.035610338303534265,2.879750386885924,274.04307087045515,10.0,10.0,0.0,10.0,10.0,0.0,3.203841890488879,-1.5473738188916385e-05,-6.07799805254411e-06,-6.222345724042727e-05,9.913266308918765e-06,-7.760286539154063e-05,2.864380302047371e-05,-8.73519358390245e-05,3.1178329257838346e-05,-9.101059096138287e-05,1.1539952486586654e-05,-8.967749821542614e-05,-3.3670619786779016e-05,-8.545151717180818e-05,-0.00010471568762625963,-8.09215497728717e-05,-0.00019857399675013863,-7.858212589393318e-05,-0.00030914437372736207,-8.02842586788883e-05,-0.0004277863106128467,-8.681400568816169e-05,-0.0005441398009520234,-9.766530279456174e-05,-0.0006471386982895864,-0.00011103882216367091,-0.0007261120815216271,-0.00012406174156499985,-0.0007718621022842181,-0.00013319095235831378,-0.0007776123655390565,-0.0001347389513746469,-0.0007397363402691699,-0.00012544913730818286,-0.0006581961582208645,-0.00010304487316587601,-0.0005366499432120476,-6.668975045116215e-05,-0.0003822064624633812,-1.707857425989241e-05,-0.00020492231240355798,1.547578752758179e-05,-6.073022546060836e-06
5,25.707338998586103,561713909.408885,2.3283064365386963e-10,62027.919960783955,2.8087360592019226,0.2765603607939899,0.1908583945443601,0.035610338303534265,2.879750386885924,274.04307087045515,10.0,10.0,0.0,10.0,10.0,0.0,4.029968649772856,-1.9492745205387065e-05,-7.64818767034309e-06,-8.505680326739916e-05,2.9983322749444924e-05,-0.00010986491969921276,6.942916486338349e-05,-0.00012593850406329433,8.514396491990827e-05,-0.0001326101022761178,6.826446793624826e-05,-0.00013146014095309082,1.3657078512570345e-05,-0.0001255449069612295,-7.929225967430182e-05,-0.00011865560639765997,-0.000206465460638781,-0.00011447228309730556,-0.00035930228797421634,-0.00011576992760171421,-0.0005255732018080011,-0.00012381003219232988,-0.0006905522759075632,-0.0001380126517833415,-0.000838466576858937,-0.00015595306954646875,-0.0009540702779473124,-0.00017367377152812587,-0.0010241835878375088,-0.0001862562154829293,-0.0010390451296653288,-0.00018856434924075825,-0.000993348909579025,-0.0001760551389080324,-0.0008868671656951059,-0.00014554919882944095,-0.000724599630220402,-9.587293350633223e-05,-0.0005164201987501066,-2.8010532973613347e-05,-0.0002763431672466733,1.9495660215805202e-05,-7.640329216916957e-06
6,25.707338998586103,561713909.408885,2.3283064365386963e-10,62027.919960783955,2.8087360592019226,0.2765603607939899,0.1908583945443601,0.035610338303534265,2.879750386885924,274.04307087045515,10.0,10.0,0.0,10.0,10.0,0.0,4.842244395028871,-2.345672945949196e-05,-9.19352557502537e-06,-0.00011261476168146648,6.291225656518642e-05,-0.000150829261899308,0.0001347109041074086,-0.00017600800563766095,0.00017285934107983048,-0.00018720982516466582,0.00016463388252023784,-0.0001866385897964909,0.00010253500732867146,-0.00017860920490501858,-1.4626253529324886e-05,-0.00016850326906493274,-0.00018142570726370803,-0.00016157974746679714,-0.00038622414190450644,-0.00016186080853739253,-0.0006122377777835575,-0.00017127974274467193,-0.0008391655510089165,-0.00018922273580376176,-0.0010451999627427832,-0.00021252346757785886,-0.0012092095580294173,-0.00023589422899617627,-0.00131287046582794,-0.00025271323362125825,-0.0013425373535096742,-0.000256044039478912,-0.0012906760865616673,-0.00023974199247782634,-0.001156722676960802,-0.00019950172738377462,-0.000947286769866748,-0.00013372497512116407,-0.0006756612177041225,-4.3761625879689496e-05,-0.00036078806223915547,2.3460751086285247e-05,-9.181618604601302e-06
7,25.707338998586103,561713909.408885,2.3283064365386963e-10,62027.919960783955,2.8087360592019226,0.2765603607939899,0.1908583945443601,0.035610338303534265,2.879750386885924,274.04307087045515,10.0,10.0,0.0,10.0,10.0,0.0,5.582081745820068,-2.707865118059126e-05,-1.0602598845601807e-05,-0.00014435395166405965,0.00011001645581735466,-0.0002001667191671378,0.00022683092033144378,-0.00023739686329600002,0.00029770991063861595,-0.0002547616586848573,0.0003050794021473962,-0.0002552295342803502,0.00023841741250421621,-0.0002446791619474056,9.570456811483113e-05,-0.00023047727769403458,-0.00011615604727150135,-0.00021986252300890051,-0.00038186417540802566,-0.00021843427714018611,-0.0006791534974228731,-0.00022900054103416087,-0.0009809726131479522,-0.00025096147609851566,-0.0012581808186368476,-0.0002803041815681615,-0.001482472287662642,-0.0003101814155702767,-0.0016292292691646871,-0.00033196132399577186,-0.0016800238996118393,-0.0003365788046571146,-0.0016245321859922844,-0.00031599446044817487,-0.0014616809436300846,-0.00026456936205227784,-0.001199919235761403,-0.00018019791640042773,-0.0008565648765239617,-6.466773838244486e-05,-0.00045640375403834096,2.7084014062052965e-05,-1.0585420050428367e-05
8,25.707338998586103,561713909.408885,2.3283064365386963e-10,62027.919960783955,2.8087360592019226,0.2765603607939899,0.1908583945443601,0.035610338303534265,2.879750386885924,274.04307087045515,10.0,10.0,0.0,10.0,10.0,0.0,6.333999897060074,-3.0772475483748155e-05,-1.2036671702528908e-05,-0.00018699218240724076,0.0001845179212970763,-0.0002691253372846877,0.000371280570630537,-0.00032447921694050947,0.0004945577595291865,-0.0003512782307891537,0.0005297538224670714,-0.0003535813290670113,0.0004619074957761067,-0.000339520398317315,0.0002876645819135667,-0.0003193308332682669,1.5876062800886936e-05,-0.0003031180265829965,-0.0003330989830780371,-0.0002987746999152321,-0.000729330908587496,-0.0003104012232734918,-0.001136283077899326,-0.0003374689819693932,-0.00151447682473982,-0.0003748229636369099,-0.0018254643242907535,-0.0004134761328248153,-0.002035700731794758,-0.000442032107678206,-0.0021199358743606675,-0.00044850021068175617,-0.0020638075480110575,-0.00042224006432578016,-0.001865396933717588,-0.000355782508813817,-0.001535600667101,-0.00024632141837861135,-0.001097254848907733,-9.625198115554605e-05,-0.0005832188089474422,3.077972460757048e-05,-1.2011648926005154e-05
9,25.707338998586103,561713909.408885,2.3283064365386963e-10,62027.919960783955,2.8087360592019226,0.2765603607939899,0.1908583945443601,0.035610338303534265,2.879750386885924,274.04307087045515,10.0,10.0,0.0,10.0,10.0,0.0,7.258566780384969,-3.533769500372078e-05,-1.3804189488577268e-05,-0.00026543639018452924,0.0003422373026363058,-0.00040107803374724715,0.0006750634635764737,-0.0004933994905138082,0.0009101807548567537,-0.0005396529552960772,0.001009104364641753,-0.000546052776500013,0.0009479638530617656,-0.0005252135406615413,0.0007205122343709628,-0.0004930794226642118,0.0003391023536411575,-0.0004654517275311872,-0.00016632333671728544,-0.00045476985792352513,-0.0007511452111311866,-0.00046769809650631483,-0.001360549246822135,-0.000503881088041715,-0.001935074704337277,-0.0005559941043075755,-0.0024166201901044274,-0.000610986076959022,-0.0027542861977186304,-0.0006522390213600564,-0.0029094848160545065,-0.0006622704296401244,-0.0028598459668211936,-0.0006255837322870016,-0.0026015689166928434,-0.0005313053241270492,-0.0021500037397469457,-0.0003753258033825674,-0.0015383677958727999,-0.00016119385387090805,-0.0008148447265425011,3.534857977344699e-05,-1.3763270924941019e-05
10,25.707338998586103,561713909.408885,2.3283064365386963e-10,62027.919960783955,2.8087360592019226,0.2765603607939899,0.1908583945443601,0.035610338303534265,2.879750386885924,274.04307087045515,10.0,10.0,0.0,10.0,10.0,0.0,7.971794331392613,-3.889032324124683e-05,-1.5173406720134624e-05,-0.0003667622201343211,0.000566046178951654,-0.000576815605181593,0.0011042316785982455,-0.000720530719099511,0.0014985318126102757,-0.0007938407517622855,0.0016914851584633557,-0.0008059779899019907,0.00164690657618348,-0.0007758216735821267,0.0013543391899761667,-0.0007272582725618925,0.0008305903411769201,-0.0006839530668982984,0.00011832434167905,-0.0006645456370790515,-0.0007181641027341742,-0.000679112025039052,-0.0015994954791553793,-0.0007274206911570217,-0.0024393058670911087,-0.0007991267765861639,-0.0031529974173310103,-0.0008756957936397594,-0.0036662276200184773,-0.0009335965380298623,-0.003922319538417806,-0.0009481863062733219,-0.003887927896791894,-0.0008977176506765233,-0.0035564689035868366,-0.0007669811161932406,-0.002949007392053816,-0.0005502310044735588,-0.0021124622556584274,-0.0002525427362994076,-0.0011154070013621152,3.890608876693851e-05,-1.5110391263628838e-05
