时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.7633819163933995,12760964.35530991,1211.5159647680623,17.594743386997962,1.5465625802365517,0.28673002990244023,0.06130941151707253,0.004058757544888059,1.6784533447444985,1429.4190083917574,10.0,10.0,1000.0,10.0,10.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.7633819163933995,12760964.35530991,1211.5159647680623,17.594743386997962,1.5465625802365517,0.28673002990244023,0.06130941151707253,0.004058757544888059,1.6784533447444985,1429.4190083917574,10.0,10.0,1000.0,10.0,10.0,1000.0,13.97123632676615,-8.306382596519071e-07,-5.891310551376432e-07,1.1076387171996603e-05,-2.029749948909901e-05,3.6300016253374245e-05,-6.0926693310818355e-05,6.548976538516411e-05,-0.00011341134755451176,9.086989225724086e-05,-0.00016550440086950498,0.00010711792984348733,-0.00020472637633727365,0.00011242638236266694,-0.00022090124797989857,0.00010852149257885082,-0.00020824169860931874,9.969138705455429e-05,-0.00016652308211077992,9.113283717557361e-05,-0.00010117651326929948,8.7092897118549e-05,-2.2257934464582903e-05,8.937146754682422e-05,5.7530188967260954e-05,9.667396269738168e-05,0.0001253885903397322,0.00010505273062427611,0.00017100892084423065,0.00010931753631481336,0.00018863433639423346,0.00010496363310230821,0.00017814555502145774,8.998739053364114e-05,0.00014496509679058164,6.597753116402587e-05,9.882169382700684e-05,3.8113704738997186e-05,5.169191120622775e-05,1.3984371790723278e-05,1.527829225451689e-05,8.101898006813689e-07,-6.14508998936211e-07
3,0.7633819163933995,12760964.35530991,1211.5159647680623,17.594743386997962,1.5465625802365517,0.28673002990244023,0.06130941151707253,0.004058757544888059,1.6784533447444985,1429.4190083917574,10.0,10.0,1000.0,10.0,10.0,1000.0,31.112937896513504,-1.8627460240118248e-06,-1.2956802971829103e-06,4.0277709569217145e-05,-6.751686847753636e-05,0.00012741365671851433,-0.00020699520517956045,0.00022852627405917558,-0.00038805918773363377,0.000316719701549211,-0.00056824553126865,0.00037344492496794687,-0.0007039495952276553,0.0003922573494647956,-0.0007594569010733866,0.0003789663801261822,-0.0007143299016228582,0.0003483690670143294,-0.0005676217926067304,0.0003185662788960481,-0.0003382760167831174,0.00030447678694981204,-6.156396143346333e-05,0.00031252049060777646,0.00021785351787449448,0.00033823700070039376,0.0004549347570831263,0.0003677560995709969,0.000613441167807726,0.0003827552410838799,0.0006732524719962815,0.0003673136376717324,0.0006341858259408844,0.00031438551675649044,0.0005155711029877636,0.00022967339755260573,0.0003517952754773548,0.00013154959566224868,0.00018496067415686398,4.6778942564874226e-05,5.6067977331859434e-05,1.7917898833731678e-06,-1.3845730884120968e-06
4,0.7633819163933995,12760964.35530991,1211.5159647680623,17.594743386997962,1.5465625802365517,0.28673002990244023,0.06130941151707253,0.004058757544888059,1.6784533447444985,1429.4190083917574,10.0,10.0,1000.0,10.0,10.0,1000.0,44.717074930098796,-2.7194027660032893e-06,-1.808441151560142e-06,0.00010911513419463648,-0.0001705462750463574,0.0003357520949134325,-0.0005327154750307373,0.000599293728916095,-0.0010052556354746343,0.0008300290041742052,-0.0014772062054084186,0.0009795699427592908,-0.001833799958748134,0.0010305405414472912,-0.0019806529263842547,0.000997168410097815,-0.001863376777176082,0.0009173055116091761,-0.0014788265361252578,0.0008381066427563622,-0.0008763121284591788,0.0007992216472226365,-0.00014844191659292046,0.0008185129347582319,0.0005870048962911937,0.0008851421963123169,0.0012108977852024502,0.0009628745140118425,0.0016272882132382471,0.0010030201899802595,0.0017830600855130308,0.000962886954283279,0.0016781179760263964,0.0008234326567025956,0.001363998749685973,0.0005998297387737209,0.0009316808508959284,0.00034105877112306963,0.0004918748529976548,0.00011806016200225108,0.00015196840492820706,2.5344208733486464e-06,-2.0419492088335677e-06
5,0.7633819163933995,12760964.35530991,1211.5159647680623,17.594743386997962,1.5465625802365517,0.28673002990244023,0.06130941151707253,0.004058757544888059,1.6784533447444985,1429.4190083917574,10.0,10.0,1000.0,10.0,10.0,1000.0,49.851880351275454,-3.0791884277296644e-06,-1.9550568112413793e-06,0.00017935454928157108,-0.0002733937148317538,0.0005460273116443941,-0.0008609533089219627,0.0009727418693927387,-0.0016299512266540167,0.0013473169189403594,-0.0024001748827815962,0.001591685856858134,-0.002984554396028312,0.0016770814116910432,-0.0032289695590559135,0.0016251188496992375,-0.0030442348969806857,0.0014956904712894027,-0.002424357558571939,0.0013647221236605532,-0.001448569267340014,0.0012973678140090871,-0.0002667372668639991,0.0013244197586807084,0.0009297588426349876,0.0014300347589652589,0.0019466729434290612,0.0015560849236601344,0.0026271174098355917,0.0016228619669895834,0.002884048586348785,0.0015596179896531417,0.0027171313766532817,0.001334252417696137,0.0022102745103667744,0.000971193963103452,0.0015113121652839412,0.0005506401096245056,0.0007996224073281989,0.0001885417112923375,0.00024894849500367794,2.779757637205725e-06,-2.334177636509932e-06
6,0.7633819163933995,12760964.35530991,1211.5159647680623,17.594743386997962,1.5465625802365517,0.28673002990244023,0.06130941151707253,0.004058757544888059,1.6784533447444985,1429.4190083917574,10.0,10.0,1000.0,10.0,10.0,1000.0,52.52003122458533,-3.2943374812460214e-06,-1.9947794449254457e-06,0.00024989003081599126,-0.0003764307347046899,0.0007563503378904572,-0.0011913103960384146,0.0013459700258115707,-0.0022605323374420318,0.0018647093851899956,-0.003334263173388295,0.0022052419720318744,-0.004152492307839781,0.002327092899753196,-0.004500766315836794,0.002258204180854443,-0.004254568493054859,0.0020792975697179034,-0.0034044530253152113,0.0018945088269465744,-0.002058849549346887,0.0017950377308453768,-0.0004242273162293378,0.0018260271222077335,0.0012347020067918397,0.0019681464640363593,0.002648267322705002,0.0021421460583700746,0.003597892690249979,0.002236969190835642,0.003961795899618399,0.0021527272410457876,0.003738831603025594,0.0018431836060439641,0.0030449296796380624,0.0013415726010647662,0.002084395881949402,0.0007595452087977916,0.0011047197950060912,0.0002585284853303709,0.00034551645733411684,2.8806679329422623e-06,-2.519435025654829e-06
7,0.7633819163933995,12760964.35530991,1211.5159647680623,17.594743386997962,1.5465625802365517,0.28673002990244023,0.06130941151707253,0.004058757544888059,1.6784533447444985,1429.4190083917574,10.0,10.0,1000.0,10.0,10.0,1000.0,54.14130971118922,-3.4482114599188e-06,-1.9888890992566744e-06,0.0003205026977831482,-0.00047980984817801923,0.0009663924707897219,-0.0015239059144668398,0.0017184778416127924,-0.0028970371556722193,0.002381511877188242,-0.004279428291491981,0.0028193902278467325,-0.005337553181134266,0.002979667138948523,-0.005796084973209499,0.002895563365134669,-0.00549468249736701,0.002667380268535216,-0.004419854114212568,0.0024268273916429363,-0.002708467513633472,0.002291619634162862,-0.0006228395074707565,0.002322645228447844,0.0014993950568036741,0.0024986445296596815,0.0033129609657329535,0.0027201052479171087,0.00453690848475994,0.0028443795499935136,0.005013882393190345,0.0027413926929908566,0.004741268185313136,0.0023496671573399546,0.003866553855198642,0.0017107113076246338,0.0026500280608987353,0.0009677722635712695,0.0014066612506971668,0.00032815974453069275,0.00044142238495797215,2.920580905909606e-06,-2.658864401047357e-06
8,0.7633819163933995,12760964.35530991,1211.5159647680623,17.594743386997962,1.5465625802365517,0.28673002990244023,0.06130941151707253,0.004058757544888059,1.6784533447444985,1429.4190083917574,10.0,10.0,1000.0,10.0,10.0,1000.0,55.219317681989,-3.5703694552833596e-06,-1.959136817979793e-06,0.00039110269878398857,-0.0005835703805135637,0.001175990455584038,-0.0018587364631942667,0.0020899815458853706,-0.003539398713771434,0.0028972973662871287,-0.005235548045734002,0.0034335836593765885,-0.006539595390025246,0.003634204348391839,-0.007114817146998893,0.003536627517648562,-0.006764565872205002,0.003259461291007687,-0.00547072019905584,0.0029612982344081936,-0.003397820633424539,0.002786778939453932,-0.0008632396420269508,0.0028139036083750933,0.001722941062025985,0.0030210637722650896,0.003939729462631156,0.003289404500863048,0.005443145306406422,0.003444507696665722,0.006039406209786798,0.003325098228197886,0.00572372196633979,0.0028533372292817616,0.004674628269835305,0.002078423434346628,0.003207873746358442,0.0011752824007113497,0.0017052577128813164,0.00039747728126622497,0.0005365739540022491,2.9291018358807652e-06,-2.774150465413135e-06
9,0.7633819163933995,12760964.35530991,1211.5159647680623,17.594743386997962,1.5465625802365517,0.28673002990244023,0.06130941151707253,0.004058757544888059,1.6784533447444985,1429.4190083917574,10.0,10.0,1000.0,10.0,10.0,1000.0,55.977546391512206,-3.67391609706422e-06,-1.915192547748983e-06,0.00046163561521921206,-0.0006877107077948559,0.0013850196086897682,-0.0021957395319404534,0.002460241864654488,-0.004187474683374545,0.0034116892964488805,-0.006202409780327511,0.0040473280449985286,-0.007758367494588558,0.004290154426708731,-0.008456713214408388,0.004180870915205571,-0.008064016048693695,0.0038551013642967296,-0.006556949277776092,0.0034975810920266784,-0.0041269641087277875,0.003280230173059105,-0.0011456757555111524,0.0032994959653087157,0.0019049121286403813,0.0035350161958424505,0.004528030376008082,0.0038495661694260526,0.006316035659353604,0.004036837457418492,0.00703785046815365,0.003903372478874676,0.006685769029582205,0.003353841543205101,0.005468835655741459,0.002444507437751682,0.003757719725472257,0.0013820041368984765,0.002000387219897165,0.0004664856568160312,0.0006309169759658738,2.9193842105446672e-06,-2.874906522990886e-06
10,0.7633819163933995,12760964.35530991,1211.5159647680623,17.594743386997962,1.5465625802365517,0.28673002990244023,0.06130941151707253,0.004058757544888059,1.6784533447444985,1429.4190083917574,10.0,10.0,1000.0,10.0,10.0,1000.0,56.53034248566755,-3.7655438067550414e-06,-1.8620198483790677e-06,0.0005320604170468087,-0.0007922119876950084,0.0015933694103511798,-0.0025348246147781322,0.002829035549977263,-0.004841082451601971,0.003924328401095261,-0.007179747708891399,0.004660145231384214,-0.008993551074278018,0.004946979414208938,-0.0098214398216513,0.004827775196449597,-0.009392724629104456,0.004453866058464615,-0.00767830562331131,0.004035342905932798,-0.004895789179439563,0.0037717024854121424,-0.0014702063752948824,0.003779140122890275,0.0020450832555665936,0.0040401447639400005,0.005077520963354978,0.004400143911905707,0.00715519213916426,0.004620876835290191,0.008008846359393359,0.004475755758072732,0.007627095244117479,0.0038508257951306918,0.006248930879294787,0.0028087493079947887,0.004299394383812382,0.0015878490378932763,0.0022919499347333274,0.0005351734362446989,0.0007244105091658621,2.8981717622167904e-06,-2.9660412597349255e-06
