时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,3.6137355948100325,41241306.18174933,6887.53822124565,121.93814317046562,2.303434734511138,0.18513181490322045,0.0983408757524486,0.005934951265599803,2.3425196918549958,1362.3216782278596,4.039466657915977,5.10681291939188,244.54662547917633,4.039466657915977,5.10681291939188,244.54662547917633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.6137355948100325,41241306.18174933,6887.53822124565,121.93814317046562,2.303434734511138,0.18513181490322045,0.0983408757524486,0.005934951265599803,2.3425196918549958,1362.3216782278596,4.039466657915977,5.10681291939188,244.54662547917633,4.039466657915977,5.10681291939188,244.54662547917633,1.9364637121937196,-9.493967272862348e-07,-2.2589342867771814e-07,9.591086064329068e-07,-8.740738031877627e-06,5.080704658565211e-06,-2.470073506639846e-05,9.594647899662718e-06,-4.444544588865091e-05,1.3377941026566197e-05,-6.365710358081915e-05,1.5739661355424584e-05,-7.817173682610406e-05,1.6499293967826653e-05,-8.47293594938238e-05,1.593878006922466e-05,-8.155342699896707e-05,1.4654395280959009e-05,-6.865066456357652e-05,1.334733308296096e-05,-4.778219656815697e-05,1.260139156538104e-05,-2.211472446432802e-05,1.270136665604973e-05,4.382714659230471e-06,1.354205025971522e-05,2.7685578809053394e-05,1.4659889418756613e-05,4.4465668597701165e-05,1.5386804908679565e-05,5.270602277871707e-05,1.5086258054739513e-05,5.206069493391499e-05,1.3399914649706278e-05,4.388978134946303e-05,1.042331739777289e-05,3.096272035691598e-05,6.747777980610015e-06,1.6888896135115466e-05,3.34906016450109e-06,5.384303786753489e-06,9.423123444456674e-07,-2.446125246284479e-07
3,3.6137355948100325,41241306.18174933,6887.53822124565,121.93814317046562,2.303434734511138,0.18513181490322045,0.0983408757524486,0.005934951265599803,2.3425196918549958,1362.3216782278596,4.039466657915977,5.10681291939188,244.54662547917633,4.039466657915977,5.10681291939188,244.54662547917633,4.169472460596359,-2.045859569228737e-06,-4.83697743883676e-07,2.6829860691913784e-06,-2.086817556288993e-05,1.2651719853239613e-05,-5.930176354129884e-05,2.358148322807692e-05,-0.00010693716018927154,3.27510690152553e-05,-0.0001532974099482651,3.848021945011895e-05,-0.0001882370666624884,4.0324816740238384e-05,-0.00020379354948028857,3.896446483379406e-05,-0.0001956186368243357,3.584609805290732e-05,-0.00016372333419475372,3.267691634759224e-05,-0.0001124152283737599,3.088260458844881e-05,-4.944958646332482e-05,3.1160853647204946e-05,1.5445761547285958e-05,3.325366745146543e-05,7.240059065815009e-05,3.60202167821185e-05,0.00011324785456267996,3.7812291838189536e-05,0.0001330359477962368,3.705589859081824e-05,0.000130916864715769,3.2862110275573095e-05,0.00011023861133471826,2.546438696012522e-05,7.782472393454568e-05,1.6326099387758615e-05,4.2585724173380983e-05,7.869819242844191e-06,1.3730344618977471e-05,2.028507307749293e-06,-5.295779521192313e-07
4,3.6137355948100325,41241306.18174933,6887.53822124565,121.93814317046562,2.303434734511138,0.18513181490322045,0.0983408757524486,0.005934951265599803,2.3425196918549958,1362.3216782278596,4.039466657915977,5.10681291939188,244.54662547917633,4.039466657915977,5.10681291939188,244.54662547917633,6.603658900022285,-3.243835883963809e-06,-7.598044925786256e-07,5.688968086369273e-06,-3.782588936125603e-05,2.4017618448985248e-05,-0.00010816087529618569,4.413144925258225e-05,-0.00019549880073633984,6.1021958920646376e-05,-0.00028051206315107054,7.158625488364819e-05,-0.0003444052175099561,7.499364514472836e-05,-0.00037238836631332486,7.248566556172937e-05,-0.0003563670825115354,6.672714221406977e-05,-0.00029635102555935095,6.0876425325023524e-05,-0.00020035408278711676,5.758330855592016e-05,-8.282474169208103e-05,5.815298170006339e-05,3.809676979049051e-05,6.210917513451764e-05,0.00014399054787806245,6.731740102490808e-05,0.00021960516243888937,7.0680859897172e-05,0.00025568967238380214,6.92326746662924e-05,0.00025066397429552293,6.129087649016597e-05,0.00021080449459653477,4.728995778816036e-05,0.00014891267404579966,2.9990754316966046e-05,8.173652570795661e-05,1.3976116332028921e-05,2.6647213639047348e-05,3.2115019041858083e-06,-8.453590444091266e-07
5,3.6137355948100325,41241306.18174933,6887.53822124565,121.93814317046562,2.303434734511138,0.18513181490322045,0.0983408757524486,0.005934951265599803,2.3425196918549958,1362.3216782278596,4.039466657915977,5.10681291939188,244.54662547917633,4.039466657915977,5.10681291939188,244.54662547917633,9.242474764558692,-4.547401502974055e-06,-1.0493313164370753e-06,1.1173471137844993e-05,-6.360339932063844e-05,4.246984744005606e-05,-0.00018313351821996923,7.68341040218603e-05,-0.00033184110059186593,0.00010571779778778208,-0.00047660822207118333,0.00012381046363494624,-0.0005850905802363822,0.0001296686356983373,-0.0006317674152578205,0.00012538548518728306,-0.000602636552053661,0.00011550271629911566,-0.0004976904651416194,0.00010543947887487728,-0.0003307760438181367,9.977756019083352e-05,-0.00012690241861473494,0.00010080364889933816,8.249463934222898e-05,0.00010771967262673627,0.00026546337734237134,0.0001168223946342707,0.0003955259766421611,0.00012269744584207822,0.00045661276879308547,0.00012013143170701998,0.0004459866452526344,0.00010615339614810648,0.0003745899843742091,8.151381785963713e-05,0.0002647557148503982,5.106512434010832e-05,0.00014575197766418567,2.2878112037356535e-05,4.8035771934012334e-05,4.491416909203129e-06,-1.1975838312093248e-06
6,3.6137355948100325,41241306.18174933,6887.53822124565,121.93814317046562,2.303434734511138,0.18513181490322045,0.0983408757524486,0.005934951265599803,2.3425196918549958,1362.3216782278596,4.039466657915977,5.10681291939188,244.54662547917633,4.039466657915977,5.10681291939188,244.54662547917633,12.26063434340519,-6.050120956652767e-06,-1.3550164011827315e-06,2.3193526907769887e-05,-0.00011223784638609744,7.93601895503824e-05,-0.00032585153691140904,0.00014103539185250194,-0.0005921984345363594,0.00019293443113905392,-0.0008515990770609846,0.00022554608018988297,-0.0010454946952861892,0.00023622328723067474,-0.0011275306238608654,0.00022860817317259575,-0.001072179798849697,0.0002107569108558001,-0.0008793285662585569,0.00019240668427866623,-0.0005740946142882094,0.00018192289116212478,-0.00020198765578074136,0.00018361074633440445,0.00017967702306832795,0.00019616185234690641,0.0005125474431179743,0.0002128614111857488,0.0007481954815327546,0.00022371981299008524,0.0008571861331243426,0.00021902013595302857,0.0008344871991448128,0.00019316981809830504,0.0007001580605817512,0.00014751426232900675,0.0004952050810325523,9.106709330663389e-05,0.00027346771702302185,3.8841000079963e-05,9.114940887994403e-05,5.948142522155985e-06,-1.6253337039321882e-06
7,3.6137355948100325,41241306.18174933,6887.53822124565,121.93814317046562,2.303434734511138,0.18513181490322045,0.0983408757524486,0.005934951265599803,2.3425196918549958,1362.3216782278596,4.039466657915977,5.10681291939188,244.54662547917633,4.039466657915977,5.10681291939188,244.54662547917633,14.19179889649712,-7.026297790051345e-06,-1.5181146258057102e-06,3.816443313008867e-05,-0.00016773443710987618,0.00012291362651518182,-0.0004897554548359495,0.00021594182829046216,-0.0008920124894422355,0.000294321229665079,-0.0012841883012856283,0.00034378434089715184,-0.0015773664145023823,0.00036025827335905297,-0.0017009715357534916,0.0003490077163972374,-0.0016159726491274294,0.000321949345100798,-0.001321946281227253,0.0002937099449108021,-0.0008568880003286107,0.00027710438567939816,-0.0002899348133334979,0.0002789889212954697,0.0002916407065075391,0.00029769566348750246,0.0007988140795736687,0.0003231325588565353,0.001157554984976988,0.00033994091278720845,0.001322745020748377,0.00033299354852831507,0.001286527802147971,0.0002934745634489128,0.0010794315695760923,0.000223354825528148,0.0007640841642594914,0.00013655225562781136,0.0004228562928475928,5.627571637057843e-05,0.00014192131298845117,6.871072577622748e-06,-1.9298885459373286e-06
8,3.6137355948100325,41241306.18174933,6887.53822124565,121.93814317046562,2.303434734511138,0.18513181490322045,0.0983408757524486,0.005934951265599803,2.3425196918549958,1362.3216782278596,4.039466657915977,5.10681291939188,244.54662547917633,4.039466657915977,5.10681291939188,244.54662547917633,15.373121819796708,-7.636651598605511e-06,-1.5891431097994523e-06,5.3712231234206286e-05,-0.0002232154718570311,0.00016703204819785482,-0.000654272929291723,0.0002913759078139169,-0.00119364722596917,0.0003962834015090768,-0.0017203077228953125,0.00046281146790545753,-0.002114781674824544,0.00048541294728896847,-0.00228200389975037,0.0004707923809681888,-0.002169147084163006,0.0004345124892210894,-0.001775205407615684,0.00039598742643711494,-0.001150843037585053,0.0003725768960813161,-0.00038872288794345806,0.00037394427696688917,0.0003938846816796915,0.00039833801752317863,0.0010770970931527593,0.00043242843284942286,0.0015609915588285733,0.0004554206328425235,0.0017844454609958116,0.0004465614389225769,0.001736503386251292,0.0003935908153327913,0.0014579815470074596,0.0002990099607106966,0.0010330549212178898,0.0001817049975698626,0.0005726525275781663,7.32266665348964e-05,0.00019304436414506828,7.4280483327118315e-06,-2.142850772391239e-06
9,3.6137355948100325,41241306.18174933,6887.53822124565,121.93814317046562,2.303434734511138,0.18513181490322045,0.0983408757524486,0.005934951265599803,2.3425196918549958,1362.3216782278596,4.039466657915977,5.10681291939188,244.54662547917633,4.039466657915977,5.10681291939188,244.54662547917633,16.163967591895567,-8.05695164711491e-06,-1.6121626853315218e-06,6.95342213695024e-05,-0.00027872310780487574,0.00021134746665790532,-0.0008193608010961348,0.00036690659556830595,-0.001496997017189678,0.0004983456128836921,-0.0021598934848528106,0.0005821375415012003,-0.0026578912647107337,0.0006112149943527837,-0.0028712053293933736,0.0005935309988144929,-0.002732918313675394,0.0005480610081173276,-0.0022411229684852333,0.0004988813471334662,-0.0014588545769886375,0.0004679747002102312,-0.0005020825730830224,0.00046806567947081326,0.00048201214466928423,0.0004976121239752233,0.0013426154307112626,0.0005402182302063178,0.001953693727012444,0.0005696205221588888,0.0022378143324288716,0.0005592474980278194,0.002180600861614929,0.0004931759745631651,0.0018328744585093119,0.000374319982534233,0.0013001425493701978,0.00022655707256155115,0.0007217653275887201,8.987831741824502e-05,0.00024409611350104812,7.79503767575009e-06,-2.3077545165170593e-06
10,3.6137355948100325,41241306.18174933,6887.53822124565,121.93814317046562,2.303434734511138,0.18513181490322045,0.0983408757524486,0.005934951265599803,2.3425196918549958,1362.3216782278596,4.039466657915977,5.10681291939188,244.54662547917633,4.039466657915977,5.10681291939188,244.54662547917633,16.726678550965474,-8.366658474109281e-06,-1.6070846298513144e-06,8.549336561796173e-05,-0.0003342757466131034,0.00025569367374914646,-0.0009850046191840305,0.0004423387688469311,-0.0018020360317318066,0.000600290420130385,-0.002602965727081911,0.0007015354585078115,-0.003206843629967125,0.0007374444170437754,-0.003468943554663024,0.0007170261486101247,-0.0033079545457760733,0.0006624270130115414,-0.0027207215398460712,0.0006022468205313486,-0.0017823117134895482,0.0005631571814510406,-0.0006317308169344632,0.0005611942980071204,0.0005540684255743335,0.000595326872756614,0.0015933080457631642,0.0006462825302791601,0.0023336462042827777,0.0006823164209766871,0.0026810291500893846,0.000670858206798865,0.0026173075751250723,0.0005921007862619084,0.0022029758207850296,0.00044923877251862245,0.0015646007386312592,0.0002711428176629636,0.0008697889773729951,0.0001063229636070939,0.00029491767021855146,8.051578661995194e-06,-2.444313741210762e-06
