时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,45.260432619012136,872180516.8933978,82307.5722222901,84424.11174617209,1.669720003626338,0.5417785558663339,0.17427640448700873,0.0348715443638847,2.0607560590146017,209.45779433240915,3.9095815508237344,3.3475133062355864,166.47415836919265,7.255844993164796,5.882707169237598,310.53796658736394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,45.260432619012136,872180516.8933978,82307.5722222901,84424.11174617209,1.669720003626338,0.5417785558663339,0.17427640448700873,0.0348715443638847,2.0607560590146017,209.45779433240915,3.9095815508237344,3.3475133062355864,166.47415836919265,7.255844993164796,5.882707169237598,310.53796658736394,15.447319204677747,-8.701625636659411e-05,-0.00013034524442137832,-0.0001087242105604446,-0.00034280194685222087,-6.74121185746084e-06,-0.00047273514344280517,0.00010065923179476951,-0.0006203975941619541,0.0001941368129904694,-0.0007657141263188625,0.00025879345529826735,-0.0008907500791731397,0.000287920641861671,-0.0009801379409976963,0.00028357988031742047,-0.001022897083592613,0.00025556588148102557,-0.0010137706490987543,0.00021875847450857422,-0.0009543338649061652,0.0001887879060198787,-0.0008535528979584006,0.00017677483283398278,-0.0007267762283632915,0.0001854577039840883,-0.0005924424825673207,0.00020902824284791646,-0.00046765576392015747,0.0002364252024558922,-0.0003647564010692514,0.00025586997337336394,-0.00028982139863173553,0.0002587734712243102,-0.00024270254630528678,0.00024215018223545451,-0.0002180647341465475,0.00020931574253851102,-0.00020705904365085872,0.00017032561892568393,-0.00020137540093406929,4.582294952941368e-05,-7.339439363869987e-05
3,45.260432619012136,872180516.8933978,82307.5722222901,84424.11174617209,1.669720003626338,0.5417785558663339,0.17427640448700873,0.0348715443638847,2.0607560590146017,209.45779433240915,3.9095815508237344,3.3475133062355864,166.47415836919265,7.255844993164796,5.882707169237598,310.53796658736394,27.595629245831812,-0.00015646277741626586,-0.0002330997362139664,-0.0001634222901103502,-0.0006396407465525433,6.455922178060667e-05,-0.0009129311766989343,0.00030408537163171173,-0.001224207889619266,0.0005106547466929744,-0.0015280553471074927,0.0006506855670665766,-0.0017828600990946835,0.0007098270495440077,-0.0019533907025254937,0.0006943847544200631,-0.0020154629752882434,0.0006286098991482854,-0.001959297728088042,0.0005478441845981971,-0.0017920196958332274,0.00048763248763914043,-0.0015383966189252733,0.00047116621630626063,-0.0012374575993874684,0.0005009075307809694,-0.0009338085303145498,0.0005594910514739454,-0.0006669522861284952,0.0006185076121409679,-0.00046363931101263314,0.0006495966440352357,-0.0003349722945876827,0.0006336348444054801,-0.00027699585053290424,0.000566268812852313,-0.0002734300932451996,0.00045934231402960116,-0.00029978171775006223,0.0003408071762269998,-0.00033186765976202134,8.198023702147418e-05,-0.00013141335211610934
4,45.260432619012136,872180516.8933978,82307.5722222901,84424.11174617209,1.669720003626338,0.5417785558663339,0.17427640448700873,0.0348715443638847,2.0607560590146017,209.45779433240915,3.9095815508237344,3.3475133062355864,166.47415836919265,7.255844993164796,5.882707169237598,310.53796658736394,35.3737366941515,-0.00020157235152337723,-0.000298866393703797,-0.00016191657386829434,-0.0008607071952781845,0.00019894571642419198,-0.0012729594823661342,0.0005767347202967514,-0.0017427246317902728,0.0008998469220959063,-0.002197603746206653,0.0011152199698550587,-0.002570235974121174,0.0012011575139736822,-0.0028041823134742367,0.0011696708435931823,-0.002861877287612364,0.0010617883483812522,-0.002730290599701878,0.0009357283942161873,-0.002424907484335191,0.0008483600396419139,-0.001990390380966749,0.0008343998811941227,-0.0014940213772755824,0.0008934141756631764,-0.0010104384865293392,0.0009926842160959258,-0.0006037178636887942,0.0010828220836881835,-0.00031514909442065573,0.0011165614755564083,-0.000159119757138508,0.00106392943154139,-0.00012469359886722485,0.0009211555811670291,-0.00018057293851811556,0.000712626528733248,-0.00028222931490554034,0.0004891703474006309,-0.0003848925124302299,0.00010507263158850349,-0.00016879921448054156
5,45.260432619012136,872180516.8933978,82307.5722222901,84424.11174617209,1.669720003626338,0.5417785558663339,0.17427640448700873,0.0348715443638847,2.0607560590146017,209.45779433240915,3.9095815508237344,3.3475133062355864,166.47415836919265,7.255844993164796,5.882707169237598,310.53796658736394,44.456183264264496,-0.00025543063512641035,-0.00037518698046580556,-5.360618280396416e-05,-0.0012082045154386003,0.0006117864686743423,-0.001919113504467118,0.0013034382067079798,-0.002728223088041005,0.001887318886610883,-0.003500695777069334,0.002266876672064802,-0.004109197853522197,0.002405166684382951,-0.004448946896763891,0.002329223875248894,-0.004453325428815305,0.0021206797738170706,-0.004104794890506754,0.0018919787898228836,-0.0034421957014607613,0.001749305327775081,-0.0025609592785331026,0.0017519518719586698,-0.0015984441055338283,0.0018887085547850105,-0.0007022373911794694,0.002086411115706457,5.597561417334318e-06,0.002242967088723757,0.0004517551842104504,0.0022653316431841884,0.0006183285711514854,0.002099339150352023,0.0005381093657109965,0.0017465574336437116,0.000283350544348851,0.0012667696988760211,-4.9479258337881996e-05,0.0007701073283200216,-0.0003626502496690283,0.00013162715044965988,-0.00021299193657569953
6,45.260432619012136,872180516.8933978,82307.5722222901,84424.11174617209,1.669720003626338,0.5417785558663339,0.17427640448700873,0.0348715443638847,2.0607560590146017,209.45779433240915,3.9095815508237344,3.3475133062355864,166.47415836919265,7.255844993164796,5.882707169237598,310.53796658736394,50.57388073416959,-0.000293681664765528,-0.0004252410449873776,0.00024512599920284813,-0.0016329352924174766,0.0014291890550651048,-0.0028370666920071444,0.002651121396530725,-0.004204400968988423,0.0036714951373229897,-0.005491733611927286,0.004321908368069092,-0.0064682775823100835,0.004540975192278032,-0.006948009062109863,0.0043821514795086116,-0.006817700729379552,0.003996989278741669,-0.006055827915118391,0.0035913830809995574,-0.00474503495576843,0.003356479440933032,-0.0030717024894353325,0.003393095475943555,-0.0012974785892597102,0.0036690819212797303,0.00030132397031498216,0.004037793352179295,0.001501530471592425,0.004302272165532351,0.002176492309950542,0.004287999202317443,0.0023072330347717715,0.003899552146082213,0.0019711548343932404,0.0031518062918969424,0.0013178633866123353,0.0021724568374394356,0.0005379358907177625,0.0011802093099210454,-0.00017671633215840307,0.00014847465732302408,-0.00024374654601343938
7,45.260432619012136,872180516.8933978,82307.5722222901,84424.11174617209,1.669720003626338,0.5417785558663339,0.17427640448700873,0.0348715443638847,2.0607560590146017,209.45779433240915,3.9095815508237344,3.3475133062355864,166.47415836919265,7.255844993164796,5.882707169237598,310.53796658736394,53.29117574793642,-0.00031243637789639633,-0.00044603807407488934,0.0005945717416500985,-0.0020081654145389315,0.00230847059129317,-0.0037185359968022534,0.004070207008390089,-0.005658300978043611,0.00553442424478997,-0.0074706516563330435,0.006460821369133973,-0.008817575917151559,0.006762753271784137,-0.009430785698984454,0.006518928938964737,-0.009151420041015386,0.005950548764333606,-0.007955645528112733,0.005358571062316452,-0.005971668523319342,0.005022418967888864,-0.0034791694912958285,0.005087851075693842,-0.0008678560674203229,0.00550315060587807,0.0014523029770825426,0.006046336399966661,0.003152687367306584,0.00642115246812432,0.004051671654405953,0.006366728218794144,0.004131197378896608,0.0057436038705769785,0.00351792913438054,0.004580958053943241,0.0024438442557107374,0.003079044625678022,0.0011968475193936332,0.0015711026986386894,6.436068654126552e-05,0.0001549319283785514,-0.00025828064363938745
8,45.260432619012136,872180516.8933978,82307.5722222901,84424.11174617209,1.669720003626338,0.5417785558663339,0.17427640448700873,0.0348715443638847,2.0607560590146017,209.45779433240915,3.9095815508237344,3.3475133062355864,166.47415836919265,7.255844993164796,5.882707169237598,310.53796658736394,54.77955877637714,-0.00032410943529998545,-0.0004562267226511422,0.000958463230122215,-0.0023658705760183727,0.003199861509491038,-0.004589038309878696,0.005498355695304371,-0.007109124689036304,0.007404996341986653,-0.009453141603943054,0.008608901725368153,-0.01117459030869303,0.008997205585329219,-0.011923548122308699,0.008671138012224565,-0.011497027153631241,0.007918684834756244,-0.00986975637090411,0.007134617161404625,-0.007214934277318742,0.006687904881303878,-0.0039041036607968507,0.006772509472573915,-0.00045419798289994664,0.0073205787697656535,0.002590441315838922,0.008036440039628024,0.004794067936108093,0.008523645051187788,0.005918996256811113,0.008432406890550862,0.005948640837272192,0.007576773190637227,0.005060658483334972,0.005999360643591233,0.003570636431914866,0.003973942926783976,0.0018630765976906996,0.0019498895790215215,0.0003185160659574542,0.00015766405160586944,-0.00026689566712836477
9,45.260432619012136,872180516.8933978,82307.5722222901,84424.11174617209,1.669720003626338,0.5417785558663339,0.17427640448700873,0.0348715443638847,2.0607560590146017,209.45779433240915,3.9095815508237344,3.3475133062355864,166.47415836919265,7.255844993164796,5.882707169237598,310.53796658736394,55.71030378920716,-0.0003325822215583311,-0.0004615645864793265,0.0013286198850215342,-0.002718569549617768,0.004095239502683465,-0.005463129350275262,0.0069278531148139885,-0.00857409823884827,0.009276299642048248,-0.011459650175963796,0.010760286881834289,-0.013563383007532522,0.011239527182450273,-0.014454107736865217,0.01083478563646627,-0.013885941733706657,0.009897764662426969,-0.011832796619169457,0.008915685696305093,-0.008512020858001332,0.008348378565670101,-0.004385239741774266,0.00844152688600588,-9.541964573165658e-05,0.00911502049924606,0.003678224911207816,0.010001614784606327,0.006391070720724877,0.010604083015596802,0.007747924314812383,0.010481179625899267,0.007733694413570158,0.009397738742277024,0.006578213715707666,0.007408462058976543,0.004681465455576824,0.004861011405941782,0.0025235146350266044,0.0023220499280633845,0.0005754113452613889,0.00015872304332601036,-0.0002727947407672964
10,45.260432619012136,872180516.8933978,82307.5722222901,84424.11174617209,1.669720003626338,0.5417785558663339,0.17427640448700873,0.0348715443638847,2.0607560590146017,209.45779433240915,3.9095815508237344,3.3475133062355864,166.47415836919265,7.255844993164796,5.882707169237598,310.53796658736394,56.339836300308676,-0.00033933989031055415,-0.00046425425063136087,0.0017017884745485546,-0.003071010739699239,0.004991149468975392,-0.00634628954594456,0.008355125996121628,-0.010059702036915119,0.011144822189690507,-0.01349791215606381,0.01291170941675768,-0.015993116330185735,0.013486805902543418,-0.01703308379387121,0.013007314959296233,-0.01633014798080517,0.011885474421351395,-0.013857958736106584,0.010699497831456593,-0.009877112280740683,0.01000134322344365,-0.004937409441299404,0.010092000082182698,0.0001935315298377584,0.010883171246887525,0.0047012658073786896,0.011938409189404463,0.00793052563974258,0.012659306671989546,0.009526969608947602,0.012510659660692942,0.009476745589520769,0.011205264289320916,0.008062799475997817,0.008808333118330867,0.005770136147697113,0.005741490510871632,0.0031732744551460144,0.0026896153036703972,0.0008311367941184536,0.0001588949557303528,-0.00027720222741272493
