时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.8011315806523851,26992367.035287358,1311.44144829779,21.428197396441238,0.9177263931059447,0.08753362817652666,0.04967583281465298,0.0030865711412773876,0.9395280081357114,1054.4776944275943,8.051759604944852,1.5699002219005411,264.65996706659837,5.144186001550865,1.7869087991397876,126.33397729833348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.8011315806523851,26992367.035287358,1311.44144829779,21.428197396441238,0.9177263931059447,0.08753362817652666,0.04967583281465298,0.0030865711412773876,0.9395280081357114,1054.4776944275943,8.051759604944852,1.5699002219005411,264.65996706659837,5.144186001550865,1.7869087991397876,126.33397729833348,6.359705448613662,-8.820502753408167e-07,-1.6957632560021678e-06,1.5111111818020822e-06,-1.247774679334276e-05,7.204496392892442e-06,-3.138507784089225e-05,1.3383787984615735e-05,-5.446522767089057e-05,1.8547516523463155e-05,-7.687511147784587e-05,2.177216307369733e-05,-9.395811106037139e-05,2.281641986388758e-05,-0.00010206329937533793,2.205931475930119e-05,-9.917725860509455e-05,2.030290315296595e-05,-8.525183261562583e-05,1.8492215393667653e-05,-6.217746191762115e-05,1.7418843531709047e-05,-3.341114723927026e-05,1.7480136728400532e-05,-3.327861523385975e-06,1.855839015548512e-05,2.3588130975768366e-05,2.0059381643273606e-05,4.35650967634037e-05,2.110803541634077e-05,5.4226293870827906e-05,2.0850629005936223e-05,5.500366864691149e-05,1.877436103561136e-05,4.720377655981295e-05,1.4942012204938173e-05,3.371291135622657e-05,1.0060869138815848e-05,1.840102410578793e-05,5.354419737295432e-06,5.337374686890812e-06,1.3731529540176234e-06,-1.5145470555426245e-06
3,0.8011315806523851,26992367.035287358,1311.44144829779,21.428197396441238,0.9177263931059447,0.08753362817652666,0.04967583281465298,0.0030865711412773876,0.9395280081357114,1054.4776944275943,8.051759604944852,1.5699002219005411,264.65996706659837,5.144186001550865,1.7869087991397876,126.33397729833348,14.524087363348201,-2.0172040942481126e-06,-3.867819796882652e-06,4.642926637444208e-06,-3.1833012019344326e-05,1.9672532396990294e-05,-8.135202944632902e-05,3.600475807882442e-05,-0.00014193965816574038,4.966941722649412e-05,-0.00020076249421669676,5.821169063676056e-05,-0.0002454107304549862,6.0981653874499296e-05,-0.00026612278620425197,5.89786788018599e-05,-0.0002575041632073548,5.433303780005526e-05,-0.00021942649325142652,4.9563289241513e-05,-0.000156969713332728,4.6784188465327076e-05,-7.943131569481405e-05,4.7056945959211615e-05,1.4133082705814744e-06,5.00571303101233e-05,7.348688607652634e-05,5.417120545745731e-05,0.00012662708565856762,5.7020992507442036e-05,0.0001544322002666752,5.628231684534084e-05,0.00015538514845043363,5.0556092263937344e-05,0.00013304115845540968,4.0012297011536766e-05,9.524407555031152e-05,2.658522543381823e-05,5.253176798568923e-05,1.3634125557135474e-05,1.6037125056695738e-05,3.1353184839048117e-06,-3.4636254985009375e-06
4,0.8011315806523851,26992367.035287358,1311.44144829779,21.428197396441238,0.9177263931059447,0.08753362817652666,0.04967583281465298,0.0030865711412773876,0.9395280081357114,1054.4776944275943,8.051759604944852,1.5699002219005411,264.65996706659837,5.144186001550865,1.7869087991397876,126.33397729833348,22.712880205888748,-3.1603732656678907e-06,-6.037092652290721e-06,9.975562384512188e-06,-5.73855608065169e-05,3.807244941018714e-05,-0.00014921806411097213,6.862562620068225e-05,-0.0002618052366698025,9.42121863882937e-05,-0.0003710714147275265,0.00011022296738188776,-0.00045361439532375845,0.0001154225488680595,-0.0004909710764409624,0.00011167173484223002,-0.00047292108162701944,0.00010296790749889025,-0.0003992290692109952,9.405752295604924e-05,-0.0002795609697124829,8.894178962686795e-05,-0.00013161806370421127,8.963481527675419e-05,2.2164242392104733e-05,9.551279647588526e-05,0.00015876063782363677,0.0001034788886432548,0.00025879003303989087,0.000108956298316143,0.0003100511687189598,0.0001074608904151001,0.00030968569446446914,9.62874603334138e-05,0.00026455422026934727,7.576453697062858e-05,0.0001897576804157102,4.9643693157739505e-05,0.00010561019523687262,2.445617865382087e-05,3.365254459094116e-05,4.9008295578654205e-06,-5.426835929965435e-06
5,0.8011315806523851,26992367.035287358,1311.44144829779,21.428197396441238,0.9177263931059447,0.08753362817652666,0.04967583281465298,0.0030865711412773876,0.9395280081357114,1054.4776944275943,8.051759604944852,1.5699002219005411,264.65996706659837,5.144186001550865,1.7869087991397876,126.33397729833348,32.46719280174939,-4.532919162356829e-06,-8.596607547295273e-06,2.196463628560404e-05,-0.00010364718414103167,7.509390403148127e-05,-0.00027570770367285955,0.00013286603170531197,-0.0004870878559161956,0.00018128337773564603,-0.0006920776686025383,0.0002116258825855133,-0.0008460067369930043,0.00022151959013596778,-0.0009135251078503227,0.0002144369608824991,-0.0008750352585699627,0.00019792523887116777,-0.0007301154649977077,0.00018101653428291694,-0.0004974158411571321,0.000171392289172273,-0.00021110685549270304,0.00017296972805039043,8.546257443585201e-05,0.00018457844709653004,0.0003477660731239526,0.0002002081470628042,0.0005383091237937681,0.0002109021665191942,0.0006335125029650868,0.00020783776022412944,0.0006279462516163832,0.00018567184336211988,0.0005350937916342119,0.00014505020788931406,0.0003845121980921,9.339692978312355e-05,0.00021598552122484435,4.3649017704099764e-05,7.182643107425329e-05,6.997526036180911e-06,-7.7856521262861e-06
6,0.8011315806523851,26992367.035287358,1311.44144829779,21.428197396441238,0.9177263931059447,0.08753362817652666,0.04967583281465298,0.0030865711412773876,0.9395280081357114,1054.4776944275943,8.051759604944852,1.5699002219005411,264.65996706659837,5.144186001550865,1.7869087991397876,126.33397729833348,40.66170268961856,-5.706418214183054e-06,-1.0697201767108776e-05,4.322394413133979e-05,-0.00017404594441261019,0.0001360768920439955,-0.00047289658722546047,0.0002369545256964004,-0.0008406631195087093,0.00032155449873554065,-0.0011971572911460193,0.0003747254608408237,-0.00146370324539615,0.00039225741695991605,-0.001577895036517321,0.00038003400986955517,-0.0015050790404764175,0.0003510720028937717,-0.0012445051339961537,0.00032115013326549497,-0.0008292248116711761,0.000303906043509712,-0.0003198735273106124,0.0003065056137312254,0.00020652440680744212,0.00032710425696059857,0.0006707548765413677,0.0003550824383366412,0.001006056758500139,0.0003743280304837144,0.0011704597385012205,0.0003688094186986684,0.001154411868794574,0.000328741647770757,0.0009821899693961795,0.00025524873026815857,0.0007068489369384953,0.00016182846054624704,0.0003997972132091715,7.199735507514565e-05,0.00013709715022315182,8.745134588763384e-06,-9.8057532583828e-06
7,0.8011315806523851,26992367.035287358,1311.44144829779,21.428197396441238,0.9177263931059447,0.08753362817652666,0.04967583281465298,0.0030865711412773876,0.9395280081357114,1054.4776944275943,8.051759604944852,1.5699002219005411,264.65996706659837,5.144186001550865,1.7869087991397876,126.33397729833348,45.13970496213554,-6.367440820165485e-06,-1.1795985219412766e-05,6.571487954874165e-05,-0.00024335154529036036,0.00019837720664762305,-0.0006696714259054368,0.00034238176929737597,-0.001195000443818251,0.00046325318560224587,-0.001704466670747687,0.0005395093071523352,-0.002085095304132561,0.000565050719204852,-0.002247122151960234,0.0005479607443767273,-0.002140582280102892,0.0005064822599088444,-0.0017642249244933766,0.0004630373356386502,-0.001165442190908754,0.0004373528231602603,-0.00043141258054262325,0.00044015866926643834,0.00032693430649353403,0.0004692558561178693,0.0009953409223553498,0.0005095492228269065,0.001477376266446563,0.000537640192993297,0.0017123387576998491,0.000529979339627904,0.0016863720190772044,0.00047204874120928745,0.0014345556082512795,0.00036535470056330157,0.0010336119887893512,0.00022961380136349296,0.0005868421320083799,9.920000466552911e-05,0.00020437642139278745,9.686812185269848e-06,-1.0945840416584238e-05
8,0.8011315806523851,26992367.035287358,1311.44144829779,21.428197396441238,0.9177263931059447,0.08753362817652666,0.04967583281465298,0.0030865711412773876,0.9395280081357114,1054.4776944275943,8.051759604944852,1.5699002219005411,264.65996706659837,5.144186001550865,1.7869087991397876,126.33397729833348,47.934826089553056,-6.796665024808503e-06,-1.2440624966831427e-05,8.873215714506048e-05,-0.0003122552977788361,0.0002611453313793375,-0.0008666951099718053,0.000448174280136981,-0.0015508190499278255,0.0006053326988878102,-0.0022150077975517865,0.000704923358171712,-0.0027118167621689457,0.0007388984623829915,-0.0029238921613104134,0.0007173019324290982,-0.002785696430178454,0.0006633161626368888,-0.0022952102218755117,0.0006058586585807926,-0.0015139240995832855,0.0005708508302482127,-0.0005553926706257573,0.0005729070462896509,0.00043558805497786974,0.0006098365250430923,0.0013096022195451759,0.0006622736004896274,0.0019403068712515459,0.0006994799912264087,0.0022479725077422913,0.0006901356300772832,0.002214166347912205,0.0006147096954976168,0.001884567182421425,0.0004749503349038589,0.0013594308511124156,0.00029684366842246785,0.000773874777535168,0.00012577633817986323,0.00027209231891056813,1.0264220743964774e-05,-1.1686626277422146e-05
9,0.8011315806523851,26992367.035287358,1311.44144829779,21.428197396441238,0.9177263931059447,0.08753362817652666,0.04967583281465298,0.0030865711412773876,0.9395280081357114,1054.4776944275943,8.051759604944852,1.5699002219005411,264.65996706659837,5.144186001550865,1.7869087991397876,126.33397729833348,49.83317440570037,-7.102712017872266e-06,-1.2842859310629985e-05,0.00011200756586088926,-0.00038103911844797355,0.0003240691261759087,-0.0010642860727309888,0.0005539877997003693,-0.0019085453321068073,0.0007474355486926893,-0.002729430543582292,0.000870619418353297,-0.0033448803639666022,0.0009134828945768823,-0.0036097178788099,0.0008877825968258713,-0.003442541994626389,0.0008213377370757662,-0.0028402423413483027,0.0007493947656505617,-0.0018780918392567578,0.0007041624323508016,-0.0006957695619996416,0.0007044616724645374,0.0005281829182791129,0.0007484917783855622,0.0016091385959495466,0.0008128529347702259,0.002390626816624792,0.0008594450464329456,0.002773576022370351,0.0008489422251773418,0.002734646190380265,0.0007565165839985164,0.0023298225354003925,0.0005839917983842952,0.0016826560478356229,0.0003636353215048349,0.0009599040600230034,0.0001519630132146754,0.0003397397449154393,1.0648223490436542e-05,-1.2214101450881687e-05
10,0.8011315806523851,26992367.035287358,1311.44144829779,21.428197396441238,0.9177263931059447,0.08753362817652666,0.04967583281465298,0.0030865711412773876,0.9395280081357114,1054.4776944275943,8.051759604944852,1.5699002219005411,264.65996706659837,5.144186001550865,1.7869087991397876,126.33397729833348,51.19684073023498,-7.335639227365132e-06,-1.3100255956297627e-05,0.00013541296291599307,-0.0004498211496532759,0.0003869926675479587,-0.0012625637397200103,0.000659641889558082,-0.002268339075325449,0.0008893646199525853,-0.0032480001752538757,0.001036396412560004,-0.003984733481414403,0.0010886150256205886,-0.004305300216295042,0.0010592399372817817,-0.0041121245775177125,0.0009804152964635036,-0.0034006511506892954,0.000893536019963185,-0.0022595801490162236,0.0008371788391959266,-0.0008544212873500106,0.0008346906650012,0.0006026981446629411,0.0008850530394468324,0.0018919139324360356,0.0009610884226964397,0.002826418241357919,0.0010173333748944055,0.003287466244453546,0.0010062319463237154,0.0032464435550367634,0.0008973707750396006,0.0027693021392049826,0.0006924650621323581,0.0020026017113575533,0.0004300521232065379,0.0011445218207598489,0.00017787473998353648,0.0004071056473190097,1.0917570029356181e-05,-1.2613974225821998e-05
