时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,4.568596008353401,133477430.17487782,38073.42840066577,2764.638828478005,2.555115622319414,0.2388871592209203,0.04797621967718133,0.015756591147015064,2.613483153532896,574.2545192556926,2.6828010925499557,1.0614711107572035,168.93438306325197,2.6828010925499557,1.0614711107572035,168.93438306325197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4.568596008353401,133477430.17487782,38073.42840066577,2764.638828478005,2.555115622319414,0.2388871592209203,0.04797621967718133,0.015756591147015064,2.613483153532896,574.2545192556926,2.6828010925499557,1.0614711107572035,168.93438306325197,2.6828010925499557,1.0614711107572035,168.93438306325197,1.5059168728816068,-6.023770285308914e-06,-5.730384259254159e-06,-4.538339891426756e-06,-1.4765120462179037e-05,-5.5752345050312145e-08,-3.1934201054701055e-05,5.193539594686372e-06,-5.392412817960305e-05,9.846116332581279e-06,-7.672515674050216e-05,1.3051339465228401e-05,-9.644445972191012e-05,1.4495513451086396e-05,-0.000109911478424622,1.4358687811930645e-05,-0.00011513930901372061,1.3176152708257373e-05,-0.00011157500531066363,1.1641565210122096e-05,-0.00010010042764688381,1.0396264547819662e-05,-8.278886929406956e-05,9.852707939077106e-06,-6.246584464608249e-05,1.0095353541425008e-05,-4.2156584496015255e-05,1.0885934775524354e-05,-2.452425517735087e-05,1.1772164050649528e-05,-1.1406238500458277e-05,1.226619219201146e-05,-3.538417041504798e-06,1.2033334519431918e-05,-5.205965909172501e-07,1.1024121826289025e-05,-1.0286005558708966e-06,9.49963616738588e-06,-3.2277292860589587e-06,7.882876866908131e-06,-5.289593823882172e-06,6.016102913690231e-06,-5.720036280760906e-06
3,4.568596008353401,133477430.17487782,38073.42840066577,2764.638828478005,2.555115622319414,0.2388871592209203,0.04797621967718133,0.015756591147015064,2.613483153532896,574.2545192556926,2.6828010925499557,1.0614711107572035,168.93438306325197,2.6828010925499557,1.0614711107572035,168.93438306325197,3.56176400843826,-1.4268193151598263e-05,-1.3563974876144135e-05,-1.0416061685918741e-05,-3.5912623868830014e-05,8.854468180854365e-07,-7.877737061464022e-05,1.4160500089856275e-05,-0.00013394400499879163,2.5959056262717335e-05,-0.00019124137894877794,3.4097177355797504e-05,-0.00024066346233442168,3.775705752839624e-05,-0.0002739969012593497,3.739215766965643e-05,-0.000286071445055109,3.4377755213989665e-05,-0.000275450206721543,3.0503374265425715e-05,-0.00024445678298067893,2.7423488472831104e-05,-0.00019855197283583263,2.6192708803770353e-05,-0.0001451865654773236,2.700137415653618e-05,-9.234711565547314e-05,2.918592708676018e-05,-4.706889577837224e-05,3.1515265634662906e-05,-1.4199889250593507e-05,3.266683950219889e-05,4.345478443518915e-06,3.1736154571443585e-05,9.701048233650034e-06,2.8601953252483963e-05,5.516390131545124e-06,2.401308815167672e-05,-3.10449790509803e-06,1.9232154938909987e-05,-1.0939369168854035e-05,1.4247976774655651e-05,-1.3537449939873851e-05
4,4.568596008353401,133477430.17487782,38073.42840066577,2764.638828478005,2.555115622319414,0.2388871592209203,0.04797621967718133,0.015756591147015064,2.613483153532896,574.2545192556926,2.6828010925499557,1.0614711107572035,168.93438306325197,2.6828010925499557,1.0614711107572035,168.93438306325197,5.827485264865116,-2.338401077265194e-05,-2.221228153940603e-05,-1.6256176995484436e-05,-6.115604020230378e-05,3.895400776545559e-06,-0.0001366438998345113,2.762439550757797e-05,-0.00023428414074231203,4.876501134199411e-05,-0.00033582450155365996,6.335509356152584e-05,-0.00042305543153065396,6.989013682053133e-05,-0.0004809081148253586,6.918123292976106e-05,-0.0004998585327797799,6.37327112233281e-05,-0.00047727947952300485,5.681647359116709e-05,-0.0004175416228794718,5.145702026487309e-05,-0.00033088344700329817,4.956222440604414e-05,-0.0002312833564104202,5.142068903168089e-05,-0.0001337380566661943,5.571315934927778e-05,-5.146084449405996e-05,6.004926107949891e-05,6.465551847007902e-06,6.187366679444931e-05,3.6529356340012316e-05,5.944869041666464e-05,4.1051932665254717e-05,5.2575335344705744e-05,2.7238235543871814e-05,4.27947528702445e-05,5.234016708196209e-06,3.278459953183462e-05,-1.434500445655918e-05,2.3346098748896663e-05,-2.216412252921424e-05
5,4.568596008353401,133477430.17487782,38073.42840066577,2764.638828478005,2.555115622319414,0.2388871592209203,0.04797621967718133,0.015756591147015064,2.613483153532896,574.2545192556926,2.6828010925499557,1.0614711107572035,168.93438306325197,2.6828010925499557,1.0614711107572035,168.93438306325197,7.993558088878236,-3.213035911400008e-05,-3.0496022816199797e-05,-2.0845447512200678e-05,-8.824944511874284e-05,9.761759982497973e-06,-0.0002013580448222505,4.584341708932031e-05,-0.00034828002518833055,7.803449849558484e-05,-0.0005011318144351489,0.00010023965511738149,-0.0006317499486169096,0.0001101223239813449,-0.0007166680431148746,0.00010892507972976076,-0.0007410184339333813,0.00010052750186517089,-0.0007007630557639005,9.001441746664849e-05,-0.0006029253453534879,8.208516593008567e-05,-0.00046384625391936943,7.967337992668715e-05,-0.000305827895870543,8.313437798497078e-05,-0.00015280307345473448,9.024950474415947e-05,-2.5847869409686413e-05,9.70817683857104e-05,6.0605962181786326e-05,9.944404986716788e-05,0.00010112850899007582,9.45111344221737e-05,9.977517102872058e-05,8.202544546946282e-05,6.863389216129449e-05,6.467025902871725e-05,2.477733283193758e-05,4.7188738447803546e-05,-1.3655793336731983e-05,3.2069919987101976e-05,-3.0421659884879608e-05
6,4.568596008353401,133477430.17487782,38073.42840066577,2764.638828478005,2.555115622319414,0.2388871592209203,0.04797621967718133,0.015756591147015064,2.613483153532896,574.2545192556926,2.6828010925499557,1.0614711107572035,168.93438306325197,2.6828010925499557,1.0614711107572035,168.93438306325197,10.19292329967616,-4.104682728722726e-05,-3.892488655302427e-05,-2.380964758605358e-05,-0.00012074119656391169,2.070718845629632e-05,-0.0002826846233596331,7.316056655452497e-05,-0.0004937751861066092,0.00011996720954023123,-0.0007132234671601544,0.00015219157031138355,-0.0008993786222536852,0.0001663923922947582,-0.0010173406976075538,0.00016440545122367337,-0.0010449904750990237,0.00015198174531345874,-0.0009764888132159982,0.00013667732413280434,-0.0008227256644996713,0.00012547497862442673,-0.0006087384406389399,0.00012268785493255727,-0.0003686387610564618,0.0001286977313282465,-0.00013900993791041881,0.00013993564276208165,4.7980642486795785e-05,0.00015018872111597365,0.0001704373596953343,0.00015288598371745885,0.0002204263942416947,0.00014364024540619203,0.00020479991431112388,0.00012217937633546906,0.0001430433372215621,9.298427335363021e-05,6.265596895797427e-05,6.403845324405852e-05,-6.853848903807641e-06,4.095451077294558e-05,-3.881505593621274e-05
7,4.568596008353401,133477430.17487782,38073.42840066577,2764.638828478005,2.555115622319414,0.2388871592209203,0.04797621967718133,0.015756591147015064,2.613483153532896,574.2545192556926,2.6828010925499557,1.0614711107572035,168.93438306325197,2.6828010925499557,1.0614711107572035,168.93438306325197,12.423083601091953,-5.013279748685796e-05,-4.7493719279642514e-05,-2.361735173713132e-05,-0.00016300923245424204,4.106591987580943e-05,-0.0003941157029693138,0.0001170712084042801,-0.0006960612675207293,0.00018479143661735803,-0.0010092213189815402,0.0002312347520280987,-0.001272186195776106,0.0002514072157460591,-0.001433313237655605,0.000248037435547097,-0.0014599654832391077,0.00022961981468608023,-0.0013439364631451746,0.00020733608517040374,-0.0011022432460615938,0.0001915286540206803,-0.0007732939284534577,0.0001885271902466328,-0.0004092230425982137,0.00019868170812212979,-6.583777807097223e-05,0.00021627791671976424,0.00020793707534202973,0.00023152691203092454,0.00037909215302287007,0.00023413218820772478,0.00043627927527909154,0.00021731058657070785,0.0003911616238927911,0.00018088308744564205,0.00027517345919691387,0.00013232720531246926,0.0001324576592190014,8.495654161786258e-05,1.0601047438560867e-05,4.999200940313349e-05,-4.733203156247953e-05
8,4.568596008353401,133477430.17487782,38073.42840066577,2764.638828478005,2.555115622319414,0.2388871592209203,0.04797621967718133,0.015756591147015064,2.613483153532896,574.2545192556926,2.6828010925499557,1.0614711107572035,168.93438306325197,2.6828010925499557,1.0614711107572035,168.93438306325197,14.512942473330902,-5.870503602164875e-05,-5.5550756292322166e-05,-1.743056062789909e-05,-0.00022007415075422725,7.73407313386231e-05,-0.0005524819724824287,0.00018810831003333238,-0.0009870907626194263,0.000286460183287334,-0.0014359833654854623,0.0003535343454062078,-0.001808160472704348,0.0003821447671335124,-0.002027042201430135,0.0003763793223164847,-0.002044560248410698,0.0003487922155560064,-0.0018494834555599856,0.00031595353644688903,-0.0014687066509560818,0.000293249967845984,-0.0009614877588657398,0.00029007012721140083,-0.0004078045014560811,0.00030669397938109323,0.00010700729715436993,0.0003340330777296218,0.0005084679247294786,0.0003566511671817028,0.0007469013408989836,0.000358368722082924,0.0008063513366634547,0.00032867728686796204,0.0007067016222587316,0.0002677045231616807,0.0004986712509596798,0.00018789577651987454,0.0002528705911513185,0.0001112408672432814,4.5382283624042526e-05,5.8489682069588975e-05,-5.531177579544323e-05
9,4.568596008353401,133477430.17487782,38073.42840066577,2764.638828478005,2.555115622319414,0.2388871592209203,0.04797621967718133,0.015756591147015064,2.613483153532896,574.2545192556926,2.6828010925499557,1.0614711107572035,168.93438306325197,2.6828010925499557,1.0614711107572035,168.93438306325197,16.040146692484587,-6.503095015069725e-05,-6.146493928851736e-05,-4.848200185546258e-06,-0.0002852437574610383,0.00012676680737604574,-0.0007405865964997927,0.00027966764788580744,-0.0013356530222486745,0.0004148938545251415,-0.0019476518780881242,0.0005066579391374711,-0.002449316350150283,0.0005452331995608102,-0.0027337073498897727,0.0005363255932940583,-0.0027342352859689996,0.0004973002491072954,-0.0024364899660246453,0.0004512032332608109,-0.001880072606282438,0.000419621463240342,-0.0011504037389661343,0.0004158365978868962,-0.00036213946710888584,0.00044017713477376337,0.0003627748015548737,0.0004793963313156126,0.0009183546743183618,0.0005109171007805683,0.0012346445290299724,0.0005110511468007994,0.0012905609071768996,0.00046455477700781453,0.0011168975361770643,0.0003720503036106375,0.0007890018902152933,0.00025247085637338613,0.0004108711324375512,0.00013896560431930188,9.42206262569962e-05,6.472302621098527e-05,-6.113193306205727e-05
10,4.568596008353401,133477430.17487782,38073.42840066577,2764.638828478005,2.555115622319414,0.2388871592209203,0.04797621967718133,0.015756591147015064,2.613483153532896,574.2545192556926,2.6828010925499557,1.0614711107572035,168.93438306325197,2.6828010925499557,1.0614711107572035,168.93438306325197,16.999624934773948,-6.905917712424166e-05,-6.520051635860174e-05,1.0553142186123253e-05,-0.0003481209828602119,0.00017904584062999998,-0.000926446151765239,0.00037381779905946137,-0.0016818043576296248,0.0005455543908789662,-0.0024563053463451394,0.0006617656988305194,-0.003086311666502473,0.0007102654285739576,-0.003434562285530455,0.0006982510552549403,-0.0034161041642488776,0.0006476627486029576,-0.0030135783196135373,0.0005878610586966911,-0.002279545007892843,0.0005466780389434761,-0.001325830921020756,0.0005415220682621095,-0.0003019910947719947,0.0005730353846013343,0.0006332397855561612,0.0006239245085974572,0.0013422765186976897,0.0006643514624520999,0.0017349299273867911,0.000662857230787986,0.0017852090118059762,0.0005992548516595935,0.0015351734412463844,0.00047466701485285496,0.001085188469656374,0.0003147379961819112,0.0005729454286961354,0.00016407398681181397,0.0001459416120590636,6.86582075073635e-05,-6.477397152229211e-05
