时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.1727337037296965,24134795.168284148,-2203.917812041742,37.935792758820966,1.2885388938596247,0.1882365199708164,0.04285462564003832,0.004447732139873416,1.3585068694110645,1083.5752217554714,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.1727337037296965,24134795.168284148,-2203.917812041742,37.935792758820966,1.2885388938596247,0.1882365199708164,0.04285462564003832,0.004447732139873416,1.3585068694110645,1083.5752217554714,10.0,10.0,0.0,10.0,10.0,0.0,6.045749714612949,-6.129826212044144e-07,-3.6059282960073024e-07,-3.232322884402638e-05,5.379749668531027e-05,-5.7749167739759405e-05,0.00010281938121701492,-7.567312899580849e-05,0.00014140496743435542,-8.563317553020456e-05,0.00016549140557541289,-8.84211002403002e-05,0.0001724168987468475,-8.583372330003827e-05,0.00016123816634531994,-8.027406793611973e-05,0.0001328606179306214,-7.427034681319595e-05,8.997693617636221e-05,-6.99911031806909e-05,3.680710629260137e-05,-6.884061870058603e-05,-2.1332940147007785e-05,-7.120403149678721e-05,-7.858793354735235e-05,-7.638519220076466e-05,-0.00012918041509853772,-8.274518607101989e-05,-0.00016801688972593117,-8.801364072653796e-05,-0.0001912154342982055,-8.971674576111987e-05,-0.00019650141311143552,-8.564992013096868e-05,-0.00018343527534348482,-7.432208714089644e-05,-0.000153459335021865,-5.53051600639001e-05,-0.00010975541104280236,-2.943396942007558e-05,-5.694551399927568e-05,6.13132233588486e-07,-3.604510448749925e-07
3,1.1727337037296965,24134795.168284148,-2203.917812041742,37.935792758820966,1.2885388938596247,0.1882365199708164,0.04285462564003832,0.004447732139873416,1.3585068694110645,1083.5752217554714,10.0,10.0,0.0,10.0,10.0,0.0,13.545165327806517,-1.3735431613613805e-06,-8.081662869195911e-07,-0.00010176507377725903,0.00017194214718000767,-0.000183061215831626,0.00032901022149865874,-0.00024062182706898337,0.00045349117849813564,-0.0002727946147335243,0.0005321395972626167,-0.0002819954000487054,0.0005561842305991473,-0.0002739150700380351,0.0005223622712191724,-0.0002562304822572728,0.0004333640441904519,-0.0002370449139694197,0.000297650735596884,-0.00022331829623132115,0.00012862680475764636,-0.00021956137206190974,-5.6747837602199924e-05,-0.0002270188559340612,-0.0002397526161197348,-0.00024347762515553964,-0.00040189498386121464,-0.0002637200558813629,-0.0005268584815177766,-0.00028052625744544703,-0.0006021912210800874,-0.00028603950208563964,-0.0006205639898947062,-0.00027326146411759127,-0.0005804861677391345,-0.00023744395533054636,-0.0004864377640808608,-0.0001771722975171576,-0.00034840106280863386,-9.497462786092299e-05,-0.0001808786924809362,1.3740141154249577e-06,-8.073278533133522e-07
4,1.1727337037296965,24134795.168284148,-2203.917812041742,37.935792758820966,1.2885388938596247,0.1882365199708164,0.04285462564003832,0.004447732139873416,1.3585068694110645,1083.5752217554714,10.0,10.0,0.0,10.0,10.0,0.0,21.377208828730684,-2.1683820844348537e-06,-1.276585344475945e-06,-0.0002838535662749472,0.00048491502674420206,-0.0005143515419947321,0.0009291482825832235,-0.000678202987477447,0.001283742882544745,-0.000770162890205156,0.0015103356111310614,-0.000796798762784561,0.0015831184221591055,-0.0007742308100355714,0.0014919162432191762,-0.0007243746677840024,0.0012436085737039038,-0.0006703812953343232,0.000861696994172788,-0.0006320733745863675,0.0003839721040797076,-0.0006221932570600666,-0.00014147392048642908,-0.0006441139111438745,-0.0006614179120866661,-0.0006913796470081697,-0.001123218588971558,-0.0007490918559739911,-0.0014803805915753815,-0.0007968184819054911,-0.0016973437988349277,-0.0008124640389818936,-0.0017530256259466123,-0.0007764284580840094,-0.0016428232770104034,-0.0006754098305328253,-0.001378965840063888,-0.0005053201404275126,-0.0009891943632100973,-0.0002729016736512291,-0.0005139561171360194,2.1696973148877646e-06,-1.2730660235839981e-06
5,1.1727337037296965,24134795.168284148,-2203.917812041742,37.935792758820966,1.2885388938596247,0.1882365199708164,0.04285462564003832,0.004447732139873416,1.3585068694110645,1083.5752217554714,10.0,10.0,0.0,10.0,10.0,0.0,24.55084500193785,-2.4913665716456534e-06,-1.467466338754202e-06,-0.0004778284674140047,0.0008157509209623595,-0.0008683356059587425,0.001563905457401302,-0.0011460348970137395,0.002162508330122516,-0.0013016413473408439,0.00254594768562,-0.0013462913219427666,0.002669688177765161,-0.0013076332807532142,0.0025156951640280594,-0.0012232543542565568,0.0020950450683593735,-0.001132713694327762,0.0014472874262807833,-0.0010696379758649388,0.0006364769961556262,-0.001055323074745407,-0.00025568113755456253,-0.0010949565321912394,-0.0011387130881085545,-0.0011770361718236178,-0.0019231421213887758,-0.0012759284438117041,-0.0025299395967107903,-0.0013569361498203393,-0.0028986101877551814,-0.0013828638533466484,-0.0029931471965206993,-0.0013209353200643907,-0.002805404611272836,-0.0011490124150828325,-0.0023557164394303774,-0.0008603019480476606,-0.0016907335822778317,-0.0004659451429990778,-0.0008787252008669358,2.4935839750365623e-06,-1.460712453781204e-06
6,1.1727337037296965,24134795.168284148,-2203.917812041742,37.935792758820966,1.2885388938596247,0.1882365199708164,0.04285462564003832,0.004447732139873416,1.3585068694110645,1083.5752217554714,10.0,10.0,0.0,10.0,10.0,0.0,26.164380378789442,-2.6567359988897415e-06,-1.5653487643472864e-06,-0.0006707430050186047,0.001140212518826713,-0.0012205451803180866,0.0021864223530051823,-0.0016111481808091107,0.003024022118557613,-0.001829199929525736,0.003560116578147964,-0.0018906485916873304,0.0037312766814142804,-0.001835084262743936,0.0035114337256641325,-0.001716170460396266,0.0029157825252174325,-0.0015900869892754017,0.001999972341454822,-0.0015041722928529494,0.0008544650400538934,-0.001487884189834681,-0.0004052683326696399,-0.0015476551399407968,-0.0016514135181601994,-0.0016663786482761173,-0.002757659243839324,-0.0018073259899193822,-0.0036125063989016176,-0.001921484394038823,-0.004130586507434706,-0.0019568153462532828,-0.004260972485748574,-0.0018678145084072134,-0.003991903506611872,-0.001623958859257273,-0.0033517083950084605,-0.0012160151975814076,-0.0024058782832456715,-0.0006594849734365255,-0.0012505566523459243,2.6598534244167027e-06,-1.555263375761665e-06
7,1.1727337037296965,24134795.168284148,-2203.917812041742,37.935792758820966,1.2885388938596247,0.1882365199708164,0.04285462564003832,0.004447732139873416,1.3585068694110645,1083.5752217554714,10.0,10.0,0.0,10.0,10.0,0.0,27.13215331212813,-2.7572484985066028e-06,-1.624726500281767e-06,-0.0008624489718679552,0.001457819787254493,-0.0015704703006860748,0.002795664258582501,-0.002072693192366272,0.0038665868417224504,-0.002351721469667239,0.004550458979407547,-0.0024285885875456508,0.004764885300755921,-0.0023552454975187746,0.004475679294856113,-0.0022018186347618767,0.0037021484161540307,-0.0020412840894384653,0.0025161349692979515,-0.0019345546275579373,0.0010346519975223387,-0.0019188171527455206,-0.0005929506493740534,-0.0020011531089204147,-0.0022015018674824845,-0.0021582889074009044,-0.0036279479223843445,-0.002342057112725153,-0.004728474909466875,-0.0024891125508932524,-0.00539298536784366,-0.002532873744153696,-0.005555700464182924,-0.0024156015693110456,-0.005201218932016213,-0.0020988799951085035,-0.004365781703776753,-0.001571330857452817,-0.003133658487000046,-0.00085279124902634,-0.0016289088491355816,2.7612631831359214e-06,-1.6112837066729913e-06
8,1.1727337037296965,24134795.168284148,-2203.917812041742,37.935792758820966,1.2885388938596247,0.1882365199708164,0.04285462564003832,0.004447732139873416,1.3585068694110645,1083.5752217554714,10.0,10.0,0.0,10.0,10.0,0.0,27.769282441112004,-2.8248763240131683e-06,-1.6643795987693651e-06,-0.0010528200654302512,0.0017684590464453309,-0.0019177920472927277,0.003391367070125179,-0.0025301810026678055,0.004689733743340948,-0.002868591134357861,0.005516273216119137,-0.0029594256801317113,0.005769584062274391,-0.002867414768270264,0.005407314513030843,-0.002679522139644149,0.004452912371165924,-0.0024856752859110333,0.002994529375237743,-0.002360200196727789,0.0011758799916159978,-0.002347559887106166,-0.0008197069634086376,-0.002454878038224958,-0.0027897146761848403,-0.0026521524073871727,-0.004534473514292099,-0.002879445534009477,-0.005878043673071244,-0.00305908265646528,-0.00668577000612835,-0.003110262179434151,-0.006877111198264833,-0.0029635254555132303,-0.006433015836660336,-0.002573073284792306,-0.005397566549503658,-0.0019256885993726841,-0.0038737568096775623,-0.0010455208598835453,-0.002013602660110559,2.829785120676003e-06,-1.64758038700176e-06
9,1.1727337037296965,24134795.168284148,-2203.917812041742,37.935792758820966,1.2885388938596247,0.1882365199708164,0.04285462564003832,0.004447732139873416,1.3585068694110645,1083.5752217554714,10.0,10.0,0.0,10.0,10.0,0.0,28.213592635668572,-2.8736035479802214e-06,-1.6925208793863401e-06,-0.0012417064863752309,0.0020720809288868438,-0.0022621946449955938,0.0039734119343560045,-0.0029831618657389,0.005493247383686253,-0.0033792704477676873,0.00645723306244633,-0.0034825811575591886,0.00674493896686318,-0.003371015352093094,0.006305820743513234,-0.003148734401708467,0.005167513558729443,-0.002922753529791232,0.003434608000451907,-0.002780631925124087,0.0012776720459423893,-0.0027736419295182496,-0.001085897006930558,-0.002908338017453867,-0.003416267364498707,-0.003147433121484102,-0.005477302043329014,-0.0034189017763639057,-0.00706114257657108,-0.003630759846689802,-0.00800875973416248,-0.003688326136384051,-0.008224946714228253,-0.0035109529015416585,-0.007686998430540203,-0.003045978340624558,-0.006446774825497046,-0.0022786570845184915,-0.004625942187142676,-0.0012374243802293653,-0.0024045114004050292,2.879402865346996e-06,-1.6723804852199125e-06
10,1.1727337037296965,24134795.168284148,-2203.917812041742,37.935792758820966,1.2885388938596247,0.1882365199708164,0.04285462564003832,0.004447732139873416,1.3585068694110645,1083.5752217554714,10.0,10.0,0.0,10.0,10.0,0.0,28.534609701978038,-2.910485058074773e-06,-1.7132922351415977e-06,-0.0014289420925287727,0.002368641944780819,-0.0026033502288651924,0.004541699609981648,-0.003431183381439631,0.006276959059660963,-0.0038832298203305663,0.007373095590771723,-0.0039974958433440224,0.007690639848405118,-0.0038654976158042516,0.00717084152272027,-0.0036089393847944283,0.00584558356746077,-0.0033520418771490396,0.0038360331646788495,-0.003195399804666101,0.0013397629674448907,-0.003196616157710234,-0.0013916827399718305,-0.0033610619917983924,-0.0040812054821340255,-0.0036436160289504142,-0.006456367457852442,-0.003959860601313866,-0.008277611997716428,-0.004203539241507607,-0.009361726297728357,-0.004266447927843589,-0.009598937906533236,-0.004057293416202797,-0.008962886870590861,-0.0035170802757540894,-0.007513149430125109,-0.00262984764132625,-0.005390016060722393,-0.0014282846896557272,-0.0028015281373332335,2.9171708100402463e-06,-1.689835365177939e-06
