时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.47449748020816657,12319125.356218329,-2.2737367544323206e-13,6.377673148734641,0.8498535069634856,0.08147968106706471,0.03493351811831604,0.0024428562986817275,0.8702481224791806,1209.488944946,10.0,10.0,1000.0,10.0,10.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.47449748020816657,12319125.356218329,-2.2737367544323206e-13,6.377673148734641,0.8498535069634856,0.08147968106706471,0.03493351811831604,0.0024428562986817275,0.8702481224791806,1209.488944946,10.0,10.0,1000.0,10.0,10.0,1000.0,6.953458676452142,-5.375586555090174e-07,-2.0022980244209472e-07,1.588810265530052e-06,-8.71236834250932e-06,6.8008510193853134e-06,-2.576093796161434e-05,1.2692999550595815e-05,-4.7400008843772035e-05,1.77196729068835e-05,-6.876028300388482e-05,2.0899156270479857e-05,-8.507300906687143e-05,2.1944110449868803e-05,-9.255565738604858e-05,2.1210018315208496e-05,-8.910505451179923e-05,1.9495157218154682e-05,-7.466443953906637e-05,1.7748707249966488e-05,-5.1204852602152236e-05,1.67593166236668e-05,-2.232887343204097e-05,1.6903061843868304e-05,7.427267592944466e-06,1.802140741027529e-05,3.346302733595386e-05,1.9471469153376847e-05,5.199011270420499e-05,2.034381566662091e-05,6.0747086793293215e-05,1.9788937698214535e-05,5.9411061872506024e-05,1.7351893858897504e-05,4.9624649795337056e-05,1.3203419993191537e-05,3.463227678882798e-05,8.183929489066587e-06,1.8600906616051606e-05,3.6364102704092366e-06,5.7556872428624615e-06,5.341192024115908e-07,-2.086797218149301e-07
3,0.47449748020816657,12319125.356218329,-2.2737367544323206e-13,6.377673148734641,0.8498535069634856,0.08147968106706471,0.03493351811831604,0.0024428562986817275,0.8702481224791806,1209.488944946,10.0,10.0,1000.0,10.0,10.0,1000.0,15.878920383270653,-1.2286108216024847e-06,-4.556001659680643e-07,4.644760483844901e-06,-2.2735352963922496e-05,1.847394762229995e-05,-6.766381280214312e-05,3.411774881833913e-05,-0.00012479784285589793,4.7478612485997055e-05,-0.00018120710077332321,5.5942961836452e-05,-0.00022416382667389643,5.873783486446188e-05,-0.00024354289706038354,5.680125430692302e-05,-0.00023370189826865266,5.225589878783656e-05,-0.00019448300754040015,4.7634846766869694e-05,-0.0001311751045583032,4.5049468981007236e-05,-5.345744389638106e-05,4.550953084619236e-05,2.6471863723062955e-05,4.858746196088085e-05,9.62334375579541e-05,5.254597009485334e-05,0.00014562860517019433,5.492164646493315e-05,0.00016856923594873291,5.340837465433464e-05,0.00016419403730971038,4.6767920756310316e-05,0.00013694941109063452,3.546243763336714e-05,9.561935455849936e-05,2.1780111505109855e-05,5.1506683523816545e-05,9.388276686318202e-06,1.6119846212466702e-05,1.2193760453727957e-06,-4.783294735038047e-07
4,0.47449748020816657,12319125.356218329,-2.2737367544323206e-13,6.377673148734641,0.8498535069634856,0.08147968106706471,0.03493351811831604,0.0024428562986817275,0.8702481224791806,1209.488944946,10.0,10.0,1000.0,10.0,10.0,1000.0,24.85680974543874,-1.9254231422787748e-06,-7.094254775819447e-07,9.586298172643929e-06,-4.206292400317421e-05,3.560496906459724e-05,-0.00012602220198955068,6.504352667154487e-05,-0.0002329698347812247,9.020936458382644e-05,-0.00033856554720436747,0.00010617911195338083,-0.00041873664198069485,0.00011148122881419418,-0.00045427962340697863,0.00010786446886237988,-0.00043447004997246297,9.932099309364301e-05,-0.0003589987443010071,9.06374407203588e-05,-0.00023792332361227656,8.582314365108138e-05,-8.967445610878663e-05,8.680889580591115e-05,6.249939810916498e-05,9.278710184312962e-05,0.00019498656584716515,0.000100434749126177,0.0002883247265319165,0.00010501978650107189,0.00033089741392740914,0.00010209868673267559,0.0003210811144708118,8.927857581072169e-05,0.00026741469106550663,6.74480782136159e-05,0.00018676164300063453,4.102919384509151e-05,0.0001008521789208035,1.7122114828246852e-05,3.1887155593221895e-05,1.9078517452443433e-06,-7.527537739274724e-07
5,0.47449748020816657,12319125.356218329,-2.2737367544323206e-13,6.377673148734641,0.8498535069634856,0.08147968106706471,0.03493351811831604,0.0024428562986817275,0.8702481224791806,1209.488944946,10.0,10.0,1000.0,10.0,10.0,1000.0,35.29568279455968,-2.7394072131841613e-06,-9.97044059477094e-07,1.990435836505739e-05,-7.734627892143777e-05,6.867532049672126e-05,-0.00023357584615582032,0.00012383206175083656,-0.0004329271875745859,0.00017102619521362943,-0.0006297569720367063,0.00020105062756469464,-0.0007786962667203444,0.0002111137558872884,-0.0008434428827070284,0.00020442753526140787,-0.000803671618841059,0.00018842672259324788,-0.0006587682410229819,0.00017210145869103857,-0.0004277902923587638,0.00016305754621589883,-0.00014572601846788035,0.00016502449845720238,0.00014323136243301322,0.0001765313226425615,0.00039414803625947923,0.00019125826248431768,0.000569957174631876,0.0002001167256136666,0.0006485364743683519,0.0001945205944622934,0.000626839858786817,0.00016982175516471463,0.0005212508960199954,0.00012772552807087826,0.00036410150524259773,7.679284290908263e-05,0.000197099651707765,3.077818871193759e-05,6.298247911603885e-05,2.7060744258875365e-06,-1.0794170616779374e-06
6,0.47449748020816657,12319125.356218329,-2.2737367544323206e-13,6.377673148734641,0.8498535069634856,0.08147968106706471,0.03493351811831604,0.0024428562986817275,0.8702481224791806,1209.488944946,10.0,10.0,1000.0,10.0,10.0,1000.0,44.361430986205356,-3.453645656954343e-06,-1.2314729529958125e-06,3.8144881949555256e-05,-0.00013408467264143197,0.0001240145831959801,-0.00040784902593796977,0.00022102320122150478,-0.0007577552716563127,0.00030411048850434815,-0.0011033966509166342,0.0003571853865699295,-0.0013645111513094933,0.0003752714889448811,-0.0014766961480570198,0.0003638029521852354,-0.001403774383524876,0.00033563882731449076,-0.0011445165246976516,0.0003065478505584842,-0.0007326591366791061,0.00029010955357762735,-0.00023034200346677748,0.00029322605670062564,0.00028378818525867053,0.0003135627230578319,0.0007296282677992012,0.0003399606840047662,0.0010410010520598351,0.00035606114653934226,0.0011783657470085984,0.0003462406299113618,0.0011362789790980619,0.00030195346718875924,0.0009440756615510592,0.0002262230600141604,0.0006596691783468235,0.0001345714087489497,0.0003578271172001669,5.192757673964346e-05,0.00011531507611963156,3.3944273152347778e-06,-1.378104117722204e-06
7,0.47449748020816657,12319125.356218329,-2.2737367544323206e-13,6.377673148734641,0.8498535069634856,0.08147968106706471,0.03493351811831604,0.0024428562986817275,0.8702481224791806,1209.488944946,10.0,10.0,1000.0,10.0,10.0,1000.0,49.327990998028795,-3.852173765484985e-06,-1.3447533091050966e-06,5.7230976625895205e-05,-0.00019087556948987541,0.00018036139911803919,-0.0005831125546492656,0.00031934058955694145,-0.0010851506661112308,0.00043850524622432354,-0.0015816120353933246,0.0005149693057117574,-0.0019570061962178665,0.0005415124704458475,-0.002118461175378383,0.0005255743409905056,-0.0020136161107771207,0.00048519161351202005,-0.0016403819641174014,0.00044281333376650685,-0.0010470563715470687,0.00041814148913077535,-0.0003229752523024554,0.0004215859069319064,0.00041853646708905245,0.00045027957283097237,0.0010618286893986678,0.0004883543300090506,0.001511169394530684,0.0005120366859301023,0.0017092094297463858,0.0004983485439183966,0.0016478760312051938,0.0004345636280859709,0.0013694192993254062,0.000324947359307414,0.0009574656299589162,0.00019214063906630374,0.0005200861968048337,7.251192905286093e-05,0.0001683932204853992,3.766895487121904e-06,-1.5561624535008066e-06
8,0.47449748020816657,12319125.356218329,-2.2737367544323206e-13,6.377673148734641,0.8498535069634856,0.08147968106706471,0.03493351811831604,0.0024428562986817275,0.8702481224791806,1209.488944946,10.0,10.0,1000.0,10.0,10.0,1000.0,52.433101855535845,-4.10754902762405e-06,-1.4029961915299485e-06,7.666783933717359e-05,-0.00024772886559324184,0.00023703331750964815,-0.0007591167765747102,0.0004179185357966869,-0.0014146079627902655,0.0005732085898179655,-0.0020638112138949556,0.0006733380251613917,-0.0025558290507037037,0.0007087867045941639,-0.002769058766181272,0.000688759638078459,-0.0026346512113459373,0.0006361806577258534,-0.002149342450042573,0.000580031397104147,-0.0013757071535154383,0.0005462502501419461,-0.0004300825787814403,0.000549087531743823,0.0005395740903986905,0.0005855119900073133,0.001381935382685101,0.0006351427846239009,0.0019714389314336293,0.0006667207423645592,0.002232588593477901,0.0006496477320574512,0.002154368574057599,0.0005667410926798301,0.0017917048272530639,0.0004233857904560576,0.0012537775072784913,0.00024940718527203024,0.0006818791872875181,9.276301618053439e-05,0.00022148625447885903,3.996208991611917e-06,-1.6792481712773909e-06
9,0.47449748020816657,12319125.356218329,-2.2737367544323206e-13,6.377673148734641,0.8498535069634856,0.08147968106706471,0.03493351811831604,0.0024428562986817275,0.8702481224791806,1209.488944946,10.0,10.0,1000.0,10.0,10.0,1000.0,54.54368805046369,-4.286677571027926e-06,-1.4318085403498422e-06,9.627018595046572e-05,-0.00030466751312891507,0.0002937875321460666,-0.0009358397578820975,0.0005164618953117728,-0.0017460989183930796,0.0007078888629945132,-0.002550048046396886,0.0008319470928413485,-0.0031612397561075587,0.0008767632625368847,-0.0034290917655156856,0.0008530614906423379,-0.003267947345754892,0.0007883465247494592,-0.002673011123001437,0.0007179645672013141,-0.0017207865426894504,0.0006741888357208163,-0.0005543381215327291,0.0006754415885987058,0.0006438715522457223,0.0007189121186516726,0.001686771642498749,0.0007799327897629753,0.0024187251084406753,0.0008197171323766429,0.0027457393915547635,0.000799797488989589,0.0026534913262095568,0.0006982537129366033,0.0022092632533065614,0.0005214424371079511,0.0015475351680168446,0.0003064026868816997,0.0008426471561335019,0.00011279718316631741,0.0002743864033945309,4.149319929699783e-06,-1.7728471274373978e-06
10,0.47449748020816657,12319125.356218329,-2.2737367544323206e-13,6.377673148734641,0.8498535069634856,0.08147968106706471,0.03493351811831604,0.0024428562986817275,0.8702481224791806,1209.488944946,10.0,10.0,1000.0,10.0,10.0,1000.0,56.06097696151136,-4.4205370800122685e-06,-1.4430482473804287e-06,0.00011594949312339735,-0.0003616946857387419,0.00035050375442802174,-0.001113253001566119,0.000614818528650312,-0.002079585215263506,0.0008423674552859046,-0.0030403236786892577,0.0009906033659924213,-0.0037733449587135847,0.0010452519254996707,-0.004098840603184296,0.0010183100459126044,-0.003914014951168174,0.0009415488626907037,-0.003212160851854539,0.0008564966283829699,-0.0020833296028946974,0.0008018461011993272,-0.0006970006422540154,0.0008005183679168421,0.0007300227203012668,0.0008503169229080653,0.0019748883482754494,0.000922532300978141,0.0028516496097089556,0.0009708288582548563,0.0032474555873092297,0.0009486300009765591,0.0031442807940407535,0.000828992214112041,0.0026214037805234883,0.000619078641393401,0.0018383079944824827,0.0003631496378015783,0.0010021704282804588,0.00013267252349314146,0.00032701158859590405,4.257226945021337e-06,-1.8487645607078057e-06
