时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,15.75714767105722,324331146.6867739,-15018.787676869135,3622.0033069450747,2.6056403021334775,0.2762661875905477,0.20905346357568863,0.011921957238601595,2.6817680902569023,802.4927664365326,6.900509683375622,8.357284110300887,726.585901962294,8.36890485597391,6.513887465785289,483.30788703026883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,15.75714767105722,324331146.6867739,-15018.787676869135,3622.0033069450747,2.6056403021334775,0.2762661875905477,0.20905346357568863,0.011921957238601595,2.6817680902569023,802.4927664365326,6.900509683375622,8.357284110300887,726.585901962294,8.36890485597391,6.513887465785289,483.30788703026883,2.7049691254320285,-1.920838798574489e-06,-6.582440602587788e-07,1.6299383690679602e-07,-1.5839014967081e-05,8.089781922221068e-06,-4.001920546910031e-05,1.6510636978210896e-05,-6.896518063695213e-05,2.349636924853364e-05,-9.69480576886607e-05,2.786074423996866e-05,-0.00011857522910741263,2.9308368715685027e-05,-0.00012966047780334984,2.8342924861666632e-05,-0.00012789988071946538,2.6009807008557444e-05,-0.000113212653637808,2.353808223636318e-05,-8.769467536461889e-05,2.196546760333707e-05,-5.5197565961033044e-05,2.183613918809923e-05,-2.0610193001804538e-05,2.304949968485241e-05,1.103070798307235e-05,2.4905408519862523e-05,3.544209701919015e-05,2.6340468949518088e-05,4.984415215371269e-05,2.629288907246268e-05,5.341837257769124e-05,2.4088972898586387e-05,4.738906790336495e-05,1.9729320601281766e-05,3.471316216266224e-05,1.3978024604314833e-05,1.9442653708219952e-05,8.261628888507684e-06,5.882900285791334e-06,1.5727730403134588e-06,-8.651966018387969e-07
3,15.75714767105722,324331146.6867739,-15018.787676869135,3622.0033069450747,2.6056403021334775,0.2762661875905477,0.20905346357568863,0.011921957238601595,2.6817680902569023,802.4927664365326,6.900509683375622,8.357284110300887,726.585901962294,8.36890485597391,6.513887465785289,483.30788703026883,6.385679323581814,-4.539814071018398e-06,-1.5497870367243819e-06,2.4894974823516856e-06,-4.272657589073563e-05,2.459088367993212e-05,-0.00010934454117351343,4.810668109183733e-05,-0.00018927087195212125,6.763169649573815e-05,-0.0002664447074240514,7.982531496604679e-05,-0.0003256044193611572,8.384326250898912e-05,-0.00035484298101613434,8.109981085291944e-05,-0.0003475961438149632,7.455162976774216e-05,-0.00030366053626316764,6.768599836159234e-05,-0.00022908803984457286,6.344962005036656e-05,-0.000134992416051335,6.337526139565162e-05,-3.548762162845261e-05,6.713559205316031e-05,5.487802599097699e-05,7.266386906770366e-05,0.0001237334907715032,7.68343578741096e-05,0.00016306579075864877,7.652638213284532e-05,0.00017056372519505373,6.976136090105878e-05,0.00014987510475792206,5.6554945946706424e-05,0.00010973363277644072,3.919907544174712e-05,6.214118617389691e-05,2.1969270335395456e-05,1.9968415000479042e-05,3.7135155373058645e-06,-2.048795429400715e-06
4,15.75714767105722,324331146.6867739,-15018.787676869135,3622.0033069450747,2.6056403021334775,0.2762661875905477,0.20905346357568863,0.011921957238601595,2.6817680902569023,802.4927664365326,6.900509683375622,8.357284110300887,726.585901962294,8.36890485597391,6.513887465785289,483.30788703026883,10.083370519797143,-7.179037580064069e-06,-2.436302555340865e-06,9.296269206511916e-06,-8.106491984435773e-05,5.2746313574695215e-05,-0.00021038198746139926,9.899151296904275e-05,-0.0003657416848504689,0.0001373854826628075,-0.0005154144461097728,0.00016133216904064466,-0.0006290035119535431,0.00016914923961423004,-0.0006826994807282617,0.00016363243924788753,-0.0006633788284513681,0.00015066044372784003,-0.0005707323199639245,0.0001371938723882197,-0.00041710351056960037,0.00012912850311682858,-0.00022510576885925273,0.00012951620137151873,-2.3455802484197875e-05,0.00013762943764062625,0.0001582418665952556,0.00014917733090291096,0.00029482790974838784,0.00015768365659937832,0.0003700619436928192,0.00015668005075187227,0.00037939900998830737,0.0001420741591185256,0.0003305502371519943,0.00011394312973951448,0.00024173592616995982,7.715081437826727e-05,0.00013800925994040777,4.072544563729213e-05,4.64044921998161e-05,5.863261244633666e-06,-3.2502584033437578e-06
5,15.75714767105722,324331146.6867739,-15018.787676869135,3622.0033069450747,2.6056403021334775,0.2762661875905477,0.20905346357568863,0.011921957238601595,2.6817680902569023,802.4927664365326,6.900509683375622,8.357284110300887,726.585901962294,8.36890485597391,6.513887465785289,483.30788703026883,14.067985468031956,-1.003906968259832e-05,-3.366881005100251e-06,2.8367337762900414e-05,-0.0001521842534219516,0.00011329572337564047,-0.00040153858453214724,0.0002035467354025807,-0.0007011776006959543,0.00027837606281619397,-0.0009887609619673493,0.0003249521179252448,-0.0012041722032231624,0.0003399844577355997,-0.0013002097427012764,0.0003289232842798363,-0.0012509419178483741,0.000303305530217227,-0.0010560944565626512,0.00027688929785410265,-0.0007408133869654523,0.00026141834580525414,-0.00035093163791256556,0.00026300804429409087,5.5400895073156446e-05,0.0002801434071867226,0.00041826285763477757,0.0003039993680133122,0.0006868046431559319,0.00032119674504429546,0.0008283911718104956,0.00031833156260658506,0.0008343081232438838,0.0002869433187846685,0.0007209457949305211,0.00022731451676223614,0.0005262693933435835,0.00014979780844874728,0.0003023541791672926,7.341557082518286e-05,0.00010555869599264657,8.17361246732953e-06,-4.575200025488008e-06
6,15.75714767105722,324331146.6867739,-15018.787676869135,3622.0033069450747,2.6056403021334775,0.2762661875905477,0.20905346357568863,0.011921957238601595,2.6817680902569023,802.4927664365326,6.900509683375622,8.357284110300887,726.585901962294,8.36890485597391,6.513887465785289,483.30788703026883,16.687194418197528,-1.1939912401401545e-05,-3.940145692734381e-06,5.877682333519667e-05,-0.000244564937801217,0.00019891000736616828,-0.0006530206666524824,0.0003474717726516401,-0.0011436748907627595,0.0004704917654040777,-0.0016132319530138208,0.0005470456861746864,-0.0019617834082962826,0.0005717161788255674,-0.002110852347663324,0.0005533073699669129,-0.002017483136898301,0.0005106614840364878,-0.001681662965914818,0.00046649846930995204,-0.0011459831724889623,0.0004404912917615627,-0.0004877566689850057,0.0004431301566300699,0.0001950010884520872,0.0004720945863251101,0.0008013190346700653,0.0005125147731127232,0.0012456055573331717,0.0005415131417008894,0.0014731721583543078,0.0005359941409268967,0.0014699469430268814,0.0004813459044221128,0.0012644843827900314,0.0003781433140665311,0.000921949089804372,0.0002444710525694303,0.0005314344486874907,0.00011327863726276252,0.00018935442385965425,9.68049243115501e-06,-5.48973601956534e-06
7,15.75714767105722,324331146.6867739,-15018.787676869135,3622.0033069450747,2.6056403021334775,0.2762661875905477,0.20905346357568863,0.011921957238601595,2.6817680902569023,802.4927664365326,6.900509683375622,8.357284110300887,726.585901962294,8.36890485597391,6.513887465785289,483.30788703026883,18.110800831403758,-1.299139923303946e-05,-4.2164092594777204e-06,9.147529234301124e-05,-0.00033637767423306424,0.00028677645169302145,-0.0009045559394120832,0.0004934505965808282,-0.0015871144413047867,0.0006645406343436867,-0.00223962198880239,0.0007712238782576361,-0.002722169119460488,0.0008059079884137208,-0.0029248331616705736,0.0007804593375688258,-0.0027875233383636154,0.0007206726322966548,-0.002310430042126642,0.0006580596062924932,-0.0015535829204327996,0.0006203735304747769,-0.0006258386996323983,0.0006228860075778635,0.00033476311095863753,0.0006628997685855665,0.0011859564012473654,0.0007196986873554145,0.001807136352398995,0.0007607666336920156,0.0021213581416069907,0.0007529432928400895,0.0021091308795447698,0.0006751080436558698,0.0018112582762735432,0.0005280143042633133,0.0013202751512645181,0.00033766592689172376,0.0007624735819427534,0.00015126092863749005,0.00027448173076992507,1.0488725864184433e-05,-6.024834500424368e-06
8,15.75714767105722,324331146.6867739,-15018.787676869135,3622.0033069450747,2.6056403021334775,0.2762661875905477,0.20905346357568863,0.011921957238601595,2.6817680902569023,802.4927664365326,6.900509683375622,8.357284110300887,726.585901962294,8.36890485597391,6.513887465785289,483.30788703026883,18.997340787193043,-1.3661831709298615e-05,-4.358916015621937e-06,0.00012517663734001655,-0.0004281719214911981,0.0003755182205250155,-0.0011569811820651538,0.0006400897142196265,-0.0020329423593887664,0.0008591956094607769,-0.0028703882594092243,0.0009962910932026815,-0.0034892233305888207,0.0010415279791725596,-0.0037478642516000724,0.001009498939492828,-0.003568857638810403,0.0009325509279518513,-0.002952356425101635,0.000850780832745911,-0.001975589546417138,0.0008001637117143942,-0.0007787677912114102,0.0008011877977584893,0.0004601225426447061,0.0008512741673927304,0.0015574475707607807,0.0009241473901820608,0.0023573871372569756,0.0009775957339148975,0.0027604794193588564,0.0009680677621700823,0.0027415695437711346,0.000867564651983485,0.002353511591186051,0.0006768283874546697,0.0017160415906186785,0.0004298446110188595,0.0009924924756587634,0.00018825129368109296,0.0003595874855322728,1.0983721867632736e-05,-6.388636917713642e-06
9,15.75714767105722,324331146.6867739,-15018.787676869135,3622.0033069450747,2.6056403021334775,0.2762661875905477,0.20905346357568863,0.011921957238601595,2.6817680902569023,802.4927664365326,6.900509683375622,8.357284110300887,726.585901962294,8.36890485597391,6.513887465785289,483.30788703026883,19.59748658903514,-1.4129698660821603e-05,-4.429862592534007e-06,0.00015937666299182922,-0.0005201248039751341,0.00046457978108281416,-0.001410553216409232,0.0007868139864733195,-0.0024816507589235596,0.0010538995711655518,-0.003506456328743179,0.001221741334185352,-0.004264505991676897,0.001278143948093492,-0.004582303192712899,0.0012400729764636485,-0.004364732640193881,0.001146004456226312,-0.003611573433214585,0.001044391989540025,-0.002416907418813144,0.0009795633614125762,-0.0009520047249806794,0.0009776680393245479,0.0005653645018909251,0.0010367711463023291,0.0019101740342569273,0.0011253678361271668,0.002891182939638113,0.0011915323698319165,0.003386093755315771,0.0011810130113311024,0.003363739907113382,0.0010585491610085923,0.0028886991904635054,0.0008246386903719251,0.0021076106115613513,0.0005212552047606185,0.0012205828152540862,0.0002246228422788749,0.00044424922861708357,1.1312373737920353e-05,-6.6604939333777605e-06
10,15.75714767105722,324331146.6867739,-15018.787676869135,3622.0033069450747,2.6056403021334775,0.2762661875905477,0.20905346357568863,0.011921957238601595,2.6817680902569023,802.4927664365326,6.900509683375622,8.357284110300887,726.585901962294,8.36890485597391,6.513887465785289,483.30788703026883,20.026457756986886,-1.447709493909001e-05,-4.457875577501004e-06,0.00019383016109169614,-0.0006122860360227672,0.0005536710011594747,-0.0016653109700648344,0.0009332991940980031,-0.0029333431784562313,0.001248312374767725,-0.004148103863769872,0.0014472410030558153,-0.0050485867000334105,0.0015154526012264467,-0.0054291111664443335,0.00147192628453106,-0.005176561251035581,0.0013608291600881836,-0.0042899525568357,0.0012387234536159538,-0.002879813941989788,0.001158405371796087,-0.0011481219633202892,0.0011521289333110967,0.0006477798606477059,0.0012191454449532592,0.0022414742711333435,0.0013230792880396466,0.003406089648470225,0.0014023005835048109,0.003996138293542318,0.0013915619292173792,0.0039740348731015064,0.0012479488850849554,0.0034156853806505323,0.0009714544611822063,0.0024942693886164245,0.0006120110453425846,0.0014463581878751525,0.00026055012002594867,0.0005282869032725634,1.154226676821857e-05,-6.876902611816475e-06
11,15.75714767105722,324331146.6867739,-15018.787676869135,3622.0033069450747,2.6056403021334775,0.2762661875905477,0.20905346357568863,0.011921957238601595,2.6817680902569023,802.4927664365326,6.900509683375622,8.357284110300887,726.585901962294,8.36890485597391,6.513887465785289,483.30788703026883,20.344484172685075,-1.4746944740428177e-05,-4.457946827650595e-06,0.0002283986657278006,-0.00070465665841648,0.0006426121170844551,-0.0019212086877028202,0.0010793247208067825,-0.003387963332935515,0.0014421806360916064,-0.004795329927532708,0.0016725206388022095,-0.005841598094779314,0.0017531924870724373,-0.006288626377209835,0.0017048296621921249,-0.0060049378422094325,0.001576841614155441,-0.004988363666779615,0.0014336321799555435,-0.0033654372507958188,0.0013365634132146398,-0.0013684507763030635,0.0013244300011405995,0.0007059228639025269,0.0013982209892116812,0.002549897694299081,0.0015170713481145728,0.003900762626858282,0.001609681949944411,0.0045894646828739385,0.001599528739850361,0.004571556506988758,0.001435647323450687,0.003933834909472177,0.0011172443859145645,0.0028756196394493553,0.0007021549806477765,0.0016696039060452408,0.0002961201969660534,0.0006116023654595641,1.1708763172461342e-05,-7.056942582060335e-06
12,15.75714767105722,324331146.6867739,-15018.787676869135,3622.0033069450747,2.6056403021334775,0.2762661875905477,0.20905346357568863,0.011921957238601595,2.6817680902569023,802.4927664365326,6.900509683375622,8.357284110300887,726.585901962294,8.36890485597391,6.513887465785289,483.30788703026883,20.586089360746477,-1.4963848423210075e-05,-4.4386914830550776e-06,0.000262994667185733,-0.0007972169621010738,0.0007312772525919143,-0.0021781647209829103,0.0012247212927619336,-0.0038453832311127673,0.0016352939626473714,-0.005448002417525912,0.0018973416385074794,-0.00664346073705449,0.0019911204641662014,-0.007160879394005812,0.0019385629172804695,-0.0068500492234390645,0.0017938639988441633,-0.005707177049738954,0.0016289838203507006,-0.0038743342210302216,0.0015139276455151587,-0.0016137103559938511,0.001494456156740238,0.0007389632442507564,0.0015738529748953916,0.0028345741229664086,0.0017071644971674556,0.004374368828111848,0.0018134809892908954,0.005165343385318989,0.0018047362361712316,0.005155721943455778,0.0016215188381015818,0.004442726916738924,0.001261951154404874,0.003251392328962362,0.0007916918366160239,0.0018901733246800714,0.0003313770123049318,0.0006941305868790355,1.1832152222590806e-05,-7.211545072943452e-06
13,15.75714767105722,324331146.6867739,-15018.787676869135,3622.0033069450747,2.6056403021334775,0.2762661875905477,0.20905346357568863,0.011921957238601595,2.6817680902569023,802.4927664365326,6.900509683375622,8.357284110300887,726.585901962294,8.36890485597391,6.513887465785289,483.30788703026883,20.772479106634282,-1.5142908431064117e-05,-4.405419763298281e-06,0.00029755770528174197,-0.0008899376091088745,0.0008195700386646979,-0.0024360810356484812,0.0013693485739043477,-0.004305439931225549,0.0018274667099107637,-0.006105921840447004,0.0021214832151148716,-0.007453982693017434,0.0022290034949469513,-0.008045734554212347,0.002172909899651664,-0.0077118596887081475,0.0020117200891861457,-0.0064464888921428164,0.0018246474113997198,-0.004406748043702887,0.0016903965724306403,-0.001884284771073717,0.0016621063881518655,0.0007464055299576559,0.0017459143888118192,0.003094945891868065,0.001893196620071278,0.004826346869666351,0.002013514508231279,0.005723263291521896,0.002007010682253629,0.005726108930809095,0.0018054310025381584,0.004942046675714444,0.0014055016146417118,0.0036213800855726046,0.0008806048935517776,0.0021079510681359342,0.00036634132508034617,0.000775821916123438,1.1924910213708038e-05,-7.347417878969998e-06
14,15.75714767105722,324331146.6867739,-15018.787676869135,3622.0033069450747,2.6056403021334775,0.2762661875905477,0.20905346357568863,0.011921957238601595,2.6817680902569023,802.4927664365326,6.900509683375622,8.357284110300887,726.585901962294,8.36890485597391,6.513887465785289,483.30788703026883,20.91739144141164,-1.5293899741066086e-05,-4.361588034856259e-06,0.0003320428693668445,-0.0009827845335532114,0.0009074116473188776,-0.002694851894931224,0.0015130840251797158,-0.004767952801184748,0.002018528928950783,-0.006768852628372092,0.0023447361546911224,-0.008272909812442652,0.0024666151495527497,-0.00894296248716892,0.002407656917662495,-0.008590206664294258,0.002230234260900807,-0.007206238065737594,0.002020493606680157,-0.00496274134503544,0.0018658735635878252,-0.00218036523271146,0.0018272884003229586,0.0007279462626328202,0.0019142894436224229,0.0033306333839993453,0.0020750165550653178,0.00525628860672074,0.002209606862441487,0.006262834882819318,0.002206180169959081,0.006282383065899935,0.001987246802156529,0.005431536155396014,0.0015478126847035879,0.003985407453034663,0.0009688644988085881,0.002322837403319345,0.0004010205079503565,0.0008566344960383698,1.1995130844440368e-05,-7.468899752241492e-06
