时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,2.498695208034876,55756201.75311936,7.275957614183426e-12,189.72327573373303,2.600151408236268,0.21611632716133594,0.057459160957134124,0.0062417244568993375,2.647288041701953,1435.1175685709252,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.498695208034876,55756201.75311936,7.275957614183426e-12,189.72327573373303,2.600151408236268,0.21611632716133594,0.057459160957134124,0.0062417244568993375,2.647288041701953,1435.1175685709252,10.0,10.0,0.0,10.0,10.0,0.0,1.0298316933862888,-1.9890611135470214e-07,-6.596400018343242e-08,-9.177782617406433e-06,2.7070582345948163e-05,-1.640913177498561e-05,5.1663929770675364e-05,-2.1490839566268238e-05,7.108405471287434e-05,-2.430684185395281e-05,8.32516268695088e-05,-2.510091428116188e-05,8.68184740182194e-05,-2.4398666932477044e-05,8.130655931606907e-05,-2.288616480472409e-05,6.715922341659498e-05,-2.1271581265852698e-05,4.569895481806821e-05,-2.0152652296539377e-05,1.8995536087548166e-05,-1.9911070751641213e-05,-1.034122128397948e-05,-2.064918372042712e-05,-3.942254611353485e-05,-2.217665066272696e-05,-6.536871647632067e-05,-2.4046583778146917e-05,-8.559515492215592e-05,-2.5633586305909804e-05,-9.80686867072466e-05,-2.6240980309202232e-05,-0.0001015095744537286,-2.522168058423962e-05,-9.552019498491327e-05,-2.2096484223422704e-05,-8.062831240061037e-05,-1.665394531255731e-05,-5.8239556548590894e-05,-9.022987040131099e-06,-3.05023548222625e-05,1.9886028506992617e-07,-6.610312924413623e-08
3,2.498695208034876,55756201.75311936,7.275957614183426e-12,189.72327573373303,2.600151408236268,0.21611632716133594,0.057459160957134124,0.0062417244568993375,2.647288041701953,1435.1175685709252,10.0,10.0,0.0,10.0,10.0,0.0,2.350040520703612,-4.5397949338684827e-07,-1.5051087448816577e-07,-2.469467296689419e-05,7.329596735095614e-05,-4.4252756987736345e-05,0.00013987035751796781,-5.799359025969077e-05,0.00019248824155967105,-6.560167459792121e-05,0.0002255332919283105,-6.773842513115606e-05,0.00023535957528342038,-6.582884021242785e-05,0.00022066897708828112,-6.173158822302265e-05,0.00018265123954599088,-5.736292623970172e-05,0.00012487071732825793,-5.433723774282813e-05,5.2910372520350735e-05,-5.368193312509476e-05,-2.6188489361550127e-05,-5.5668231111888155e-05,-0.0001046319018378214,-5.9777870796221427e-05,-0.00017465135207212482,-6.480341984706392e-05,-0.00022927612686914666,-6.906062865723207e-05,-0.00026302446112315224,-7.067780233170184e-05,-0.00027244779591629163,-6.792012894661916e-05,-0.00025647677133335396,-5.950566552295112e-05,-0.0002165364977877188,-4.487144127048603e-05,-0.00015641682540058825,-2.4364873997512234e-05,-8.190631624355345e-05,4.5385606472031415e-07,-1.5086737086230386e-07
4,2.498695208034876,55756201.75311936,7.275957614183426e-12,189.72327573373303,2.600151408236268,0.21611632716133594,0.057459160957134124,0.0062417244568993375,2.647288041701953,1435.1175685709252,10.0,10.0,0.0,10.0,10.0,0.0,3.7153167115873633,-7.178999383171009e-07,-2.37909894913803e-07,-4.79705054702443e-05,0.00014318931242228837,-8.61636543001572e-05,0.00027321178396027624,-0.00011298313745277082,0.0003760533221505998,-0.00012780971771638282,0.00044076034692577847,-0.00013194341520943753,0.0004602124995330312,-0.0001281806136590125,0.00043186412690883886,-0.00012016389222846137,0.0003580216290371932,-0.00011164109759189294,0.00024562448829002577,-0.00010575972615089422,0.00010555071439340332,-0.00010451116695701508,-4.8477713311965406e-05,-0.00010840583055936293,-0.00020127326148612994,-0.00011641638617947214,-0.0003377015380201835,-0.00012618147712685468,-0.00044418703069500727,-0.00013442475625969087,-0.0005100588250051985,-0.00013751889168558973,-0.0005286087634569199,-0.00013211231705916097,-0.0004977627399046633,-0.00011573593605002692,-0.0004203021600704631,-8.731218284066852e-05,-0.0003036083160979287,-4.751725221846388e-05,-0.00015894638321682015,7.176599070882611e-07,-2.385664361143378e-07
5,2.498695208034876,55756201.75311936,7.275957614183426e-12,189.72327573373303,2.600151408236268,0.21611632716133594,0.057459160957134124,0.0062417244568993375,2.647288041701953,1435.1175685709252,10.0,10.0,0.0,10.0,10.0,0.0,5.481174094665209,-1.0596951535074205e-06,-3.5084170949291795e-07,-0.00010065443330782043,0.0003019140022515453,-0.00018132080820295717,0.0005759146283428575,-0.00023787846033655394,0.0007927119146086994,-0.00026901278354915536,0.0009292034053504082,-0.00027752156196985973,0.0009703443701144171,-0.0002693936658197896,0.0009107330748410787,-0.00025240208045668226,0.0007552119227991059,-0.00023450367519775003,0.0005184111447106701,-0.00022232807556734233,0.00022327922102745047,-0.00022000650977478767,-0.000101237415612621,-0.00022851157087060587,-0.0004231139308777177,-0.00024557717740055613,-0.0007104574226034894,-0.0002661677634321011,-0.000934681989208079,-0.00028338650203142544,-0.0010733391436626497,-0.0002896646529835152,-0.0011123378493713386,-0.0002780579834833726,-0.0010473488779898952,-0.0002434839598500055,-0.0008842625820391364,-0.00018375169293036758,-0.000638644039631695,-0.00010028525938590027,-0.0003342189608361537,1.0591907102990604e-06,-3.521220087325351e-07
6,2.498695208034876,55756201.75311936,7.275957614183426e-12,189.72327573373303,2.600151408236268,0.21611632716133594,0.057459160957134124,0.0062417244568993375,2.647288041701953,1435.1175685709252,10.0,10.0,0.0,10.0,10.0,0.0,6.646806466009763,-1.2861236080117606e-06,-4.2521616867260124e-07,-0.00016959925460383003,0.0005085307402324105,-0.00030605461749250607,0.0009697244215392311,-0.000401498166670416,0.0013343633288518861,-0.0004537058192041436,0.0015633858003308077,-0.0004675465795647585,0.0016313280048672167,-0.00045336307170909903,0.001529042897427586,-0.0004245076414327387,0.001264743982264242,-0.00039455065376400796,0.0008632385354108991,-0.0003746736855415562,0.00036342561991497294,-0.00037169215869350166,-0.00018565772005434746,-0.0003869958546296895,-0.0007298026146149715,-0.000416503271288915,-0.0012150735371760754,-0.00045154400432010646,-0.0015931764046137077,-0.00048044970771061253,-0.0018262297819021472,-0.0004905660039390174,-0.0018904981416991283,-0.00047039038887543836,-0.0017787490205524916,-0.00041157421070285696,-0.0015010168665501391,-0.00031057223737312686,-0.0010836794714640641,-0.0001697933270243008,-0.0005668979385922146,1.2852724622313696e-06,-4.272671582207162e-07
7,2.498695208034876,55756201.75311936,7.275957614183426e-12,189.72327573373303,2.600151408236268,0.21611632716133594,0.057459160957134124,0.0062417244568993375,2.647288041701953,1435.1175685709252,10.0,10.0,0.0,10.0,10.0,0.0,7.2971060060179616,-1.4134056009130578e-06,-4.665551779995596e-07,-0.000238509516366378,0.0007128109250414657,-0.0004307586963403953,0.0013588119508042959,-0.0005648731384969513,0.0018688891611439466,-0.0006377308625254801,0.0021879943352951466,-0.0006564014061359525,0.0022802303816903463,-0.0006357772893569964,0.002132730847359508,-0.0005949771737930882,0.0017571624572693667,-0.0005532881978823974,0.0011886445127149696,-0.0005264192182878424,0.0004821925564805197,-0.0005237198977875948,-0.0002929005935705593,-0.0005467703878865972,-0.0010601066669535,-0.0005894458790447944,-0.0017433591458953252,-0.0006392871504007688,-0.0022746171600546866,-0.0006798210272844201,-0.0026005698382145213,-0.0006933968083889243,-0.0026878721820636,-0.0006641228761461246,-0.0025264480871400653,-0.0005805624659840267,-0.0021305596617996704,-0.00043793094469455604,-0.0015375089776575414,-0.00023962616007928492,-0.000804035326479387,1.412207382429504e-06,-4.69359299495789e-07
8,2.498695208034876,55756201.75311936,7.275957614183426e-12,189.72327573373303,2.600151408236268,0.21611632716133594,0.057459160957134124,0.0062417244568993375,2.647288041701953,1435.1175685709252,10.0,10.0,0.0,10.0,10.0,0.0,7.707305403190141,-1.4947129852869945e-06,-4.925036388300062e-07,-0.0003070207762824263,0.0009134211487136952,-0.0005546987063382209,0.0017406300959531666,-0.0007270019197514339,0.0023927246217882547,-0.0008199324710971548,0.002798730903241091,-0.000842881702937432,0.002912368376506977,-0.0008154652500369274,0.0027171089620768012,-0.0007627222544417663,0.002228150030846549,-0.0007097240393874315,0.0014910158486569414,-0.0006766503049334776,0.0005769283236503916,-0.0006752135017101001,-0.0004245009391307325,-0.0007069499389087117,-0.001414405588822075,-0.0007634710762465984,-0.002294617275123787,-0.000828394875199864,-0.0029774146192421123,-0.000880437831963052,-0.0033941419741458463,-0.0008970720234664038,-0.003501929824579366,-0.000858211804378057,-0.003287933168932639,-0.0007495275123036418,-0.0027707056955047315,-0.0005651150835957848,-0.0019985339368666375,-0.0003093579567665651,-0.0010448009819108805,1.493169277228032e-06,-4.960523495789371e-07
9,2.498695208034876,55756201.75311936,7.275957614183426e-12,189.72327573373303,2.600151408236268,0.21611632716133594,0.057459160957134124,0.0062417244568993375,2.647288041701953,1435.1175685709252,10.0,10.0,0.0,10.0,10.0,0.0,7.9865549005950704,-1.5511357927383388e-06,-5.100589423794998e-07,-0.00037499210776877333,0.0011099518779022443,-0.0006775881456188968,0.0021143956487451225,-0.0008874921552555783,0.0029047684013795453,-0.0009998575682421446,0.003394258441447377,-0.0010265163192383962,0.003526271970822728,-0.0009919711907922751,0.0032806887545471283,-0.0009273221396082095,0.002676315296208813,-0.0008634766605640344,0.001769163124870868,-0.0008250152368858133,0.0006467282924873755,-0.0008258328221775793,-0.0005810272201352567,-0.0008671854126502601,-0.0017929170070739055,-0.0009382047462731883,-0.002868736924160799,-0.0010184615973379248,-0.0037011835689146153,-0.0010818689169481,-0.0042063652267884085,-0.0011011527894728619,-0.00433198702266252,-0.0010522381773235682,-0.004062513854921803,-0.0009181030409043971,-0.0034208492219700423,-0.0006918440857157609,-0.0024663095886095954,-0.00037882247924691766,-0.001288964895449585,1.5492489614563085e-06,-5.143479356663324e-07
10,2.498695208034876,55756201.75311936,7.275957614183426e-12,189.72327573373303,2.600151408236268,0.21611632716133594,0.057459160957134124,0.0062417244568993375,2.647288041701953,1435.1175685709252,10.0,10.0,0.0,10.0,10.0,0.0,8.186279282745382,-1.5926104484258359e-06,-5.22517747298769e-07,-0.0004423280072022013,0.001302214684215912,-0.0007992378010746462,0.0024797479594767654,-0.001046086799504635,0.003404513372826323,-0.0011772112069964426,0.003973962036362579,-0.0012070007335009771,0.0041212673362197635,-0.0011650028171157024,0.0038227926481287176,-0.0010885086732962913,0.0031010333827541114,-0.0010143030054368192,0.002022565931496049,-0.0009712876173017707,0.0006912172730872613,-0.0009753540590646964,-0.0007626849468153413,-0.001027240943088242,-0.002195671517934598,-0.0011133885575891778,-0.0034655875523129367,-0.0012092038332344106,-0.00444566208610119,-0.0012838120231443552,-0.005036887330538901,-0.0013053327362150381,-0.005177648441505431,-0.0012459120746316137,-0.004849800560900491,-0.0010860387709224007,-0.0040806525390484185,-0.0008179296417943437,-0.0029405893007895547,-0.0004479119025286396,-0.0015363995263201508,1.59038339776014e-06,-5.275449420811804e-07
