时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.5930558001057581,13016125.057403304,214.73010161827915,21.11510492479314,1.9779410882892012,0.15639897205456627,0.029963773231484962,0.004539089937053647,2.010441015573595,1578.4672304497367,9.467200040013807,6.13599497676843,214.01959662494312,4.245746968149513,3.0859842075945485,240.86765692807103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.5930558001057581,13016125.057403304,214.73010161827915,21.11510492479314,1.9779410882892012,0.15639897205456627,0.029963773231484962,0.004539089937053647,2.010441015573595,1578.4672304497367,9.467200040013807,6.13599497676843,214.01959662494312,4.245746968149513,3.0859842075945485,240.86765692807103,2.239650322566165,-3.0187862274755425e-07,-1.4476411547916355e-07,1.2473782232594822e-06,-6.248386585062694e-06,4.647695970414399e-06,-1.9655612167948393e-05,8.579185098215564e-06,-3.7045803035692395e-05,1.196584614618862e-05,-5.437060932182867e-05,1.4127385020414794e-05,-6.76321391275873e-05,1.4857116241010216e-05,-7.364293746146147e-05,1.4386572797418815e-05,-7.06210704018248e-05,1.3250737732881312e-05,-5.850969040860544e-05,1.2090902955576325e-05,-3.896598423201959e-05,1.1442433764033511e-05,-1.5024958518162564e-05,1.1560332126607894e-05,9.496615618468233e-06,1.2332384056980456e-05,3.07427672418553e-05,1.3312080306785714e-05,4.556477974532994e-05,1.3870539364119698e-05,5.212558251424263e-05,1.3426601075000553e-05,5.024177075454388e-05,1.1682567900834429e-05,4.139461637379521e-05,8.784605468295036e-06,2.840759371061345e-05,5.347531690552986e-06,1.4856330489980805e-05,2.3182931194703197e-06,4.329097921760959e-06,6.764432609547292e-07,-2.973297467659495e-07
3,0.5930558001057581,13016125.057403304,214.73010161827915,21.11510492479314,1.9779410882892012,0.15639897205456627,0.029963773231484962,0.004539089937053647,2.010441015573595,1578.4672304497367,9.467200040013807,6.13599497676843,214.01959662494312,4.245746968149513,3.0859842075945485,240.86765692807103,4.87629438028099,-6.576422955239084e-07,-3.14582405734827e-07,3.1563435570475326e-06,-1.5098843430120298e-05,1.1453129730324565e-05,-4.767335738482495e-05,2.104754767190668e-05,-8.998652913179552e-05,2.931964566049836e-05,-0.00013215754205215296,3.4606536745955814e-05,-0.0001643954596306535,3.639891302735947e-05,-0.00017887763593351928,3.5257641436396265e-05,-0.00017122230722091248,3.248759774822712e-05,-0.0001412824577830189,2.9658106982979766e-05,-9.312499501501977e-05,2.8083671345676234e-05,-3.4208582844764106e-05,2.839365130565942e-05,2.6079683496160266e-05,3.03143591082831e-05,7.825046095222464e-05,3.274568763628939e-05,0.00011455044474005975,3.413339099416523e-05,0.00013045309797475994,3.303771157616661e-05,0.0001255048466583189,2.8718575126334617e-05,0.00010335707808587005,2.1535405192989644e-05,7.09779451130855e-05,1.3011375411167764e-05,3.7206370813980144e-05,5.5015161071064245e-06,1.0938967084054733e-05,1.4728234244223638e-06,-6.481329621355088e-07
4,0.5930558001057581,13016125.057403304,214.73010161827915,21.11510492479314,1.9779410882892012,0.15639897205456627,0.029963773231484962,0.004539089937053647,2.010441015573595,1578.4672304497367,9.467200040013807,6.13599497676843,214.01959662494312,4.245746968149513,3.0859842075945485,240.86765692807103,7.774837234482561,-1.0493653988147725e-06,-5.00152600785091e-07,6.059303598260013e-06,-2.755994030260837e-05,2.1364424747340355e-05,-8.737525356130521e-05,3.906213087351439e-05,-0.0001651908880097819,5.4334455623952634e-05,-0.00024277730011227123,6.411162751829465e-05,-0.0003020056195405131,6.744459701983708e-05,-0.0003283579216323188,6.535671157776381e-05,-0.00031368376145987875,6.0249612568257145e-05,-0.0002576930433155933,5.5024736199622484e-05,-0.00016793098928813207,5.212453806239654e-05,-5.8259471386408246e-05,5.272865934670957e-05,5.385885298056758e-05,5.633720748340696e-05,0.00015075735005235476,6.090174924501549e-05,0.000217990903150209,6.351413163442271e-05,0.0002471192393878277,6.147131520745394e-05,0.00023729260999057281,5.337780859740209e-05,0.0001953216810065048,3.99023018684441e-05,0.0001342203170037529,2.3903471898141577e-05,7.052397904680972e-05,9.817421914280705e-06,2.0924966596990374e-05,2.348229952331232e-06,-1.0351431626023735e-06
5,0.5930558001057581,13016125.057403304,214.73010161827915,21.11510492479314,1.9779410882892012,0.15639897205456627,0.029963773231484962,0.004539089937053647,2.010441015573595,1578.4672304497367,9.467200040013807,6.13599497676843,214.01959662494312,4.245746968149513,3.0859842075945485,240.86765692807103,10.917614874689937,-1.4751941145479686e-06,-6.991981474634339e-07,1.0752257160344158e-05,-4.632650433911611e-05,3.6768050209895226e-05,-0.0001475289040278378,6.683871562802374e-05,-0.0002793937735039493,9.281271449919771e-05,-0.0004109354659791739,0.00010947787802990883,-0.0005112237333504778,0.00011520411946710803,-0.0005554261212597419,0.000111700055245969,-0.0005295632932202375,0.0001030237344761871,-0.00043309819166669427,9.411059047731572e-05,-0.00027892035460359935,8.914838047451139e-05,-9.076518052136573e-05,9.01906956649978e-05,0.00010142798362137167,9.641305016052944e-05,0.0002673382419424873,0.0001043071369950508,0.0003821490029285887,0.00010885161389461145,0.00043134285418815687,0.00010535522869299989,0.00041344516592351833,9.138128431066084e-05,0.00034016410767425987,6.807521817730104e-05,0.00023390671906944364,4.0391034463834076e-05,0.00012319193204024962,1.6041583223994637e-05,3.688995864731764e-05,3.297045039025263e-06,-1.4572994175411049e-06
6,0.5930558001057581,13016125.057403304,214.73010161827915,21.11510492479314,1.9779410882892012,0.15639897205456627,0.029963773231484962,0.004539089937053647,2.010441015573595,1578.4672304497367,9.467200040013807,6.13599497676843,214.01959662494312,4.245746968149513,3.0859842075945485,240.86765692807103,14.76502420792866,-1.9994190955071222e-06,-9.367698439520967e-07,2.082727086936573e-05,-8.406655333007567e-05,6.864224995158596e-05,-0.0002692229776911713,0.00012385299546412092,-0.0005109788044897777,0.00017160561317093722,-0.0007523931931733247,0.00020237305116937093,-0.0009363641694549986,0.00021311712339725327,-0.001016888386922678,0.00020685443531125145,-0.0009679496930809378,0.00019091720695768344,-0.0007883940856792298,0.0001743445769589152,-0.0005019718924083714,0.0001649373261575106,-0.00015261553041155272,0.00016665510626348945,0.00020412780247647494,0.00017812550811058709,0.0005118924363373356,0.00019288858470234676,0.0007244542913391476,0.00020152737938838736,0.0008146992180229237,0.00019514869551208783,0.0007797890373417749,0.0001690761923426066,0.0006414749177372779,0.00012541701806222306,0.00044151633072972386,7.35056705667277e-05,0.00023318219769366698,2.7921728383222263e-05,7.056766016395393e-05,4.457280924734676e-06,-1.9809996494215497e-06
7,0.5930558001057581,13016125.057403304,214.73010161827915,21.11510492479314,1.9779410882892012,0.15639897205456627,0.029963773231484962,0.004539089937053647,2.010441015573595,1578.4672304497367,9.467200040013807,6.13599497676843,214.01959662494312,4.245746968149513,3.0859842075945485,240.86765692807103,17.222964866996104,-2.3380707207409118e-06,-1.0807103689703472e-06,3.278723219516757e-05,-0.00012709365816611368,0.00010557628212473016,-0.00040860634036312044,0.00018953989614144966,-0.0007768397338654595,0.0002622592319958383,-0.0011451106655985801,0.0003093427343347954,-0.0014261890754923086,0.00032610566076015285,-0.0015495887375319185,0.0003169113395024849,-0.0014752473774688015,0.0002926618916006504,-0.001201072651875907,0.000267013647869351,-0.0007630992366860258,0.00025199233752646607,-0.00022835616682588712,0.0002539595501413105,0.0003181725679216882,0.00027113764885288013,0.0007900532232116426,0.00029377671741242633,0.0011162300079565247,0.00030733361607499746,0.0012548582906923244,0.00029789570433428714,0.001201324843086119,0.000258037063686149,0.0009888036946622443,0.00019091746569152766,0.0006812766311339344,0.00011099150743230255,0.0003605348743162817,4.0884330238965314e-05,0.0001098346393836109,5.19690895552253e-06,-2.3241681016561354e-06
8,0.5930558001057581,13016125.057403304,214.73010161827915,21.11510492479314,1.9779410882892012,0.15639897205456627,0.029963773231484962,0.004539089937053647,2.010441015573595,1578.4672304497367,9.467200040013807,6.13599497676843,214.01959662494312,4.245746968149513,3.0859842075945485,240.86765692807103,18.734974929649237,-2.5498423770896025e-06,-1.1623538509878238e-06,4.498447643851412e-05,-0.00017022821147013532,0.00014279092378516374,-0.0005487862830807755,0.00025552600231647634,-0.0010448045628181984,0.00035329970439434803,-0.0015417853215394062,0.0004169291095508329,-0.001922158897257124,0.0004400424686000152,-0.002090660913678132,0.00042818320821260206,-0.0019928594777743167,0.0003956234363700205,-0.0016254236495854039,0.00036054113830263256,-0.0010364453987367224,0.0003392795606773309,-0.00031594462079530006,0.00034084777039476927,0.0004216076454375213,0.0003633241247455855,0.0010595020028607164,0.0003937949649389073,0.001501531485524024,0.0004125178726033819,0.0016907711691043843,0.0004003508378637445,0.0016205362828739303,0.0003469135725227229,0.0013352329380382248,0.00025634039304680406,0.0009209946492998736,0.00014827662325093586,0.00048818029365436683,5.35353469773459e-05,0.0001493645906125409,5.6508845942871994e-06,-2.5426978100688707e-06
9,0.5930558001057581,13016125.057403304,214.73010161827915,21.11510492479314,1.9779410882892012,0.15639897205456627,0.029963773231484962,0.004539089937053647,2.010441015573595,1578.4672304497367,9.467200040013807,6.13599497676843,214.01959662494312,4.245746968149513,3.0859842075945485,240.86765692807103,19.750930436310096,-2.6952581268607754e-06,-1.2113329686623426e-06,5.728382377972758e-05,-0.00021342356367785574,0.00018006619415125,-0.0006895335670841973,0.00032150434299430447,-0.0013144398833793642,0.000444349403548144,-0.0019418530777306623,0.0005247154522056933,-0.002423740507845776,0.0005545091783583889,-0.002639825055249535,0.0005402808647284464,-0.0025209994539018643,0.0004994542343798853,-0.002062361436204932,0.00045460917243450436,-0.0013237524835049157,0.0004264792875565023,-0.00041796018479215287,0.00042696160532003884,0.0005111401609364476,0.0004542659973210971,0.0013164771585236737,0.0004924708170165067,0.0018764556839981042,0.0005165942928577737,0.0021187456859415583,0.0005020775806258197,0.0020342556924819403,0.00043538299611066845,0.0016783372955489128,0.0003215200770133803,0.0011590689519418212,0.00018535685873335736,0.000615270677528175,6.598959343585724e-05,0.00018885496300339845,5.955516045795587e-06,-2.695779002966417e-06
10,0.5930558001057581,13016125.057403304,214.73010161827915,21.11510492479314,1.9779410882892012,0.15639897205456627,0.029963773231484962,0.004539089937053647,2.010441015573595,1578.4672304497367,9.467200040013807,6.13599497676843,214.01959662494312,4.245746968149513,3.0859842075945485,240.86765692807103,20.47530764714129,-2.8018436354929084e-06,-1.2411166650718253e-06,6.962509203099402e-05,-0.0002566632510085107,0.00021730638393732617,-0.0008307655886805063,0.00038734225668587166,-0.0015856011327278438,0.0005352439678789057,-0.0023451508633055016,0.0006325185382120166,-0.0029308272116115794,0.000669321834569652,-0.00319712236870583,0.0006530370973878285,-0.00305994603020782,0.0006040128816783833,-0.002512471124135538,0.0005490974815689541,-0.0016259435637928875,0.0005134750979813081,-0.0005356464770724684,0.0005121669801153635,0.0005852755665115199,0.0005437978468358874,0.0015593467369202333,0.000589610858884656,0.002239371361032667,0.0006193629622927862,0.0025372886475171306,0.0006029013354763556,0.002441239753129792,0.0005233254455148915,0.0020171906777355247,0.00038640673751775124,0.0013949030095711512,0.0002222483769700113,0.0007414957700105378,7.830635378686235e-05,0.0002281932361271287,6.172788853292747e-06,-2.8103318602291076e-06
