时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,2.0058613230544378,57522408.74266143,1181.817609253194,140.4484423321359,1.9395314436317665,0.17450894757346622,0.06911678369691972,0.005580966574939387,1.9806237829908466,1267.5411229643507,6.017863027039073,2.61041093953591,443.5389556114968,8.476363894540238,2.6635250599548326,713.9061243736509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0058613230544378,57522408.74266143,1181.817609253194,140.4484423321359,1.9395314436317665,0.17450894757346622,0.06911678369691972,0.005580966574939387,1.9806237829908466,1267.5411229643507,6.017863027039073,2.61041093953591,443.5389556114968,8.476363894540238,2.6635250599548326,713.9061243736509,2.918953816971276,-8.397763729521845e-07,-6.770546796303031e-07,1.1891736806695893e-06,-9.004191184538521e-06,5.988499438533051e-06,-2.5729723436326026e-05,1.1404400243997516e-05,-4.6953272992278186e-05,1.6020807639841824e-05,-6.790214588481412e-05,1.8940596899657565e-05,-8.391033337328774e-05,1.9903322850192773e-05,-9.128295016400168e-05,1.9235310284408154e-05,-8.797063972410661e-05,1.766629658156119e-05,-7.392531906834588e-05,1.6063664500641065e-05,-5.107881310373815e-05,1.5149016829231866e-05,-2.295274823733269e-05,1.5268147769196002e-05,6.0253808645921675e-06,1.6278845622519818e-05,3.137204062905979e-05,1.7595965275256184e-05,4.940258686686021e-05,1.8390289423191615e-05,5.7926253806420434e-05,1.78875581959065e-05,5.664429641821572e-05,1.5675122924817862e-05,4.717226520563631e-05,1.1913159359348384e-05,3.268163174428569e-05,7.37342003672968e-06,1.723418581830747e-05,3.2862081423709717e-06,4.936528315692062e-06,5.856511526520503e-07,-6.889340245518179e-07
3,2.0058613230544378,57522408.74266143,1181.817609253194,140.4484423321359,1.9395314436317665,0.17450894757346622,0.06911678369691972,0.005580966574939387,1.9806237829908466,1267.5411229643507,6.017863027039073,2.61041093953591,443.5389556114968,8.476363894540238,2.6635250599548326,713.9061243736509,6.616290912542214,-1.905971396516257e-06,-1.5296525777854343e-06,3.578511663418406e-06,-2.3038685679623098e-05,1.6132637057338482e-05,-6.651301987180034e-05,3.031118383716237e-05,-0.0001217864081741847,4.2410192312053776e-05,-0.00017635725926116484,5.0073698324731855e-05,-0.00021794128310481233,5.261036364234321e-05,-0.00023678214477356295,5.0869252895446037e-05,-0.0002274560622483694,4.676400327233055e-05,-0.0001898297565961906,4.25776698280323e-05,-0.00012901558603951096,4.021589352836441e-05,-5.434579055349908e-05,4.05947768121465e-05,2.2436498439052663e-05,4.333626998448445e-05,8.943101526232201e-05,4.6880673613390557e-05,0.00013685238346837443,4.901208671598945e-05,0.0001588813095713858,4.7656564376725495e-05,0.0001547297572571893,4.1705354181627096e-05,0.00012870883851432636,3.1585387878884424e-05,8.928686812801518e-05,1.9369120977053296e-05,4.73326728072284e-05,8.370570553135642e-06,1.388447594706857e-05,1.326083863404038e-06,-1.5671844465608295e-06
4,2.0058613230544378,57522408.74266143,1181.817609253194,140.4484423321359,1.9395314436317665,0.17450894757346622,0.06911678369691972,0.005580966574939387,1.9806237829908466,1267.5411229643507,6.017863027039073,2.61041093953591,443.5389556114968,8.476363894540238,2.6635250599548326,713.9061243736509,10.36978850768393,-2.992525755955061e-06,-2.3859699290875326e-06,7.613346147496176e-06,-4.208145443202681e-05,3.107683359640714e-05,-0.0001228189672028579,5.758670028496521e-05,-0.0002256490955704357,8.022964289879854e-05,-0.00032718077233656406,9.459406881421193e-05,-0.0004043192271729511,9.937117657649886e-05,-0.00043867019188799844,9.613373338554367e-05,-0.00041998497210385714,8.845839572497407e-05,-0.0003480013899521209,8.063305656399651e-05,-0.00023238195504023836,7.625483360148842e-05,-9.078945707423156e-05,7.706539079662748e-05,5.452880421171487e-05,8.235546660593968e-05,0.00018100981539253294,8.91593436053166e-05,0.000270089152720839,9.324475232989482e-05,0.0003107255623140394,9.063757645033352e-05,0.00030143831445716165,7.920589312153322e-05,0.0002504522726777004,5.976426357724729e-05,0.0001739265232358527,3.629395896449941e-05,9.263710603374449e-05,1.5174089697496816e-05,2.7763848963812605e-05,2.0750555814456765e-06,-2.4686514954319213e-06
5,2.0058613230544378,57522408.74266143,1181.817609253194,140.4484423321359,1.9395314436317665,0.17450894757346622,0.06911678369691972,0.005580966574939387,1.9806237829908466,1267.5411229643507,6.017863027039073,2.61041093953591,443.5389556114968,8.476363894540238,2.6635250599548326,713.9061243736509,14.438541435817545,-4.178563987915234e-06,-3.29455029508036e-06,1.537646388554842e-05,-7.284101841445966e-05,5.702955065214728e-05,-0.0002152453215141674,0.0001040827813919051,-0.00039692525595560725,0.00014430677559622412,-0.0005763149584591384,0.00016987958460130126,-0.0007121793234686571,0.00017844920016971453,-0.000771580199052888,0.00017275831702769548,-0.000736120069866232,0.00015912402945420558,-0.0006053025121173012,0.00014517863349059067,-0.00039646677940015005,0.00013738337049234208,-0.00014136521973350416,0.0001389176321177966,0.00011995785355339641,0.00014855270997626605,0.0003468465624821648,0.00016094572543095254,0.0005058225676764517,0.0001684033763671744,0.0005769707619946087,0.00016366096260157846,0.0005576496730244062,0.00014280080508805875,0.0004627832845131821,0.00010729993081311923,0.0003216892798686067,6.444705977380178e-05,0.00017211537775347653,2.593054955380231e-05,5.266694729375338e-05,2.8810003999242844e-06,-3.465973734525781e-06
6,2.0058613230544378,57522408.74266143,1181.817609253194,140.4484423321359,1.9395314436317665,0.17450894757346622,0.06911678369691972,0.005580966574939387,1.9806237829908466,1267.5411229643507,6.017863027039073,2.61041093953591,443.5389556114968,8.476363894540238,2.6635250599548326,713.9061243736509,18.542425237538634,-5.393581837891594e-06,-4.1641934342228675e-06,3.119144640477809e-05,-0.00012778452753787957,0.0001061174684792823,-0.0003826642492301807,0.00019068137112567514,-0.0007084301587292182,0.00026304514701438775,-0.0010302293902340713,0.0003092328835000503,-0.001273462105079596,0.0003249551880094383,-0.0013783548835873175,0.0003149545183401782,-0.0013114037510962063,0.0002904011570970537,-0.0010715767654882315,0.00026498586120043185,-0.000690285227180437,0.0002505100783326669,-0.00022524296468003581,0.0002529936589051198,0.00025061346756981507,0.0002704427232131808,0.000663101517521435,0.0002931951148940722,0.0009510387691241526,0.0003070649991092009,0.001077981440840076,0.0002985070654271545,0.0010390883554233852,0.0002601375362418933,0.0008617126552906091,0.0001946380691640022,0.0005996359229467786,0.00011555149295469275,0.0003221922120596239,4.4590166275909096e-05,0.0001004761213896285,3.6797955164326307e-06,-4.517982469453112e-06
7,2.0058613230544378,57522408.74266143,1181.817609253194,140.4484423321359,1.9395314436317665,0.17450894757346622,0.06911678369691972,0.005580966574939387,1.9806237829908466,1267.5411229643507,6.017863027039073,2.61041093953591,443.5389556114968,8.476363894540238,2.6635250599548326,713.9061243736509,20.80936078422383,-6.084284851635141e-06,-4.595487058005249e-06,4.823334432362369e-05,-0.00018314283712035222,0.0001570128218394961,-0.0005528317320051026,0.0002796807831095884,-0.0010260407292794808,0.0003847650216192547,-0.0014939903650345117,0.00045213908573185884,-0.00184794564640847,0.00047549768503992313,-0.0020005767326780263,0.00046140972722515973,-0.001902744531708603,0.0004257351174293892,-0.0015526381005166094,0.0003882133675290686,-0.0009958257699573295,0.0003661960915337806,-0.0003163941385064636,0.0003688919061506282,0.0003791445114476729,0.00039383551736491706,0.0009822421367400274,0.00042710159324537154,0.0014031922058129148,0.0004477827383418986,0.0015884126465816888,0.0004356682793889609,0.001530607816318399,0.00037959793332144266,0.0012697050481216105,0.00028340874446649363,0.0008844366431302545,0.00016713914639323758,0.00047643205847959177,6.291911929894886e-05,0.00015007803301326727,4.106609082120958e-06,-5.146017569943491e-06
8,2.0058613230544378,57522408.74266143,1181.817609253194,140.4484423321359,1.9395314436317665,0.17450894757346622,0.06911678369691972,0.005580966574939387,1.9806237829908466,1267.5411229643507,6.017863027039073,2.61041093953591,443.5389556114968,8.476363894540238,2.6635250599548326,713.9061243736509,22.21737040991044,-6.529900436150403e-06,-4.822315156506155e-06,6.570931669310206e-05,-0.00023840516900837069,0.0002083173443173092,-0.0007235500251681956,0.00036902589171162336,-0.0013454755306571782,0.0005068698257604009,-0.0019614368680784073,0.000595681609544907,-0.002428388079995818,0.0006270891126893305,-0.002631181149528659,0.0006092640128946338,-0.0025047359232076493,0.0005624845309202977,-0.002046149635372638,0.0005124014237556037,-0.0013148725134772613,0.0004820241302528068,-0.00042118325165947505,0.0004840618858311295,0.0004948616804630456,0.000515921043021687,0.0012902084650783289,0.0005595933455476088,0.0018463471795396047,0.0005873786127698439,0.00209221913733748,0.0005721488574655698,0.0020177629920768926,0.0004987088841796401,0.0016752469931584594,0.00037193998248622373,0.0011682088796308493,0.00021844371415370695,0.0006305150685263286,8.091399088347879e-05,0.00019989035822607566,4.360108856953458e-06,-5.5744555061615875e-06
9,2.0058613230544378,57522408.74266143,1181.817609253194,140.4484423321359,1.9395314436317665,0.17450894757346622,0.06911678369691972,0.005580966574939387,1.9806237829908466,1267.5411229643507,6.017863027039073,2.61041093953591,443.5389556114968,8.476363894540238,2.6635250599548326,713.9061243736509,23.1700515997209,-6.845984057312202e-06,-4.940645238243078e-06,8.33914872526792e-05,-0.0002936574610558409,0.00025974325977966284,-0.0008948476394173172,0.00045837372570951205,-0.0016667428705104154,0.0006289781265829957,-0.0024326524007461004,0.0007394656227114843,-0.003015087134578199,0.0007793488496747955,-0.00327083734942039,0.000758171951730155,-0.0031185630685036303,0.0007003439274978744,-0.002553912543895468,0.0006372683584141692,-0.0016498710302984615,0.0005977040306194458,-0.0005426385639854066,0.0005981709102680162,0.0005943088385847077,0.0006363067541179521,0.0015833473916157853,0.0006902307003679515,0.0022769247223907016,0.00072540945812831,0.0025861608778624335,0.0007075635557493272,0.002497865254317226,0.0006172005341758077,0.002076325468739729,0.000460109436236803,0.0014496311063472186,0.00026948431096544145,0.0007837185123702918,9.869177821989915e-05,0.000249608510175995,4.522126878666644e-06,-5.896625177911105e-06
10,2.0058613230544378,57522408.74266143,1181.817609253194,140.4484423321359,1.9395314436317665,0.17450894757346622,0.06911678369691972,0.005580966574939387,1.9806237829908466,1267.5411229643507,6.017863027039073,2.61041093953591,443.5389556114968,8.476363894540238,2.6635250599548326,713.9061243736509,23.85233860395238,-7.085509476290917e-06,-4.994476618821745e-06,0.00010117266629155917,-0.00034893136062971763,0.0003111510027013309,-0.0010667195244004276,0.0005475523314750009,-0.0019898237454253967,0.000750891598243801,-0.0029076578947314427,0.0008832790146957604,-0.003608177286270513,0.0009320688120984576,-0.003919870868194402,0.0009079468629867102,-0.003744807787133497,0.0008391567435476116,-0.0030768040531975686,0.0007626817949929647,-0.0020019963957336163,0.0007131080657922801,-0.0006821922917033229,0.0007110720509926314,0.0006758799876278313,0.0007548118291767765,0.0018599945939959265,0.0008188036132746701,0.002693329781019295,0.0008616607203127339,0.0030688280156712464,0.0008417284528289705,0.0029697737852132713,0.0007349502285561182,0.002472107864375174,0.0005478690883917384,0.0017281697251284498,0.00032027891911310443,0.0009357551845804218,0.00011631078290847839,0.0002991087976442891,4.630171849126247e-06,-6.155332391280928e-06
