时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,9.791212259543991,210320029.85284263,28642.495760148173,1883.7133590290437,2.0176923203323893,0.4472612781090142,0.15781967906227137,0.010377164316113631,2.257320601695858,754.2688174536122,4.344787969551409,9.413386115512179,796.964049856914,4.344787969551409,9.413386115512179,796.964049856914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,9.791212259543991,210320029.85284263,28642.495760148173,1883.7133590290437,2.0176923203323893,0.4472612781090142,0.15781967906227137,0.010377164316113631,2.257320601695858,754.2688174536122,4.344787969551409,9.413386115512179,796.964049856914,4.344787969551409,9.413386115512179,796.964049856914,12.885335489732608,-7.290766202155025e-06,-2.9046103603958714e-06,1.257458661703339e-05,-4.309473793535093e-05,5.5979671602421334e-05,-0.00010345492640705148,0.00010337723178551463,-0.00017653424994215248,0.00014349600314956336,-0.00024713158980984294,0.00016881418220040243,-0.00030028233453717316,0.00017696436677134902,-0.0003239595398876116,0.00017072546120637421,-0.00031134868145211986,0.0001566519544073969,-0.0002621385296934153,0.00014270535717994285,-0.00018267604473342947,0.00013551551541024937,-8.486520208907999e-05,0.00013810869591787773,1.6079523056385883e-05,0.00014888362389304925,0.00010462980202618446,0.0001622231305644159,0.00016802252172162409,0.00017052903560737717,0.0001986996776000939,0.0001669694738900979,0.0001955890427032531,0.00014804147847942718,0.00016404646828070934,0.00011514750488806769,0.00011454830020718978,7.474140334282242e-05,6.050609305378539e-05,3.6974312295918016e-05,1.5509442311933844e-05,7.212551661663319e-06,-2.969086490730088e-06
3,9.791212259543991,210320029.85284263,28642.495760148173,1883.7133590290437,2.0176923203323893,0.4472612781090142,0.15781967906227137,0.010377164316113631,2.257320601695858,754.2688174536122,4.344787969551409,9.413386115512179,796.964049856914,4.344787969551409,9.413386115512179,796.964049856914,29.459781256389917,-1.675356375623069e-05,-6.577903605345305e-06,7.528038557419955e-05,-0.0001541263200508233,0.00025165174933485863,-0.00039392020685494796,0.0004446653372052201,-0.0006860352574863876,0.0006082047194868301,-0.0009678771243364215,0.0007112229865770111,-0.0011770489715555714,0.0007437523225667759,-0.00126320778217838,0.0007171270534941239,-0.0011978508212100163,0.0006585330887941499,-0.0009799875183712145,0.0006012152667374857,-0.0006369307006480046,0.0005729156950600732,-0.00021969709377867778,0.0005861129347394943,0.0002065992645537306,0.0006335237502652113,0.0005756922201179222,0.0006906717027539738,0.0008335192101309085,0.0007246835079704522,0.0009487571646575889,0.0007062300267949267,0.0009182080417600194,0.0006206493549642673,0.0007662574329417703,0.00047472687529977035,0.0005389653144739887,0.0002971269466799267,0.0002944443624295134,0.00013223208723574508,9.128041900948513e-05,1.6426471218978264e-05,-6.85576330011232e-06
4,9.791212259543991,210320029.85284263,28642.495760148173,1883.7133590290437,2.0176923203323893,0.4472612781090142,0.15781967906227137,0.010377164316113631,2.257320601695858,754.2688174536122,4.344787969551409,9.413386115512179,796.964049856914,4.344787969551409,9.413386115512179,796.964049856914,38.18131370688476,-2.189046579278094e-05,-8.374911128473346e-06,0.00020486400744917292,-0.00032873005086135273,0.0006104865683212394,-0.0008757069918049026,0.0010545169651240208,-0.0015445293865097613,0.001431179688649611,-0.0021896742834362224,0.0016689533971026317,-0.002665281760736886,0.0017442544776731673,-0.002853654370425481,0.0016823275172823846,-0.0026882954581324524,0.0015454132365767372,-0.002167240003439134,0.0014106706258676578,-0.0013549764373982796,0.001343361899025285,-0.000371856037849014,0.0013735167883012374,0.0006283578684280661,0.0014845477979750926,0.0014891383341532939,0.0016186561781214727,0.002083154494387698,0.001697518119856879,0.002337588268430624,0.0016510291524845973,0.002246872218721423,0.001444352962891433,0.0018708190716766103,0.001094393152717929,0.0013198114376484615,0.0006704889935886223,0.0007314017704062137,0.0002788376983033999,0.00024331282172810242,2.1128824248409365e-05,-9.032361858287386e-06
5,9.791212259543991,210320029.85284263,28642.495760148173,1883.7133590290437,2.0176923203323893,0.4472612781090142,0.15781967906227137,0.010377164316113631,2.257320601695858,754.2688174536122,4.344787969551409,9.413386115512179,796.964049856914,4.344787969551409,9.413386115512179,796.964049856914,41.50521917270343,-2.398543148357667e-05,-8.936069015474153e-06,0.00034037513325737916,-0.0004999624745367289,0.0009748816142505278,-0.0013564992803594069,0.0016694240272400922,-0.0024062708517676454,0.0022595005303202203,-0.0034198074424855248,0.002633634693177368,-0.004166712749782068,0.002754071338466478,-0.004461310895824647,0.002658488565184043,-0.004198861901353637,0.0024426768518169824,-0.003376233955221306,0.002227188095116488,-0.0020947962245593944,0.0021157147976595433,-0.0005440367745036767,0.0021577426646976878,0.0010333808021053723,0.002329212538285021,0.002389867014214344,0.0025397357874021105,0.0033238259887480195,0.0026648348445880163,0.0037203413608211167,0.0025920519213735818,0.0035715934821216795,0.0022649904041601564,0.0029734012640168245,0.0017103313768961753,0.0021008606308500345,0.0010388472862213865,0.0011706793232559888,0.00041963799830467297,0.00039897848296048424,2.27896381849835e-05,-9.97500393267873e-06
6,9.791212259543991,210320029.85284263,28642.495760148173,1883.7133590290437,2.0176923203323893,0.4472612781090142,0.15781967906227137,0.010377164316113631,2.257320601695858,754.2688174536122,4.344787969551409,9.413386115512179,796.964049856914,4.344787969551409,9.413386115512179,796.964049856914,43.24354405223266,-2.518666574195008e-05,-9.132578225139363e-06,0.00047759721353778485,-0.0006711786228693088,0.0013404375099285676,-0.0018405708806647674,0.0022848381325736656,-0.0032766505347892505,0.003088594706579847,-0.0046651041295523756,0.0036008751137789168,-0.005690083273037873,0.0037692051424174635,-0.006097420741654327,0.003642116533715889,-0.005743895784545149,0.0033472450423678536,-0.004624863607918254,0.0030478000525778473,-0.0028779176864169123,0.0028867015119651202,-0.0007609357401070323,0.0029348774478024564,0.001394886929038128,0.003162915217125854,0.003250596553446004,0.003448961743801226,0.004529539654020301,0.003622020576396148,0.005073931809132008,0.0035258351050317495,0.004873334154204401,0.0030809171247237607,0.004059490389009115,0.002322993416133157,0.0028719242966614216,0.001404528928569469,0.0016056796991255264,0.0005582091470493186,0.0005542273614668512,2.3558267820077744e-05,-1.0552758035514201e-05
7,9.791212259543991,210320029.85284263,28642.495760148173,1883.7133590290437,2.0176923203323893,0.4472612781090142,0.15781967906227137,0.010377164316113631,2.257320601695858,754.2688174536122,4.344787969551409,9.413386115512179,796.964049856914,4.344787969551409,9.413386115512179,796.964049856914,44.30252828735978,-2.6005120369093923e-05,-9.171670404434943e-06,0.0006155078716133008,-0.0008431683734560116,0.0017060409779025983,-0.0023289355255130136,0.0028995362274260132,-0.004156989804196907,0.003917151732589283,-0.00592731100346329,0.004569350307923671,-0.007237699842082698,0.004788419284964321,-0.007764975963488071,0.0046321441121554,-0.007327175552999874,0.004258232928653991,-0.0059177512025760095,0.0038717288026803654,-0.0037097834839781223,0.0036555143710721117,-0.0010286610992721699,0.0037039534580274847,0.0017064151023902226,0.003984485110938369,0.0040649445709869895,0.004345049774244333,0.00569444103578173,0.004567881711680355,0.006393383165922457,0.004451519603359495,0.006148172708685521,0.0038917933868635552,0.005126214903848892,0.002932605097901274,0.0036310333351265676,0.001768212471134292,0.00203510993005767,0.0006954699139414591,0.0007082013922751178,2.3946015554056575e-05,-1.0972402129186467e-05
8,9.791212259543991,210320029.85284263,28642.495760148173,1883.7133590290437,2.0176923203323893,0.4472612781090142,0.15781967906227137,0.010377164316113631,2.257320601695858,754.2688174536122,4.344787969551409,9.413386115512179,796.964049856914,4.344787969551409,9.413386115512179,796.964049856914,45.00657167795581,-2.662364122346958e-05,-9.12761884036995e-06,0.0007536992206179807,-0.0010161762253658969,0.0020711603269476016,-0.0028218512435723743,0.0035128167665526015,-0.005047587778301425,0.004744299836299284,-0.007206830978123061,0.005538078196003932,-0.008810145914409866,0.005810723789814487,-0.009464809487745966,0.005627675230009298,-0.008949839961783989,0.005174892242869242,-0.007256387547945008,0.004698352065553156,-0.004592259343002971,0.0044215685404376415,-0.0013494181324162126,0.004464314975583097,0.001965543153074935,0.0047931309040065255,0.0048304694135107825,0.005227096275873175,0.006816281886806952,0.005501513189924291,0.0076767990867949165,0.005368352706476616,0.0073946319962922375,0.004697149626999603,0.006172501575851018,0.003539029812642915,0.004377452720327098,0.002130042238713171,0.0024584880579406197,0.0008317243471183029,0.0008605855296085741,2.413608519129629e-05,-1.130794324810317e-05
9,9.791212259543991,210320029.85284263,28642.495760148173,1883.7133590290437,2.0176923203323893,0.4472612781090142,0.15781967906227137,0.010377164316113631,2.257320601695858,754.2688174536122,4.344787969551409,9.413386115512179,796.964049856914,4.344787969551409,9.413386115512179,796.964049856914,45.5006978207042,-2.7123889497815374e-05,-9.033704683037537e-06,0.0008919532295714613,-0.0011902760505455416,0.002435443766655859,-0.0033193315120135986,0.004124137687227626,-0.0059484001950963275,0.005569295430084974,-0.008503602815070992,0.006506165582939304,-0.010407401198765293,0.006835177344810297,-0.011196995677654276,0.006627831548058751,-0.010612105170150278,0.0060964806015505945,-0.008641180009595125,0.005527065237768248,-0.005525990159340493,0.005184327816111254,-0.0017241023409734605,0.005215391367483102,0.0021711775110632714,0.005588169936345365,0.005545996665068865,0.0060943014528450495,0.007893945452276412,0.006422074475714229,0.008923224790236259,0.006275578956256549,0.008611961731126043,0.005496435147034671,0.0071977965993430424,0.004141981580607892,0.005110794521876936,0.0024899720323388165,0.0028755582955966555,0.0009670762767797643,0.0010112217236215694,2.4210510673768948e-05,-1.1592440236697876e-05
10,9.791212259543991,210320029.85284263,28642.495760148173,1883.7133590290437,2.0176923203323893,0.4472612781090142,0.15781967906227137,0.010377164316113631,2.257320601695858,754.2688174536122,4.344787969551409,9.413386115512179,796.964049856914,4.344787969551409,9.413386115512179,796.964049856914,45.859298725868506,-2.7547680440610187e-05,-8.90706655296304e-06,0.0010301275243027837,-0.0013654751986371255,0.002798612643276748,-0.003821294552753681,0.004733023091093028,-0.006859248225422447,0.006391448775911643,-0.009817382507528618,0.007472756495738638,-0.012029207646133109,0.007860858295434623,-0.012961311232735643,0.007631740652902888,-0.012313826893832331,0.007022256026700983,-0.010072114174847352,0.006357268606775395,-0.006511147227080157,0.005943273250801398,-0.00215310368902552,0.005956643392068694,0.0023227333603867356,0.00636895908004677,0.006210831965766015,0.006945901040689492,0.008926738208144542,0.007328742659571381,0.010132052851905922,0.007172431902329462,0.009799675883935818,0.006289056422382315,0.00820173214100128,0.004741105676295001,0.005830793571248097,0.0028478736635596663,0.0032861453318315565,0.0011015477091447534,0.0011600103223861947,2.4211486946075597e-05,-1.1842824221772404e-05
