时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.6068685592089161,28484701.189337153,-1361.1343474984114,44.673377976592185,1.6292119565930512,0.1675239902234356,0.04048021567102515,0.004364382457658549,1.6740466327222663,1336.7462954418468,1.2915059266276407,3.2621399564617737,659.5297877720577,9.014339637699786,6.488084372520895,305.8203908882061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.6068685592089161,28484701.189337153,-1361.1343474984114,44.673377976592185,1.6292119565930512,0.1675239902234356,0.04048021567102515,0.004364382457658549,1.6740466327222663,1336.7462954418468,1.2915059266276407,3.2621399564617737,659.5297877720577,9.014339637699786,6.488084372520895,305.8203908882061,4.27192881048318,-3.8610283544033276e-06,-6.109751527602661e-07,-1.3708436906870186e-06,-8.771092085910284e-06,4.5351288942612825e-06,-2.6600280286571082e-05,1.141447994446815e-05,-4.986983104846661e-05,1.7419577652158963e-05,-7.328979810832377e-05,2.1346769060896514e-05,-9.159597695484391e-05,2.280382755395216e-05,-0.00010054509022071849,2.216445557222733e-05,-9.770226200005923e-05,2.0339877205135498e-05,-8.287086371618263e-05,1.8435661922324178e-05,-5.8094175702983714e-05,1.7381488828119484e-05,-2.723407362709582e-05,1.762982016936363e-05,4.7907940856057865e-06,1.9008763388512656e-05,3.2963106798464816e-05,2.0779569854091092e-05,5.3137441642257646e-05,2.189236307218279e-05,6.28328325558087e-05,2.1369172797179822e-05,6.168816787946743e-05,1.8694418716125968e-05,5.14883986358257e-05,1.4080535380064252e-05,3.575575753691309e-05,8.511844403273212e-06,1.8992313275039496e-05,3.531912832680953e-06,5.722598537607013e-06,5.402426193233893e-07,-3.195155390988282e-07
3,0.6068685592089161,28484701.189337153,-1361.1343474984114,44.673377976592185,1.6292119565930512,0.1675239902234356,0.04048021567102515,0.004364382457658549,1.6740466327222663,1336.7462954418468,1.2915059266276407,3.2621399564617737,659.5297877720577,9.014339637699786,6.488084372520895,305.8203908882061,9.716552180733334,-8.788154715476687e-06,-1.3840668093906942e-06,-2.020356524059117e-06,-2.2825740108321413e-05,1.3678097166550696e-05,-6.994766790426412e-05,3.197800422648277e-05,-0.00013158263723593057,4.796530872930904e-05,-0.00019363129937139954,5.8421194786441807e-05,-0.00024197630962373808,6.228697370800292e-05,-0.00026519871158967755,6.055300380170164e-05,-0.00025673081844510405,5.5655457520626475e-05,-0.0002160393645922396,5.0560979786346244e-05,-0.00014864593354419937,4.777144414646363e-05,-6.499838523797168e-05,4.850595708615537e-05,2.1585055678769427e-05,5.229358879328228e-05,9.750976701721243e-05,5.712012556615268e-05,0.00015153897973573826,6.011830133875015e-05,0.00017695042641601222,5.861217895340825e-05,0.0001727813313398657,5.118826478604982e-05,0.00014391007279843514,3.8429180949204955e-05,9.995927373085912e-05,2.3042201052377106e-05,5.325466840652673e-05,9.290401106417438e-06,1.6245559341092758e-05,1.2276823060501123e-06,-7.305935081390155e-07
4,0.6068685592089161,28484701.189337153,-1361.1343474984114,44.673377976592185,1.6292119565930512,0.1675239902234356,0.04048021567102515,0.004364382457658549,1.6740466327222663,1336.7462954418468,1.2915059266276407,3.2621399564617737,659.5297877720577,9.014339637699786,6.488084372520895,305.8203908882061,15.592848542932442,-1.411675911601203e-05,-2.2059440031597555e-06,-3.546232598753203e-07,-4.419505179417962e-05,3.0759267356261954e-05,-0.00013702467304789822,6.70344702885516e-05,-0.00025868388319665427,9.874166308937679e-05,-0.00038115498411468127,0.00011947808370167109,-0.0004762150244423036,0.00012711757822491613,-0.0005209574976670038,0.0001236086049828701,-0.0005021787906900683,0.00011379438764241124,-0.0004188067413952495,0.0001036035924288991,-0.0002819764151284537,9.806167297474351e-05,-0.00011277877476156557,9.963198798538508e-05,6.187564514365391e-05,0.0001073653296349557,0.00021449664297097716,0.00011716812325782449,0.0003223529108186027,0.00012318939892416684,0.00037185677448966814,0.00011995210904975354,0.0003611080402421662,0.00010455698180254594,0.0003000800986213636,7.820251536656177e-05,0.00020841771958489446,4.646227755541008e-05,0.00011132248625432756,1.8136152264446965e-05,3.435361166004112e-05,1.967017867407252e-06,-1.1822659865717531e-06
5,0.6068685592089161,28484701.189337153,-1361.1343474984114,44.673377976592185,1.6292119565930512,0.1675239902234356,0.04048021567102515,0.004364382457658549,1.6740466327222663,1336.7462954418468,1.2915059266276407,3.2621399564617737,659.5297877720577,9.014339637699786,6.488084372520895,305.8203908882061,22.59736748255405,-2.049528819280463e-05,-3.147289367137747e-06,8.685575352122476e-06,-8.817752224895898e-05,7.25189099664789e-05,-0.0002774231522771258,0.00014686744058553975,-0.000525913382121059,0.0002118648999037182,-0.0007759943015798155,0.0002543958350215749,-0.0009692266048571804,0.00027004742169700076,-0.0010580102920059956,0.0002627241691130925,-0.0010148443774199841,0.00024230704805241947,-0.0008374948422895926,0.00022101915009317764,-0.0005492354776918778,0.0002093503187139459,-0.0001942102457737924,0.00021255404117070695,0.00017117893326023704,0.00022874410096972246,0.0004892464376591069,0.0002493295393622429,0.0007122619168425259,0.0002618814115798002,0.0008117267726742871,0.0002546810090570103,0.0007837877108945511,0.00022149338369436113,0.0006496696835380908,0.00016488575022889036,0.00045106499267170974,9.684066767761472e-05,0.00024149477787013322,3.628675801307747e-05,7.540918401839729e-05,2.8401344233968436e-06,-1.7436183381607081e-06
6,0.6068685592089161,28484701.189337153,-1361.1343474984114,44.673377976592185,1.6292119565930512,0.1675239902234356,0.04048021567102515,0.004364382457658549,1.6740466327222663,1336.7462954418468,1.2915059266276407,3.2621399564617737,659.5297877720577,9.014339637699786,6.488084372520895,305.8203908882061,27.086869007418098,-2.4620386403345425e-05,-3.6932614078003777e-06,2.486876084866705e-05,-0.0001437286959906949,0.00013069442776132914,-0.00045675829076536603,0.000253773730810707,-0.000868341262131869,0.00036139735561202454,-0.0012826772451950475,0.0004319710162282425,-0.0016022924106393055,0.0004581216739873862,-0.001747606660753098,0.00044606268797672057,-0.001672533910552458,0.0004118951481376607,-0.0013732248273037322,0.0003758177339254538,-0.0008885601058997234,0.00035547505525064397,-0.0002924782227409635,0.00036002029639815007,0.0003203830134595357,0.0003866588241452173,0.0008530793505503076,0.00042109553979283545,0.0012252959812636792,0.0004422418016903035,0.001389055707905501,0.00042999787530578266,0.0013379306265173328,0.0003735648781947359,0.001107814281525404,0.00027726142723928757,0.0007691522018158112,0.0001615831453946051,0.0004123898313116007,5.888112802241769e-05,0.00012966566880755578,3.3876881789607906e-06,-2.1362724853440726e-06
7,0.6068685592089161,28484701.189337153,-1361.1343474984114,44.673377976592185,1.6292119565930512,0.1675239902234356,0.04048021567102515,0.004364382457658549,1.6740466327222663,1336.7462954418468,1.2915059266276407,3.2621399564617737,659.5297877720577,9.014339637699786,6.488084372520895,305.8203908882061,29.57939290802555,-2.6944431042778962e-05,-3.944638455088752e-06,4.313325675035257e-05,-0.00019914491325815633,0.00019098865892943487,-0.0006367315078376016,0.0003627544819354077,-0.001212816770236658,0.0005130401544228114,-0.0017933218290913048,0.0006119134785556536,-0.0022414725064385747,0.0006489945198682155,-0.002445392614384518,0.0006325454532772328,-0.002340100628034134,0.0005845659434355599,-0.001919862277890242,0.0005330734801398009,-0.0012389722290143878,0.0005030129148263299,-0.0004010965980204528,0.0005078273323036561,0.00046078649575928354,0.0005442244659002013,0.0012101965122857884,0.0005923922719379762,0.0017338515768919927,0.0006224463146504717,0.0019639268364103875,0.0006055570375338688,0.0018911701643330291,0.0005260398524945973,0.0015660501458056486,0.00038986975203053186,0.0010877963003077028,0.0002262124029939795,0.0005838860819461728,8.110015174411015e-05,0.0001843195619357384,3.6811900142817634e-06,-2.3830962142512974e-06
8,0.6068685592089161,28484701.189337153,-1361.1343474984114,44.673377976592185,1.6292119565930512,0.1675239902234356,0.04048021567102515,0.004364382457658549,1.6740466327222663,1336.7462954418468,1.2915059266276407,3.2621399564617737,659.5297877720577,9.014339637699786,6.488084372520895,305.8203908882061,31.15382277866829,-2.8442402326659773e-05,-4.0604547442041075e-06,6.23278787403526e-05,-0.0002545546359784062,0.0002521389899434697,-0.0008173712466762418,0.00047245389563100877,-0.0015593360055283056,0.0006653867681335636,-0.002308071974796059,0.0007928225389813183,-0.0028873327851479348,0.0008413260957458657,-0.0031526804068494558,0.0008209282890218655,-0.0030199161396790054,0.0007591702593347302,-0.0024810706557669257,0.0006916918126193619,-0.001605514663109287,0.0006508567162822787,-0.0005263835878165831,0.0006547902307819346,0.0005851046906642928,0.0007001500926109288,0.0015528305903254125,0.0007618564852762967,0.0022302650578420987,0.0008011572210115718,0.002529369367524461,0.0007801836424779022,0.0024377160220667798,0.0006780393227955059,0.002020066101951091,0.0005022082632667809,0.0014042207603585663,0.00029059587819593014,0.0007545452563075532,0.00010307693544340581,0.00023886380212547498,3.858254468851329e-06,-2.562539655743965e-06
9,0.6068685592089161,28484701.189337153,-1361.1343474984114,44.673377976592185,1.6292119565930512,0.1675239902234356,0.04048021567102515,0.004364382457658549,1.6740466327222663,1336.7462954418468,1.2915059266276407,3.2621399564617737,659.5297877720577,9.014339637699786,6.488084372520895,305.8203908882061,32.230054077784814,-2.94940719699511e-05,-4.102655642310482e-06,8.200285233782417e-05,-0.0003100055102700581,0.0003136519337304688,-0.0009986961455889947,0.0005823426511452267,-0.0019079401631643509,0.0008178882290127707,-0.0028270877282491522,0.0009741526002752035,-0.003540274488472783,0.0010345997294127797,-0.0038702358884088054,0.0010107430402855203,-0.003713209715709164,0.0009352922197108099,-0.0030585946503480545,0.0008512918912460918,-0.0019904357975294644,0.0007986273073615036,-0.0006710062518281659,0.0008004974385948888,0.0006904076039088484,0.0008539763131986867,0.0018779955861761353,0.0009289971094441139,0.002711717646636171,0.000977897961970214,0.0030829303903865245,0.0009534755167581435,0.002975620167272023,0.0008292854772346698,0.0024684768825001062,0.0006141434821434865,0.0017175741658398427,0.0003547264060798187,0.0009239446558325014,0.00012488126909421788,0.00029314926567952665,3.972459368102681e-06,-2.7051992686567235e-06
10,0.6068685592089161,28484701.189337153,-1361.1343474984114,44.673377976592185,1.6292119565930512,0.1675239902234356,0.04048021567102515,0.004364382457658549,1.6740466327222663,1336.7462954418468,1.2915059266276407,3.2621399564617737,659.5297877720577,9.014339637699786,6.488084372520895,305.8203908882061,33.00589337821083,-3.027841840833587e-05,-4.100462423131671e-06,0.00010194154230909722,-0.00036550777476994514,0.0003752806897231095,-0.0011806793070419073,0.000692143561620708,-0.002258588569258476,0.0009702422619031031,-0.0033503677154842286,0.0011555890541841821,-0.004200405450308302,0.0012285081441191473,-0.004598346256236918,0.0012017103692443059,-0.00442050296115107,0.001112692212453789,-0.0036532189625131557,0.001011668998112376,-0.002394778106151722,0.0009461336824820541,-0.0008362208013952255,0.0009447444740948865,0.0007753069861707427,0.0010054678236383582,0.0021842796330443226,0.0010935526430469848,0.0031768883979448343,0.0011524080457099755,0.0036234770079541984,0.0011252112520930377,0.003503999645796298,0.0009796273933742774,0.0029106683117507944,0.0007256056390333173,0.0020274882701607094,0.00041860166594819085,0.0010919060082801608,0.00014654799749811253,0.00034711337578519286,4.04905290757836e-06,-2.8254999029854997e-06
