时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,2.708642450034337,34515365.473217264,5726.471109227763,116.84706952535655,0.9287813610681532,0.11174329814171814,0.09377427800428288,0.0063545580117760885,0.9634794215309451,523.6483855726719,10.0,10.0,1000.0,10.0,10.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.708642450034337,34515365.473217264,5726.471109227763,116.84706952535655,0.9287813610681532,0.11174329814171814,0.09377427800428288,0.0063545580117760885,0.9634794215309451,523.6483855726719,10.0,10.0,1000.0,10.0,10.0,1000.0,7.703424243151538,-2.8120138152532533e-06,-1.307715984706011e-06,-2.8529867989477674e-06,-2.5169704659037754e-05,8.107363153522055e-06,-5.5737645828659864e-05,1.911635785127045e-05,-9.085231713168166e-05,2.8061581918067208e-05,-0.00012455675205948847,3.36083201400766e-05,-0.0001513615620963895,3.5455114567493715e-05,-0.00016703334726394665,3.422563757523573e-05,-0.0001692019117970211,3.117038964428557e-05,-0.00015765970739084996,2.7762487385998394e-05,-0.0001343082933750482,2.527749008277589e-05,-0.0001027637660372787,2.4454128983958642e-05,-6.769078116393497e-05,2.5318536025319424e-05,-3.397835808380737e-05,2.7218520033867855e-05,-5.899671647400293e-06,2.9061203474242428e-05,1.3596032667481079e-05,2.968961487367354e-05,2.33320030988789e-05,2.8289266122110042e-05,2.4013109787658333e-05,2.469895721395446e-05,1.7976176991930073e-05,1.9540157887448422e-05,8.635120517386348e-06,1.4265239336843192e-05,-2.718076524009875e-07,2.7977578027961997e-06,-1.3352043727188787e-06
3,2.708642450034337,34515365.473217264,5726.471109227763,116.84706952535655,0.9287813610681532,0.11174329814171814,0.09377427800428288,0.0063545580117760885,0.9634794215309451,523.6483855726719,10.0,10.0,1000.0,10.0,10.0,1000.0,17.16328913894538,-6.2747428116855866e-06,-2.908405594862552e-06,-4.2099154160605876e-06,-6.08806073836499e-05,2.343014861400939e-05,-0.00013695436561432417,5.1318681527448204e-05,-0.00022462505881237202,7.400887026195515e-05,-0.0003086499632314252,8.805980190129463e-05,-0.0003748326695045836,9.268275527029102e-05,-0.0004121680710721168,8.948336834001174e-05,-0.0004144977762183252,8.17000700966376e-05,-0.00038134264877958123,7.31531707472863e-05,-0.0003177900225191834,6.714110457160897e-05,-0.00023346665607781118,6.554091973500408e-05,-0.00014078036896933424,6.833641460947684e-05,-5.2730216523711895e-05,7.370456592562205e-05,1.9336229121136993e-05,7.86494406973575e-05,6.762220964336983e-05,8.001630063466804e-05,8.90957148070362e-05,7.559568032212068e-05,8.58025203837805e-05,6.497990148630256e-05,6.422712581885065e-05,4.9933589291173595e-05,3.384465815504671e-05,3.448258588406649e-05,5.156115169713604e-06,6.236945539619751e-06,-2.98172253538635e-06
4,2.708642450034337,34515365.473217264,5726.471109227763,116.84706952535655,0.9287813610681532,0.11174329814171814,0.09377427800428288,0.0063545580117760885,0.9634794215309451,523.6483855726719,10.0,10.0,1000.0,10.0,10.0,1000.0,26.676795685419293,-9.77029137299985e-06,-4.507913857049737e-06,-1.4308975294155137e-06,-0.0001060212716539636,4.908733756693864e-05,-0.00024299111673287824,0.00010024688641691375,-0.0004012400220839324,0.00014188100750617548,-0.000552487595488473,0.00016759016076352555,-0.0006701481795470834,0.0001759012581977561,-0.0007335317762163968,0.0001698196894488915,-0.0007310964132472644,0.00015542412944736313,-0.0006621126003053313,0.0001398928262231588,-0.0005364972435280194,0.00012940626403016713,-0.00037287325777081236,0.0001274178877577588,-0.000195200935800075,0.00013373193428523628,-2.8555290771112192e-05,0.00014465763125642362,0.00010521996748018057,0.0001542365858872166,0.00019121103632733767,0.0001562296148414096,0.00022381590917175224,0.00014629915943602774,0.0002073847232637935,0.0001237235327597532,0.00015501837496109018,9.215523818011e-05,8.580202732925934e-05,5.969206170320652e-05,2.105105927371873e-05,9.697585563528468e-06,-4.6497895735140034e-06
5,2.708642450034337,34515365.473217264,5726.471109227763,116.84706952535655,0.9287813610681532,0.11174329814171814,0.09377427800428288,0.0063545580117760885,0.9634794215309451,523.6483855726719,10.0,10.0,1000.0,10.0,10.0,1000.0,36.250853477322785,-1.3307466855577343e-05,-6.096313580282412e-06,9.811073073304445e-06,-0.00017022410537833582,9.561155305309386e-05,-0.0003989896526557623,0.0001827051259692617,-0.0006636819591326465,0.00025349563121794885,-0.0009155011892639888,0.00029700015152501834,-0.0011082416273258634,0.0003107138732685111,-0.0012058805552675712,0.0002998752293359479,-0.0011884696198317436,0.00027507045474342177,-0.0010551891108102228,0.0002488134495321609,-0.0008241198123205934,0.00023185958833680641,-0.0005288253616220365,0.00023011647495246144,-0.00021234876293758795,0.00024295575013308374,8.036002441037343e-05,0.0002634524828254189,0.0003102763836281604,0.00028059198289971795,0.0004509960647157934,0.0002829021748112697,0.0004930682604429053,0.00026248409128163725,0.00044518225058758467,0.00021820857566352033,0.00033202458546143914,0.00015713589174603753,0.00018930898804556752,9.440528525866791e-05,5.704523363464694e-05,1.3177483580366596e-05,-6.351488555084306e-06
6,2.708642450034337,34515365.473217264,5726.471109227763,116.84706952535655,0.9287813610681532,0.11174329814171814,0.09377427800428288,0.0063545580117760885,0.9634794215309451,523.6483855726719,10.0,10.0,1000.0,10.0,10.0,1000.0,46.159991092573804,-1.7007863221751988e-05,-7.68298953489425e-06,4.378682259278096e-05,-0.00028646457653280387,0.00019817358824731444,-0.000690717877398107,0.00035494191177399984,-0.0011584595838981572,0.0004819606546904815,-0.0016002528918597789,0.0005594873813581629,-0.0019310758355677348,0.0005831209796840985,-0.0020847566533777773,0.0005624874427193936,-0.0020251725627254574,0.0005169907055705464,-0.0017520789320205734,0.00046965211717906363,-0.0013007273706635773,0.0004403217157279916,-0.0007354447591767187,0.0004398167103596373,-0.00013827824204510467,0.00046656162082992663,0.00040540486621155224,0.0005068787306463676,0.0008218864824772029,0.0005391613887199962,0.0010619412476311218,0.0005409665441390358,0.0011091541285572657,0.0004970047706965688,0.0009821592461913963,0.00040552516282596517,0.0007304542674011429,0.0002810941435126868,0.00042479146031490625,0.00015375535677032646,0.0001442690488893271,1.6761675451306643e-05,-8.169410022903343e-06
7,2.708642450034337,34515365.473217264,5726.471109227763,116.84706952535655,0.9287813610681532,0.11174329814171814,0.09377427800428288,0.0063545580117760885,0.9634794215309451,523.6483855726719,10.0,10.0,1000.0,10.0,10.0,1000.0,51.454652332503954,-1.9024866483390067e-05,-8.464319473216017e-06,8.740660545944981e-05,-0.00040570647768581325,0.0003147483748070016,-0.0009959882108048852,0.0005453775642180258,-0.0016786215600983934,0.0007318253995521613,-0.0023203456420674237,0.0008452720515684802,-0.0027944216979118247,0.0008793424218113097,-0.003002481090898314,0.0008481547991919114,-0.0028914069074242954,0.0007802655098166126,-0.002462078987833053,0.0007098049084686859,-0.0017687582086681104,0.0006664850071370869,-0.0009093907751903547,0.0006666880606186167,-8.46054228547314e-06,0.0007080847778640151,0.0008048168207226281,0.0007697524300645858,0.0014192391301478475,0.0008183929900810145,0.0017611774163058004,0.000819296869811402,0.001807221184084851,0.0007488814091595995,0.0015874804282770584,0.0006047587255337688,0.0011790364577574349,0.0004100176139622648,0.0006911492928841485,0.00021127674981126114,0.000245571154327937,1.865294043633446e-05,-9.202056432555956e-06
8,2.708642450034337,34515365.473217264,5726.471109227763,116.84706952535655,0.9287813610681532,0.11174329814171814,0.09377427800428288,0.0063545580117760885,0.9634794215309451,523.6483855726719,10.0,10.0,1000.0,10.0,10.0,1000.0,54.52943348156647,-2.0228835029159642e-05,-8.861392356013217e-06,0.00013406628069882956,-0.0005232533058593927,0.0004340481654138505,-0.001299722986406973,0.0007380752741853752,-0.0021975327161585434,0.0009836165929624722,-0.003039375826305611,0.0011330111758377347,-0.0036566394974118094,0.0011778558091266851,-0.003918715463657761,0.0011364226036674994,-0.003755543497307486,0.0010460104397398392,-0.003169215580474775,0.0009516508115522112,-0.0022330852292327037,0.0008930650311666638,-0.0010787985032640808,0.0008926338971474092,0.00012662043046815258,0.0009477443218261998,0.001209973738313612,0.001030462285750169,0.002022451057955362,0.0010956717793866666,0.0024659749997936035,0.0010960109137746889,0.002510218414716782,0.000999217528408813,0.0021969416114506015,0.0008021276578675393,0.0016309871604244667,0.0005365298983104446,0.0009602098358342749,0.0002659091550461234,0.00034898904938418534,1.9731253251818077e-05,-9.8511826290356e-06
9,2.708642450034337,34515365.473217264,5726.471109227763,116.84706952535655,0.9287813610681532,0.11174329814171814,0.09377427800428288,0.0063545580117760885,0.9634794215309451,523.6483855726719,10.0,10.0,1000.0,10.0,10.0,1000.0,56.523137122030825,-2.1037412785101885e-05,-9.070532615569275e-06,0.00018219816872947132,-0.0006403632964741894,0.0005545687323378979,-0.001603935826378124,0.0009316654941686268,-0.0027183510309556,0.0012361795767398002,-0.003762071824962827,0.001421805965821543,-0.004524410897559973,0.0014780068875030806,-0.004842358314018044,0.0014268160401385646,-0.004628780087024261,0.0013138213455903406,-0.003886845800341827,0.0011947272447860454,-0.0027088483515387103,0.00111942581462108,-0.0012599939742934149,0.0011167822257493912,0.00025021879273571715,0.0011844521503656222,0.0016045621478061,0.0012878167385493129,0.0026164727256226517,0.001369890725784798,0.0031632475122890745,0.0013703052082281112,0.003207494561271218,0.001247702749359716,0.00280251349090269,0.0009979160585999096,0.0020807890264483778,0.0006614886707866864,0.0012286000514400842,0.00031896905202066507,0.00045275247866321297,2.0414640300126584e-05,-1.0312384993964088e-05
10,2.708642450034337,34515365.473217264,5726.471109227763,116.84706952535655,0.9287813610681532,0.11174329814171814,0.09377427800428288,0.0063545580117760885,0.9634794215309451,523.6483855726719,10.0,10.0,1000.0,10.0,10.0,1000.0,57.908677939701136,-2.1624289666834418e-05,-9.173339011405474e-06,0.0002311272806266511,-0.0007575150572075132,0.0006756319642347658,-0.0019093701658294587,0.0011254995975406106,-0.0032422734405134174,0.0014889376691020776,-0.0044903045729979595,0.0017111825066720863,-0.0054004832959520825,0.0017794355660292738,-0.005777172262938806,0.0017190747914467772,-0.005515935604429407,0.0015834976895372503,-0.004620769538954974,0.0014388348246373059,-0.003202634053530426,0.00134530865885827,-0.0014600507439570568,0.001338775243685939,0.0003551474584544463,0.0014177523455752036,0.001981681845019333,0.001541311912307716,0.0031950611700078306,0.001640588139163152,0.0038476947231529234,0.0016418644099868906,0.003894853243748504,0.001494251627168973,0.003401125121091718,0.0011923013260607964,0.002526389661257072,0.0007853049674433085,0.0014950847874542188,0.0003710329919249089,0.0005561982376296201,2.0876983009351407e-05,-1.0666990219207782e-05
