时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.8382865708455469,7837834.641445624,17.368680526095886,4.115306258623404,1.1805743795897814,0.09559654159534986,0.04669387486121485,0.0025043334427790245,1.200903504224558,1657.3150726197123,5.734643602558898,7.60790977084423,498.7235268924401,8.83900660986247,8.70659327415126,278.79680269796944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.8382865708455469,7837834.641445624,17.368680526095886,4.115306258623404,1.1805743795897814,0.09559654159534986,0.04669387486121485,0.0025043334427790245,1.200903504224558,1657.3150726197123,5.734643602558898,7.60790977084423,498.7235268924401,8.83900660986247,8.70659327415126,278.79680269796944,3.846497308982964,-4.5303543661809053e-07,-1.0651178387423992e-07,1.233123544058931e-06,-7.071257980051503e-06,4.94831645964287e-06,-2.1214628873621805e-05,9.117135040513476e-06,-3.9113369529605953e-05,1.2655666024931005e-05,-5.667708664635122e-05,1.4883949333677676e-05,-6.991321986601295e-05,1.561077499281675e-05,-7.566800323377591e-05,1.5093325578474212e-05,-7.220500642057053e-05,1.3896333388152971e-05,-5.951149640473745e-05,1.2688982523963911e-05,-3.9281281658067785e-05,1.2027578687391224e-05,-1.4580457592058345e-05,1.2177381464591269e-05,1.0740483813845829e-05,1.3023448806475525e-05,3.2778961089606524e-05,1.410264683741353e-05,4.8319543441706196e-05,1.4756479704322132e-05,5.543877737075789e-05,1.436496143492638e-05,5.385779119352509e-05,1.2590041173646857e-05,4.497339364747693e-05,9.547372660027259e-06,3.156117898551783e-05,5.844432867597965e-06,1.721015993213621e-05,2.466087311066345e-06,5.597409764509195e-06,2.903718836176822e-07,-9.768572277101964e-08
3,0.8382865708455469,7837834.641445624,17.368680526095886,4.115306258623404,1.1805743795897814,0.09559654159534986,0.04669387486121485,0.0025043334427790245,1.200903504224558,1657.3150726197123,5.734643602558898,7.60790977084423,498.7235268924401,8.83900660986247,8.70659327415126,278.79680269796944,8.23083878426986,-9.6990204008923e-07,-2.2705926175190102e-07,3.151218311648284e-06,-1.6827561281230725e-05,1.20638209174285e-05,-5.064946465468244e-05,2.206968113833843e-05,-9.350362807370893e-05,3.05695734168778e-05,-0.00013556942870983308,3.5928852145422184e-05,-0.0001672315282431583,3.768386267926143e-05,-0.00018088019427831516,3.6447729600360764e-05,-0.0001723177647198052,3.357500299636682e-05,-0.00014150620374381946,3.067579321192941e-05,-9.25312625923631e-05,2.909300114446593e-05,-3.2798727951106065e-05,2.9470368412504148e-05,2.838429031360921e-05,3.153280871431283e-05,8.157943078039665e-05,3.415953747119988e-05,0.00011900617758464766,3.575203923680051e-05,0.00013600764620904821,3.480183820388091e-05,0.00013190727007285984,3.0483988706350897e-05,0.0001100881127840598,2.307736586964336e-05,7.727924054863937e-05,1.4059791985294985e-05,4.2193338871042596e-05,5.831811347702473e-06,1.3779065497770005e-05,6.212409276431913e-07,-2.0972064454987114e-07
4,0.8382865708455469,7837834.641445624,17.368680526095886,4.115306258623404,1.1805743795897814,0.09559654159534986,0.04669387486121485,0.0025043334427790245,1.200903504224558,1657.3150726197123,5.734643602558898,7.60790977084423,498.7235268924401,8.83900660986247,8.70659327415126,278.79680269796944,13.186544331576602,-1.5549546711906683e-06,-3.6169249958556236e-07,6.285052452201683e-06,-3.105455097457765e-05,2.288057925850454e-05,-9.381659547829199e-05,4.1518554767946816e-05,-0.00017344265183194467,5.7365111881966294e-05,-0.0002516324934021852,6.737275631266277e-05,-0.00031040787181386,7.066798797705033e-05,-0.000335509706587174,6.838105990187413e-05,-0.00031905468026966247,6.302911455891338e-05,-0.00026095365961061295,5.761754435560538e-05,-0.00016885706475996035,5.466558967853689e-05,-5.6655805622732e-05,5.539192911740394e-05,5.8176520156031664e-05,5.929078760525406e-05,0.0001579066513760728,6.425744528439866e-05,0.00022790616565183028,6.727496924696156e-05,0.00025941296491286195,6.54867996946691e-05,0.00025115023596145345,5.732461257310548e-05,0.00020948448442877898,4.331037195770382e-05,0.00014709334308024214,2.6241062177219884e-05,8.041461535813566e-05,1.0668010027478707e-05,2.6374033635263437e-05,9.949822162423822e-07,-3.3763348455885733e-07
5,0.8382865708455469,7837834.641445624,17.368680526095886,4.115306258623404,1.1805743795897814,0.09559654159534986,0.04669387486121485,0.0025043334427790245,1.200903504224558,1657.3150726197123,5.734643602558898,7.60790977084423,498.7235268924401,8.83900660986247,8.70659327415126,278.79680269796944,18.520401023988427,-2.186138213764096e-06,-5.034150873259594e-07,1.1542116707368805e-05,-5.261835284432155e-05,3.992319646600558e-05,-0.00015959906931588172,7.180091032273231e-05,-0.00029551085269113967,9.893001880912825e-05,-0.0004290355137469759,0.00011610145617729473,-0.0005292967110807051,0.00012180223621975816,-0.0005717465547433656,0.00011793289420861916,-0.0005427753628836342,0.00010877373025976258,-0.0004421859160073945,9.94694809611857e-05,-0.0002831247173007536,9.436746943306385e-05,-8.951812839797473e-05,9.56042434464684e-05,0.00010849807641876986,0.00010234428837235339,0.0002803088483596575,0.00011096507939238777,0.000400635101284812,0.00011623006981098785,0.0004543182521972826,0.00011315520634971491,0.0004391357741770711,9.898856679088286e-05,0.00036609186024951044,7.46250002463642e-05,0.0002571319161443727,4.493599524561536e-05,0.0001407513347177184,1.7859650940221636e-05,4.636262850617082e-05,1.3966892706700555e-06,-4.777543125483967e-07
6,0.8382865708455469,7837834.641445624,17.368680526095886,4.115306258623404,1.1805743795897814,0.09559654159534986,0.04669387486121485,0.0025043334427790245,1.200903504224558,1657.3150726197123,5.734643602558898,7.60790977084423,498.7235268924401,8.83900660986247,8.70659327415126,278.79680269796944,24.92025466908081,-2.9473007845553898e-06,-6.647862743393156e-07,2.2954529407615332e-05,-9.54795163631599e-05,7.497273822227941e-05,-0.00029103896715922464,0.00013338351055681218,-0.0005399415454012975,0.0001831639132724629,-0.0007847376201350163,0.00021480873586464578,-0.0009685406359821856,0.00022549420994979138,-0.0010459742704403243,0.00021857480411907438,-0.0009917623587288279,0.00020176906156744778,-0.0008053721094818534,0.0001844785215475324,-0.0005109530470883434,0.00017478204222040448,-0.00015265593823404769,0.00017679024710453867,0.00021377933022223258,0.0001891261976371888,0.0005316175178306337,0.00020515018845270288,0.0007539225541408422,0.00021508403300166023,0.0008524757346099738,0.0002095203416575653,0.0008230543084889728,0.0001832049988144072,0.0006860175708232199,0.0001377601080449916,0.0004821021624792558,8.232211296034009e-05,0.00026430763869089355,3.17989561829054e-05,8.74900917410024e-05,1.8770797333269916e-06,-6.523832687810825e-07
7,0.8382865708455469,7837834.641445624,17.368680526095886,4.115306258623404,1.1805743795897814,0.09559654159534986,0.04669387486121485,0.0025043334427790245,1.200903504224558,1657.3150726197123,5.734643602558898,7.60790977084423,498.7235268924401,8.83900660986247,8.70659327415126,278.79680269796944,28.957005367172645,-3.432249274086171e-06,-7.556254060346709e-07,3.6557550140873804e-05,-0.00014392503247925295,0.00011536515925825263,-0.0004402166872307935,0.000203819982476591,-0.000817966213207557,0.0002793175200454224,-0.0011900718536000635,0.00032755364952160004,-0.0014699981442241686,0.00034417642695651725,-0.0015885175856325696,0.00033403113366263547,-0.0015068673953266324,0.0003085521542866823,-0.0012239009278602222,0.0002818848766993911,-0.0007760809754054774,0.000266427268219401,-0.00023043932559996502,0.0002687500175600752,0.0003281663240708569,0.0002870912158030926,0.0008131692759373477,0.00031149142896508524,0.001152784256132865,0.0003269420208085552,0.0013036907714558742,0.0003188176585234323,0.0012591791394569504,0.0002788359125472448,0.001050113958615408,0.00020937907115137403,0.0007385585319645803,0.00012450585340397025,0.00040542384314767806,4.7188686594577745e-05,0.0001346358828339696,2.1781212285147435e-06,-7.705613014829861e-07
8,0.8382865708455469,7837834.641445624,17.368680526095886,4.115306258623404,1.1805743795897814,0.09559654159534986,0.04669387486121485,0.0025043334427790245,1.200903504224558,1657.3150726197123,5.734643602558898,7.60790977084423,498.7235268924401,8.83900660986247,8.70659327415126,278.79680269796944,31.443770185170216,-3.735420256882689e-06,-8.019923789899636e-07,5.0517307592360366e-05,-0.00019253087948637959,0.00015615133692518297,-0.0005903261882903518,0.0002746739309306935,-0.0010983170965473573,0.00037599015002785617,-0.0015996668851169288,0.0004410648088711639,-0.001977973944848203,0.00046396945305493894,-0.0021398647997295573,0.0004508684967852673,-0.002032770980835294,0.00041671180827126784,-0.0016546369099299763,0.000380295016234185,-0.0010540144972085363,0.0003584293843942935,-0.00032070931012556083,0.000360392645847303,0.00043125969983507956,0.00038430302700585275,0.0010852980845343309,0.00041701538487261123,0.001544464456092821,0.00043822629569989296,0.0017499957626147616,0.0004278859304782427,0.0016924003654190472,0.00037447228682241964,0.0014128497106660005,0.0002810359172209582,0.000994646955212025,0.00016661585757500607,0.000546636492646126,6.238388863554926e-05,0.00018194500279057553,2.3619999651961353e-06,-8.502722145807135e-07
9,0.8382865708455469,7837834.641445624,17.368680526095886,4.115306258623404,1.1805743795897814,0.09559654159534986,0.04669387486121485,0.0025043334427790245,1.200903504224558,1657.3150726197123,5.734643602558898,7.60790977084423,498.7235268924401,8.83900660986247,8.70659327415126,278.79680269796944,33.11683602270253,-3.943392053185158e-06,-8.250090421732106e-07,6.464043080392829e-05,-0.0002412378422532929,0.00019705495340083278,-0.0007411152856104583,0.00034558211460509623,-0.0013805304178710314,0.00047274823015217433,-0.0020129178248446257,0.0005548700175253532,-0.002491875081593377,0.0005843999373330277,-0.002699644610722901,0.0005686432032960634,-0.0025695500381046547,0.0005258465551005336,-0.002098302223123836,0.00047933849366483194,-0.001346243954067088,0.0004504184587669461,-0.00042573928112139,0.00045131304323342797,0.0005201109401733964,0.0004802990782470844,0.0013446007617640818,0.000521207714333716,0.0019254034982376937,0.0005484079988079541,0.0021879985031945377,0.000536241053785951,0.0021197850899123444,0.00046973681868238323,0.0017719588908902525,0.0003525033426550345,0.0012488545919510433,0.00020858265324954014,0.0006871350307219275,7.743909527459503e-05,0.00022913133826100329,2.484537961080481e-06,-9.097068850761144e-07
10,0.8382865708455469,7837834.641445624,17.368680526095886,4.115306258623404,1.1805743795897814,0.09559654159534986,0.04669387486121485,0.0025043334427790245,1.200903504224558,1657.3150726197123,5.734643602558898,7.60790977084423,498.7235268924401,8.83900660986247,8.70659327415126,278.79680269796944,34.31223457468863,-4.095696646944773e-06,-8.343134991183495e-07,7.884067869040044e-05,-0.0002900256359868878,0.00023795594678357546,-0.0008924941752269332,0.00041638812864763666,-0.0016644496973939797,0.0005694038181970375,-0.0024296399710315754,0.0006687620476090502,-0.0030115562260262674,0.0007052590374209009,-0.0032678347316584793,0.0006871622833894097,-0.0031173885182807027,0.0006357890963751287,-0.0025553527900307915,0.0005788703912190991,-0.0016535302858725373,0.0005422561684556546,-0.000546584472241613,0.0005413587846989213,0.0005934286363859567,0.0005748986032524636,0.0015896485174175846,0.0006238607260322294,0.002294157910057171,0.0006572714301061007,0.0026163648965309536,0.0006436890325276913,0.0025402117222058404,0.0005644858513491384,0.0021265972796799537,0.0004237042644504764,0.0015006312634829363,0.000250393665966199,0.0008266305135799214,9.23872260426621e-05,0.0002760927667993483,2.5712203960874196e-06,-9.571792469873812e-07
