时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.5774803074458914,31076966.55576072,1.8189894035458565e-12,56.14246436548045,1.1956907621892086,0.1721770961414579,0.07092265492728532,0.004529544988909789,1.258852505812847,936.5876416290037,3.2689619241863994,1.1853559646923273,193.73546328660098,3.2689619241863994,1.1853559646923273,193.73546328660098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.5774803074458914,31076966.55576072,1.8189894035458565e-12,56.14246436548045,1.1956907621892086,0.1721770961414579,0.07092265492728532,0.004529544988909789,1.258852505812847,936.5876416290037,3.2689619241863994,1.1853559646923273,193.73546328660098,3.2689619241863994,1.1853559646923273,193.73546328660098,10.4334872503801,-4.167326713891285e-06,-6.536876828904205e-06,2.764077528946984e-06,-2.5900602702979493e-05,1.772340888461742e-05,-5.820136459232513e-05,3.3943641341996095e-05,-9.73705396419824e-05,4.754119155701544e-05,-0.00013520930834217727,5.6065755468457695e-05,-0.0001637699732476433,5.8852046660333005e-05,-0.00017679835164832456,5.6905891192330705e-05,-0.00017086135575842892,5.2386332476257954e-05,-0.00014593346394866315,4.783353871918283e-05,-0.0001053620941333873,4.53441993075926e-05,-5.522053036599512e-05,4.5914286607121785e-05,-3.166474287947975e-06,4.9134347377420185e-05,4.298859176254653e-05,5.333428397647176e-05,7.673262148534898e-05,5.6148094723049024e-05,9.40490562205941e-05,5.5339382953720926e-05,9.412007879714891e-05,4.963902094431675e-05,7.940168063627809e-05,3.9327333236409575e-05,5.505704615827508e-05,2.6366510321062035e-05,2.7878558964781748e-05,1.40128959286176e-05,4.894798907256897e-06,4.118947175380451e-06,-6.609599249438745e-06
3,1.5774803074458914,31076966.55576072,1.8189894035458565e-12,56.14246436548045,1.1956907621892086,0.1721770961414579,0.07092265492728532,0.004529544988909789,1.258852505812847,936.5876416290037,3.2689619241863994,1.1853559646923273,193.73546328660098,3.2689619241863994,1.1853559646923273,193.73546328660098,23.725695047370845,-9.49955310309917e-06,-1.48391963782112e-05,1.240443225922974e-05,-7.023885653041531e-05,5.6552648224059773e-05,-0.00016449572809687822,0.00010446195119802523,-0.00027909430816860063,0.0001446419249449232,-0.00038967275841707223,0.000169792592693152,-0.0004724271099600144,0.00017790699430689965,-0.0005085531123152282,0.00017196971078864412,-0.00048771941885509515,0.000158435566611428,-0.000409897437420603,0.00014492578190901595,-0.0002852922656609892,0.00013774073473223061,-0.00013240066615829093,0.00013985361580885538,2.5451738997284174e-05,0.00014995953136283426,0.0001644727690959436,0.00016289600581646043,0.0002648508551517119,0.0001713635725433544,0.0003144245713292771,0.00016846715949481056,0.000310844631184499,0.0001503101329205071,0.00026180795063605227,0.00011780760008951492,0.00018333047176532442,7.710921148924725e-05,9.645794149085459e-05,3.84183808834041e-05,2.3042004737992568e-05,9.353087608565008e-06,-1.5063559933560021e-05
4,1.5774803074458914,31076966.55576072,1.8189894035458565e-12,56.14246436548045,1.1956907621892086,0.1721770961414579,0.07092265492728532,0.004529544988909789,1.258852505812847,936.5876416290037,3.2689619241863994,1.1853559646923273,193.73546328660098,3.2689619241863994,1.1853559646923273,193.73546328660098,38.87291013473675,-1.5648530457273162e-05,-2.4199360818158646e-05,4.551780604574725e-05,-0.00016186865814014185,0.00015925918870317193,-0.00040177203720079925,0.00028259603939316774,-0.0006940554499281223,0.0003859947331615675,-0.0009754556827750509,0.0004506007768262532,-0.0011837093823923416,0.00047115287202465465,-0.0012694857835662578,0.00045529463352099664,-0.0012057103730399711,0.0004197543776900412,-0.000992532879604001,0.00038444304609655224,-0.0006572356629371715,0.00036595207796578835,-0.00024915192537182287,0.0003721682064759497,0.00016950736811691594,0.0003995861906543809,0.0005352968912371857,0.00043428334563823547,0.000795480771545989,0.00045648232728363923,0.0009179287018293013,0.0004474599608447882,0.0008969476688062625,0.0003966829068905873,0.000753880135412397,0.0003068210382912514,0.0005324107759500534,0.0001948998479334692,0.0002896869432289863,8.902218626986436e-05,8.504693541115313e-05,1.5261105880630508e-05,-2.4805642098658488e-05
5,1.5774803074458914,31076966.55576072,1.8189894035458565e-12,56.14246436548045,1.1956907621892086,0.1721770961414579,0.07092265492728532,0.004529544988909789,1.258852505812847,936.5876416290037,3.2689619241863994,1.1853559646923273,193.73546328660098,3.2689619241863994,1.1853559646923273,193.73546328660098,47.25052230020868,-1.9154473612291637e-05,-2.9214928620583026e-05,9.7731302046454e-05,-0.0002758575741944442,0.00030531947498227364,-0.0007118515594370342,0.0005301002027748063,-0.001243645399056068,0.0007185291275583805,-0.0017551079565708825,0.000836391145818191,-0.002131587857271037,0.0008739525378385985,-0.002282178348420295,0.000844780554894832,-0.0021570427520609223,0.000779083671557092,-0.0017566538078805215,0.0007132605336938317,-0.0011316800956277303,0.000678104558480367,-0.0003736760573104471,0.0006886919707642409,0.00040182959799933655,0.0007389836882375685,0.0010769394845561555,0.0008032190589736862,0.0015536989579310076,0.00084425788396496,0.001772673345512253,0.0008266646936834949,0.001723893001292642,0.0007304348393718591,0.0014478850342383104,0.000560683363102111,0.0010267378163802468,0.00034980160215605934,0.0005673868297526925,0.0001510151083810395,0.00018066377233584243,1.843856828639734e-05,-3.0348594303161792e-05
6,1.5774803074458914,31076966.55576072,1.8189894035458565e-12,56.14246436548045,1.1956907621892086,0.1721770961414579,0.07092265492728532,0.004529544988909789,1.258852505812847,936.5876416290037,3.2689619241863994,1.1853559646923273,193.73546328660098,3.2689619241863994,1.1853559646923273,193.73546328660098,51.33188125679443,-2.0953914982674887e-05,-3.151411760109267e-05,0.0001527181868402024,-0.00038701417180648937,0.0004541066343958749,-0.0010203371251657628,0.0007801419774270349,-0.0017936858730442887,0.0010536392257836907,-0.002537734102995487,0.0012252710273520395,-0.003085032802621932,0.0012806743789025076,-0.0033027516174823773,0.0012387954332371337,-0.0031180281532781845,0.0011427157398818417,-0.002531442048973448,0.0010450662919423129,-0.0016168707173015127,0.0009911571000953976,-0.0005080166177227918,0.0010040016525576902,0.0006261487499309382,0.0010757904458638826,0.0016129283277280255,0.0011692687295101172,0.0023086857754956594,0.0012296857574283883,0.002626295784536484,0.0012042549254558737,0.0025513460048569333,0.0010629020935899606,0.002143589082722308,0.0008129981840811327,0.0015236200996238424,0.0005025782718185458,0.0008481898356128981,0.00021046168127848786,0.00027958707031737516,1.9909071753689164e-05,-3.31785416124314e-05
7,1.5774803074458914,31076966.55576072,1.8189894035458565e-12,56.14246436548045,1.1956907621892086,0.1721770961414579,0.07092265492728532,0.004529544988909789,1.258852505812847,936.5876416290037,3.2689619241863994,1.1853559646923273,193.73546328660098,3.2689619241863994,1.1853559646923273,193.73546328660098,53.72776047858763,-2.208507595005569e-05,-3.2745531331481856e-05,0.00020875675834315663,-0.0004973895059072181,0.0006037526784934489,-0.0013294727278278357,0.0010307790989627175,-0.0023468321819129076,0.0013894063867534937,-0.003326731373309977,0.0016154481926137529,-0.004048587334063767,0.0016897310728761815,-0.004337306425197006,0.0016359802666521376,-0.0040966657289599,0.0015094687336285207,-0.003326980194695547,0.001378735914051312,-0.0021249272090755065,0.0013038923080862894,-0.000666002815616476,0.0013166677911950742,0.0008275347659322313,0.0014083409897254569,0.0021280561337691365,0.0015306385465468488,0.0030458690632440377,0.001611071541671898,0.003465704175966257,0.0015789226117619965,0.0033683277659517057,0.0013934183002483672,0.0028324444459463323,0.001063874864621957,0.002016903754905157,0.0006540728728298478,0.0011279731287005647,0.0002687229843993109,0.0003791294680962396,2.071188837080222e-05,-3.4941101238302975e-05
8,1.5774803074458914,31076966.55576072,1.8189894035458565e-12,56.14246436548045,1.1956907621892086,0.1721770961414579,0.07092265492728532,0.004529544988909789,1.258852505812847,936.5876416290037,3.2689619241863994,1.1853559646923273,193.73546328660098,3.2689619241863994,1.1853559646923273,193.73546328660098,55.29114096530882,-2.2887390432076256e-05,-3.344803160878778e-05,0.00026527300832434285,-0.0006076375403318543,0.0007536197263506278,-0.001639965927485103,0.0012813315699893727,-0.0029039457172418746,0.0017251421253872102,-0.004123259073617423,0.0020062677313674596,-0.0050238672741331845,0.0021005426146061554,-0.005388054468380687,0.0020358553245041424,-0.00509585441792574,0.0018789577181412673,-0.004146876258404138,0.001713938117030627,-0.002660102885132783,0.0016159683047582121,-0.0008523745302360767,0.0016262793441108449,0.0010010082383936773,0.0017361352915609954,0.002617407235913821,0.0018867779903696707,0.0037607016797816194,0.0019879044138064426,0.004286966499339941,0.0019503065772202403,0.004171666128259485,0.0017218583332153654,0.003512065250203764,0.0013134516476088862,0.002504906428493877,0.000804643866873094,0.0014055956443112764,0.00032628326963234143,0.00047849335634342604,2.118674381276204e-05,-3.6174305373132796e-05
9,1.5774803074458914,31076966.55576072,1.8189894035458565e-12,56.14246436548045,1.1956907621892086,0.1721770961414579,0.07092265492728532,0.004529544988909789,1.258852505812847,936.5876416290037,3.2689619241863994,1.1853559646923273,193.73546328660098,3.2689619241863994,1.1853559646923273,193.73546328660098,56.38062483210431,-2.3503570254784215e-05,-3.384828743878681e-05,0.0003220099936687347,-0.0007180077010844075,0.0009033947753302385,-0.001952047927759703,0.0015314295639326256,-0.0034652832136239558,0.002060431794302002,-0.0049276752133811195,0.0023972979009881704,-0.006011420032746358,0.002512698990998032,-0.006455811177018611,0.002438068442743025,-0.006116730963534144,0.002250904411866072,-0.0049926074249006455,0.0020504534527471577,-0.003224193594041063,0.0019271823298696337,-0.0010691766978555713,0.001932601390721234,0.0011443928982174732,0.00205887840208946,0.003078824354148311,0.002237344595424406,0.004451196570256277,0.002359846258598477,0.0050883832622838215,0.00231814261393111,0.004960010455173683,0.0020480881454243856,0.004181451741716632,0.0015617427833815862,0.00298693270374669,0.0009544273855440149,0.0016805887113082606,0.0003833449240053546,0.0005773487075302332,2.1476545867487343e-05,-3.710440774032472e-05
10,1.5774803074458914,31076966.55576072,1.8189894035458565e-12,56.14246436548045,1.1956907621892086,0.1721770961414579,0.07092265492728532,0.004529544988909789,1.258852505812847,936.5876416290037,3.2689619241863994,1.1853559646923273,193.73546328660098,3.2689619241863994,1.1853559646923273,193.73546328660098,57.173243103601095,-2.400404056786489e-05,-3.4058285837677514e-05,0.0003788280768187224,-0.0008286015460655981,0.0010528851590074775,-0.0022657736490593176,0.0017808164907472603,-0.004030870693682251,0.0023949567849465988,-0.005740022170115067,0.002788179076458152,-0.007011363125389187,0.002925837480352658,-0.0075408253013699075,0.002842295499484625,-0.007159718096609577,0.0026250498739961276,-0.005864795391035467,0.002388085169987732,-0.0038180230722432646,0.0022373669005731492,-0.001317408679621455,0.0022354494936976084,0.001256574896352745,0.002376335514120042,0.0035111679277439706,0.0025820532442481095,0.005116283346225331,0.002726597897740359,0.005869028761031333,0.0026821731651198773,0.005732620285829273,0.0023719405176001454,0.004840053631423126,0.0018086911393841274,0.0034626002573432467,0.0011034605457890263,0.0019526989274001587,0.0004399996039690166,0.000675524637233117,2.1651898212109528e-05,-3.7843102027683966e-05
