时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,4.00142768913567,89509263.41669738,2059.230274106245,402.6668225966069,1.3900500902784738,0.1695976014756921,0.08589846155638182,0.007524260648259878,1.4434087936415354,680.5349195269982,0.494399980639157,2.2534430799186893,787.2864007127316,0.7111285160109286,3.3119771047569238,155.47122311317912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4.00142768913567,89509263.41669738,2059.230274106245,402.6668225966069,1.3900500902784738,0.1695976014756921,0.08589846155638182,0.007524260648259878,1.4434087936415354,680.5349195269982,0.494399980639157,2.2534430799186893,787.2864007127316,0.7111285160109286,3.3119771047569238,155.47122311317912,4.789886897998527,-3.1923016588426534e-05,-3.3291597328112435e-06,-2.782192428184427e-05,-2.0837840043856308e-05,-1.672811504919457e-05,-4.991266151276602e-05,-4.38208547054184e-06,-8.608125132592385e-05,6.64358458332538e-06,-0.00012336632725829273,1.4676680098515426e-05,-0.0001560235774110706,1.9086313766691187e-05,-0.00017933930366011112,2.02061421471526e-05,-0.00019026653119445132,1.9078092382505775e-05,-0.00018777495744412044,1.708099935432255e-05,-0.00017287010749122237,1.55284549791685e-05,-0.00014828704508753439,1.532688251138855e-05,-0.00011791848149652762,1.677352094863987e-05,-8.608000559083634e-05,1.954215108287425e-05,-5.674490074437594e-05,2.285531458040087e-05,-3.288894426969719e-05,2.5787240898754706e-05,-1.6067444132397818e-05,2.759910856881626e-05,-6.301898518822556e-06,2.7993086419661884e-05,-2.2948711348935053e-06,2.719346959500932e-05,-1.921140817294289e-06,2.582119146388952e-05,-2.9068045246810528e-06,2.2131030639716413e-05,-2.3152718655403456e-06
3,4.00142768913567,89509263.41669738,2059.230274106245,402.6668225966069,1.3900500902784738,0.1695976014756921,0.08589846155638182,0.007524260648259878,1.4434087936415354,680.5349195269982,0.494399980639157,2.2534430799186893,787.2864007127316,0.7111285160109286,3.3119771047569238,155.47122311317912,10.296490519514029,-6.875000722409032e-05,-7.166275456082898e-06,-5.90738900754735e-05,-4.671857880261812e-05,-3.36378950581157e-05,-0.00011313259418066502,-5.206652242292448e-06,-0.0001961650752019613,2.0227453718632277e-05,-0.0002818806130197676,3.871238615886478e-05,-0.0003566666339099383,4.873332494115312e-05,-0.0004092523945424413,5.106756237802076e-05,-0.0004323255638130629,4.818993643545136e-05,-0.00042344116450604235,4.3385825205975166e-05,-0.0003851087276718884,3.977768998543757e-05,-0.0003240688952487606,3.948938657644444e-05,-0.0002499044109051543,4.3147707235119805e-05,-0.00017323688665812865,4.9844861024905555e-05,-0.0001038352020125713,5.756545946954498e-05,-4.8982689115935416e-05,6.394556218183597e-05,-1.2406815072544122e-05,6.712318001689369e-05,6.034924227743064e-06,6.639929411479194e-05,9.86550057196589e-06,6.248069312006723e-05,4.820728646348911e-06,5.721748626826822e-05,-2.7744337880624367e-06,4.7648133939368584e-05,-4.996564082979721e-06
4,4.00142768913567,89509263.41669738,2059.230274106245,402.6668225966069,1.3900500902784738,0.1695976014756921,0.08589846155638182,0.007524260648259878,1.4434087936415354,680.5349195269982,0.494399980639157,2.2534430799186893,787.2864007127316,0.7111285160109286,3.3119771047569238,155.47122311317912,16.246866243114216,-0.00010870788350448916,-1.1317620373997748e-05,-9.132710549788811e-05,-7.84096631701284e-05,-4.741624528877044e-05,-0.00019249905603364588,1.8461990501526209e-06,-0.00033580603469671947,4.594602355748586e-05,-0.00048380568253638073,7.785423332270968e-05,-0.0006121406511335802,9.484495038579459e-05,-0.0007004692724721335,9.830147775195907e-05,-0.0007355662845262806,9.267628356353901e-05,-0.000713104748431472,8.389099801320657e-05,-0.0006378936505934407,7.755419442815535e-05,-0.0005225851468425914,7.741383082503016e-05,-0.00038511484036726773,8.442365551144768e-05,-0.0002453400736684518,9.666863822622944e-05,-0.00012148442379836217,0.0001101716788768125,-2.7041844471817765e-05,0.00012034446881818004,3.128324778430995e-05,0.00012363368405196153,5.4227714971702246e-05,0.00011882969065201241,4.911819347560147e-05,0.00010759833616285123,2.7743882762286655e-05,9.405948068598187e-05,3.376307978405829e-06,7.531202966918342e-05,-7.922955031735111e-06
5,4.00142768913567,89509263.41669738,2059.230274106245,402.6668225966069,1.3900500902784738,0.1695976014756921,0.08589846155638182,0.007524260648259878,1.4434087936415354,680.5349195269982,0.494399980639157,2.2534430799186893,787.2864007127316,0.7111285160109286,3.3119771047569238,155.47122311317912,21.382127782759383,-0.00014334229134339757,-1.4893545672831088e-05,-0.00011688584054366729,-0.00011110681021531493,-5.286772928120056e-05,-0.0002765916080930411,1.9083667701349692e-05,-0.0004850928513673905,8.343975638984117e-05,-0.0007002008341003623,0.00012972532641998712,-0.0008852911141129792,0.00015386296142446649,-0.0010095955562467406,0.00015795435384390852,-0.001053124536195525,0.00014874508602193232,-0.0010095425814050914,0.0001352043689144519,-0.0008866257948257114,0.00012579392871829998,-0.0007043106265588089,0.00012607037371054858,-0.0004907328108676932,0.00013722258292809023,-0.0002769747788615131,0.0001559493080614965,-9.147122877356204e-05,0.00017573675310770636,4.489649254764824e-05,0.0001891802246547963,0.00012209946624504946,0.00019064479163736006,0.00014205282575302993,0.0001784126699984658,0.0001173394022851526,0.00015560472876629568,6.79115409113511e-05,0.0001295763454064214,1.64440725902647e-05,9.926204229129565e-05,-1.0480840505709502e-05
6,4.00142768913567,89509263.41669738,2059.230274106245,402.6668225966069,1.3900500902784738,0.1695976014756921,0.08589846155638182,0.007524260648259878,1.4434087936415354,680.5349195269982,0.494399980639157,2.2534430799186893,787.2864007127316,0.7111285160109286,3.3119771047569238,155.47122311317912,26.139986191794545,-0.00017557509758540658,-1.8183412516839168e-05,-0.00013707747731877637,-0.00014938455930182986,-4.833955678811213e-05,-0.0003775134992238009,5.1397006513851906e-05,-0.0006653957240487855,0.00014037785322950654,-0.0009616130374118769,0.0002038554745413393,-0.0012139429510055568,0.00023611274599585547,-0.0013783617855659246,0.00024022339941673273,-0.0014263820695812157,0.00022589651343214801,-0.0013493906486594163,0.00020601346293961222,-0.0011594123251293877,0.00019267253082526326,-0.0008862959557520136,0.00019367575723383077,-0.0005718930474454331,0.0002103589179475829,-0.0002622772074724935,0.00023740060635141932,5.92383585455783e-07,0.00026474067286442506,0.00018622236761751154,0.0002811035472215861,0.0002805637720784602,0.0002780708607258487,0.00028769640176355465,0.0002534010732286093,0.00022796384565008644,0.00021249238809307064,0.00013306278875934878,0.0001675067636393227,3.910706537419045e-05,0.0001215132763459881,-1.2889653783980529e-05
7,4.00142768913567,89509263.41669738,2059.230274106245,402.6668225966069,1.3900500902784738,0.1695976014756921,0.08589846155638182,0.007524260648259878,1.4434087936415354,680.5349195269982,0.494399980639157,2.2534430799186893,787.2864007127316,0.7111285160109286,3.3119771047569238,155.47122311317912,31.144341738534074,-0.00020966694254570607,-2.1580301603412546e-05,-0.00015116644439647936,-0.00020577124641636983,-2.4328736187769994e-05,-0.0005297641571801542,0.00011787516798489602,-0.0009385147295673801,0.00024407539645453588,-0.0013568671971790752,0.00033300842796647517,-0.0017079772432916636,0.00037655460824116157,-0.0019270415471295413,0.0003794404105950965,-0.0019725228448049604,0.00035611462595468076,-0.0018328318740040708,0.0003256624321193711,-0.0015275576158978827,0.00030591837991059194,-0.0011032207979835842,0.0003081548271452231,-0.000624390394878846,0.0003337398262646099,-0.00016173901207556187,0.00037381426642428024,0.00022082130239034956,0.00041227721367482074,0.00047753266954688844,0.0004313501141107705,0.0005885302664208014,0.0004180663741807616,0.000562455172638339,0.0003695912639548922,0.00043352630724146767,0.000295572157588862,0.0002538482235179024,0.00021671309365452153,8.258147142311856e-05,0.00014497690894937072,-1.5488948023143672e-05
8,4.00142768913567,89509263.41669738,2059.230274106245,402.6668225966069,1.3900500902784738,0.1695976014756921,0.08589846155638182,0.007524260648259878,1.4434087936415354,680.5349195269982,0.494399980639157,2.2534430799186893,787.2864007127316,0.7111285160109286,3.3119771047569238,155.47122311317912,36.18000512155408,-0.0002442793192700683,-2.4823117762339108e-05,-0.0001481860298079596,-0.00030100519987121785,4.542648887473308e-05,-0.0007924793055807413,0.0002611422753654258,-0.001410678257593416,0.0004508641946097419,-0.0020377547054501615,0.0005822615089263432,-0.0025530210787324398,0.0006433492848435635,-0.002855176452419887,0.0006419665467519741,-0.0028804386122610512,0.0006009797344202719,-0.002613301303145179,0.0005504469295887436,-0.0020884417451209674,0.0005183858943904141,-0.0013837422508878859,0.0005222236664121096,-0.0006057495210488531,0.0005632267357889308,0.00012992053887589617,0.0006258238329604005,0.0007197628585145817,0.0006825303443643824,0.0010911859502663861,0.0007033901608000543,0.0012152411848447165,0.0006671196770710764,0.0011107538857441195,0.0005702518377401498,0.0008391626800709534,0.0004310622510729513,0.0004914169523849958,0.00028684234146111995,0.00016977519349424357,0.00016863981740982702,-1.8239624371588366e-05
9,4.00142768913567,89509263.41669738,2059.230274106245,402.6668225966069,1.3900500902784738,0.1695976014756921,0.08589846155638182,0.007524260648259878,1.4434087936415354,680.5349195269982,0.494399980639157,2.2534430799186893,787.2864007127316,0.7111285160109286,3.3119771047569238,155.47122311317912,39.00453249637403,-0.0002639647400444673,-2.644027034525e-05,-0.00012798835102470374,-0.0003960952942341402,0.00013343970912293234,-0.0010582418825006805,0.00042304279997071797,-0.0018885995639234359,0.0006759742447601531,-0.0027251295545563984,0.000849072926500968,-0.0034022072057670874,0.0009266886635423526,-0.00378158276264706,0.0009198045604061753,-0.0037774936807658073,0.0008596504862466397,-0.003371425112693226,0.0007873018730601106,-0.0026145305050661424,0.0007412052274752402,-0.0016177159175506325,0.0007452928668937414,-0.0005312106709265878,0.000800930810496295,0.00048294636554618544,0.0008856511084284022,0.0012807008369558174,0.0009599937992625326,0.0017624589303471847,0.0009810915528120148,0.0018909246640480967,0.0009188984799202165,0.0016966299530035223,0.0007695004817534076,0.0012701976073611872,0.0005606443609746538,0.0007433815417501203,0.00034736859697241125,0.00026310671402325956,0.00018193332973414245,-1.9915285320721115e-05
10,4.00142768913567,89509263.41669738,2059.230274106245,402.6668225966069,1.3900500902784738,0.1695976014756921,0.08589846155638182,0.007524260648259878,1.4434087936415354,680.5349195269982,0.494399980639157,2.2534430799186893,787.2864007127316,0.7111285160109286,3.3119771047569238,155.47122311317912,40.75523190827533,-0.00027639008285858306,-2.7266892167498878e-05,-9.981241720392318e-05,-0.0004905149125014137,0.00022916590527486945,-0.0013238901037497955,0.0005919269602839049,-0.002366661082810363,0.0009071908045024937,-0.003412239073644922,0.0011213267119378008,-0.004249920641220587,0.0012151316796154925,-0.004704624277621576,0.0012025135524836277,-0.0046689205898956245,0.0011226809617548164,-0.004121675193225902,0.0010274633421638367,-0.003130869426393966,0.0009657966948373042,-0.0018406908993375993,0.0009684819780309343,-0.0004452153099164453,0.0010374196380460786,0.000847014211122651,0.0011434698707092088,0.0018514180232065856,0.001235076567125167,0.0024415820531851085,0.0012561025737029973,0.002572222379202781,0.0011674192427510285,0.00228603505501114,0.0009646276971457116,0.0017032145958563033,0.0006852212734967763,0.0009964745738509442,0.0004023537562299729,0.0003572817526208236,0.00019018923891126128,-2.1060611363415217e-05
