时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.20793847616540714,3147166.9662289936,-6.3735999731935635,1.2329556632238792,0.6310354965389254,0.14330802536599258,0.019213777798854716,0.002265487575578573,0.7093738159733485,1133.3428683991212,3.965852218692269,9.270917106104955,674.2565036650593,5.101823749444883,9.408978697497682,956.4342492278244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.20793847616540714,3147166.9662289936,-6.3735999731935635,1.2329556632238792,0.6310354965389254,0.14330802536599258,0.019213777798854716,0.002265487575578573,0.7093738159733485,1133.3428683991212,3.965852218692269,9.270917106104955,674.2565036650593,5.101823749444883,9.408978697497682,956.4342492278244,44.7639362940538,-3.848389882887222e-06,-1.435874473589384e-06,1.2470407673470617e-05,-2.4579433424903826e-05,4.900086256859509e-05,-7.296794410758868e-05,9.235322513191706e-05,-0.00013650336947274868,0.00013085852329286293,-0.00020054279663402432,0.00015617823530047285,-0.0002498792143243609,0.00016511101512996408,-0.0002718458504083385,0.00015986808635406596,-0.0002589434980624697,0.00014677873658793008,-0.00021040778727795829,0.0001338139980178699,-0.0001325106134413632,0.00012762907603092638,-3.743800852435196e-05,0.00013108787351237048,5.914668326715642e-05,0.00014218341006736493,0.00014139906748199735,0.0001548004400043879,0.00019666100179267058,0.0001610443679744393,0.00021805230446988853,0.00015427613221991263,0.00020570252567899517,0.00013180463263157087,0.0001664581103172624,9.634459364816062e-05,0.00011221955100393869,5.5802908361206585e-05,5.73676013295683e-05,2.1309708483555347e-05,1.5674648528422184e-05,2.9193613697992687e-06,-1.4805136226435048e-06
3,0.20793847616540714,3147166.9662289936,-6.3735999731935635,1.2329556632238792,0.6310354965389254,0.14330802536599258,0.019213777798854716,0.002265487575578573,0.7093738159733485,1133.3428683991212,3.965852218692269,9.270917106104955,674.2565036650593,5.101823749444883,9.408978697497682,956.4342492278244,106.52337060436071,-9.238391868634949e-06,-3.343275850436403e-06,6.58828795231681e-05,-0.0001008664004144844,0.0002275188875624025,-0.0003121979524555616,0.0004198469747240025,-0.0005916867516486513,0.0005912761495694406,-0.0008742426730249855,0.0007045013690545144,-0.0010914191083653453,0.0007448312160603293,-0.0011858574163849816,0.0007216822543914124,-0.0011233629274074002,0.0006631281010198566,-0.0009002506141658154,0.000604978761542423,-0.0005449038193978805,0.0005774213107172278,-0.00011282987047083327,0.0005935848042158847,0.0003244215820296439,0.0006443599920381754,0.0006944587143683826,0.000701729463241929,0.000939686888056704,0.0007294633215187329,0.0010293200612856294,0.0006971927062190593,0.0009649322014148704,0.0005928869205695894,0.0007787776733406557,0.00042951539933416507,0.0005258250700878114,0.00024377223194392317,0.00027171058592413293,8.67559029784172e-05,7.884645631911644e-05,6.874544522558029e-06,-3.5955286140013895e-06
4,0.20793847616540714,3147166.9662289936,-6.3735999731935635,1.2329556632238792,0.6310354965389254,0.14330802536599258,0.019213777798854716,0.002265487575578573,0.7093738159733485,1133.3428683991212,3.965852218692269,9.270917106104955,674.2565036650593,5.101823749444883,9.408978697497682,956.4342492278244,136.35010685099775,-1.1991048227935831e-05,-4.124554814423277e-06,0.0001599448296395896,-0.0002180392992868112,0.000522391566309989,-0.0006907872812504202,0.0009540488912574964,-0.001318869366785072,0.001339850623945356,-0.0019555466300816447,0.0015961193537908122,-0.002445523703494975,0.001689073183403957,-0.002658388730465235,0.001638487698605292,-0.0025161417550237236,0.001506340818792725,-0.0020099047743794333,0.0013730835499683666,-0.0012035776541664813,0.0013077510610616293,-0.00022296113381595374,0.0013415360444847203,0.0007691170631273632,0.0014550070257436814,0.0016074581554364844,0.0015848266298913631,0.002160626136242226,0.001647962209892637,0.0023588921370974805,0.0015743596770549078,0.002206979749043384,0.001336220532762651,0.00177962527992525,0.0009635941674329124,0.0012025577783476905,0.0005409929048820521,0.0006244948506570154,0.00018521981633108802,0.00018600357208925492,8.648580066376764e-06,-4.750247866095146e-06
5,0.20793847616540714,3147166.9662289936,-6.3735999731935635,1.2329556632238792,0.6310354965389254,0.14330802536599258,0.019213777798854716,0.002265487575578573,0.7093738159733485,1133.3428683991212,3.965852218692269,9.270917106104955,674.2565036650593,5.101823749444883,9.408978697497682,956.4342492278244,148.08162134778485,-1.320469064777692e-05,-4.309237983628673e-06,0.00025635806259534117,-0.00033461039764679196,0.0008196373050226329,-0.0010713284442568397,0.0014906153282870799,-0.0020529460313750665,0.0020915353978030824,-0.003050210352673093,0.0024928656537247253,-0.003819812067083136,0.002641243425861355,-0.004157437294074867,0.002565322952089138,-0.003940765223911099,0.0023593852673415776,-0.0031552400269096157,0.002147904983742963,-0.0018996616968785423,0.0020396884419947975,-0.00036963310657411327,0.0020860308943012125,0.0011806428612761016,0.0022591609211881757,0.0024923028823186535,0.0024611984514943917,0.003358854803412191,0.002561537196153082,0.0036707628474234597,0.0024487932363385675,0.0034357822871683335,0.0020780495561577707,0.002771467054996444,0.0014961840693104578,0.0018744047966402343,0.0008362542660458461,0.0009758534727804184,0.00028161983051608325,0.00029375597141066283,9.229591814385271e-06,-5.318574997603855e-06
6,0.20793847616540714,3147166.9662289936,-6.3735999731935635,1.2329556632238792,0.6310354965389254,0.14330802536599258,0.019213777798854716,0.002265487575578573,0.7093738159733485,1133.3428683991212,3.965852218692269,9.270917106104955,674.2565036650593,5.101823749444883,9.408978697497682,956.4342492278244,154.30058261437233,-1.3950625410868381e-05,-4.311577154120922e-06,0.00035344920034215187,-0.0004514634070113509,0.0011172085414317284,-0.0014547739729244432,0.0020269996082024353,-0.002794821961305726,0.0028432792985586793,-0.00415910527632915,0.0033913493350701783,-0.005215356600493693,0.0035978905300385554,-0.005684738308122288,0.0034989456788949796,-0.005400259855192783,0.0032193499929386595,-0.004341226595694408,0.0029267611757718202,-0.0026405333773354355,0.0027704999007210677,-0.0005626780972583091,0.0028239846456330872,0.001547210325686286,0.0030532688998702504,0.0033362324891209093,0.0033270109518640915,0.00452186521489891,0.003466530346430677,0.004953818861698454,0.003317567749210579,0.004642412663246661,0.002816611226058544,0.0037478703804924548,0.002026808012931252,0.002537255035003459,0.0011301291751365627,0.001323471661825699,0.00037709141152072936,0.00040090523911127197,9.448732948482001e-06,-5.707031195739851e-06
7,0.20793847616540714,3147166.9662289936,-6.3735999731935635,1.2329556632238792,0.6310354965389254,0.14330802536599258,0.019213777798854716,0.002265487575578573,0.7093738159733485,1133.3428683991212,3.965852218692269,9.270917106104955,674.2565036650593,5.101823749444883,9.408978697497682,956.4342492278244,158.11950660230428,-1.4493926341574013e-05,-4.2340464936709005e-06,0.0004508067935676939,-0.0005688252634488365,0.0014145931090722025,-0.001841397710534795,0.002562529166184785,-0.003544817428535568,0.00359422387938854,-0.005282625802048677,0.004290569453433909,-0.006632686883807293,0.004557972708663132,-0.007241039582557502,0.004438387914378036,-0.006895692029450679,0.004085410598457178,-0.005569360090615981,0.00370895477818989,-0.0034282037580671953,0.0034995157439521836,-0.0008046182061230617,0.003554631656905176,0.0018659338761183198,0.0038364062036148577,0.004136272126842081,0.00418123155889982,0.0056469040737880975,0.0043619531029363634,0.006205769334674822,0.004179920751887685,0.005825153653378721,0.0035514968601688193,0.004707675645691458,0.00255542436254688,0.003190400100055694,0.0014228374620840643,0.0016669443069631659,0.0004719523155311096,0.0005072079858701214,9.511573202631562e-06,-6.016269953879061e-06
8,0.20793847616540714,3147166.9662289936,-6.3735999731935635,1.2329556632238792,0.6310354965389254,0.14330802536599258,0.019213777798854716,0.002265487575578573,0.7093738159733485,1133.3428683991212,3.965852218692269,9.270917106104955,674.2565036650593,5.101823749444883,9.408978697497682,956.4342492278244,160.6725244920497,-1.4931146611708673e-05,-4.11402932237579e-06,0.0005482596753604741,-0.0006867579192705721,0.001711524244907507,-0.002231235396071613,0.0030967812524250594,-0.004302936582732803,0.0043437631559379184,-0.00642076794290148,0.005189771211977064,-0.008071833682783604,0.005520674790516197,-0.008826450520554828,0.005382879604420785,-0.008427293541185397,0.004956916446781108,-0.006840050357654829,0.00449395939028836,-0.00426332167585471,0.004226263938513979,-0.001096366197081502,0.004277450444755022,0.0021356924651111868,0.0046079321832524145,0.004891227459639425,0.005023114306553931,0.006732861375443758,0.005247048972560572,0.007425701099722552,0.005035213214943699,0.006983327829084768,0.00428228537225293,0.005650422994469225,0.003081857178448533,0.003833552405278427,0.0017143926090930689,0.00200610402402531,0.0005663039206181207,0.0006125679012556449,9.493056484720295e-06,-6.282949769471442e-06
9,0.20793847616540714,3147166.9662289936,-6.3735999731935635,1.2329556632238792,0.6310354965389254,0.14330802536599258,0.019213777798854716,0.002265487575578573,0.7093738159733485,1133.3428683991212,3.965852218692269,9.270917106104955,674.2565036650593,5.101823749444883,9.408978697497682,956.4342492278244,162.47167664768395,-1.5305838889941924e-05,-3.9684444448510435e-06,0.0006457107045111747,-0.0008052690624289485,0.0020078074012017237,-0.0026242384953261083,0.003629401865478627,-0.005069063593351717,0.00509135479897676,-0.007573369126655399,0.006088255341807668,-0.009532626736902026,0.006485225966567253,-0.010440829057986295,0.006331683326259768,-0.009994981573276504,0.00583324206152095,-0.008153317274357077,0.005281275493981568,-0.005146068121010227,0.004950311249095928,-0.0014383042707166345,0.004991974845908966,0.00235592437797453,0.005367272296901209,0.0056004467531655215,0.005851974899265697,0.007779107920800388,0.006121099766093808,0.008613086714556949,0.0058828064230807735,0.00811653430954029,0.005008514533521104,0.00657582724976324,0.003605858379791387,0.004466522414662346,0.0020047250693284954,0.0023408381418439914,0.0006601732658216636,0.0007169280730826451,9.427060187970167e-06,-6.523593388891001e-06
10,0.20793847616540714,3147166.9662289936,-6.3735999731935635,1.2329556632238792,0.6310354965389254,0.14330802536599258,0.019213777798854716,0.002265487575578573,0.7093738159733485,1133.3428683991212,3.965852218692269,9.270917106104955,674.2565036650593,5.101823749444883,9.408978697497682,956.4342492278244,163.78212419347574,-1.5640520141786002e-05,-3.8060899830991207e-06,0.0007430921666422152,-0.0009243441021624431,0.0023032773010129735,-0.0030203213633698315,0.004160065570738292,-0.005843026052145523,0.0058364826363379125,-0.008740188549768083,0.006985343397811148,-0.011014795155421376,0.007450868591552447,-0.012083908618006088,0.007284067334296252,-0.011598521142813213,0.006713763834366147,-0.009508996674564186,0.006070408164837948,-0.006076408134132514,0.005671238084237677,-0.0018305751381451807,0.00569776329772109,0.0025263141776115192,0.006113882913307577,0.006263510938153481,0.006667156868648562,0.00878521560507935,0.006983402286363617,0.009767556797254481,0.006722057749531106,0.009224483626036858,0.005729699462458886,0.007483672098956467,0.004127145049426095,0.005089157723549912,0.0022937282821585327,0.0026710537030143868,0.000753556486112964,0.0008202461953698805,9.33116543598861e-06,-6.746730513790202e-06
