时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.5811376282911173,20768405.243495833,1158.4438805399923,49.14070227188562,1.697517487867433,0.2604997068124509,0.02929332982056456,0.005338122015724602,1.7987834720253073,1169.3910988718574,1.999650466234792,1.803812729606177,167.21599360329344,1.999650466234792,1.803812729606177,167.21599360329344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.5811376282911173,20768405.243495833,1158.4438805399923,49.14070227188562,1.697517487867433,0.2604997068124509,0.02929332982056456,0.005338122015724602,1.7987834720253073,1169.3910988718574,1.999650466234792,1.803812729606177,167.21599360329344,1.999650466234792,1.803812729606177,167.21599360329344,8.712975700487913,-4.930742459733347e-06,-3.3452069869206756e-06,2.2955161066138012e-06,-1.7889219329386468e-05,1.7619234804550988e-05,-4.8503351643204124e-05,3.549465670101807e-05,-8.824715903443847e-05,5.113372858947604e-05,-0.00012811838678116535,6.133052614328772e-05,-0.00015898827056876717,6.499534835509765e-05,-0.00017342618788024827,6.311510843471786e-05,-0.00016715694806435384,5.816356111286153e-05,-0.00013986879765871683,5.3149053487890944e-05,-9.525056361567289e-05,5.056763866113453e-05,-4.0252123755516834e-05,5.15612663831924e-05,1.6290540986294016e-05,5.55358588378011e-05,6.540430054257811e-05,6.037046416283432e-05,9.975446147152014e-05,6.31702279692959e-05,0.00011508147311556419,6.133663803864102e-05,0.00011099655719681623,5.361258735629763e-05,9.097452068288084e-05,4.0748184820532695e-05,6.154847336281692e-05,2.5550083205994226e-05,3.0898611696378155e-05,1.2212771631971558e-05,7.1183721070021625e-06,4.918204336876769e-06,-3.3519344350269053e-06
3,0.5811376282911173,20768405.243495833,1158.4438805399923,49.14070227188562,1.697517487867433,0.2604997068124509,0.02929332982056456,0.005338122015724602,1.7987834720253073,1169.3910988718574,1.999650466234792,1.803812729606177,167.21599360329344,1.999650466234792,1.803812729606177,167.21599360329344,19.579193953521628,-1.108983521502638e-05,-7.514931028919551e-06,1.0871796544451834e-05,-5.012274243925027e-05,5.675769134679158e-05,-0.00014093494661560833,0.0001103336680308422,-0.00025928264680276066,0.00015725580524014369,-0.0003780497751364013,0.00018783744891525455,-0.00046953737692801816,0.00019874714630150543,-0.0005111090843345615,0.0001929315831045423,-0.0004897111374226452,0.00017786653922192616,-0.0004044036907344721,0.00016268693433304783,-0.00026651428944591583,0.0001549970894497761,-9.739630419822943e-05,0.00015827351532571668,7.578383137388939e-05,0.00017065757728885802,0.00022543250397668698,0.00018556972967859143,0.0003290160042898882,0.0001940246577916938,0.0003735091657620165,0.00018795564279444483,0.00035785861967707144,0.00016347670501275097,0.0002929537277490396,0.0001229674619033435,0.00019913464061219473,7.52292357247759e-05,0.00010183507222690657,3.3441158624654285e-05,2.6254880313581416e-05,1.1051577056077494e-05,-7.537758043935821e-06
4,0.5811376282911173,20768405.243495833,1158.4438805399923,49.14070227188562,1.697517487867433,0.2604997068124509,0.02929332982056456,0.005338122015724602,1.7987834720253073,1169.3910988718574,1.999650466234792,1.803812729606177,167.21599360329344,1.999650466234792,1.803812729606177,167.21599360329344,31.96658471804265,-1.8139383006620902e-05,-1.2255698387224161e-05,4.29156522977349e-05,-0.00012563272835384212,0.00016796239808282608,-0.00037079963474611195,0.00031390752467118393,-0.0006915921687969715,0.0004418283164977452,-0.001013583940444801,0.0005252456262912482,-0.0012602005111990691,0.0005548919580268843,-0.0013686288671497734,0.0005386041944405043,-0.0013025719848668005,0.000496729226213729,-0.0010594526041939531,0.0004544173050210453,-0.000670955877307303,0.00043286170715787413,-0.00019687416585237414,0.00044194694724842,0.00028661855461842306,0.00047661348602589187,0.0007020871970972443,0.0005183418705915743,0.000986352697141564,0.0005416003938412474,0.0011031297680625747,0.000523361461382034,0.0010500127358050281,0.0004525532691799971,0.000858318103804768,0.00033611499756493977,0.000585935346180765,0.00019939347560403775,0.0003049495359782868,8.026593004608056e-05,8.667564992004846e-05,1.8033159596156398e-05,-1.232642703833905e-05
5,0.5811376282911173,20768405.243495833,1158.4438805399923,49.14070227188562,1.697517487867433,0.2604997068124509,0.02929332982056456,0.005338122015724602,1.7987834720253073,1169.3910988718574,1.999650466234792,1.803812729606177,167.21599360329344,1.999650466234792,1.803812729606177,167.21599360329344,37.80192670890188,-2.1494008604109674e-05,-1.447000775196783e-05,8.725635286630858e-05,-0.000212366158976574,0.0003075578563090184,-0.0006435226003189822,0.000564449695946686,-0.001209027452345527,0.0007898022530133355,-0.0017771390953080308,0.0009371737519855626,-0.002211863909918415,0.0009900178332433174,-0.0024014742080746697,0.0009615383640564144,-0.0022813002787004447,0.0008870036442902978,-0.0018465950647880655,0.0008106476436846766,-0.001153569117968937,0.0007704100307432037,-0.0003085875228265023,0.0007846675264831528,0.0005525576489877131,0.0008451889335784865,0.0012915752041909273,0.0009192111596553083,0.001795527296379621,0.0009607611967045118,0.001999651373826453,0.0009279682484470763,0.0018999813103880666,0.0008005255120423257,0.0015529576101081365,0.0005909196983469798,0.0010623963489457423,0.0003450736745837213,0.0005571816599341863,0.0001314566926033837,0.000164608793842271,2.1305515379585166e-05,-1.460171315975464e-05
6,0.5811376282911173,20768405.243495833,1158.4438805399923,49.14070227188562,1.697517487867433,0.2604997068124509,0.02929332982056456,0.005338122015724602,1.7987834720253073,1169.3910988718574,1.999650466234792,1.803812729606177,167.21599360329344,1.999650466234792,1.803812729606177,167.21599360329344,40.69470103648661,-2.3186518110202752e-05,-1.555134097477643e-05,0.00013350767504787564,-0.0002981135244103013,0.0004489923093752148,-0.0009165059052759501,0.0008166396445737282,-0.0017291733894022525,0.0011395159958756075,-0.002546782812337859,0.0013515217604178698,-0.0031734591492113048,0.0014286738996410842,-0.0034481010128292466,0.0013888923144258257,-0.003277252701924946,0.0012815993732830618,-0.0026535893994795528,0.0011697554823862104,-0.0016574422614013262,0.0011084020792737283,-0.00044145695845823336,0.0011253268727204012,0.0007989714330148706,0.001210087062953691,0.0018643592161345843,0.0013161219854554225,0.0025914390500876364,0.0013767324852897076,0.0028864174178736186,0.0013304480057786073,0.0027434276782995672,0.0011470325799702895,0.0022438999280500575,0.0008443077243591456,0.0015374839395630648,0.0004890574799905179,0.0008096928413927864,0.00018078279278366098,0.0002436436781280172,2.291572862285616e-05,-1.5744977875826616e-05
7,0.5811376282911173,20768405.243495833,1158.4438805399923,49.14070227188562,1.697517487867433,0.2604997068124509,0.02929332982056456,0.005338122015724602,1.7987834720253073,1169.3910988718574,1.999650466234792,1.803812729606177,167.21599360329344,1.999650466234792,1.803812729606177,167.21599360329344,42.409175778843014,-2.421563832723351e-05,-1.617879631478041e-05,0.0001804825554451322,-0.0003836483474983253,0.0005909419298296732,-0.0011905613895262157,0.001069040654035993,-0.0022529576926261148,0.0014894742850273769,-0.0033237458498823003,0.0017668196499769668,-0.004146795742949709,0.0018695044661433597,-0.0045112153484250135,0.0018194839446720782,-0.004294329508827294,0.0016795055959850148,-0.003485736881219669,0.0015308274609908675,-0.0021893228624151407,0.0014459012629030518,-0.000603503589668035,0.0014628540728016464,0.0010169712586346983,0.0015700661999606168,0.0024112739128761087,0.001707739777915668,0.003365313186255212,0.0017882688449946617,0.003755652986872654,0.0017298718107562503,0.0035740111489648463,0.0014916513279051068,0.0029264269812406566,0.0010964389878832925,0.0020080284517937606,0.0006320200570247066,0.0010605651400315507,0.0002292378226275711,0.0003226860388737697,2.3862678317586023e-05,-1.6434608431303917e-05
8,0.5811376282911173,20768405.243495833,1158.4438805399923,49.14070227188562,1.697517487867433,0.2604997068124509,0.02929332982056456,0.005338122015724602,1.7987834720253073,1169.3910988718574,1.999650466234792,1.803812729606177,167.21599360329344,1.999650466234792,1.803812729606177,167.21599360329344,43.533318849516114,-2.4914375692392573e-05,-1.657876438244385e-05,0.00022777589385776417,-0.000469214270951409,0.0007329368137243945,-0.0014659265337383562,0.0013211167721716678,-0.0027806510192949305,0.0018390885692773666,-0.004108418470843057,0.002182460962719308,-0.005132497795659389,0.002311934736226558,-0.00559179039062078,0.0022528160529370015,-0.00533394537946401,0.0020803217645492373,-0.004344945390306557,0.0018935371843828127,-0.0027516057003502707,0.0017825972970027806,-0.0007975267404582842,0.0017968905258904878,0.0012035179491492595,0.001924687737014631,0.0029292655365372707,0.0020935726333049225,0.004114317534564472,0.0021949052251682283,0.004604938375036253,0.0021259013760353855,0.004389832472528005,0.0018342457095222333,0.003599175499092234,0.0013473977159896248,0.002473137343066727,0.0007742206168366582,0.0013092563590908087,0.00027716976713576514,0.00040140481402470144,2.4479413552608195e-05,-1.689675518539759e-05
9,0.5811376282911173,20768405.243495833,1158.4438805399923,49.14070227188562,1.697517487867433,0.2604997068124509,0.02929332982056456,0.005338122015724602,1.7987834720253073,1169.3910988718574,1.999650466234792,1.803812729606177,167.21599360329344,1.999650466234792,1.803812729606177,167.21599360329344,44.318189630129915,-2.5424954725825564e-05,-1.684794062315739e-05,0.0002752025900383332,-0.0005548956783769496,0.000874736279023556,-0.001742643477240386,0.0015725570631856753,-0.003312264834173174,0.0021879767462573254,-0.004900828110948169,0.002598014948946611,-0.0061306764923317715,0.002755529373260573,-0.006690090526216261,0.002688498509182143,-0.006396574806645905,0.0024837349492520663,-0.005231937297785687,0.002257644606598445,-0.0033452725142449533,0.0021182817173711205,-0.001024739540896412,0.0021272028510385477,0.0013572443919547955,0.0022736558694944698,0.0034169307754097337,0.00247326931890679,0.004837139802095415,0.002596286487917437,0.005433152885321384,0.0025182487468232194,0.005190015625456468,0.0021746512668479345,0.004261519440357841,0.0015971590988035575,0.002932402945521953,0.0009157458736360871,0.0015555220105956014,0.00032472242594224507,0.00047965483786027805,2.4908190265954975e-05,-1.722799287480036e-05
10,0.5811376282911173,20768405.243495833,1158.4438805399923,49.14070227188562,1.697517487867433,0.2604997068124509,0.02929332982056456,0.005338122015724602,1.7987834720253073,1169.3910988718574,1.999650466234792,1.803812729606177,167.21599360329344,1.999650466234792,1.803812729606177,167.21599360329344,44.88910603907064,-2.581836605408659e-05,-1.703460699674858e-05,0.0003226600139002102,-0.0006407172641234543,0.001016185763970179,-0.0020206779865856463,0.0018231343478493326,-0.003847702321994308,0.0025358309534007782,-0.005700842511298641,0.003013109192919024,-0.007141211800509201,0.0031998926599820046,-0.0078060602066655285,0.003126164673755451,-0.00748227306704095,0.002889447310984867,-0.0061469164918978225,0.0026229266155099653,-0.0039707013400977435,0.0024527733251258474,-0.0012856952460489888,0.0024535978933940866,0.0014774586794837118,0.002616722935203688,0.003873511302823452,0.0028465235070269713,0.00553304093570891,0.0029920859618317594,0.006239647404334779,0.0029066274666396876,0.0059740410823056105,0.002512673878520051,0.004913078686766724,0.0018456410696962135,0.0033855731828197058,0.0010566075700155872,0.0017992124684469849,0.00037195951344393943,0.0005573543350845351,2.5220029402145817e-05,-1.747652524627798e-05
