时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.1955669593284393,12090036.129329728,218.23981154256626,9.488026381127828,1.2441555951421308,0.10673928436932353,0.05226850417060487,0.0030306495849091917,1.2681612202966484,1431.5295791786814,8.91855288922519,9.552702092197942,782.6343109608483,1.3174280235753042,8.608920980679656,951.0108523591539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.1955669593284393,12090036.129329728,218.23981154256626,9.488026381127828,1.2441555951421308,0.10673928436932353,0.05226850417060487,0.0030306495849091917,1.2681612202966484,1431.5295791786814,8.91855288922519,9.552702092197942,782.6343109608483,1.3174280235753042,8.608920980679656,951.0108523591539,4.066112024919702,-4.0968977488199956e-07,-1.2549749159540334e-07,1.5171554818483747e-06,-8.091210226138634e-06,5.930683676592978e-06,-2.404796878493315e-05,1.0890305855649614e-05,-4.4247472208778114e-05,1.5125665112772075e-05,-6.420340596993263e-05,1.7837654628249664e-05,-7.95459708035354e-05,1.8794781242768912e-05,-8.681711978382128e-05,1.828622912179293e-05,-8.40909276392907e-05,1.6959272791725377e-05,-7.130052997058095e-05,1.558534728848836e-05,-5.021779486883334e-05,1.4810552148833556e-05,-2.4093543989877413e-05,1.4952055724806127e-05,2.9728591726774706e-06,1.589681802850889e-05,2.681706847056641e-05,1.7137973981224485e-05,4.3998938329462695e-05,1.794701315385433e-05,5.2445951386123694e-05,1.7635709681283696e-05,5.1825125333012793e-05,1.58268994363506e-05,4.3570211093916616e-05,1.2643170492914507e-05,3.0558641151995666e-05,8.744802764881512e-06,1.6503920311341733e-05,5.1968158269678465e-06,5.181028642288176e-06,2.816513742872841e-06,-1.5103841059820856e-07
3,1.1955669593284393,12090036.129329728,218.23981154256626,9.488026381127828,1.2441555951421308,0.10673928436932353,0.05226850417060487,0.0030306495849091917,1.2681612202966484,1431.5295791786814,8.91855288922519,9.552702092197942,782.6343109608483,1.3174280235753042,8.608920980679656,951.0108523591539,8.803057477959152,-8.876937987133694e-07,-2.7053151744255213e-07,3.918483083453727e-06,-1.9495413706790968e-05,1.4667508263085738e-05,-5.8202198993296406e-05,2.675783025157209e-05,-0.00010728766951155648,3.7090027514815004e-05,-0.00015578944498543295,4.370623673946348e-05,-0.0001929771949005492,4.603363786034388e-05,-0.00021033510765413425,4.477501120254745e-05,-0.0002031102299069583,4.151459239993339e-05,-0.00017113350854564414,3.814670486208776e-05,-0.0001187794927963745,3.6262262819541676e-05,-5.408377170556579e-05,3.664373666045111e-05,1.2812345499623965e-05,3.900952664691717e-05,7.159985540735812e-05,4.209880347508144e-05,0.00011375783380932923,4.409592983267837e-05,0.00013415153105648088,4.328211723650631e-05,0.0001319602208789311,3.871276878559383e-05,0.0001107525240543974,3.069243474476262e-05,7.769544839053502e-05,2.0874902156238484e-05,4.2059786772763826e-05,1.1937909758550147e-05,1.3314327041327755e-05,6.099184339695305e-06,-3.286754158812077e-07
4,1.1955669593284393,12090036.129329728,218.23981154256626,9.488026381127828,1.2441555951421308,0.10673928436932353,0.05226850417060487,0.0030306495849091917,1.2681612202966484,1431.5295791786814,8.91855288922519,9.552702092197942,782.6343109608483,1.3174280235753042,8.608920980679656,951.0108523591539,13.948917643291216,-1.4081380732348025e-06,-4.259190200505674e-07,7.695430648869394e-06,-3.5532740338206875e-05,2.751442280916237e-05,-0.00010659487866456903,4.9820198746788233e-05,-0.00019686405024767784,6.88931992568594e-05,-0.00028605988907604485,8.110670619986465e-05,-0.00035423225717226813,8.538853879354913e-05,-0.00038550182192657786,8.302823217442672e-05,-0.00037098670994424447,7.695684528884435e-05,-0.0003103651519564208,7.069442436510374e-05,-0.0002118204978875304,6.72097971135058e-05,-9.040311283001511e-05,6.797041442416136e-05,3.487550119066246e-05,7.244976514089991e-05,0.00014467468792092567,7.827265794207311e-05,0.0002229988825137701,8.200665148741224e-05,0.00026020794764406097,8.039303968507817e-05,0.000254773598042037,7.163534203402927e-05,0.0002134365983354355,5.630869816288485e-05,0.00014973824144537374,3.7559154884807966e-05,8.123116290660197e-05,2.0496130804711855e-05,2.5920885549853826e-05,9.666871684279672e-06,-5.245841142940392e-07
5,1.1955669593284393,12090036.129329728,218.23981154256626,9.488026381127828,1.2441555951421308,0.10673928436932353,0.05226850417060487,0.0030306495849091917,1.2681612202966484,1431.5295791786814,8.91855288922519,9.552702092197942,782.6343109608483,1.3174280235753042,8.608920980679656,951.0108523591539,19.60830936384019,-1.98270383999147e-06,-5.922923707076175e-07,1.4272409918796864e-05,-6.0749165377533856e-05,4.857862070286657e-05,-0.00018321499365100199,8.719335550725467e-05,-0.0003390305512689837,0.000120224208661216,-0.0004929666175807707,0.00014137955450401683,-0.000610193888081711,0.00014877698803768318,-0.0006629068093196533,0.00014462401626428415,-0.0006355182379018886,0.00013399349868935853,-0.0005274541503042005,0.00012301804183808437,-0.000353096654722926,0.00011690836029619812,-0.000138932565890001,0.00011827023206086742,8.154387926091382e-05,0.00012619948124457497,0.0002742265106688272,0.00013649912523446198,0.0004108880610723787,0.00014306107219996846,0.0004745162803693329,0.00014005924656668842,0.00046244463496016193,0.00012426815604687792,0.0003866589738437352,9.671075849537671e-05,0.0002712311141426291,6.302982293918352e-05,0.0001474182660143782,3.240736278912395e-05,4.740716377675036e-05,1.3592223225181312e-05,-7.458372547715309e-07
6,1.1955669593284393,12090036.129329728,218.23981154256626,9.488026381127828,1.2441555951421308,0.10673928436932353,0.05226850417060487,0.0030306495849091917,1.2681612202966484,1431.5295791786814,8.91855288922519,9.552702092197942,782.6343109608483,1.3174280235753042,8.608920980679656,951.0108523591539,25.80483170151695,-2.6168088508124657e-06,-7.631743118882586e-07,2.7480307718477165e-05,-0.00010720194879344718,8.877737020601598e-05,-0.0003252232325249127,0.00015772364731361424,-0.0006030611117654172,0.00021671804068899833,-0.0008775217560780201,0.00025455036003938294,-0.0010858174336325318,0.00026780815345379467,-0.0011776649626367305,0.0002603249673190803,-0.0011247979495456833,0.00024107588863814957,-0.000926125317421195,0.00022104423290141112,-0.0006077078687931152,0.00020970428154707999,-0.00021764956679118808,0.00021192924074913604,0.0001831190917845598,0.00022621985276737912,0.0005324647502033114,0.00024496678383287816,0.0007789032053420907,0.00025691672627480824,0.0008913894212062174,0.00025123553236704003,0.0008650990762593843,0.00022187520887464906,0.0007220443750531795,0.00017070320207747378,0.0005064289116235591,0.00010821506655587571,0.00027573352037372443,5.149944934401134e-05,8.933744197181946e-05,1.7891453877027923e-05,-1.0018241479335306e-06
7,1.1955669593284393,12090036.129329728,218.23981154256626,9.488026381127828,1.2441555951421308,0.10673928436932353,0.05226850417060487,0.0030306495849091917,1.2681612202966484,1431.5295791786814,8.91855288922519,9.552702092197942,782.6343109608483,1.3174280235753042,8.608920980679656,951.0108523591539,29.66076866454041,-3.0173558376804676e-06,-8.557055196328592e-07,4.3000271148197206e-05,-0.0001591170856126908,0.00013456645947466348,-0.00048460675574193144,0.0002374613464219915,-0.0008999328830495548,0.00032554867667666717,-0.001310433320474189,0.00038219070362199517,-0.00162175023721391,0.00040222813125633346,-0.001758140647992139,0.00039116082551897635,-0.0016768926242753308,0.00036215409648683485,-0.001376182844545502,0.00033155218459763464,-0.0008951278138992941,0.00031371406288938043,-0.00030617019849361513,0.0003162956024908071,0.00029875291172401166,0.0003373632848379253,0.000825731132285927,0.0003655597654897879,0.00119682378224186,0.00038373455541289525,0.001364947436685469,0.0003751859545542304,0.0013227162816561071,0.0003304870975112903,0.0011034386991163893,0.0002524118018751819,0.0007741192401511324,0.00015705204414721895,0.00042199045986625024,7.061296460163184e-05,0.00013733596561461326,2.0567729004205816e-05,-1.177310534411661e-06
8,1.1955669593284393,12090036.129329728,218.23981154256626,9.488026381127828,1.2441555951421308,0.10673928436932353,0.05226850417060487,0.0030306495849091917,1.2681612202966484,1431.5295791786814,8.91855288922519,9.552702092197942,782.6343109608483,1.3174280235753042,8.608920980679656,951.0108523591539,32.02656700120876,-3.2684088115368603e-06,-9.003894949867598e-07,5.887330812087685e-05,-0.00021110071658390764,0.00018069406556317,-0.0006446592353688649,0.0003174769835738172,-0.0011985880765566438,0.00043466914490996364,-0.0017466875205306679,0.0005102999012249898,-0.0021628482887318763,0.0005374237201170519,-0.0023456248071053653,0.0005230220119166085,-0.0022375978593528957,0.0004842259270424212,-0.0018359672763525303,0.00044262993712926443,-0.0011927156531873423,0.0004175735666747204,-0.00040453228264293795,0.0004197604538871641,0.0004055983507966884,0.00044710821658358135,0.0011118099177955122,0.00048465249216376473,0.001609428869203667,0.0005092698866682309,0.0018350357201518252,0.0004981642108241919,0.0017784404940353429,0.00043830593420296135,0.0014841018985032842,0.00033329011706561754,0.00104177864252333,0.00020488609644493327,0.000568493789911227,8.857273816563131e-05,0.00018555658771985217,2.2211656535550475e-05,-1.2988092335509874e-06
9,1.1955669593284393,12090036.129329728,218.23981154256626,9.488026381127828,1.2441555951421308,0.10673928436932353,0.05226850417060487,0.0030306495849091917,1.2681612202966484,1431.5295791786814,8.91855288922519,9.552702092197942,782.6343109608483,1.3174280235753042,8.608920980679656,951.0108523591539,33.61557486949093,-3.441699442550077e-06,-9.201031072558292e-07,7.491102111261913e-05,-0.0002631637773228606,0.00022691678348581132,-0.0008053357941943044,0.000397481423926096,-0.001498976872023416,0.0005437663890064951,-0.002186349330282345,0.0006385700284356967,-0.0027094651250035005,0.0006731210162792271,-0.002940958545223278,0.0006556877274749759,-0.002808428716180636,0.0006071241916091631,-0.0023078007411079507,0.0005541427530782338,-0.001503643831212127,0.000521144007080036,-0.0005166868748603206,0.0005221445491710446,0.0004991182640567388,0.0005552176833302529,0.001385872518976387,0.0006019662350334562,0.0020119529602988543,0.0006332530451489142,0.00229730863675408,0.0006199824545679794,0.0022286442825681574,0.000545297169404398,0.0018613127654808015,0.00041350181624157757,0.0013076362930604794,0.0002520791450956896,0.0007143151639991587,0.00010588893999083471,0.00023367375157210072,2.3318929694073915e-05,-1.3920011714585638e-06
10,1.1955669593284393,12090036.129329728,218.23981154256626,9.488026381127828,1.2441555951421308,0.10673928436932353,0.05226850417060487,0.0030306495849091917,1.2681612202966484,1431.5295791786814,8.91855288922519,9.552702092197942,782.6343109608483,1.3174280235753042,8.608920980679656,951.0108523591539,34.74900962944869,-3.5695519857657854e-06,-9.25152233823985e-07,9.102734778227925e-05,-0.00031530794362901127,0.00027312272149870946,-0.0009666149144217306,0.00047734086158840206,-0.001801090320836547,0.0006526935891858663,-0.0026294901673303527,0.0007668545293547389,-0.0032618393137271,0.0008091894834761195,-0.003544636007002379,0.0007890567291926202,-0.0033902069147198084,0.0007307812059327379,-0.002792872208412254,0.0006660476264629176,-0.001829463849945615,0.0006243870781373212,-0.0006444923263368748,0.0006233921786018843,0.0005772523309241682,0.0006616065650788584,0.0016457981538547403,0.0007173935609431294,0.0024023705589057654,0.0007555808748811982,0.0027499790739687613,0.0007405787833199401,0.0026718849514395264,0.000651473066663559,0.0022340252451823663,0.0004931490628334351,0.0015710344602566809,0.00029881569796761845,0.000859120507232672,0.00012280063672897204,0.00028157106356645987,2.4112926759282775e-05,-1.4684835598461196e-06
