时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.1257120636028342,14882178.180636788,-638.1125170668533,10.764612902428361,1.3333976041873474,0.11532792451403846,0.05759565409024902,0.0030280294828785026,1.3595391132496883,1598.548244647112,7.283166301176901,1.2038064849254635,259.00097762989424,8.621297100316765,5.003436329985487,501.9438304284124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.1257120636028342,14882178.180636788,-638.1125170668533,10.764612902428361,1.3333976041873474,0.11532792451403846,0.05759565409024902,0.0030280294828785026,1.3595391132496883,1598.548244647112,7.283166301176901,1.2038064849254635,259.00097762989424,8.621297100316765,5.003436329985487,501.9438304284124,3.8785557056913498,-4.1270491859993494e-07,-8.517410923064591e-07,1.6656193398704406e-06,-8.891206094825213e-06,6.058001140603727e-06,-2.453793227152499e-05,1.0919672565755315e-05,-4.404851360656311e-05,1.5004216919950192e-05,-6.298086417033381e-05,1.753956298641052e-05,-7.703367539155423e-05,1.8322558322043673e-05,-8.284451721939746e-05,1.766880772800356e-05,-7.860575886429169e-05,1.6245481394993737e-05,-6.438213244288028e-05,1.483264227806264e-05,-4.207788949022625e-05,1.407036153969974e-05,-1.5063232104755559e-05,1.4254509217550082e-05,1.246931895361113e-05,1.5238472081482559e-05,3.629952016688018e-05,1.6476032479458673e-05,5.2976204886557165e-05,1.720246228849921e-05,6.046418252364963e-05,1.670603267903327e-05,5.8515304568476496e-05,1.46070993034348e-05,4.86908494646869e-05,1.1052158226716316e-05,3.403034145779221e-05,6.753215011234951e-06,1.843340937643854e-05,2.851086929775463e-06,5.873578454360153e-06,3.4208652119819115e-07,-2.0995360921185034e-07
3,1.1257120636028342,14882178.180636788,-638.1125170668533,10.764612902428361,1.3333976041873474,0.11532792451403846,0.05759565409024902,0.0030280294828785026,1.3595391132496883,1598.548244647112,7.283166301176901,1.2038064849254635,259.00097762989424,8.621297100316765,5.003436329985487,501.9438304284124,8.488435473167634,-9.044453396818957e-07,-1.8608107085359833e-06,4.396158884143391e-06,-2.179049278683702e-05,1.535931704473009e-05,-6.070351612858861e-05,2.7498461245070092e-05,-0.0001092814723409642,3.7705922163912233e-05,-0.00015643158078291317,4.4050987532211624e-05,-0.00019137622875369976,4.60203160208385e-05,-0.0002056726088246643,4.439645295463051e-05,-0.00019477248779799607,4.084408963541482e-05,-0.00015883011431317494,3.731619026197267e-05,-0.0001026266861591154,3.542089015028473e-05,-3.4635687510723925e-05,3.590579697142897e-05,3.459374810993525e-05,3.840517471005507e-05,9.443630875273688e-05,4.154239225767359e-05,0.00013619845155878662,4.338393489250003e-05,0.00015475113591503022,4.212605007239072e-05,0.00014946905934454352,3.6803802195045945e-05,0.00012429201512322415,2.778606554947859e-05,8.68963207091164e-05,1.6878427001974947e-05,4.714433182459602e-05,6.979998319160259e-06,1.5113029629170051e-05,7.483608472064271e-07,-4.6111717822773547e-07
4,1.1257120636028342,14882178.180636788,-638.1125170668533,10.764612902428361,1.3333976041873474,0.11532792451403846,0.05759565409024902,0.0030280294828785026,1.3595391132496883,1598.548244647112,7.283166301176901,1.2038064849254635,259.00097762989424,8.621297100316765,5.003436329985487,501.9438304284124,13.524614386620955,-1.4438773326119758e-06,-2.956878726885386e-06,8.807511421319562e-06,-4.032278850225905e-05,2.950880520502696e-05,-0.00011352856975346052,5.24345994316184e-05,-0.00020502236467865011,7.172938794390003e-05,-0.0002938504272589276,8.374507892457043e-05,-0.0003595819895665706,8.749961884684444e-05,-0.0003861756079485365,8.445497208639512e-05,-0.00036496867762284707,7.774665204647854e-05,-0.0002962341876274328,7.107081770149116e-05,-0.00018905254216658527,6.748763896383119e-05,-5.954413746583898e-05,6.843419802521676e-05,7.220207383081512e-05,7.322766704089848e-05,0.00018593630010876167,7.924508151910529e-05,0.00026507919042428126,8.278309646637719e-05,0.00029984343614567106,8.037494420165303e-05,0.00028903549648574736,7.015897164479455e-05,0.0002401830442646776,5.2838226258402074e-05,0.00016796534301583403,3.188386435995549e-05,9.12676404347121e-05,1.2878742333482745e-05,2.9436768545146327e-05,1.1915425797159073e-06,-7.385325767549035e-07
5,1.1257120636028342,14882178.180636788,-638.1125170668533,10.764612902428361,1.3333976041873474,0.11532792451403846,0.05759565409024902,0.0030280294828785026,1.3595391132496883,1598.548244647112,7.283166301176901,1.2038064849254635,259.00097762989424,8.621297100316765,5.003436329985487,501.9438304284124,19.05190277069999,-2.0404664168279395e-06,-4.146234996362685e-06,1.668196371347923e-05,-7.010907355475025e-05,5.34885668607341e-05,-0.00019981334176564217,9.424429992713514e-05,-0.00036212065256112196,0.0001285801511579069,-0.0005197649981452645,0.00015002022391487127,-0.0006362727559526806,0.00015679186841792772,-0.0006829316654379166,0.00015144436003826874,-0.0006441880489854471,0.00013951240930719857,-0.0005204749125958871,0.0001275709883959374,-0.00032801551961352703,0.00012111545453349599,-9.568240790191989e-05,0.00012277670370431,0.00014049335121706457,0.00013138482989159887,0.00034415094593530485,0.0001422458551705185,0.00048548998344944306,0.00014866850941936806,0.0005469001667494422,0.00014435233314234324,0.0005262241207784345,0.00012589341155902747,0.0004370078208241011,9.455048253802098e-05,0.00030569746505392225,5.6623634272322574e-05,0.00016636288018042955,2.2257467031872675e-05,5.399250450286216e-05,1.6764389907174817e-06,-1.049295879368164e-06
6,1.1257120636028342,14882178.180636788,-638.1125170668533,10.764612902428361,1.3333976041873474,0.11532792451403846,0.05759565409024902,0.0030280294828785026,1.3595391132496883,1598.548244647112,7.283166301176901,1.2038064849254635,259.00097762989424,8.621297100316765,5.003436329985487,501.9438304284124,24.973386689363974,-2.6908432007513235e-06,-5.385826064828477e-06,3.272765443791777e-05,-0.00012580906816132755,0.00010033648350118647,-0.0003635649215164407,0.0001751560452482633,-0.0006615701666598971,0.00023828713785583325,-0.000951341607399589,0.000277906424906647,-0.001165565422631385,0.00029068658493716914,-0.00125107530901496,0.0002811190954842779,-0.0011789226025811523,0.00025917943725915337,-0.0009496919429512595,0.00023689532707638834,-0.000593216869293821,0.0002245121778022939,-0.00016283923880098497,0.00022713785228590966,0.0002747066920002289,0.0002428488721485775,0.0006519365755161793,0.00026303872018148086,0.0009134298021641463,0.00027518599435087296,0.0010263471194699597,0.00026736152012188754,0.000986563004366386,0.0002330398653016535,0.0008191832601484787,0.00017451567609822822,0.0005733698428732765,0.00010363602090663891,0.0003125664918838247,3.9494092838268965e-05,0.00010209050916897744,2.1920655922175666e-06,-1.397697458266395e-06
7,1.1257120636028342,14882178.180636788,-638.1125170668533,10.764612902428361,1.3333976041873474,0.11532792451403846,0.05759565409024902,0.0030280294828785026,1.3595391132496883,1598.548244647112,7.283166301176901,1.2038064849254635,259.00097762989424,8.621297100316765,5.003436329985487,501.9438304284124,28.270065274378048,-3.064903097340574e-06,-6.038828415816911e-06,4.9724386926731886e-05,-0.00018216112285652304,0.00014879769278403272,-0.0005308232340661275,0.0002583822754550819,-0.0009684979029034722,0.00035099199953533844,-0.0013947697949882054,0.0004094247077153961,-0.0017106385780467522,0.00042870639401198433,-0.001837695689050254,0.0004151141992455691,-0.0017330211831650436,0.00038293618194929434,-0.0013970876905259491,0.000349673041156993,-0.0008734332083466833,0.00033053554273974444,-0.00024031259011513567,0.00033343670918235043,0.00040410946726260815,0.0003559651663150914,0.0009603422926287464,0.00038564420904667264,0.0013464855806123424,0.000403903847875239,0.0015138248010198054,0.0003928264164472477,0.001455975479903081,0.00034247216763746486,0.0012097169066487348,0.00025611656062354674,0.000847396404115984,0.00015136853284450824,0.000462545413244257,5.6638832866486514e-05,0.00015163891276574393,2.4751490048399616e-06,-1.6077971465742112e-06
8,1.1257120636028342,14882178.180636788,-638.1125170668533,10.764612902428361,1.3333976041873474,0.11532792451403846,0.05759565409024902,0.0030280294828785026,1.3595391132496883,1598.548244647112,7.283166301176901,1.2038064849254635,259.00097762989424,8.621297100316765,5.003436329985487,501.9438304284124,30.325230373305427,-3.308225587540429e-06,-6.414729838485555e-06,6.701332770242505e-05,-0.00023846203276605278,0.0001975533262252124,-0.0006988223142641403,0.00034188981398889035,-0.0012776083346013568,0.00046406915807034783,-0.0018424147995491818,0.0005415919249634421,-0.002262357182879331,0.0005677761750012378,-0.002433500368114698,0.000550478092615219,-0.002298629680931011,0.000508060687767345,-0.0018577866759922907,0.00046338695715444884,-0.0011679466635340248,0.0004367414859369022,-0.00033211595220904465,0.0004391280315667521,0.0005201198776255167,0.00046795476934228473,0.0012571070646460489,0.0005070337276927844,0.0017701778139417139,0.0005316803268671405,0.001994399211481007,0.0005177606492638134,0.001920810534058224,0.0004516849790548097,0.0015976249333075902,0.00033760333369763676,0.0011202298949386585,0.00019894149844462022,0.0006121977288633127,7.356140685959614e-05,0.0002012268973127501,2.6484978087286874e-06,-1.7520013377443975e-06
9,1.1257120636028342,14882178.180636788,-638.1125170668533,10.764612902428361,1.3333976041873474,0.11532792451403846,0.05759565409024902,0.0030280294828785026,1.3595391132496883,1598.548244647112,7.283166301176901,1.2038064849254635,259.00097762989424,8.621297100316765,5.003436329985487,501.9438304284124,31.718187172985715,-3.481980750450671e-06,-6.642654368616448e-06,8.443268589081049e-05,-0.0002947733876862962,0.00024637067379132627,-0.0008674813398672951,0.00042537413916602735,-0.0015886825115186958,0.000577157150720305,-0.0022939900072436827,0.0006740169792070559,-0.0028204945183880796,0.0007075076658495256,-0.003038484710440544,0.0006868520963367145,-0.002876131226941085,0.0006342341098303687,-0.0023326947047604837,0.0005777466196346952,-0.0014782580538821321,0.0005428391962887858,-0.00044033173184436725,0.0005438882517892322,0.0006201810440958388,0.0005784426674342616,0.0015393884046494555,0.0006267886217157258,0.002181618130765255,0.0006580890457859812,0.002465383988835857,0.0006417833204571955,0.002378795486384663,0.0005603947814299511,0.001981186655765928,0.0004188215648272216,0.0013907428901479167,0.0002463289778216803,0.0007609274932895447,9.032964623390299e-05,0.0002506386448718924,2.763504816998301e-06,-1.8609045287459664e-06
10,1.1257120636028342,14882178.180636788,-638.1125170668533,10.764612902428361,1.3333976041873474,0.11532792451403846,0.05759565409024902,0.0030280294828785026,1.3595391132496883,1598.548244647112,7.283166301176901,1.2038064849254635,259.00097762989424,8.621297100316765,5.003436329985487,501.9438304284124,32.71867752377233,-3.6146601889327936e-06,-6.782739178302252e-06,0.00010190710057567677,-0.0003511231638466006,0.0002951412691560179,-0.001036763056093877,0.0005086913674074348,-0.001901623666581272,0.0006900805812362163,-0.0027493751205990677,0.0008065042555449622,-0.0033849662242751064,0.000847702588163484,-0.003652671236209836,0.0008240537521769746,-0.0034657235725713193,0.0007613012354636969,-0.002822236816690262,0.0006926221550993743,-0.001805043483103447,0.0006487088273732488,-0.0005658738024214198,0.0006475863593836255,0.0007031942754149732,0.0006872714815293226,0.001805988854477045,0.000744725693133526,0.002579614006375447,0.000782939275428397,0.0029256928943653276,0.0007647250882749975,0.0028290307468861633,0.0006684807206105493,0.0023597353579027647,0.0004997127184433216,0.0016585074243504205,0.0002935301829393025,0.0009085121000168537,0.00010698033849261631,0.00029979253165709065,2.8441052502452467e-06,-1.9487676021608476e-06
