时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.24085315697713305,4950295.317055952,228.7904082218618,2.607638716870272,0.8086746997672327,0.19264108298152957,0.01625082138700003,0.0025125591163552706,0.9181971662780399,1265.1085531102506,7.928896495660331,5.000167386448542,767.6843364042071,7.928896495660331,5.000167386448542,767.6843364042071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.24085315697713305,4950295.317055952,228.7904082218618,2.607638716870272,0.8086746997672327,0.19264108298152957,0.01625082138700003,0.0025125591163552706,0.9181971662780399,1265.1085531102506,7.928896495660331,5.000167386448542,767.6843364042071,7.928896495660331,5.000167386448542,767.6843364042071,37.010395720943116,-1.5883477986894743e-06,-2.358734609254977e-06,1.5720138520906614e-05,-2.4117256743651824e-05,5.5699670345982035e-05,-7.419850049373467e-05,0.00010428836415860517,-0.00014144212841029434,0.0001480100629853859,-0.00021000851016411261,0.0001770521171213757,-0.00026315100984816887,0.00018745324330523042,-0.00028675712314863984,0.00018155661086176854,-0.00027234561186026125,0.00016659035749720202,-0.00021889739128830372,0.0001517957289973303,-0.00013327962890700106,0.0001449148466873204,-2.904617143889835e-05,0.00014921331524314982,7.631070461637541e-05,0.00016219256211815456,0.00016514389289782133,0.00017655663794043336,0.00022351315822497547,0.000183057922084142,0.00024409839280727287,0.00017412124535003058,0.00022750037878209537,0.00014696907614252392,0.0001817938959434785,0.00010521576641674332,0.00012055805414900366,5.846483304567269e-05,5.992342759218742e-05,1.9802266097622874e-05,1.5124289927460133e-05,1.5566032388567645e-06,-2.385799389315175e-06
3,0.24085315697713305,4950295.317055952,228.7904082218618,2.607638716870272,0.8086746997672327,0.19264108298152957,0.01625082138700003,0.0025125591163552706,0.9181971662780399,1265.1085531102506,7.928896495660331,5.000167386448542,767.6843364042071,7.928896495660331,5.000167386448542,767.6843364042071,86.28912346708663,-3.7390882212326912e-06,-5.465754683745696e-06,7.606277289673284e-05,-0.00010009381219310763,0.00025736124190798047,-0.0003247577008943548,0.00047856960166941544,-0.0006292121336904321,0.0006786832281419823,-0.0009412524825635126,0.0008126297896080085,-0.0011836245818508178,0.0008616618512597319,-0.0012907742280140366,0.0008357507828600093,-0.0012229105343852533,0.0007675529352153155,-0.0009747673813906119,0.0006995150873106232,-0.0005778191222614857,0.0006676695395479789,-9.494272140713012e-05,0.0006875448322024009,0.00039231132407987427,0.0007477934646864529,0.0008015463135303877,0.0008144692537304957,0.0010678795719890784,0.0008443537857726637,0.0011577695325750447,0.0008021101510702509,0.001074986566580652,0.0006750560849066635,0.0008580802856962024,0.0004805610719747432,0.0005707143845314596,0.0002637489330737425,0.0002875507271013487,8.55062863940751e-05,7.838882022499172e-05,3.5952832998016263e-06,-5.596033585744391e-06
4,0.24085315697713305,4950295.317055952,228.7904082218618,2.607638716870272,0.8086746997672327,0.19264108298152957,0.01625082138700003,0.0025125591163552706,0.9181971662780399,1265.1085531102506,7.928896495660331,5.000167386448542,767.6843364042071,7.928896495660331,5.000167386448542,767.6843364042071,107.88515200413283,-4.7429078087148944e-06,-6.7692142518487605e-06,0.00017006561472148672,-0.00020899989406192364,0.0005639746486077416,-0.0006968425067009756,0.0010454193875592572,-0.0013616633513775652,0.0014825635751932991,-0.0020456966864361706,0.00177732754661353,-0.0025790712939354117,0.0018878453014185888,-0.002817278188854472,0.0018340165500003863,-0.0026721889517918092,0.0016854494238801624,-0.0021313026215474063,0.0015344103670445084,-0.0012627444302623185,0.0014607675813543145,-0.00020400266549744844,0.0015004843341412178,0.0008656034072698719,0.0016303737701077441,0.0017641799513862081,0.0017764436035867296,0.0023483049099429706,0.0018430311863912403,0.002544209751680912,0.0017512837943435495,0.002361080492249309,0.001472672966208551,0.0018847800834367857,0.0010457456828866063,0.0012555725406401947,0.0005705042217022491,0.0006364725319626356,0.00018107542511512902,0.00017892279034383224,4.430961465202444e-06,-7.059309778029082e-06
5,0.24085315697713305,4950295.317055952,228.7904082218618,2.607638716870272,0.8086746997672327,0.19264108298152957,0.01625082138700003,0.0025125591163552706,0.9181971662780399,1265.1085531102506,7.928896495660331,5.000167386448542,767.6843364042071,7.928896495660331,5.000167386448542,767.6843364042071,116.49677043791915,-5.195867570088176e-06,-7.2391899247929935e-06,0.0002649628063155782,-0.0003172033231799177,0.0008713789843786481,-0.00107084764701429,0.001612986501431688,-0.0021014419503299084,0.0022880034820082404,-0.0031647673301568517,0.0027459364310879436,-0.003997060293545174,0.002921259983905901,-0.004373916116660185,0.0028421147345836575,-0.0041582887194960266,0.0026132006438357655,-0.0033298479565612637,0.002375844808138046,-0.001992550484313615,0.0022547612058107093,-0.0003577630059527133,0.0023086674185866353,0.0012974809566595976,0.0025048272677277205,0.002690910439792856,0.0027301337224624055,0.0035991957867223135,0.002835646505743827,0.003907313929660862,0.002697160060328165,0.0036296451298626366,0.0022687727712530905,0.002899611431728864,0.0016098789010644537,0.001934008771547528,0.0008760710838771961,0.0009834255558129387,0.0002755498521288536,0.00027999071373136105,4.716047599928056e-06,-7.690059868618656e-06
6,0.24085315697713305,4950295.317055952,228.7904082218618,2.607638716870272,0.8086746997672327,0.19264108298152957,0.01625082138700003,0.0025125591163552706,0.9181971662780399,1265.1085531102506,7.928896495660331,5.000167386448542,767.6843364042071,7.928896495660331,5.000167386448542,767.6843364042071,121.09028314174066,-5.478979566083238e-06,-7.451004480920714e-06,0.0003601057950940986,-0.0004256143225826464,0.0011786348866787203,-0.0014477539371695154,0.0021798279178853915,-0.0028493651528119102,0.0030929440460473255,-0.004298974195035467,0.0037158739842023895,-0.005437854753097816,0.003959063573293442,-0.005961012851990409,0.0038572541009542125,-0.005682129918242749,0.0035482662158528204,-0.004572566566340395,0.0032215089294452327,-0.0027712045262468666,0.0030473440012042273,-0.0005622265763427414,0.0031095015705371884,0.0016801672956230998,0.003368128614185978,0.0035729164510754346,0.003672209655921837,0.004811664180302577,0.00381894666660046,0.005239057420744584,0.0036370400806503412,0.004874164434124692,0.003061578772242932,0.0038978205884738796,0.002172204713686461,0.0026029074417137327,0.0011805116573576637,0.0013265481456397573,0.00036940875871374157,0.00038051602105455536,4.831623326710013e-06,-8.062677067504584e-06
7,0.24085315697713305,4950295.317055952,228.7904082218618,2.607638716870272,0.8086746997672327,0.19264108298152957,0.01625082138700003,0.0025125591163552706,0.9181971662780399,1265.1085531102506,7.928896495660331,5.000167386448542,767.6843364042071,7.928896495660331,5.000167386448542,767.6843364042071,123.91998307221415,-5.688055995452687e-06,-7.549310793715967e-06,0.0004553349760400575,-0.0005344702538725792,0.0014854983876694075,-0.0018278423771428125,0.0027455223301026577,-0.003605717497092871,0.0038967242772674905,-0.005448583854393234,0.004686262352352441,-0.006901715298339756,0.0050002653906653215,-0.00757886763872509,0.004878468048751604,-0.007244134053271622,0.004489805182914234,-0.005860128673820937,0.004070697923054065,-0.00359976197696389,0.003837858335576326,-0.0008189024306980677,0.0039022446320622754,0.002011771192723918,0.0042193696681684205,0.004408133775501144,0.004601630320449316,0.0059837340830786725,0.004791896725294624,0.006537759677163362,0.004570071477807972,0.006093350753720923,0.0038505510040153785,0.00487850778629221,0.0027325182547598224,0.0032616847015282317,0.0014838657115889315,0.001665472789202583,0.0004627897645695052,0.0004802566277317679,4.8734938142117165e-06,-8.321595168513874e-06
8,0.24085315697713305,4950295.317055952,228.7904082218618,2.607638716870272,0.8086746997672327,0.19264108298152957,0.01625082138700003,0.0025125591163552706,0.9181971662780399,1265.1085531102506,7.928896495660331,5.000167386448542,767.6843364042071,7.928896495660331,5.000167386448542,767.6843364042071,125.8145385829294,-5.858303755237652e-06,-7.5873033852072445e-06,0.0005505722628797181,-0.0006438403852899402,0.0017918003021474293,-0.002211156702469142,0.0033097303915454062,-0.004370494451196615,0.004698788340710042,-0.006613546463781285,0.00565635506617953,-0.008388570156499893,0.0060440213782986685,-0.009227414695389815,0.005904935168457678,-0.008844277180678926,0.005437111429061733,-0.007192615111780431,0.004922839293419116,-0.004478494469363957,0.004625797432610089,-0.0011283133877212038,0.004686342713721541,0.0022915413539715433,0.005057867528721452,0.005195695008250889,0.005517590453337753,0.0071145658455142894,0.005753663948867603,0.007802712445781384,0.005495527517803873,0.0072866629121201825,0.0046351773697982206,0.005841287069256136,0.0032905569571521076,0.00391008073733081,0.0017860689138899186,0.0020000347345141734,0.0005557259322617337,0.0005791127279440126,4.8768914041087925e-06,-8.519893937516532e-06
9,0.24085315697713305,4950295.317055952,228.7904082218618,2.607638716870272,0.8086746997672327,0.19264108298152957,0.01625082138700003,0.0025125591163552706,0.9181971662780399,1265.1085531102506,7.928896495660331,5.000167386448542,767.6843364042071,7.928896495660331,5.000167386448542,767.6843364042071,127.1501417281133,-6.005690773936005e-06,-7.589150620918154e-06,0.0006457633263096188,-0.0007537377022003981,0.0020973887297821513,-0.0025976542084415423,0.003872127133340983,-0.00514357649893994,0.005498596719032283,-0.007793675942090035,0.006625425221266812,-0.009898197112721357,0.007089508077177696,-0.010906423886668008,0.006935852455672899,-0.010482347279232793,0.006389494678050953,-0.008569878842928461,0.005777378574457056,-0.005407393433683781,0.005410682473581437,-0.0014906509027401628,0.00546128444357784,0.002519090372898165,0.005882992857819737,0.005935097932425066,0.006419337723245778,0.008203652552819162,0.006703452910744387,0.009033481149614655,0.006412691508948106,0.008453761333548974,0.005414926008568863,0.006785904961291161,0.003846017382018684,0.004547916028805414,0.002087010674830293,0.0023301206410022415,0.0006482128651060272,0.0006770254248966299,4.857825599852642e-06,-8.681654617918608e-06
10,0.24085315697713305,4950295.317055952,228.7904082218618,2.607638716870272,0.8086746997672327,0.19264108298152957,0.01625082138700003,0.0025125591163552706,0.9181971662780399,1265.1085531102506,7.928896495660331,5.000167386448542,767.6843364042071,7.928896495660331,5.000167386448542,767.6843364042071,128.12226313706725,-6.138499894369571e-06,-7.5674279607017545e-06,0.0007408630862237333,-0.000864151859378471,0.0024021184723303697,-0.0029872538837224334,0.004432393424719038,-0.005924789521362491,0.006295616177278037,-0.008988717832379619,0.007592751934066673,-0.011430296173314966,0.008135906118930237,-0.012615580391924761,0.007970418103328688,-0.012158038375107738,0.00734626425982362,-0.009991663440280065,0.0066337634321665985,-0.0063863205759166946,0.006192044211814688,-0.0019059580170800454,0.0062265773607213595,0.002694188424472165,0.006694141085010796,0.006625993359381842,0.0073061430434713855,0.009250622997242297,0.0076404822725971286,0.010229740997194748,0.007320847062838702,0.00959438672388937,0.006189251877224112,0.0077121603185383355,0.00439857478787675,0.005175042032394146,0.0023865588071566774,0.002655636447414721,0.0007402302152089275,0.0007739515135193408,4.824628443287935e-06,-8.819375564944026e-06
