时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,15.167971116426688,181992240.95234686,37656.77600805281,3878.1815474842233,2.0325721093126274,0.47391018152928677,0.18137585972284162,0.01600757855364348,2.2973135279412826,497.65988916051293,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,15.167971116426688,181992240.95234686,37656.77600805281,3878.1815474842233,2.0325721093126274,0.47391018152928677,0.18137585972284162,0.01600757855364348,2.2973135279412826,497.65988916051293,10.0,10.0,0.0,10.0,10.0,0.0,7.956869767556537,-4.318340352373563e-06,-3.996005049717713e-06,-9.838453745793547e-05,7.458345172176759e-05,-0.00017128387920810453,0.0001584501364175017,-0.00022583784240685673,0.00022729620737369,-0.000258469105621394,0.0002722575509261779,-0.0002697710543357533,0.0002867455668756586,-0.00026393106679900417,0.00026732289793095004,-0.00024775129626024463,0.00021419915136578215,-0.00022923217084789231,0.00013144306131842123,-0.00021585872630915616,2.67693516720128e-05,-0.00021288990671284385,-8.91878315432705e-05,-0.0002220614814204937,-0.0002041293851543067,-0.00024110258512143628,-0.000305689265037826,-0.0002642339668415518,-0.00038302687206267995,-0.0002834672725573621,-0.0004280714408729156,-0.000290298147325379,-0.00043625717742727557,-0.0002773787568568367,-0.00040677284626562676,-0.00023989859865925723,-0.0003424544613433541,-0.00017651563109064543,-0.00024936603738199957,-8.961270882047059e-05,-0.00013631055898142202,4.3170670974789015e-06,-3.996843786576257e-06
3,15.167971116426688,181992240.95234686,37656.77600805281,3878.1815474842233,2.0325721093126274,0.47391018152928677,0.18137585972284162,0.01600757855364348,2.2973135279412826,497.65988916051293,10.0,10.0,0.0,10.0,10.0,0.0,17.021620451820077,-9.247471350054787e-06,-8.558468350241475e-06,-0.00046181419065470996,0.000433229905065,-0.0008319384190225388,0.0008695591087946121,-0.0011070516591243985,0.0012296432047432045,-0.0012710865170481392,0.0014705452333149476,-0.0013277086632704567,0.0015601027166930069,-0.0012981018653602254,0.0014811407602158824,-0.0012162454603764142,0.001234285526800784,-0.0011219199278234002,0.0008392333471232688,-0.001052226889324394,0.00033381731426832087,-0.001033139330041547,-0.0002296303426924343,-0.0010731748901757787,-0.0007906289186600512,-0.0011611894744141588,-0.0012886054458513066,-0.0012690763370054596,-0.0016708254856289304,-0.0013583759646105993,-0.001898464110477433,-0.0013886798629350323,-0.001950052473400841,-0.0013257395181716447,-0.0018225171798259274,-0.0011479461296799802,-0.0015304791581889337,-0.0008505462106467913,-0.001104181082081922,-0.0004469923140240086,-0.0005866957684597937,9.240910606768976e-06,-8.54342292216179e-06
4,15.167971116426688,181992240.95234686,37656.77600805281,3878.1815474842233,2.0325721093126274,0.47391018152928677,0.18137585972284162,0.01600757855364348,2.2973135279412826,497.65988916051293,10.0,10.0,0.0,10.0,10.0,0.0,20.019662523587822,-1.088610408911191e-05,-1.0079393613007517e-05,-0.0009267827147465777,0.000918441623750632,-0.0016883250962871556,0.001815420855665149,-0.0022517766839864617,0.0025561484827609066,-0.002585527966436751,0.0030534897187044657,-0.0026982810703370273,0.0032418279191663148,-0.0026346731460217643,0.0030858519126174596,-0.002465311056333942,0.0025867569263253176,-0.002272098673470082,0.0017850218951468908,-0.002130672132860405,0.0007584110321394299,-0.0020931636158645086,-0.00038579164142051964,-0.0021756235336218817,-0.001524134692842551,-0.0023540942211942514,-0.002533662329709665,-0.002570729753558591,-0.0033080189745655496,-0.002747687668811577,-0.0037694978118629143,-0.002804305593062004,-0.0038756481705877776,-0.0026732814383728996,-0.00362109474324655,-0.002313229782226014,-0.0030360123544313517,-0.0017165578371578954,-0.0021820696252390723,-0.0009119205625791373,-0.0011467028373782198,1.0872550836640026e-05,-1.0036132939282167e-05
5,15.167971116426688,181992240.95234686,37656.77600805281,3878.1815474842233,2.0325721093126274,0.47391018152928677,0.18137585972284162,0.01600757855364348,2.2973135279412826,497.65988916051293,10.0,10.0,0.0,10.0,10.0,0.0,21.240837926869958,-1.1561791138250829e-05,-1.0708149346732451e-05,-0.001390391531247028,0.0013981298917987062,-0.00254398324821453,0.0027477116136115872,-0.003394606730076381,0.003862153616171232,-0.0038952910595674633,0.0046100111767974055,-0.004060641014295485,0.004891734156356378,-0.003960054037621936,0.004653416726212569,-0.003702038251225897,0.00389674766689449,-0.003411363775635126,0.0026834119521610958,-0.003202091387708089,0.0011318578454146409,-0.0031515388716817807,-0.0005949551735555681,-0.0032817746654266434,-0.0023102580711696756,-0.003554511104476524,-0.003828885094797009,-0.0038811887712781857,-0.004991416961161094,-0.00414448748623407,-0.005681885387965408,-0.0042242895893215,-0.005837225165110751,-0.004021630297486739,-0.005449737592143937,-0.0034768227419426485,-0.004564849222924456,-0.002580458376749968,-0.0032753709818878632,-0.0013766189033098315,-0.0017131329255411069,1.1541232344833836e-05,-1.0635224698425003e-05
6,15.167971116426688,181992240.95234686,37656.77600805281,3878.1815474842233,2.0325721093126274,0.47391018152928677,0.18137585972284162,0.01600757855364348,2.2973135279412826,497.65988916051293,10.0,10.0,0.0,10.0,10.0,0.0,21.89863037097482,-1.1934120018030939e-05,-1.1053930471386957e-05,-0.0018519964355237421,0.0018669110172847797,-0.0033960985274348243,0.0036581844327645183,-0.00453129294180509,0.0051370645898394735,-0.005195379061266044,0.006127772433700686,-0.005409636136738963,0.00649638049624037,-0.005269382271714827,0.00616992890749649,-0.004922123592751361,0.005150474349840594,-0.004536060550005993,0.003521222848372535,-0.004263421065472178,0.0014418919897316539,-0.0042056501118675664,-0.0008683645506548717,-0.004389312887738291,-0.003159309851051851,-0.004760334138858862,-0.005183874495009637,-0.005198551427691838,-0.006730163555795934,-0.005547134795934506,-0.007644489360960354,-0.005647315643541694,-0.007843380795963145,-0.005369796160804735,-0.007316603605589828,-0.004637949543962446,-0.006124361264890906,-0.0034414351790650233,-0.004390200041251406,-0.0018398279227734098,-0.0022903382774708578,1.1906588417918859e-05,-1.0951083184060266e-05
7,15.167971116426688,181992240.95234686,37656.77600805281,3878.1815474842233,2.0325721093126274,0.47391018152928677,0.18137585972284162,0.01600757855364348,2.2973135279412826,497.65988916051293,10.0,10.0,0.0,10.0,10.0,0.0,22.305691140175337,-1.217310185785633e-05,-1.1273687010633978e-05,-0.0023110742784289164,0.0023234495026350313,-0.0042432850325303546,0.00454480414943365,-0.005659864993464556,0.006378266873566945,-0.006483511086616239,0.007603722206043363,-0.0067429122469254525,0.00805243253433309,-0.006560406184675589,0.007631931507590421,-0.006123519778801461,0.006344516227948782,-0.0056443728894707106,0.004295208708655289,-0.0053130403143211245,0.0016855347528596603,-0.0052539996630173134,-0.0012087078360358903,-0.005496790776808743,-0.0040737359796597684,-0.005970123387250502,-0.006600931229025541,-0.006521386880398699,-0.008526515832426682,-0.006954247550084679,-0.009659584346896804,-0.007072108359213906,-0.009896400119986357,-0.00671666360163648,-0.00922391100625737,-0.005795685688913608,-0.0077165719829068976,-0.004298750878490286,-0.005528233099839453,-0.0023009440969720724,-0.0028794974833274297,1.213865068713383e-05,-1.1141016721317557e-05
8,15.167971116426688,181992240.95234686,37656.77600805281,3878.1815474842233,2.0325721093126274,0.47391018152928677,0.18137585972284162,0.01600757855364348,2.2973135279412826,497.65988916051293,10.0,10.0,0.0,10.0,10.0,0.0,22.578693809535064,-1.2342195362204498e-05,-1.1425968358208859e-05,-0.0027670999587419923,0.002767268519247344,-0.005084412330874099,0.005406838484951397,-0.006778768696155125,0.007584802429260624,-0.007757898149409052,0.009036717854213101,-0.008058612206156498,0.00955861547953003,-0.007831324743551955,0.009038085055708887,-0.007304553385356277,0.007477550739657079,-0.006734771284279024,0.005004147995206607,-0.006349531806302267,0.0018617303228351313,-0.006295221542557669,-0.001616851999999551,-0.006602830783209417,-0.005054241544923022,-0.007182450267156701,-0.00808066271125442,-0.007848213596399537,-0.01038105583944474,-0.00836432656044816,-0.011727776831406068,-0.008497213392558907,-0.011996924442915514,-0.008060900377530726,-0.011172309663603405,-0.006948901780030179,-0.009342093322791886,-0.0051515508541392805,-0.006689993611903734,-0.0027594325086799138,-0.00348099837463675,1.2300893489178073e-05,-1.1263755061122644e-05
9,15.167971116426688,181992240.95234686,37656.77600805281,3878.1815474842233,2.0325721093126274,0.47391018152928677,0.18137585972284162,0.01600757855364348,2.2973135279412826,497.65988916051293,10.0,10.0,0.0,10.0,10.0,0.0,22.77105313204084,-1.247045965822088e-05,-1.153755996825895e-05,-0.0032195483214254067,0.0031981753098891054,-0.005918433081955577,0.006243986866359852,-0.007886584533833367,0.008756259540152253,-0.009016910171334653,0.010426241771622293,-0.00935503955623399,0.011014324325821279,-0.009080482946987477,0.01038773535255923,-0.008463672356716934,0.008548933451846522,-0.00780581870703562,0.005647475464161679,-0.007371542043157689,0.0019700512030148775,-0.007327987432782096,-0.0020930615876325245,-0.007706069453133086,-0.006100946523918527,-0.008395877694640674,-0.009623096944979995,-0.009177518198121605,-0.012293782101357446,-0.00977581675131417,-0.013849082831943573,-0.009921099120438653,-0.014145005907560019,-0.009401084938174771,-0.01316188277137326,-0.008096385009903619,-0.01100102599934932,-0.005998929390924361,-0.007875589828551254,-0.0032147730010070037,-0.0040949499375795995,1.2422389999911457e-05,-1.1346206488078756e-05
10,15.167971116426688,181992240.95234686,37656.77600805281,3878.1815474842233,2.0325721093126274,0.47391018152928677,0.18137585972284162,0.01600757855364348,2.2973135279412826,497.65988916051293,10.0,10.0,0.0,10.0,10.0,0.0,22.910656574226458,-1.2573071716500683e-05,-1.1622428787294821e-05,-0.003667895812376228,0.0036160960629343587,-0.0067443363256828835,0.007056129918094871,-0.008981951068920966,0.009892454215291318,-0.010258985752838566,0.011772034268744536,-0.010630568098774981,0.012419227844129237,-0.010306291018579597,0.011680506523698403,-0.009599380486686864,0.009558294945246279,-0.008856122265648204,0.006224892987648824,-0.008377749154226625,0.0020103275799770075,-0.008350988592716622,-0.0026373515821781976,-0.008805151699496524,-0.007213725727100622,-0.009608966425987641,-0.01122801614928069,-0.010507774738824954,-0.01426444233774712,-0.011187140282044403,-0.01602326111644894,-0.011342202400847181,-0.01634043664224392,-0.010735759458130066,-0.015192460760895213,-0.00923688891783289,-0.012693241258594244,-0.006839960287310825,-0.009084943844160243,-0.0036664514245468194,-0.004721338174195369,1.2518330580344614e-05,-1.1402437206326996e-05
