时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,4.5085942225408795,196926162.13556683,28381.489509298175,2030.5993251393784,1.2599773323686485,0.37136284908946837,0.14596801757581337,0.01149055561980714,1.5095846992704727,470.1073865445612,9.259936904952397,6.052509686024645,888.9973744480051,4.846075837564593,6.5131267361713885,967.6217053453563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4.5085942225408795,196926162.13556683,28381.489509298175,2030.5993251393784,1.2599773323686485,0.37136284908946837,0.14596801757581337,0.01149055561980714,1.5095846992704727,470.1073865445612,9.259936904952397,6.052509686024645,888.9973744480051,4.846075837564593,6.5131267361713885,967.6217053453563,25.816437196993142,-9.376801970001483e-06,-1.661259792594269e-05,2.1396778288155806e-05,-0.00010628080117161251,0.00010636370257927195,-0.00019863682480033963,0.0001957593446966227,-0.00030598714077146585,0.0002707288083061488,-0.00040820969221311564,0.0003181917309221435,-0.0004861274256113801,0.00033377293127985366,-0.0005242902570293341,0.00032210206989074174,-0.0005135473801237782,0.00029488454082905995,-0.0004527037466770622,0.0002670572585109741,-0.000349192187339056,0.00025168597116908886,-0.00021831164725005976,0.0002551451938458237,-8.053299966928803e-05,0.00027473434066273424,4.290107352280497e-05,0.00030001158781511796,0.0001346428713769623,0.00031704192615742007,0.0001845294680288147,0.0003135232375061993,0.0001908614216351305,0.00028304618859633507,0.00015996180832019208,0.00022747626933793848,0.00010445593362148266,0.00015714695868754956,4.068968681971487e-05,8.922313365854374e-05,-1.4789466626638342e-05,1.780528745961855e-05,-1.5592353380162503e-05
3,4.5085942225408795,196926162.13556683,28381.489509298175,2030.5993251393784,1.2599773323686485,0.37136284908946837,0.14596801757581337,0.01149055561980714,1.5095846992704727,470.1073865445612,9.259936904952397,6.052509686024645,888.9973744480051,4.846075837564593,6.5131267361713885,967.6217053453563,55.45530854415857,-2.0295963360698974e-05,-3.5555895417037596e-05,0.00015630225001816533,-0.00032756944109931896,0.0005066012625248526,-0.0006916727063077393,0.0008768586267819724,-0.0011177502055043898,0.0011868157128775275,-0.0015210987963374255,0.001381179848137712,-0.0018193766043777353,0.0014414672507617487,-0.0019462712375784709,0.001387714885054948,-0.0018630771393379954,0.001270615110900334,-0.0015662556401642546,0.0011548411723669098,-0.0010905566453013667,0.0010964018890999966,-0.0005056122827826981,0.001121127364066585,9.643517816685222e-05,0.001214289591228734,0.0006211558581585263,0.0013271604271399777,0.0009930787713885102,0.0013966014775099304,0.001170270209182751,0.001368260369646282,0.0011494065769505754,0.0012154856201117093,0.0009628631314886925,0.0009495715543433405,0.0006702089486800113,0.0006197851724962097,0.0003461830787478321,0.00030399417809509626,6.615180217934251e-05,3.80885259727065e-05,-3.366218636058926e-05
4,4.5085942225408795,196926162.13556683,28381.489509298175,2030.5993251393784,1.2599773323686485,0.37136284908946837,0.14596801757581337,0.01149055561980714,1.5095846992704727,470.1073865445612,9.259936904952397,6.052509686024645,888.9973744480051,4.846075837564593,6.5131267361713885,967.6217053453563,68.3247092441931,-2.5280239974231803e-05,-4.3523740055391354e-05,0.00041527459072176386,-0.0006057982500541185,0.0011839429072548902,-0.0013925617359541232,0.001997659657941795,-0.0023166140414471637,0.002678966742455426,-0.003189011382302558,0.003105854064232419,-0.0038249742395473083,0.003236692180489287,-0.004076372479500736,0.0031147440944097717,-0.003857644844757812,0.0028520476537201773,-0.0031624653982426495,0.0025930957184223617,-0.002070727996447601,0.0024639675299562036,-0.0007412509204603102,0.0025229406645397305,0.0006159480636218548,0.002735984685328044,0.001785902762650176,0.0029911752519371686,0.002597921998073256,0.0031435445878609755,0.002959523762580089,0.003068738480060953,0.0028678103794337753,0.0027069686586023724,0.0024015009030832536,0.0020866682936456047,0.0016997410823871156,0.0013236184909344519,0.0009334273050714798,0.0005966351448635938,0.00027334896033508476,4.6546054538056245e-05,-4.17819661896113e-05
5,4.5085942225408795,196926162.13556683,28381.489509298175,2030.5993251393784,1.2599773323686485,0.37136284908946837,0.14596801757581337,0.01149055561980714,1.5095846992704727,470.1073865445612,9.259936904952397,6.052509686024645,888.9973744480051,4.846075837564593,6.5131267361713885,967.6217053453563,73.15062776355273,-2.735303262037767e-05,-4.627899832619207e-05,0.0006845059705689987,-0.000869201997225565,0.0018694590102469749,-0.0020818886234078415,0.00312449876174217,-0.003509274249222555,0.00417665144863711,-0.004856240609547365,0.004838092767622065,-0.005834134532779604,0.005043038474717517,-0.0062128435467854555,0.004855488234657612,-0.005860498906860185,0.004446378470550115,-0.0047682545791232385,0.004039187913331312,-0.0030606739768032597,0.0038314843735837386,-0.0009850498849556645,0.003916936875422918,0.0011307125830287282,0.004245002289472161,0.0029499738737661847,0.004641627923069377,0.00420525014066334,0.0048789042897486,0.004752733590038977,0.004760067966553836,0.004590628322048435,0.004190097457826098,0.0038455538744632534,0.003214069261570131,0.0027372569390648107,0.0020154831203615105,0.0015321925999809607,0.0008757006225760487,0.0004947917877463118,4.941188729109298e-05,-4.504834350434501e-05
6,4.5085942225408795,196926162.13556683,28381.489509298175,2030.5993251393784,1.2599773323686485,0.37136284908946837,0.14596801757581337,0.01149055561980714,1.5095846992704727,470.1073865445612,9.259936904952397,6.052509686024645,888.9973744480051,4.846075837564593,6.5131267361713885,967.6217053453563,75.66005756329145,-2.858726967166133e-05,-4.752491988276868e-05,0.0009567064527301875,-0.0011307401875454391,0.002556566544601116,-0.0027755999406874478,0.004251464194472321,-0.0047151142419590494,0.005674701237780577,-0.006545910974507734,0.006573551859815727,-0.007873998792994651,0.006857020452707772,-0.008387096470114732,0.0066072094690432836,-0.007907535193042348,0.0060512674845306265,-0.0064240722753486496,0.005490579523426961,-0.004105109938273227,0.005195530792597749,-0.0012850932637834044,0.005298348298963853,0.0015909069799174209,0.005735310054925055,0.004064017257997756,0.006271974298027621,0.005768547092001612,0.006596886164449011,0.006508249844061712,0.006438593019430264,0.00628240128076131,0.005664428153572112,0.005266221776393853,0.004334941834321699,0.003760277787192076,0.0027017522140436907,0.00212538552505646,0.0011498520182895038,0.0007174459532518793,5.067039570105364e-05,-4.690852354430354e-05
7,4.5085942225408795,196926162.13556683,28381.489509298175,2030.5993251393784,1.2599773323686485,0.37136284908946837,0.14596801757581337,0.01149055561980714,1.5095846992704727,470.1073865445612,9.259936904952397,6.052509686024645,888.9973744480051,4.846075837564593,6.5131267361713885,967.6217053453563,77.18543267019896,-2.946547574761038e-05,-4.812338299137713e-05,0.00123012356862697,-0.0013934250492997579,0.0032435443610836,-0.0034774144125940985,0.005376797752762195,-0.005938699508925516,0.0071713356670872076,-0.00826354227267707,0.00831050804230277,-0.009951109265283547,0.008677073732962467,-0.010606712561741205,0.00836856685348204,-0.010007362439368719,0.007665571731404908,-0.00813953437364978,0.006946188854630304,-0.005214593617833889,0.00655487517829355,-0.001652678590338584,0.006665610443385388,0.0019849034672208363,0.007204979183192119,0.005116656278177294,0.007880104842494235,0.007277293799376258,0.008295557727878445,0.008216872284714566,0.008102970690098662,0.007935467812130233,0.007129531919241642,0.006657367364948117,0.005449886725690427,0.004764009710107509,0.003383910742219051,0.0027092905165770603,0.0014211438962519803,0.0009383775442667788,5.124967069270874e-05,-4.816489487553698e-05
8,4.5085942225408795,196926162.13556683,28381.489509298175,2030.5993251393784,1.2599773323686485,0.37136284908946837,0.14596801757581337,0.01149055561980714,1.5095846992704727,470.1073865445612,9.259936904952397,6.052509686024645,888.9973744480051,4.846075837564593,6.5131267361713885,967.6217053453563,78.19919461051765,-3.0158584349887348e-05,-4.83801533565156e-05,0.0015040515634880296,-0.0016582848705497095,0.003929519276361867,-0.00418854882890113,0.006499369197226972,-0.007181490356535915,0.008665173963846345,-0.010010903475713597,0.01004742840057111,-0.012067590390980164,0.010501657401379963,-0.012874179713347608,0.010138139218245495,-0.012162824777112625,0.009288047518064073,-0.009917855312249002,0.00840490769893317,-0.006392736506447701,0.007908415560910318,-0.0020917871607050516,0.008017477161506407,0.002308500001707648,0.008652541409751802,0.006103733204429508,0.00946438604693133,0.00872766581656994,0.009973304068855458,0.009875311852340198,0.009751850721863582,0.009547138938359087,0.008584544883658172,0.008016856157832243,0.0065586394272127285,0.005746777372016251,0.004062244921785909,0.003282592726225402,0.0016902334373498553,0.00115654071851197,5.147929509437267e-05,-4.91019656044737e-05
9,4.5085942225408795,196926162.13556683,28381.489509298175,2030.5993251393784,1.2599773323686485,0.37136284908946837,0.14596801757581337,0.01149055561980714,1.5095846992704727,470.1073865445612,9.259936904952397,6.052509686024645,888.9973744480051,4.846075837564593,6.5131267361713885,967.6217053453563,78.91123903051627,-3.0742359383813546e-05,-4.8431221448247846e-05,0.0017781036684385966,-0.0019257383069365803,0.004613874771136917,-0.00490944199883486,0.007618233970194297,-0.008443969699544016,0.010154944772315364,-0.01178857341667958,0.01178281748932784,-0.014224161273712864,0.012329209915422582,-0.01519036808057384,0.01191444924904811,-0.014374942236230242,0.010917389242919283,-0.011760233094157488,0.009865592753706236,-0.007640973536773105,0.009255068069210153,-0.0026041225355134252,0.009352781294505466,0.0025597882209931026,0.010076649032541038,0.007023300422738238,0.011023302588337364,0.01011787005635938,0.011628570388638414,0.011482058481744816,0.011383835423117024,0.01111621166323448,0.01002842191538499,0.009343743002448123,0.0076606275270553565,0.006707828836965213,0.004736644038995306,0.0038446895881320995,0.001957337422172051,0.0013714564724147584,5.150607350967795e-05,-4.984611211783308e-05
10,4.5085942225408795,196926162.13556683,28381.489509298175,2030.5993251393784,1.2599773323686485,0.37136284908946837,0.14596801757581337,0.01149055561980714,1.5095846992704727,470.1073865445612,9.259936904952397,6.052509686024645,888.9973744480051,4.846075837564593,6.5131267361713885,967.6217053453563,79.42898800993383,-3.125541202151763e-05,-4.8346320175624255e-05,0.0020520185191890586,-0.0021959650392353357,0.005296096931325657,-0.005640224496109092,0.008732523376040961,-0.0097262289992985,0.011639422241917413,-0.013596651944982397,0.013515195284499504,-0.01642097658963113,0.014158160334489338,-0.017555502251092727,0.013695995037957789,-0.01664401181440727,0.012552264458764346,-0.013667070490480143,0.011327085616702592,-0.008959884409954514,0.010593756205538402,-0.00319049665002543,0.010670387629218387,0.002737753262435013,0.01147600133413001,0.007874266595646879,0.012555382234762777,0.011446897046679559,0.013259818799506192,0.01303628711285931,0.012997499018587912,0.012642055473140085,0.011460035848694707,0.010637541508518828,0.008755147392726537,0.007646768226001086,0.005406834130754759,0.004395252874588816,0.00222249687596009,0.0015828649191189867,5.140545915856878e-05,-5.046199038504134e-05
