时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.1242263360962939,43685990.688267745,0.0,117.72748639412889,1.636332857683637,0.21155446696198213,0.049616333901182634,0.005466313913440823,1.7065908106754888,1039.5887270055584,10.0,10.0,1000.0,10.0,10.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.1242263360962939,43685990.688267745,0.0,117.72748639412889,1.636332857683637,0.21155446696198213,0.049616333901182634,0.005466313913440823,1.7065908106754888,1039.5887270055584,10.0,10.0,1000.0,10.0,10.0,1000.0,6.80810657416929,-1.068328877192781e-06,-5.30928044725922e-07,3.2380233203872195e-06,-1.2974738719195928e-05,1.3814655243593333e-05,-3.856301695085217e-05,2.6045393507540408e-05,-7.161075978476287e-05,3.6646858390636255e-05,-0.00010461232280634717,4.344811590619797e-05,-0.00013006530457278963,4.5747654125214695e-05,-0.00014192127020227542,4.425222140583519e-05,-0.00013674285318688868,4.065971813956747e-05,-0.0001143332847570584,3.7015264997641334e-05,-7.77406288153458e-05,3.5014399586974756e-05,-3.264213850205938e-05,3.544366992174786e-05,1.3771524978981013e-05,3.792154308390615e-05,5.42013792261052e-05,4.102780754734554e-05,8.266243640484208e-05,4.2797936326503965e-05,9.563953380169987e-05,4.1440540950776384e-05,9.274001552253102e-05,3.605274268966573e-05,7.671025730390057e-05,2.7092516600141406e-05,5.281228596527989e-05,1.643780324647864e-05,2.769962963151088e-05,6.989693116686825e-06,8.002996534694102e-06,1.0523816442421017e-06,-5.600607530624789e-07
3,1.1242263360962939,43685990.688267745,0.0,117.72748639412889,1.636332857683637,0.21155446696198213,0.049616333901182634,0.005466313913440823,1.7065908106754888,1039.5887270055584,10.0,10.0,1000.0,10.0,10.0,1000.0,14.943366459507631,-2.350252584224306e-06,-1.1569637800540225e-06,1.0042039828472614e-05,-3.454252898554253e-05,3.908747011399445e-05,-0.00010407275085899747,7.269789667885497e-05,-0.00019412089055188857,0.00010186882743588024,-0.00028406413263687153,0.00012061626883218469,-0.00035314946332562665,0.00012698594029486595,-0.000384586171180298,0.00012290692471422394,-0.0003688103131121431,0.00011305893168013482,-0.00030527522974695235,0.00010310225053359162,-0.00020248870064641024,9.774484427986991e-05,-7.631173283385616e-05,9.9173111066722e-05,5.315078256577111e-05,0.00010630842622917572,0.00016548099985797747,0.00011515107224933879,0.00024393888193993468,0.00012015996300689414,0.00027871297628336873,0.00011627578077175887,0.00026876116551712687,0.00010094960506355312,0.000221863956506228,7.548935269592324e-05,0.00015288420357843102,4.5236059253049894e-05,8.06248508602945e-05,1.8448067209050025e-05,2.389122086888877e-05,2.305849974080807e-06,-1.2383057466860196e-06
4,1.1242263360962939,43685990.688267745,0.0,117.72748639412889,1.636332857683637,0.21155446696198213,0.049616333901182634,0.005466313913440823,1.7065908106754888,1039.5887270055584,10.0,10.0,1000.0,10.0,10.0,1000.0,24.47828788342351,-3.868242909429357e-06,-1.8644270455527308e-06,2.7126017352142368e-05,-7.867568210012417e-05,9.579634134607025e-05,-0.00024109727969822144,0.00017523446031479466,-0.0004520355491339478,0.0002442550246695461,-0.0006627200201689627,0.0002887223653125386,-0.0008237283247591167,0.0003039563260798906,-0.0008949282050130267,0.0002944358070249767,-0.0008534096130485817,0.00027119374483136177,-0.0006978734420484422,0.00024768375984945203,-0.00044879006317942726,0.00023519221921827237,-0.0001443630450737538,0.00023902863430296393,0.00016692743557172038,0.0002566353873755832,0.0004358076121421733,0.0002783215450679599,0.000621884957201711,0.00029056882836842404,0.0007015593850151303,0.0002809853778705239,0.0006725146794332201,0.00024332450279777773,0.0005538521166686314,0.00018083291104773432,0.00038186692543398153,0.00010668943041540638,0.0002024341041289857,4.1233906820933424e-05,6.152918738544482e-05,3.7617598290199345e-06,-2.0601373045677554e-06
5,1.1242263360962939,43685990.688267745,0.0,117.72748639412889,1.636332857683637,0.21155446696198213,0.049616333901182634,0.005466313913440823,1.7065908106754888,1039.5887270055584,10.0,10.0,1000.0,10.0,10.0,1000.0,31.697426013600474,-5.04923108977475e-06,-2.3443832046060207e-06,5.921142970550189e-05,-0.0001518803000207451,0.0001954929088383732,-0.00047192525663400495,0.00035295064415219045,-0.0008884883178744524,0.0004898880742526269,-0.00130470788753668,0.0005784572323387923,-0.0016219525720262604,0.0006092719627824542,-0.0017599313306306942,0.0005908637438765059,-0.0016727100487951515,0.0005447679830037121,-0.001357608209318462,0.0004976153346452961,-0.0008556122306553174,0.00047213437845136517,-0.00024339159190715721,0.00047940036478143715,0.00038158240167115217,0.000514695096973763,0.0009200912287857549,0.0005586359829963388,0.0012907397220018964,0.0005837169768516112,0.001446046696956537,0.0005644826887010154,0.0013816026321082362,0.0004880061523562271,0.0011363202260270095,0.000360914763685807,0.0007838183153118387,0.00021026949517789504,0.0004169823699098569,7.76948457739413e-05,0.00012891896736954257,4.836066203053598e-06,-2.737159806686469e-06
6,1.1242263360962939,43685990.688267745,0.0,117.72748639412889,1.636332857683637,0.21155446696198213,0.049616333901182634,0.005466313913440823,1.7065908106754888,1039.5887270055584,10.0,10.0,1000.0,10.0,10.0,1000.0,35.13798329098294,-5.642303473283795e-06,-2.519836250320589e-06,9.27084759666788e-05,-0.0002248096382337332,0.0002968481112347655,-0.0007036570179891775,0.0005324870093406929,-0.0013279627196331053,0.0007376373515291047,-0.0019524617312971812,0.0008709221097477006,-0.00242882836484221,0.0009181396063363843,-0.0026361233854454175,0.0008914513151099489,-0.0025049767658801127,0.0008224115910222889,-0.0020310188048624942,0.000750632842980287,-0.001275575219156486,0.0007105695518684977,-0.0003537968451463543,0.0007197044883076529,0.0005875855491074013,0.0007717884852877881,0.0013989032638058742,0.0008379864285606382,0.001957152610956259,0.0008765235981088532,0.002190472890262032,0.0008482888183651263,0.00209212655723746,0.0007331713781357879,0.0017208746714039835,0.000541077551296648,0.0011878519626527947,0.00031326527383301303,0.0006331792754211101,0.00011309917762213691,0.00019733731817559076,5.321926811088039e-06,-3.110904348918481e-06
7,1.1242263360962939,43685990.688267745,0.0,117.72748639412889,1.636332857683637,0.21155446696198213,0.049616333901182634,0.005466313913440823,1.7065908106754888,1039.5887270055584,10.0,10.0,1000.0,10.0,10.0,1000.0,37.13182425318736,-6.01065331759056e-06,-2.5785656681675894e-06,0.00012669976200356835,-0.0002977419700480033,0.00039862472594088877,-0.0009363789367962743,0.0007122992029668869,-0.001770392651353914,0.0009857371641654525,-0.002606011594415885,0.0011642616548786708,-0.0032449309964375913,0.001228749408955766,-0.0035252073543005245,0.001194523475644993,-0.0033536457592114894,0.0011025894999539124,-0.002723766769164242,0.0010052539690751589,-0.0017168106750584094,0.0009489205337977288,-0.00048607279043672637,0.0009581270433042212,0.0007725801437469216,0.0010258050386107987,0.001858866667839208,0.0011140408566956165,0.002607776684443555,0.0011666476170090667,0.0029225905111841402,0.0011303496839947743,0.002793829787090803,0.0009773390660431972,0.002299801120718815,0.0007205870264716936,0.0015889119973405519,0.0004156770447111767,0.0008483002638378044,0.00014796696339491655,0.0002657015592405673,5.583139899553197e-06,-3.367910007648128e-06
8,1.1242263360962939,43685990.688267745,0.0,117.72748639412889,1.636332857683637,0.21155446696198213,0.049616333901182634,0.005466313913440823,1.7065908106754888,1039.5887270055584,10.0,10.0,1000.0,10.0,10.0,1000.0,38.42324349262806,-6.270287693835732e-06,-2.580507707885907e-06,0.00016089700048969006,-0.0003707770638119491,0.0005004462099722912,-0.0011701745106988508,0.000891930127730768,-0.002215901626649015,0.0012336742372748603,-0.0032656348939237366,0.0014579444830550162,-0.004070843746644681,0.0015405955258272674,-0.004428231534495998,0.0014996338148138535,-0.004220363865235354,0.0013849218657070094,-0.003438175287447748,0.001261137273568042,-0.002182314202313463,0.0011868292928683454,-0.0006437829387326223,0.0011942375015954766,0.0009326413186225529,0.0012762173554238308,0.002295977616387489,0.0013862033017115177,0.0032388353896350653,0.001453501987892809,0.0036391191688373817,0.0014101857928729032,0.0034841097656543095,0.0012202175783638954,0.002871242543959633,0.0008993683118650965,0.001985838204265689,0.0005176123303030555,0.0010617374062172748,0.0001825060702132042,0.000333755441078434,5.7358330080117395e-06,-3.5678565786457135e-06
9,1.1242263360962939,43685990.688267745,0.0,117.72748639412889,1.636332857683637,0.21155446696198213,0.049616333901182634,0.005466313913440823,1.7065908106754888,1039.5887270055584,10.0,10.0,1000.0,10.0,10.0,1000.0,39.319288062455364,-6.469069461562777e-06,-2.5504146222782813e-06,0.00019517305627362826,-0.00044394045580111336,0.0006021314377666193,-0.0014050348258502943,0.0010711399468486989,-0.002664471635047318,0.001481156574430996,-0.003931365029995867,0.001751647617106599,-0.004906732542231272,0.0018533573458232994,-0.005345576092181342,0.0018064979656751314,-0.005105790350197591,0.0016691785465192419,-0.004175218639866743,0.0015180971611123708,-0.002673372325605902,0.0014241193975756043,-0.0008284754973812627,0.0014278254073856744,0.0010660598498690368,0.0015227555341343405,0.002708503176108012,0.001654154836274009,0.0038487166227098146,0.0017367638649014574,0.004338686076441225,0.0016875301166935648,0.004161902853140088,0.0014616425241119064,0.0034344592455472518,0.0010773728824207557,0.0023781804559075115,0.0006191143154635238,0.0012732600800064542,0.0002168046153824332,0.00040140117839833735,5.827927514162805e-06,-3.7353782922994845e-06
10,1.1242263360962939,43685990.688267745,0.0,117.72748639412889,1.636332857683637,0.21155446696198213,0.049616333901182634,0.005466313913440823,1.7065908106754888,1039.5887270055584,10.0,10.0,1000.0,10.0,10.0,1000.0,39.97023875067959,-6.630416220460635e-06,-2.5004249217546626e-06,0.00022945826526861985,-0.0005172290096479888,0.0007035676384182934,-0.0016409063906797036,0.001249761845174087,-0.003116003135286526,0.0017279611962714558,-0.004603088992372083,0.0020451050581066867,-0.005752521974002876,0.002166755166744308,-0.0062772582462304,0.0021148587197111547,-0.006010082299282328,0.001955151340694493,-0.004935226780237668,0.0017759765248460567,-0.0031905011557204046,0.001660659595265657,-0.0010408382514409651,0.0016587460259683837,0.0011720244359804946,0.0017652312389899454,0.003095584939832776,0.0019176619215744448,0.004436600524372537,0.0020161842898383494,0.005020581640663867,0.0019621644169317124,0.004826652592584145,0.0017014655962282917,0.0039890594590090075,0.0012545362809645308,0.0027656970484785594,0.0007201869467784548,0.0014827432516882923,0.00025090185885970047,0.00046858680888815085,5.88288704134492e-06,-3.882526946114243e-06
