时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,4.166220490099638,47506834.30047724,4622.501785190083,151.46813385843365,2.215967653782776,0.27072072537949166,0.09624286216620526,0.00618651850483501,2.3012462268068896,1288.7850742066787,2.42595431560782,8.579341675782405,525.9780776411721,2.42595431560782,8.579341675782405,525.9780776411721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4.166220490099638,47506834.30047724,4622.501785190083,151.46813385843365,2.215967653782776,0.27072072537949166,0.09624286216620526,0.00618651850483501,2.3012462268068896,1288.7850742066787,2.42595431560782,8.579341675782405,525.9780776411721,2.42595431560782,8.579341675782405,525.9780776411721,4.605002398936566,-2.770574857057436e-06,-3.6984782191036293e-07,1.9048292043584906e-06,-1.3317761130561878e-05,1.2040306301598815e-05,-3.872853218659058e-05,2.346369079788892e-05,-7.087889354115644e-05,3.3237538397059215e-05,-0.00010256869599725818,3.9468521014194376e-05,-0.00012669079812226112,4.1591197386329546e-05,-0.00013758008965449465,4.0292009992669615e-05,-0.0001320766923534524,3.7126352263787255e-05,-0.00011009292676277384,3.394305024557812e-05,-7.459697488992992e-05,3.226755712547168e-05,-3.102246049534667e-05,3.280810221865695e-05,1.3782839172326562e-05,3.522584409935105e-05,5.287343549623197e-05,3.824663118343122e-05,8.053736220593832e-05,4.0096065251531246e-05,9.338184997816528e-05,3.913637945830786e-05,9.095553283569732e-05,3.4509042802033495e-05,7.578229562806956e-05,2.6570297693216894e-05,5.2799146910278756e-05,1.696489398594748e-05,2.8320359794403987e-05,8.289657425219278e-06,8.724854796123325e-06,2.760515453679205e-06,-3.84847332095779e-07
3,4.166220490099638,47506834.30047724,4622.501785190083,151.46813385843365,2.215967653782776,0.27072072537949166,0.09624286216620526,0.00618651850483501,2.3012462268068896,1288.7850742066787,2.42595431560782,8.579341675782405,525.9780776411721,2.42595431560782,8.579341675782405,525.9780776411721,10.04391579114242,-6.047756620688789e-06,-8.027857060326123e-07,6.925142481043388e-06,-3.5087831016028226e-05,3.4213718871596594e-05,-0.00010308693756535979,6.500614164675576e-05,-0.00018933902013477537,9.137525943221096e-05,-0.00027436687537751815,0.00010818504254961736,-0.00033882844140570886,0.00011388331400161496,-0.0003672550326098027,0.00011031385363060475,-0.00035099929150732544,0.00010169235086173497,-0.00028981976914393384,9.305054407073535e-05,-0.00019185808387893488,8.855400745615507e-05,-7.203381324958003e-05,9.014020630803858e-05,5.0835407516584975e-05,9.686997672451749e-05,0.00015765316995231706,0.00010521855404690156,0.00023271422826218354,0.00011026816054509214,0.000266704451206943,0.00010747230565890451,0.0002584252089053361,9.444617714664441e-05,0.00021489427375722244,7.218636966294186e-05,0.00014980533697222175,4.5284397951684486e-05,8.068399701507696e-05,2.100153400412715e-05,2.5294255797092443e-05,6.0202119061810145e-06,-8.439963963750701e-07
4,4.166220490099638,47506834.30047724,4622.501785190083,151.46813385843365,2.215967653782776,0.27072072537949166,0.09624286216620526,0.00618651850483501,2.3012462268068896,1288.7850742066787,2.42595431560782,8.579341675782405,525.9780776411721,2.42595431560782,8.579341675782405,525.9780776411721,16.361418555517727,-9.86581830893756e-06,-1.2939109880881211e-06,2.0819803038823316e-05,-7.798301991973569e-05,8.302224896364536e-05,-0.00023197906700427514,0.00015324642436071178,-0.00042781555178133266,0.00021342464552502835,-0.0006208571174361382,0.00025179883459245755,-0.0007664991687212555,0.0002647605713107221,-0.000828946553021808,0.0002564613630425067,-0.0007881426810801272,0.00023652646613222725,-0.0006435266781812735,0.00021653376776030285,-0.00041403901102140254,0.00020614765491575298,-0.00013443286416316835,0.00020992080258202603,0.00015140834235491345,0.00022570210045970993,0.00039891406503714266,0.00024523676048433433,0.0005714259024223263,0.00025692800518287346,0.0006472524644785167,0.0002500097405368579,0.0006237370365187879,0.00021882417230672328,0.0005175046685829112,0.00016575186033822154,0.00036085646761128737,0.0001017284130130338,0.00019511423068898327,4.403929002517976e-05,6.225103559702496e-05,9.801880439623722e-06,-1.3899493230206626e-06
5,4.166220490099638,47506834.30047724,4622.501785190083,151.46813385843365,2.215967653782776,0.27072072537949166,0.09624286216620526,0.00618651850483501,2.3012462268068896,1288.7850742066787,2.42595431560782,8.579341675782405,525.9780776411721,2.42595431560782,8.579341675782405,525.9780776411721,21.642017657560707,-1.3081039329081762e-05,-1.6763377526913285e-06,5.1261442403888794e-05,-0.00015511095485227415,0.0001774774005525996,-0.00046656389510921697,0.00031990200059480784,-0.0008635394856410235,0.0004420460928980867,-0.0012550023641475392,0.0005201201513183246,-0.001549538311825063,0.0005466632870861462,-0.001673587114616989,0.0005297989639839142,-0.0015858228536811548,0.0004888101358543809,-0.0012849915019575234,0.00044722683377212426,-0.0008100199830229284,0.00042504169897554956,-0.00023252348798209266,0.00043202048056513074,0.0003568928227049531,0.00046410904045996197,0.0008660568459012353,0.0005043597638689063,0.001219089614118783,0.0005285328618083941,0.001371137206915185,0.0005138966527355624,0.0013168921624900447,0.000448405987690617,0.0010911069991691718,0.00033702718584315575,0.000761059945484764,0.0002028250189025041,0.0004127091069873433,8.217819954924635e-05,0.00013341263463916616,1.294956398062625e-05,-1.8744909941310417e-06
6,4.166220490099638,47506834.30047724,4622.501785190083,151.46813385843365,2.215967653782776,0.27072072537949166,0.09624286216620526,0.00618651850483501,2.3012462268068896,1288.7850742066787,2.42595431560782,8.579341675782405,525.9780776411721,2.42595431560782,8.579341675782405,525.9780776411721,24.14105373161242,-1.4625941590313646e-05,-1.8295759283198953e-06,8.404496714555633e-05,-0.000232135494313444,0.0002744381714354826,-0.0007023435488912131,0.0004891642152363372,-0.001302703211952573,0.0006735112049199238,-0.0018954351391188618,0.0007918087586456727,-0.0023418035629951704,0.0008326239315614097,-0.0025299657350117593,0.0008076549102227122,-0.002396892809799635,0.0007454032878593262,-0.001940328041648205,0.0006811871156650951,-0.0012190338397868035,0.0006456051740883008,-0.00034154941115200943,0.0006542384119682805,0.0005544800669711506,0.0007017132085400075,0.0013287370269662506,0.0007626062745909482,0.0018654906212797024,0.0007997656105755345,0.0020962052576619823,0.0007779289684950488,0.0020126686506591117,0.0006781744379368852,0.001667791756726174,0.0005079402728791391,0.0011640484918716103,0.0003027133080026782,0.0006323222017692876,0.00011842480899970233,0.00020567930257953248,1.4426521218330901e-05,-2.1306521800090492e-06
7,4.166220490099638,47506834.30047724,4622.501785190083,151.46813385843365,2.215967653782776,0.27072072537949166,0.09624286216620526,0.00618651850483501,2.3012462268068896,1288.7850742066787,2.42595431560782,8.579341675782405,525.9780776411721,2.42595431560782,8.579341675782405,525.9780776411721,25.582712513058716,-1.5536981552286432e-05,-1.895616771182943e-06,0.00011766007972044553,-0.00030922438483275,0.00037210976838396965,-0.0009391898508370986,0.0006589606409187695,-0.0017448931739360927,0.0009055575110653276,-0.002541712472221137,0.0010645522195232265,-0.0031433147382715115,0.0011204261081030353,-0.0033992197268563843,0.0010880079529084405,-0.0032243014553727553,0.0010044914662149511,-0.002614878604157606,0.000916721768841528,-0.0016491347923261904,0.0008661164829716906,-0.00047221496808097095,0.0008746751863747489,0.0007313055850549974,0.000936367387548394,0.0017728032947558483,0.0010176466424061897,0.0024963118150762875,0.0010683228044398392,0.002809145820948032,0.0010401326218157341,0.0026997731613377747,0.0009067910463140886,0.002238950920482314,0.0006779927201586922,0.0015641060958542536,0.00040175525407017284,0.0008508472299837994,0.00015380634145504803,0.0002778512251668563,1.5269682945140448e-05,-2.2996255197198364e-06
8,4.166220490099638,47506834.30047724,4622.501785190083,151.46813385843365,2.215967653782776,0.27072072537949166,0.09624286216620526,0.00618651850483501,2.3012462268068896,1288.7850742066787,2.42595431560782,8.579341675782405,525.9780776411721,2.42595431560782,8.579341675782405,525.9780776411721,26.51348074215082,-1.6142921947212433e-05,-1.9194839984607785e-06,0.00015163667932469377,-0.00038645198699822155,0.000469952728167945,-0.0011771491610379767,0.000828688689961384,-0.0021901805274566997,0.001137542890417062,-0.0031940454907855263,0.0013377071670254584,-0.00395458104524601,0.0014094694003312488,-0.004282326338968169,0.0013703349046132022,-0.004069641475595331,0.0012656360513174853,-0.0033109432709725562,0.0011534488714598327,-0.002103338021161033,0.0010861958241929171,-0.0006281533648763967,0.001092897166295693,0.0008833223046094498,0.0011675583611699702,0.0021940809241501233,0.0012689136727316685,0.0031075684941563064,0.0013336581835115653,0.003506452362154837,0.0013000807849545572,0.003375383529447515,0.0011340326704477996,0.002802539340630753,0.0008472019109029614,0.001959935744886351,0.0005001839879835222,0.001067600591024356,0.00018869584179253873,0.00034965426910816595,1.580791091680867e-05,-2.4262663875137946e-06
9,4.166220490099638,47506834.30047724,4622.501785190083,151.46813385843365,2.215967653782776,0.27072072537949166,0.09624286216620526,0.00618651850483501,2.3012462268068896,1288.7850742066787,2.42595431560782,8.579341675782405,525.9780776411721,2.42595431560782,8.579341675782405,525.9780776411721,27.158113941123663,-1.6579020601907887e-05,-1.9197152506049527e-06,0.00018577309542687018,-0.00046383171483337104,0.0005677201084324875,-0.0014161933904003512,0.0009980514479314402,-0.002638518268844062,0.0013691265290141112,-0.0038524274548568742,0.0016109091544424972,-0.004775717728929416,0.001699398005216308,-0.005179607642345467,0.0016543219446110038,-0.004933512022726134,0.0015285837816603467,-0.004029440596799445,0.0013911678324074422,-0.0025828848373189244,0.0013056621277822563,-0.0008108834891190679,0.0013087008608542328,0.0010088299082221563,0.001395033755009048,0.002590822776608557,0.0015161132263710783,0.003697612184516035,0.0015954771467591173,0.004186699276520159,0.0015575361991238732,0.004038376400481325,0.0013597675513600982,0.00335776146104947,0.001015559069874103,0.002351044500768348,0.0005980948733814204,0.0012823274879751924,0.00022324946060681123,0.00042098575664139697,1.6176512416364144e-05,-2.5290355906885107e-06
10,4.166220490099638,47506834.30047724,4622.501785190083,151.46813385843365,2.215967653782776,0.27072072537949166,0.09624286216620526,0.00618651850483501,2.3012462268068896,1288.7850742066787,2.42595431560782,8.579341675782405,525.9780776411721,2.42595431560782,8.579341675782405,525.9780776411721,27.62562738231464,-1.6910888627959576e-05,-1.905317597351741e-06,0.00021996330136958428,-0.0005413525117724955,0.00066526641196171,-0.0016562564153151313,0.001166853380966867,-0.0030897896490902754,0.0016000613636335003,-0.004516724573988824,0.001883873264346535,-0.005606626878687234,0.001989918365840965,-0.006091059700998908,0.0019397021796178143,-0.005816054394840651,0.0017931196755598124,-0.004770693885529282,0.0016297168427240594,-0.003088296152064336,0.0015243817211270125,-0.001021110161804441,0.0015219423844758883,0.0011069878903299944,0.0016186100729974134,0.002962129824758396,0.0017590201857690007,0.004265573297643301,0.0018535414274750913,0.004849122782085046,0.0018122925409398806,0.00468814306152848,0.0015838608266997539,0.0039041815394987743,0.0011830166765387528,0.0027371594638471333,0.0006955151943422577,0.001494886120039098,0.0002575383080177986,0.0004917899271134969,1.6441137887281363e-05,-2.616884383097415e-06
