时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.21955951888948494,11940723.520703334,-236.29706321027766,3.17745574716002,0.8079013223273186,0.10337301562267755,0.03392073388990221,0.0018424366542777635,0.8419022591781817,1632.0642089921096,6.425693807672573,6.752537335318685,422.36881862030293,7.575441479176126,8.774968014706012,844.8607676757598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.21955951888948494,11940723.520703334,-236.29706321027766,3.17745574716002,0.8079013223273186,0.10337301562267755,0.03392073388990221,0.0018424366542777635,0.8419022591781817,1632.0642089921096,6.425693807672573,6.752537335318685,422.36881862030293,7.575441479176126,8.774968014706012,844.8607676757598,13.74034987122591,-6.787441113062885e-07,-3.197993690540275e-07,4.227284203261488e-06,-1.2301874861708378e-05,1.4464803034085902e-05,-3.6485553931975166e-05,2.602713434164409e-05,-6.714938369468688e-05,3.5880985797130594e-05,-9.716443217813644e-05,4.206765942171657e-05,-0.00011947627163356801,4.401535450019976e-05,-0.0001284813080722689,4.24656849780308e-05,-0.00012111185572898797,3.906765646399062e-05,-9.741176954858113e-05,3.576281817771776e-05,-6.051390065342424e-05,3.412680276177326e-05,-1.6028495154143744e-05,3.4846802792667505e-05,2.9040248900946264e-05,3.74876308972591e-05,6.764674659230635e-05,4.0627755735198646e-05,9.406626890223472e-05,4.234115727035398e-05,0.00010499779651096497,4.088953229652549e-05,0.00010018385211350065,3.5411161744207075e-05,8.242186513220827e-05,2.6377823582803052e-05,5.6963441553486764e-05,1.5657239423848483e-05,3.0433000843397006e-05,6.1329430073323774e-06,9.470860150319337e-06,5.668046125313816e-07,-2.5908875160536745e-07
3,0.21955951888948494,11940723.520703334,-236.29706321027766,3.17745574716002,0.8079013223273186,0.10337301562267755,0.03392073388990221,0.0018424366542777635,0.8419022591781817,1632.0642089921096,6.425693807672573,6.752537335318685,422.36881862030293,7.575441479176126,8.774968014706012,844.8607676757598,30.33557479081276,-1.5011657536011246e-06,-7.010181906448609e-07,1.2432167969568902e-05,-3.3628909752271784e-05,4.086241719306633e-05,-0.00010051745806853815,7.299232032499356e-05,-0.0001854771792385204,0.00010040685724086872,-0.00026869301947026955,0.00011765071005045749,-0.00033047083485174375,0.00012311067722583875,-0.00035512555023507747,0.00011882547634615378,-0.00033404566464129105,0.00010937211121052485,-0.00026732919509701717,0.00010016458861528833,-0.00016373713948437306,9.561730602195405e-05,-3.8990663061965554e-05,9.767179366760698e-05,8.72627162161542e-05,0.00010512110602189347,0.0001952472944162238,0.00011397372850174636,0.0002688924907343167,0.00011880158201652587,0.00029894049126783526,0.00011469514727057255,0.0002846938298229152,9.921784927412129e-05,0.00023404682282986275,7.370519761017697e-05,0.0001617957066454335,4.344200265378863e-05,8.659922413489997e-05,1.6585396191172647e-05,2.718048132687758e-05,1.249391899387997e-06,-5.763527284954003e-07
4,0.21955951888948494,11940723.520703334,-236.29706321027766,3.17745574716002,0.8079013223273186,0.10337301562267755,0.03392073388990221,0.0018424366542777635,0.8419022591781817,1632.0642089921096,6.425693807672573,6.752537335318685,422.36881862030293,7.575441479176126,8.774968014706012,844.8607676757598,50.286739058857194,-2.498092336152527e-06,-1.1431553033743298e-06,3.2216511355242354e-05,-8.00202406909712e-05,0.00010111443850935279,-0.00024150667190748207,0.00017900572380389636,-0.0004470675270917575,0.00024557321716574845,-0.0006486314443973013,0.000287590665774038,-0.0007981673387841741,0.00030106375926008396,-0.0008572923066527939,0.0002908093519971128,-0.0008048421258758124,0.00026783682186074984,-0.0006409431474429329,0.0002452948232196437,-0.0003869530630958813,0.00023402516616430205,-8.133691503413262e-05,0.00023891308535163377,0.00022774220632498763,0.0002571264002768676,0.0004917449511842618,0.00027890805103597386,0.0006712019304855684,0.0002908541396693174,0.0007433934274455701,0.0002807716825080898,0.0007066714707262815,0.00024258132548053541,0.000580528991267642,0.0001795863186877129,0.00040142219483856116,0.00010490583380294135,0.00021528077558756472,3.875810760368251e-05,6.821196592978103e-05,2.063514446308387e-06,-9.714104895855502e-07
5,0.21955951888948494,11940723.520703334,-236.29706321027766,3.17745574716002,0.8079013223273186,0.10337301562267755,0.03392073388990221,0.0018424366542777635,0.8419022591781817,1632.0642089921096,6.425693807672573,6.752537335318685,422.36881862030293,7.575441479176126,8.774968014706012,844.8607676757598,64.88036733306805,-3.2435238035266897e-06,-1.4339406045848246e-06,6.657113669431634e-05,-0.00015571867218192837,0.0002022364918960145,-0.0004735825506316226,0.00035560444767985443,-0.0008791082590380762,0.0004869364765329827,-0.0012775011050571116,0.0005702962782077779,-0.001573624677244789,0.0005976265070785699,-0.0016912141435336476,0.0005779768697781128,-0.0015879927290967319,0.0005326122309141143,-0.001263838363954996,0.00048733007644818487,-0.0007607619978696667,0.00046382225402142127,-0.00015484425226203928,0.00047231568731930895,0.00045837274812394324,0.0005077351356764261,0.0009823802184339707,0.0005509341859573294,0.001338558410635562,0.0005750867162870783,0.001481580882990019,0.0005555116404881483,0.0014081036768206804,0.0004797489484273517,0.0011568912276079862,0.00035431275633166474,0.0008004316931674948,0.0002055509086706537,0.0004299848084179339,7.400712645155864e-05,0.00013717722217882028,2.6459840032472708e-06,-1.287231906044388e-06
6,0.21955951888948494,11940723.520703334,-236.29706321027766,3.17745574716002,0.8079013223273186,0.10337301562267755,0.03392073388990221,0.0018424366542777635,0.8419022591781817,1632.0642089921096,6.425693807672573,6.752537335318685,422.36881862030293,7.575441479176126,8.774968014706012,844.8607676757598,71.93426587784165,-3.6191428567046e-06,-1.5436804196567239e-06,0.00010181789109566147,-0.0002316957003800206,0.00030451483164126186,-0.0007076524341861491,0.0005336425852303752,-0.0013160406559591755,0.0007302214800691752,-0.0019150114992456267,0.0008557153561313021,-0.0023617750580548725,0.0008978335544473358,-0.0025415927701716093,0.0008694160177508551,-0.002390539386703091,0.0008015200077657209,-0.0019078141382167927,0.0007324342257236214,-0.001155803674195312,0.000695013117309337,-0.0002481502685631402,0.0007054777565925336,0.0006719949675480795,0.0007571435976295577,0.0014596573919615147,0.000821730176159571,0.001996433778933993,0.0008587404563381518,0.0022138157781267567,0.0008304414977674589,0.002106398293159986,0.0007174840216667209,0.0017320897673941316,0.000529438429973926,0.0011994441701756655,0.00030611357467380144,0.0006451636684935307,0.0001087678445505672,0.00020658961823575054,2.9154948467025177e-06,-1.4647164879410635e-06
7,0.21955951888948494,11940723.520703334,-236.29706321027766,3.17745574716002,0.8079013223273186,0.10337301562267755,0.03392073388990221,0.0018424366542777635,0.8419022591781817,1632.0642089921096,6.425693807672573,6.752537335318685,422.36881862030293,7.575441479176126,8.774968014706012,844.8607676757598,76.05504715201393,-3.851045821039374e-06,-1.5828975640448214e-06,0.00013734853983480002,-0.0003078646842488305,0.0004069933949303491,-0.0009430578393048443,0.0007117830191618067,-0.0017565097338563067,0.0009737707416567485,-0.0025592204556555685,0.0011420032218363164,-0.0031604423600941024,0.0011998138826314507,-0.0034065627423439495,0.001163361967976925,-0.003211561785151523,0.0010729579164338132,-0.0025734867900749853,0.0009791287838778052,-0.0015746417801585182,0.0009261299117830165,-0.0003658834825207412,0.000936811087778241,0.0008621462681685875,0.0010035642301167984,0.0019158344155815784,0.0010893350961618728,0.0026365828063285297,0.0011398232668916473,0.0029321940038493826,0.0011037588125784527,0.0027947388108176974,0.0009543999386025734,0.0023009039692702465,0.000704141984750897,0.0015950163710145575,0.0004063497174047045,0.0008589876664221674,0.00014322998855841024,0.0002757756545745768,3.063518805247012e-06,-1.5880842160271497e-06
8,0.21955951888948494,11940723.520703334,-236.29706321027766,3.17745574716002,0.8079013223273186,0.10337301562267755,0.03392073388990221,0.0018424366542777635,0.8419022591781817,1632.0642089921096,6.425693807672573,6.752537335318685,422.36881862030293,7.575441479176126,8.774968014706012,844.8607676757598,78.73784797709415,-4.012647521276055e-06,-1.5874422845534667e-06,0.0001729811362568584,-0.0003842313749876433,0.0005094056322253938,-0.001179698343181298,0.0008896629326805183,-0.0022003039705217023,0.0012171345446262039,-0.0032098545705554686,0.001428656033241903,-0.003969389767629626,0.0015030583172983385,-0.004286053730251571,0.001459347364628299,-0.004051292878509924,0.001346524964581526,-0.0032615082947630705,0.0012270681499964137,-0.0020184128441720524,0.0011568401469860467,-0.0005096548403810537,0.0011659446686910417,0.0010268383873322932,0.0012465561543470779,0.002348717208988295,0.0013532485131185195,0.003256815585063156,0.0014178280511374782,0.00363473183750952,0.001375024845359671,0.0034715009555970873,0.0011901920285431156,0.002862148501644666,0.0008782819642197202,0.0019863998672562514,0.0005062631219560748,0.0010710705581455614,0.00017748729055873307,0.00034458669736400587,3.15219844041731e-06,-1.684719740269385e-06
9,0.21955951888948494,11940723.520703334,-236.29706321027766,3.17745574716002,0.8079013223273186,0.10337301562267755,0.03392073388990221,0.0018424366542777635,0.8419022591781817,1632.0642089921096,6.425693807672573,6.752537335318685,422.36881862030293,7.575441479176126,8.774968014706012,844.8607676757598,80.60699522855991,-4.134604715110069e-06,-1.572293201344236e-06,0.00020863530259698112,-0.0004607904259548895,0.0006116246224480401,-0.0014175109550333758,0.0010670958874036064,-0.0026473025590354393,0.0014600655400580976,-0.0038667633154432484,0.0017153821664141764,-0.004788487321683473,0.001807264041409373,-0.00518001745722025,0.0017570955930248764,-0.004909826543534881,0.0016219947880584023,-0.003972164234113041,0.0014760737296479255,-0.002487621563563949,0.0013869842290709635,-0.0006801811880176278,0.001392698391567798,0.00116519063778405,0.0014858915963517612,0.0027573446315106017,0.0016131974758503283,0.00385618884069048,0.0016924698709861344,0.0043205922358904815,0.0016439910123152513,0.004136014047389388,0.001424688577147275,0.0034153439288016185,0.001051778289349098,0.0023732976004855683,0.0006058504601825175,0.0012812615068710836,0.00021157943232578649,0.0004129647782485458,3.2074892072768224e-06,-1.7660609539726202e-06
10,0.21955951888948494,11940723.520703334,-236.29706321027766,3.17745574716002,0.8079013223273186,0.10337301562267755,0.03392073388990221,0.0018424366542777635,0.8419022591781817,1632.0642089921096,6.425693807672573,6.752537335318685,422.36881862030293,7.575441479176126,8.774968014706012,844.8607676757598,81.97009009281098,-4.232017069490011e-06,-1.5448415421553327e-06,0.00024426570154372043,-0.000537527175158583,0.0007135686620763442,-0.0016564270522907284,0.0012439492310773934,-0.0030973762673852886,0.0017023738857861305,-0.004529772170672298,0.0020019447826642245,-0.00561754759319501,0.0021121751581561986,-0.006088294247043837,0.0020563678762354127,-0.005787072331639855,0.001899173453195803,-0.004705470489019782,0.001726001024591188,-0.002982416585841359,0.001616445439031258,-0.0008777503789582415,0.0016169473558185865,0.0012767971790664284,0.0017214082633754894,0.00314123988552295,0.0018689775157530108,0.004434214379055327,0.0019635253511447615,0.00498933016176322,0.0019104541934147254,0.004787913663131737,0.001657741700423454,0.003960223652246423,0.0012245527698564829,0.002755539946990652,0.0007050931218357194,0.0014894723027228398,0.0002455218724642175,0.0004808764696465217,3.242184628964652e-06,-1.8377397631951989e-06
