时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.7174419763009388,63306474.27754706,812.3918456012325,313.25952105707864,2.8742966400010177,0.4395461702073628,0.06321474755981975,0.007958614563938553,3.044623433839521,1368.6913087134956,5.435180842327814,1.671232458094936,64.87804743936294,1.8655480778814457,1.9020709025290046,169.4690774146892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.7174419763009388,63306474.27754706,812.3918456012325,313.25952105707864,2.8742966400010177,0.4395461702073628,0.06321474755981975,0.007958614563938553,3.044623433839521,1368.6913087134956,5.435180842327814,1.671232458094936,64.87804743936294,1.8655480778814457,1.9020709025290046,169.4690774146892,5.532787259919836,-1.4251344495109053e-06,-2.824092108044616e-06,8.439423528445623e-06,-2.181167141365869e-05,2.5921132073390125e-05,-5.636215131213498e-05,4.509929557344504e-05,-9.876089135613426e-05,6.115131313195702e-05,-0.00013944179659724823,7.101430804247825e-05,-0.00016903903661180203,7.387291823182483e-05,-0.00018022531664378888,7.103827525813668e-05,-0.0001691336274124937,6.527496115224002e-05,-0.00013608519179845774,5.978210371639313e-05,-8.551958543211533e-05,5.7108819754287e-05,-2.513915494147751e-05,5.831055631086331e-05,3.55738263664215e-05,6.259983965376077e-05,8.71910903911287e-05,6.761308812982835e-05,0.00012216563441709306,7.02311563705984e-05,0.000136282807956054,6.771109518320645e-05,0.0001294357816106501,5.877426323946818e-05,0.0001055716104605067,4.428977722573777e-05,7.182245219985377e-05,2.7317461093855415e-05,3.702293737659762e-05,1.2425644311038364e-05,9.893963368275928e-06,4.142827040359634e-06,-2.5046319313167925e-06
3,1.7174419763009388,63306474.27754706,812.3918456012325,313.25952105707864,2.8742966400010177,0.4395461702073628,0.06321474755981975,0.007958614563938553,3.044623433839521,1368.6913087134956,5.435180842327814,1.671232458094936,64.87804743936294,1.8655480778814457,1.9020709025290046,169.4690774146892,12.436663316082026,-3.2116499729783242e-06,-6.340834349222708e-06,2.788530443025815e-05,-6.455533149843394e-05,8.231051917309974e-05,-0.00017143582120167128,0.0001420849680234388,-0.0003029677569656019,0.0001921888243754986,-0.000429227115820084,0.00022301413170997786,-0.0005207423170300192,0.0002319506425255573,-0.0005543755525978312,0.00022304646679146772,-0.0005178734794870195,0.00020494143031092645,-0.0004122233979065724,0.00018769291056848053,-0.00025146942587737074,0.00017935781777284813,-6.00279965758016e-05,0.00018329523286891159,0.00013200674131321952,0.00019701295678039421,0.0002946971786157624,0.00021297785933926803,0.00040409506144303977,0.00022121940125233142,0.00044688074487745196,0.00021295941219725997,0.00042283785605867156,0.00018411770456276216,0.00034466529513016355,0.00013751621043727336,0.00023519191878429297,8.30065087663122e-05,0.00012264228683481746,3.528723302199398e-05,3.488108486602292e-05,9.304907379120467e-06,-5.646134008140239e-06
4,1.7174419763009388,63306474.27754706,812.3918456012325,313.25952105707864,2.8742966400010177,0.4395461702073628,0.06321474755981975,0.007958614563938553,3.044623433839521,1368.6913087134956,5.435180842327814,1.671232458094936,64.87804743936294,1.8655480778814457,1.9020709025290046,169.4690774146892,19.868246817702364,-5.1640532750758216e-06,-1.0095062961208391e-05,8.331797849616918e-05,-0.00017089349835265838,0.00023582944460508735,-0.00046910774362384714,0.0004034259332525872,-0.0008373456542473505,0.0005442119194461463,-0.001191241616095565,0.0006311933644757263,-0.0014471855965033466,0.000656762713770096,-0.0015392873883941641,0.0006318759592126403,-0.0014324790389646013,0.0005805278177933514,-0.0011293612490012896,0.0005310680286101893,-0.00066980054467673,0.0005066026475184462,-0.00012340253624600552,0.0005171402364841342,0.0004238126671156568,0.000555945178358605,0.0008861206297788888,0.0006015423494908261,0.0011949315360222823,0.0006251018998045017,0.001312248729752728,0.000601051966276893,0.0012378294161392675,0.0005174620336062762,0.0010085459512343764,0.00038258024705578993,0.0006902243566866692,0.00022512362132307256,0.0003639320828291235,8.778500180484554e-05,0.00010954949910278336,1.4827021408448833e-05,-9.084807467098959e-06
5,1.7174419763009388,63306474.27754706,812.3918456012325,313.25952105707864,2.8742966400010177,0.4395461702073628,0.06321474755981975,0.007958614563938553,3.044623433839521,1368.6913087134956,5.435180842327814,1.671232458094936,64.87804743936294,1.8655480778814457,1.9020709025290046,169.4690774146892,22.95227929403972,-6.0074298775943115e-06,-1.1615476892114814e-05,0.00014577322329173355,-0.00028447173708805076,0.00040548220213466445,-0.0007930676535927302,0.0006909023984477931,-0.0014225369950225126,0.0009311602173442085,-0.0020286076303599816,0.001080444917681458,-0.002467858957043355,0.0011253930819190103,-0.0026270432094310046,0.0010838063454069837,-0.002445627535564089,0.000995770206700254,-0.0019275678476569876,0.0009094348360427974,-0.0011407077935071247,0.0008648645539457722,-0.00020406891678900228,0.0008803025079950264,0.0007348079688073521,0.0009452416698410445,0.001528502321235448,0.0010232243384205488,0.0020588169382310447,0.0010643295478140334,0.002260194114273722,0.0010237656785326557,0.0021321943733383793,0.0008803484384452298,0.0017383057950966867,0.0006481855058590195,0.0011916689542033803,0.00037711153987727956,0.0006313420563790751,0.00014108024363242917,0.00019421352570159097,1.7078765080826365e-05,-1.0574210531920621e-05
6,1.7174419763009388,63306474.27754706,812.3918456012325,313.25952105707864,2.8742966400010177,0.4395461702073628,0.06321474755981975,0.007958614563938553,3.044623433839521,1368.6913087134956,5.435180842327814,1.671232458094936,64.87804743936294,1.8655480778814457,1.9020709025290046,169.4690774146892,24.512163157846114,-6.4609846793748295e-06,-1.2353871610007404e-05,0.0002087904253579901,-0.0003977341027124452,0.0005755456281489419,-0.0011184916603545112,0.0009786360468469898,-0.002012382661446143,0.00131866429468154,-0.0028749366055393164,0.001531259068448308,-0.0035024360577862986,0.0015970135328904293,-0.003733769912861735,0.001539788708740464,-0.0034824393301712414,0.0014149255984906015,-0.0027532177795860607,0.0012900457900799894,-0.0016413714691403765,0.0012226289974948768,-0.00031491078451031766,0.0012401948959417412,0.0010172052557274004,0.0013295200653828012,0.0021455450218909123,0.0014396516979854914,0.00290168708545767,0.0014992821388571528,0.0031918550406580233,0.0014435970217724328,0.003014925483114638,0.001241399775664487,0.002460695877131531,0.0009123763539842702,0.0016893565271352174,0.0005277031224702102,0.0008976470180085277,0.00019298618963506739,0.0002792357558798048,1.8187903715855585e-05,-1.137620599157299e-05
7,1.7174419763009388,63306474.27754706,812.3918456012325,313.25952105707864,2.8742966400010177,0.4395461702073628,0.06321474755981975,0.007958614563938553,3.044623433839521,1368.6913087134956,5.435180842327814,1.671232458094936,64.87804743936294,1.8655480778814457,1.9020709025290046,169.4690774146892,25.445226746953473,-6.754797638011798e-06,-1.2770331568030308e-05,0.0002719579351172567,-0.000511137548073154,0.0007454461642239873,-0.001445731132445045,0.0012658799559372156,-0.0026071384822427325,0.0017058350663350734,-0.003730495849892733,0.0019826803555700635,-0.004551391517203144,0.002070700533738493,-0.004860400820278235,0.001999014797369671,-0.004544566647711862,0.001837331326011902,-0.0036088953582949046,0.0016723425660970105,-0.00217541276309801,0.0015793450348268222,-0.00046052740680746403,0.0015961702899967246,0.0012656725770924966,0.0017079876592518356,0.0027315841802791454,0.001849930292648953,0.0037180158636542387,0.0019290970165600969,0.0041022814791675,0.0018598885718131035,0.003881965267569575,0.0016003101415490789,0.003172696515825756,0.0011752583085372196,0.0021812689849628275,0.000677365517177339,0.0011616411509107727,0.0002441917437245688,0.0003639410195647367,1.8829249162060076e-05,-1.189487308029821e-05
8,1.7174419763009388,63306474.27754706,812.3918456012325,313.25952105707864,2.8742966400010177,0.4395461702073628,0.06321474755981975,0.007958614563938553,3.044623433839521,1368.6913087134956,5.435180842327814,1.671232458094936,64.87804743936294,1.8655480778814457,1.9020709025290046,169.4690774146892,26.059290607225414,-6.96781194704058e-06,-1.3022732452904311e-05,0.0003351208453911247,-0.0006248181936721679,0.0009149445323761187,-0.0017748531627931599,0.0015522913701999676,-0.003206808522730204,0.0020922296844851766,-0.004595277331243254,0.0024342009839068584,-0.005614789731057733,0.0025459416150419253,-0.006007171018267788,0.0024610305789235436,-0.0056325099270493955,0.002262628711886685,-0.004495443162219275,0.0020560521564320536,-0.0027440566020626935,0.0019347714080826892,-0.0006425055103925753,0.001947949688766145,0.0014783576656790026,0.002080284037736779,0.0032846613616761885,0.0022536299725407273,0.004505920243666231,0.002353340578297968,0.0049898212061648415,0.002272294221704054,0.004731989379798168,0.0019568948711860988,0.0038733415749560287,0.0014368327242805928,0.0026667692696549315,0.0008262537922017428,0.0014229434137384834,0.00029493616830308846,0.00044810903200994794,1.923436037021349e-05,-1.2268876561650298e-05
9,1.7174419763009388,63306474.27754706,812.3918456012325,313.25952105707864,2.8742966400010177,0.4395461702073628,0.06321474755981975,0.007958614563938553,3.044623433839521,1368.6913087134956,5.435180842327814,1.671232458094936,64.87804743936294,1.8655480778814457,1.9020709025290046,169.4690774146892,26.48805456652642,-7.134307244047798e-06,-1.3179674729936505e-05,0.00039819449660662425,-0.000738806687143671,0.0010838837872517374,-0.002105806201451946,0.0018376165319247417,-0.003811252852746731,0.0024774921828463045,-0.005469082431529617,0.0028853880005955544,-0.0066924288222489706,0.003022280166837736,-0.007173940502484809,0.0029254183675293715,-0.006746255132750112,0.0026904829113768916,-0.005413031146492036,0.0024409251831063613,-0.003347699601645957,0.0022887027187195805,-0.0008614770641938249,0.002295308585663362,0.0016544348205085606,0.0024461181913987924,0.003803845323182672,0.0026503910225061864,0.005264470972884122,0.002771630688962299,0.005853639967007292,0.0026804808100886895,0.005564316903715824,0.0023109314690922334,0.004562125411576918,0.0016970121707341186,0.003145519510768414,0.0009743955387147541,0.0016813538122580208,0.0003453131703801832,0.0005316324262470161,1.9503841022938706e-05,-1.2558437798954252e-05
10,1.7174419763009388,63306474.27754706,812.3918456012325,313.25952105707864,2.8742966400010177,0.4395461702073628,0.06321474755981975,0.007958614563938553,3.044623433839521,1368.6913087134956,5.435180842327814,1.671232458094936,64.87804743936294,1.8655480778814457,1.9020709025290046,169.4690774146892,26.798916556927008,-7.271551283709676e-06,-1.3275760936334779e-05,0.0004611208106946126,-0.0008530924024858161,0.0012521378038457388,-0.0024384889313347263,0.002121634169840333,-0.004420265908895453,0.0028612964578427122,-0.006351621027792475,0.0033358309371323835,-0.0077839781483305835,0.0034992717188425055,-0.008360391933278699,0.003391762840874552,-0.007885553188068665,0.0031205560925841223,-0.0063615327855818665,0.002826710693947883,-0.003986385521326859,0.00264093947191378,-0.0011176805605414674,0.002638038021664193,0.0017934875064221415,0.0028052210379305403,0.0042886003826125224,0.0030398743856603293,0.005993093268207001,0.003183595517151324,0.006693196569840118,0.00308410795530958,0.0063784887225352095,0.0026621699902494122,0.0052386948204296785,0.0019556642302035435,0.0036172773741819267,0.0011217627084911218,0.0019367300277065903,0.00039535843611367323,0.0006144427612978497,1.9688419964207387e-05,-1.2793898270060855e-05
