时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.2147899393314077,3036717.064452108,-45.39293705764237,0.40848871294971734,0.5844061404523697,0.05681554807405292,0.021803098849924013,0.0013351740494684575,0.5988183549787746,1632.7031790218941,3.083745377850648,5.687188057899078,191.10771546159606,3.166136337052688,0.10424070584017642,568.859259753381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.2147899393314077,3036717.064452108,-45.39293705764237,0.40848871294971734,0.5844061404523697,0.05681554807405292,0.021803098849924013,0.0013351740494684575,0.5988183549787746,1632.7031790218941,3.083745377850648,5.687188057899078,191.10771546159606,3.166136337052688,0.10424070584017642,568.859259753381,10.711488819402202,-1.0177789728679515e-06,-2.0939974306490912e-07,1.6718086316542198e-06,-8.981983696613011e-06,7.176498720048171e-06,-2.629263682505498e-05,1.332336859639966e-05,-4.8056892058510483e-05,1.8548680365805987e-05,-6.938238370613104e-05,2.186868206917092e-05,-8.550579489552556e-05,2.300929332660499e-05,-9.268645559895285e-05,2.2349261509372807e-05,-8.889773626671387e-05,2.0711494978814882e-05,-7.418442931095417e-05,1.9061643897910393e-05,-5.0628609460371477e-05,1.818913377485985e-05,-2.1934705833975943e-05,1.845225586467199e-05,7.286948370482473e-06,1.9659449630640364e-05,3.24046472778038e-05,2.1128774376190458e-05,4.965090114535953e-05,2.191854295257917e-05,5.6838143490547664e-05,2.1166646253565514e-05,5.3763313329894826e-05,1.8434298701913945e-05,4.2220802747560284e-05,1.3939726573746663e-05,2.5620401773407592e-05,8.597403278016356e-06,8.288594526936006e-06,3.838824402982039e-06,-5.413870276176391e-06,9.828284012259614e-07,-1.1813111840901385e-05
3,0.2147899393314077,3036717.064452108,-45.39293705764237,0.40848871294971734,0.5844061404523697,0.05681554807405292,0.021803098849924013,0.0013351740494684575,0.5988183549787746,1632.7031790218941,3.083745377850648,5.687188057899078,191.10771546159606,3.166136337052688,0.10424070584017642,568.859259753381,24.347068573433848,-2.314632163239006e-06,-4.741802613926868e-07,4.910011756678912e-06,-2.3477115398246645e-05,1.9444674132211576e-05,-6.903212553564118e-05,3.5680870869397216e-05,-0.00012637397018601222,4.948375161079741e-05,-0.0001825363656938354,5.824305161675782e-05,-0.0002248385333757192,6.122546601780702e-05,-0.0002432961751849037,5.94306908451054e-05,-0.00023248862221118488,5.5043461795808876e-05,-0.00019252981313816413,5.063618252157154e-05,-0.00012898768465604847,4.831919487400023e-05,-5.178060278369355e-05,4.905523453144492e-05,2.673784921892634e-05,5.233358642616691e-05,9.414893137213513e-05,5.632189850127529e-05,0.00014034584793791067,5.848207147975928e-05,0.00015945809444826845,5.648456597973941e-05,0.000150942220429152,4.9138953848505744e-05,0.00011962159680914151,3.7028934819823776e-05,7.466687183173184e-05,2.262176117590384e-05,2.7727911454500427e-05,9.787286510934521e-06,-9.42313213391122e-06,2.231389350325681e-06,-2.6859207819474044e-05
4,0.2147899393314077,3036717.064452108,-45.39293705764237,0.40848871294971734,0.5844061404523697,0.05681554807405292,0.021803098849924013,0.0013351740494684575,0.5988183549787746,1632.7031790218941,3.083745377850648,5.687188057899078,191.10771546159606,3.166136337052688,0.10424070584017642,568.859259753381,38.30502234985503,-3.6441857022639077e-06,-7.418348590847628e-07,1.0326803353604257e-05,-4.4118363510784204e-05,3.791717793969504e-05,-0.00013031822899118518,6.873636911415633e-05,-0.00023892646314996611,9.493388216562484e-05,-0.0003452405275430018,0.00011153989039076741,-0.0004249992934840541,0.00011714555974310932,-0.00045905208970235405,0.00011364084113097768,-0.00043697950427088665,0.00010518565895847965,-0.0003589883353935645,9.670107095800922e-05,-0.0002357783921076006,9.22462380943679e-05,-8.643529774029337e-05,9.369135874308368e-05,6.524720211091368e-05,0.00010006869918983062,0.00019533123328737518,0.0001078438395127415,0.0002843227202168087,0.00011209565673997838,0.0003208933806285588,0.00010829078822155779,0.00030399680203121353,9.410104187690548e-05,0.00024295498748231063,7.064854040302927e-05,0.00015550052624801452,4.2724026430019556e-05,6.418291713283241e-05,1.7852378010744215e-05,-8.160741222402973e-06,3.503600485240297e-06,-4.227096479500219e-05
5,0.2147899393314077,3036717.064452108,-45.39293705764237,0.40848871294971734,0.5844061404523697,0.05681554807405292,0.021803098849924013,0.0013351740494684575,0.5988183549787746,1632.7031790218941,3.083745377850648,5.687188057899078,191.10771546159606,3.166136337052688,0.10424070584017642,568.859259753381,55.33803813101446,-5.271682974118333e-06,-1.0590996871722956e-06,2.2722784127202107e-05,-8.531803041603372e-05,7.669082109339915e-05,-0.00025342469039666245,0.0001369323568800845,-0.00046544209865134625,0.00018812845755752775,-0.0006728411361888077,0.0002205606228235821,-0.0008277339067224797,0.0002314333027687263,-0.0008922067093474925,0.00022438359244773113,-0.0008455704933180399,0.00020752368390489383,-0.0006881845809105116,0.00019053999761939227,-0.0004412473392338515,0.00018151789392853722,-0.00014265830572205866,0.00018427616977968522,0.00016025961988857718,0.00019699083229759526,0.00041983173241382746,0.0002126484247938248,0.0005971857623267332,0.00022136508250297223,0.0006697051187888074,0.00021396578791459727,0.0006352849226941947,0.00018569402064039797,0.0005125293374363695,0.00013876744619982284,0.00033686365517654395,8.282858351159107e-05,0.00015338600398526786,3.3037114568626324e-05,7.874897806851285e-06,5.0378877306706255e-06,-6.109308008496857e-05
6,0.2147899393314077,3036717.064452108,-45.39293705764237,0.40848871294971734,0.5844061404523697,0.05681554807405292,0.021803098849924013,0.0013351740494684575,0.5988183549787746,1632.7031790218941,3.083745377850648,5.687188057899078,191.10771546159606,3.166136337052688,0.10424070584017642,568.859259753381,68.4087464511593,-6.529276094658226e-06,-1.2857327807303185e-06,4.259104744486167e-05,-0.0001457095386421852,0.0001354274455957915,-0.0004347622003663068,0.00023894324791817615,-0.0007996881935842335,0.0003269339212127365,-0.0011567026183037928,0.00038276811085886887,-0.0014228227946780044,0.00040156046784123946,-0.001532174402868684,0.0003893508109538809,-0.001448671200356638,0.0003598919273510915,-0.0011727407413756475,0.0003298418162268008,-0.0007410455671139172,0.00031336894988980593,-0.00021938018810061958,0.0003174472642155734,0.0003099146328649379,0.00033924073662782215,0.0007637180271793619,0.0003666652699041539,0.0010741165260455925,0.00038234293372013976,0.0012014824333363826,0.0003699472291752682,0.0011419814947959148,0.00032089045448668917,0.0009279638092524845,0.0002389610938649974,0.000621196744013748,0.0001411352858197941,0.0003004123498784355,5.4118250770814215e-05,4.568255146759849e-05,6.181017242671665e-06,-7.555018323712989e-05
7,0.2147899393314077,3036717.064452108,-45.39293705764237,0.40848871294971734,0.5844061404523697,0.05681554807405292,0.021803098849924013,0.0013351740494684575,0.5988183549787746,1632.7031790218941,3.083745377850648,5.687188057899078,191.10771546159606,3.166136337052688,0.10424070584017642,568.859259753381,75.61879474720783,-7.23147272973992e-06,-1.3948189602800227e-06,6.330036074815228e-05,-0.0002062689889858641,0.0001950622931867296,-0.0006171924818628862,0.000341864052232535,-0.0011365617372468145,0.00046674371194448566,-0.0016451679372487316,0.0005462510876161412,-0.002024637360255538,0.0005733426180730438,-0.002180791138333879,0.0005562278361312348,-0.002061813396741367,0.0005140408123799888,-0.001667922724381584,0.0004703112663371439,-0.0010510662719152432,0.00044545018370203526,-0.0003048985812659468,0.0004499402854799188,0.000453077593124979,0.0004802848212851756,0.0011039808655422692,0.0005194753451049811,0.0015504415390369707,0.0005425054474542182,0.0017354151705257545,0.0005255815969370834,0.0016530411041800986,0.00045599239455218976,0.0013492710060962322,0.00033899745200640616,0.0009122114511829987,0.00019902637384147114,0.0004543384933158975,7.454918105471403e-05,9.023294464228524e-05,6.779219423947927e-06,-8.353162275994764e-05
8,0.2147899393314077,3036717.064452108,-45.39293705764237,0.40848871294971734,0.5844061404523697,0.05681554807405292,0.021803098849924013,0.0013351740494684575,0.5988183549787746,1632.7031790218941,3.083745377850648,5.687188057899078,191.10771546159606,3.166136337052688,0.10424070584017642,568.859259753381,80.1474928515996,-7.680040541708323e-06,-1.4501112253744498e-06,8.435816836289891e-05,-0.00026695079722420767,0.00025497042516211676,-0.0008004403239557546,0.00044494904394926495,-0.00147559268425192,0.0006067369682812463,-0.0021377460928540346,0.000710179901816179,-0.0026329665820411796,0.0007460088770412345,-0.0028385104514796135,0.0007243489482051522,-0.0026865167849751547,0.0006694168291860665,-0.002176656656910073,0.0006114691670625381,-0.0013758450487749575,0.0005772860090076393,-0.0004053665733183971,0.0005812076666209145,0.0005821890108174829,0.0006194573422235002,0.0014320646565610562,0.0006703040869551941,0.0020171556778035963,0.0007010402176367027,0.0022626387644546562,0.0006801332503074931,0.0021602709768712932,0.0005904629061068443,0.0017693106249836073,0.00043862534642538897,0.0012039853850372047,0.0002565544606448677,0.0006103849507556283,9.462024281161328e-05,0.0001375933490689599,7.128669447908729e-06,-8.854799376147604e-05
9,0.2147899393314077,3036717.064452108,-45.39293705764237,0.40848871294971734,0.5844061404523697,0.05681554807405292,0.021803098849924013,0.0013351740494684575,0.5988183549787746,1632.7031790218941,3.083745377850648,5.687188057899078,191.10771546159606,3.166136337052688,0.10424070584017642,568.859259753381,83.23460883134007,-7.992720545626463e-06,-1.4764623103388952e-06,0.0001055785903691904,-0.00032775555639070434,0.0003149274561719285,-0.0009844662176744785,0.0005479414749449065,-0.0018167450186626598,0.000746639087472363,-0.0026344893325087387,0.0008742835447128152,-0.0032480636370212515,0.0009193161631548794,-0.0035059074105586456,0.0008935181515351866,-0.0033237859918056707,0.0008258757560612959,-0.002700450636793534,0.0007532081706165982,-0.0017174162268099962,0.0007087751551020325,-0.0005233045316582591,0.0007111203652060301,0.0006943471958735241,0.0007565812548386983,0.0017448429256149795,0.0008189317477517048,0.0024710900862149198,0.0008577160831356792,0.0027801180417032023,0.0008334052928243584,0.0026609097587119625,0.0007241813569866375,0.0021856784492291347,0.0005378224577037841,0.001494487967819036,0.0003137898422553861,0.0007668463052431972,0.00011446390561851058,0.00018628359117852901,7.344972553137266e-06,-9.19691206482536e-05
10,0.2147899393314077,3036717.064452108,-45.39293705764237,0.40848871294971734,0.5844061404523697,0.05681554807405292,0.021803098849924013,0.0013351740494684575,0.5988183549787746,1632.7031790218941,3.083745377850648,5.687188057899078,191.10771546159606,3.166136337052688,0.10424070584017642,568.859259753381,85.45707133214695,-8.2243205900849e-06,-1.485442777252676e-06,0.00012687246388358648,-0.0003886769200634344,0.0003748209888575714,-0.0011692359457744818,0.000650705564289807,-0.0021599807922778186,0.000886295513565243,-0.0031354030029703004,0.001038399941779128,-0.0038700372477970067,0.0010931120414471173,-0.004183254902245501,0.0010636100571463386,-0.00397410820747638,0.0009833283296403852,-0.003240036914077772,0.0008954694882793457,-0.00207676186318138,0.0008398696265756546,-0.0006599184083317572,0.0008396164591596726,0.0007881790279814521,0.0008915640783834916,0.0020408554162468753,0.0009652365492622059,0.0029107858274878442,0.0010124016893599914,0.003286475027316334,0.0009852859312857495,0.003153717793566344,0.0008570806112976633,0.0025973013755423947,0.0006365766724306112,0.001782810899218743,0.0003707681641242992,0.0009229510789506152,0.0001341440767375768,0.00023562266632682404,7.481970745795075e-06,-9.443270078721152e-05
