时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,2.354122442794157,28086304.492875673,4870.807377384639,108.78060195008639,0.7233038644717968,0.1565949474440508,0.07470900743955655,0.006798146270391193,0.8055632025638948,409.32775248810225,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.354122442794157,28086304.492875673,4870.807377384639,108.78060195008639,0.7233038644717968,0.1565949474440508,0.07470900743955655,0.006798146270391193,0.8055632025638948,409.32775248810225,10.0,10.0,0.0,10.0,10.0,0.0,18.77565867313003,-5.5895138302031905e-06,-4.776908162510693e-06,-7.611790338779002e-05,4.204545027030706e-05,-0.00012610298126654632,0.00010177807530413154,-0.0001645855998731014,0.00015151931188724362,-0.0001880995635304534,0.00018375788171256453,-0.00019665178467757105,0.00019277359764564476,-0.000193049764419091,0.0001754298108302629,-0.00018212617416981741,0.00013158613322697242,-0.00016965842471864865,6.42523073761958e-05,-0.00016108708179234067,-2.0605484912508442e-05,-0.0001602625295961689,-0.00011464584645818327,-0.00016849731746265475,-0.00020810821109463966,-0.00018417750699434198,-0.0002910120571781234,-0.00020304420991056543,-0.00035437582429706727,-0.0002190516593219593,-0.00039122935084336596,-0.0002255585683256568,-0.0003972871296522941,-0.0002165742619249969,-0.0003712573159779822,-0.00018784754182377415,-0.0003148453466671006,-0.00013762806857738088,-0.0002324816313898898,-6.671418577282385e-05,-0.00013101255402958595,5.590077409308386e-06,-4.775130207508949e-06
3,2.354122442794157,28086304.492875673,4870.807377384639,108.78060195008639,0.7233038644717968,0.1565949474440508,0.07470900743955655,0.006798146270391193,0.8055632025638948,409.32775248810225,10.0,10.0,0.0,10.0,10.0,0.0,41.19444691303079,-1.2275104003302483e-05,-1.0490981695783813e-05,-0.00030474127674213884,0.00025477787301640903,-0.0005315925803573217,0.0005384264001564996,-0.0007026785737951155,0.000774133024805119,-0.0008058870759274919,0.0009312995098077328,-0.0008425834771133654,0.0009867040079300673,-0.0008256133705631883,0.0009276451711164585,-0.0007761555845017852,0.0007538671633045649,-0.000719179765361898,0.000478331613696805,-0.0006780430556142053,0.00012646474682593092,-0.0006692147552524966,-0.00026632761196349866,-0.0006983400003777218,-0.0006587899780307403,-0.000758726644326527,-0.0010089844561720334,-0.0008327023687175753,-0.001279493594084658,-0.0008953928595134522,-0.0014416762221372101,-0.0009198362872332314,-0.0014784261169467517,-0.000882230177885317,-0.0013853765142458805,-0.0007664067364620256,-0.0011708136414612601,-0.0005669306803057363,-0.0008544879139577023,-0.00028984726084100573,-0.0004659353626571989,1.2276940014153453e-05,-1.0468308264598759e-05
4,2.354122442794157,28086304.492875673,4870.807377384639,108.78060195008639,0.7233038644717968,0.1565949474440508,0.07470900743955655,0.006798146270391193,0.8055632025638948,409.32775248810225,10.0,10.0,0.0,10.0,10.0,0.0,52.35974888168144,-1.561333724378157e-05,-1.3355411811693307e-05,-0.0006921442674507046,0.0006776249293034843,-0.001238919719917902,0.0013695427333036384,-0.0016458676889185057,0.0019424601746814419,-0.0018879245062282883,0.0023263366096875826,-0.001970636062991371,0.0024683095207213086,-0.0019261431260711713,0.0023398560763706875,-0.0018056122273696134,0.001941515084275748,-0.001668336749905874,0.0013047342803360305,-0.0015689744612579451,0.0004899665871820777,-0.0015453216819993835,-0.00041944718616153897,-0.001609490971325168,-0.0013272506052481145,-0.0017449462120585697,-0.002136511976851176,-0.001910261152562763,-0.0027616888556478638,-0.002048345492672099,-0.003138245959363128,-0.002098459056010511,-0.0032286685711522623,-0.0020081769998538776,-0.0030249058101653363,-0.0017432613958558506,-0.002547932940156454,-0.001294271994206855,-0.0018449363852567073,-0.0006785262499781798,-0.0009850288381384551,1.5616941863714775e-05,-1.3285581455923241e-05
5,2.354122442794157,28086304.492875673,4870.807377384639,108.78060195008639,0.7233038644717968,0.1565949474440508,0.07470900743955655,0.006798146270391193,0.8055632025638948,409.32775248810225,10.0,10.0,0.0,10.0,10.0,0.0,56.59223394649899,-1.68863321927337e-05,-1.4457179883702903e-05,-0.0010794397987944208,0.001108921267379358,-0.0019507502732016,0.0022093158063239875,-0.0025948583541193573,0.0031185590192696374,-0.00297428226565597,0.003727035966546056,-0.003099838548823958,0.003952062496151593,-0.0030244410306159183,0.0037492908497852133,-0.0028306628702106634,0.003120459264736252,-0.002613018686461016,0.0021163442360428585,-0.0024575462896360223,0.0008335095573473536,-0.0024226146363709785,-0.0005957871057944847,-0.002525501362272244,-0.0020197379356422817,-0.0027384657231200437,-0.003286456477623459,-0.002995420316481139,-0.0042628234145870286,-0.0032069500542916455,-0.004849206865615158,-0.00327928602216835,-0.004988435213557269,-0.0031327543445367214,-0.004669293402994644,-0.0027165985967893286,-0.00392572313538228,-0.0020186125446367865,-0.002832524158753568,-0.0010680498354044186,-0.0014985811357514632,1.6891590161038272e-05,-1.4337354907230522e-05
6,2.354122442794157,28086304.492875673,4870.807377384639,108.78060195008639,0.7233038644717968,0.1565949474440508,0.07470900743955655,0.006798146270391193,0.8055632025638948,409.32775248810225,10.0,10.0,0.0,10.0,10.0,0.0,58.80058856906073,-1.7558692312042902e-05,-1.5044086019258604e-05,-0.0014655162865980316,0.0015349062263289165,-0.002661341251605994,0.0030366559886032297,-0.0035411539405709814,0.004275752925669466,-0.00405528013064338,0.005102992332382084,-0.004220563682392231,0.005405622297689833,-0.004111771596554259,0.005123272097912725,-0.0038438948120319894,0.004258970619850969,-0.0035472124122870497,0.0028832570499959707,-0.00333897599644611,0.0011294262803943301,-0.003297270369916346,-0.0008208193719292625,-0.0034432741183123687,-0.002759932359110138,-0.003736812919277577,-0.004481303232371446,-0.004086376136771365,-0.005804762393998395,-0.004370188643787989,-0.006596147847422948,-0.004462144554477593,-0.0067789950666451715,-0.004256487852331097,-0.006338982086356842,-0.003687168805176083,-0.00532284643454383,-0.0027400619505064815,-0.0038328193203497718,-0.001456551374003021,-0.0020175844944008243,1.7565560426903213e-05,-1.4873689659330202e-05
7,2.354122442794157,28086304.492875673,4870.807377384639,108.78060195008639,0.7233038644717968,0.1565949474440508,0.07470900743955655,0.006798146270391193,0.8055632025638948,409.32775248810225,10.0,10.0,0.0,10.0,10.0,0.0,60.14464884201244,-1.7976750856600923e-05,-1.541096435674719e-05,-0.0018498642399618133,0.0019523869639158926,-0.003368892395219983,0.003846706810545844,-0.004482187696249114,0.0054079515810881015,-0.00512803709011123,0.006447335427895462,-0.005329970637525245,0.0068217654133623405,-0.005185566831100914,0.006454589339431056,-0.00484312140359541,0.005350129696146719,-0.004469115546101683,0.0035990112975616815,-0.004211778503546705,0.0013717548565530327,-0.004168030735446847,-0.0011000870602033519,-0.004361709444895403,-0.003553130877880072,-0.004739028172520958,-0.005726310542065003,-0.005182342285232988,-0.007392895036712396,-0.005537505901687749,-0.00838465470820807,-0.005646749069231115,-0.008606051459976597,-0.005379337576043002,-0.008039563505849315,-0.004655059865398019,-0.006744430291743045,-0.0034586119650654033,-0.004850055906325848,-0.001843584591868152,-0.0025449388291379363,1.7985201682283756e-05,-1.5189998769715812e-05
8,2.354122442794157,28086304.492875673,4870.807377384639,108.78060195008639,0.7233038644717968,0.1565949474440508,0.07470900743955655,0.006798146270391193,0.8055632025638948,409.32775248810225,10.0,10.0,0.0,10.0,10.0,0.0,61.03787877857092,-1.8264024434416953e-05,-1.566289628937323e-05,-0.002232048680467554,0.0023602237980470436,-0.0040722932609596535,0.004637727942196827,-0.005416423423404202,0.006512965202634925,-0.0061908216258267776,0.0077575884811351276,-0.00642632018876845,0.008197883882298813,-0.0062442073347098795,0.007740642766829886,-0.005826905603973403,0.0063914589143010065,-0.005377476852620496,0.004261329125306763,-0.005074848601751675,0.0015584451028482504,-0.005033877770989217,-0.0014354416249885435,-0.005279825699159673,-0.004401064642400116,-0.005744143440811242,-0.007023191688677629,-0.006282376040711367,-0.009029006143918961,-0.006708021551396833,-0.010216625087722295,-0.006832325763903757,-0.010471588498308454,-0.006500667481583345,-0.00977301551136701,-0.005619777066234495,-0.008192305345894,-0.00417387547301011,-0.005885752221786595,-0.0022287869975634138,-0.0030816856353010898,1.8274034054981428e-05,-1.5391623991943208e-05
9,2.354122442794157,28086304.492875673,4870.807377384639,108.78060195008639,0.7233038644717968,0.1565949474440508,0.07470900743955655,0.006798146270391193,0.8055632025638948,409.32775248810225,10.0,10.0,0.0,10.0,10.0,0.0,61.664553881858055,-1.847558454204728e-05,-1.58466935008867e-05,-0.002611659728169486,0.002757915157383882,-0.004770647527596979,0.005408946944143778,-0.006342641047019063,0.007589809584376943,-0.007242250277817146,0.009032622202909771,-0.007508201228865558,0.009532771899074373,-0.007286350247462172,0.008980219134133886,-0.006794022572947585,0.0073818043856556615,-0.006271194436909053,0.004869172163479353,-0.0059271765280786695,0.001688606048974862,-0.005893844310447388,-0.001827630931077276,-0.006196651333926104,-0.0053043799142978194,-0.006751156601108668,-0.008372555769566607,-0.007385447866206866,-0.010713730027514884,-0.007880708568791528,-0.012092754373307599,-0.008017896966267795,-0.012376359174184871,-0.007619601356338068,-0.0115401088905773,-0.006580592787867641,-0.009667198130148245,-0.004885305944215193,-0.006940521094966348,-0.0026117974795912225,-0.0036282566034877292,1.8487128716828172e-05,-1.552554079762219e-05
10,2.354122442794157,28086304.492875673,4870.807377384639,108.78060195008639,0.7233038644717968,0.1565949474440508,0.07470900743955655,0.006798146270391193,0.8055632025638948,409.32775248810225,10.0,10.0,0.0,10.0,10.0,0.0,62.11915780209359,-1.8639683140759583e-05,-1.59863380492831e-05,-0.002988298595751236,0.0031452116237294494,-0.005463144495146847,0.006159973217007821,-0.007259745576977068,0.008637973441215866,-0.008281075978156173,0.010271831452969345,-0.008574329830565063,0.010825763532770222,-0.00831075856961617,0.010172633221214726,-0.007743327537297262,0.008320511044065393,-0.007149221726785589,0.00542196532336518,-0.006767786809553581,0.0017617784999008476,-0.006746979954332456,-0.0022769903674695457,-0.00711121520134874,-0.006263312936764262,-0.007759047601282339,-0.009774587467540239,-0.008490487967148012,-0.012447250348496693,-0.009054474096584149,-0.014013258705286654,-0.009202394760109077,-0.014320618714311223,-0.0087351573125197,-0.013341121457577295,-0.007536676852090175,-0.01116938170095359,-0.005592285210099534,-0.008014603247764924,-0.0029922502358060007,-0.004184834674200958,1.8652735822821196e-05,-1.5615857362430626e-05
