时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,10.878599936693256,171343096.63246566,36561.339893399985,1728.9103500842962,1.94002258181902,0.21300450033801616,0.13232347696452174,0.011254295922392864,2.000696838525806,629.8372678489709,3.9506095054661605,3.105923759372665,214.62927517213927,0.1428343274581767,1.649575208221533,806.8407256979947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,10.878599936693256,171343096.63246566,36561.339893399985,1728.9103500842962,1.94002258181902,0.21300450033801616,0.13232347696452174,0.011254295922392864,2.000696838525806,629.8372678489709,3.9506095054661605,3.105923759372665,214.62927517213927,0.1428343274581767,1.649575208221533,806.8407256979947,0.6378203184748,-9.343897556808502e-07,-5.014080959395726e-07,6.886001506119473e-07,-6.738754294211656e-06,4.1678555071647056e-06,-1.6643785678847214e-05,7.947126223129429e-06,-2.8753536665790103e-05,1.1371134923350602e-05,-4.1415359215963475e-05,1.4020809959531653e-05,-5.30979737978602e-05,1.5724469488997274e-05,-6.253716224003249e-05,1.6530927354106774e-05,-6.885175855817169e-05,1.665475172814257e-05,-7.16060404242489e-05,1.6403877685307918e-05,-7.08112151028266e-05,1.610258135054141e-05,-6.686807610683371e-05,1.602361148571044e-05,-6.046232518477003e-05,1.6341712885264033e-05,-5.243126746675339e-05,1.7116226375797187e-05,-4.3625387821162835e-05,1.8303199117477956e-05,-3.478940888489117e-05,1.9789123421964638e-05,-2.6484184374033503e-05,2.1431665588010348e-05,-1.9063110068070764e-05,2.3090087996473427e-05,-1.2706624961010365e-05,2.463069020605107e-05,-7.506391911675012e-06,2.5904831241480712e-05,-3.5856769683169357e-06,2.602235740983025e-05,-9.804998466182795e-07
3,10.878599936693256,171343096.63246566,36561.339893399985,1728.9103500842962,1.94002258181902,0.21300450033801616,0.13232347696452174,0.011254295922392864,2.000696838525806,629.8372678489709,3.9506095054661605,3.105923759372665,214.62927517213927,0.1428343274581767,1.649575208221533,806.8407256979947,3.679113574112999,-5.40742103058278e-06,-2.8919442930084308e-06,4.137156974269596e-06,-3.93766066530964e-05,2.465953111229687e-05,-9.782396879011386e-05,4.709870575251147e-05,-0.0001697719777170517,6.75166216249341e-05,-0.00024532655298828096,8.33420531878019e-05,-0.0003151206265067749,9.349069636868077e-05,-0.0003713137670208854,9.823129696359983e-05,-0.00040839184008471796,9.886292897490232e-05,-0.00042361516216110384,9.7270129353326e-05,-0.0004170666186676747,9.544008540994547e-05,-0.0003913121834325225,9.503159472836246e-05,-0.0003507466268179224,9.707666486616656e-05,-0.00030074377120048413,0.00010186766882817431,-0.0002467618524631737,0.00010903707630303792,-0.0001935622144133241,0.00011778308260504911,-0.00014467933376629625,0.0001271499162456535,-0.0001022313847760576,0.00013625307554831814,-6.709540806704646e-05,0.000144355551262302,-3.9394367205414556e-05,0.00015077653965964443,-1.920675673978805e-05,0.00015073433879408333,-5.8512166865354194e-06
4,10.878599936693256,171343096.63246566,36561.339893399985,1728.9103500842962,1.94002258181902,0.21300450033801616,0.13232347696452174,0.011254295922392864,2.000696838525806,629.8372678489709,3.9506095054661605,3.105923759372665,214.62927517213927,0.1428343274581767,1.649575208221533,806.8407256979947,6.27430432160171,-9.248462825064417e-06,-4.93075026583506e-06,7.4030510373843815e-06,-6.815290775006718e-05,4.3240117827844066e-05,-0.00017023268008767802,8.264373519057047e-05,-0.0002966345188606513,0.00011862353833233294,-0.00042984411175846823,0.00014653553477064106,-0.0005529655101951821,0.00016437646196243194,-0.0006516893269783004,0.0001725896154113233,-0.0007158783432077861,0.00017350184256085984,-0.0007404845509373281,0.00017051774511845017,-0.0007257009258230665,0.0001672296455300512,-0.0006763678565645521,0.00016661355929464022,-0.0006007683725584373,0.00017046724803644966,-0.0005090351224955624,0.0001791962734233402,-0.000411452225748589,0.0001919686505800558,-0.0003169513780816637,0.00020715658745754342,-0.00023206519689711146,0.00022289715116794695,-0.00016051008775956905,0.00023756543605714966,-0.00010344801544415847,0.0002499811629577095,-6.03321928937949e-05,0.0002593063939555983,-3.016631693681914e-05,0.00025799888016961135,-1.0269982542888316e-05
5,10.878599936693256,171343096.63246566,36561.339893399985,1728.9103500842962,1.94002258181902,0.21300450033801616,0.13232347696452174,0.011254295922392864,2.000696838525806,629.8372678489709,3.9506095054661605,3.105923759372665,214.62927517213927,0.1428343274581767,1.649575208221533,806.8407256979947,8.777601746326164,-1.2976121655411777e-05,-6.89525501952342e-06,1.1015644828870423e-05,-9.716253787400325e-05,6.259290783820745e-05,-0.0002440726704083062,0.0001196008043953267,-0.0004270139780530956,0.00017181441723117415,-0.000620416899289527,0.0002123303335967778,-0.0007991592180637796,0.0002381119966129597,-0.0009417262496646752,0.0002497679227141079,-0.0010327789352474392,0.000250741969036307,-0.0010646808369306204,0.00024610997132814725,-0.0010378225596686468,0.00024122727406056455,-0.0009597667332112744,0.0002404924236724317,-0.0008434156667146845,0.00024647498457430083,-0.0007045443360963449,0.0002595820552394357,-0.0005591379563977735,0.00027830737308200945,-0.00042100258352503376,0.000299946112788328,-0.00030006417246575,0.00032151839261912506,-0.00020163297469815762,0.00034057855709479273,-0.00012671899797116968,0.0003556252062038413,-7.325993664538279e-05,0.00036603126432548945,-3.7995933748452105e-05,0.0003622310269751764,-1.4770823711543548e-05
6,10.878599936693256,171343096.63246566,36561.339893399985,1728.9103500842962,1.94002258181902,0.21300450033801616,0.13232347696452174,0.011254295922392864,2.000696838525806,629.8372678489709,3.9506095054661605,3.105923759372665,214.62927517213927,0.1428343274581767,1.649575208221533,806.8407256979947,11.025203644116079,-1.6343597005745755e-05,-8.655876461789079e-06,1.4867250107934775e-05,-0.00012480138951449026,8.174061141794791e-05,-0.00031523772359917293,0.00015598300149768926,-0.0005535440398817948,0.00022413835516318041,-0.0008060946955348366,0.0002769968559390222,-0.001039308800357033,0.00031044651323382775,-0.0012241503328971847,0.0003252542862325752,-0.0013398178417388998,0.0003260156778566027,-0.0013759887132096282,0.0003195392733514737,-0.0013333757883487105,0.00031300228301035945,-0.0012226160861157792,0.00031224600882793,-0.0010617633304565955,0.00032056315638880685,-0.0008728559608185459,0.00033823351235568426,-0.0006781720325564352,0.0003628850673929481,-0.0004968293971139348,0.0003905300717543878,-0.0003423212961154392,0.0004169216620293375,-0.00022138808513653662,0.0004387748186158231,-0.00013435884177785137,0.00045444149130682577,-7.678319726687918e-05,0.0004639045461936165,-4.1983292892826835e-05,0.0004564828742389352,-1.9020648429189108e-05
7,10.878599936693256,171343096.63246566,36561.339893399985,1728.9103500842962,1.94002258181902,0.21300450033801616,0.13232347696452174,0.011254295922392864,2.000696838525806,629.8372678489709,3.9506095054661605,3.105923759372665,214.62927517213927,0.1428343274581767,1.649575208221533,806.8407256979947,12.635916271015612,-1.8769933345339258e-05,-9.914566733017217e-06,1.815468752238582e-05,-0.00014596179877324298,9.694006618188098e-05,-0.0003702540683728894,0.00018466102047462278,-0.0006518597825525888,0.00026529170570018174,-0.0009507180766803974,0.0003277640758718866,-0.0012263616393621665,0.0003670931669298546,-0.0014435735653709734,0.0003841767991874858,-0.001577056975106916,0.00038455593273474916,-0.0016143178936262024,0.0003764614057328314,-0.0015564432808144435,0.0003685586928539233,-0.0014167860435279516,0.0003678471236476779,-0.0012178846910550576,0.0003781562417082669,-0.0009871980872118843,0.0003995705222410647,-0.0007524148680609768,0.0004288932932656718,-0.000537162156637252,0.00046097389291308217,-0.0003578592637341022,0.0004904594870807455,-0.00022223009264314656,0.0005133959543016874,-0.00012965518260367857,0.0005281529413900086,-7.31529222157592e-05,0.0005354816464415478,-4.252975411212543e-05,0.0005244294905020028,-2.2193252611074002e-05
8,10.878599936693256,171343096.63246566,36561.339893399985,1728.9103500842962,1.94002258181902,0.21300450033801616,0.13232347696452174,0.011254295922392864,2.000696838525806,629.8372678489709,3.9506095054661605,3.105923759372665,214.62927517213927,0.1428343274581767,1.649575208221533,806.8407256979947,13.855526608978366,-2.0615052197896218e-05,-1.0865170881600862e-05,2.1051289454086648e-05,-0.00016301787777831843,0.00010956259229212177,-0.0004149210191793991,0.00020830726707572885,-0.0007319372365866241,0.00029913108959306436,-0.001068644706280554,0.0003694175825444818,-0.0013787748383139156,0.0004134545808070071,-0.0016218791522319947,0.0004322568067177358,-0.0017688612934284456,0.00043216972525507484,-0.0018054280347796253,0.0004226302732733038,-0.0017330707904178193,0.0004135597897289727,-0.001567579510460643,0.0004129207118029428,-0.001335463172524099,0.00042495978315309054,-0.0010689512072380514,0.00044953707009872247,-0.0008004653662206851,0.00048268458305241737,-0.0005575342652115293,0.0005181983173339297,-0.0003590361998046764,0.0005497506167294781,-0.00021338727904545823,0.0005728390123772623,-0.00011890082015395636,0.0005859409373236584,-6.608296056489224e-05,0.0005906278075646234,-4.132458043126696e-05,0.0005761087692736654,-2.4669149929540646e-05
9,10.878599936693256,171343096.63246566,36561.339893399985,1728.9103500842962,1.94002258181902,0.21300450033801616,0.13232347696452174,0.011254295922392864,2.000696838525806,629.8372678489709,3.9506095054661605,3.105923759372665,214.62927517213927,0.1428343274581767,1.649575208221533,806.8407256979947,15.073542687511623,-2.246524525966317e-05,-1.181161601153384e-05,2.4411819161132556e-05,-0.00018122994616544784,0.00012342581585684148,-0.0004629142239890164,0.00023407749749743218,-0.0008181749028709552,0.0003358879868487171,-0.0011956920653642884,0.00041454557609946175,-0.0015427678391459292,0.00046354604892274813,-0.0018131425960095995,0.0004840449341449387,-0.0019735140788840733,0.0004832895959672593,-0.002007643185059894,0.00047206166472775024,-0.0019175740182702738,0.00046167514312997693,-0.0017219559148695305,0.0004611457924251297,-0.0014518927267487447,0.00047514653281062697,-0.0011450999159058875,0.0005032287208346889,-0.000839407934794448,0.0005404942531074507,-0.0005667552976383297,0.0005795011276855207,-0.0003487208656091186,0.0006128028872828701,-0.00019433510109289657,0.0006353098244240692,-0.00010045116476108745,0.0006457146560252586,-5.441446769658949e-05,0.000646667218677155,-3.839787122439007e-05,0.0006279270253687134,-2.720840260630609e-05
10,10.878599936693256,171343096.63246566,36561.339893399985,1728.9103500842962,1.94002258181902,0.21300450033801616,0.13232347696452174,0.011254295922392864,2.000696838525806,629.8372678489709,3.9506095054661605,3.105923759372665,214.62927517213927,0.1428343274581767,1.649575208221533,806.8407256979947,16.445646717315597,-2.4559317692717687e-05,-1.287309744380826e-05,2.8933174324981742e-05,-0.00020358956108246928,0.00014099315557736483,-0.0005222164970691426,0.0002664172186445174,-0.0009249225846229905,0.0003818080116495766,-0.0013529070453211739,0.00047072753447595134,-0.0017452778457360465,0.0005256891427741816,-0.0020483671366566406,0.0005480495454743452,-0.0022235440886096253,0.000546222601939366,-0.0022521826813138887,0.0005327145393073619,-0.002137197711341311,0.0005206134328372128,-0.0019011149828491393,0.0005202558072839084,-0.0015811655029320513,0.0005368062972220177,-0.0012223225282573763,0.0005693399762453283,-0.0008695165162392988,0.000611671377750044,-0.0005603998276235565,0.0006546875739361096,-0.0003199319198603898,0.000689469669622907,-0.00015769228309371353,0.0007102148465713026,-6.827850326164864e-05,0.0007160262884939233,-3.4494745475299694e-05,0.0007111568625734406,-3.2571997493043693e-05,0.000686554260795812,-3.015186189068078e-05
