时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,2.8069190836297895,64033672.48858997,15019.929984316666,417.6492234884334,2.686056064307616,0.2250539637692435,0.06614195059123122,0.008819003896849333,2.735524786753534,1071.12219949658,2.735837817446974,4.024826497917612,78.29504022693652,2.735837817446974,4.024826497917612,78.29504022693652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.8069190836297895,64033672.48858997,15019.929984316666,417.6492234884334,2.686056064307616,0.2250539637692435,0.06614195059123122,0.008819003896849333,2.735524786753534,1071.12219949658,2.735837817446974,4.024826497917612,78.29504022693652,2.735837817446974,4.024826497917612,78.29504022693652,1.757148354003688,-2.3092767851435014e-06,-5.152933075093667e-07,1.316954022706658e-07,-1.0630815083350257e-05,4.886957601438017e-06,-2.8672888842862108e-05,1.005633800272055e-05,-5.0767498609976295e-05,1.4390762522891366e-05,-7.233044756501048e-05,1.712561977269633e-05,-8.896274185433758e-05,1.8058506710979713e-05,-9.721908610395772e-05,1.7495109933652267e-05,-9.519603266718516e-05,1.608727695804643e-05,-8.283442289826135e-05,1.4605973745126957e-05,-6.188808252246571e-05,1.3701216244118504e-05,-3.556852366153974e-05,1.3706116749654475e-05,-7.932095840100013e-06,1.4537535202871635e-05,1.6878808623581323e-05,1.5726539864706682e-05,3.5400996530980436e-05,1.6577735956105256e-05,4.5478904116990734e-05,1.6415664002038433e-05,4.663639795489951e-05,1.4843630729264363e-05,4.012064283484387e-05,1.1929775017117057e-05,2.8609680096070013e-05,8.25488379167898e-06,1.5642021956624128e-05,4.795052959822361e-06,4.876430552526575e-06,2.305197796014039e-06,-5.217572179859147e-07
3,2.8069190836297895,64033672.48858997,15019.929984316666,417.6492234884334,2.686056064307616,0.2250539637692435,0.06614195059123122,0.008819003896849333,2.735524786753534,1071.12219949658,2.735837817446974,4.024826497917612,78.29504022693652,2.735837817446974,4.024826497917612,78.29504022693652,3.8178881640008218,-5.020868635782757e-06,-1.1188935820131928e-06,1.0187115066159159e-06,-2.543817973440765e-05,1.2605322832758953e-05,-6.912022812167943e-05,2.522169782559845e-05,-0.00012274965607819228,3.581243519085147e-05,-0.0001750924496483634,4.249653923513583e-05,-0.00021530457369092626,4.47693829448303e-05,-0.00023486378710184212,4.3376344026958586e-05,-0.00022905131572123193,3.991901267201715e-05,-0.00019772033295580626,3.629797977227977e-05,-0.0001452306417027076,3.4119166087422966e-05,-7.957337739510031e-05,3.420466685102377e-05,-1.0850326938438705e-05,3.634029488909396e-05,5.061489253398025e-05,3.934620792309837e-05,9.618644791213282e-05,4.147213882060542e-05,0.00012048900717638872,4.101495558518155e-05,0.00012234363868903814,3.697156884405959e-05,0.00010488790335750211,2.9512077834242315e-05,7.485898935937311e-05,2.010716562703787e-05,4.118503917104071e-05,1.124300799105309e-05,1.3154831716307033e-05,5.010717503154105e-06,-1.135051921113174e-06
4,2.8069190836297895,64033672.48858997,15019.929984316666,417.6492234884334,2.686056064307616,0.2250539637692435,0.06614195059123122,0.008819003896849333,2.735524786753534,1071.12219949658,2.735837817446974,4.024826497917612,78.29504022693652,2.735837817446974,4.024826497917612,78.29504022693652,6.006993608572715,-7.905939441112595e-06,-1.7586064039781352e-06,3.289896958765854e-06,-4.5411255230983825e-05,2.4390299750673805e-05,-0.00012441018024457261,4.7395336718288535e-05,-0.00022163541292471713,6.672451953805928e-05,-0.000316507183420897,7.892488864430519e-05,-0.00038904477361182885,8.305805541336363e-05,-0.00042349280961509136,8.047991731962597e-05,-0.00041111059842851677,7.412785762323247e-05,-0.0003516321319125595,6.750239651599493e-05,-0.00025316927663675677,6.357167826320166e-05,-0.00013060070641798398,6.38572484747416e-05,-2.7504768887608217e-06,6.795078293420598e-05,0.00011112948904523749,7.363220467906148e-05,0.0001949262799420085,7.76020112249581e-05,0.00023861341046757718,7.664171841820676e-05,0.00024001566217054862,6.885051851462591e-05,0.00020505369117880773,5.454876778074946e-05,0.00014642746724527546,3.653069297707135e-05,8.100859307811268e-05,1.9541518661754433e-05,2.6446246368387284e-05,7.887039358597242e-06,-1.7888338742618765e-06
5,2.8069190836297895,64033672.48858997,15019.929984316666,417.6492234884334,2.686056064307616,0.2250539637692435,0.06614195059123122,0.008819003896849333,2.735524786753534,1071.12219949658,2.735837817446974,4.024826497917612,78.29504022693652,2.735837817446974,4.024826497917612,78.29504022693652,8.373917013131393,-1.1032182961235548e-05,-2.4470308868198322e-06,8.395937553697902e-06,-7.547632820695365e-05,4.425042597643969e-05,-0.00020871518203964388,8.336881907768826e-05,-0.000373071710126551,0.00011625687726606871,-0.0005333550591748036,0.00013701642426978383,-0.0006552088291419112,0.00014402328859201982,-0.0007114561124131943,0.00013956824973909,-0.0006869968668122244,0.0001286627988758831,-0.0005813957576367132,0.00011731567418722971,-0.0004087587489729505,0.00011065358095884501,-0.00019496773820364165,0.00011132270218102105,2.7205440034465674e-05,0.0001186133568967886,0.00022421745537594564,0.00012862939214511855,0.0003679808148730796,0.00013555119325728515,0.0004410301954626882,0.00013367973621624733,0.00043963620846595894,0.00011963835948915089,0.0003742676492236561,9.399477794935794e-05,0.0002673267303602508,6.172715259464825e-05,0.00014862741071369133,3.1314340055280245e-05,4.949928912800954e-05,1.099931311500553e-05,-2.4998691766549254e-06
6,2.8069190836297895,64033672.48858997,15019.929984316666,417.6492234884334,2.686056064307616,0.2250539637692435,0.06614195059123122,0.008819003896849333,2.735524786753534,1071.12219949658,2.735837817446974,4.024826497917612,78.29504022693652,2.735837817446974,4.024826497917612,78.29504022693652,11.094769257816653,-1.4640186148804222e-05,-3.2290093267355665e-06,2.1423046883412193e-05,-0.00013297543394868758,8.622181972678313e-05,-0.0003719334160203471,0.00015690030829010532,-0.0006673862851104978,0.0002163431272458726,-0.000955257323882534,0.0002538954308769532,-0.001172650447581825,0.00026656922417097034,-0.0012696600513817675,0.00025841562986398916,-0.0012185199672278416,0.0002384441082013522,-0.0010184854642183532,0.00021758570266417417,-0.0006956943929994974,0.0002053005580740735,-0.00029812517586437037,0.0002065857795772415,0.00011340449883071954,0.0002202277375896431,0.00047657571792199515,0.00023898296871546879,0.0007391695318371931,0.00025187318611605774,0.0008687444901646938,0.0002480538066538587,0.0008585133140872792,0.00022105747001562926,0.0007282709130651489,0.00017195065987786413,0.0005202224595791908,0.00011025043223523543,0.00029059287497712244,5.218304727944154e-05,9.867407904602996e-05,1.4579265303179078e-05,-3.327514178538033e-06
7,2.8069190836297895,64033672.48858997,15019.929984316666,417.6492234884334,2.686056064307616,0.2250539637692435,0.06614195059123122,0.008819003896849333,2.735524786753534,1071.12219949658,2.735837817446974,4.024826497917612,78.29504022693652,2.735837817446974,4.024826497917612,78.29504022693652,12.742141124716289,-1.6840458190342917e-05,-3.6905667643354526e-06,3.80435337553713e-05,-0.00019592131117998965,0.00013491744465669587,-0.0005521003328510456,0.0002404938085263374,-0.00099318821173538,0.00032932375523493234,-0.0014229035239150453,0.0003855723639854581,-0.0017464475657824887,0.00040471168307064224,-0.0018884533993391618,0.00039258898397294894,-0.0018069149438375534,0.0003624630761517216,-0.00150066006066448,0.0003306481084680741,-0.0010092255267784437,0.00031151690141474636,-0.0004053056448027753,0.0003129143953182623,0.0002188235625511898,0.00033329517569233346,0.0007684830223039184,0.0003617662956476352,0.0011642487395707207,0.00038147517843459944,0.0013567518434499583,0.0003755888891580526,0.0013357162337054656,0.0003339757679156813,0.0011314372433483763,0.0002582137032591747,0.0008084592396760534,0.00016303787169246657,0.00045281598619468556,7.357676942026553e-05,0.00015538430893180497,1.6748079904396813e-05,-3.840471492492894e-06
8,2.8069190836297895,64033672.48858997,15019.929984316666,417.6492234884334,2.686056064307616,0.2250539637692435,0.06614195059123122,0.008819003896849333,2.735524786753534,1071.12219949658,2.735837817446974,4.024826497917612,78.29504022693652,2.735837817446974,4.024826497917612,78.29504022693652,13.743119497382033,-1.8191583842159503e-05,-3.960517361735944e-06,5.568596417566228e-05,-0.0002586379555154366,0.00018457300283329517,-0.0007324565515960007,0.00032492888681175873,-0.0013200591670911527,0.0004431083148007111,-0.0018928844391319223,0.0005182015557110314,-0.00232406551941443,0.0005441014722929782,-0.0025125614852146397,0.0005282592140319465,-0.0024019006060346537,0.00048794872319535835,-0.0019902732271281976,0.0004447487790461248,-0.0013304528495293913,0.0004180375460022952,-0.0005197745017759795,0.00041877506793926465,0.0003179811336488353,0.00044537573752831866,0.0010556004966779504,0.00048344459460125113,0.0015861909842639175,0.0005101809354960945,0.0018431787261806427,0.000502531058348121,0.0018125830799195929,0.0004464646841225026,0.0015350855577192068,0.0003439775752271157,0.0010975531899662617,0.00021510504288018006,0.0006158875948824472,9.404820836930509e-05,0.00021267395983146775,1.8067666153856705e-05,-4.162049959556906e-06
9,2.8069190836297895,64033672.48858997,15019.929984316666,417.6492234884334,2.686056064307616,0.2250539637692435,0.06614195059123122,0.008819003896849333,2.735524786753534,1071.12219949658,2.735837817446974,4.024826497917612,78.29504022693652,2.735837817446974,4.024826497917612,78.29504022693652,14.410058592788584,-1.910510672260879e-05,-4.131371326172732e-06,7.383078455907313e-05,-0.00032130714294099374,0.00023462643211286425,-0.0009132677358031188,0.0004096167583073437,-0.001648446412884697,0.0005571066073677287,-0.002365995378144171,0.0006512200507263633,-0.0029068586258821603,0.0006842270268689162,-0.0031441169015691025,0.00066497676831859,-0.0030065725431678535,0.0006145033174474364,-0.0024914907944945156,0.0005595098095419669,-0.0016646058953246915,0.0005244593058832444,-0.0006476821573008582,0.0005236987429128578,0.00040408598958784346,0.0005559191030755018,0.0013308875265339165,0.0006034106651361263,0.0019981577085289464,0.0006373913168267459,0.0023218325727405037,0.000628379519279437,0.0022839335627736347,0.0005582107311091375,0.0019352770666852715,0.00042917457676183794,0.0013848610728378278,0.00026663629453771377,0.0007783301296272446,0.00011398034312707465,0.00026994229858154297,1.894967998344875e-05,-4.384537693141945e-06
10,2.8069190836297895,64033672.48858997,15019.929984316666,417.6492234884334,2.686056064307616,0.2250539637692435,0.06614195059123122,0.008819003896849333,2.735524786753534,1071.12219949658,2.735837817446974,4.024826497917612,78.29504022693652,2.735837817446974,4.024826497917612,78.29504022693652,14.882840442215391,-1.976553674428488e-05,-4.244588064824676e-06,9.224103523382912e-05,-0.00038399755390347085,0.00028481680687492215,-0.0010946274872652504,0.0004942796348390245,-0.0019785250797863087,0.0006710353002095943,-0.0028425853310799967,0.0007843531400900084,-0.0034954587816992586,0.0008248371316193527,-0.00378413767063795,0.0008025248259058826,-0.003622410538901107,0.0007419453332978582,-0.0030062846645918066,0.0006747722488276326,-0.002014121687210753,0.0006306221169921107,-0.000791841306033372,0.0006274994221221418,0.0004740970621390969,0.000664700728508071,0.001591263062102582,0.000721411023106048,0.002397229710432733,0.0007628563544890281,0.0027901388364417,0.0007529330607215615,0.0027476723745374354,0.0006691029356709654,0.0023304622257948873,0.0005138059718977677,0.001669369950985342,0.0003177394709363186,0.0009395881059261986,0.00013355664043326442,0.0003269611773651332,1.9578675107596946e-05,-4.549306003388964e-06
