时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.4351321707473131,11530781.77043504,-227.52480626180704,13.545460590088659,1.692908620988373,0.152587963639659,0.016327061170982662,0.0037282466382949297,1.7289002516860097,1595.153295385407,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.4351321707473131,11530781.77043504,-227.52480626180704,13.545460590088659,1.692908620988373,0.152587963639659,0.016327061170982662,0.0037282466382949297,1.7289002516860097,1595.153295385407,10.0,10.0,0.0,10.0,10.0,0.0,1.7984386656473372,-1.703294138105279e-07,-6.14792018486746e-08,-1.0225287014539849e-05,2.836779579524088e-05,-1.8397941615218543e-05,5.40772629576449e-05,-2.413976487542019e-05,7.439449300475505e-05,-2.7324729106729786e-05,8.717887653386516e-05,-2.8228248732927384e-05,9.104266892920428e-05,-2.743968309813406e-05,8.54960896647625e-05,-2.5728708487583977e-05,7.100084863356116e-05,-2.3891154132327902e-05,4.892702328744414e-05,-2.2600490368540756e-05,2.1416673199136335e-05,-2.2288864532253225e-05,-8.83101455350269e-06,-2.3075213153137314e-05,-3.883053332550375e-05,-2.4749478708776117e-05,-6.56087425531309e-05,-2.681282699758795e-05,-8.650131943476925e-05,-2.8565620556344678e-05,-9.9417911546179e-05,-2.9228873924366144e-05,-0.00010305072113976853,-2.8081440838057564e-05,-9.700675857421249e-05,-2.4594312805596704e-05,-8.18514773709462e-05,-1.8544567782980873e-05,-5.905785873704992e-05,-1.0094799142970858e-05,-3.086551533974283e-05,1.7034056452354155e-07,-6.144506174289424e-08
3,0.4351321707473131,11530781.77043504,-227.52480626180704,13.545460590088659,1.692908620988373,0.152587963639659,0.016327061170982662,0.0037282466382949297,1.7289002516860097,1595.153295385407,10.0,10.0,0.0,10.0,10.0,0.0,4.095193848505285,-3.8789944905562903e-07,-1.400111900534824e-07,-2.7609035223114338e-05,7.685938325282854e-05,-4.974928656646042e-05,0.00014654202165688177,-6.530655335244243e-05,0.00020166556160525025,-7.393241894440511e-05,0.00023642311553133052,-7.637243641483636e-05,0.00024704388177337736,-7.422668316665395e-05,0.0002321884789796304,-6.958486957446589e-05,0.00019309597333720983,-6.460583817554971e-05,0.00013346787480145614,-6.111345937132614e-05,5.909859955626206e-05,-6.0274318158323633e-05,-2.2707390961302647e-05,-6.240471733949392e-05,-0.00010387017852165706,-6.693078223508828e-05,-0.00017634410674603366,-7.250026121701338e-05,-0.00023292068867877922,-7.72225188235081e-05,-0.00026794590567864147,-7.89972578559587e-05,-0.00027788361164245943,-7.588374613398456e-05,-0.00026167186091558854,-6.646058161020601e-05,-0.0002208389694194662,-5.012961876276877e-05,-0.0001593637790194878,-2.7326151452078884e-05,-8.329197843884091e-05,3.879295427848692e-07,-1.3990005715720055e-07
4,0.4351321707473131,11530781.77043504,-227.52480626180704,13.545460590088659,1.692908620988373,0.152587963639659,0.016327061170982662,0.0037282466382949297,1.7289002516860097,1595.153295385407,10.0,10.0,0.0,10.0,10.0,0.0,6.596035028611276,-6.248888684791604e-07,-2.2555867532593333e-07,-5.578506131965089e-05,0.000155743468069977,-0.00010067988858412915,0.0002969951062920478,-0.00013222311989090157,0.00040883981774855814,-0.00014969251717625114,0.0004794836644181505,-0.00015460342467511824,0.0005012523015471283,-0.0001502161686052783,0.000471399853249952,-0.0001407865639668397,0.00039241321496263015,-0.000130703565444359,0.00027177925947814165,-0.00012366373663989062,0.00012123484843118207,-0.00012201743757427574,-4.441815558122541e-05,-0.00012638323121210343,-0.0002088060598333739,-0.00013557651714888455,-0.0003556276470063705,-0.0001468458394785711,-0.00047028237210841996,-0.0001563653972050875,-0.000541322600637622,-0.00015990119200421418,-0.000561592096504117,-0.00015355267433455247,-0.0005289440700127288,-0.0001344703244085228,-0.000446471943084919,-0.00010145839609246257,-0.0003222225621099314,-5.5388311526692645e-05,-0.0001684145776424119,6.249496504851315e-07,-2.2529223454324856e-07
5,0.4351321707473131,11530781.77043504,-227.52480626180704,13.545460590088659,1.692908620988373,0.152587963639659,0.016327061170982662,0.0037282466382949297,1.7289002516860097,1595.153295385407,10.0,10.0,0.0,10.0,10.0,0.0,9.669092067520728,-9.163962879667788e-07,-3.307934306537781e-07,-0.00011918401591655164,0.00033302609056803635,-0.0002154998366829846,0.0006351426305700353,-0.0002831035918643902,0.000874498573075775,-0.00032040525981168807,0.001025732890011424,-0.0003307008249534476,0.001072295409951862,-0.0003210835461751247,0.001008212601809228,-0.0003007884662004568,0.0008387649360970795,-0.0002792942767614141,0.0005799957775520818,-0.0002645220157316704,0.00025709591759654095,-0.00026143139319046886,-9.815570359020367e-05,-0.00027122215131805406,-0.00045061416829328995,-0.0002912281358998302,-0.0007653088969773513,-0.0003154719649118409,-0.0010109390998570415,-0.0003357515735468294,-0.0011629820781088392,-0.00034306964946329986,-0.0012061227999850502,-0.00032919429387128266,-0.0011357812563709206,-0.00028814677575279466,-0.0009585967171815737,-0.00021743834893867375,-0.0006918068537420706,-0.00011891087792310867,-0.0003615652864948641,9.165261380656167e-07,-3.301133536461523e-07
6,0.4351321707473131,11530781.77043504,-227.52480626180704,13.545460590088659,1.692908620988373,0.152587963639659,0.016327061170982662,0.0037282466382949297,1.7289002516860097,1595.153295385407,10.0,10.0,0.0,10.0,10.0,0.0,11.520068880427365,-1.0925107905673985e-06,-3.94330530192862e-07,-0.0001964271524767694,0.000547199062418673,-0.00035550483571853005,0.0010435419241841073,-0.00046694737584154544,0.001436563269230395,-0.0005280947223117367,0.0016842979598734632,-0.0005445215665850524,0.001759309412084312,-0.000528174880622584,0.001651657358851501,-0.0004945406291138078,0.001370055080154288,-0.0004594097203362621,0.0009410669049677403,-0.00043584166535257665,0.0004064201633020173,-0.00043184576879752,-0.00018125995486424764,-0.0004491223082597662,-0.0007638112150488599,-0.00048298536544191583,-0.001283406778384367,-0.0005233773034547778,-0.0016883333405336163,-0.0005567254782933178,-0.001938113003687335,-0.0005683058723299133,-0.0020074967900264194,-0.0005447628222303634,-0.001888971219307641,-0.0004764681982407975,-0.0015935500900616767,-0.00035946092223128226,-0.0011497505029514105,-0.0001967601604711368,-0.0006008154364683137,1.0927248469998644e-06,-3.930984111894767e-07
7,0.4351321707473131,11530781.77043504,-227.52480626180704,13.545460590088659,1.692908620988373,0.152587963639659,0.016327061170982662,0.0037282466382949297,1.7289002516860097,1595.153295385407,10.0,10.0,0.0,10.0,10.0,0.0,12.560789538267283,-1.1921777137703059e-06,-4.301848584988442e-07,-0.00027359159323684734,0.0007586038186234342,-0.0004953520487014011,0.0014464578147803681,-0.0006503547407738942,0.001990510463899195,-0.0007348760272293609,0.0023321683717284314,-0.0007568992350681237,0.0024330857774274074,-0.00073342649645119,0.002279365840529675,-0.0006863871889488821,0.001883218642230594,-0.0006379891685156731,0.0012818466174152347,-0.0006064005204010623,0.0005336625068616309,-0.0006025185299504107,-0.0002877139835372074,-0.0006283020994617077,-0.0011009850653073095,-0.0006768037119834229,-0.0018253955859660095,-0.000733723036096856,-0.0023887940183333644,-0.0007800830021208537,-0.002734757038475449,-0.0007955291392865902,-0.0028281339205994543,-0.0007617623043516663,-0.0026585250373297948,-0.0006656931632921798,-0.0022413827395914745,-0.0005020069362733207,-0.001616592777286872,-0.00027489907931573654,-0.0008446100360201185,1.192475986584225e-06,-4.283801882631783e-07
8,0.4351321707473131,11530781.77043504,-227.52480626180704,13.545460590088659,1.692908620988373,0.152587963639659,0.016327061170982662,0.0037282466382949297,1.7289002516860097,1595.153295385407,10.0,10.0,0.0,10.0,10.0,0.0,13.220937289738604,-1.2561041870642752e-06,-4.5303506889666525e-07,-0.0003503461614941422,0.0009662402081849543,-0.0006343902835929886,0.0018419517626483734,-0.0008324372060079967,0.002533597050652778,-0.0009397193326114931,0.0029660079205228113,-0.0009667547497814251,0.003089965923891118,-0.0009357838679071203,0.0028876613972141675,-0.0008753436815829024,0.0023748682550426797,-0.0008141316420300313,0.001599515032802682,-0.0007753653612152646,0.0006367894239491813,-0.0007726482373136204,-0.0004186293758573795,-0.0008079484599661382,-0.0014622871725163066,-0.0008718214927563936,-0.0023905279017393775,-0.000945580176479581,-0.003110825759587861,-0.0010048351232008856,-0.003550891940749797,-0.0010237258725779642,-0.003665750576379367,-0.0009792151375263083,-0.0034421790009351973,-0.0008549579830572811,-0.0029001194562411963,-0.0006444113613904837,-0.0020908767759779145,-0.00035294145500308025,-0.0010921802151376105,1.25648633994691e-06,-4.5065070497314063e-07
9,0.4351321707473131,11530781.77043504,-227.52480626180704,13.545460590088659,1.692908620988373,0.152587963639659,0.016327061170982662,0.0037282466382949297,1.7289002516860097,1595.153295385407,10.0,10.0,0.0,10.0,10.0,0.0,13.672109753093025,-1.3005492408199755e-06,-4.687432776860882e-07,-0.0004265578962391789,0.001169803593875298,-0.000772356008716386,0.0022294288113730316,-0.0010128330590343675,0.0030649716981980333,-0.0011422038377566996,0.003584766869231661,-0.0011736467882502246,0.003728779480466469,-0.0011348166386633135,0.003475344014575898,-0.0010610102955930134,0.002843869805778442,-0.000987473384230752,0.0018930938205599936,-0.0009424009237514471,0.0007150519794242483,-0.0009419115069576074,-0.0005744774490177323,-0.000987730248932098,-0.0018478940240071343,-0.001067683644549854,-0.0029787001224312673,-0.0011585623735797612,-0.0038540879651270126,-0.0012305686868035318,-0.00438600479901255,-0.0012524728029623547,-0.004519739606720183,-0.001196714758217399,-0.004239314879151585,-0.0010439058946584315,-0.0035692112707917745,-0.0007864018226265331,-0.0025721928484406698,-0.0004307306393247386,-0.0013433086519816111,1.3010147956402848e-06,-4.6577748069995303e-07
10,0.4351321707473131,11530781.77043504,-227.52480626180704,13.545460590088659,1.692908620988373,0.152587963639659,0.016327061170982662,0.0037282466382949297,1.7289002516860097,1595.153295385407,10.0,10.0,0.0,10.0,10.0,0.0,13.99615888263464,-1.3332677381204327e-06,-4.801056180292887e-07,-0.0005021364131712857,0.0013691666056660876,-0.0009090733221545214,0.0026086394017789923,-0.0011913033144629389,0.003584276623627285,-0.0013420545538416159,0.0041880044084331965,-0.0013772905564903824,0.004349037491493952,-0.0013302506042827894,0.00404191852041179,-0.0012431346042613538,0.0032897669482610655,-0.0011577845470183438,0.0021622084099024905,-0.0011072917377961632,0.0007681923561605749,-0.0011100936572317613,-0.0007553774656554991,-0.0011674194692743519,-0.002257780775983818,-0.0012641389626425815,-0.00358975409404684,-0.001372392879168636,-0.004618313749694189,-0.001456987892743709,-0.0052397543254984755,-0.001481469628428171,-0.005389725238535509,-0.0014139766988719386,-0.005049564293667589,-0.0012322913397951622,-0.004248337836021781,-0.0009277942963346938,-0.0030603046648585365,-0.0005081635645141531,-0.0015978706560754474,1.3338161174089636e-06,-4.7655948175416483e-07
