时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,25.019011918773593,248494679.63933343,119623.35527023074,10063.244480413221,1.6690729499991401,0.3870078850799938,0.17116854017875904,0.021937434064754718,1.8842864451255001,296.0986719355382,8.610515449008117,5.291012121925219,553.3681587145834,7.49291052113286,4.999300907908592,898.6520786081506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,25.019011918773593,248494679.63933343,119623.35527023074,10063.244480413221,1.6690729499991401,0.3870078850799938,0.17116854017875904,0.021937434064754718,1.8842864451255001,296.0986719355382,8.610515449008117,5.291012121925219,553.3681587145834,7.49291052113286,4.999300907908592,898.6520786081506,11.461343054866783,-1.700913582612784e-05,-2.5094556604325826e-05,-2.226472831156885e-05,-0.00011566131821714975,2.5989833510427763e-05,-0.00019148868762891753,7.495091671872624e-05,-0.00027755005186076313,0.0001158799038808819,-0.0003610737309036391,0.0001425360781181267,-0.0004303044627022872,0.00015281637708506338,-0.0004756727881716306,0.00014872522485675813,-0.0004911805216435452,0.00013541329275671815,-0.0004752421776236685,0.00011952363483245287,-0.0004308978267839419,0.00010720011915036123,-0.0003652817206176484,0.00010229691443886824,-0.0002883373884541469,0.00010536069051972179,-0.00021095394017312116,0.00011373398311991294,-0.00014292832782409053,0.00012270726997373754,-9.124365973379501e-05,0.00012727313408676267,-5.903474983712745e-05,0.0001238893981125951,-4.537718190057313e-05,0.00011171171942938952,-4.586698587247378e-05,9.302806086214467e-05,-5.37952860260325e-05,7.349807400573065e-05,-6.223462766049892e-05,1.940058189725105e-05,-2.6770341542999245e-05
3,25.019011918773593,248494679.63933343,119623.35527023074,10063.244480413221,1.6690729499991401,0.3870078850799938,0.17116854017875904,0.021937434064754718,1.8842864451255001,296.0986719355382,8.610515449008117,5.291012121925219,553.3681587145834,7.49291052113286,4.999300907908592,898.6520786081506,21.707220588568536,-3.231816625608594e-05,-4.750546334549159e-05,-3.01608382315668e-05,-0.00023310788584295268,7.884439280290292e-05,-0.0003989873960957869,0.0001898612775849671,-0.0005878747847152392,0.0002824198666674382,-0.0007702793972848287,0.0003420921670640941,-0.0009186269786029533,0.00036415445584037364,-0.0010105229968124085,0.0003535644757164742,-0.001032208232461455,0.0003226689216630967,-0.0009806501131012864,0.00028719239248347137,-0.0008640395577609011,0.00026140308021942854,-0.0007004212120650082,0.00025380299141822613,-0.000514449665401522,0.00026475819616769773,-0.0003327400239495628,0.00028690528700859696,-0.00017884447805745451,0.0003081165236941822,-6.907223591718148e-05,0.0003158962872214808,-1.0044361308870246e-05,0.0003017467907304746,1.7147729295245955e-06,0.0002642011074773445,-2.1722372964882136e-05,0.00020985347874240084,-6.260389172038869e-05,0.00015349660758887023,-0.000102281554226738,3.676487628727516e-05,-5.079328661153968e-05
4,25.019011918773593,248494679.63933343,119623.35527023074,10063.244480413221,1.6690729499991401,0.3870078850799938,0.17116854017875904,0.021937434064754718,1.8842864451255001,296.0986719355382,8.610515449008117,5.291012121925219,553.3681587145834,7.49291052113286,4.999300907908592,898.6520786081506,29.543485104383514,-4.412360285462281e-05,-6.459510096708997e-05,-1.9603604568455382e-05,-0.0003421373565886535,0.00015969478117129783,-0.0006071026835468284,0.00034264407349272283,-0.0009093936623286893,0.0004946327668867889,-0.0011996217202059187,0.0005916065067996113,-0.0014311006284082703,0.0006259353637333914,-0.0015660505436385745,0.0006064173950623663,-0.0015816990800366143,0.0005543524215627973,-0.0014739636506596416,0.0004965842543675089,-0.0012582830141383517,0.0004570947159754183,-0.0009671307178197108,0.00044954236444925375,-0.0006442037856374261,0.00047325693724753216,-0.0003361477922264118,0.0005141506599674517,-8.367897685077102e-05,0.0005501247577620862,8.572504136290482e-05,0.0005589469116337593,0.00016200429847718672,0.0005260040890625352,0.00015306389661785797,0.00044964665565844317,8.197921626476465e-05,0.0003429067100072085,-1.825006626797441e-05,0.00023303303436724758,-0.00011272530780351621,5.002573251379236e-05,-6.926421263710339e-05
5,25.019011918773593,248494679.63933343,119623.35527023074,10063.244480413221,1.6690729499991401,0.3870078850799938,0.17116854017875904,0.021937434064754718,1.8842864451255001,296.0986719355382,8.610515449008117,5.291012121925219,553.3681587145834,7.49291052113286,4.999300907908592,898.6520786081506,38.47677011644143,-5.777636238014035e-05,-8.391166514048952e-05,3.71125302428535e-05,-0.0005179855025133136,0.00035984040960447317,-0.000976670227439299,0.00068928149020194,-0.0015005077065009167,0.0009612398573186294,-0.001998516216644935,0.0011320786228934399,-0.002383841907675712,0.0011886333410237526,-0.0025867490077552515,0.0011482427730728163,-0.0025664068718384016,0.0010513974743263203,-0.0023179442135523366,0.0009485144470510391,-0.0018739147485005037,0.0008838533057905415,-0.0012992953343285904,0.0008812392648613973,-0.0006799745449405468,0.0009365509099595424,-0.00010643122476464648,0.0010198643585431297,0.0003436958319487838,0.001086409230418321,0.0006198131586135942,0.0010923119964090053,0.0007062518256382432,0.0010099610243021124,0.000622857319277814,0.0008384641359564705,0.0004190094807289576,0.000606668424221334,0.00016294343888459187,0.00037041105845797947,-7.316468334466275e-05,6.502342210074133e-05,-9.053865764802285e-05
6,25.019011918773593,248494679.63933343,119623.35527023074,10063.244480413221,1.6690729499991401,0.3870078850799938,0.17116854017875904,0.021937434064754718,1.8842864451255001,296.0986719355382,8.610515449008117,5.291012121925219,553.3681587145834,7.49291052113286,4.999300907908592,898.6520786081506,45.84042186303964,-6.946689475847582e-05,-9.935663277023598e-05,0.0002015392571417951,-0.0007995312551430889,0.0008078192154186057,-0.0016317190177090155,0.0014256837362581643,-0.002581767570637881,0.0019320724800561638,-0.0034744424326668606,0.0022453532341432034,-0.0041418063130914335,0.0023420399432676924,-0.004450688796983603,0.0022568033591058396,-0.004325766752319139,0.002068610326843349,-0.0037630474680996257,0.0018752690375271788,-0.0028322990084881064,0.0017619325991119871,-0.0016668176232375411,0.001772730031134717,-0.00044024426644500875,0.0018956829422073459,0.0006664029984869363,0.002067119908464691,0.001500081006359789,0.002194201432957065,0.001964462422725136,0.002187456908406809,0.0020354316706450576,0.0019925724947379374,0.0017611963312461065,0.0016118009492378173,0.001248790584100444,0.001109316911791177,0.0006413085118413452,0.0006019479516395386,8.899698722281817e-05,7.70006460923064e-05,-0.00010858067586138622
7,25.019011918773593,248494679.63933343,119623.35527023074,10063.244480413221,1.6690729499991401,0.3870078850799938,0.17116854017875904,0.021937434064754718,1.8842864451255001,296.0986719355382,8.610515449008117,5.291012121925219,553.3681587145834,7.49291052113286,4.999300907908592,898.6520786081506,48.97161904454294,-7.4846161254588e-05,-0.0001054339600592783,0.00038650265173424274,-0.0010545302021055243,0.0012741878347992534,-0.0022578300084552844,0.0021775744871380992,-0.0036312627777844077,0.002915777471085693,-0.004914231047631841,0.003370177323618876,-0.005857145272143308,0.0035069051940907416,-0.006263806196390365,0.003376920027834462,-0.006025413118189881,0.0030964251028434277,-0.005139901993293754,0.0028100749003755997,-0.003715004740620616,0.0026444722687051316,-0.0019528835197305705,0.0026653576130885675,-0.0001155854974617662,0.0028540633199507707,0.0015244758906802797,0.003113349787638005,0.002738154016254751,0.003301280941758129,0.0033834474099597935,0.0032811576837073596,0.0034289371765091137,0.0029707936565977157,0.0029530794101636218,0.0023757177001146176,0.0021223143444090123,0.0015968792241306368,0.0011553842259970305,0.0008137034538552994,0.00028048842640053924,8.170494445098511e-05,-0.00011671164963392954
8,25.019011918773593,248494679.63933343,119623.35527023074,10063.244480413221,1.6690729499991401,0.3870078850799938,0.17116854017875904,0.021937434064754718,1.8842864451255001,296.0986719355382,8.610515449008117,5.291012121925219,553.3681587145834,7.49291052113286,4.999300907908592,898.6520786081506,50.68310285118284,-7.810942116797529e-05,-0.00010835472841260961,0.0005783128603523597,-0.001302381231880675,0.0017461177198034945,-0.0028794553995245397,0.0029334667447335396,-0.004679927791687775,0.00390279278562874,-0.006356739372831127,0.004499203941321929,-0.007577973184634004,0.004677955840487537,-0.008084434397551002,0.004504784295196528,-0.007734239834568086,0.004131503285086132,-0.0065274666717080616,0.00374889486413028,-0.004609557123624555,0.003525715090013747,-0.002251023030477434,0.003551128110818521,0.00019796372817892235,0.0038017207106774355,0.0023733137620332244,0.004147700950226357,0.003969109681809204,0.004397642190563933,0.004797175328821198,0.0043662015495378095,0.004818883481512954,0.003941856545477871,0.004143495471391637,0.003132789671073286,0.0029972359704034507,0.0020771554655711266,0.001674103298355164,0.0010177991137098026,0.00047920918169526736,8.397601006252801e-05,-0.00012149922298287659
9,25.019011918773593,248494679.63933343,119623.35527023074,10063.244480413221,1.6690729499991401,0.3870078850799938,0.17116854017875904,0.021937434064754718,1.8842864451255001,296.0986719355382,8.610515449008117,5.291012121925219,553.3681587145834,7.49291052113286,4.999300907908592,898.6520786081506,51.7511301647419,-8.041748200350658e-05,-0.00010983457484969476,0.0007731436920958806,-0.0015484323356736538,0.0022199756698187832,-0.0035033760263379695,0.003690068837515358,-0.005736464580938956,0.004890360502057652,-0.00781308255535083,0.005630325617814817,-0.009318232603499756,0.005853726475556541,-0.009929576474233188,0.005639421713838738,-0.009472301522461932,0.005173086759747627,-0.007948569797267296,0.004690847181268023,-0.005540996538059244,0.004404345079381385,-0.0025876404022971075,0.004428124886834921,0.00047372642068775736,0.00473620931476248,0.003187177342318868,0.005167529636889567,0.005169285861962785,0.005480960124751253,0.0061849364245124255,0.005441136973590024,0.006187999562166779,0.004905608957466551,0.005318684233528208,0.003884327052996016,0.0038630217070806036,0.002552766508935896,0.0021896314698352315,0.0012178170592569446,0.0006793639099941487,8.515258495136317e-05,-0.0001247588053427902
10,25.019011918773593,248494679.63933343,119623.35527023074,10063.244480413221,1.6690729499991401,0.3870078850799938,0.17116854017875904,0.021937434064754718,1.8842864451255001,296.0986719355382,8.610515449008117,5.291012121925219,553.3681587145834,7.49291052113286,4.999300907908592,898.6520786081506,52.470737213920714,-8.221181684804578e-05,-0.0001105260689958149,0.0009694632610973721,-0.0017946641692128387,0.002694175073245839,-0.00413205151712195,0.00444577285288927,-0.006804018578522506,0.005876941919081082,-0.009287320841988732,0.006762171549203984,-0.011083096422245978,0.007033082513528397,-0.011805628992252026,0.00677994006549293,-0.011247222543935653,0.006220455294749744,-0.009411964541165286,0.005635246565586497,-0.006519000543954851,0.00527954809084756,-0.002973011339661881,0.005295281395678575,0.0007012782963349645,0.005656196348181203,0.0039560166657311106,0.006171364980134557,0.006329502084637823,0.006549867089982813,0.007538781047146726,0.006504975912668615,0.007529736101917044,0.005861661846900434,0.006473481382250398,0.004630628165495489,0.004715740378934632,0.003024624855946155,0.0026990422157662586,0.0014151031279958143,0.0008787706204513119,8.574444294163828e-05,-0.00012718080021433112
