时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.9001726028461206,50179116.89879836,2329.0731902319258,50.087665299658376,1.3496312706091702,0.12754550279887783,0.06357494301153468,0.0035908297234664675,1.3811180247959653,1382.378293673457,3.779826737671253,2.896479245008588,622.4411771141868,2.0671144798961585,0.48506929154960865,168.82246839926222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.9001726028461206,50179116.89879836,2329.0731902319258,50.087665299658376,1.3496312706091702,0.12754550279887783,0.06357494301153468,0.0035908297234664675,1.3811180247959653,1382.378293673457,3.779826737671253,2.896479245008588,622.4411771141868,2.0671144798961585,0.48506929154960865,168.82246839926222,4.412690387554509,-1.132074501433524e-06,-5.380111661819602e-07,1.2882768222112301e-06,-9.60031241177043e-06,6.671554543466583e-06,-2.7207105323190174e-05,1.2682385812174068e-05,-4.934320229974387e-05,1.780481783926114e-05,-7.115788379272504e-05,2.1083609477719573e-05,-8.791777803342168e-05,2.224278526645699e-05,-9.586636514177381e-05,2.1633045935902097e-05,-9.289749651041235e-05,2.003756830817361e-05,-7.891445763036684e-05,1.8389987341809612e-05,-5.5817138010794786e-05,1.7472989067107104e-05,-2.712406207470032e-05,1.7672283289112606e-05,2.6993213456689857e-06,1.8853380968100542e-05,2.9082927180139635e-05,2.0402733007613322e-05,4.8208646509500005e-05,2.143109141631591e-05,5.771904948639986e-05,2.1085843576255886e-05,5.714106019719062e-05,1.8878465494923756e-05,4.794196386519675e-05,1.4920180147286131e-05,3.320623930635341e-05,9.982750803911869e-06,1.6998968614923064e-05,5.3538111110865884e-06,3.5373508861352755e-06,2.065078701251048e-06,-3.3592892735261575e-06
3,1.9001726028461206,50179116.89879836,2329.0731902319258,50.087665299658376,1.3496312706091702,0.12754550279887783,0.06357494301153468,0.0035908297234664675,1.3811180247959653,1382.378293673457,3.779826737671253,2.896479245008588,622.4411771141868,2.0671144798961585,0.48506929154960865,168.82246839926222,10.076964834293614,-2.5880293245255167e-06,-1.2237812414599769e-06,4.000788033295131e-06,-2.4915306963878156e-05,1.824124528989198e-05,-7.12651769136381e-05,3.4157212562359694e-05,-0.00012965399673109038,4.773025193384412e-05,-0.0001871970602342791,5.641666487661287e-05,-0.0002312548419041108,5.9473866360097294e-05,-0.0002517657227221018,5.782812369449364e-05,-0.0002430761360915752,5.356341730493388e-05,-0.00020492270918265066,4.917292953473359e-05,-0.00014241035918299976,4.675313821741554e-05,-6.500425482496673e-05,4.733962134680261e-05,1.5273241894817772e-05,5.056802483719242e-05,8.61098962194897e-05,5.477727079861859e-05,0.00013721440684885702,5.755463659699339e-05,0.00016223238778170258,5.658164769119888e-05,0.00015989610499901385,5.052604493499428e-05,0.0001341836210106908,3.968732882948822e-05,9.345655480225475e-05,2.6168066480801483e-05,4.875383944340293e-05,1.3487889312677308e-05,1.1571314240150841e-05,4.712964984495959e-06,-7.683050623557235e-06
4,1.9001726028461206,50179116.89879836,2329.0731902319258,50.087665299658376,1.3496312706091702,0.12754550279887783,0.06357494301153468,0.0035908297234664675,1.3811180247959653,1382.378293673457,3.779826737671253,2.896479245008588,622.4411771141868,2.0671144798961585,0.48506929154960865,168.82246839926222,15.769166393259937,-4.055780195774519e-06,-1.9039394398791693e-06,8.678445485038124e-06,-4.582509351190864e-05,3.5387968353503535e-05,-0.00013234642560082323,6.525509458017251e-05,-0.00024153016094417747,9.07373547212985e-05,-0.0003491145001273605,0.00010704268961980837,-0.0004311830332677513,0.00011275766315214833,-0.0004686429357685475,0.00010961104021032908,-0.00045074437927108626,0.00010152484904430558,-0.0003769820496253151,9.32130162727073e-05,-0.00025707776601966874,8.865824924342034e-05,-0.00010907701910016176,8.984011844123147e-05,4.407937511880143e-05,9.606887481786774e-05,0.0001788803901403323,0.00010416210261455526,0.00027566418951515363,0.0001094779303524402,0.00032229177296174804,0.00010754164194513504,0.0003163600368743429,9.577354382197559e-05,0.0002655209039909736,7.474652430870881e-05,0.0001858475020312899,4.852661184841673e-05,9.858696372531009e-05,2.3935640891057845e-05,2.5934763822942425e-05,7.367598774414239e-06,-1.2048125328549019e-05
5,1.9001726028461206,50179116.89879836,2329.0731902319258,50.087665299658376,1.3496312706091702,0.12754550279887783,0.06357494301153468,0.0035908297234664675,1.3811180247959653,1382.378293673457,3.779826737671253,2.896479245008588,622.4411771141868,2.0671144798961585,0.48506929154960865,168.82246839926222,22.62517468933692,-5.834781515862124e-06,-2.6992214174819567e-06,1.9464914961328912e-05,-8.560981081304538e-05,7.056056795742664e-05,-0.0002502903636447055,0.00012768756969141256,-0.0004584830844310336,0.00017644285260802578,-0.0006635583783411446,0.00020764950584583485,-0.0008193081092537702,0.00021856174838499087,-0.0008887274085847023,0.00021243382391625672,-0.0008509318835377475,0.0001967502048782985,-0.0007049245365173694,0.00018058528819526708,-0.00046961876366718487,0.00017168544403115278,-0.0001801773508679715,0.00017397075482918154,0.00011864057297701135,0.00018616241173118156,0.0003809123368349534,0.00020204923002758844,0.0005682028520353927,0.00021247464943518536,0.0006567836307920704,0.00020855314603210096,0.0006420031226363066,0.00018513141365524932,0.000538943688629153,0.0001433257495836609,0.0003792484411468035,9.121728864641679e-05,0.00020478773197013249,4.2382678848879143e-05,5.94221326196753e-05,1.0546617900579809e-05,-1.735489288266156e-05
6,1.9001726028461206,50179116.89879836,2329.0731902319258,50.087665299658376,1.3496312706091702,0.12754550279887783,0.06357494301153468,0.0035908297234664675,1.3811180247959653,1382.378293673457,3.779826737671253,2.896479245008588,622.4411771141868,2.0671144798961585,0.48506929154960865,168.82246839926222,28.21467206466586,-7.305571945038149e-06,-3.3015413816458153e-06,3.808999536518428e-05,-0.00014601090045101504,0.00012686074531502963,-0.0004314348714046002,0.00022602434029795216,-0.0007928502556976316,0.0003106916320726216,-0.0011489112444307166,0.0003649957954806897,-0.0014186789269521204,0.0003840979941033224,-0.0015371618618486072,0.0003734548314890414,-0.0014675741316337073,0.00034588153874158507,-0.0012080502344678297,0.00031713174080784135,-0.0007917712883105091,0.00030089223817504515,-0.00028060526783243935,0.0003043328425574744,0.000246547294779189,0.0003254877885530808,0.000708601750658777,0.00035350809100385933,0.001037596906519927,0.00037207568054519635,0.0011915290863615854,0.0003651748068413569,0.0011621617401336556,0.00032341857410247,0.0009762383826839613,0.0002487241921770086,0.0006898897302210046,0.00015559163118097647,0.000377444392541023,6.839774929516441e-05,0.00011690338900192486,1.3102182020247081e-05,-2.177030619190889e-05
7,1.9001726028461206,50179116.89879836,2329.0731902319258,50.087665299658376,1.3496312706091702,0.12754550279887783,0.06357494301153468,0.0035908297234664675,1.3811180247959653,1382.378293673457,3.779826737671253,2.896479245008588,622.4411771141868,2.0671144798961585,0.48506929154960865,168.82246839926222,31.276993803010548,-8.131161590410326e-06,-3.586781897710524e-06,5.7773320735085826e-05,-0.00020621805281459697,0.00018428323729990736,-0.0006132117006282808,0.00032549264877690116,-0.0011292720790856304,0.00044615099144677296,-0.001638152434412418,0.0005238012135874855,-0.002023878220276463,0.0005514578571685414,-0.0021931310902858557,0.0005365624836187889,-0.0020929115201711846,0.0004970067767250994,-0.0017202464823378534,0.00045511203841262587,-0.0011224566737031078,0.0004306408567292494,-0.0003881348249968307,0.00043434258726314897,0.0003694879878922694,0.0004639044346235503,0.0010338256387965958,0.0005039900762553752,0.0015069755875707783,0.0005309969925435361,0.0017282787061334254,0.0005214699984614139,0.0016856666085297573,0.0004614923122894376,0.0014174725939453212,0.0003536771258551357,0.0010044003734883127,0.0002190726771082104,0.0005534333294504081,9.310923807636204e-05,0.00017698868517060587,1.4467973567872564e-05,-2.4272154664857382e-05
8,1.9001726028461206,50179116.89879836,2329.0731902319258,50.087665299658376,1.3496312706091702,0.12754550279887783,0.06357494301153468,0.0035908297234664675,1.3811180247959653,1382.378293673457,3.779826737671253,2.896479245008588,622.4411771141868,2.0671144798961585,0.48506929154960865,168.82246839926222,33.19496186077171,-8.665018010927701e-06,-3.728310790633032e-06,7.790347473462013e-05,-0.00026639045392879286,0.00024208331562838948,-0.0007956108476848601,0.00042522585554798277,-0.001467607381560321,0.0005818776803764075,-0.0021311956931898313,0.000683111400086857,-0.002635195812165125,0.0007197416547324733,-0.0028577098630812557,0.0007009554423345501,-0.0027292264733295157,0.0006494266782791387,-0.0022453522061823394,0.0005938878765128256,-0.0014672600847442027,0.0005602808666614885,-0.0005100630549743887,0.0005632619761575427,0.0004787396107036633,0.0006005454149881325,0.001346950351357991,0.0006525209750730199,0.0019664681858910763,0.0006882496885724654,0.0022576486615288253,0.0006765799118177841,0.002204272789705681,0.0005987798121010835,0.001856007406296592,0.00045801410648662857,0.001317947028185985,0.0002819251709719481,0.0007296229491054765,0.0001171429871721485,0.0002378604899339572,1.5296287299493326e-05,-2.5905643533667168e-05
9,1.9001726028461206,50179116.89879836,2329.0731902319258,50.087665299658376,1.3496312706091702,0.12754550279887783,0.06357494301153468,0.0035908297234664675,1.3811180247959653,1382.378293673457,3.779826737671253,2.896479245008588,622.4411771141868,2.0671144798961585,0.48506929154960865,168.82246839926222,34.49958794464492,-9.042997440009413e-06,-3.7926949543343487e-06,9.825016811689222e-05,-0.00032660394741872433,0.0002999907422681056,-0.000978689865054282,0.0005249208923774992,-0.0018079458425537555,0.0007175515397460851,-0.0026282592898043086,0.0008426112337273659,-0.003253104782496208,0.0008886631782216242,-0.0035317588431344523,0.0008663939177569369,-0.0033778808613084124,0.0008029501850258167,-0.0027853005584197233,0.0007332997558607204,-0.0018286923834248373,0.0006896522774750321,-0.0006494088270832711,0.0006908972558664881,0.000570921183043689,0.0007351660594339009,0.0016444386873449204,0.0007988166111309101,0.002412615835931995,0.0008435506432758273,0.0027764824012515474,0.0008302796849244953,0.0027153021602627325,0.000735167980961525,0.0022897438524150963,0.0005617640268653482,0.0016290216041749766,0.00034431595449439264,0.0009050210866179692,0.00014076684293421398,0.0002988995468882219,1.583774941892937e-05,-2.707256087652023e-05
10,1.9001726028461206,50179116.89879836,2329.0731902319258,50.087665299658376,1.3496312706091702,0.12754550279887783,0.06357494301153468,0.0035908297234664675,1.3811180247959653,1382.378293673457,3.779826737671253,2.896479245008588,622.4411771141868,2.0671144798961585,0.48506929154960865,168.82246839926222,35.43750164942642,-9.328224111105187e-06,-3.810873799567296e-06,0.0001187028500691962,-0.0003868842553797348,0.00035786979923543876,-0.0011624517401089814,0.0006244174273938867,-0.0021502951092132487,0.0008529932055996705,-0.00312940975765258,0.001002114190526886,-0.003877799660832433,0.0010580458883884727,-0.00421566968976368,0.0010327282504652099,-0.004039518505071009,0.0009574629223722375,-0.003341017205808937,0.0008732624145956283,-0.0022079573053254494,0.0008186790939351379,-0.0008076120947099429,0.0008171572782809645,0.0006444352293232757,0.0008676444219312562,0.001924641346586366,0.000942727651025884,0.0028438321165654523,0.0009967466532717969,0.003283359004124801,0.0009824466949871645,0.0032175722922009294,0.0008705954969190411,0.0027177714683989337,0.0006649411443602324,0.0019369777351701013,0.0004063279407592056,0.0010792016188190673,0.00016410898597721716,0.00035983180331831797,1.6208820767887416e-05,-2.795961511006003e-05
