时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,28.22513017792474,334769094.50275666,-42344.82640439784,9421.2819685207,2.94354993770497,0.7928300146334086,0.21212959984369237,0.018991951209820463,3.440768098114861,648.5942299023735,5.009770340375335,6.846119224847392,861.7967658168033,9.416028166087157,7.4079984131098335,521.7912003722556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,28.22513017792474,334769094.50275666,-42344.82640439784,9421.2819685207,2.94354993770497,0.7928300146334086,0.21212959984369237,0.018991951209820463,3.440768098114861,648.5942299023735,5.009770340375335,6.846119224847392,861.7967658168033,9.416028166087157,7.4079984131098335,521.7912003722556,11.928271311151036,-1.0401249984292014e-05,-8.027624115884642e-06,1.993073600238725e-05,-6.311676742964763e-05,8.936339959946875e-05,-0.0001436003109354787,0.0001672130152477859,-0.00024243844538030359,0.00023455629880275085,-0.00033920839181224603,0.0002781748113738039,-0.0004134001859782215,0.0002931904157129464,-0.00044812437066559256,0.0002834917507698935,-0.0004332911177029424,0.00025982228677238475,-0.00036758532336710135,0.00023592541020725768,-0.00025908685399927706,0.0002236242346716938,-0.00012415146372580713,0.00022840639989485248,1.566035471131351e-05,0.0002473426315896636,0.00013816730065902558,0.0002703358216660839,0.00022535992889678456,0.00028408711478635526,0.00026694821842131774,0.00027707316048417567,0.00026190632596297895,0.00024381436796814878,0.00021805565612706724,0.0001872281925779699,0.0001500452596265418,0.00011855786023547016,7.629622949662326e-05,5.475689543640713e-05,1.5232794637430243e-05,5.3778353445600555e-06,-7.499895185502742e-06
3,28.22513017792474,334769094.50275666,-42344.82640439784,9421.2819685207,2.94354993770497,0.7928300146334086,0.21212959984369237,0.018991951209820463,3.440768098114861,648.5942299023735,5.009770340375335,6.846119224847392,861.7967658168033,9.416028166087157,7.4079984131098335,521.7912003722556,25.740182788623006,-2.270514434044338e-05,-1.712555519656436e-05,0.0001408936829118811,-0.00023287471612650493,0.00045717146171041787,-0.0005869534595405598,0.0008113560854281545,-0.0010248089600270898,0.001117756859380575,-0.0014526683505043853,0.001315803250096745,-0.0017750307655321387,0.0013827594397095788,-0.0019130463632126469,0.001336274340921039,-0.001819772689786511,0.0012261550965718337,-0.001489851708859838,0.0011166340649547098,-0.0009626994772187911,0.0010630567304365194,-0.00031734621071751243,0.0010905639275455357,0.00034237120681677286,0.0011839200612474728,0.0009102290801715372,0.0012936005564750117,0.0013011329948015452,0.0013552037887985383,0.0014683189367150087,0.0013137607708777318,0.0014103637923883695,0.0011443995093962617,0.0011682778327570698,0.0008634553692499913,0.00081490496523852,0.000527409600725928,0.00043957715743930185,0.00021954159403580329,0.0001305390528277181,1.1460626813662813e-05,-1.6346819262910658e-05
4,28.22513017792474,334769094.50275666,-42344.82640439784,9421.2819685207,2.94354993770497,0.7928300146334086,0.21212959984369237,0.018991951209820463,3.440768098114861,648.5942299023735,5.009770340375335,6.846119224847392,861.7967658168033,9.416028166087157,7.4079984131098335,521.7912003722556,30.693834586361103,-2.7476971786168492e-05,-2.007937028298249e-05,0.0003296586113402065,-0.0004386525585646787,0.0009803615414031627,-0.001161714895044678,0.0017080700783980557,-0.0020586622143716838,0.0023380463756350073,-0.002934812027643468,0.0027462638942510947,-0.003591300704965804,0.0028851824904461035,-0.0038644006919239878,0.0027895269074542568,-0.003657148092958563,0.0025606893203291604,-0.002959118855221805,0.002331279071065256,-0.001852946778914097,0.0022170740785110283,-0.0005039652248818811,0.0022718730284412036,0.0008702576867322001,0.002464932912757398,0.0020469213500587,0.0026926899882649463,0.002848032875966591,0.0028193545846757245,0.0031772976596594776,0.0027287344196519478,0.0030348445082405964,0.0023687004419186085,0.0025099960403428623,0.0017750379798256329,0.0017574225128620098,0.0010685116792298881,0.0009638411357469516,0.000425329156659079,0.0003118909299073405,1.3421323108467996e-05,-1.974394331315827e-05
5,28.22513017792474,334769094.50275666,-42344.82640439784,9421.2819685207,2.94354993770497,0.7928300146334086,0.21212959984369237,0.018991951209820463,3.440768098114861,648.5942299023735,5.009770340375335,6.846119224847392,861.7967658168033,9.416028166087157,7.4079984131098335,521.7912003722556,32.67584506594875,-2.967648906053062e-05,-2.100175108721682e-05,0.0005240068877911357,-0.000641034801695664,0.0015086974467211055,-0.0017374166004783156,0.0026090804749026105,-0.0031004055830217516,0.0035629134669771683,-0.004432668530641368,0.004183660562266122,-0.005430455239421417,0.004398240871654088,-0.005844647007701447,0.004256211254456482,-0.00552842883206154,0.003908150065948991,-0.004466331336811485,0.0035540786709257347,-0.0027836094510134573,0.003371457521119525,-0.0007310634120574536,0.003445632158831401,0.0013602331188145322,0.003733261375758482,0.0031500830473777885,0.004078047648673593,0.004366243801615921,0.004271949622529806,0.004862056711294256,0.004135336284921351,0.004639480226145241,0.0035868233677514515,0.0038370483151890632,0.0026810788824241467,0.002691586407188084,0.0016040371843638113,0.0014861606205365697,0.0006260787075810107,0.0004959470429931795,1.4026508183735289e-05,-2.127799604930799e-05
6,28.22513017792474,334769094.50275666,-42344.82640439784,9421.2819685207,2.94354993770497,0.7928300146334086,0.21212959984369237,0.018991951209820463,3.440768098114861,648.5942299023735,5.009770340375335,6.846119224847392,861.7967658168033,9.416028166087157,7.4079984131098335,521.7912003722556,33.73471445045994,-3.10771911032374e-05,-2.128851747787467e-05,0.0007201050973898124,-0.0008437946699324937,0.0020380524493851552,-0.0023187089542929004,0.0035100692389830684,-0.0041558280966221255,0.0047879978625532844,-0.005953471120501115,0.005623805410956346,-0.007301526673446243,0.005918134722354627,-0.007864983065417833,0.005733028217766132,-0.007447315000103217,0.005265654750057467,-0.0060279145443995884,0.004782264950620433,-0.0037737948671738436,0.004523135432580685,-0.0010199413720279103,0.004608146233717989,0.001789817510917278,0.0049845910479723345,0.0041974628409748175,0.005445159009844388,0.00583522195178225,0.005708995362439698,0.006504942183134401,0.005530852301910389,0.006210143554048468,0.004797834611503218,0.00513886335418323,0.003582455513491197,0.003609898652783665,0.0021362016849733796,0.0020013226367041306,0.0008245533171057323,0.000678926118717538,1.421234937259788e-05,-2.22278285979881e-05
7,28.22513017792474,334769094.50275666,-42344.82640439784,9421.2819685207,2.94354993770497,0.7928300146334086,0.21212959984369237,0.018991951209820463,3.440768098114861,648.5942299023735,5.009770340375335,6.846119224847392,861.7967658168033,9.416028166087157,7.4079984131098335,521.7912003722556,34.386768864364676,-3.212613064337904e-05,-2.1291793165071515e-05,0.0009169146035962375,-0.0010478345017330736,0.0025671563856572792,-0.002906641335216096,0.00440949622557463,-0.005226208137147136,0.0060115222407379305,-0.007498850002797318,0.00706480316861835,-0.009206628807696167,0.007443013992298283,-0.009928111087321445,0.00721831181081355,-0.009417174593171034,0.00663177235244894,-0.0076479632466140545,0.00601457158178128,-0.004828340546792227,0.005670838536569901,-0.0013760726787779927,0.005757968353445078,0.002153192073705313,0.006217231631024997,0.005183337831120817,0.006792199259348039,0.007249797476389513,0.0071287863261433005,0.008101659385722635,0.006913991159788597,0.0077435264936294304,0.0060010701509851435,0.006413043018511286,0.004479167489529222,0.0045106789320685445,0.0026655022929538918,0.0025081356290371907,0.0010214543394516265,0.0008599186663988064,1.4215031160421755e-05,-2.2915931776192e-05
8,28.22513017792474,334769094.50275666,-42344.82640439784,9421.2819685207,2.94354993770497,0.7928300146334086,0.21212959984369237,0.018991951209820463,3.440768098114861,648.5942299023735,5.009770340375335,6.846119224847392,861.7967658168033,9.416028166087157,7.4079984131098335,521.7912003722556,34.82253834310741,-3.298809044093225e-05,-2.114171643430201e-05,0.0011139847688114387,-0.0012534367115024983,0.0030953220173702543,-0.003501459229487414,0.005306356940229972,-0.006311777327320947,0.007232164847312537,-0.009069094538577523,0.00850511369129358,-0.011146193674537253,0.008971280876967904,-0.012034667673883162,0.00871056572470541,-0.011438893070309252,0.008005203333202492,-0.009327667831645875,0.007249885500227497,-0.005948805691612458,0.006813526628667996,-0.0018013968218807952,0.006893976244564077,0.002448143701647525,0.007429879536060949,0.006105442588044104,0.008117709979127183,0.008607900800787853,0.008529859564596443,0.009650503666784783,0.008283495196879398,0.009238333616708418,0.0071956595206545395,0.007658650480924738,0.005370807349363123,0.0053932618820328624,0.003191926074257727,0.003006123113471315,0.0012169857402034897,0.0010385707399934926,1.412188710168524e-05,-2.3461306839992353e-05
9,28.22513017792474,334769094.50275666,-42344.82640439784,9421.2819685207,2.94354993770497,0.7928300146334086,0.21212959984369237,0.018991951209820463,3.440768098114861,648.5942299023735,5.009770340375335,6.846119224847392,861.7967658168033,9.416028166087157,7.4079984131098335,521.7912003722556,35.128678952439174,-3.373783218973731e-05,-2.089764164497988e-05,0.0013110544602132183,-0.0014606856385982801,0.003622053110811562,-0.004103146897565618,0.006199824500306277,-0.00741241914923536,0.008448753911130896,-0.01066404024725046,0.009943308726685052,-0.013120079653325714,0.010501408880916498,-0.014184584586983762,0.010208332228825574,-0.013512511139159121,0.009384672171919487,-0.011067234110535526,0.008487127272076548,-0.00713564389885852,0.007950223375283137,-0.0022966710022726063,0.008015147310299973,0.002673651311939225,0.008621351056699127,0.006962637459458124,0.009420340312476476,0.009908454618632132,0.009910810470847985,0.01115058464782436,0.009638089076748256,0.010693890686380334,0.00838063312054196,0.00887519127524832,0.006256806800925224,0.006257283897925085,0.0037152757633647326,0.003495020687147175,0.0014111837965780348,0.0012146983522430559,1.3972789472044075e-05,-2.3918062269912016e-05
10,28.22513017792474,334769094.50275666,-42344.82640439784,9421.2819685207,2.94354993770497,0.7928300146334086,0.21212959984369237,0.018991951209820463,3.440768098114861,648.5942299023735,5.009770340375335,6.846119224847392,861.7967658168033,9.416028166087157,7.4079984131098335,521.7912003722556,35.35026348639912,-3.441407900917062e-05,-2.0590588248209798e-05,0.001507939800622746,-0.0016695856089169498,0.004146934476203524,-0.004711579741154673,0.007089151075146342,-0.008527866943604401,0.009660186826190785,-0.012283323139730528,0.011378012017297894,-0.01512789259886105,0.012031903340343281,-0.01637748596435825,0.011710168596660964,-0.01563770422014798,0.010768911082512624,-0.01286644440592593,0.009725231129524196,-0.008388834478219016,0.0090799831964291,-0.002862147141411412,0.009120509286908317,0.002829199549176586,0.00979052331694703,0.007754255576513924,0.010698793605796049,0.011150794318577264,0.011270264152537597,0.01260134869343452,0.010976491070020118,0.012109780160354768,0.009554977777201644,0.010062353638348677,0.007136527242315542,0.0071025048213630175,0.004235275324138969,0.0039746488422007994,0.001604015422150783,0.0013881847597159672,1.378860897006546e-05,-2.4314329976986085e-05
