时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,2.6530725495902723,107893162.61628619,-4064.4350711545994,1385.642922311948,0.8700145995997852,0.06851660208759099,0.0424310792059855,0.012474287275435392,0.8841967678980663,246.7290127171334,7.752897557080698,7.229172838930289,999.027552019897,8.69954377261606,9.05784876745924,282.1922704104401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.6530725495902723,107893162.61628619,-4064.4350711545994,1385.642922311948,0.8700145995997852,0.06851660208759099,0.0424310792059855,0.012474287275435392,0.8841967678980663,246.7290127171334,7.752897557080698,7.229172838930289,999.027552019897,8.69954377261606,9.05784876745924,282.1922704104401,0.3503993504374003,-9.971416828266033e-07,-3.3711855249989384e-07,-1.5386685347529771e-06,-3.357293189555543e-06,-7.648533648994898e-07,-7.907074797479492e-06,1.1898876801623057e-07,-1.3506779222684477e-05,9.052519507611565e-07,-1.9439354437577664e-05,1.4625583619096488e-06,-2.5052488346303977e-05,1.7335463242452143e-06,-2.9805071342802973e-05,1.724532645718233e-06,-3.3303068711988176e-05,1.490186833806132e-06,-3.531855499331825e-05,1.1152716784883534e-06,-3.5789700338445255e-05,6.956542725609676e-07,-3.48025071689334e-05,3.209243494781628e-07,-3.255794280347706e-05,6.09032953215288e-08,-2.9330330143734472e-05,-4.223946256714333e-08,-2.5424243108813773e-05,2.4217622884232832e-08,-2.1137411082130675e-05,2.4663023254239403e-07,-1.673611533003772e-05,5.901610334571446e-07,-1.2447299316709423e-05,1.0024493485398291e-06,-8.468552511846537e-06,1.4125450666439227e-06,-4.993672157030121e-06,1.7246473072666156e-06,-2.2494387339967293e-06,8.848674034980601e-07,-2.702380167803879e-07
3,2.6530725495902723,107893162.61628619,-4064.4350711545994,1385.642922311948,0.8700145995997852,0.06851660208759099,0.0424310792059855,0.012474287275435392,0.8841967678980663,246.7290127171334,7.752897557080698,7.229172838930289,999.027552019897,8.69954377261606,9.05784876745924,282.1922704104401,1.2445989748070723,-3.5459350476273363e-06,-1.1976069071684437e-06,-5.47400100957911e-06,-1.1931255096191774e-05,-2.7192960748729643e-06,-2.812934262778391e-05,4.334783136598562e-07,-4.809708695300729e-05,3.2430926417196767e-06,-6.927732078559249e-05,5.238271408810947e-06,-8.933234397309823e-05,6.2117984493993525e-06,-0.00010631618835276195,6.184687888750499e-06,-0.0001188079675013771,5.351826710679311e-06,-0.00012598370224909132,4.016619617733827e-06,-0.00012761858730341561,2.5226711634212114e-06,-0.00012402256717166776,1.1910155137491028e-06,-0.00011592240041847287,2.712394821828148e-07,-0.00010431141398663117,-8.716055729439463e-08,-9.02931668649234e-05,1.587137947905102e-07,-7.494618753575728e-05,9.565814479919472e-07,-5.923326980543758e-05,2.1783791408232914e-06,-4.397064201922614e-05,3.634719758982796e-06,-2.9861241360986435e-05,5.072752958814541e-06,-1.7583818164992364e-05,6.155693047436473e-06,-7.92203414264388e-06,3.146602107941083e-06,-9.601715408749256e-07
4,2.6530725495902723,107893162.61628619,-4064.4350711545994,1385.642922311948,0.8700145995997852,0.06851660208759099,0.0424310792059855,0.012474287275435392,0.8841967678980663,246.7290127171334,7.752897557080698,7.229172838930289,999.027552019897,8.69954377261606,9.05784876745924,282.1922704104401,3.7858976954599326,-1.0820921850617822e-05,-3.644452007770987e-06,-1.6721487731226772e-05,-3.635547091266829e-05,-8.285718381330286e-06,-8.596019448054678e-05,1.422796155999329e-06,-0.00014737830874983756,1.0116175647438078e-05,-0.00021274229471657317,1.6321032897324976e-05,-0.00027476185044418946,1.9377277456138967e-05,-0.00032730978774857353,1.9336757806699596e-05,-0.00036587911516986323,1.679860284885445e-05,-0.0003878384936754405,1.2706123824639236e-05,-0.00039245966682805166,8.131456896544474e-06,-0.0003807256662379216,4.0756301551709226e-06,-0.00035496173132533904,1.3114983203617596e-06,-0.00031835669565362016,2.90995323489273e-07,-0.0002744587939830106,1.1242557378468096e-06,-0.00022673305850533975,3.618601689544543e-06,-0.0001782558865230988,7.346702850647777e-06,-0.00013159636247287687,1.1703191610420896e-05,-8.889843667453478e-05,1.591255891304023e-05,-5.2138013203020025e-05,1.8981937331433326e-05,-2.3504162986523397e-05,9.601640936314474e-06,-2.9232959053422054e-06
5,2.6530725495902723,107893162.61628619,-4064.4350711545994,1385.642922311948,0.8700145995997852,0.06851660208759099,0.0424310792059855,0.012474287275435392,0.8841967678980663,246.7290127171334,7.752897557080698,7.229172838930289,999.027552019897,8.69954377261606,9.05784876745924,282.1922704104401,7.19918142249872,-2.066820298307125e-05,-6.934081904786479e-06,-3.196645364189618e-05,-6.934734605720428e-05,-1.5750880821667557e-05,-0.00016464945546055127,3.053256385225369e-06,-0.00028337167108886567,2.000189820590284e-05,-0.0004103006482029353,3.218282155105062e-05,-0.0005310701975697099,3.82589171822276e-05,-0.0006334452093677469,3.82963565166973e-05,-0.0007083353159284173,3.3453357278346224e-05,-0.0007503863863845424,2.5581997010762467e-05,-0.0007580925473025451,1.6797490932464872e-05,-0.0007334445363516296,9.072489872364599e-06,-0.0006811986957786739,3.914434548187027e-06,-0.0006079044028490911,2.1731085547997303e-06,-0.0005208616043076168,3.998068475661457e-06,-0.00042718758011740956,8.925597143839411e-06,-0.00033314926361151985,1.60354754536864e-05,-0.00024386497803046791,2.4095596299795242e-05,-0.00016340716991868951,3.161801465851301e-05,-9.525590100746061e-05,3.6810025320014363e-05,-4.300050142406192e-05,1.833742252135996e-05,-5.56603905488029e-06
6,2.6530725495902723,107893162.61628619,-4064.4350711545994,1385.642922311948,0.8700145995997852,0.06851660208759099,0.0424310792059855,0.012474287275435392,0.8841967678980663,246.7290127171334,7.752897557080698,7.229172838930289,999.027552019897,8.69954377261606,9.05784876745924,282.1922704104401,9.36473990219444,-2.696415134351173e-05,-9.023118256372922e-06,-4.1712492520396974e-05,-9.044602385026093e-05,-2.0442283209833313e-05,-0.00021535900009826662,4.34526436721525e-06,-0.00037160283184559475,2.6782438095462277e-05,-0.0005391503915548535,4.2980353585708806e-05,-0.0006988495152566087,5.112586159240764e-05,-0.000834246076296376,5.127670720353901e-05,-0.0009330355751986908,4.495824899574866e-05,-0.0009879315039282046,3.463447711932399e-05,-0.0009968679802833903,2.312815605578112e-05,-0.0009625553587657899,1.3069350749894359e-05,-0.0008915021079748003,6.453270276777531e-06,-0.0007926902930673746,4.374855706986972e-06,-0.0006761392791618316,6.970943769451611e-06,-0.0005516035841528205,1.3546010915027603e-05,-0.0004276207403988779,2.2802478459106664e-05,-0.00031105419724893735,3.3064228669805056e-05,-0.0002071778743713049,4.238782624828454e-05,-0.00012023730283264818,4.8535190920705686e-05,-5.434932016151869e-05,2.392151637423613e-05,-7.246818120659555e-06
7,2.6530725495902723,107893162.61628619,-4064.4350711545994,1385.642922311948,0.8700145995997852,0.06851660208759099,0.0424310792059855,0.012474287275435392,0.8841967678980663,246.7290127171334,7.752897557080698,7.229172838930289,999.027552019897,8.69954377261606,9.05784876745924,282.1922704104401,11.656502607809394,-3.366683442338466e-05,-1.1235412163353086e-05,-5.207276341864715e-05,-0.00011295868919211437,-2.5332950155456617e-05,-0.00026980483277321585,5.987871742669263e-06,-0.00046683513940891814,3.4464340716682936e-05,-0.0006787845800435592,5.511730987158547e-05,-0.0008811669691414914,6.558930740524449e-05,-0.001052752825933597,6.591475166106484e-05,-0.0011775605382486937,5.8019893793227264e-05,-0.0012460759327859168,4.504905249443028e-05,-0.0012555850881885463,3.06156420954876e-05,-0.0012096400769309743,1.8082576245787104e-05,-0.0011168030842255204,9.98037082827043e-06,-0.000988913156916038,7.655603401684226e-06,-0.0008391835911016537,1.1195726270447366e-05,-0.000680454660404453,1.96040295985313e-05,-0.0005238887309265009,3.112437805406823e-05,-0.00037830324441334717,4.3569996564327475e-05,-0.00025020847122991384,5.451556832951855e-05,-0.00014447051569612272,6.131210212269136e-05,-6.542226225968716e-05,2.9865218380252215e-05,-9.02917641195611e-06
8,2.6530725495902723,107893162.61628619,-4064.4350711545994,1385.642922311948,0.8700145995997852,0.06851660208759099,0.0424310792059855,0.012474287275435392,0.8841967678980663,246.7290127171334,7.752897557080698,7.229172838930289,999.027552019897,8.69954377261606,9.05784876745924,282.1922704104401,13.479414379919506,-3.903222152060434e-05,-1.2996274616754969e-05,-6.034067143665977e-05,-0.0001310681461020444,-2.9126316336684666e-05,-0.00031390635602595495,7.586885734335056e-06,-0.0005444093925068404,4.108620478797914e-05,-0.0007930063959497167,6.54732013430098e-05,-0.0010307159373684784,7.792097766659349e-05,-0.001232220977134584,7.84332797934242e-05,-0.0013783595750064528,6.926779357164695e-05,-0.0014576783280683832,5.414123141355172e-05,-0.0014669011339471698,3.733533273625459e-05,-0.001410331284929287,2.2830575081877477e-05,-0.0012983589917876172,1.360063234896301e-05,-0.0011453679700382379,1.118393539071701e-05,-0.000967413915144449,1.55937188098036e-05,-0.0007800701363336963,2.5540247639511378e-05,-0.0005967921799990204,3.884692258762197e-05,-0.0004280441050433075,5.288379823418485e-05,-0.0002812741514069309,6.484510388124316e-05,-0.0001616504315925047,7.181470900100497e-05,-7.334672934005725e-05,3.462193919566365e-05,-1.0450171651357736e-05
9,2.6530725495902723,107893162.61628619,-4064.4350711545994,1385.642922311948,0.8700145995997852,0.06851660208759099,0.0424310792059855,0.012474287275435392,0.8841967678980663,246.7290127171334,7.752897557080698,7.229172838930289,999.027552019897,8.69954377261606,9.05784876745924,282.1922704104401,15.056449320667253,-4.3695379579126615e-05,-1.452032364020178e-05,-6.750101653106069e-05,-0.00014689147640849814,-3.232404066976615e-05,-0.00035264173921663625,9.19258354851199e-06,-0.0006128210968809096,4.7188839873175546e-05,-0.0008940345671488014,7.493595803382218e-05,-0.0011632384870244514,8.917693667435154e-05,-0.001391382734785513,8.988158898064918e-05,-0.0015563811286156265,7.960356497725503e-05,-0.0016449908761769765,6.257650587306417e-05,-0.0016534211562690207,4.368742538343255e-05,-0.001586685436206906,2.747466367400404e-05,-0.001456893239019317,1.7306806122589115e-05,-0.0012808204743556973,1.4881962841739734e-05,-0.0010771917063600001,2.0124481032551132e-05,-0.0008641363106346981,3.1453893388050745e-05,-0.0006572322467156135,4.6291603216789725e-05,-0.0004684261209677981,6.159972643106797e-05,-0.0003059388460864229,7.424693592944944e-05,-0.00017506036912982048,8.112867336159952e-05,-7.959451408420207e-05,3.875531476950874e-05,-1.168171471914988e-05
10,2.6530725495902723,107893162.61628619,-4064.4350711545994,1385.642922311948,0.8700145995997852,0.06851660208759099,0.0424310792059855,0.012474287275435392,0.8841967678980663,246.7290127171334,7.752897557080698,7.229172838930289,999.027552019897,8.69954377261606,9.05784876745924,282.1922704104401,16.6173076961042,-4.833481685145635e-05,-1.6029387168053753e-05,-7.458724055918449e-05,-0.00016276613286224644,-3.536810628533941e-05,-0.0003917399666863053,1.1077382017983703e-05,-0.000682187565701946,5.3712051074074884e-05,-0.0009968031371758413,8.494311357455624e-05,-0.001298309474164239,0.000101059631885717,-0.0015537220370284545,0.00010198983851814197,-0.001737851436185783,9.059235793916865e-05,-0.00183555072285634,7.163945456878796e-05,-0.0018424893647613963,5.0650458948192185e-05,-0.0017644625355344302,3.274457739907984e-05,-0.0016154553177252884,2.1694967716736804e-05,-0.0014148492716548758,1.9349440148314193e-05,-0.0011842702615115852,2.5513399090927272e-05,-0.0009446124964517088,3.827246414781257e-05,-0.0007137213399437513,5.460334102744608e-05,-0.0005050757392062203,7.103525109420039e-05,-0.00032760559892614963,8.412077521237976e-05,-0.00018654236311370045,9.062291139589147e-05,-8.503413367874062e-05,4.28666727488189e-05,-1.2903219563643086e-05
