时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,2.002800242551656,77993317.07018599,-8699.236906277976,249.62897355033965,1.3520188340014487,0.32598221365977614,0.07198774066122282,0.006288325987652427,1.5391771710463173,860.3394025093014,7.254953045282875,6.381214039598332,122.1689436556652,5.8795724214570155,2.0560214444499314,238.38684870477073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.002800242551656,77993317.07018599,-8699.236906277976,249.62897355033965,1.3520188340014487,0.32598221365977614,0.07198774066122282,0.006288325987652427,1.5391771710463173,860.3394025093014,7.254953045282875,6.381214039598332,122.1689436556652,5.8795724214570155,2.0560214444499314,238.38684870477073,22.087306116269694,-3.6600901412853413e-06,-3.974954428257432e-06,2.1009209151089614e-05,-4.13894429950528e-05,7.023778042526539e-05,-0.00010365548811448126,0.00012524422516527265,-0.00018038492161694147,0.0001724316021623207,-0.0002550395335688279,0.00020250476169746644,-0.000311063251778563,0.00021230182044592057,-0.0003350339177688397,0.00020494313553952076,-0.00031928043300600856,0.0001882571208240077,-0.00026341077204330234,0.00017189199618355492,-0.00017458636313890668,0.00016386703393216474,-6.633982204343987e-05,0.0001676644728795899,4.402219686405481e-05,0.00018095800825089012,0.00013898065007920068,0.00019651801224694127,0.00020444722034510725,0.00020493491906400365,0.00023253685539199404,0.00019812188893817938,0.00022286640955112178,0.00017240965526234836,0.0001822692656062752,0.00013027847833158073,0.00012312308381081654,8.027568291288794e-05,6.0759882958308524e-05,3.4990309898524e-05,1.0309252002954995e-05,4.481159017365193e-06,-1.261502418618471e-05
3,2.002800242551656,77993317.07018599,-8699.236906277976,249.62897355033965,1.3520188340014487,0.32598221365977614,0.07198774066122282,0.006288325987652427,1.5391771710463173,860.3394025093014,7.254953045282875,6.381214039598332,122.1689436556652,5.8795724214570155,2.0560214444499314,238.38684870477073,50.3687015020381,-8.404843799912207e-06,-9.002298723825735e-06,0.00011000476115809681,-0.00016297591013307298,0.0003274024591285588,-0.0004325328893993338,0.0005700540477028141,-0.0007660584982723292,0.000778353334690989,-0.0010902478776861698,0.0009110558509239392,-0.0013308161283414673,0.0009538195794184355,-0.0014272603723285062,0.0009202263844575448,-0.0013449133448682868,0.0008451564653930131,-0.0010821492044329002,0.0007720158477209594,-0.0006718387407836088,0.0007370937995557967,-0.00017611587138931047,0.0007560938200114918,0.0003255176387736152,0.0008180735385542959,0.000752740392678572,0.0008895098637269843,0.0010414402851569979,0.0009269330071709793,0.0011566053078049176,0.000893263023268347,0.001098130551740626,0.0007721947953820096,0.0008990380508745407,0.0005761165161618718,0.0006173109596478467,0.0003453510023905973,0.0003236182114160051,0.00013846740703267232,8.707729749756366e-05,1.012304597779928e-05,-2.8889956921312884e-05
4,2.002800242551656,77993317.07018599,-8699.236906277976,249.62897355033965,1.3520188340014487,0.32598221365977614,0.07198774066122282,0.006288325987652427,1.5391771710463173,860.3394025093014,7.254953045282875,6.381214039598332,122.1689436556652,5.8795724214570155,2.0560214444499314,238.38684870477073,62.7567542036182,-1.0580084234563949e-05,-1.1092989378585875e-05,0.0002569744006895025,-0.00033642545322523415,0.0007300405199233678,-0.0009205428567965783,0.001257396335285616,-0.0016449236558108264,0.0017105533676839955,-0.0023491052243830523,0.0020001347637831663,-0.0028698155230596992,0.0020942833160690036,-0.003074120512098044,0.0020212944349506374,-0.0028859308134778954,0.001856182579689373,-0.0023017631774300768,0.0016936721526005344,-0.001393987546154109,0.0016141541312804104,-0.00029963738441722104,0.0016534891908293492,0.0008055143828099391,0.0017886121360947158,0.0017436053431058919,0.0019456889591685257,0.002372902856561239,0.0020279669114818995,0.0026169194005988055,0.001952577844923813,0.0024772993265463343,0.0016832471398615303,0.002029119738755257,0.0012482415500347551,0.0014017558289205227,0.0007381680094086767,0.0007509835819156876,0.0002834897179566249,0.00022796610256769318,1.2423037576506664e-05,-3.621258832501913e-05
5,2.002800242551656,77993317.07018599,-8699.236906277976,249.62897355033965,1.3520188340014487,0.32598221365977614,0.07198774066122282,0.006288325987652427,1.5391771710463173,860.3394025093014,7.254953045282875,6.381214039598332,122.1689436556652,5.8795724214570155,2.0560214444499314,238.38684870477073,67.64442700418877,-1.1520747483411198e-05,-1.1820666851413634e-05,0.0004070977106330636,-0.0005085690179635805,0.0011358004952091586,-0.001410768719122239,0.001947590548657787,-0.0025315862734976327,0.0026461579849620842,-0.0036222183837479145,0.003094601771486444,-0.004429250320155205,0.0032429470612743436,-0.004746743178338395,0.0031325343421132615,-0.004457028526189892,0.0028767876165330893,-0.0035545509861576144,0.0026211394379729623,-0.0021506709040504087,0.002491127643764575,-0.0004568079177463652,0.0025449837671888895,0.001254968981336286,0.00274965999990714,0.002708471371783495,0.002991878975645463,0.003683216738733723,0.0031208339617373854,0.004060518584498797,0.003006141222971509,0.00384386138158665,0.0025900848182941975,0.0031509332164763463,0.0019164741437680888,0.002182709021922366,0.0011269410833598863,0.001179409013732778,0.00042479452096301024,0.0003730983841706086,1.3186092044659475e-05,-3.925935392883416e-05
6,2.002800242551656,77993317.07018599,-8699.236906277976,249.62897355033965,1.3520188340014487,0.32598221365977614,0.07198774066122282,0.006288325987652427,1.5391771710463173,860.3394025093014,7.254953045282875,6.381214039598332,122.1689436556652,5.8795724214570155,2.0560214444499314,238.38684870477073,70.23832620271689,-1.2084258130288679e-05,-1.212988734843276e-05,0.0005581632121699377,-0.0006813225056109597,0.0015420465109335956,-0.0019054495929431239,0.002637652152778133,-0.003428782028019346,0.0035819752843075916,-0.004913086865310492,0.004191283676258796,-0.006013772730730352,0.004396904162061891,-0.0064514140840054605,0.004251472302039548,-0.006066636823955949,0.0039049172734891184,-0.004851510974080543,0.003552558907923403,-0.0029556177033781576,0.00336599582755535,-0.0006638097751350724,0.0034280930820214063,0.00165604078943887,0.0036982050266429517,0.0036290445118102007,0.004024816864578346,0.004954971722339601,0.004202563717347324,0.005472016545789068,0.004051881083160983,0.005185150982757415,0.003491959138606748,0.004254691738399086,0.002581449365755561,0.0029529289964009015,0.0015133463536353513,0.0016035377103257398,0.0005644859403464265,0.0005182357673003135,1.348136502318684e-05,-4.099401629470914e-05
7,2.002800242551656,77993317.07018599,-8699.236906277976,249.62897355033965,1.3520188340014487,0.32598221365977614,0.07198774066122282,0.006288325987652427,1.5391771710463173,860.3394025093014,7.254953045282875,6.381214039598332,122.1689436556652,5.8795724214570155,2.0560214444499314,238.38684870477073,71.83037154674847,-1.248339835257579e-05,-1.2255086211902775e-05,0.0007095921664349178,-0.0008551433620934079,0.0019480261229585891,-0.0024051087710646665,0.0033266394990682114,-0.004337171283764391,0.004516902673385614,-0.006222613271662428,0.005289005036448607,-0.00762464824029703,0.005555027704225396,-0.008189871952908087,0.005377135155305783,-0.007717061197276278,0.004939790824096519,-0.006195589309733323,0.0044872868875182855,-0.0038124386875030593,0.004238120917935365,-0.0009248316767456114,0.00430204843884913,0.0020042017649205724,0.0046332936592859315,0.004500815225391995,0.005043442328343554,0.006184046661675935,0.005272174528298304,0.006847944708981619,0.005089105037621099,0.006498449932356782,0.004388608736933192,0.005338371161925942,0.003243343066421329,0.0037109275254368604,0.0018978598960486222,0.002022220767438287,0.0007031260737503315,0.0006623910969719116,1.3574248407773256e-05,-4.215225419386989e-05
8,2.002800242551656,77993317.07018599,-8699.236906277976,249.62897355033965,1.3520188340014487,0.32598221365977614,0.07198774066122282,0.006288325987652427,1.5391771710463173,860.3394025093014,7.254953045282875,6.381214039598332,122.1689436556652,5.8795724214570155,2.0560214444499314,238.38684870477073,72.89302298423162,-1.2795940130451681e-05,-1.2282053778420533e-05,0.0008611305513020871,-0.0010301630685028242,0.0023533279291511416,-0.002909840716456136,0.004013935608473789,-0.005256836226457882,0.005450118567015342,-0.007550926969649552,0.006386806508595181,-0.009262124439095793,0.006716331950504254,-0.009962539614520009,0.006508623056533411,-0.009408943629710936,0.005980660620434321,-0.007587694206602197,0.005424715892646334,-0.004722352097549646,0.005106947507366367,-0.0012413991220226145,0.005166230282633817,0.002297711927987399,0.005554170455176677,0.00532200366586882,0.006046886720739131,0.00736881110148898,0.006328795917874337,0.008186949163199625,0.006117088353468783,0.007782714533682825,0.005279572199787319,0.00640119985794627,0.0039019923412076957,0.004456135138740017,0.0022805536424869515,0.002435018728951312,0.0008408948775212866,0.0008051943203660007,1.3561883476063475e-05,-4.300312004224447e-05
9,2.002800242551656,77993317.07018599,-8699.236906277976,249.62897355033965,1.3520188340014487,0.32598221365977614,0.07198774066122282,0.006288325987652427,1.5391771710463173,860.3394025093014,7.254953045282875,6.381214039598332,122.1689436556652,5.8795724214570155,2.0560214444499314,238.38684870477073,73.63996277751212,-1.3057013029181933e-05,-1.2249639424319802e-05,0.0010126273403328247,-0.0012064092110179122,0.002757648677892868,-0.003419598889839885,0.004699024634169677,-0.006187661839824199,0.006380884156690595,-0.00889788686717606,0.0074837843468398176,-0.010926089690405347,0.00787985627071876,-0.011769377178723128,0.007645035040871495,-0.011142347222273493,0.007026763916876259,-0.009028034103217758,0.006364226735637298,-0.005685767328148624,0.005971927414016742,-0.0016141536612704552,0.0060200503601780956,0.0025357366774903245,0.006460125405410047,0.006091694449182176,0.007034318733893299,0.008508401947817238,0.007371561035494584,0.009488308723345917,0.00713505795444427,0.009037387181460221,0.006164285356803586,0.0074427597060284035,0.004557093329531639,0.005188238108071703,0.002661349601983328,0.00284169413583144,0.0009778428296067594,0.0009464615730573393,1.3488277697659534e-05,-4.366828014580352e-05
10,2.002800242551656,77993317.07018599,-8699.236906277976,249.62897355033965,1.3520188340014487,0.32598221365977614,0.07198774066122282,0.006288325987652427,1.5391771710463173,860.3394025093014,7.254953045282875,6.381214039598332,122.1689436556652,5.8795724214570155,2.0560214444499314,238.38684870477073,74.1819157083125,-1.3284779778750416e-05,-1.2178017051353786e-05,0.001163973300363912,-0.0013838676687268818,0.003160730631642481,-0.003934278186015098,0.0053814348914894145,-0.007129448160509055,0.007308497359241769,-0.010263233083310022,0.008579058640195916,-0.012616274467078787,0.00904464860319328,-0.01361014331647762,0.008785465543774029,-0.0129170857016155,0.008077326794629486,-0.01051651834417567,0.007305191849574122,-0.006702750277994704,0.006832514940907708,-0.002043364595809596,0.006862935750379742,0.0027178179371747557,0.007350470537789618,0.006809325987967764,0.008004924047324382,0.009602264931925694,0.008399602889415774,0.010751553100901813,0.008142216112360988,0.010262100633726241,0.007042135362266453,0.008462769336496912,0.005208278296108969,0.00590702039751526,0.0030401046520072677,0.0032420865485857995,0.001113966698281974,0.0010860814271335404,1.3376297108394694e-05,-4.421075601724178e-05
