时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.26954722643228957,3886569.789061684,256.4791939653537,3.9868068578721587,1.534304391356566,0.14428328028083348,0.011467260093563235,0.0035057450286730307,1.569754537772088,1549.8953814274123,9.960157084163775,6.011766350392975,882.3015076584331,9.960157084163775,6.011766350392975,882.3015076584331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.26954722643228957,3886569.789061684,256.4791939653537,3.9868068578721587,1.534304391356566,0.14428328028083348,0.011467260093563235,0.0035057450286730307,1.569754537772088,1549.8953814274123,9.960157084163775,6.011766350392975,882.3015076584331,9.960157084163775,6.011766350392975,882.3015076584331,3.8920108620373988,-3.4366672810554284e-07,-2.1234521703207738e-07,1.522079177948381e-06,-6.175181226801076e-06,6.0388473633150705e-06,-2.104431758961875e-05,1.1451295787587268e-05,-4.101078759218342e-05,1.6209611830923883e-05,-6.126190581765112e-05,1.9292274706904188e-05,-7.694099655025852e-05,2.035891928595758e-05,-8.410917200117915e-05,1.9716296554543633e-05,-8.051425015454174e-05,1.812607978713283e-05,-6.601596315361918e-05,1.6512215736721894e-05,-4.259358067422286e-05,1.564331118659156e-05,-1.3939283558342742e-05,1.5873723633421883e-05,1.5281553775546735e-05,1.7019264360569708e-05,4.0359515383108746e-05,1.841347656129799e-05,5.747698664217721e-05,1.913915233712192e-05,6.446261230880713e-05,1.8370389353974946e-05,6.12094025994861e-05,1.5715595571077127e-05,4.966980601970968e-05,1.1441892733167482e-05,3.3428061845454755e-05,6.495278666709551e-06,1.694047470946172e-05,2.2941433999367403e-06,4.595667558496495e-06,3.420031344374735e-07,-2.1571875738662564e-07
3,0.26954722643228957,3886569.789061684,256.4791939653537,3.9868068578721587,1.534304391356566,0.14428328028083348,0.011467260093563235,0.0035057450286730307,1.569754537772088,1549.8953814274123,9.960157084163775,6.011766350392975,882.3015076584331,9.960157084163775,6.011766350392975,882.3015076584331,8.861493052654973,-7.829507719723999e-07,-4.828189052023333e-07,4.204815705775286e-06,-1.6161083339670366e-05,1.619147485719235e-05,-5.540941023479841e-05,3.0556765376629605e-05,-0.00010820876225726014,4.3198603623462224e-05,-0.00016179625713915935,5.140415662460723e-05,-0.0002032433115291105,5.426234718552154e-05,-0.00022204059918791904,5.257872378226642e-05,-0.00021216606330200767,4.837099580980664e-05,-0.0001732328564725436,4.40961966260541e-05,-0.00011051870617972165,4.1806472727587055e-05,-3.38856564705624e-05,4.2454479032985774e-05,4.419383018461137e-05,4.5553219571115226e-05,0.00011112123637636391,4.931873539510645e-05,0.00015667820014614314,5.1286885084645965e-05,0.0001750501630107493,4.923303631229328e-05,0.00016595085344265286,4.209865664396334e-05,0.00013461423939948165,3.059989030638163e-05,9.065548663079223e-05,1.7285433979831056e-05,4.604414956176495e-05,5.985106946965161e-06,1.2598673507443827e-05,7.785100235443475e-07,-4.918638926503823e-07
4,0.26954722643228957,3886569.789061684,256.4791939653537,3.9868068578721587,1.534304391356566,0.14428328028083348,0.011467260093563235,0.0035057450286730307,1.569754537772088,1549.8953814274123,9.960157084163775,6.011766350392975,882.3015076584331,9.960157084163775,6.011766350392975,882.3015076584331,13.568065374606807,-1.1997068138098482e-06,-7.378991316641175e-07,7.951519766879273e-06,-2.904933608493305e-05,2.9781382831207668e-05,-0.00010017778679567433,5.5939407407247675e-05,-0.00019602374885139005,7.898005239557378e-05,-0.0002933635303503466,9.396603984420957e-05,-0.0003685899384376768,9.922546787234891e-05,-0.00040247132860310426,9.620473907668694e-05,-0.000383962707727799,8.856352443443545e-05,-0.00031232951231127725,8.077995430033253e-05,-0.0001972181780835583,7.661476172852578e-05,-5.668951267853024e-05,7.783233106117798e-05,8.639187935987117e-05,8.355833649851463e-05,0.00020891232395834155,9.05225313809948e-05,0.00029211254242863963,9.41839346591108e-05,0.000325311601091923,9.042885946526027e-05,0.0003079819964706747,7.729157095732632e-05,0.0002497438842921681,5.6088585619747156e-05,0.00016828230530894172,3.1530507794401896e-05,8.563559612626443e-05,1.0706278350718397e-05,2.3609892217223816e-05,1.191578064230469e-06,-7.545249112727926e-07
5,0.26954722643228957,3886569.789061684,256.4791939653537,3.9868068578721587,1.534304391356566,0.14428328028083348,0.011467260093563235,0.0035057450286730307,1.569754537772088,1549.8953814274123,9.960157084163775,6.011766350392975,882.3015076584331,9.960157084163775,6.011766350392975,882.3015076584331,20.062415792963083,-1.7768462535046117e-06,-1.086459370907631e-06,1.6878117712237215e-05,-5.7540994651705016e-05,6.0886287099166794e-05,-0.00020007577905818892,0.00011358468526173909,-0.0003925969326372118,0.00016006459854887932,-0.0005883500791369949,0.00019041308954509091,-0.000739581490161357,0.00020122360408123387,-0.0008072623904655822,0.00019531585469414914,-0.000768889578108914,0.00017997339602908135,-0.000622857880053932,0.00016420362569427566,-0.00038865654636813777,0.00015566919474191283,-0.00010292039940013513,0.00015806396383884533,0.00018787719413886785,0.00016972197890044774,0.00043668113736349944,0.0001840239724560983,0.000605245379614274,0.00019165672427551989,0.0006717569967776208,0.00018411575089891084,0.0006351047751691607,0.00015729782188720514,0.0005148949740719579,0.00011388263796642496,0.00034722506265891576,6.357223640609619e-05,0.000177139073324369,2.0982744607578243e-05,4.931799187348265e-05,1.7603575018803283e-06,-1.1203778068511454e-06
6,0.26954722643228957,3886569.789061684,256.4791939653537,3.9868068578721587,1.534304391356566,0.14428328028083348,0.011467260093563235,0.0035057450286730307,1.569754537772088,1549.8953814274123,9.960157084163775,6.011766350392975,882.3015076584331,9.960157084163775,6.011766350392975,882.3015076584331,25.065243692253684,-2.2252236640434818e-06,-1.3486513709871077e-06,3.0656502058841786e-05,-9.922672327666935e-05,0.00010749637559718016,-0.0003473680947400904,0.00019942312854445295,-0.0006833080974832758,0.0002806232209191426,-0.0010254950434615752,0.00033391960136979376,-0.0012902856739383916,0.00035329842714775005,-0.0014090980207610519,0.0003434257048563548,-0.0013421896554150605,0.00031672725161066724,-0.0010864205053747386,0.0002888143700317754,-0.000675690402330038,0.0002732346762633901,-0.00017410532209161784,0.00027680578520829533,0.00033677423153487946,0.0002969527884544606,0.0007741697354843864,0.0003221910124854605,0.0010706370416271819,0.00033601012213937124,0.0011875704181797157,0.0003231434574702011,0.0011228081898131332,0.0002761084575489489,0.0009107154629695788,0.0001995708700175477,0.0006147675904888605,0.00011077957873492647,0.0003142937544922928,3.572896663907487e-05,8.814963852894697e-05,2.196319980221092e-06,-1.4083702261273384e-06
7,0.26954722643228957,3886569.789061684,256.4791939653537,3.9868068578721587,1.534304391356566,0.14428328028083348,0.011467260093563235,0.0035057450286730307,1.569754537772088,1549.8953814274123,9.960157084163775,6.011766350392975,882.3015076584331,9.960157084163775,6.011766350392975,882.3015076584331,27.837049447297083,-2.4773766966886826e-06,-1.487927685539798e-06,4.480124308232697e-05,-0.0001410274605522198,0.00015464904505516314,-0.000495786347720313,0.0002859709715251609,-0.0009770102182762631,0.00040213570750436464,-0.0014681648566830725,0.00047878008769152987,-0.0018493494218161377,0.0005072212699946273,-0.0020219826765184405,0.0004937493838956557,-0.0019286475102573985,0.00045567481028952546,-0.001564312478774892,0.0004151058278347914,-0.000977067714827503,0.0003916271374207744,-0.0002584574202448101,0.0003955313889549651,0.0004746868038072671,0.000423685495348861,0.0011034834175962225,0.00045988107329434643,0.001530802809560765,0.00048026781603966443,0.0017007817324350145,0.00046249770321865207,0.0016098814525369667,0.0003954267579250025,0.0013070886577724067,0.00028563100032979154,0.0008832953781089286,0.000158051445323829,0.00045229360606684324,5.0295707429277564e-05,0.00012740761424157742,2.435977065551533e-06,-1.5736730937802651e-06
8,0.26954722643228957,3886569.789061684,256.4791939653537,3.9868068578721587,1.534304391356566,0.14428328028083348,0.011467260093563235,0.0035057450286730307,1.569754537772088,1549.8953814274123,9.960157084163775,6.011766350392975,882.3015076584331,9.960157084163775,6.011766350392975,882.3015076584331,29.58094736155125,-2.6393215311839613e-06,-1.5705820328712624e-06,5.908373713230283e-05,-0.00018287284359321004,0.00020192230942217112,-0.0006448642236571641,0.0003725913374858328,-0.0012727240612531224,0.0005237811390916679,-0.001914939062182238,0.0006240602647803406,-0.002415174301614918,0.0006620306291468504,-0.002644551184301635,0.0006453698639983834,-0.002527609871230608,0.0005959749448482097,-0.0020570371184524985,0.0005422928003230359,-0.0012947571344098824,0.0005100561884240998,-0.00035950224472880584,0.00051337291505497,0.0005966978499975886,0.0005489298160945381,0.0014187207139241933,0.0005959940525309307,0.0019794357810487143,0.0006232978010303247,0.0022053208316605098,0.0006011383998890404,0.002091074053180905,0.0005144342497569648,0.0016999958046366222,0.00037155510847281415,0.0011501843969469621,0.00020520094354621425,0.0005897934547580545,6.473139247837161e-05,0.00016665731173568307,2.5854217647015644e-06,-1.6823879204106206e-06
9,0.26954722643228957,3886569.789061684,256.4791939653537,3.9868068578721587,1.534304391356566,0.14428328028083348,0.011467260093563235,0.0035057450286730307,1.569754537772088,1549.8953814274123,9.960157084163775,6.011766350392975,882.3015076584331,9.960157084163775,6.011766350392975,882.3015076584331,30.77121909221924,-2.752872909245902e-06,-1.6227453704137781e-06,7.342062204717779e-05,-0.00022475454129839448,0.0002491731676680445,-0.0007944946681037133,0.0004590754433373001,-0.0015702292643007734,0.0006452923396682893,-0.0023655262541444093,0.0007694553705154011,-0.00298749118772619,0.000817413817239914,-0.003276682915173784,0.0007979950610384604,-0.003139237899564041,0.0007373713450487822,-0.0025651493407119197,0.0006701484930671212,-0.0016297710976924111,0.0006282987887317764,-0.0004787044964964802,0.000630078804385159,0.0007009729482214907,0.0006723853070572082,0.0017178273949918746,0.0007301861735809934,0.0024144515876690083,0.0007647460238845856,0.0026992651903598435,0.0007387498308472881,0.0025647830137735905,0.0006328982818071881,0.002088249070350098,0.0004572166397874226,0.0014146802809303556,0.0002522000657439498,0.000726413308227803,7.907057104597747e-05,0.00020577226545306074,2.6864892225119434e-06,-1.7605902459094413e-06
10,0.26954722643228957,3886569.789061684,256.4791939653537,3.9868068578721587,1.534304391356566,0.14428328028083348,0.011467260093563235,0.0035057450286730307,1.569754537772088,1549.8953814274123,9.960157084163775,6.011766350392975,882.3015076584331,9.960157084163775,6.011766350392975,882.3015076584331,31.629247607583444,-2.8375532864054915e-06,-1.6566172380064957e-06,8.777182629552718e-05,-0.0002666652595378462,0.0002963307013800002,-0.0009446176706793792,0.0005453156453419661,-0.0018694071943551496,0.0007665250864800792,-0.0028197726268185718,0.0009147937131630572,-0.0035661588291463087,0.0009731897936857111,-0.003918310289314573,0.0009514560743776467,-0.0037635991982138944,0.0008797223176637251,-0.003088901469938225,0.0007985585889057324,-0.0019825730934641636,0.0007462521026865569,-0.0006167329334512323,0.0007455341029061442,0.0007866803448213314,0.0007939075536356798,0.00199988198927314,0.000862283823118886,0.0028349282688552176,0.000904429224180699,0.0031817781394486533,0.0008751689941343208,0.003030322555493549,0.0007507022444273614,0.002471348767983979,0.00054255622092799,0.0016764706180610706,0.00029903883684424283,0.00086199758640228,9.333122245790437e-05,0.00024470009334652483,2.758710936628677e-06,-1.8204544881983758e-06
