时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.1567497861505835,37525218.99966774,6121.622271962122,248.88539288270817,1.9847208737924178,0.21556873357896095,0.026883958570744115,0.008915777069161602,2.0454992267340755,794.2573329533969,3.2905002594572332,0.8795533808247313,883.9502631363151,3.2905002594572332,0.8795533808247313,883.9502631363151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.1567497861505835,37525218.99966774,6121.622271962122,248.88539288270817,1.9847208737924178,0.21556873357896095,0.026883958570744115,0.008915777069161602,2.0454992267340755,794.2573329533969,3.2905002594572332,0.8795533808247313,883.9502631363151,3.2905002594572332,0.8795533808247313,883.9502631363151,3.6081086034709644,-4.1862517675060184e-06,-6.847912410699315e-06,-1.8537614061233614e-06,-1.5596017058724104e-05,4.628198222710912e-06,-3.555143654206438e-05,1.25070741997283e-05,-6.21704690683738e-05,1.9550710072949337e-05,-8.973662563638097e-05,2.42959802545239e-05,-0.00011249777559159779,2.6208517474130587e-05,-0.0001257335172812402,2.5636353465579024e-05,-0.0001265982552300113,2.3561126565707696e-05,-0.00011459039954722362,2.121775745860889e-05,-9.157297774611359e-05,1.9680736642043677e-05,-6.13493464637363e-05,1.952443387072674e-05,-2.887994069917899e-05,2.065219278136682e-05,7.084008514876185e-07,2.2349355726922486e-05,2.3126781577652077e-05,2.355183302657628e-05,3.574150506748298e-05,2.3250883126527293e-05,3.803734029229249e-05,2.090227487796815e-05,3.163227027029838e-05,1.6696379922165987e-05,1.9841399290008865e-05,1.1582448086849845e-05,6.8875598004401655e-06,6.9862605782202085e-06,-3.069477797543588e-06,4.18028197088814e-06,-6.828271985451348e-06
3,1.1567497861505835,37525218.99966774,6121.622271962122,248.88539288270817,1.9847208737924178,0.21556873357896095,0.026883958570744115,0.008915777069161602,2.0454992267340755,794.2573329533969,3.2905002594572332,0.8795533808247313,883.9502631363151,3.2905002594572332,0.8795533808247313,883.9502631363151,8.416392453438048,-9.77561610125989e-06,-1.5984966202159087e-05,-3.2691423288425983e-06,-3.9007348588895645e-05,1.4251991567401197e-05,-9.213655719891734e-05,3.556058131691272e-05,-0.000163336957979829,5.4641069447601066e-05,-0.00023712062221389971,6.750082036188819e-05,-0.00029772465181560206,7.266465160112075e-05,-0.0003321322897147255,7.107471241084798e-05,-0.0003324728550752378,6.542170451335419e-05,-0.0002973738904689944,5.910316290445125e-05,-0.00023205151502224227,5.50779171898262e-05,-0.00014714764265794087,5.4914856620528366e-05,-5.655180959820986e-05,5.830507560890818e-05,2.537015808421541e-05,6.32006438612496e-05,8.659822898247561e-05,6.656570680714891e-05,0.00011976606760401813,6.552219102357603e-05,0.00012348298825336812,5.851857294988997e-05,0.00010240128788285133,4.611358034859777e-05,6.602184607540221e-05,3.107153795392583e-05,2.6509655791798818e-05,1.761337367511395e-05,-4.002589335219544e-06,9.758935286089625e-06,-1.593184970692481e-05
4,1.1567497861505835,37525218.99966774,6121.622271962122,248.88539288270817,1.9847208737924178,0.21556873357896095,0.026883958570744115,0.008915777069161602,2.0454992267340755,794.2573329533969,3.2905002594572332,0.8795533808247313,883.9502631363151,3.2905002594572332,0.8795533808247313,883.9502631363151,13.382433687747941,-1.556307554363431e-05,-2.5438497126323464e-05,-2.499407303103077e-06,-6.871946205603161e-05,3.140416493641187e-05,-0.0001697898827447191,7.259273281294991e-05,-0.0003057774184920735,0.00010949731041942855,-0.0004466634399206057,0.0001343568001871213,-0.0005615830338466983,0.0001442791691071577,-0.0006249094707125495,0.0001410910659096897,-0.0006211210381904689,0.00013005862001342776,-0.0005475766598566861,0.00011785847171059266,-0.0004147592468497422,0.0001103172669879186,-0.0002439979179699168,0.0001105056607485139,-6.313586701783349e-05,0.00011773460130992546,9.901781575335484e-05,0.00012780580942376213,0.00021836699148611758,0.00013451395110043534,0.0002801980131922841,0.00013197545475419342,0.00028188071425732557,0.00011702923438868867,0.00023304949348414044,9.086828897094312e-05,0.00015324676109226823,5.927669007977494e-05,6.757029451431096e-05,3.1186105305093e-05,1.2764860070375474e-06,1.5529725202629824e-05,-2.5335944548807933e-05
5,1.1567497861505835,37525218.99966774,6121.622271962122,248.88539288270817,1.9847208737924178,0.21556873357896095,0.026883958570744115,0.008915777069161602,2.0454992267340755,794.2573329533969,3.2905002594572332,0.8795533808247313,883.9502631363151,3.2905002594572332,0.8795533808247313,883.9502631363151,18.54171669443951,-2.1597149758391005e-05,-3.52865925994491e-05,3.465758112250765e-06,-0.00011236899290061593,6.573970946111438e-05,-0.0002945462173782117,0.00014113782906656147,-0.0005403883744818817,0.00020863750357994406,-0.0007946861033705865,0.0002540301969852124,-0.0010002048216734988,0.00027199652703581976,-0.0011092364230656062,0.00026588558539621376,-0.0010929030150396688,0.0002454198594747376,-0.0009465185448837034,0.00022299667789928,-0.0006901496959548166,0.000209494067858815,-0.0003643841278145901,0.0002106483583248766,-2.216619630078777e-05,0.00022506425907113976,0.0002817332683589499,0.00024460126847781366,0.0005015596291011539,0.00025721251473261075,0.0006095424425117968,0.0002514598800187109,0.0006011246788672009,0.000221231570103168,0.0004953679598775229,0.00016898211504132052,0.00033049302888926105,0.00010624333030081311,0.0001555895407844595,5.0915455368162946e-05,2.030325353090838e-05,2.1533950079374618e-05,-3.509945862951106e-05
6,1.1567497861505835,37525218.99966774,6121.622271962122,248.88539288270817,1.9847208737924178,0.21556873357896095,0.026883958570744115,0.008915777069161602,2.0454992267340755,794.2573329533969,3.2905002594572332,0.8795533808247313,883.9502631363151,3.2905002594572332,0.8795533808247313,883.9502631363151,22.794539931442603,-2.660059925998704e-05,-4.344376727462625e-05,1.8487895061835434e-05,-0.0001733887084444705,0.0001261238634245813,-0.00048348326902272336,0.00025578161744469575,-0.0009025878463972061,0.0003716329975748665,-0.001335141044974084,0.000449421758524667,-0.0016816268956734645,0.0004800431127415252,-0.0018589693759789219,0.00046917466543515125,-0.0018170185855014838,0.00043347241956584036,-0.0015480964293628715,0.00039438283736961986,-0.001088078091444964,0.0003709574427826576,-0.0005090185409074784,0.0003734178630198289,9.520264000764423e-05,0.000399390723398036,0.0006275098004955149,0.000434328068711787,0.0010069282775950663,0.00045646553278816957,0.0011846336423652207,0.00044502408478090314,0.0011533531234524945,0.0003889272568359555,0.0009481125666239295,0.00029282652799967034,0.0006382568479411477,0.00017804482384571594,0.0003126285680938501,7.765591537012409e-05,6.114802372081189e-05,2.6488901438131938e-05,-4.312353786635153e-05
7,1.1567497861505835,37525218.99966774,6121.622271962122,248.88539288270817,1.9847208737924178,0.21556873357896095,0.026883958570744115,0.008915777069161602,2.0454992267340755,794.2573329533969,3.2905002594572332,0.8795533808247313,883.9502631363151,3.2905002594572332,0.8795533808247313,883.9502631363151,25.062012282304714,-2.9294084460649135e-05,-4.782599572887996e-05,3.634563915609164e-05,-0.00023042802672972702,0.00018946320649092954,-0.0006685218532231576,0.0003732104326487003,-0.0012610977787517797,0.0005371850265924819,-0.0018720300014184788,0.0006473215245548773,-0.002359299723558581,0.000690774226046637,-0.002604306931744694,0.00067533850444525,-0.0025355718142130454,0.000624286429003889,-0.002142460692415897,0.000567937445433293,-0.001476778738757031,0.0005336404067100352,-0.0006422619333833151,0.00053646940784676,0.0002259606108898339,0.0005734422402713848,0.0009881257851747476,0.0006237180419054361,0.0015276872812776266,0.0006555904323221882,0.00177458204133183,0.0006385319957846315,0.001718896902587383,0.0005562007965053923,0.00141194171691054,0.0004154679478420768,0.0009546370144670042,0.00024778476068070465,0.0004760281586149606,0.00010184367797243176,0.00010667185806571479,2.9133566218443673e-05,-4.7373842231695575e-05
8,1.1567497861505835,37525218.99966774,6121.622271962122,248.88539288270817,1.9847208737924178,0.21556873357896095,0.026883958570744115,0.008915777069161602,2.0454992267340755,794.2573329533969,3.2905002594572332,0.8795533808247313,883.9502631363151,3.2905002594572332,0.8795533808247313,883.9502631363151,26.45667358493077,-3.0973166675765864e-05,-5.054703290031518e-05,5.544682937882913e-05,-0.00028582423709816565,0.0002540317550648936,-0.000852378747017629,0.0004916767515411713,-0.001619362904731803,0.0007036268801458653,-0.00240999812643273,0.0008462261964352862,-0.0030396030475839508,0.0009028925165976948,-0.003353877761854339,0.0008832715611052294,-0.003259837411226744,0.0008168722021683588,-0.002743711666120478,0.0007426625401392102,-0.001873054254655162,0.0006963997591871825,-0.0007831426721647821,0.0006984161876969113,0.0003496769853642264,0.0007455803138566523,0.0013428412037374386,0.0008109936376444219,0.002044005849070502,0.0008528956047836405,0.0023616231633091025,0.0008306635433691451,0.0022829611247266045,0.0007223660873865174,0.0018755201352371328,0.0005370016641731561,0.001271740921759637,0.00031630105056776873,0.0006408123800674774,0.00012479926762581166,0.0001538851163153682,3.0763813349958046e-05,-4.9963737670680646e-05
9,1.1567497861505835,37525218.99966774,6121.622271962122,248.88539288270817,1.9847208737924178,0.21556873357896095,0.026883958570744115,0.008915777069161602,2.0454992267340755,794.2573329533969,3.2905002594572332,0.8795533808247313,883.9502631363151,3.2905002594572332,0.8795533808247313,883.9502631363151,27.393353267513362,-3.212194252181123e-05,-5.23958586841213e-05,7.518593423052891e-05,-0.00034042482384420654,0.0003191626744650662,-0.001036023224691471,0.0006105045239818378,-0.001978655697777414,0.0008703224882834578,-0.0029508655139376936,0.0010455789172692258,-0.003725158529015851,0.0011159417609400432,-0.004111314852377406,0.001092615303785052,-0.003994578724571081,0.00101093850357756,-0.0033577384217651288,0.0009182809536542602,-0.002283774568060699,0.0008589118809523171,-0.0009392281968399251,0.0008588447974688369,0.000458484224970767,0.0009153000446738065,0.0016839497076962598,0.0009956101499998598,0.002548793528000721,0.0010478918558127013,0.0029396556088614814,0.001021093902643336,0.0028406642663465747,0.0008873458111786808,0.0023352411220704038,0.0006576223561161538,0.0015871149557341864,0.0003840128496989468,0.0008054158223640636,0.00014705543313354083,0.0002017695041688148,3.186381984957924e-05,-5.168195193185422e-05
10,1.1567497861505835,37525218.99966774,6121.622271962122,248.88539288270817,1.9847208737924178,0.21556873357896095,0.026883958570744115,0.008915777069161602,2.0454992267340755,794.2573329533969,3.2905002594572332,0.8795533808247313,883.9502631363151,3.2905002594572332,0.8795533808247313,883.9502631363151,28.060233780617278,-3.296028796072473e-05,-5.373060573325488e-05,9.527873186493337e-05,-0.00039459180860575106,0.00038452660515005506,-0.0012198292373086406,0.0007293406280536823,-0.0023394472950956607,0.0010369186657235097,-0.0034953323508697246,0.001245049900660348,-0.004417039511798403,0.0013296356981578135,-0.00487818557400451,0.0013031384986881805,-0.0047419257972333186,0.001206305433382784,-0.003987232530136532,0.0010946421484146116,-0.0027121155152972512,0.0010210209149386074,-0.0011140286687540777,0.0010175618742103436,0.0005487454373639964,0.001082359707024017,0.0020079235124234583,0.0011772995641718533,0.0030388549818822844,0.0012403357633516013,0.003505986369297724,0.001209664345217788,0.003389903709867611,0.001051109387585902,0.002789589655164108,0.0007774348410271125,0.0018997477113411692,0.0004511276337264711,0.000969190980187947,0.00016886204267861705,0.00024988442611710186,3.2653498871849355e-05,-5.2886492012413716e-05
