时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,6.901657622885133,118060329.15959117,0.0,958.6576264019367,2.56318630095905,0.5459514518335141,0.15422342355269256,0.009580824386809272,2.846068809080885,998.7703124271841,10.0,10.0,1000.0,10.0,10.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6.901657622885133,118060329.15959117,0.0,958.6576264019367,2.56318630095905,0.5459514518335141,0.15422342355269256,0.009580824386809272,2.846068809080885,998.7703124271841,10.0,10.0,1000.0,10.0,10.0,1000.0,10.127978345077889,-1.8371213630170116e-06,-1.5300096398410538e-06,1.5966723269457434e-05,-3.159193546296224e-05,5.3333143552246613e-05,-8.472448152392782e-05,9.545912825598595e-05,-0.00015115778684920717,0.00013165393728160725,-0.0002161594806539679,0.00015466014411091397,-0.00026491508999635066,0.00016205805358377904,-0.0002854048343695109,0.00015631930044451172,-0.00027079151926815364,0.00014350915290582653,-0.00022078167194594192,0.00013101505482633128,-0.00014178510101667252,0.00012493050308519708,-4.5768658826395484e-05,0.0001279063339432948,5.205169912984323e-05,0.00013820841390457597,0.0001362581465598513,0.00015034212521809076,0.00019434383300828662,0.00015704112296117384,0.00021916930812351405,0.00015193816312429143,0.00021022955821598245,0.00013203739828425732,0.00017353364190813788,9.918805305408696e-05,0.00012018518058970803,6.011638715529314e-05,6.405337912095363e-05,2.4890720985550027e-05,1.891098340488114e-05,1.8070691985302508e-06,-1.5638513941912148e-06
3,6.901657622885133,118060329.15959117,0.0,958.6576264019367,2.56318630095905,0.5459514518335141,0.15422342355269256,0.009580824386809272,2.846068809080885,998.7703124271841,10.0,10.0,1000.0,10.0,10.0,1000.0,23.57081263988541,-4.306583741854833e-06,-3.5252099849222553e-06,7.761588004739816e-05,-0.0001239769025683355,0.00023714606679653405,-0.00034745294275126035,0.0004173206217702218,-0.0006285394302153935,0.0005725930299262729,-0.0009040245159621138,0.000671685630497883,-0.0011096344558635919,0.000703870118291538,-0.001192941653255265,0.0006794287063140538,-0.0011239582904554346,0.0006243365886817171,-0.0009012981561955957,0.0005705880009248992,-0.000553031422938706,0.0005448012690299262,-0.00013177840820191046,0.000558651075210257,0.0002954221493059948,0.0006045076364261192,0.0006606519024393886,0.0006580478180112821,0.0009090330517430298,0.0006870530692783088,0.0010096979737088294,0.0006633598773938176,0.0009613292338652132,0.0005739379891020393,0.0007913667578199178,0.0004274376773100889,0.0005494481952830477,0.0002541268564924899,0.0002968788295291872,9.886493759726162e-05,9.415933894726316e-05,4.177025271639112e-06,-3.6753088514692014e-06
4,6.901657622885133,118060329.15959117,0.0,958.6576264019367,2.56318630095905,0.5459514518335141,0.15422342355269256,0.009580824386809272,2.846068809080885,998.7703124271841,10.0,10.0,1000.0,10.0,10.0,1000.0,30.308165246015385,-5.6028406132077685e-06,-4.454114852063943e-06,0.00018759494146623849,-0.0002695188007587653,0.0005496877733624976,-0.0007750463603950895,0.0009588344343250345,-0.0014133984471876354,0.0013123519115367582,-0.002040273538716837,0.0015392964167161584,-0.002508129766749838,0.0016145753465392346,-0.002696401799034212,0.0015603105353955047,-0.002535934523680172,0.0014345684693446734,-0.0020231829570126875,0.0013100891121845077,-0.0012222843774185063,0.0012484871221866316,-0.0002540687395504272,0.0012778451111974678,0.0007270061534677255,0.0013817742007209315,0.001564104754068956,0.001504633894774721,0.0021305333276918233,0.001571639386667872,0.0023555290775847267,0.0015169488236321798,0.002237146984798883,0.0013100238383317395,0.0018399420944453409,0.0009712169944869758,0.0012790891248721087,0.0005713210298066611,0.0006955368781298168,0.0002145471334054073,0.00022757278947359188,5.307976502544923e-06,-4.800708800098695e-06
5,6.901657622885133,118060329.15959117,0.0,958.6576264019367,2.56318630095905,0.5459514518335141,0.15422342355269256,0.009580824386809272,2.846068809080885,998.7703124271841,10.0,10.0,1000.0,10.0,10.0,1000.0,32.92987827416606,-6.15841624085796e-06,-4.7519785755052385e-06,0.0002998613800336568,-0.00041415278291365257,0.0008645487923237688,-0.0012046498346581056,0.0015026761791759203,-0.002205433622759899,0.0020552391466740717,-0.0031902169288086754,0.002412084001703793,-0.003927089267373032,0.002533204240577608,-0.004226549784063959,0.002451100394544921,-0.003979770350226402,0.0022544111880543585,-0.003180577221460891,0.0020560687367074805,-0.0019286206588035818,0.0019535859619699706,-0.0004125287051837634,0.0019934021987060998,0.0011257072677661123,0.0021522844113224223,0.002439557424422782,0.002344087443965746,0.003329410471351269,0.0024508075924743107,0.0036837830280256143,0.002367369044489793,0.003499917460219734,0.002044337771153092,0.0028797339036238097,0.0015133770740153,0.0020040496028950103,0.0008864258540588999,0.0010930186867276496,0.00032795485159670346,0.00036199934696663663,5.698429083149163e-06,-5.295907840511108e-06
6,6.901657622885133,118060329.15959117,0.0,958.6576264019367,2.56318630095905,0.5459514518335141,0.15422342355269256,0.009580824386809272,2.846068809080885,998.7703124271841,10.0,10.0,1000.0,10.0,10.0,1000.0,34.31218456914184,-6.490936261795732e-06,-4.8589331012545206e-06,0.00041275124493202805,-0.0005591745109162975,0.0011796063287422699,-0.0016376254476437968,0.0020461924460178304,-0.0030060204676176194,0.0027981231843012913,-0.004355354839825447,0.003286639420920134,-0.005368472212696628,0.0034563521559699143,-0.005786340548650535,0.0033486400083598458,-0.0054600738567943015,0.003081033905474074,-0.0043803687222262406,0.0028058891524807435,-0.0026815995566139947,0.0026573587957796265,-0.0006193444379758866,0.0027021841081692395,0.001477298622402137,0.0029123851531314728,0.0032718015389488586,0.003172421590865382,0.004490770853039207,0.0033206912276106983,0.004981103294761228,0.0032114466012940824,0.004738701464597914,0.002774871009901347,0.0039026097203206725,0.002053257223418713,0.002718885077014841,0.0011999467099301601,0.0014860504148132825,0.00044028491394576677,0.0004956054099920688,5.866371814146172e-06,-5.600073506130098e-06
7,6.901657622885133,118060329.15959117,0.0,958.6576264019367,2.56318630095905,0.5459514518335141,0.15422342355269256,0.009580824386809272,2.846068809080885,998.7703124271841,10.0,10.0,1000.0,10.0,10.0,1000.0,35.1576320832085,-6.726853832516549e-06,-4.882513785327034e-06,0.0005258489074871034,-0.0007048980824576058,0.0014942998782998356,-0.0020743099866930483,0.002588628186079001,-0.0038155290958651255,0.0035400483988339165,-0.005536145039679598,0.004161868701258993,-0.006832917151315176,0.004382900548966911,-0.007376707241986112,0.004251903391063337,-0.006978195537324375,0.003913566715624057,-0.005624442212943961,0.0035588103272946206,-0.0034837139347377293,0.0033590887539221236,-0.000877588456465615,0.0034033690849134867,0.001778301067478093,0.0036610812777432074,0.004057248850787199,0.003988512534760475,0.005611253461065858,0.004180188313190494,0.0062446278979307514,0.004048293717064842,0.005951278778206587,0.0035010986489270994,0.004906998448671583,0.002590732689381456,0.0034225768062573023,0.0015120696007302674,0.0018740120081020752,0.0005518670414843232,0.0006280067598506218,5.938367215598115e-06,-5.820533286573796e-06
8,6.901657622885133,118060329.15959117,0.0,958.6576264019367,2.56318630095905,0.5459514518335141,0.15422342355269256,0.009580824386809272,2.846068809080885,998.7703124271841,10.0,10.0,1000.0,10.0,10.0,1000.0,35.72074949744161,-6.911950782710106e-06,-4.861720179725606e-06,0.0006389706902722193,-0.0008514021961993107,0.0018083158234922872,-0.0025147224247011614,0.0031294825472556365,-0.004633913236287691,0.004280310230484664,-0.006732510425642309,0.005036910869694142,-0.00832037621204045,0.005311932200262725,-0.00899769661900536,0.005160030534649781,-0.008534342745974411,0.00475128338790769,-0.006913237035949749,0.004314242268233565,-0.004335700317937032,0.0040582481923653975,-0.0011883146101103411,0.004096382997378369,0.0020274068240474603,0.004397674475158684,0.0047944817362415345,0.004791542096732782,0.006689502850403944,0.005028451322932462,0.007473197686255452,0.004877168365534959,0.0071367486666436,0.004222500980555388,0.005892256289648499,0.003125551823279203,0.004114699537932436,0.0018227677240481611,0.0022566431954808793,0.000662796480601646,0.0007590503114825036,5.9603129182185455e-06,-5.996163611041473e-06
9,6.901657622885133,118060329.15959117,0.0,958.6576264019367,2.56318630095905,0.5459514518335141,0.15422342355269256,0.009580824386809272,2.846068809080885,998.7703124271841,10.0,10.0,1000.0,10.0,10.0,1000.0,36.11593475903633,-7.066772186389014e-06,-4.814116346316116e-06,0.0007520043418930572,-0.0009986897554883488,0.0021214142524651237,-0.002958774040838522,0.003668326931079023,-0.005460978199503745,0.005018270327806818,-0.007944176932264742,0.005910959826758761,-0.009830547128205922,0.006242569853690251,-0.010649032153793278,0.0060721873363294545,-0.010128317579017937,0.005593476324186832,-0.008246696045916104,0.005071617632037424,-0.0052377102991548845,0.004754347278291451,-0.0015519245651728437,0.004780709244970976,0.002223988126422097,0.005121537558227299,0.005482740446769769,0.005580760906207388,0.007724750660123042,0.005864679258644548,0.008666133519199213,0.005697336618429775,0.008294566890348054,0.004938522611911921,0.006857978207021245,0.0036573921685523676,0.004794974036483506,0.002131927726508401,0.0026337721335714737,0.0007730874067466949,0.0008886462393675685,5.952877664528684e-06,-6.144424179654852e-06
10,6.901657622885133,118060329.15959117,0.0,958.6576264019367,2.56318630095905,0.5459514518335141,0.15422342355269256,0.009580824386809272,2.846068809080885,998.7703124271841,10.0,10.0,1000.0,10.0,10.0,1000.0,36.402325034412634,-7.201910881567531e-06,-4.748815116563498e-06,0.0008648663504281524,-0.0011467324173746669,0.0024333868996635217,-0.003406327290580539,0.00420476617854713,-0.006296455415370223,0.005753321835326156,-0.009170766164780568,0.006783233543291955,-0.01136298924083379,0.007173949013987779,-0.012330261557825883,0.006987541820980071,-0.011759705008283876,0.006439435680557365,-0.009624500996242569,0.005830372371183052,-0.006189593635895298,0.005446913769674412,-0.0019684900659935494,0.005455865741150181,0.0023677538518404252,0.0058320889405301685,0.006121583790059804,0.00635546433985918,0.008716507313134676,0.0066881021749793925,0.009822981192614327,0.006508073461385825,0.009424355108898672,0.005648593914491993,0.007803869448208389,0.0041859003089948985,0.005463186880806456,0.0024393992945664945,0.003005264400670209,0.0008827208642471565,0.001016729717678172,5.926780338078705e-06,-6.274330323922397e-06
11,6.901657622885133,118060329.15959117,0.0,958.6576264019367,2.56318630095905,0.5459514518335141,0.15422342355269256,0.009580824386809272,2.846068809080885,998.7703124271841,10.0,10.0,1000.0,10.0,10.0,1000.0,36.61344789380608,-7.3233481809729e-06,-4.671012192573889e-06,0.000977486671894035,-0.0012954881165189377,0.002744040458242364,-0.003857224980305532,0.004738421012272806,-0.0071400489092478935,0.006484873130932386,-0.010411863795524813,0.007652962625866206,-0.012917217684092491,0.008105213934799353,-0.014040880086570619,0.007905267002401796,-0.013428027910247517,0.007288454457725541,-0.011046259698577992,0.006589945753799058,-0.007191113638339719,0.0061354817316193995,-0.00243798715886333,0.006121380310731383,0.0024585107005582565,0.006528758556394708,0.006710662094565626,0.007114957065131271,0.009664361721264147,0.007497953305206401,0.010943348210723715,0.007308648429086266,0.010525779100662306,0.006352131201326906,0.008729663549304085,0.004710703165819341,0.00611914117671446,0.002745011754058716,0.0033709960355325585,0.0009916612796012033,0.0011432453872156304,5.8881299105444904e-06,-6.390982539954716e-06
12,6.901657622885133,118060329.15959117,0.0,958.6576264019367,2.56318630095905,0.5459514518335141,0.15422342355269256,0.009580824386809272,2.846068809080885,998.7703124271841,10.0,10.0,1000.0,10.0,10.0,1000.0,36.76984974295059,-7.434729040024672e-06,-4.583920344558289e-06,0.0010898030260051033,-0.0014449061241773877,0.00305319353304017,-0.004311292009208398,0.005268929124606123,-0.007991429561801757,0.007212351720109619,-0.011667003425807213,0.008519393328193119,-0.01449267578552103,0.009035516380286008,-0.01578029197579331,0.008824534981899883,-0.015132698857208962,0.008139821504961363,-0.012511449885699568,0.00734977831543781,-0.008241885489713389,0.006819599618886634,-0.0029602321666619474,0.00677681064280025,0.0024962258839653566,0.0072110169298412055,0.00724977537002068,0.007858585728408845,0.010568033106763021,0.008293499944275206,0.012026948834264277,0.008098351827765957,0.01159858656398987,0.007048557970129929,0.00963515135811758,0.005231425014871477,0.006762674950184077,0.0030485873442055215,0.003730860796018854,0.0010998657485482182,0.0012681459953352125,5.840696637068259e-06,-6.497501281253507e-06
