时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,2.748781156924087,44229649.41299212,-4267.211565455978,184.5496513005052,1.8198363133017952,0.45942625950942373,0.07251905544215399,0.007322614276803344,2.093572251945327,1024.9155624342307,4.696356304015477,9.079541791982845,806.9911305311048,6.90110006814284,5.983167575290426,425.80483011538445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.748781156924087,44229649.41299212,-4267.211565455978,184.5496513005052,1.8198363133017952,0.45942625950942373,0.07251905544215399,0.007322614276803344,2.093572251945327,1024.9155624342307,4.696356304015477,9.079541791982845,806.9911305311048,6.90110006814284,5.983167575290426,425.80483011538445,18.436885081075797,-4.4112366797604916e-06,-2.2448511224594707e-06,1.865923576506154e-05,-3.2995257963586234e-05,6.983631079063033e-05,-9.400276858760736e-05,0.00013033224281557438,-0.00017350004456661677,0.0001841554280338514,-0.00025347336706772625,0.00021973472969082894,-0.0003152019752143893,0.00023247897448404477,-0.0003430001804208856,0.000225289234506976,-0.0003274246913392804,0.00020691887771414756,-0.0002672555639192836,0.0001886108640707037,-0.00017003081636175863,0.00017989511177822398,-5.0839363878664795e-05,0.00018493700070317846,7.065717156188738e-05,0.00020090062185469182,0.00017446151323370683,0.00021907447347442588,0.0002446088946930875,0.0002282777822269391,0.00027243844550050255,0.00021916892982731245,0.0002580379813519537,0.0001879456859789253,0.0002097855167853448,0.00013828271479888408,0.00014227399758081613,8.100070012864904e-05,7.319366653843788e-05,3.137834094065857e-05,1.9576857543136894e-05,2.9276156066920376e-06,-3.4996779076248674e-06
3,2.748781156924087,44229649.41299212,-4267.211565455978,184.5496513005052,1.8198363133017952,0.45942625950942373,0.07251905544215399,0.007322614276803344,2.093572251945327,1024.9155624342307,4.696356304015477,9.079541791982845,806.9911305311048,6.90110006814284,5.983167575290426,425.80483011538445,41.68243083224565,-1.008080082549416e-05,-4.985786171280551e-06,0.00010460463120037807,-0.00014043453169776548,0.0003450804746875029,-0.00042272923001029076,0.0006299764316683618,-0.0007934498748435878,0.000884393769834677,-0.0011675890341404215,0.0010534115724887298,-0.001455525403593092,0.0011145992361054921,-0.0015817042133969442,0.001080908315918454,-0.001500312534236556,0.0009935056599965912,-0.0012051657998412462,0.000906092635352692,-0.0007325848077952406,0.0008646984604797388,-0.00015582839664092662,0.000889668121294984,0.0004293201177158204,0.0009672750190340996,0.0009254522931465349,0.0010549824843401226,0.0012552754200090533,0.0010981661484399823,0.0013778307001354026,0.001051438911539,0.001295343727362131,0.0008969078702294066,0.0010503314878136806,0.0006535346164801571,0.0007147989682326882,0.00037494898990382786,0.00037454848994290585,0.00013574687467608307,0.00011134146974016636,6.5277572614156715e-06,-8.006087430651597e-06
4,2.748781156924087,44229649.41299212,-4267.211565455978,184.5496513005052,1.8198363133017952,0.45942625950942373,0.07251905544215399,0.007322614276803344,2.093572251945327,1024.9155624342307,4.696356304015477,9.079541791982845,806.9911305311048,6.90110006814284,5.983167575290426,425.80483011538445,50.384332191655574,-1.2362447178154245e-05,-5.8751548598083506e-06,0.00023078321665913207,-0.0002804992644176648,0.0007294014224771984,-0.0008652452257073625,0.0013204008267139948,-0.001636332089904455,0.0018494933734421182,-0.0024164055159054724,0.002202963442444695,-0.0030174839759064317,0.0023332412757262884,-0.003281008723365335,0.002265301112784413,-0.003110713428799586,0.0020830283943121825,-0.0024931696745946973,0.0018978201726590422,-0.0015038329847471671,0.001806853756414434,-0.00029584551602756566,0.0018547139676710225,0.0009296807350643645,0.0020144269032575657,0.00196756784697164,0.002197337960484076,0.0026549687623254677,0.0022880431020291664,0.002906298232657736,0.002190018529379077,0.002727782803814,0.0018651227375358884,0.0022105014722093577,0.001353827434811436,0.0015064053982926583,0.0007700005455755075,0.0007945525323221399,0.00027083209528598373,0.00024438143009439933,7.738703099257226e-06,-9.829681891370223e-06
5,2.748781156924087,44229649.41299212,-4267.211565455978,184.5496513005052,1.8198363133017952,0.45942625950942373,0.07251905544215399,0.007322614276803344,2.093572251945327,1024.9155624342307,4.696356304015477,9.079541791982845,806.9911305311048,6.90110006814284,5.983167575290426,425.80483011538445,53.91461979845994,-1.341940405011383e-05,-6.122598266997231e-06,0.00035911786799988334,-0.0004200874604214517,0.001115671263787467,-0.001310682392562741,0.002012420790279412,-0.0024883449394319367,0.0028168148172518113,-0.0036821718789990117,0.003357114426150551,-0.00460441798110144,0.003560024291191477,-0.0050127132043437505,0.0034606172934885573,-0.004760033929767585,0.003183362717434283,-0.0038253364912619573,0.00289644937203493,-0.0023224334079154346,0.002749292543034223,-0.00048349912952770266,0.0028133139359013946,0.0013852278031826924,0.0030509173857780143,0.002969989434720554,0.0033284826314486245,0.0040210207328864895,0.0034690002809299497,0.00440712466182619,0.0033227965097529077,0.004138454523456199,0.002829726955590519,0.0033550853025877737,0.0020513137393860055,0.0022889021995357766,0.0011624051490029888,0.0012112269648483847,0.0004037131341546203,0.0003778078377891855,8.119347082621876e-06,-1.0678944067170576e-05
6,2.748781156924087,44229649.41299212,-4267.211565455978,184.5496513005052,1.8198363133017952,0.45942625950942373,0.07251905544215399,0.007322614276803344,2.093572251945327,1024.9155624342307,4.696356304015477,9.079541791982845,806.9911305311048,6.90110006814284,5.983167575290426,425.80483011538445,55.81241963040479,-1.4090768611316034e-05,-6.166552584250187e-06,0.000488122144987422,-0.0005602302432644324,0.001502121397865956,-0.0017602870402151627,0.0027038796199827164,-0.00335091894993626,0.003783789544451459,-0.004966529863968521,0.004513011314907777,-0.006218337195780265,0.0047920505020209204,-0.0067794925194832895,0.004664157452095961,-0.006452029179052556,0.00429212238431701,-0.005206951272150945,0.0038998142454960906,-0.0031955225973881994,0.0036898027184940627,-0.0007277671672155504,0.003762928316373146,0.0017856114691459676,0.004073783618426612,0.003921864672217465,0.004445233430288829,0.0053431018839952705,0.004638082896972792,0.005871383270724376,0.004447554551351262,0.005520353272548515,0.003789586869508211,0.004479089131776681,0.0027459737746334005,0.0030590272027181064,0.0015529502535606518,0.001622540359527188,0.0005354900260645627,0.0005102786503096783,8.239308003145902e-06,-1.1218828129421593e-05
7,2.748781156924087,44229649.41299212,-4267.211565455978,184.5496513005052,1.8198363133017952,0.45942625950942373,0.07251905544215399,0.007322614276803344,2.093572251945327,1024.9155624342307,4.696356304015477,9.079541791982845,806.9911305311048,6.90110006814284,5.983167575290426,425.80483011538445,56.98567962225948,-1.4591817702842942e-05,-6.119548276607566e-06,0.0006173913346045151,-0.0007011764682476346,0.001888203987764047,-0.0022143393762392707,0.003394005181757348,-0.00422436960209929,0.004749389857299965,-0.006269863584848449,0.005669429843917718,-0.007859754683365375,0.006028030006370744,-0.008582058650809061,0.005874711719533632,-0.008187692417033505,0.005408269631191637,-0.00663939244490378,0.004907037642625622,-0.004124962180378446,0.004627553310291853,-0.0010310094445768081,0.0047026231903576216,0.0021281116220950953,0.0050819080404323706,0.004820391419073757,0.005546343565023989,0.006618642596352327,0.005794088149335955,0.007296965590796537,0.005563343825752336,0.006871915166794675,0.0047441576765079796,0.0055814501848838695,0.003437686555107328,0.0038161005924796897,0.0019418176048394116,0.002028055340948768,0.0006664535837421704,0.00064147587826669,8.244751575256535e-06,-1.161997048046727e-05
8,2.748781156924087,44229649.41299212,-4267.211565455978,184.5496513005052,1.8198363133017952,0.45942625950942373,0.07251905544215399,0.007322614276803344,2.093572251945327,1024.9155624342307,4.696356304015477,9.079541791982845,806.9911305311048,6.90110006814284,5.983167575290426,425.80483011538445,57.772298714160044,-1.5002615642595327e-05,-6.023520572253062e-06,0.0007467407809570852,-0.0008429888268498549,0.0022735903139787443,-0.0026728512544290945,0.004082239612527936,-0.005108649342254351,0.005712795083478884,-0.007592094490173482,0.006825337878229782,-0.009528610123389437,0.007266839469813023,-0.01042041302384825,0.007091205254897893,-0.00996712705306053,0.006530878317228221,-0.008122927324770988,0.005917355452186313,-0.00511126561473917,0.00556185913559335,-0.0013940349861859575,0.005631661062490864,0.0024116704145317113,0.00607440774614765,0.005664410501026522,0.006630794985213383,0.007846560246728895,0.006935976185849846,0.008682987485009782,0.006669262696251731,0.008192486965782654,0.0056928095451775195,0.00666171593628282,0.00412614150526364,0.004559820294167937,0.0023289557156750827,0.002427573846043277,0.0007966824942654862,0.0007712663705452553,8.190130119874319e-06,-1.1945850846180266e-05
9,2.748781156924087,44229649.41299212,-4267.211565455978,184.5496513005052,1.8198363133017952,0.45942625950942373,0.07251905544215399,0.007322614276803344,2.093572251945327,1024.9155624342307,4.696356304015477,9.079541791982845,806.9911305311048,6.90110006814284,5.983167575290426,425.80483011538445,58.32662955565032,-1.535968418157226e-05,-5.897674456709156e-06,0.0008760560959253053,-0.0009856686949858827,0.00265802047565434,-0.003135742198589361,0.00476809038880812,-0.006003580174463021,0.006673244360140784,-0.008932973004341462,0.007979754104397717,-0.01122463013594472,0.008507394066905358,-0.01229429701561147,0.008312588810461558,-0.011790119039029573,0.007659039580974061,-0.009657436933621382,0.006930022726724794,-0.006154488590080549,0.0064920674616002405,-0.0018171384434922063,0.006549355004547233,0.002635767385490786,0.007050461343340008,0.006453279000995419,0.007697624579605555,0.009026225331744821,0.008062735016627647,0.010028925745531568,0.007764395852741226,0.009481673887278483,0.006634856047071077,0.00771959920985565,0.004810942525937842,0.005289981881136091,0.002714222504323445,0.0028209602256456887,0.0009261814589828453,0.0008995711074135795,8.100370102392245e-06,-1.222543749806211e-05
10,2.748781156924087,44229649.41299212,-4267.211565455978,184.5496513005052,1.8198363133017952,0.45942625950942373,0.07251905544215399,0.007322614276803344,2.093572251945327,1024.9155624342307,4.696356304015477,9.079541791982845,806.9911305311048,6.90110006814284,5.983167575290426,425.80483011538445,58.72923879840023,-1.56820400996235e-05,-5.7520778681268315e-06,0.0010052514255206116,-0.0011291920732583248,0.003041263798546251,-0.0036028909180638234,0.005451094453934232,-0.006908922620265174,0.007630004499139948,-0.010292165805143758,0.00913171961664245,-0.012947436258808308,0.009748623411330473,-0.014203325906230885,0.009537819501773374,-0.01365630418411556,0.008791846498582391,-0.011242623340689342,0.007944299017889121,-0.00725447787833312,0.007417539714601447,-0.002300383183329972,0.007455044066204885,0.0028001192157394994,0.008009279926347788,0.007186576984716291,0.008745897685752633,0.010157200461297412,0.009173366473123343,0.011334408669126675,0.008847820955627335,0.01073918960670146,0.007569583607569037,0.008754882254365532,0.005491654063213144,0.006006421209232695,0.0030974358455995556,0.0032081034430757054,0.001054924098314262,0.0010263322094875359,7.988529216959072e-06,-1.2473824545341016e-05
