时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,2.4545140534306413,48036368.648075856,3815.0215256478004,185.35265587759017,1.0875226302974341,0.08762582919111588,0.054265467283213034,0.0068143172843616664,1.106067228288522,563.0762410012542,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.4545140534306413,48036368.648075856,3815.0215256478004,185.35265587759017,1.0875226302974341,0.08762582919111588,0.054265467283213034,0.0068143172843616664,1.106067228288522,563.0762410012542,10.0,10.0,0.0,10.0,10.0,0.0,2.14118142217542,-1.1462955335585258e-06,-3.6568464092422547e-07,-8.689509147086538e-06,1.6560029253258863e-05,-1.3753273257495582e-05,3.2341072457091346e-05,-1.7323391910223356e-05,4.42015726997622e-05,-1.92615194360822e-05,5.0322140210777576e-05,-1.97398863570708e-05,4.952668629587146e-05,-1.9168573155700947e-05,4.140617593077429e-05,-1.8092215247731774e-05,2.6363270008896502e-05,-1.7072026193167767e-05,5.574707206546958e-06,-1.65730096982585e-05,-1.9125218518351164e-05,-1.687438580538745e-05,-4.542756175328318e-05,-1.80162610355417e-05,-7.077900200217819e-05,-1.9788943218138896e-05,-9.263587541433454e-05,-2.176435326746933e-05,-0.00010871658559073566,-2.3362967090357788e-05,-0.00011722781177866632,-2.394543030850896e-05,-0.00011704301374816829,-2.291566568974638e-05,-0.00010781633561493489,-1.9821783596378057e-05,-9.002123049011931e-05,-1.4441832791537727e-05,-6.490892178869966e-05,-6.84027196466272e-06,-3.439125932378629e-05,1.1461148824203044e-06,-3.661442900170591e-07
3,2.4545140534306413,48036368.648075856,3815.0215256478004,185.35265587759017,1.0875226302974341,0.08762582919111588,0.054265467283213034,0.0068143172843616664,1.106067228288522,563.0762410012542,10.0,10.0,0.0,10.0,10.0,0.0,4.6165370191419335,-2.473158944634985e-06,-7.884348852077584e-07,-2.10683829208543e-05,4.311699612619921e-05,-3.3882951664975216e-05,8.386878195505927e-05,-4.290975233033603e-05,0.00011478487390168484,-4.7819351248230904e-05,0.00013138148101936547,-4.904863244852738e-05,0.00013075497556807656,-4.762220636453899e-05,0.00011188801544155407,-4.4896865498921737e-05,7.576114411640808e-05,-4.2269671951506994e-05,2.5261291679046683e-05,-4.0899287438179984e-05,-3.510448816788912e-05,-4.148534475659905e-05,-9.965918386794838e-05,-4.413798608063362e-05,-0.00016212283341073068,-4.835297440288191e-05,-0.00021623798949194832,-5.3090425954952125e-05,-0.0002563910045610405,-5.6940372354993735e-05,-0.00027816860113857595,-5.8348015826314954e-05,-0.0002787968724529622,-5.586619709128317e-05,-0.0002574212693081122,-4.8401715862669516e-05,-0.000215201294662314,-3.542423137837417e-05,-0.0001552080535649334,-1.7104461397466753e-05,-8.213526084976057e-05,2.4727146977621585e-06,-7.894946482715005e-07
4,2.4545140534306413,48036368.648075856,3815.0215256478004,185.35265587759017,1.0875226302974341,0.08762582919111588,0.054265467283213034,0.0068143172843616664,1.106067228288522,563.0762410012542,10.0,10.0,0.0,10.0,10.0,0.0,7.286268001114607,-3.90634754286121e-06,-1.2443538367266667e-06,-3.857575358408274e-05,8.492085259600823e-05,-6.312854716662857e-05,0.0001645430583195899,-8.0404729803652e-05,0.00022548541134507835,-8.981359548428344e-05,0.0002593912165047034,-9.219645789601041e-05,0.00026083887098302865,-8.949422761334527e-05,0.00022791491825150789,-8.426791622700323e-05,0.00016242535915530056,-7.915101924213978e-05,6.972743193044647e-05,-7.632797508752509e-05,-4.180249990782291e-05,-7.71232259310029e-05,-0.00016160732921636405,-8.176078024728557e-05,-0.0002780055307344912,-8.932197210042668e-05,-0.0003793560845830786,-9.789611712894862e-05,-0.0004552149772161227,-0.0001048910954125996,-0.0004973705606372057,-0.00010745222911197344,-0.0005006596299793606,-0.00010292889324885444,-0.00046348748241133386,-8.932768714550356e-05,-0.00038800313350505634,-6.569565862158308e-05,-0.00027990797734070124,-3.2375033045924674e-05,-0.00014791634023051265,3.905521454327651e-06,-1.2461833987607308e-06
5,2.4545140534306413,48036368.648075856,3815.0215256478004,185.35265587759017,1.0875226302974341,0.08762582919111588,0.054265467283213034,0.0068143172843616664,1.106067228288522,563.0762410012542,10.0,10.0,0.0,10.0,10.0,0.0,10.025076442228288,-5.379264106435653e-06,-1.7119983415223088e-06,-6.391756625757016e-05,0.00015105636295577115,-0.0001065105698704588,0.0002916318494565545,-0.00013643670031343526,0.0004000761318896536,-0.00015273997752822415,0.0004622852567189098,-0.00015689365157118873,0.00046909308640398386,-0.00015223737732918024,0.0004172436018440911,-0.00014315859368294574,0.0003097537165642988,-0.00013415844732689796,0.00015563301768024187,-0.00012896560484598028,-3.101303539606606e-05,-0.00012984322308295094,-0.00023239865648475396,-0.00013719019215610999,-0.00042884133452511514,-0.00014948076945527447,-0.0006007275412337824,-0.000163529413930637,-0.0007304623468627985,-0.00017502090756511807,-0.0008042129908662505,-0.00017921592841151407,-0.0008132817261444476,-0.00017172976177844682,-0.0007549796548086878,-0.00014928340365211114,-0.0006329196350993623,-0.00011033606766444747,-0.000456692265615528,-5.550765412815879e-05,-0.0002409536417667019,5.377873014852137e-06,-1.714835751727006e-06
6,2.4545140534306413,48036368.648075856,3815.0215256478004,185.35265587759017,1.0875226302974341,0.08762582919111588,0.054265467283213034,0.0068143172843616664,1.106067228288522,563.0762410012542,10.0,10.0,0.0,10.0,10.0,0.0,13.47647524773411,-7.240825741886437e-06,-2.301061022208172e-06,-0.00011720188163680554,0.0003009777713303031,-0.00019985986360333371,0.0005786560992328636,-0.0002577739342452042,0.0007945850754363901,-0.0002892503369338167,0.0009222882468904888,-0.00029721572196357484,0.0009445275722287807,-0.0002881428371181729,0.0008551454325364658,-0.0002704712647199749,0.0006597627473079683,-0.0002528108991925936,0.0003752595129775574,-0.00024225252262192993,2.8087940626203698e-05,-0.00024306877513998961,-0.0003483948148171733,-0.00025599514018281454,-0.0007172846040555742,-0.00027816278048040186,-0.0010418240511576632,-0.0003036409590210456,-0.0012890575440357157,-0.00032445912629538434,-0.001433092395198412,-0.00033192908535074553,-0.001457661186669271,-0.0003180747928206254,-0.0013577493326541832,-0.00027699087446386294,-0.0011401362742356502,-0.00020597656615916186,-0.0008227841279877152,-0.00010629819675849562,-0.00043312067482243616,7.238221151729155e-06,-2.305802490557426e-06
7,2.4545140534306413,48036368.648075856,3815.0215256478004,185.35265587759017,1.0875226302974341,0.08762582919111588,0.054265467283213034,0.0068143172843616664,1.106067228288522,563.0762410012542,10.0,10.0,0.0,10.0,10.0,0.0,15.628804342403118,-8.407840309467016e-06,-2.6680437744575175e-06,-0.0001778166415343206,0.00047861921100848863,-0.00030765157223048325,0.0009178738643296815,-0.0003983471505842525,0.0012606513428981448,-0.0004474011691492658,0.001466177886853613,-0.0004595452592454949,0.0015078884691043903,-0.00044504662663492623,0.0013762895131687557,-0.0004171946842917165,0.0010800553940877359,-0.00038945402337056884,0.000645230873427139,-0.0003728150367718184,0.00011261748249265688,-0.0003737973153845502,-0.00046636032875311135,-0.0003933969088531284,-0.001034850380572238,-0.0004270677909669927,-0.0015362725782024074,-0.0004656406664057351,-0.0019199428016613877,-0.0004969477335489915,-0.002146077725311288,-0.0005078574979731742,-0.002189718938992958,-0.0004864229326636245,-0.0020432213124357474,-0.0004238860591553086,-0.0017170761006566992,-0.00031633410361122484,-0.0012389674365107456,-0.0001658194717557938,-0.0006511250582891772,8.403834721660772e-06,-2.674794067871861e-06
8,2.4545140534306413,48036368.648075856,3815.0215256478004,185.35265587759017,1.0875226302974341,0.08762582919111588,0.054265467283213034,0.0068143172843616664,1.106067228288522,563.0762410012542,10.0,10.0,0.0,10.0,10.0,0.0,16.92784620703908,-9.118049752992975e-06,-2.889207464826517e-06,-0.00023807357434582602,0.0006572464875757326,-0.0004155173183405759,0.0012584452276510302,-0.0005391063392423066,0.0017281334016500706,-0.0006055585661677457,0.002011211883937831,-0.0006215338219102142,0.002071779853151437,-0.0006012716641267811,0.0018970367480267345,-0.0005630812226141563,0.0014987875923119418,-0.0005253828583288868,0.0009123622451310991,-0.0005030629701474552,0.00019305552652830433,-0.00050478236129096,-0.0005894999003520666,-0.0005316296053301793,-0.0013583899746222503,-0.0005772131812673066,-0.0020371391331746773,-0.0006290178625180953,-0.0025573052135854217,-0.000670670155812367,-0.00286522145906104,-0.0006846870577125569,-0.002927273199590725,-0.000655307264922013,-0.002733240358558714,-0.0005710834308420631,-0.002297400374133174,-0.0004270011605429895,-0.0016572538446746915,-0.00022591962642804777,-0.0008699468817144096,9.11264075508869e-06,-2.89789151977701e-06
9,2.4545140534306413,48036368.648075856,3815.0215256478004,185.35265587759017,1.0875226302974341,0.08762582919111588,0.054265467283213034,0.0068143172843616664,1.106067228288522,563.0762410012542,10.0,10.0,0.0,10.0,10.0,0.0,17.78846883900751,-9.594444103553945e-06,-3.035446121556441e-06,-0.0002978781729777205,0.0008344673862499401,-0.0005228908181566529,0.0015959495610889472,-0.0006791541499196079,0.002190858471128106,-0.0007626334255732477,0.0025498076075642245,-0.000782026133758828,0.002627597914805533,-0.0007556974714729908,0.002408173018819772,-0.0007071144503448002,0.0019065411556259875,-0.0006597203059029288,0.0011674061329042694,-0.0006322627341343394,0.00026064443862312505,-0.0006354141580543326,-0.0007258360064106372,-0.0006701737661895656,-0.0016950291746647627,-0.0007281328954351756,-0.0025505751618800495,-0.0007933285334258686,-0.003206318694912719,-0.0008451841022452194,-0.003594774072858596,-0.0008619693073651515,-0.003673740123941508,-0.0008242749982067256,-0.0034304878861559276,-0.0007181313744229498,-0.002883141567091132,-0.0005375282840941964,-0.0020790771119942094,-0.0002861383397754217,-0.0010904189613419781,9.58763596511448e-06,-3.046029610476938e-06
10,2.4545140534306413,48036368.648075856,3815.0215256478004,185.35265587759017,1.0875226302974341,0.08762582919111588,0.054265467283213034,0.0068143172843616664,1.106067228288522,563.0762410012542,10.0,10.0,0.0,10.0,10.0,0.0,18.394636224443907,-9.936029853604253e-06,-3.1381972602222895e-06,-0.0003571910620737936,0.0010093032097520439,-0.0006295241464147571,0.0019285832019689901,-0.0008180958981447585,0.002646305543272095,-0.000918146342411651,0.0030788576391642705,-0.0009405144855755219,0.003171796470241752,-0.0009078334827313338,0.0029058696534478463,-0.0008488517807303792,0.0022993607011790045,-0.0007920867249503717,0.001406426114095004,-0.0007600981053622387,0.00031159330061033815,-0.0007654295623319659,-0.0008789137176780863,-0.0008088032621474303,-0.002047996819117865,-0.0008796212284534589,-0.0030794525511164744,-0.0009583743720019812,-0.0038694830478650465,-0.0010202913428207013,-0.004336866974900593,-0.0010395044294456647,-0.004430897209912411,-0.000993126768176161,-0.004136404622106789,-0.0008648334772033723,-0.00347541582542102,-0.0006477211510862894,-0.0025052292938313268,-0.00034627522416657045,-0.001312992734658087,9.927829771901429e-06,-3.1506660816006567e-06
