时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,2.082496935559329,34619627.08774786,4272.745831625256,116.02528801024016,2.142531897241673,0.17033164842880824,0.06786904725696709,0.006538852446246737,2.17811340006055,1189.7764051459565,4.608876140885838,9.221372251053992,714.8359982061406,9.965432320292248,8.798181700667527,637.040974739857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.082496935559329,34619627.08774786,4272.745831625256,116.02528801024016,2.142531897241673,0.17033164842880824,0.06786904725696709,0.006538852446246737,2.17811340006055,1189.7764051459565,4.608876140885838,9.221372251053992,714.8359982061406,9.965432320292248,8.798181700667527,637.040974739857,2.0581148414539636,-1.0877938592376116e-06,-1.5937048633762812e-07,3.378315629939502e-07,-7.311630964575223e-06,4.012188676337071e-06,-2.2019979728100507e-05,8.192628646384976e-06,-4.08488605731116e-05,1.177814034602974e-05,-5.961803365036465e-05,1.4069417948624626e-05,-7.423798437414882e-05,1.485552026509703e-05,-8.145344508820794e-05,1.4374086525231451e-05,-7.942591494988774e-05,1.3173327801525052e-05,-6.804437568882624e-05,1.1913020569670437e-05,-4.891190782659159e-05,1.1151086503365555e-05,-2.5014410616021902e-05,1.1167712794925487e-05,-1.3528765192571277e-07,1.1875838078610148e-05,2.1873837213443394e-05,1.2849704474494573e-05,3.782798890252359e-05,1.3471203671441017e-05,4.5807419026186474e-05,1.3154776055908177e-05,4.550231171664984e-05,1.1580431812264108e-05,3.823548198836545e-05,8.855387789175894e-06,2.665858946431413e-05,5.54449581363888e-06,1.4183671687842427e-05,2.5560918193337255e-06,4.2591586053514716e-06,4.941948991114923e-07,-1.833974620501324e-07
3,2.082496935559329,34619627.08774786,4272.745831625256,116.02528801024016,2.142531897241673,0.17033164842880824,0.06786904725696709,0.006538852446246737,2.17811340006055,1189.7764051459565,4.608876140885838,9.221372251053992,714.8359982061406,9.965432320292248,8.798181700667527,637.040974739857,4.4746130874194785,-2.3668057795849426e-06,-3.442303249449692e-07,1.2001132875663967e-06,-1.746238378113847e-05,1.0100702679356336e-05,-5.287261132875152e-05,2.023724919110554e-05,-9.829545955389148e-05,2.8941133294706262e-05,-0.00014358892775603735,3.451059205181967e-05,-0.00017878014843030425,3.6427349992963046e-05,-0.00019590703733456328,3.526463711269101e-05,-0.00019046282361421065,3.235492286448347e-05,-0.00016217123619683587,2.9307169782922583e-05,-0.00011496313501727232,2.7485638016379148e-05,-5.616955373222664e-05,2.757661636035178e-05,4.912526495842276e-06,2.936417070173779e-05,5.881171543958155e-05,3.179587559666502e-05,9.769103890664342e-05,3.334106089465409e-05,0.00011682468339539761,3.254653853311778e-05,0.00011545253990068001,2.8615612103622237e-05,9.684407533838093e-05,2.1812406445613433e-05,6.756036482841841e-05,1.3542365325892417e-05,3.606620314211156e-05,6.074467477990469e-06,1.0961727860193245e-05,1.0740273125645928e-06,-4.012508867530072e-07
4,2.082496935559329,34619627.08774786,4272.745831625256,116.02528801024016,2.142531897241673,0.17033164842880824,0.06786904725696709,0.006538852446246737,2.17811340006055,1189.7764051459565,4.608876140885838,9.221372251053992,714.8359982061406,9.965432320292248,8.798181700667527,637.040974739857,7.125342608984554,-3.7726409729831626e-06,-5.428296541471314e-07,2.9988615127617722e-06,-3.14657197528276e-05,1.9291473090795633e-05,-9.58417009153272e-05,3.785928151104712e-05,-0.00017858821985739635,5.381930134554904e-05,-0.0002611133385136716,6.404631084634278e-05,-0.0003250382997137037,6.757887421434624e-05,-0.0003556443988910882,6.545907854031997e-05,-0.0003445815094451561,6.013062304450603e-05,-0.0002913315926799235,5.455713302712073e-05,-0.00020318493876903739,5.126184012114415e-05,-9.375571442466109e-05,5.1519606504085025e-05,1.9674644582980895e-05,5.492900410556859e-05,0.00011948615016097281,5.9522928336363704e-05,0.00019108939601483613,6.24308499946404e-05,0.0002256838403588362,6.091956650496135e-05,0.00022186263358659744,5.348530263267052e-05,0.00018574773294471132,4.06217645783969e-05,0.00012963359574799936,2.4980649776957617e-05,6.942167083468081e-05,1.0856761554262166e-05,2.1348684240821415e-05,1.7091369538330177e-06,-6.446974215914508e-07
5,2.082496935559329,34619627.08774786,4272.745831625256,116.02528801024016,2.142531897241673,0.17033164842880824,0.06786904725696709,0.006538852446246737,2.17811340006055,1189.7764051459565,4.608876140885838,9.221372251053992,714.8359982061406,9.965432320292248,8.798181700667527,637.040974739857,9.938533738891863,-5.269274908447245e-06,-7.457536777831457e-07,6.49696096573491e-06,-5.16766658771642e-05,3.370653695017572e-05,-0.00015841622185358028,6.472160526741936e-05,-0.00029587624347062597,9.140328872613888e-05,-0.00043296764915997824,0.00010852808169753416,-0.000538799391410575,0.00011447179133955842,-0.0005885564472581813,0.00011095404784508856,-0.0005681295596878031,0.00010205054842551102,-0.00047663531391612036,9.273399758843755e-05,-0.00032641121226518327,8.726583272457533e-05,-0.00014052751680082362,8.781950845753417e-05,5.170009815163444e-05,9.372735508516866e-05,0.0002203538458580063,0.0001016394303163965,0.0003406430449016801,0.00010663740434946608,0.0003976102313482031,0.00010401817983356439,0.00038888539210335077,9.118310866364248e-05,0.0003249438761258896,6.897632937435156e-05,0.00022682840859956048,4.197479924403157e-05,0.00012181398271690044,1.7607181314453258e-05,3.7873309627582676e-05,2.381216296488029e-06,-9.111494312459191e-07
6,2.082496935559329,34619627.08774786,4272.745831625256,116.02528801024016,2.142531897241673,0.17033164842880824,0.06786904725696709,0.006538852446246737,2.17811340006055,1189.7764051459565,4.608876140885838,9.221372251053992,714.8359982061406,9.965432320292248,8.798181700667527,637.040974739857,13.2887701943578,-7.062504751013526e-06,-9.66747726050122e-07,1.4816729124724796e-05,-8.976002964748062e-05,6.30097517001149e-05,-0.0002773274194846704,0.00011790688421718449,-0.000519369805235337,0.00016517041478278943,-0.0007607484379831975,0.00019558647387477414,-0.0009463723554625422,0.00020624654027112907,-0.0010318353327278308,0.00020011188516347113,-0.0009918191260864938,0.0001843283888104095,-0.0008247070916486731,0.00016771382386502888,-0.0005526514407269567,0.00015792864838037415,-0.00021716089924018388,0.00015897453590616063,0.00012893581017117618,0.00016974385301729247,0.00043164901534491814,0.00018420578857354552,0.0006461887931034874,0.00019337783184494736,0.0007455166406666537,0.0001885965384890286,0.0007253874001686738,0.00016503742275936697,0.0006048744842680295,0.00012423063470303427,0.00042229923336575473,7.461799916112155e-05,0.00022743212956365826,2.9911871224334323e-05,7.15264609175043e-05,3.176111016759514e-06,-1.248940806483805e-06
7,2.082496935559329,34619627.08774786,4272.745831625256,116.02528801024016,2.142531897241673,0.17033164842880824,0.06786904725696709,0.006538852446246737,2.17811340006055,1189.7764051459565,4.608876140885838,9.221372251053992,714.8359982061406,9.965432320292248,8.798181700667527,637.040974739857,15.645297537702945,-8.338791155584426e-06,-1.0924131020986376e-06,2.6613267427746093e-05,-0.0001366827449954384,0.00010093640115263964,-0.00042476158001505444,0.00018550197548215477,-0.0007971011263385173,0.0002583593589601888,-0.0011685727625518115,0.00030541551439371384,-0.0014537966080149921,0.00032214637738613763,-0.0015837699136559196,0.00031292863672525983,-0.001519030293213095,0.00028856941508873164,-0.0012569272842434887,0.000262600310163218,-0.0008318189434307044,0.00024699537026408015,-0.00030828914256232436,0.00024823117181087257,0.00023130709401735067,0.0002648439858169925,0.0007026624408630213,0.00028752185859827077,0.0010357231897202119,0.0003021004854267453,0.0011881294556670757,0.00029475972263159553,0.0011531904520072616,0.00025771828134450926,0.0009607790726837154,0.0001933354209477668,0.0006710113933187455,0.00011501981199314352,0.0003620822799372083,4.454996092463917e-05,0.00011471990453585217,3.727290983977158e-06,-1.515088701800848e-06
8,2.082496935559329,34619627.08774786,4272.745831625256,116.02528801024016,2.142531897241673,0.17033164842880824,0.06786904725696709,0.006538852446246737,2.17811340006055,1189.7764051459565,4.608876140885838,9.221372251053992,714.8359982061406,9.965432320292248,8.798181700667527,637.040974739857,17.075134671807717,-9.127040840472931e-06,-1.1414037805812848e-06,3.9178341906693357e-05,-0.00018356950356683538,0.00013966346824038404,-0.0005726698497337785,0.0002538804793587208,-0.0010762874731540398,0.00035236612689751236,-0.0015792211077941196,0.00041623663760101816,-0.0019656109402370735,0.000439324566917118,-0.0021416112530262756,0.00042726297778699425,-0.0020533612170391346,0.000394322536171768,-0.0016969557026274317,0.00035865056746227884,-0.0011188101247862877,0.00033662107636577015,-0.0004065446509151517,0.0003374226414200376,0.0003278636443837995,0.00035948726899255395,0.0009695656837637064,0.00039033863371578775,0.0014229410297370438,0.0004105488677438203,0.001630007737533887,0.0004009251823962762,0.0015814093694733378,0.00035052496358943915,0.0013177211602249505,0.0002624693410896891,0.0009208793680494913,0.00015522714448759403,0.0004976292232342113,5.880837819227933e-05,0.00015838098807335644,4.05472036277849e-06,-1.7020813585561702e-06
9,2.082496935559329,34619627.08774786,4272.745831625256,116.02528801024016,2.142531897241673,0.17033164842880824,0.06786904725696709,0.006538852446246737,2.17811340006055,1189.7764051459565,4.608876140885838,9.221372251053992,714.8359982061406,9.965432320292248,8.798181700667527,637.040974739857,18.02712482276948,-9.664174151107475e-06,-1.1508272717733201e-06,5.211981818495306e-05,-0.00023046405937108663,0.00017872149413762997,-0.0007210367574520028,0.00032250326119458893,-0.0013569016344723553,0.00044660604957267545,-0.0019927905340805956,0.0005274527997335676,-0.0024822479931373045,0.000557204549462958,-0.0027063809481542014,0.0005425800895566739,-0.002596670162496197,0.0005010946447597146,-0.002147675300580613,0.0004553888475514634,-0.0014176104697562807,0.00042630600703245317,-0.0005169466362918767,0.0004259839559153412,0.0004127800058184105,0.0004530236554741047,0.001226093834476328,0.0004919386975835596,0.0018015937086175004,0.0005179962967909329,0.002065391593023077,0.0005064422638697677,0.0020051821011103656,0.00044296970280381805,0.001672010152644502,0.00033136635611012857,0.0011694709693889991,0.00019520262886014636,0.0006327801864243882,7.282390250613172e-05,0.00020204984118424042,4.267107310952252e-06,-1.8479180008984804e-06
10,2.082496935559329,34619627.08774786,4272.745831625256,116.02528801024016,2.142531897241673,0.17033164842880824,0.06786904725696709,0.006538852446246737,2.17811340006055,1189.7764051459565,4.608876140885838,9.221372251053992,714.8359982061406,9.965432320292248,8.798181700667527,637.040974739857,18.701517704145783,-1.0056003107313665e-05,-1.1372487362941685e-06,6.52622178996205e-05,-0.000277385323149209,0.00021790169168990525,-0.0008698657245547914,0.00039113264910298456,-0.001638972934698128,0.0005408229413291608,-0.0024094160400499154,0.0006388038291341333,-0.003004052194360861,0.000675538260967318,-0.003278740530355308,0.0006586564340714824,-0.0031500254677668377,0.0006086891726154158,-0.002610612796519096,0.000552634482410623,-0.001730202704877784,0.0005158635876969916,-0.0006418685939623553,0.0005136996616598774,0.0004834186564124688,0.0005451972491034064,0.0014695192815706965,0.0005920346561436619,0.002169058479291391,0.0006241535982905074,0.0024919467716940503,0.0006110610574452589,0.0024226043705973975,0.0005348791431188862,0.0020222480350721517,0.00039994904735014017,0.0014158939593222851,0.00023495874554466134,0.0007670735365075906,8.666944358215505e-05,0.0002455620121050567,4.412982952475884e-06,-1.9696170345877336e-06
