时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.6170484477379214,21670565.580084853,1.3642420526593924e-12,16.314414007420567,0.740123942791808,0.14254067915094018,0.04696079374824638,0.0029406829244023698,0.8078942020889545,931.1161831195359,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.6170484477379214,21670565.580084853,1.3642420526593924e-12,16.314414007420567,0.740123942791808,0.14254067915094018,0.04696079374824638,0.0029406829244023698,0.8078942020889545,931.1161831195359,10.0,10.0,0.0,10.0,10.0,0.0,15.835339703184806,-1.013499164834436e-06,-7.782941234228272e-07,-5.746785517163229e-05,7.021933317134158e-05,-0.00010346929229907757,0.0001370781602442928,-0.00013686037944285145,0.00019113755782639724,-0.00015616753544936613,0.00022626250316000067,-0.0001622927517938832,0.00023817936155107078,-0.00015816497056909075,0.00022498577922006562,-0.0001480632610701188,0.00018741502763337917,-0.00013673207996612506,0.00012884766372271635,-0.00012841510113674524,5.501823333088119e-05,-0.00012598450064432877,-2.657466470298251e-05,-0.00013034411958983113,-0.00010750523366460628,-0.00014024257223461438,-0.00017939133781282282,-0.0001525391826639974,-0.00023485020886854387,-0.00016285342089487572,-0.00026829713198004367,-0.00016644591267113133,-0.0002764955247159861,-0.000159150095060352,-0.0002588237853771109,-0.0001381991291525694,-0.0002172793560519606,-0.00010282667011606182,-0.00015622496590366413,-5.4577866496361854e-05,-8.195840359237185e-05,1.0133720313602967e-06,-7.792061227599652e-07
3,0.6170484477379214,21670565.580084853,1.3642420526593924e-12,16.314414007420567,0.740123942791808,0.14254067915094018,0.04696079374824638,0.0029406829244023698,0.8078942020889545,931.1161831195359,10.0,10.0,0.0,10.0,10.0,0.0,37.5065228821744,-2.4013612700898345e-06,-1.8437337891951408e-06,-0.00025229755916198604,0.00032015643721345873,-0.00045905002457433494,0.0006215401934481015,-0.0006093759363893213,0.0008665247654521146,-0.000696530013352491,0.001027538075700662,-0.0007244333528150677,0.0010851047936969338,-0.0007061609349715369,0.0010302302437640173,-0.0006609217656324117,0.0008657530131132226,-0.0006100512968422214,0.0006064971630342902,-0.0005726285723047658,0.0002780084367410201,-0.0005615326840670759,-8.611157337312672e-05,-0.000580764145354598,-0.0004480257303306805,-0.000624648453328347,-0.0007700965266366893,-0.0006790994254803534,-0.0010192299080255419,-0.0007245983128851702,-0.0011704704001775348,-0.0007401699847030489,-0.001209435894517896,-0.0007075238559417815,-0.0011334616714478516,-0.0006146568012358423,-0.0009515502698478803,-0.0004584194351029706,-0.0006832096909976774,-0.00024576507098807274,-0.00035644800521513473,2.400752573731432e-06,-1.8453538660688793e-06
4,0.6170484477379214,21670565.580084853,1.3642420526593924e-12,16.314414007420567,0.740123942791808,0.14254067915094018,0.04696079374824638,0.0029406829244023698,0.8078942020889545,931.1161831195359,10.0,10.0,0.0,10.0,10.0,0.0,48.1886590069417,-3.0870213929110965e-06,-2.369463151516101e-06,-0.0005688197119596359,0.0007301754658219273,-0.0010402113392150407,0.0014138864849272711,-0.0013827170903539631,0.001970846204699266,-0.0015808162220874353,0.002338127479686,-0.0016435894983829135,0.0024708113241854097,-0.001601227761794212,0.0023476801279788307,-0.0014979873362027986,0.001974621440515237,-0.0013828229308366822,0.0013851413506388475,-0.0012992191525408234,0.0006374994453507705,-0.0012761511809521449,-0.00019149757451950242,-0.0013220911397907704,-0.001015390353869812,-0.001423433597803348,-0.001748323646756493,-0.0015476553639916654,-0.0023149887663522313,-0.0016503128923804125,-0.002658749936445208,-0.0016841486423684203,-0.0027470669837016334,-0.0016083810770748622,-0.002573998660780624,-0.0013966090576361001,-0.0021600397483633785,-0.001042315690950566,-0.0015495352598906896,-0.0005614134281768185,-0.0008061293653741921,3.0855926337354605e-06,-2.3704071200980498e-06
5,0.6170484477379214,21670565.580084853,1.3642420526593924e-12,16.314414007420567,0.740123942791808,0.14254067915094018,0.04696079374824638,0.0029406829244023698,0.8078942020889545,931.1161831195359,10.0,10.0,0.0,10.0,10.0,0.0,52.391388692560646,-3.3587033170098664e-06,-2.5767771561865655e-06,-0.000884753511706232,0.0011342019900566125,-0.0016209264974947194,0.0021940716436532437,-0.002154931314311783,0.0030577957178604368,-0.002462453715277429,0.0036269655863651186,-0.00255818243929497,0.0038308460782233707,-0.0024901756823515787,0.0036356232670091172,-0.002328501117819334,0.003050082726097411,-0.002150198066129974,0.0021265682804894664,-0.0020231181842912684,0.0009564444222736027,-0.0019917714760236383,-0.00033982757643533345,-0.0020681954930683163,-0.0016268398767271962,-0.0022299104581949853,-0.00277041015293771,-0.002425296164392655,-0.003653090693130601,-0.0025848212096940527,-0.004186702708367466,-0.002635308531618632,-0.00432061463893729,-0.002514211160058915,-0.0040455474880988496,-0.0021815214554932972,-0.0033933525069395863,-0.0016278961208949514,-0.0024331502678325433,-0.0008782738811167815,-0.001264384350870931,3.3564507099861414e-06,-2.5765779472256286e-06
6,0.6170484477379214,21670565.580084853,1.3642420526593924e-12,16.314414007420567,0.740123942791808,0.14254067915094018,0.04696079374824638,0.0029406829244023698,0.8078942020889545,931.1161831195359,10.0,10.0,0.0,10.0,10.0,0.0,54.618493216745485,-3.504743282413883e-06,-2.6869988849345823e-06,-0.001199281810812009,0.0015295808047363047,-0.002198987403904929,0.0029573971143357844,-0.0029227186673682647,0.004120784718389753,-0.0033374198738137803,0.004885883286181091,-0.003463853324788496,0.0051559219637230536,-0.0033686546918853537,0.004884245349389574,-0.0031483711442554384,0.0040824575061254335,-0.0029084607121053646,0.002821886759058171,-0.0027409667933026858,0.001227292144941282,-0.002705265329007509,-0.0005369449538227068,-0.0028160027421629836,-0.0022863756525294187,-0.003040899076431436,-0.0038386174013410046,-0.0033086519738897845,-0.005034351485997247,-0.0035245844315357384,-0.005754111418721387,-0.0035900666475775327,-0.005929276794867904,-0.0034215876285040377,-0.005547134700550706,-0.002966358097744647,-0.004650675006259884,-0.0022127358657511456,-0.003333624180905363,-0.0011947015548541956,-0.0017312811012100732,3.5016754611428814e-06,-2.685539321873071e-06
7,0.6170484477379214,21670565.580084853,1.3642420526593924e-12,16.314414007420567,0.740123942791808,0.14254067915094018,0.04696079374824638,0.0029406829244023698,0.8078942020889545,931.1161831195359,10.0,10.0,0.0,10.0,10.0,0.0,55.98474765090794,-3.5965203728277553e-06,-2.7549076714949904e-06,-0.0015121146788180735,0.0019158360329875838,-0.002773680489786812,0.0037030402427473386,-0.003685035534708511,0.005158642681681341,-0.00420445593163633,0.006113386948038145,-0.004359245557789914,0.006444279058993517,-0.004235312345437877,0.0060916121588204695,-0.003956320616107109,0.005069758593122837,-0.0036564410674841566,0.0034691909337109996,-0.0034516923396535194,0.001448340333094323,-0.0034156160016527585,-0.0007842637880358739,-0.003564498047534689,-0.0029950922561924826,-0.0038553412171532563,-0.004953741720907387,-0.0041966014230218765,-0.006459327003121204,-0.004468431389614119,-0.007361362600389729,-0.004547246463160974,-0.007573335183302476,-0.004329395481704428,-0.007078984517161889,-0.0037501429520423474,-0.005932203014669029,-0.002796072140958426,-0.004251137777176366,-0.0015102046326042717,-0.0022069870627633398,3.592651293114077e-06,-2.7521640944562357e-06
8,0.6170484477379214,21670565.580084853,1.3642420526593924e-12,16.314414007420567,0.740123942791808,0.14254067915094018,0.04696079374824638,0.0029406829244023698,0.8078942020889545,931.1161831195359,10.0,10.0,0.0,10.0,10.0,0.0,56.89674407293894,-3.6600701574806954e-06,-2.8004801697759174e-06,-0.0018229682015762061,0.0022928101693915344,-0.003344413152623142,0.004430723740433561,-0.004441055722218439,0.006170962289803247,-0.005062591009819066,0.007308939341246265,-0.005243329764016465,0.007695265508960436,-0.005089131129839048,0.007256992124738898,-0.0047513890149499085,0.006011228914265431,-0.004393250559458435,0.004067763705799047,-0.0041544640950101725,0.0016189732722845396,-0.004122015938588225,-0.0010822577405913407,-0.004312856134988609,-0.003753311420560221,-0.004672362381095121,-0.006115972208587801,-0.00508821030592059,-0.007928110295086083,-0.005415383592323321,-0.00900849194452889,-0.005505865092965522,-0.009252798282238378,-0.0052367063001918625,-0.008641097454917649,-0.004532071921868209,-0.007237941329869495,-0.0033772955903680424,-0.005185709098924474,-0.0018244268936780674,-0.002691539011055284,3.6554178680397786e-06,-2.796469189586351e-06
9,0.6170484477379214,21670565.580084853,1.3642420526593924e-12,16.314414007420567,0.740123942791808,0.14254067915094018,0.04696079374824638,0.0029406829244023698,0.8078942020889545,931.1161831195359,10.0,10.0,0.0,10.0,10.0,0.0,57.538026857397675,-3.7071459330279827e-06,-2.8327315297284178e-06,-0.0021315500151453796,0.002660434319219528,-0.003910612036211356,0.005140319011589522,-0.005189996889521333,0.007157543495777893,-0.005910917545837751,0.008472264143948686,-0.006115152252685975,0.008908535140516564,-0.0059291734476047,0.008379991289863895,-0.005532692305305064,0.006906465065701536,-0.005118067964872921,0.004617240540493518,-0.00484850682860237,0.0017389106920906515,-0.00482370167525164,-0.0014310945594787888,-0.005060287206263647,-0.004561085457439978,-0.005491118610569211,-0.007325266046088732,-0.005982573109922081,-0.009440596132660859,-0.00636449102279387,-0.010695364099138367,-0.006464968175555337,-0.010967524682289549,-0.006142619924167995,-0.010233342010914753,-0.005311368975648962,-0.008567781263804442,-0.003955825889645327,-0.006137265542399476,-0.0021370443976061215,-0.0031849116806109867,3.701732190890733e-06,-2.8274932323264868e-06
10,0.6170484477379214,21670565.580084853,1.3642420526593924e-12,16.314414007420567,0.740123942791808,0.14254067915094018,0.04696079374824638,0.0029406829244023698,0.8078942020889545,931.1161831195359,10.0,10.0,0.0,10.0,10.0,0.0,58.0035616146086,-3.7438289199506336e-06,-2.856323745564802e-06,-0.0024375632806516072,0.003018674775968494,-0.004471709485410855,0.005831755977683781,-0.005931091904117043,0.008118266899509919,-0.006748551291095695,0.009603185685133986,-0.00697378843534006,0.010083859454143036,-0.006754533526607449,0.009460346402959487,-0.00629937766750986,0.007755202417382244,-0.005830099735972284,0.005117398084615817,-0.005533067542422548,0.001808010205747175,-0.00551992605255969,-0.0018308122012758049,-0.0058060127014852945,-0.005418347998978553,-0.0063107737661422655,-0.008581473640151048,-0.0068787904716449254,-0.010996583306920778,-0.007314809472276246,-0.012421756515705817,-0.007423607568702818,-0.012717292985844193,-0.007046243169183898,-0.011855513946123431,-0.006087266071692725,-0.009921550809659266,-0.004531092192896584,-0.00710568455782983,-0.002447744982486718,-0.003687047562456094,3.7376790251984258e-06,-2.8499149540965e-06
