时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,23.09312814956824,320474578.60706145,73990.71582554572,12534.058531384639,2.057048129985142,0.20767563003584644,0.2082988272834664,0.022342891496169356,2.111665069505546,337.6571646956164,2.6153301359996206,1.492984511871411,403.1155501735092,7.263648758879603,1.6525780244553463,139.68020695422683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,23.09312814956824,320474578.60706145,73990.71582554572,12534.058531384639,2.057048129985142,0.20767563003584644,0.2082988272834664,0.022342891496169356,2.111665069505546,337.6571646956164,2.6153301359996206,1.492984511871411,403.1155501735092,7.263648758879603,1.6525780244553463,139.68020695422683,0.6931593074730314,-6.090027907076501e-06,-4.254561702415058e-06,-7.864548722411233e-06,-1.4428657573370377e-05,-4.414568728571551e-06,-2.6905618422433103e-05,-9.669278908378087e-07,-4.12836972130879e-05,1.9402873963724598e-06,-5.571891492152324e-05,3.939637729431379e-06,-6.855285297437302e-05,4.909204650199398e-06,-7.84591645875299e-05,4.946672701378941e-06,-8.456254001884694e-05,4.30814134500161e-06,-8.649874983174185e-05,3.331154288699507e-06,-8.440680407715046e-05,2.3548103085748444e-06,-7.885622661349031e-05,1.6508419268572204e-06,-7.07224052156892e-05,1.378083937502955e-06,-6.103054731927063e-05,1.5682741636490014e-06,-5.07937926730081e-05,2.143923966862251e-06,-4.087227773548856e-05,2.9605372301860114e-06,-3.187678893525433e-05,3.8581293125188636e-06,-2.413295548474264e-05,4.703221453764302e-06,-1.7711556536758563e-05,5.413560830912293e-06,-1.2519472571233076e-05,6.01911479456783e-06,-8.44513444889759e-06,2.1583991393135275e-06,-3.84526894729671e-06
3,23.09312814956824,320474578.60706145,73990.71582554572,12534.058531384639,2.057048129985142,0.20767563003584644,0.2082988272834664,0.022342891496169356,2.111665069505546,337.6571646956164,2.6153301359996206,1.492984511871411,403.1155501735092,7.263648758879603,1.6525780244553463,139.68020695422683,3.5738458442057732,-3.15115253119761e-05,-2.196014885050938e-05,-4.029411715818576e-05,-7.565237602670843e-05,-2.178305833670896e-05,-0.00014224266044639915,-3.1558423367119733e-06,-0.00021940412544921422,1.2624487268939371e-05,-0.00029708498203912485,2.350772601281996e-05,-0.00036606334172022874,2.878941411781642e-05,-0.00041887251580003954,2.8989330427923497e-05,-0.0004505494541224157,2.5520985278888817e-05,-0.0004590308076555737,2.026079727406483e-05,-0.00044514414089749524,1.5092620471945985e-05,-0.00041221092329533644,1.150962753931962e-05,-0.000365335938244351,1.0348201355155173e-05,-0.0003105022297120683,1.1703602519992125e-05,-0.00025362050199405497,1.5035712194462102e-05,-0.0001996898368016388,1.9423353977515357e-05,-0.00015220879457081906,2.3881744806222374e-05,-0.00011293152089594268,2.763432140855888e-05,-8.200256102284224e-05,3.0287780752261355e-05,-5.843847016219301e-05,3.218176297609339e-05,-4.091196364289056e-05,1.1162694214946792e-05,-1.985646132755038e-05
4,23.09312814956824,320474578.60706145,73990.71582554572,12534.058531384639,2.057048129985142,0.20767563003584644,0.2082988272834664,0.022342891496169356,2.111665069505546,337.6571646956164,2.6153301359996206,1.492984511871411,403.1155501735092,7.263648758879603,1.6525780244553463,139.68020695422683,5.444547383224531,-4.812033105136063e-05,-3.347706570984634e-05,-6.100200853776137e-05,-0.00011686184587418812,-3.1894428843393234e-05,-0.00022112128981217644,-2.4766571372522004e-06,-0.0003423525843792733,2.2512435829641166e-05,-0.00046458085185594985,3.976978518671418e-05,-0.0005729602100543726,4.813847075964997e-05,-0.0006553771017148371,4.843499794265314e-05,-0.0007037475861665833,4.292740261618063e-05,-0.0007147226008163241,3.463861477155626e-05,-0.0006897121174346234,2.6600827097287167e-05,-0.0006342537148803013,2.119791205704439e-05,-0.0005568478417205343,1.9722405709711264e-05,-0.00046745677218417694,2.223386694857005e-05,-0.0003759148026227415,2.773712438246288e-05,-0.0002905116998836282,3.461533641774779e-05,-0.00021698289676228528,4.11778290357191e-05,-0.00015806671393899473,4.6141919418753185e-05,-0.00011368725312758501,4.895574499928762e-05,-8.17111895893912e-05,5.0367964400426374e-05,-5.919731817560627e-05,1.7039544948720275e-05,-3.0283064713510454e-05
5,23.09312814956824,320474578.60706145,73990.71582554572,12534.058531384639,2.057048129985142,0.20767563003584644,0.2082988272834664,0.022342891496169356,2.111665069505546,337.6571646956164,2.6153301359996206,1.492984511871411,403.1155501735092,7.263648758879603,1.6525780244553463,139.68020695422683,7.393703448651765,-6.551495255518009e-05,-4.549007237452456e-05,-8.207930200726132e-05,-0.00016157974944152695,-4.0952661836674526e-05,-0.00030809550443423216,7.913018404252215e-07,-0.0004790513016505128,3.6336888312332145e-05,-0.0006516133292279799,6.090376558932423e-05,-0.0008042781962324277,7.278983162988141e-05,-0.0009193648820827403,7.315405056256009e-05,-0.000985035126472239,6.527562397146754e-05,-0.0009964200517884139,5.354010535098796e-05,-0.0009557147284878432,4.233988764282162e-05,-0.0008712742684763103,3.5095065786506724e-05,-0.0007558909687836406,3.35881832781221e-05,-0.0006245459112927281,3.7749940040683235e-05,-0.0004920063829680232,4.5931620937750434e-05,-0.00037066481382262695,5.557293363641354e-05,-0.000268974408974803,6.405769756021154e-05,-0.00019072819157098014,6.94846328898372e-05,-0.0001352751259675363,7.119924613511635e-05,-9.859903567606065e-05,7.062241575058488e-05,-7.512800345571239e-05,2.3187538265663344e-05,-4.117495892248781e-05
6,23.09312814956824,320474578.60706145,73990.71582554572,12534.058531384639,2.057048129985142,0.20767563003584644,0.2082988272834664,0.022342891496169356,2.111665069505546,337.6571646956164,2.6153301359996206,1.492984511871411,403.1155501735092,7.263648758879603,1.6525780244553463,139.68020695422683,8.767302765667841,-7.783112176820875e-05,-5.396151834440028e-05,-9.647552824481557e-05,-0.0001946006721036785,-4.606429671791284e-05,-0.00037338880257752906,5.247449499774945e-06,-0.0005824733152686868,4.899984548160061e-05,-0.0007936254722585816,7.924009711851749e-05,-0.0009800177618505188,9.382963659624315e-05,-0.0011194799549127119,9.420035958445721e-05,-0.0011971447319092453,8.444320210443939e-05,-0.0012069471312587453,7.003881057910947e-05,-0.0011517954137939715,5.6468115374389596e-05,-0.0010424510878043153,4.796620787388184e-05,-0.0008953436418837992,4.667048315465881e-05,-0.0007296932249343684,5.234513005622171e-05,-0.0005644167465241735,6.273551222252498e-05,-0.0004153269331906357,7.444141573550196e-05,-0.0002930845211678807,8.40451265749067e-05,-0.00020222638070545475,8.914239574583083e-05,-0.00014139580407528183,8.906419286931102e-05,-0.00010468373588969655,8.590682838895396e-05,-8.390255622881507e-05,2.753499449413743e-05,-4.8870209852978187e-05
7,23.09312814956824,320474578.60706145,73990.71582554572,12534.058531384639,2.057048129985142,0.20767563003584644,0.2082988272834664,0.022342891496169356,2.111665069505546,337.6571646956164,2.6153301359996206,1.492984511871411,403.1155501735092,7.263648758879603,1.6525780244553463,139.68020695422683,10.234017445454091,-9.103841454127638e-05,-6.300946315520097e-05,-0.0001112418967709307,-0.00023174939235050485,-4.991038562834193e-05,-0.0004480701454990566,1.2685188956832665e-05,-0.0007016000729163172,6.611422766925955e-05,-0.0009576654903766798,0.00010302174289933856,-0.0011830041357069171,0.00012074820233929073,-0.0013499937542777384,0.00012106014605335102,-0.00144009723648417,0.00010903625357868664,-0.0014458461508192455,9.148762350621839e-05,-0.0013711216535353048,7.521132234227643e-05,-0.0012297728342961763,6.541176966203675e-05,-0.0010428536300402984,6.461430806352685e-05,-0.0008349507750065087,7.231275497943602e-05,-0.0006302094902008669,8.543057033137475e-05,-0.00044871170418025124,9.946222744742106e-05,-0.0003038026355172792,0.0001099594126470112,-0.00020078847753780647,0.00011390743714540564,-0.00013717602211054959,0.00011069857430852217,-0.00010434371391615663,0.00010339513007133689,-9.040436001802795e-05,3.2190316271881204e-05,-5.710778181246208e-05
8,23.09312814956824,320474578.60706145,73990.71582554572,12534.058531384639,2.057048129985142,0.20767563003584644,0.2082988272834664,0.022342891496169356,2.111665069505546,337.6571646956164,2.6153301359996206,1.492984511871411,403.1155501735092,7.263648758879603,1.6525780244553463,139.68020695422683,11.65099803163999,-0.00010385639547433949,-7.174880336099773e-05,-0.0001246780068928179,-0.000270131813636009,-5.1484398478968894e-05,-0.0005267139044255149,2.3382022223049976e-05,-0.0008279676043913515,8.731431222379898e-05,-0.0011321076773395116,0.0001314195818724589,-0.0013987094910318796,0.00015247366517983038,-0.0015940676479505205,0.00015262718134461783,-0.0016955736711701812,0.00013806911260629028,-0.001694270381165804,0.00011710006077516199,-0.0015952708305652884,9.798188881768164e-05,-0.0014160813904176208,8.697880216126163e-05,-0.0011831718124816859,8.700009398222783e-05,-0.0009273780979884318,9.715908334213045e-05,-0.0006788970490916608,0.00011336253980052451,-0.0004626978747406808,0.0001297740129296421,-0.00029510798264970636,0.0001407323134721074,-0.00018211643128118664,0.00014254732463796191,-0.00011962162503274743,0.0001347759380511813,-9.549228282128062e-05,0.00012172710527862961,-9.312650939572633e-05,3.6699910899179675e-05,-6.508940707918071e-05
9,23.09312814956824,320474578.60706145,73990.71582554572,12534.058531384639,2.057048129985142,0.20767563003584644,0.2082988272834664,0.022342891496169356,2.111665069505546,337.6571646956164,2.6153301359996206,1.492984511871411,403.1155501735092,7.263648758879603,1.6525780244553463,139.68020695422683,12.778745783162844,-0.00011410291857785918,-7.869912834765042e-05,-0.00013455168007978088,-0.000303078197234161,-5.066825686569069e-05,-0.0005955117079247447,3.525037573889854e-05,-0.0009392430106495596,0.00010861211324932883,-0.0012859882014373946,0.00015913575539216017,-0.0015887461068810821,0.00018309761865514392,-0.0018082272187581435,0.00018301534695045482,-0.0019181164231193053,0.0001661085987280267,-0.0019081721907800084,0.00014205286390986619,-0.0017847804520222138,0.00012045394626808767,-0.0015690000582202492,0.00010853236963742807,-0.0012924991729228745,0.00010950993670097292,-0.0009920748254843115,0.00012208508289114042,-0.0007036591139229523,0.00014114813174809565,-0.00045680140309128535,0.00015956017043164828,-0.00027054039484458834,0.0001704965752163131,-0.0001513283381298752,0.00016965606525887547,-9.328998816248698e-05,0.00015683070307731566,-8.066686450726396e-05,0.00013761462284890457,-9.205587030464346e-05,4.02969407011961e-05,-7.146143337004044e-05
10,23.09312814956824,320474578.60706145,73990.71582554572,12534.058531384639,2.057048129985142,0.20767563003584644,0.2082988272834664,0.022342891496169356,2.111665069505546,337.6571646956164,2.6153301359996206,1.492984511871411,403.1155501735092,7.263648758879603,1.6525780244553463,139.68020695422683,13.874713700597155,-0.00012410254511332347,-8.54446232759781e-05,-0.00014318491960672934,-0.00033785972093699807,-4.7487080737436384e-05,-0.0006694847512210183,5.062395686837667e-05,-0.0010595769698997178,0.00013434382736087695,-0.0014525813544555971,0.00019186410737764947,-0.001794126860230843,0.0002189261666091369,-0.0020386813705398393,0.00021847742736299082,-0.00215582845981889,0.0001989052249604882,-0.002133991578725879,0.00017143255381597502,-0.0019811422758779012,0.0001471691518218975,-0.001722524565183076,0.0001343897954954812,-0.0013958581877346545,0.00013662672778932746,-0.0010448343916376111,0.00015204918937341094,-0.0007119744859348651,0.00017432780846192216,-0.00043203144788144334,0.00019478723945644304,-0.00022703268312184786,0.0002052541769684175,-0.0001037671184411022,0.00020075674140591817,-5.4066468520416874e-05,0.0001814376887779692,-5.771002786984508e-05,0.0001544689155299217,-8.746976041697162e-05,4.379847247189757e-05,-7.767375968456035e-05
