时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.3026903682327136,12564905.578219226,956.3052576358796,36.15027868016938,2.490142428843218,0.4827975810020188,0.02771402095146167,0.0061372126714027775,2.7210175025743486,1604.1874898561257,6.812899287047027,8.973982816770185,967.7463589023067,9.788128984762183,9.727883977104474,877.1002360539358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.3026903682327136,12564905.578219226,956.3052576358796,36.15027868016938,2.490142428843218,0.4827975810020188,0.02771402095146167,0.0061372126714027775,2.7210175025743486,1604.1874898561257,6.812899287047027,8.973982816770185,967.7463589023067,9.788128984762183,9.727883977104474,877.1002360539358,10.056370212655592,-1.0965682450840857e-06,-6.268747262812471e-07,9.921858625092406e-06,-1.6866320567707952e-05,3.61563025870716e-05,-5.725281199934406e-05,6.819730702761489e-05,-0.00011207488629394904,9.695436637554982e-05,-0.00016809563247980802,0.00011594995136007099,-0.00021141139620443523,0.00012270030944044706,-0.00023040908917860856,0.00011887479123528956,-0.00021824053472173352,0.00010924191948004226,-0.0001742699663246503,9.97500244222371e-05,-0.00010427609641877287,9.531380248816052e-05,-1.9334077039443694e-05,9.800855963086727e-05,6.643414879729227e-05,0.00010628993569037028,0.00013880085795991656,0.00011554013682598003,0.0001864203582653024,0.00011978148888369313,0.00020317847445653644,0.00011398095162107211,0.0001893739912912262,9.616221794813574e-05,0.00015150727860874688,6.858972555266664e-05,0.00010075678183950906,3.7610840100580926e-05,5.05449730908609e-05,1.2075558580754913e-05,1.364097443931759e-05,7.462529043174829e-07,-5.956400617390798e-07
3,1.3026903682327136,12564905.578219226,956.3052576358796,36.15027868016938,2.490142428843218,0.4827975810020188,0.02771402095146167,0.0061372126714027775,2.7210175025743486,1604.1874898561257,6.812899287047027,8.973982816770185,967.7463589023067,9.788128984762183,9.727883977104474,877.1002360539358,23.049634539089585,-2.5271314973103505e-06,-1.4212869039097673e-06,4.004957660150457e-05,-6.241660650201355e-05,0.00014064520521514664,-0.00021621157948968492,0.0002637789081053368,-0.00042621520545216816,0.0003746849236747801,-0.00064156896348381,0.0004483543543887765,-0.0008083857555949213,0.00047498022285755105,-0.0008814220634153683,0.00046069604575372966,-0.0008338022340638003,0.00042369246586036475,-0.0006627863466597277,0.00038693283727616636,-0.00039066521196938313,0.00036959727795132644,-6.049810320256636e-05,0.00037995710089035526,0.000272630197676066,0.0004121623767324644,0.0005531473752476918,0.0004482428199500336,0.0007367835431367231,0.00046479075740878437,0.000799846760698015,0.0004420685840727868,0.0007438270488369603,0.0003723803422900114,0.0005944253015916754,0.00026473066321780963,0.0003954311545069125,0.00014408029530954273,0.00019907268285181929,4.5028168887829973e-05,5.477872712664371e-05,1.698423966917682e-06,-1.3801397672168187e-06
4,1.3026903682327136,12564905.578219226,956.3052576358796,36.15027868016938,2.490142428843218,0.4827975810020188,0.02771402095146167,0.0061372126714027775,2.7210175025743486,1604.1874898561257,6.812899287047027,8.973982816770185,967.7463589023067,9.788128984762183,9.727883977104474,877.1002360539358,31.409745233249932,-3.4803732821909365e-06,-1.8948869246635002e-06,0.0001009393396954568,-0.0001489371248196048,0.0003462121684445658,-0.0005235364509968952,0.0006468360520655108,-0.0010376846044875977,0.0009185625797878413,-0.0015670009927880248,0.001100412161123281,-0.0019787740161523928,0.0011678179780190596,-0.0021611480132701687,0.0011346228653621156,-0.0020472413846012857,0.0010442606631050546,-0.0016294866052984725,0.0009526436741370213,-0.0009619989449375718,0.0009074707138588492,-0.00015036737992039724,0.0009303475102003715,0.000669651789721249,0.0010080628052640116,0.0013606236464685838,0.0010967854244536472,0.0018128861933212315,0.001138374780108953,0.0019678774519579704,0.001083318402404409,0.0018296320321236788,0.000912094588075236,0.0014620376172226883,0.0006470553489261081,0.0009731891938285593,0.00035029743837010986,0.0004912160346572509,0.00010743398527103261,0.0001368547627929908,2.2824469462586544e-06,-1.9200713872499655e-06
5,1.3026903682327136,12564905.578219226,956.3052576358796,36.15027868016938,2.490142428843218,0.4827975810020188,0.02771402095146167,0.0061372126714027775,2.7210175025743486,1604.1874898561257,6.812899287047027,8.973982816770185,967.7463589023067,9.788128984762183,9.727883977104474,877.1002360539358,34.62060915527349,-3.877301024606065e-06,-2.041863297967185e-06,0.00016275557127876097,-0.00023547852520987324,0.0005530517738908306,-0.0008333121769566886,0.0010316318470283362,-0.0016565105691470523,0.001465257457149194,-0.002506523040030997,0.001757300259640794,-0.0031707031095282853,0.0018680093178526245,-0.0034695267904729095,0.0018177488759842108,-0.0032952479127478407,0.0016739193983223246,-0.0026347292191488767,0.00152491311306224,-0.001573259306274118,0.0014477467389058434,-0.00027860762637237345,0.0014790746076745265,0.0010325401233142167,0.0015999729769454565,0.002139951590512631,0.0017413709232713837,0.0028673130406372737,0.0018097027472101436,0.003120185997416873,0.0017242517433007172,0.002904752290494228,0.001452500619911545,0.002323147200880869,0.00102992697401426,0.0015478301901898372,0.0005563964044270462,0.0007826034316199647,0.0001693228650782005,0.00021924122476956696,2.480739382108811e-06,-2.1596703534748333e-06
6,1.3026903682327136,12564905.578219226,956.3052576358796,36.15027868016938,2.490142428843218,0.4827975810020188,0.02771402095146167,0.0061372126714027775,2.7210175025743486,1604.1874898561257,6.812899287047027,8.973982816770185,967.7463589023067,9.788128984762183,9.727883977104474,877.1002360539358,36.30253871148159,-4.109517159267703e-06,-2.091822643006251e-06,0.00022476438308372231,-0.00032222552318844004,0.0007598126806926329,-0.0011451781884270215,0.001415974588775366,-0.002281375183033592,0.0020117166163576123,-0.003457736137328651,0.0024153222478129665,-0.004380975400931474,0.0025715898270160156,-0.004803246580533235,0.002506221523593352,-0.004575371119395472,0.0023091499193945322,-0.00367797752474872,0.00210052708584498,-0.0022266763171934303,0.001987265077420511,-0.00045059329678528683,0.0020227095203986718,0.0013530396466136562,0.0021840021964856823,0.002880871101853523,0.0023777267138620746,0.0038890658253169607,0.0024744828669033382,0.004246364195004551,0.0023610749695744653,0.003960447912359102,0.001990771597251628,0.0031713019513272874,0.0014117142239592527,0.002115273496929438,0.000761837595421203,0.0010711412193345165,0.00023084696504637204,0.0003011545007518572,2.565017357789821e-06,-2.309817465699366e-06
7,1.3026903682327136,12564905.578219226,956.3052576358796,36.15027868016938,2.490142428843218,0.4827975810020188,0.02771402095146167,0.0061372126714027775,2.7210175025743486,1604.1874898561257,6.812899287047027,8.973982816770185,967.7463589023067,9.788128984762183,9.727883977104474,877.1002360539358,37.32794445758888,-4.271420136924844e-06,-2.100082656288801e-06,0.0002868080600936314,-0.00040925125132433256,0.0009662229858622205,-0.0014591551608654806,0.0017994078021295733,-0.002912186103093214,0.0025572629229803946,-0.004420420685424013,0.003073614265315459,-0.005609292622334899,0.0032776080671829424,-0.006162035772489432,0.0031991244294125925,-0.005887515683805361,0.0029491579293186507,-0.004759485398111212,0.0026788189520517824,-0.0029230052886316444,0.002525407218595123,-0.0006676458559416336,0.0025605659924885344,0.0016293386376588627,0.002759320709373204,0.0035812906180119272,0.0030048991614578945,0.004876046902536294,0.003131750988475639,0.005344553299953056,0.0029929663563107753,0.004995253764556038,0.0025263479722830375,0.004005480030821624,0.0017921514707107669,0.002674899842925108,0.00096658421163497,0.001356512413583416,0.00029207781912862367,0.0003824595304576465,2.600740938541798e-06,-2.421366235759114e-06
8,1.3026903682327136,12564905.578219226,956.3052576358796,36.15027868016938,2.490142428843218,0.4827975810020188,0.02771402095146167,0.0061372126714027775,2.7210175025743486,1604.1874898561257,6.812899287047027,8.973982816770185,967.7463589023067,9.788128984762183,9.727883977104474,877.1002360539358,38.010035999505526,-4.396892423228558e-06,-2.0865170148700294e-06,0.00034881592549231293,-0.0004965641873211561,0.0011721282639166237,-0.0017751880831082135,0.002181636305519307,-0.003548790743535097,0.0031014280638463807,-0.005394327458888495,0.003731556187283808,-0.006855343905386857,0.003985367751196945,-0.00754557721630435,0.003895785433582908,-0.007231427329837841,0.0035933737785755365,-0.005879145535610479,0.0032593375874820567,-0.0036623727816083936,0.003061784506531323,-0.000930177412941233,0.003092223354430237,0.0018607630972376885,0.003325403834818947,0.004240376297176097,0.003622258271399102,0.00582739941348968,0.0037808448485332794,0.006413988583564611,0.003619339907160619,0.0060085615316316475,0.0030588098892614154,0.004825247458763003,0.002171014937260442,0.00322643680489656,0.0011705702235563229,0.0016385738705071548,0.0003530298554633548,0.00046309832422319544,2.611418619815337e-06,-2.512566860415943e-06
9,1.3026903682327136,12564905.578219226,956.3052576358796,36.15027868016938,2.490142428843218,0.4827975810020188,0.02771402095146167,0.0061372126714027775,2.7210175025743486,1604.1874898561257,6.812899287047027,8.973982816770185,967.7463589023067,9.788128984762183,9.727883977104474,877.1002360539358,38.488838380558526,-4.501070589184528e-06,-2.0600243611239645e-06,0.0004107416950506892,-0.0005841487491443343,0.0013774021316024748,-0.002093182877196116,0.0025623994061773256,-0.004190984882749834,0.0036437856497167982,-0.006379146062915991,0.004388574038132022,-0.008118746696320222,0.004694217379814146,-0.008953463063760558,0.0045955715468387545,-0.008606725597690898,0.00424126183377664,-0.007036669812024894,0.0038416666981743544,-0.0044446572703249,0.003596052279429889,-0.001238287362508353,0.003617319155835402,0.002046995764863407,0.003881796804575351,0.004857661377092196,0.004229245550717961,0.006742606735638336,0.004421161652949402,0.007454187830904267,0.004239645662958046,0.006999970282302469,0.0035877459393992505,0.005630301936891333,0.002548066867360789,0.0037696829256602263,0.0013737050866701845,0.0019172162074096641,0.0004136949934879738,0.0005430306018246463,2.607568586754037e-06,-2.591567865355647e-06
10,1.3026903682327136,12564905.578219226,956.3052576358796,36.15027868016938,2.490142428843218,0.4827975810020188,0.02771402095146167,0.0061372126714027775,2.7210175025743486,1604.1874898561257,6.812899287047027,8.973982816770185,967.7463589023067,9.788128984762183,9.727883977104474,877.1002360539358,38.83634104009439,-4.591725910339354e-06,-2.0251920556767876e-06,0.000472548432104734,-0.0006719791184123592,0.0015819288717391143,-0.0024130265720125168,0.0029414497109752306,-0.004838535759857162,0.004183925114505823,-0.007374528268469698,0.00504410980577947,-0.009399071703188452,0.005403518511672229,-0.010385228296130249,0.005297858402129311,-0.01001295770403703,0.0048922922575894345,-0.00823167618404228,0.00442539751890854,-0.005269617820168121,0.004127880266870379,-0.0015919330273037233,0.004135514398397927,0.002187873723659684,0.004428074609587454,0.0054328310426503615,0.004825332029231794,0.007621287677894754,0.005052120741791495,0.00846477758372709,0.004853343779052093,0.007969156479808625,0.004112742447888617,0.0064203884099002,0.0029230588686206746,0.004304460657542585,0.0015758854641214186,0.0021923406108960613,0.0004740553293691662,0.0006222220424052409,2.5946059886719036e-06,-2.6625485253363433e-06
