时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,4.462508971516505,89632988.07614708,7998.904004968361,448.2523671755817,2.27496544621002,0.1858226281633188,0.10257684892631759,0.007907511504777077,2.314816232472369,1035.1163313330267,7.700482186066736,9.603967515894297,578.8022000043447,3.1023494003279275,7.931692970560077,397.72547713894835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4.462508971516505,89632988.07614708,7998.904004968361,448.2523671755817,2.27496544621002,0.1858226281633188,0.10257684892631759,0.007907511504777077,2.314816232472369,1035.1163313330267,7.700482186066736,9.603967515894297,578.8022000043447,3.1023494003279275,7.931692970560077,397.72547713894835,2.0390469639601623,-8.699690333927364e-07,-2.181412011305864e-07,6.805921949614304e-07,-9.149237644102647e-06,4.964510266555583e-06,-2.6053850136868728e-05,9.739259215031594e-06,-4.721906474975236e-05,1.380212537112492e-05,-6.818369532456254e-05,1.64035491446764e-05,-8.464038854380851e-05,1.732581306258469e-05,-9.318282741277771e-05,1.6834410200744887e-05,-9.188620743150041e-05,1.5527887113176167e-05,-8.061156504209531e-05,1.4125307519374844e-05,-6.098475804682707e-05,1.3239981548085059e-05,-3.605806901329905e-05,1.3193204494092957e-05,-9.71858351349016e-06,1.3917991351572527e-05,1.404763098507762e-05,1.498503861055944e-05,3.1898817694150744e-05,1.5750786765776592e-05,4.1747802704018e-05,1.5588230547344315e-05,4.312189856891118e-05,1.4129415360572823e-05,3.720290885786816e-05,1.143843630626504e-05,2.6539705247474404e-05,8.052254269865104e-06,1.449144746681103e-05,4.869444992055079e-06,4.5084934555672035e-06,2.1781230365294274e-06,-2.808012946613141e-07
3,4.462508971516505,89632988.07614708,7998.904004968361,448.2523671755817,2.27496544621002,0.1858226281633188,0.10257684892631759,0.007907511504777077,2.314816232472369,1035.1163313330267,7.700482186066736,9.603967515894297,578.8022000043447,3.1023494003279275,7.931692970560077,397.72547713894835,4.375286601359577,-1.8683079174305816e-06,-4.6659634223365396e-07,2.0206885428440164e-06,-2.1471652376026018e-05,1.2238369089480388e-05,-6.150656768130629e-05,2.3640352287436816e-05,-0.0001117465332298455,3.335349835585771e-05,-0.00016151691356249465,3.957700717641661e-05,-0.00020044449004107462,4.1781815362073064e-05,-0.00022029544346337162,4.060059785773208e-05,-0.0002164058881715798,3.747105135804507e-05,-0.0001884383651631324,3.412605108488819e-05,-0.00014034350073503796,3.204671369760344e-05,-7.954575045098862e-05,3.200802731269984e-05,-1.5508624843561496e-05,3.3840033002191754e-05,4.205577443687243e-05,3.6486341571694475e-05,8.500007887834757e-05,3.836319218296636e-05,0.00010823498515337158,3.7924970737474844e-05,0.00011061554316519558,3.4262304279332475e-05,9.504983313946087e-05,2.753254427048808e-05,6.781129668346894e-05,1.906768457066176e-05,3.7195888303834785e-05,1.111035194349498e-05,1.1785777126755206e-05,4.675383443461923e-06,-6.047480461031713e-07
4,4.462508971516505,89632988.07614708,7998.904004968361,448.2523671755817,2.27496544621002,0.1858226281633188,0.10257684892631759,0.007907511504777077,2.314816232472369,1035.1163313330267,7.700482186066736,9.603967515894297,578.8022000043447,3.1023494003279275,7.931692970560077,397.72547713894835,6.968281648518345,-2.9787801522858513e-06,-7.39540285584013e-07,4.559451083144768e-06,-3.859976064784697e-05,2.3269329997912206e-05,-0.00011131461506151479,4.4163672679842815e-05,-0.00020276592237956442,6.197938379325093e-05,-0.00029334427357386437,7.340032640771587e-05,-0.0003638674007575273,7.744130044750315e-05,-0.0003990513856973146,7.525786339375296e-05,-0.0003902198280347293,6.949851042719028e-05,-0.00033675032549871243,6.336893923566515e-05,-0.00024602905610542915,5.9618284765366314e-05,-0.00013194692791699313,5.968619522572567e-05,-1.2225607880139878e-05,6.324405044321755e-05,9.493283207054874e-05,6.829218259537955e-05,0.0001742498823413195,7.182843557543944e-05,0.0002161840555054652,7.09162504430274e-05,0.00021861240918099844,6.382372507099626e-05,0.00018705680199208928,5.085110395709296e-05,0.00013341805322630463,3.454938087207039e-05,7.348141010057143e-05,1.9234629294028056e-05,2.3685283984315767e-05,7.448918881633099e-06,-9.682084252843255e-07
5,4.462508971516505,89632988.07614708,7998.904004968361,448.2523671755817,2.27496544621002,0.1858226281633188,0.10257684892631759,0.007907511504777077,2.314816232472369,1035.1163313330267,7.700482186066736,9.603967515894297,578.8022000043447,3.1023494003279275,7.931692970560077,397.72547713894835,9.512583846615488,-4.071758760337322e-06,-1.002562779973283e-06,8.81919214100413e-06,-6.121606667419548e-05,3.9042179544048143e-05,-0.00017772573836141066,7.279528525649492e-05,-0.0003245157293648974,0.00010158865770336383,-0.00046981904286195515,0.00012005283354155161,-0.0005823796222899295,0.00012657705559397444,-0.0006372118459589714,0.00012301727836374599,-0.0006201096694344628,0.0001136643227634751,-0.0005300761619458486,0.0001037386754540096,-0.0003792895653379082,9.774010354721103e-05,-0.00019065663364370463,9.803599357493262e-05,6.577232920153896e-06,0.00010407908576320568,0.00018235181896878808,0.00011254063710663698,0.000311423954965838,0.00011840482240065781,0.00037804024870737913,0.0001167499919593258,0.00037874855075040637,0.0001046669534042636,0.0003228057377690028,8.266444257283718e-05,0.00023011693216967667,5.505411295846946e-05,0.00012713943300790548,2.9151394862320317e-05,4.156665288858231e-05,1.0171719458413214e-05,-1.3310509676962007e-06
6,4.462508971516505,89632988.07614708,7998.904004968361,448.2523671755817,2.27496544621002,0.1858226281633188,0.10257684892631759,0.007907511504777077,2.314816232472369,1035.1163313330267,7.700482186066736,9.603967515894297,578.8022000043447,3.1023494003279275,7.931692970560077,397.72547713894835,12.814644893920635,-5.498587083389762e-06,-1.3296862176508091e-06,1.9536499364380373e-05,-0.00010765193729152136,7.396036284622694e-05,-0.00031534978402851917,0.00013466641739087897,-0.0005774789765561159,0.0001864523719089601,-0.0008366296395609841,0.00021968306154705804,-0.0010359555742472295,0.00023143065223838835,-0.0011298567613315248,0.00022497279355540188,-0.0010923761157794292,0.00020799873435434769,-0.0009217720681052998,0.00018996201911587577,-0.0006405457951729881,0.00017911165354068243,-0.00029100500234805046,0.0001798666318645769,7.278882146888367e-05,0.00019127375374496667,0.00039521512993415163,0.00020714800459833348,0.0006295437201064138,0.00021805767807327439,0.0007466530950337459,0.0002146802430718215,0.0007403196920191732,0.00019147989755630233,0.0006280445337091266,0.00014943057828852165,0.0004472853233248034,9.677933395253894e-05,0.00024789725027050643,4.752888524826475e-05,8.230493419169403e-05,1.370574244261711e-05,-1.8191592514340853e-06
7,4.462508971516505,89632988.07614708,7998.904004968361,448.2523671755817,2.27496544621002,0.1858226281633188,0.10257684892631759,0.007907511504777077,2.314816232472369,1035.1163313330267,7.700482186066736,9.603967515894297,578.8022000043447,3.1023494003279275,7.931692970560077,397.72547713894835,15.015812290952145,-6.460509882699715e-06,-1.527513287614541e-06,3.3985154318694725e-05,-0.00016275880998357453,0.00011749961074563504,-0.0004797677956007158,0.00021048665718512884,-0.0008802727993429241,0.000289800530205146,-0.0012759395994439017,0.00034078627562078925,-0.0015789806516503357,0.00035892936267048047,-0.0017188299135821553,0.00034909215410268565,-0.0016552778079170028,0.00032289060994879947,-0.0013856681073739425,0.0002947964472350111,-0.0009450286131265657,0.0002776512741802625,-0.0003992534238161624,0.0002785400881323664,0.00016737202613955517,0.0002962051339618709,0.0006680407910406918,0.00032106211922556654,0.0010297664715148108,0.0003382142701273108,0.0012070836954751424,0.0003327858594933498,0.0011904094886139103,0.0002958769631991139,0.0010074044017038691,0.0002290083098854794,0.0007171135197261044,0.00014536673987252335,0.0003981577296481425,6.7325573695716e-05,0.00013338187152396263,1.6059853641997153e-05,-2.1677323862577767e-06
8,4.462508971516505,89632988.07614708,7998.904004968361,448.2523671755817,2.27496544621002,0.1858226281633188,0.10257684892631759,0.007907511504777077,2.314816232472369,1035.1163313330267,7.700482186066736,9.603967515894297,578.8022000043447,3.1023494003279275,7.931692970560077,397.72547713894835,16.34119570733056,-7.049393519221088e-06,-1.6283235328115856e-06,4.92372016322336e-05,-0.0002177359579555136,0.0001618425246632035,-0.0006444433838915608,0.0002870279624586288,-0.0011840443264709874,0.0003938295493787705,-0.001717191587526681,0.00046268067155288484,-0.002124993744261797,0.00048746026519261315,-0.002311727462355955,0.0004744528284599583,-0.002222746509353132,0.0004389938268544892,-0.0018543309698877122,0.00040046629098546455,-0.0012539482937998386,0.00037638725315260527,-0.0005110825518515493,0.0003767470917261842,0.00025964270131831655,0.00040024032390523754,0.0009400170345465496,0.00043400284027932134,0.001430526039951787,0.00045758755377428215,0.0016691113818117045,0.0004503404478676499,0.0016426763863433141,0.00039978414252560013,0.0013890141760939199,0.00030791922183278655,0.0009888443966381342,0.00019298040978586438,0.0005497192477261104,8.590376222300759e-05,0.000185118423563052,1.7476011023050416e-05,-2.3978577600786686e-06
9,4.462508971516505,89632988.07614708,7998.904004968361,448.2523671755817,2.27496544621002,0.1858226281633188,0.10257684892631759,0.007907511504777077,2.314816232472369,1035.1163313330267,7.700482186066736,9.603967515894297,578.8022000043447,3.1023494003279275,7.931692970560077,397.72547713894835,17.219278394777206,-7.448100076640508e-06,-1.679516585494526e-06,6.48819668521804e-05,-0.00027271120525404295,0.0002065163063594774,-0.0008095758727241066,0.00036377952537744213,-0.0014891926136385524,0.0004980233098215864,-0.0021611873261348103,0.0005848784791802055,-0.0026754532145908602,0.000616590047019879,-0.002910930487672346,0.0006006853306620956,-0.0027983150317115045,0.0005559886541907835,-0.0023325852386137914,0.0005066642580615216,-0.0015734265001687965,0.00047497437307809806,-0.0006337518094005354,0.00047406032838174156,0.000341531804071186,0.0005028541778430896,0.001202734071489494,0.0005453758526141292,0.0018236219672517345,0.0005755885414597156,0.002125294914007017,0.00056686461037455,0.0020909000595522313,0.0005029359040697531,0.0017681697112816959,0.00038618153549814716,0.0012593648949587226,0.0002399296579014254,0.0007008965999053472,0.00010379623497665807,0.0002368808596635122,1.8414185187824043e-05,-2.567160054372441e-06
10,4.462508971516505,89632988.07614708,7998.904004968361,448.2523671755817,2.27496544621002,0.1858226281633188,0.10257684892631759,0.007907511504777077,2.314816232472369,1035.1163313330267,7.700482186066736,9.603967515894297,578.8022000043447,3.1023494003279275,7.931692970560077,397.72547713894835,17.839243884847857,-7.73747569061326e-06,-1.702038031109544e-06,8.073468077078026e-05,-0.0003277312622083686,0.00025130610510706706,-0.0009752410347926564,0.0004405090308300859,-0.0017959020092240313,0.0006021478224162332,-0.002608335588706491,0.0007071603632515637,-0.0032311226102068203,0.0007461282291768021,-0.0035176769577030032,0.0007276357276069373,-0.0033837803594229166,0.0006737540125620963,-0.0028228164424833947,0.0006132851336348013,-0.001906398329487463,0.0005732971992923146,-0.0007706335193825111,0.0005703295891451096,0.00040940890265198175,0.0006038518227012936,0.0014525290661582069,0.000654955489362617,0.0022055992054305223,0.0006919979517217433,0.0025726041024797617,0.0006821949217882613,0.0025326344928973494,0.000605269063497002,0.0021430860760295765,0.00046385499470465646,0.001527535085294999,0.00028638894820363404,0.0008510915166846691,0.00012125483893032959,0.0002884444314710098,1.9077731260425057e-05,-2.7011562419833502e-06
