时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.568963835429093,32396403.176413644,687.0973279868704,57.7607417618036,2.040116379122964,0.3386523918052012,0.035367732492544435,0.004855609304551776,2.181402494989068,1633.6831218084176,9.979958428372338,9.170007547464918,352.1291867827095,8.466368354271372,6.100485149987416,816.3943703604049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.568963835429093,32396403.176413644,687.0973279868704,57.7607417618036,2.040116379122964,0.3386523918052012,0.035367732492544435,0.004855609304551776,2.181402494989068,1633.6831218084176,9.979958428372338,9.170007547464918,352.1291867827095,8.466368354271372,6.100485149987416,816.3943703604049,9.15520794408113,-6.008849213110436e-07,-4.163801346885801e-07,7.546959113020887e-06,-1.4684733144062251e-05,2.5606822263957344e-05,-4.7321954758668945e-05,4.7024445281711875e-05,-9.049058397712794e-05,6.584710751503637e-05,-0.0001338476701906123,7.80047580093125e-05,-0.00016677159614965283,8.208544592002009e-05,-0.00018057707356294145,7.933513003493476e-05,-0.00017031169384967344,7.291415745676029e-05,-0.0001357620260177396,6.665492138236021e-05,-8.151428356117563e-05,6.368256564142686e-05,-1.605175995716469e-05,6.531229609306367e-05,4.9940682824710314e-05,7.057472377212842e-05,0.0001057367755678197,7.65428654012283e-05,0.00014274971513044787,7.93806492718047e-05,0.00015626757582594088,7.57868593720146e-05,0.0001463665492715626,6.436193437750136e-05,0.00011781532289623085,4.6426390998742e-05,7.899856625779032e-05,2.599666033035935e-05,4.012336503376056e-05,8.82958924278109e-06,1.1057924985711116e-05,6.913171124446547e-07,-6.601812304162824e-07
3,0.568963835429093,32396403.176413644,687.0973279868704,57.7607417618036,2.040116379122964,0.3386523918052012,0.035367732492544435,0.004855609304551776,2.181402494989068,1633.6831218084176,9.979958428372338,9.170007547464918,352.1291867827095,8.466368354271372,6.100485149987416,816.3943703604049,20.6503997133846,-1.3632991952301436e-06,-9.279912864479384e-07,2.5468810873296386e-05,-4.667992832450349e-05,8.429532959678502e-05,-0.00015238781672693926,0.00015414852750784052,-0.00029273455900444284,0.00021568414563599976,-0.00043398007852654555,0.0002555798826328826,-0.0005412697317375195,0.0002691343285675769,-0.0005859952558449767,0.0002603128484488159,-0.0005517630478465396,0.00023938073559145624,-0.00043776854851579534,0.00021888299664640584,-0.0002590416650713947,0.00020912630041888157,-4.3507772964687444e-05,0.00021451218060855896,0.00017359226665426757,0.0002319056923767447,0.0003568495238334119,0.0002516599034749447,0.0004779285675990252,0.000261069736942466,0.0005213350881758152,0.0002491813645580241,0.00048743565320221116,0.00021136109368872868,0.0003921010404823981,0.0001520245327776704,0.0002630992829485748,8.452193216824552e-05,0.0001341262432411656,2.7947637638659225e-05,3.7685362158020725e-05,1.549406337980109e-06,-1.5041355645492504e-06
4,0.568963835429093,32396403.176413644,687.0973279868704,57.7607417618036,2.040116379122964,0.3386523918052012,0.035367732492544435,0.004855609304551776,2.181402494989068,1633.6831218084176,9.979958428372338,9.170007547464918,352.1291867827095,8.466368354271372,6.100485149987416,816.3943703604049,31.80137872382644,-2.130461410730448e-06,-1.3849806433400184e-06,7.235104003801744e-05,-0.0001252286526252544,0.00023375397276705675,-0.0004144416949454762,0.00042560586725176315,-0.0008001925809058952,0.0005951696616505955,-0.0011896884761617163,0.0007058725756714334,-0.0014864253497787144,0.0007444331970242577,-0.0016108459737548297,0.000721114149985629,-0.0015170413930672528,0.0006635921909716204,-0.0012022551872340882,0.0006062801829740935,-0.0007077045557516316,0.000578009124300928,-0.00011059912515418265,0.0005916674911715489,0.0004912299087016363,0.0006392125887843788,0.000999216861413897,0.0006940931161674185,0.0013343865982371234,0.0007207420311366443,0.0014536245528584948,0.0006882115585524142,0.001358158373130895,0.0005832924364805016,0.0010924059555346387,0.0004183490022578453,0.0007336810201951438,0.00023085951895275306,0.00037539577343791375,7.422564502936616e-05,0.00010737188178455715,2.3473362191837436e-06,-2.374407307563399e-06
5,0.568963835429093,32396403.176413644,687.0973279868704,57.7607417618036,2.040116379122964,0.3386523918052012,0.035367732492544435,0.004855609304551776,2.181402494989068,1633.6831218084176,9.979958428372338,9.170007547464918,352.1291867827095,8.466368354271372,6.100485149987416,816.3943703604049,36.282181959493926,-2.468621149256351e-06,-1.5260762611391451e-06,0.00012295569730695887,-0.0002082408444827511,0.0003933076666938623,-0.0006936104475260204,0.0007147717876090292,-0.001342938716553416,0.0009995858601531665,-0.0020004252640338483,0.0011867314637412016,-0.0025034250645672713,0.0012535131216873895,-0.0027175334013040207,0.0012160484108363894,-0.002564805559361778,0.0011196180270675808,-0.002039786686425918,0.0010215275839457675,-0.001210989193856046,0.0009708118644166041,-0.00020771318658533336,0.0009905212680577046,0.0008055473086314721,0.0010685080693606111,0.001662507434734265,0.001160690731316634,0.0022295495436937644,0.001206767837016169,0.0024335130013285683,0.0011536058721098416,0.002276209475519199,0.00097810351736606,0.0018323570981444092,0.0007009170036576879,0.0012319208622843798,0.00038558013860874385,0.0006316280714162057,0.0001224825673053047,0.00018203930341161516,2.6313440335213895e-06,-2.779012771391913e-06
6,0.568963835429093,32396403.176413644,687.0973279868704,57.7607417618036,2.040116379122964,0.3386523918052012,0.035367732492544435,0.004855609304551776,2.181402494989068,1633.6831218084176,9.979958428372338,9.170007547464918,352.1291867827095,8.466368354271372,6.100485149987416,816.3943703604049,38.57339629367536,-2.6653378820515865e-06,-1.5646074899501302e-06,0.00017380401316024924,-0.00029142007963237006,0.0005529828538174975,-0.0009745243155341792,0.001003911703396021,-0.0018906569889239407,0.001404281367595928,-0.0028207705776348026,0.0016689709636860178,-0.003535542734365054,0.001765630488262359,-0.0038451357427762376,0.0017153788380489215,-0.0036389885687769146,0.0015801125346214364,-0.0029083171997743695,0.0014395721250760407,-0.0017482519165436777,0.0013634501569919164,-0.00033962534519321573,0.001386136167496835,0.0010865915032375918,0.0014926182127078915,0.0022960716220402863,0.0016218861685085286,0.0030998493546110636,0.0016885879892662866,0.0033939480298445057,0.0016164848316230398,0.0031801879012974587,0.0013717104745912488,0.002563212354242424,0.000982889110329211,0.0017252889405873998,0.0005398512491438409,0.0008860508063421693,0.00017037981273036238,0.00025651764425585233,2.7482604564928094e-06,-3.0286851872587458e-06
7,0.568963835429093,32396403.176413644,687.0973279868704,57.7607417618036,2.040116379122964,0.3386523918052012,0.035367732492544435,0.004855609304551776,2.181402494989068,1633.6831218084176,9.979958428372338,9.170007547464918,352.1291867827095,8.466368354271372,6.100485149987416,816.3943703604049,39.95339888300087,-2.803412908625513e-06,-1.5603848025156521e-06,0.00022470180110501121,-0.0003748225269509957,0.0007124370356052893,-0.0012571177285730516,0.0012924846400247777,-0.0024430921729013794,0.0018085083534988802,-0.0036502887769906405,0.0021516887122145075,-0.004582262820172155,0.002279827520940113,-0.004993236358569406,0.0022181984614683477,-0.00473949953771776,0.0020442841664235958,-0.0038083113413911645,0.0018597282258364497,-0.0023206853806716768,0.001755265483098727,-0.0005083062329232354,0.0017777776553855864,0.0013317275760292206,0.0019106692580685462,0.0028968738261493506,0.0020766885864295123,0.00394219354864144,0.002165201785105249,0.004332111501408794,0.0020759852521917326,0.00406779289719976,0.0017635107357579069,0.003283304475421324,0.0012639693631132612,0.0022127359159355995,0.0006936366685914817,0.0011381102743845742,0.00021802573710545496,0.00033056834381187176,2.796085601852338e-06,-3.2135422534102304e-06
8,0.568963835429093,32396403.176413644,687.0973279868704,57.7607417618036,2.040116379122964,0.3386523918052012,0.035367732492544435,0.004855609304551776,2.181402494989068,1633.6831218084176,9.979958428372338,9.170007547464918,352.1291867827095,8.466368354271372,6.100485149987416,816.3943703604049,40.866295961278475,-2.9116082912640383e-06,-1.5341962010117811e-06,0.0002755746504466207,-0.0004584579223072424,0.0008715229927277915,-0.0015413373072708683,0.0015802342612740085,-0.0030001023279232746,0.002211884824642867,-0.004488759775245734,0.0026343990076850817,-0.005643332327969954,0.0027955739783966167,-0.0061616177119188965,0.0027240060785761254,-0.005866237120926409,0.0025117141212823244,-0.004739868083987523,0.002281664401198936,-0.002928659071031493,0.002145966358850951,-0.0007144223873649558,0.0021651221856138704,0.0015400343787954052,0.002322253867731262,0.0034638465145052015,0.002524609830520981,0.0047555062606711865,0.002636099604904294,0.005247041276390978,0.0025316617369643677,0.004938253468933072,0.0021531930667149112,0.0039920817866305825,0.0015440032425290656,0.0026939161246142766,0.0008469082408162845,0.0013876232730256077,0.0002654567543190801,0.00040411101712615804,2.80886759543081e-06,-3.3648941752286852e-06
9,0.568963835429093,32396403.176413644,687.0973279868704,57.7607417618036,2.040116379122964,0.3386523918052012,0.035367732492544435,0.004855609304551776,2.181402494989068,1633.6831218084176,9.979958428372338,9.170007547464918,352.1291867827095,8.466368354271372,6.100485149987416,816.3943703604049,41.50654732611771,-3.0025087406235806e-06,-1.4951588094370975e-06,0.0003263790953333805,-0.0005423138048551802,0.0010301362451148016,-0.0018271037363524738,0.0018669602393244238,-0.0035615192651216616,0.0026140959697136088,-0.0053359347824893455,0.0031166881218430286,-0.0067184559776705685,0.003312408698328351,-0.00734998561510726,0.003232361685022705,-0.007018961576318156,0.0029820376405751163,-0.005702860107306934,0.0027051025887331413,-0.003572213574311556,0.0025353231149265235,-0.0009582138929121064,0.0025479225417229133,0.0017110877096499512,0.0027270544963939737,0.003996445717108438,0.002965255962526436,0.005539211536758471,0.0031008563777461078,0.006138206651906008,0.002983129862229349,0.0057911322391336565,0.002540475403129456,0.004689220331802221,0.0018228345632533547,0.0031686188944514224,0.000999614939036675,0.0016344763964110396,0.00031267960174897477,0.0004770999598448033,2.8015253784406487e-06,-3.4964375586610048e-06
10,0.568963835429093,32396403.176413644,687.0973279868704,57.7607417618036,2.040116379122964,0.3386523918052012,0.035367732492544435,0.004855609304551776,2.181402494989068,1633.6831218084176,9.979958428372338,9.170007547464918,352.1291867827095,8.466368354271372,6.100485149987416,816.3943703604049,41.97271990623243,-3.0824837656550343e-06,-1.4479076344617559e-06,0.00037708298512579663,-0.0006263678750058005,0.0011881871104847935,-0.002114322587093159,0.002152480861370249,-0.0041271534790497996,0.0030148481925477504,-0.0061915356526201564,0.003598163164837404,-0.007807297589657124,0.003829887871922541,-0.008557987527526173,0.0037428378682246737,-0.008197349593405987,0.003454899491515476,-0.0066970440282392825,0.003129775429075815,-0.00425123804278345,0.0029231225749879867,-0.0012397388581104514,0.002925955917337879,0.0018446630569330053,0.0031247839074896285,0.0044943271317367944,0.003398263755428772,0.006292915127390042,0.0035590715637013434,0.007005226667171638,0.0034300185899509943,0.006626102146070231,0.0029250764915053204,0.005374467312438044,0.0021002979809844296,0.0036366730706358487,0.0011516918862808198,0.0018785759249490227,0.00035968798333472216,0.0005495004596710725,2.781631334680233e-06,-3.6151002482829145e-06
11,0.568963835429093,32396403.176413644,687.0973279868704,57.7607417618036,2.040116379122964,0.3386523918052012,0.035367732492544435,0.004855609304551776,2.181402494989068,1633.6831218084176,9.979958428372338,9.170007547464918,352.1291867827095,8.466368354271372,6.100485149987416,816.3943703604049,42.320104713381276,-3.1550977345478983e-06,-1.395055129293048e-06,0.0004276592944351436,-0.0007105930683037329,0.0013455929161819715,-0.002402891055039021,0.0024366236521046374,-0.004696802029799755,0.0034138584322218873,-0.007055264354123352,0.004078440875472812,-0.008909493160998557,0.004347574269732915,-0.009785233301268476,0.0042550101254656275,-0.009401027664332564,0.003929945297231721,-0.0077221108836192705,0.0035554177033145576,-0.0049655399317388976,0.00330915832645627,-0.001558960816405515,0.0032990121183484604,0.0019406361348291918,0.003515171432465989,0.004957243299054427,0.003823286435196297,0.007016308164778939,0.0040103567548882176,0.007847788813584868,0.003871962154718733,0.007442885367480032,0.003306713463065001,0.006047600817146153,0.0023762218954221817,0.00409792391428852,0.001303066576299839,0.0021198358966650565,0.00040646928105072015,0.0006212822962718941,2.7534426460419367e-06,-3.7247547550383344e-06
12,0.568963835429093,32396403.176413644,687.0973279868704,57.7607417618036,2.040116379122964,0.3386523918052012,0.035367732492544435,0.004855609304551776,2.181402494989068,1633.6831218084176,9.979958428372338,9.170007547464918,352.1291867827095,8.466368354271372,6.100485149987416,816.3943703604049,42.58212213127883,-3.2224972211679226e-06,-1.3381915957328566e-06,0.00047808371159067747,-0.0007949597955635136,0.0015022752118365131,-0.0026927013400117,0.0027192223413993106,-0.0052702530938291,0.003810851034183861,-0.007926808911940225,0.004557144638102907,-0.010024659110119188,0.0048650346447394735,-0.011031306963809025,0.004768454748209882,-0.010629589159275542,0.00440681972320161,-0.008777709895029897,0.003981764402521052,-0.005714875834108664,0.0036932282157417723,-0.0019157855766144612,0.003666890251882372,0.001998942570365416,0.003897959070298719,0.005385003369982506,0.00423998983990174,0.00770913074464701,0.004454332806594889,0.008665619518886811,0.00430859896914012,0.00824123217714255,0.003685102818982691,0.006708416722802048,0.0026504311084522424,0.0045522261130223896,0.0014536622428134695,0.0023581745962065986,0.00045300755490253924,0.0006924175135613172,2.7195409504179126e-06,-3.82772937885796e-06
