时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.83923271294097,17833225.99633185,174.3909095659892,50.349807430108314,2.3374011481865202,0.18187785755054478,0.03178505724230702,0.005914377195319378,2.374610285376674,1413.2155071923676,3.9770844399554814,5.662341411047752,432.3777378418745,0.4929323343895913,2.9679771240276818,346.4554691933515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.83923271294097,17833225.99633185,174.3909095659892,50.349807430108314,2.3374011481865202,0.18187785755054478,0.03178505724230702,0.005914377195319378,2.374610285376674,1413.2155071923676,3.9770844399554814,5.662341411047752,432.3777378418745,0.4929323343895913,2.9679771240276818,346.4554691933515,1.635931475020263,-7.918446828157799e-07,-1.6786755481650257e-07,6.072591427250361e-07,-5.899134582366666e-06,3.8883472521630305e-06,-1.914228220813753e-05,7.778398022113433e-06,-3.6709052977819875e-05,1.123978814664734e-05,-5.4773494182542414e-05,1.3606520979110551e-05,-6.955444000606993e-05,1.464756635625395e-05,-7.798721643743174e-05,1.453414111385825e-05,-7.825386884461359e-05,1.3722308663734095e-05,-7.0074050440321e-05,1.2781702853017537e-05,-5.470697237998016e-05,1.2210124147195953e-05,-3.46679277861365e-05,1.2278622909293379e-05,-1.3215569149173322e-05,1.2949504645627194e-05,6.291534109417033e-06,1.3895318766139412e-05,2.104461232539247e-05,1.46191932109066e-05,2.9313063781309056e-05,1.464270022157151e-05,3.074607282996e-05,1.370007560232457e-05,2.6387130350580386e-05,1.1869947111350926e-05,1.839899354028249e-05,9.592581632685305e-06,9.556634857510224e-06,7.549904679766899e-06,2.6117909985565276e-06,6.415162875761317e-06,-3.334845906388711e-07
3,0.83923271294097,17833225.99633185,174.3909095659892,50.349807430108314,2.3374011481865202,0.18187785755054478,0.03178505724230702,0.005914377195319378,2.374610285376674,1413.2155071923676,3.9770844399554814,5.662341411047752,432.3777378418745,0.4929323343895913,2.9679771240276818,346.4554691933515,3.7250520128957882,-1.8044891140198184e-06,-3.814445149226912e-07,1.6891704160894792e-06,-1.4496637953814566e-05,9.839142988135038e-06,-4.727367509808754e-05,1.951637873488656e-05,-9.087311951277118e-05,2.8134601514739197e-05,-0.00013573608843778432,3.4020823912241034e-05,-0.00017234094943995357,3.658882657277855e-05,-0.00019293536980071835,3.626424111948798e-05,-0.00019290718897303026,3.419322315034275e-05,-0.000171542925076973,3.1812443857438074e-05,-0.00013204636643438433,3.0379881469183196e-05,-8.082568758873078e-05,3.057918785627967e-05,-2.6191694791366713e-05,3.230692102636938e-05,2.3282036245332255e-05,3.4717057171113214e-05,6.0419793410525544e-05,3.6526781618191715e-05,8.079896855333177e-05,3.649889079826412e-05,8.352993093756578e-05,3.3944138629387455e-05,7.130549397060301e-05,2.9065931795391118e-05,4.9713221995512295e-05,2.3013267928413178e-05,2.5956974995331944e-05,1.7585971068629254e-05,7.251459060233396e-06,1.4617031696833029e-05,-7.618629197768893e-07
4,0.83923271294097,17833225.99633185,174.3909095659892,50.349807430108314,2.3374011481865202,0.18187785755054478,0.03178505724230702,0.005914377195319378,2.374610285376674,1413.2155071923676,3.9770844399554814,5.662341411047752,432.3777378418745,0.4929323343895913,2.9679771240276818,346.4554691933515,6.16768932625062,-2.9908467800520926e-06,-6.294810480365179e-07,3.5876874238856354e-06,-2.6747554155660985e-05,1.881629609891915e-05,-8.772505582025687e-05,3.691928298080118e-05,-0.00016906936653338062,5.305008729157977e-05,-0.00025279963781802366,6.404822227974436e-05,-0.00032085039715944294,6.879482232423295e-05,-0.00035844045983265277,6.808551721730122e-05,-0.0003567499788364088,6.408843287368332e-05,-0.0003144167106010141,5.953355708922399e-05,-0.00023760216738176736,5.681881595992043e-05,-0.0001386416244444125,5.724655149192091e-05,-3.355013948780059e-05,6.06035797932538e-05,6.113428522238368e-05,6.523613021953735e-05,0.00013155939399382076,6.863600729823341e-05,0.00016918881616088637,6.837900416504891e-05,0.00017232976435425226,6.311124155295197e-05,0.00014625570733934606,5.323456458552994e-05,0.00010190885113218299,4.102716512407001e-05,5.346285073248595e-05,3.0095368411033155e-05,1.5252115656032268e-05,2.4221031431453286e-05,-1.2668885400278443e-06
5,0.83923271294097,17833225.99633185,174.3909095659892,50.349807430108314,2.3374011481865202,0.18187785755054478,0.03178505724230702,0.005914377195319378,2.374610285376674,1413.2155071923676,3.9770844399554814,5.662341411047752,432.3777378418745,0.4929323343895913,2.9679771240276818,346.4554691933515,8.42437962737008,-4.089680455893572e-06,-8.560389351790593e-07,6.2998263468412425e-06,-4.1390819257294934e-05,3.014041721197471e-05,-0.00013645809393121708,5.848943115122435e-05,-0.0002635570808837444,8.374968606166826e-05,-0.00039436621331374926,0.00010093666480724521,-0.0005002255001174197,0.00010827173127141584,-0.0005575897114730383,0.00010699896884417818,-0.000552380117142903,0.000100543770324934,-0.0004824391843144371,9.324009273081736e-05,-0.0003576803330452561,8.891073414446412e-05,-0.00019795035776167875,8.963621073903208e-05,-2.9036993393774305e-05,9.505967229103369e-05,0.00012240848838956592,0.00010248663746025122,0.00023405141737157205,0.00010782260049350277,0.00029213807730366667,0.00010710021637980713,0.0002939933641281527,9.810017829366056e-05,0.00024825663239845405,8.148954741970575e-05,0.0001728266588506175,6.104060081593685e-05,9.096422445324214e-05,4.2767111905854984e-05,2.6364560771223223e-05,3.310856625790223e-05,-1.7384561765438864e-06
6,0.83923271294097,17833225.99633185,174.3909095659892,50.349807430108314,2.3374011481865202,0.18187785755054478,0.03178505724230702,0.005914377195319378,2.374610285376674,1413.2155071923676,3.9770844399554814,5.662341411047752,432.3777378418745,0.4929323343895913,2.9679771240276818,346.4554691933515,10.811466041334787,-5.256029786552323e-06,-1.0909169242493692e-06,1.0899967323453248e-05,-6.28935906431683e-05,4.755895039262667e-05,-0.00020845930072115157,9.112170768143236e-05,-0.00040341700647286265,0.00012991268222296962,-0.0006039331500938582,0.00015623677217480787,-0.0007653570523904764,0.00016732904777939825,-0.000850872651584393,0.0001650915252083621,-0.0008384352274306304,0.00015482040891550545,-0.0007247199167897883,0.00014326092561235527,-0.0005254252969068788,0.00013640423886484668,-0.0002719502457732926,0.00013753507789682437,-5.116035344820285e-06,0.00014608796625441208,0.00023285935654457598,0.00015775624202710194,0.0004065846394115149,0.0001659606221885587,0.0004942970880381512,0.00016430112738196928,0.0004918795731413772,0.00014919169187432407,0.0004132914977929142,0.00012172906396282256,0.00028735816680043076,8.807426589843352e-05,0.00015162471200294995,5.809486370084327e-05,4.455711223372089e-05,4.2527096575203456e-05,-2.244505859290972e-06
7,0.83923271294097,17833225.99633185,174.3909095659892,50.349807430108314,2.3374011481865202,0.18187785755054478,0.03178505724230702,0.005914377195319378,2.374610285376674,1413.2155071923676,3.9770844399554814,5.662341411047752,432.3777378418745,0.4929323343895913,2.9679771240276818,346.4554691933515,13.468165280929474,-6.562361541088266e-06,-1.3405573055945516e-06,2.0232343916746378e-05,-0.00010149375581247838,8.011036664681545e-05,-0.00033835195052691675,0.00015110661357653162,-0.0006560098080650921,0.00021422943550323138,-0.0009823234211503921,0.00025694025026679767,-0.0012433606695056913,0.00027469935048303,-0.0013779658608559966,0.0002705450420077673,-0.0013494942846478519,0.0002530901770548404,-0.0011525508378219416,0.00023343521587980445,-0.0008136106566756497,0.0002215831027140331,-0.0003855347356795711,0.0002231380163571162,6.29177621720222e-05,0.0002372463800616929,0.0004605801544611201,0.0002566298843938702,0.000747777401977375,0.00027000535238530147,0.0008878902347919624,0.00026630621063202756,0.0008742439887547659,0.00023930525926877587,0.0007309268859703688,0.00019092776133810212,0.0005074251028520846,0.00013194684649348715,0.0002682671336993846,7.964885892950358e-05,7.984329535582403e-05,5.303812341734768e-05,-2.8222026854461383e-06
8,0.83923271294097,17833225.99633185,174.3909095659892,50.349807430108314,2.3374011481865202,0.18187785755054478,0.03178505724230702,0.005914377195319378,2.374610285376674,1413.2155071923676,3.9770844399554814,5.662341411047752,432.3777378418745,0.4929323343895913,2.9679771240276818,346.4554691933515,15.076013567834496,-7.361522029270868e-06,-1.4785078168524098e-06,3.053790510136249e-05,-0.00014113933468402586,0.00011431069253697842,-0.00047219628696508784,0.00021341016068771322,-0.000916518433638441,0.0003014160628046319,-0.001372662452945758,0.0003609110949524778,-0.001736338245330801,0.0003855420705330635,-0.0019211245676915914,0.0003794088830571509,-0.0018752012448288381,0.0003543836011537187,-0.001591002629832686,0.0003259716559724351,-0.00110618993289937,0.00030838146209074776,-0.00049594958616329,0.00030980182271964535,0.00014184574750794772,0.0003292733702320927,0.0007058081108879892,0.00035650837850417316,0.0011108697676289962,0.00037524511990080827,0.001304860844281941,0.0003693737370241315,0.001278441378248429,0.00032976393386357166,0.0010663437096668136,0.00025919260156479157,0.0007397474251633018,0.00017337571769503646,0.00039150438364924837,9.752758607770589e-05,0.000117319063983111,5.942594792632968e-05,-3.1859014999962974e-06
9,0.83923271294097,17833225.99633185,174.3909095659892,50.349807430108314,2.3374011481865202,0.18187785755054478,0.03178505724230702,0.005914377195319378,2.374610285376674,1413.2155071923676,3.9770844399554814,5.662341411047752,432.3777378418745,0.4929323343895913,2.9679771240276818,346.4554691933515,16.114577548997072,-7.885267810478155e-06,-1.556285162947398e-06,4.1185514053643415e-05,-0.00018077531550369217,0.00014879279743322803,-0.0006063105464015515,0.00027583727462951045,-0.0011778577741305926,0.00038858670128637436,-0.0017646440320646666,0.0004648602201658126,-0.0022319227747037893,0.0004964962468950612,-0.0024678678722225137,0.0004885213482170591,-0.0024053284124065043,0.000455872814126298,-0.0020344193780774144,0.00041834483350236713,-0.001403871011654816,0.0003944067963384544,-0.0006111407850215854,0.0003950397059766751,0.00021674892876663747,0.00041941395859973853,0.0009480556901229687,0.00045435119171345986,0.0014721194221594244,0.00047854734471351263,0.001721014755943354,0.0004706600097804624,0.0016825878955463907,0.00041847713274494584,0.0014021535893469308,0.00032557538312717006,0.0009726036462681577,0.0002127045696178346,0.0005151908334981597,0.00011315520658324286,0.00015505484071198008,6.357614661469916e-05,-3.432064793455908e-06
10,0.83923271294097,17833225.99633185,174.3909095659892,50.349807430108314,2.3374011481865202,0.18187785755054478,0.03178505724230702,0.005914377195319378,2.374610285376674,1413.2155071923676,3.9770844399554814,5.662341411047752,432.3777378418745,0.4929323343895913,2.9679771240276818,346.4554691933515,16.83522687991173,-8.255644084814354e-06,-1.6004377299163642e-06,5.201467655685043e-05,-0.0002204395928600218,0.00018338161974326914,-0.0007407956847625819,0.00033822243050530166,-0.0014403140574780983,0.0004756097456421943,-0.0021589106257444844,0.0005687114858445872,-0.0027313058811799427,0.0006075559038541894,-0.0030201187755362043,0.0005979499230213483,-0.002942666661294174,0.0005576869745484403,-0.0024865181148268733,0.0005107189783353994,-0.001711252167592266,0.00047982392456733674,-0.0007364272637195226,0.00047898809590313305,0.00028185842390444877,0.0005077681561708218,0.0011814576318892062,0.0005502451905457854,0.0018259538091252568,0.0005800394001588101,0.002131437262798077,0.0005704031651564147,0.002082708103890857,0.0005058580725823337,0.0017354695322834288,0.00039069930546989346,0.0012041843002683305,0.0002507558391154016,0.0006384235893017701,0.0001274923891008403,0.00019275525681978275,6.64802675404969e-05,-3.61224836878531e-06
