时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,7.743629173395144,168330437.070622,42361.477719653136,4971.842217622747,2.9100348811588943,0.3415978905517089,0.07146681399640135,0.019568443275792564,3.0136808470324916,554.5234475947129,2.2672983646260985,2.182188175944476,99.42902317326889,2.6303998788199294,0.570319884065146,427.6657458363827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,7.743629173395144,168330437.070622,42361.477719653136,4971.842217622747,2.9100348811588943,0.3415978905517089,0.07146681399640135,0.019568443275792564,3.0136808470324916,554.5234475947129,2.2672983646260985,2.182188175944476,99.42902317326889,2.6303998788199294,0.570319884065146,427.6657458363827,2.451116465974499,-1.158694877729873e-05,-5.647697947742751e-06,-8.122094898602187e-06,-2.1228150483006932e-05,9.539598422892079e-07,-4.797723700819588e-05,1.11963018806973e-05,-8.136029172043831e-05,2.0165447790112903e-05,-0.00011541112938763488,2.629381294386921e-05,-0.00014435833096342513,2.903231591629266e-05,-0.00016354695637074202,2.8775637190372743e-05,-0.0001701474972433724,2.6590390221309903e-05,-0.00016352849094477197,2.3823255548706293e-05,-0.0001452405400134479,2.1683938593619993e-05,-0.00011862331166002188,2.090440133646035e-05,-8.811321356281479e-05,2.1561244964718604e-05,-5.8380961329461544e-05,2.310937608174551e-05,-3.3461428633393106e-05,2.461669032653187e-05,-1.6042930467655547e-05,2.51266197014674e-05,-7.054948184739927e-06,2.4029774162983678e-05,-5.6336016379764414e-06,2.1315601854433426e-05,-9.469211391292612e-06,1.7612728253549224e-05,-1.5458510736702266e-05,1.3971906719502376e-05,-2.0529285189803864e-05,9.97164683516044e-06,-2.1751924947455977e-05
3,7.743629173395144,168330437.070622,42361.477719653136,4971.842217622747,2.9100348811588943,0.3415978905517089,0.07146681399640135,0.019568443275792564,3.0136808470324916,554.5234475947129,2.2672983646260985,2.182188175944476,99.42902317326889,2.6303998788199294,0.570319884065146,427.6657458363827,5.373986034550714,-2.5443329917847145e-05,-1.2392115166560822e-05,-1.679458032229786e-05,-4.89609625811049e-05,5.033581805615386e-06,-0.00011252819886669956,2.974952387745254e-05,-0.00019225332885550877,5.143207437537974e-05,-0.0002736199349218517,6.622535217774545e-05,-0.00034237969859515267,7.276055203370294e-05,-0.00038695010892369325,7.20037793783719e-05,-0.0004002707382815498,6.659695428360031e-05,-0.0003807991606132215,5.9884271292504355e-05,-0.0003325089887444523,5.4863335863940995e-05,-0.0002639174206350458,5.33193201319383e-05,-0.00018633763699481588,5.5367553451619834e-05,-0.0001116837990358879,5.953445055363543e-05,-5.024266058259824e-05,6.335805799962843e-05,-8.840212893441e-06,6.432618291787171e-05,1.0238626190204894e-05,6.084923943341128e-05,9.37141900670858e-06,5.293547031919094e-05,-5.2517482839693165e-06,4.2330345292841286e-05,-2.5253828975510863e-05,3.200628938174266e-05,-4.213495399300796e-05,2.1906862697309633e-05,-4.7768223445600124e-05
4,7.743629173395144,168330437.070622,42361.477719653136,4971.842217622747,2.9100348811588943,0.3415978905517089,0.07146681399640135,0.019568443275792564,3.0136808470324916,554.5234475947129,2.2672983646260985,2.182188175944476,99.42902317326889,2.6303998788199294,0.570319884065146,427.6657458363827,7.857113571677966,-3.725116688371351e-05,-1.8129746888722296e-05,-2.2772946993144883e-05,-7.57851260616972e-05,1.2432717702114128e-05,-0.00017712044875591569,5.2369507462720655e-05,-0.00030468019244842296,8.742767316421746e-05,-0.0004348195183654814,0.00011128857183219002,-0.000544064230667798,0.00012169284931748941,-0.00061322035300648,0.00012023078208272677,-0.0006305764687192628,0.00011127342754066684,-0.0005936501322821775,0.00010036185044847462,-0.0005092367937071376,9.245252018691687e-05,-0.0003918024723180609,9.045447164101814e-05,-0.0002605454516893184,9.444628805246141e-05,-0.00013567877107665177,0.00010180544184640234,-3.4635170719967964e-05,0.0001082310509779606,3.107467796167239e-05,0.00010935824312557855,5.77360896317644e-05,0.00010244842628857806,4.967952609558227e-05,8.758329534863066e-05,1.787996243494391e-05,6.794686122159376e-05,-2.2765108080562454e-05,4.900484537064395e-05,-5.6908361225218063e-05,3.208413558760391e-05,-6.993462390760501e-05
5,7.743629173395144,168330437.070622,42361.477719653136,4971.842217622747,2.9100348811588943,0.3415978905517089,0.07146681399640135,0.019568443275792564,3.0136808470324916,554.5234475947129,2.2672983646260985,2.182188175944476,99.42902317326889,2.6303998788199294,0.570319884065146,427.6657458363827,10.443842987411097,-4.9591213506017004e-05,-2.4113624172252852e-05,-2.66755315822451e-05,-0.00010913041104742547,2.6595855535653682e-05,-0.0002603581116359467,8.70599156271058e-05,-0.0004512995080365403,0.00014011023560090704,-0.0006458002639018768,0.0001760683211885019,-0.0008075915197898487,0.00019146601657539787,-0.0009068751152650822,0.00018877728614907487,-0.0009254911605093497,0.00017479452111285383,-0.0008597789161513536,0.00015813378114400218,-0.000720730472078763,0.0001464840104756136,-0.0005314921206079178,0.00014428586269187444,-0.00032271908680337553,0.00015146871616662894,-0.0001266539865740589,0.00016364126107639744,2.895386836779752e-05,0.00017373139581199466,0.0001259138972781279,0.00017460662400887978,0.00015864804428724285,0.00016184464092179352,0.00013464685485325357,0.00013571930963733774,7.227956652849483e-05,0.00010171203178025031,-3.5233043068218443e-06,6.924549171780403e-05,-6.680460094569378e-05,4.272215278412386e-05,-9.308401993659104e-05
6,7.743629173395144,168330437.070622,42361.477719653136,4971.842217622747,2.9100348811588943,0.3415978905517089,0.07146681399640135,0.019568443275792564,3.0136808470324916,554.5234475947129,2.2672983646260985,2.182188175944476,99.42902317326889,2.6303998788199294,0.570319884065146,427.6657458363827,13.02721824912149,-6.196347577179547e-05,-3.009475353166851e-05,-2.625059591657559e-05,-0.00015241186784262665,5.257303836261648e-05,-0.00037270190220590945,0.00014191960379383213,-0.000651359953798513,0.0002201395115300993,-0.0009342994390975657,0.00027282641672984014,-0.0011668188212703582,0.0002948445729721471,-0.001303851159956039,0.000289983627945681,-0.001318057047237732,0.0002685540100551829,-0.0012043571014006245,0.00024363133459770432,-0.0009802587852580313,0.0002268596507052841,-0.000682045959182266,0.0002248560262385517,-0.000357594877712573,0.00023721171119625873,-5.7152783686628136e-05,0.0002567553062580873,0.0001761853132460701,0.0002721239077667447,0.00031445419639964246,0.0002719339005904964,0.0003496645787825025,0.0002492342067633432,0.00029457173769187176,0.0002047312526672752,0.00017927866102826012,0.00014765272844142002,4.4480492085528515e-05,9.377777402405522e-05,-6.722180559943709e-05,5.338116723963752e-05,-0.00011625250964629004
7,7.743629173395144,168330437.070622,42361.477719653136,4971.842217622747,2.9100348811588943,0.3415978905517089,0.07146681399640135,0.019568443275792564,3.0136808470324916,554.5234475947129,2.2672983646260985,2.182188175944476,99.42902317326889,2.6303998788199294,0.570319884065146,427.6657458363827,16.222182871745087,-7.736149216435858e-05,-3.749040314522248e-05,-1.2181819940521511e-05,-0.0002371455894774827,0.00012135900382704511,-0.0006024292441078121,0.00027192385879561755,-0.0010645093340646084,0.00040297143222469583,-0.0015303412350151438,0.0004902351496743855,-0.001905308242134128,0.0005252267649585892,-0.002111525823257037,0.0005146740030691079,-0.0021023488012240675,0.00047649139417044965,-0.001870541912458748,0.0004334009942301542,-0.0014489366073943291,0.00040564818810150073,-0.0009036761468407638,0.0004045751814585183,-0.00032136441409388004,0.0004288860573252864,0.00020754040502336587,0.0004649723823389553,0.000605986604589108,0.0004915662346654445,0.0008248679522998635,0.00048751296955144553,0.0008518825012275675,0.00044018872750471163,0.0007129148453178202,0.00035163207245418826,0.0004657706636438467,0.00024015535495566835,0.0001877622065642492,0.00013659294888989542,-4.021306851921446e-05,6.660363538243494e-05,-0.00014493232830854107
8,7.743629173395144,168330437.070622,42361.477719653136,4971.842217622747,2.9100348811588943,0.3415978905517089,0.07146681399640135,0.019568443275792564,3.0136808470324916,554.5234475947129,2.2672983646260985,2.182188175944476,99.42902317326889,2.6303998788199294,0.570319884065146,427.6657458363827,18.113428104236657,-8.657353781298181e-05,-4.185469084670041e-05,1.4137493693069118e-05,-0.0003288885765961681,0.0002104488647318074,-0.0008591308200016404,0.0004305243758990079,-0.0015289802216636283,0.0006210534183053927,-0.0022001423488655354,0.0007468708623037472,-0.002731968513866001,0.0007958719349269562,-0.003009090561175927,0.000778102893890406,-0.0029632754247289604,0.0007200033506972928,-0.002585679377987613,0.0006552509827922852,-0.0019277618594588436,0.0006140718395742557,-0.001091034471488361,0.0006134880489135564,-0.00020758642336830445,0.0006513480054984859,0.0005851510904386463,0.0007065002637447655,0.0011707428388376072,0.0007458226867019484,0.0014760028798105568,0.0007363798057013232,0.001484525410170481,0.0006587667946877019,0.001238644289855965,0.0005168343397082244,0.000829579584318911,0.000340105994621291,0.00037817802233633846,0.00017763304707944973,1.0406200316384316e-05,7.444319096670678e-05,-0.00016186186461007054
9,7.743629173395144,168330437.070622,42361.477719653136,4971.842217622747,2.9100348811588943,0.3415978905517089,0.07146681399640135,0.019568443275792564,3.0136808470324916,554.5234475947129,2.2672983646260985,2.182188175944476,99.42902317326889,2.6303998788199294,0.570319884065146,427.6657458363827,19.20524306368985,-9.197180111205742e-05,-4.4357927982989e-05,4.506880236032535e-05,-0.00041847543922922257,0.0003040351811445663,-0.0011137219518113583,0.0005930733082840731,-0.0019911226552790113,0.0008424268971309044,-0.0028668269477110458,0.0010063819694743343,-0.0035540236346091984,0.0010693038226031327,-0.003899945873401879,0.0010443095557481875,-0.00381502102521446,0.0009659722321539787,-0.0032891076447609372,0.000878692014030019,-0.0023925798359278744,0.0008227935942274511,-0.0012625501766436109,0.0008213907041809156,-7.678723194702011e-05,0.0008719113728858231,0.0009801427833105105,0.000945827255620703,0.0017523393186557948,0.0009979541762284968,0.0021426197716139465,0.0009831566986662527,0.0021307626920289884,0.00087493242438701,0.0017759714890521398,0.0006789646246360357,0.0012032689064094193,0.0004363234830021599,0.0005772435181894822,0.00021466207578591784,6.892100871317664e-05,7.897121233249809e-05,-0.0001715646384870923
10,7.743629173395144,168330437.070622,42361.477719653136,4971.842217622747,2.9100348811588943,0.3415978905517089,0.07146681399640135,0.019568443275792564,3.0136808470324916,554.5234475947129,2.2672983646260985,2.182188175944476,99.42902317326889,2.6303998788199294,0.570319884065146,427.6657458363827,19.90839509885589,-9.552029458261062e-05,-4.595487360083862e-05,7.823583246413482e-05,-0.0005072518343679999,0.00039971405721663504,-0.0013681797376171756,0.0007573206635993409,-0.0024541546008451883,0.0010651582520542695,-0.003535574666764398,0.0012672490468805244,-0.004379300600751282,0.001344426300603818,-0.00479507861366643,0.0013125403482830646,-0.004671960656915157,0.0012138359539001693,-0.003998463893661043,0.0011031708757311609,-0.002863786753050556,0.0010311063105572053,-0.0014405270354448697,0.0010273337606972377,4.793815256121683e-05,0.0010894121872334851,0.0013698740306671642,0.0011817290874459347,0.0023297888216976953,0.0012469261486114515,0.0028063653017950108,0.0012272758167076775,0.0027754889542731297,0.0010888006440829133,0.002313204144136456,0.000838897012653821,0.0015782705553086785,0.0005303368099557158,0.0007788513729550494,0.00024959700026093966,0.00013080519318550005,8.189183611589323e-05,-0.0001777451459643939
11,7.743629173395144,168330437.070622,42361.477719653136,4971.842217622747,2.9100348811588943,0.3415978905517089,0.07146681399640135,0.019568443275792564,3.0136808470324916,554.5234475947129,2.2672983646260985,2.182188175944476,99.42902317326889,2.6303998788199294,0.570319884065146,427.6657458363827,20.39368262908154,-9.803787604004278e-05,-4.704318103401227e-05,0.00011261912071629043,-0.0005957150606225193,0.0004964169941383723,-0.0016231843525657294,0.0009222324820735791,-0.002919231057042416,0.0012883312901479918,-0.004208386122824393,0.001528732543379116,-0.005211005227867225,0.0016206974949462757,-0.0056991636981583715,0.0015824298891731993,-0.00554034382396685,0.0014633464707127881,-0.004721487170477995,0.0013284739296528431,-0.0033503341301664834,0.001238748498893677,-0.0016346862087618012,0.0012309568029740328,0.00015665424023293876,0.0013033973300370153,0.0017447843340330199,0.0014137316860085391,0.002894436546441977,0.0014923628898494696,0.0034598769628000825,0.0014685862346371546,0.003412820146807506,0.001300530976665974,0.0028459074849355287,0.0009971105105412623,0.0019513815548108842,0.0006228695289906731,0.00098068798178499,0.0002832741757718565,0.00019425788320213098,8.391632648509753e-05,-0.00018194805181487807
12,7.743629173395144,168330437.070622,42361.477719653136,4971.842217622747,2.9100348811588943,0.3415978905517089,0.07146681399640135,0.019568443275792564,3.0136808470324916,554.5234475947129,2.2672983646260985,2.182188175944476,99.42902317326889,2.6303998788199294,0.570319884065146,427.6657458363827,20.744153671860115,-9.992338331927896e-05,-4.7816432080470284e-05,0.0001477033823748212,-0.0006840654792081746,0.0005935751861826546,-0.001878959840820847,0.0010872242851716213,-0.003386746924789125,0.001511390221203183,-0.00488603550972109,0.0017903448707740101,-0.006050505157855035,0.0018977249348095242,-0.006614327670953601,0.0018536884099842965,-0.006423132447487617,0.001714300067697875,-0.005461942628626204,0.0015544438192326441,-0.0038566488220972703,0.0014455577845957897,-0.0018498795216454018,0.0014320503856070184,0.00024438687157356807,0.0015136002560377914,0.002100100110609397,0.0016415451235295708,0.0034419966004468456,0.0017340200759427223,0.004099556594312271,0.0017069664591502368,0.004039928571550718,0.0015101768790529702,0.003371987706063041,0.0011538366805661333,0.0023211091410171567,0.0007142831952544508,0.0011816734061779162,0.00031610764119140177,0.0002584204037862336,8.539138080416847e-05,-0.00018492579960297412
