时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,3.684460696826306,136662976.67601433,0.0,936.0833668403208,1.9267393650808688,0.34744203702641563,0.12090078369798582,0.008846890927588804,2.0827230621027724,795.7922398015037,3.255321593635916,6.890680391782557,588.921074278378,3.255321593635916,6.890680391782557,588.921074278378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.684460696826306,136662976.67601433,0.0,936.0833668403208,1.9267393650808688,0.34744203702641563,0.12090078369798582,0.008846890927588804,2.0827230621027724,795.7922398015037,3.255321593635916,6.890680391782557,588.921074278378,3.255321593635916,6.890680391782557,588.921074278378,10.095894054202367,-7.567738112579985e-06,-2.507203244482035e-06,3.917613415526759e-06,-3.097641998280641e-05,3.070535860280283e-05,-7.730116108328793e-05,6.028513631211031e-05,-0.00013414363345188915,8.546838428922004e-05,-0.00018965676079496597,0.00010154002160931493,-0.0002321698895724035,0.00010703799479176941,-0.00025232812943492856,0.00010366355867193527,-0.0002448299426348859,9.53796450760553e-05,-0.0002093749970246878,8.69619636578031e-05,-0.00015069934105348525,8.239574645472846e-05,-7.767321221370322e-05,8.357678608049951e-05,-1.6122253986592106e-06,8.971215688022354e-05,6.589214275416085e-05,9.762012927738187e-05,0.00011519283962733155,0.00010284850983353614,0.00014039944274507927,0.00010126517303877187,0.00014040832711425201,9.062046835091287e-05,0.00011896066635337378,7.157644943059798e-05,8.373386020634778e-05,4.7873067379387735e-05,4.470364301089209e-05,2.5526400211096196e-05,1.2058585472957593e-05,7.495304150071093e-06,-2.5891108906932586e-06
3,3.684460696826306,136662976.67601433,0.0,936.0833668403208,1.9267393650808688,0.34744203702641563,0.12090078369798582,0.008846890927588804,2.0827230621027724,795.7922398015037,3.255321593635916,6.890680391782557,588.921074278378,3.255321593635916,6.890680391782557,588.921074278378,21.537504591231084,-1.6188732564565322e-05,-5.310443517604461e-06,2.2182124350426395e-05,-8.647859939346223e-05,0.00010280600239049354,-0.00022358436306385286,0.00019185301695351744,-0.00039237320370530697,0.00026764730063597394,-0.0005569006554351973,0.0003158589192431042,-0.0006814078622195824,0.0003320062983790543,-0.0007371221819874623,0.0003212710161284269,-0.0007077556233114187,0.00029580189871877897,-0.0005925500467398464,0.0002702834885444886,-0.0004064471640071679,0.00025696793085343576,-0.0001773071256822367,0.00026159964917941633,5.937229416053894e-05,0.00028150058077710855,0.00026728301840648396,0.0003064864624489773,0.00041631949411441893,0.00032239446888205627,0.0004883058387915398,0.00031613847372456775,0.0004802345475618912,0.0002806914795555721,0.0004044078506136826,0.00021837372128290702,0.00028553524841102077,0.00014137315290717933,0.0001555404067595532,6.919374681037324e-05,4.706322726983718e-05,1.5964045809065832e-05,-5.567257437385952e-06
4,3.684460696826306,136662976.67601433,0.0,936.0833668403208,1.9267393650808688,0.34744203702641563,0.12090078369798582,0.008846890927588804,2.0827230621027724,795.7922398015037,3.255321593635916,6.890680391782557,588.921074278378,3.255321593635916,6.890680391782557,588.921074278378,32.8187747766813,-2.4826692751845572e-05,-7.928944318693881e-06,9.077160978448014e-05,-0.0002161029597575596,0.0003096040886977375,-0.0005826617040554026,0.0005508046708301157,-0.0010349488231186053,0.0007558479772367498,-0.0014744835178893865,0.0008858798680332782,-0.0018025900758875141,0.0009286029211603037,-0.001939770776651555,0.0008979635981262994,-0.001841227697488938,0.0008271098478327087,-0.0015055177473584072,0.00075648206604058,-0.0009751276175017234,0.0007201233303437474,-0.00032878420959136584,0.0007341084835900979,0.0003333352659801561,0.0007907990626565606,0.0009089111298364833,0.0008611138647157849,0.0013134712152859044,0.0009044623114503996,0.0014967666331982437,0.0008833390065587865,0.0014519435230155925,0.0007778614363296977,0.0012156866408625296,0.0005953637550316324,0.0008596313653720808,0.0003717523486929312,0.0004753330387629263,0.00016383900066229684,0.00015597832139639428,2.42009608257376e-05,-8.65183418493746e-06
5,3.684460696826306,136662976.67601433,0.0,936.0833668403208,1.9267393650808688,0.34744203702641563,0.12090078369798582,0.008846890927588804,2.0827230621027724,795.7922398015037,3.255321593635916,6.890680391782557,588.921074278378,3.255321593635916,6.890680391782557,588.921074278378,37.266766517675656,-2.837909531763491e-05,-8.795980293717926e-06,0.0001742503002531341,-0.0003513875607670641,0.0005420877234459859,-0.0009658840800361407,0.0009468695672585683,-0.0017250182728604396,0.0012909502719493332,-0.002462206223410943,0.0015094700650425412,-0.003010197253585086,0.0015815378252279902,-0.0032343466075229086,0.0015298181105029135,-0.003058991989792884,0.0014093049449556856,-0.0024820639900095067,0.001287949965620244,-0.0015760278768928982,0.001223834156517842,-0.00047495062675813186,0.0012452355471476739,0.0006504732545388454,0.0013400919681453125,0.0016257758006324313,0.0014591213351012045,0.0023070180202349904,0.0015325250035740307,0.002609049281736556,0.0014953228979410634,0.002521277617763479,0.0013129566659831015,0.002107630636047223,0.0009982500634466763,0.0014913769217722672,0.0006136392284341402,0.0008290586178310778,0.00025738556995114325,0.00027943333332402137,2.7318709919473795e-05,-1.0026445492277684e-05
6,3.684460696826306,136662976.67601433,0.0,936.0833668403208,1.9267393650808688,0.34744203702641563,0.12090078369798582,0.008846890927588804,2.0827230621027724,795.7922398015037,3.255321593635916,6.890680391782557,588.921074278378,3.255321593635916,6.890680391782557,588.921074278378,39.48723519752048,-3.0268703114891327e-05,-9.096475766940444e-06,0.00026049538633853367,-0.0004860566748678194,0.0007770953826273283,-0.0013504438684206162,0.0013450151480259441,-0.002419672899374506,0.0018281452690525214,-0.0034585482224245676,0.0021360585303633415,-0.004230668702782331,0.002238997064651115,-0.004545845981672147,0.002167387678403812,-0.004297301053786875,0.001996993234292518,-0.003482063181357959,0.0018227924224541705,-0.002202195945903081,0.0017273981068078041,-0.0006467427587511468,0.0017525505354185232,0.0009431951133895698,0.0018830963623043943,0.0023207274728281363,0.002050223198352278,0.0032819139503016625,0.0021546221706698174,0.003706208912490782,0.00210286381211502,0.0035790527038938777,0.0018447491400399594,0.0029915882045583493,0.001398219731179056,0.0021186127855779566,0.0008525499509540878,0.0011812708814849882,0.0003480097266013591,0.0004033696702961046,2.877438331263082e-05,-1.0834714014826082e-05
7,3.684460696826306,136662976.67601433,0.0,936.0833668403208,1.9267393650808688,0.34744203702641563,0.12090078369798582,0.008846890927588804,2.0827230621027724,795.7922398015037,3.255321593635916,6.890680391782557,588.921074278378,3.255321593635916,6.890680391782557,588.921074278378,40.80713313318899,-3.1487498578094065e-05,-9.166839677774192e-06,0.00034782165318815596,-0.0006209734525162144,0.0010128298342505647,-0.0017374740517699713,0.001743413070095112,-0.003120544561178989,0.002365671866236773,-0.004465938717830817,0.002764052403711262,-0.005467551110439488,0.0028996327097757283,-0.005879213969622499,0.002809589416276897,-0.005562683744581644,0.0025892982565833855,-0.0045136668507319445,0.0023602081370389287,-0.002863253064576794,0.002229928260224795,-0.0008548770284537125,0.0022549618091468387,0.0012002731681680957,0.002418508445337379,0.0029827448356920805,0.0026330393483440227,0.004228064868234942,0.002769547304915422,0.004779659595137647,0.0027052094700493663,0.0046185262647531495,0.002373147400847258,0.003862708702099678,0.0017958907251904356,0.0027381651538862894,0.0010896777190409028,0.0015300721599265136,0.00043721370221247896,0.000526690188519358,2.956049980725337e-05,-1.1412176313634786e-05
8,3.684460696826306,136662976.67601433,0.0,936.0833668403208,1.9267393650808688,0.34744203702641563,0.12090078369798582,0.008846890927588804,2.0827230621027724,795.7922398015037,3.255321593635916,6.890680391782557,588.921074278378,3.255321593635916,6.890680391782557,588.921074278378,41.67298286312839,-3.236938316358928e-05,-9.12041011939153e-06,0.00043562991169520245,-0.0007563876495365774,0.0012485944443574764,-0.002127252138021723,0.0021412788157736434,-0.003828024143018744,0.002902690607199992,-0.005485013850680856,0.003392614529638075,-0.006721871816657109,0.003562677951482048,-0.00723599344047814,0.003455779752361658,-0.0068572771327272556,0.0031857105634441035,-0.005579625813471125,0.0028997785840014583,-0.0035625110357740105,0.002731014087170454,-0.0011030858439036242,0.002751984303844313,0.0014177840881005662,0.0029457346814998147,0.003608001221340755,0.003206911493446562,0.0051420229988081165,0.0033766897021465466,0.005826541433219281,0.003301933097156997,0.005637521312106316,0.0028980101065220272,0.0047194774837024485,0.0021914282038522294,0.003349071961058138,0.001325425333157171,0.0018748937637646332,0.0005255134533386347,0.0006490536329420471,3.0011255945273846e-05,-1.1871819651188456e-05
9,3.684460696826306,136662976.67601433,0.0,936.0833668403208,1.9267393650808688,0.34744203702641563,0.12090078369798582,0.008846890927588804,2.0827230621027724,795.7922398015037,3.255321593635916,6.890680391782557,588.921074278378,3.255321593635916,6.890680391782557,588.921074278378,42.2766693700879,-3.3057810540835e-05,-9.005985379752835e-06,0.000523637058547484,-0.0008923727244866872,0.0014840119532555092,-0.0025198028794030354,0.002538123889348701,-0.004542118366703744,0.0034386096130391065,-0.006515832785298215,0.004021090757970548,-0.007993830012951514,0.004227482936762163,-0.008616602913720437,0.00410538089532226,-0.00818177634669632,0.00378576304715608,-0.006680943716657593,0.0034411361376408553,-0.004301282558511102,0.003230329265600901,-0.0013929448672905138,0.0032432575781062597,0.0015939935033971175,0.0034643311794094528,0.004194753590240489,0.0037713213420412055,0.006022192852679805,0.003975525601820606,0.006845523132374992,0.003892603993748965,0.00663502255270834,0.003419082254542448,0.005561185831374484,0.0025847816919446305,0.003950880460268239,0.001559910680659726,0.002215468523213936,0.0006131165539219356,0.0007703048821919265,3.027038113961019e-05,-1.2262181235394192e-05
10,3.684460696826306,136662976.67601433,0.0,936.0833668403208,1.9267393650808688,0.34744203702641563,0.12090078369798582,0.008846890927588804,2.0827230621027724,795.7922398015037,3.255321593635916,6.890680391782557,588.921074278378,3.255321593635916,6.890680391782557,588.921074278378,42.714067454539475,-3.362440654734956e-05,-8.848019543354479e-06,0.0006116808553292208,-0.001028938243816273,0.0017188288862859387,-0.0029150616106442522,0.0029335750663304467,-0.00526269693612192,0.003972932543911845,-0.007558244668242844,0.004648895481663858,-0.009283317948193788,0.004893438612552733,-0.010021039250398784,0.004757834291925187,-0.009536332527453466,0.004388997520218467,-0.007817964443732887,0.003983924312330732,-0.005080128191299681,0.003727569999421512,-0.0017252249893088658,0.0037284569496236616,0.001727973240898354,0.003973896092442627,0.004742012672104094,0.004325785053408916,0.006867633800113288,0.004565541893423512,0.007835798604606823,0.004476765482799327,0.0076104000311191045,0.003936041786432442,0.00638738139316703,0.002975798934808527,0.004543293394824155,0.0017931305748254242,0.0025516207307583584,0.0007001086576262457,0.0008903505656567424,3.0409779051590277e-05,-1.2607476638152237e-05
