时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.7887318746844898,44955035.7309228,2406.022314754904,84.75150963700908,1.8232746730153366,0.1585954955929877,0.05294131478903803,0.004955488925873503,1.8594212836961528,1354.232555503417,7.788387027425455,8.718174337945607,899.1006946922421,9.006966476965884,3.296457093353912,441.07222236284076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.7887318746844898,44955035.7309228,2406.022314754904,84.75150963700908,1.8232746730153366,0.1585954955929877,0.05294131478903803,0.004955488925873503,1.8594212836961528,1354.232555503417,7.788387027425455,8.718174337945607,899.1006946922421,9.006966476965884,3.296457093353912,441.07222236284076,2.9442557669418004,-5.549672262043474e-07,-1.607081975736109e-07,1.2186600235416138e-06,-7.416149675606437e-06,5.5338814086623094e-06,-2.2927555529067493e-05,1.0492570136337977e-05,-4.297358955543162e-05,1.4763645840450329e-05,-6.296352295691113e-05,1.7493011992899414e-05,-7.836461473919187e-05,1.8418716093844604e-05,-8.555352512507949e-05,1.7829358039723237e-05,-8.248715423474847e-05,1.6395787587022734e-05,-6.906467672289386e-05,1.4923732541680307e-05,-4.7119759203085904e-05,1.4087734513204854e-05,-2.004860937769973e-05,1.4213217487179004e-05,7.85412130539926e-06,1.5168196719136873e-05,3.222629478194975e-05,1.640329153328951e-05,4.947762002811679e-05,1.7138167999145337e-05,5.747412418585578e-05,1.6644322879249946e-05,5.593197233704008e-05,1.4536176469900053e-05,4.64418550150737e-05,1.0971823254529269e-05,3.2118676404028904e-05,6.6897786793410935e-06,1.6948403199146147e-05,2.861515300280459e-06,4.9581946026755654e-06,4.7300847910594684e-07,-4.645803336081434e-07
3,0.7887318746844898,44955035.7309228,2406.022314754904,84.75150963700908,1.8232746730153366,0.1585954955929877,0.05294131478903803,0.004955488925873503,1.8594212836961528,1354.232555503417,7.788387027425455,8.718174337945607,899.1006946922421,9.006966476965884,3.296457093353912,441.07222236284076,6.505349042919997,-1.227564831006935e-06,-3.5235448864067293e-07,3.368133711050999e-06,-1.846251938444792e-05,1.4259110307511193e-05,-5.7392084716682287e-05,2.6782648505600073e-05,-0.00010779433316524804,3.75810702338344e-05,-0.00015807450921691068,4.4492402189274655e-05,-0.00019673331926260544,4.68475508777456e-05,-0.00021455454799426178,4.5370121843015435e-05,-0.00020633020316041987,4.1755147916255954e-05,-0.00017179616636243047,3.804571862803048e-05,-0.0001156218022015706,3.595803775350032e-05,-4.646778163956345e-05,3.6323530227766666e-05,2.4704854811451833e-05,3.8806460983929666e-05,8.675531051112894e-05,4.1999953296599905e-05,0.0001305088273499309,4.389994697855395e-05,0.0001505099231911787,4.2630950828166293e-05,0.00014603480300565515,3.719701724993309e-05,0.00012116051005768057,2.8002294076814313e-05,8.387751282693211e-05,1.6949999560086953e-05,4.442954804243863e-05,7.06732565367737e-06,1.320460001349837e-05,1.0438681238732488e-06,-1.0312103984837793e-06
4,0.7887318746844898,44955035.7309228,2406.022314754904,84.75150963700908,1.8232746730153366,0.1585954955929877,0.05294131478903803,0.004955488925873503,1.8594212836961528,1354.232555503417,7.788387027425455,8.718174337945607,899.1006946922421,9.006966476965884,3.296457093353912,441.07222236284076,10.208409433261446,-1.9292328612639424e-06,-5.467557603797432e-07,6.805922723436154e-06,-3.364915776703083e-05,2.6938329764977737e-05,-0.00010520194735861435,5.0096878395794276e-05,-0.00019800211862065688,7.008462485936944e-05,-0.0002906053708392682,8.289965215107928e-05,-0.00036165158664984415,8.729150817794088e-05,-0.0003939767118871542,8.45842814982477e-05,-0.00037785973938859286,7.790790920271263e-05,-0.0003127932979152901,7.105272525548072e-05,-0.00020748314924836777,6.721850890631153e-05,-7.810230548448583e-05,6.796754270025441e-05,5.486058168605625e-05,7.268134828802954e-05,0.0001705643917430762,7.872426505698703e-05,0.0002518345618001343,8.232427150033825e-05,0.00028845442171274914,7.993954876482282e-05,0.0002790732823668712,6.968197414711306e-05,0.00023134902352424922,5.230899493651934e-05,0.00016030009664843653,3.141781135066221e-05,8.521153058490092e-05,1.2741500048648572e-05,2.5704339173758893e-05,1.6351725782677758e-06,-1.6286185067227008e-06
5,0.7887318746844898,44955035.7309228,2406.022314754904,84.75150963700908,1.8232746730153366,0.1585954955929877,0.05294131478903803,0.004955488925873503,1.8594212836961528,1354.232555503417,7.788387027425455,8.718174337945607,899.1006946922421,9.006966476965884,3.296457093353912,441.07222236284076,14.470004281538102,-2.7415527334570697e-06,-7.593685063566843e-07,1.348428150543202e-05,-5.9514377214388936e-05,4.966760429281213e-05,-0.00018732219456290782,9.128537503696682e-05,-0.0003533899427939087,0.00012724084141417055,-0.0005191620184586824,0.000150351178409615,-0.0006460541731451721,0.0001583434915607304,-0.0007029703679363906,0.00015355062031588025,-0.000672249838947413,0.00014156314412033962,-0.0005529310194903512,0.00012920435626686378,-0.0003607919216391885,0.00012228774872196594,-0.00012521080486983482,0.0001237001783109351,0.00011654295204159403,0.000132365397334562,0.00032651514167655356,0.00014349115420505732,0.0004733980578150574,0.00015015419756369384,0.0005385541106516747,0.00014581534873968688,0.0005195251476757562,0.00012696707355080617,0.00043031992660673554,9.498974011734352e-05,0.0002984327990583148,5.652218474929563e-05,0.00015922466794308262,2.2158596814263537e-05,4.878531545935775e-05,2.3102951373278744e-06,-2.3341947645866195e-06
6,0.7887318746844898,44955035.7309228,2406.022314754904,84.75150963700908,1.8232746730153366,0.1585954955929877,0.05294131478903803,0.004955488925873503,1.8594212836961528,1354.232555503417,7.788387027425455,8.718174337945607,899.1006946922421,9.006966476965884,3.296457093353912,441.07222236284076,18.697878159630335,-3.558048430602441e-06,-9.449662175817252e-07,2.6284954735616464e-05,-0.0001042628031001842,9.06278048308663e-05,-0.0003304493066696944,0.0001645794875924334,-0.0006249258600661044,0.0002285430090907341,-0.0009191051765584338,0.0002698243073326999,-0.0011440352081872431,0.00028433240798332897,-0.001243969353727327,0.00027605183554712203,-0.0011871236673448977,0.00025475369151142855,-0.0009716199707130379,0.0002325285969814898,-0.0006256403071847763,0.0002198571269896309,-0.00020186638919332498,0.00022212662461274004,0.00023272160527275495,0.00023761696502841247,0.0006097859223135416,0.0002577833590184259,0.0008728576850185971,0.00027004489692406973,0.000988255171348957,0.00026238784341877313,0.0009514838929892569,0.00022829448577135953,0.0007878101990220639,0.00017022495661957093,0.0005469203811565288,0.00010031424427024032,0.00029281843933652894,3.793593544547227e-05,9.10037056850704e-05,2.9678492013061794e-06,-3.074171309030839e-06
7,0.7887318746844898,44955035.7309228,2406.022314754904,84.75150963700908,1.8232746730153366,0.1585954955929877,0.05294131478903803,0.004955488925873503,1.8594212836961528,1354.232555503417,7.788387027425455,8.718174337945607,899.1006946922421,9.006966476965884,3.296457093353912,441.07222236284076,21.228457673263506,-4.058700970096982e-06,-1.027493494462063e-06,4.087328806435746e-05,-0.00015255603965450806,0.00013575091266427938,-0.0004856951892863302,0.0002447110115473855,-0.0009201418620534991,0.00033906548730399365,-0.0013547132993486828,0.00040024501264883096,-0.001687361223502457,0.00042215049530470566,-0.0018353666720549696,0.0004103720889210846,-0.001751366652095643,0.00037898861814018517,-0.0014322489451173662,0.00034569353392804967,-0.000919475723673936,0.0003261289147165715,-0.00029094344547344876,0.00032866147542331124,0.0003540573396840992,0.00035115200264762553,0.0009140068206587399,0.0003811089539285458,0.0013048313663070923,0.0003997148525926851,0.0014762210546821045,0.00038877156010612136,0.001421250096682339,0.00033826944758393263,0.0011773030755705001,0.0002517722731081708,0.0008181705872173046,0.00014749013471127806,0.00043905990031220364,5.451192180561917e-05,0.00013759147221668652,3.3479306705075877e-06,-3.5611092786447916e-06
8,0.7887318746844898,44955035.7309228,2406.022314754904,84.75150963700908,1.8232746730153366,0.1585954955929877,0.05294131478903803,0.004955488925873503,1.8594212836961528,1354.232555503417,7.788387027425455,8.718174337945607,899.1006946922421,9.006966476965884,3.296457093353912,441.07222236284076,22.791877708853125,-4.3784995919051474e-06,-1.053922348489985e-06,5.581061053829713e-05,-0.00020089401391227033,0.0001812221355150654,-0.0006416111418774189,0.000325155741947227,-0.001217280905867328,0.00044995487470159975,-0.0017940854979785743,0.0005312752166127444,-0.0022366981683970264,0.0005609665349386503,-0.0024351555847836825,0.0005460216960369255,-0.0023262007374541495,0.0005045769915381534,-0.0019051721522324238,0.0004597997529765238,-0.0012265440715145814,0.00043259198432424274,-0.0003932622480651438,0.0004345895009534137,0.00046308517210348155,0.00046355384063486815,0.0012076388300278755,0.0005032141679177027,0.0017284283523766922,0.0005284475200167589,0.001958169651689078,0.0005146325074024618,0.0018871921728440273,0.0004480234304603913,0.0015647707948321066,0.0003331837403191484,0.0010886710528986098,0.0001944649748610759,0.0005852719407174627,7.081446154906475e-05,0.0001843936672312388,3.571526622058894e-06,-3.899123941945242e-06
9,0.7887318746844898,44955035.7309228,2406.022314754904,84.75150963700908,1.8232746730153366,0.1585954955929877,0.05294131478903803,0.004955488925873503,1.8594212836961528,1354.232555503417,7.788387027425455,8.718174337945607,899.1006946922421,9.006966476965884,3.296457093353912,441.07222236284076,23.846700386891296,-4.6034660768247266e-06,-1.0508370871425717e-06,7.090963753868665e-05,-0.0002492796568941548,0.00022678756794669832,-0.0007981090656885514,0.0004055939187356762,-0.0015161791701006845,0.0005608409063482214,-0.0022370652602793214,0.0006625201740149743,-0.002792036755390358,0.0007003914932753965,-0.003043646044956212,0.0006826417517802869,-0.002912425641295245,0.0006311982646088576,-0.0023918116694565806,0.0005745516073023747,-0.0015489510484789173,0.0005389444780568434,-0.0005115779117284966,0.0005395678674579878,0.0005565378864731063,0.0005744188988170974,0.001487128880814926,0.000623644208544598,0.0021400895832813897,0.0006557779758218187,0.0024308208288825487,0.0006395564697681997,0.0023465485733553033,0.0005572524128213583,0.001948123025736694,0.0004143017953002767,0.0013570421921612972,0.00024122637860867296,0.0007307067493947786,8.693575747987644e-05,0.00023111410029727278,3.7131750940139273e-06,-4.1584102985662065e-06
10,0.7887318746844898,44955035.7309228,2406.022314754904,84.75150963700908,1.8232746730153366,0.1585954955929877,0.05294131478903803,0.004955488925873503,1.8594212836961528,1354.232555503417,7.788387027425455,8.718174337945607,899.1006946922421,9.006966476965884,3.296457093353912,441.07222236284076,24.601117809584732,-4.772674208162649e-06,-1.0303148179242914e-06,8.608412609368603e-05,-0.0002977108303639332,0.00027232871160540087,-0.0009551432750571172,0.00048587352851784185,-0.0018167616607329107,0.0006715429929901187,-0.0026835951679153695,0.0007937824270118091,-0.003353407262752551,0.0008402282840223268,-0.0036610346828942165,0.000820052946995753,-0.003510475276762096,0.0007587004694768633,-0.0028928869951408095,0.0006898200814180647,-0.0018877152034556244,0.0006450624807386457,-0.0006471784631095007,0.0006434549468616063,0.0006329317748739796,0.0006835729258489036,0.0017509066012141071,0.0007421953326066284,0.002538283470983618,0.0007814954655353507,0.0028928002464540872,0.0007633589212291878,0.0027981925387264386,0.0006658280929662351,0.0023265285616909403,0.0004950687289640852,0.0016227481304760122,0.0002877808425031864,0.0008750782109951761,0.0001029231786581118,0.0002776369384428034,3.8067235475076034e-06,-4.3708823426592225e-06
