时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,7.866992636301383,348112484.36489654,40438.68755117839,3125.7280638155044,2.1662017481771523,0.2365337145677831,0.1687773394444863,0.010854615307647362,2.23322802976786,745.2762360215794,5.141582969717045,2.3690719835244254,751.8167208780487,3.7871557509927354,7.157427598835403,509.10744283589673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,7.866992636301383,348112484.36489654,40438.68755117839,3125.7280638155044,2.1662017481771523,0.2365337145677831,0.1687773394444863,0.010854615307647362,2.23322802976786,745.2762360215794,5.141582969717045,2.3690719835244254,751.8167208780487,3.7871557509927354,7.157427598835403,509.10744283589673,3.2808818182163177,-2.9817841811548072e-06,-2.750089708692212e-06,-7.85919868626893e-07,-1.8975911330060715e-05,7.643535691200354e-06,-4.4078605514798154e-05,1.6559883063289317e-05,-7.401200548506242e-05,2.396814934300428e-05,-0.00010304627159877406,2.8637942203597034e-05,-0.00012578085125411272,3.0256734549368864e-05,-0.00013800610134236054,2.9337089913491305e-05,-0.0001373732269298329,2.6953985654734678e-05,-0.0001237329425081888,2.437860640035089e-05,-9.909288533041975e-05,2.269431931255295e-05,-6.720641598177513e-05,2.2486581657653213e-05,-3.286821679574666e-05,2.368622736608771e-05,-1.0409552624351865e-06,2.5612052850308417e-05,2.403107574295878e-05,2.720687787291639e-05,3.9559798456738435e-05,2.7403679394083436e-05,4.466540770711185e-05,2.55138104379588e-05,4.045873529843777e-05,2.1514464885877787e-05,2.9738885322979192e-05,1.6137777632026963e-05,1.636982745807258e-05,1.076809452571038e-05,4.453013128760071e-06,4.019546911751225e-06,-9.320147415290641e-07
3,7.866992636301383,348112484.36489654,40438.68755117839,3125.7280638155044,2.1662017481771523,0.2365337145677831,0.1687773394444863,0.010854615307647362,2.23322802976786,745.2762360215794,5.141582969717045,2.3690719835244254,751.8167208780487,3.7871557509927354,7.157427598835403,509.10744283589673,7.727617761329027,-7.036037716168704e-06,-6.462960615069585e-06,1.9604119516650497e-07,-4.972770011577366e-05,2.3359287437189767e-05,-0.00011788176812424106,4.792206359659279e-05,-0.00019940631878945892,6.83520319014966e-05,-0.00027840568554064467,8.121586657930788e-05,-0.000339743847546629,8.562714813172738e-05,-0.0003715593430244211,8.301042496373303e-05,-0.00036722430060478437,7.637703102671621e-05,-0.0003263515504835958,6.929845867795618e-05,-0.0002547030966021115,6.481797635660585e-05,-0.00016303476627385602,6.456172289825907e-05,-6.509057389690357e-05,6.828091557440936e-05,2.489861360235695e-05,7.39649807254025e-05,9.476503842161381e-05,7.851734231033629e-05,0.00013653703207341047,7.881655734012215e-05,0.00014775775593149046,7.285174673085195e-05,0.0001317455921222487,6.0574737563082996e-05,9.675259985437246e-05,4.418350070127968e-05,5.420318652119966e-05,2.783210374549758e-05,1.635816061809934e-05,9.471743748033594e-06,-2.2041468114471807e-06
4,7.866992636301383,348112484.36489654,40438.68755117839,3125.7280638155044,2.1662017481771523,0.2365337145677831,0.1687773394444863,0.010854615307647362,2.23322802976786,745.2762360215794,5.141582969717045,2.3690719835244254,751.8167208780487,3.7871557509927354,7.157427598835403,509.10744283589673,12.281794580879794,-1.1210392635802263e-05,-1.0232388729012041e-05,5.640430856516917e-06,-9.211732400451424e-05,5.096327372743759e-05,-0.00022370670715800428,9.90856893649108e-05,-0.0003814759195207182,0.00013911134211157646,-0.0005340272899946898,0.00016425489290654286,-0.0006511949304169826,0.0001727475909007114,-0.0007092390151240626,0.00016740936966782536,-0.0006949037706416765,0.00015423576379692706,-0.0006075363438577107,0.00014036143075257042,-0.0004589576695092046,0.00013187203803292826,-0.0002711509315835181,0.00013198892429355636,-7.219478408628607e-05,0.00014010903098043547,0.00010884101251734415,0.0001520092741802242,0.00024712524003912795,0.00016122319469405385,0.00032646194031335767,0.00016123950021164162,0.00034203075071243395,0.00014787960741773114,0.0003009606169051277,0.00012110297813487521,0.0002206446925893523,8.563613935079957e-05,0.00012516762197349918,5.036172764778768e-05,4.057057769985826e-05,1.5057857042839236e-05,-3.524602500035301e-06
5,7.866992636301383,348112484.36489654,40438.68755117839,3125.7280638155044,2.1662017481771523,0.2365337145677831,0.1687773394444863,0.010854615307647362,2.23322802976786,745.2762360215794,5.141582969717045,2.3690719835244254,751.8167208780487,3.7871557509927354,7.157427598835403,509.10744283589673,17.179901438813133,-1.5747268720938127e-05,-1.4195924833192601e-05,2.3118029258429292e-05,-0.00016626447610248657,0.000110556154159272,-0.0004163961522687908,0.00020333160016667236,-0.0007166377515030164,0.00028037755486467174,-0.0010057812413826273,0.00032859048237809767,-0.0012246021885127516,0.00034454526242674687,-0.0013263856476880295,0.0003337203629184598,-0.0012851683533360446,0.0003078203604452887,-0.0011000947022437354,0.0002808539956542821,-0.0007952491898416086,0.0002648338395042403,-0.00041508553507945344,0.00026610990714201444,-1.6286538409318543e-05,0.0002833370441552094,0.00034252311823514483,0.0003077830946533623,0.0006113778870982789,0.0003260823795591302,0.0007579314493279569,0.00032476615281558537,0.0007730743264338864,0.0002952367491902737,0.0006721424860411295,0.0002375829322086526,0.0004915241512335314,0.00016193404496888902,0.00028142389188049756,8.70972839865589e-05,9.630512047792315e-05,2.1058702696025046e-05,-4.986865331372765e-06
6,7.866992636301383,348112484.36489654,40438.68755117839,3125.7280638155044,2.1662017481771523,0.2365337145677831,0.1687773394444863,0.010854615307647362,2.23322802976786,745.2762360215794,5.141582969717045,2.3690719835244254,751.8167208780487,3.7871557509927354,7.157427598835403,509.10744283589673,20.521805754457855,-1.8910783233612346e-05,-1.675083952125239e-05,5.36844714010842e-05,-0.000262867396471517,0.000198943102891965,-0.0006747364629369383,0.00035274673716474177,-0.0011691443999555665,0.0004802394166099363,-0.0016435704554690833,0.0005598425242381279,-0.0019985216245635923,0.0005858917936898811,-0.0021555327598560352,0.0005673792206554917,-0.0020712477057787423,0.0005236722074853866,-0.0017448822816944465,0.0004781731639075521,-0.0012179913779086662,0.0004511933843591811,-0.0005667448831329561,0.0004536536426075541,0.00011190526642928473,0.0004833696032695013,0.000717790350382896,0.0005253146327096086,0.0011657127934599086,0.0005562379105408889,0.0014008803997426086,0.0005525790588729562,0.0014086019109404238,0.0004993115355627767,0.001216354608344873,0.00039677209954152643,0.000887894597094018,0.00026306284119955955,0.0005107573560235538,0.0001314239822630644,0.00017985418358996082,2.5132843643394834e-05,-6.047870266815159e-06
7,7.866992636301383,348112484.36489654,40438.68755117839,3125.7280638155044,2.1662017481771523,0.2365337145677831,0.1687773394444863,0.010854615307647362,2.23322802976786,745.2762360215794,5.141582969717045,2.3690719835244254,751.8167208780487,3.7871557509927354,7.157427598835403,509.10744283589673,22.320475242661104,-2.0674362366288237e-05,-1.7985889594376348e-05,8.726474007399492e-05,-0.0003574494452223594,0.00029023357068520584,-0.0009313032836638614,0.0005047600774888268,-0.0016202556041696996,0.0006824470565837404,-0.0022802588086611297,0.0007934558978110178,-0.0027713476559616383,0.0008298558971658943,-0.0029831829229512137,0.0008038754155622303,-0.0028549855916293323,0.0007421984992282127,-0.0023860880916826022,0.0006774507599058813,-0.0016356190965188908,0.000638386351273322,-0.0007116302260098279,0.000640888756983075,0.00024842084673472146,0.0006823397288206937,0.0011025353467712642,0.0007415861606449464,0.0017300200397497602,0.0007853215435028648,0.0020534940871924537,0.0007795016566497655,0.0020527301221168067,0.0007023173150647484,0.0017675691561867624,0.0005542707477078681,0.001289448675120692,0.00036167704428653866,0.0007435362107444942,0.00017258744849959934,0.0002654274487386473,2.7305893450976902e-05,-6.674868348780149e-06
8,7.866992636301383,348112484.36489654,40438.68755117839,3125.7280638155044,2.1662017481771523,0.2365337145677831,0.1687773394444863,0.010854615307647362,2.23322802976786,745.2762360215794,5.141582969717045,2.3690719835244254,751.8167208780487,3.7871557509927354,7.157427598835403,509.10744283589673,23.43384159398068,-2.181685751549587e-05,-1.8632924376390113e-05,0.00012216948575996303,-0.0004514019083821145,0.0003826984208775794,-0.0011880236551298495,0.0006576906286970204,-0.0020728196196926744,0.0008854616014315775,-0.0029200856211405884,0.0010281009430607633,-0.003549198087822145,0.0010753400082814547,-0.003817757307722938,0.0010423109494970622,-0.003647385365049148,0.0009626132055999131,-0.0030373538282988184,0.0008778871487695405,-0.0020641891204311574,0.000825470554968351,-0.0008676876599726619,0.0008266437681393999,0.00037422937823980375,0.0008788449912846243,0.001477649115180992,0.0009550713745716924,0.0022861968122448416,0.0010118902811172227,0.002699686159700722,0.0010044373122747481,0.002692173909379353,0.0009037519279395409,0.002315739950139835,0.0007103266117922871,0.0016894007411515533,0.00045877665454557837,0.0009758420760783432,0.0002121783608787006,0.00035123818182783006,2.8636131045391825e-05,-7.1079805003323964e-06
9,7.866992636301383,348112484.36489654,40438.68755117839,3125.7280638155044,2.1662017481771523,0.2365337145677831,0.1687773394444863,0.010854615307647362,2.23322802976786,745.2762360215794,5.141582969717045,2.3690719835244254,751.8167208780487,3.7871557509927354,7.157427598835403,509.10744283589673,24.184764918007126,-2.2631832520658752e-05,-1.8967629762266647e-05,0.00015774608947457768,-0.0005452138055735856,0.0004756530379934273,-0.0014455607205004141,0.0008108617724749802,-0.002527862109181755,0.0010886588222004505,-0.0035646720279451896,0.0012632407918635525,-0.004334519155764132,0.0013219128821917692,-0.004662706074850734,0.0012823552871432718,-0.00445298978682215,0.001184655373146074,-0.0037042865825896052,0.0010792383784672714,-0.0025102159145531,0.0010121601008537344,-0.001042058806944481,0.001010548318084099,0.00048194015105108357,0.001072426768985721,0.0018359217213786477,0.0011652696789309208,0.002827634378238814,0.001235490932161623,0.0033337959417178375,0.0012270871724285122,0.003322441659959145,0.001103559516274733,0.002857610478471991,0.0008651647089900283,0.002085639510254623,0.0005548388533184696,0.0012064905326728797,0.0002508430563986911,0.00043673299013987765,2.952245153116572e-05,-7.437795429148739e-06
10,7.866992636301383,348112484.36489654,40438.68755117839,3125.7280638155044,2.1662017481771523,0.2365337145677831,0.1687773394444863,0.010854615307647362,2.23322802976786,745.2762360215794,5.141582969717045,2.3690719835244254,751.8167208780487,3.7871557509927354,7.157427598835403,509.10744283589673,24.720450934943226,-2.3253227666187313e-05,-1.9115866184267794e-05,0.00019368231973826698,-0.000639074864438527,0.0005687483689467837,-0.0017041353328595698,0.0009639031129388831,-0.0029857275869640664,0.001291669157067223,-0.00421461422910748,0.001498530600164764,-0.005128291514034837,0.0015692761498792792,-0.005519501325610241,0.0015237693058081502,-0.005273819482430679,0.0014081413963097672,-0.004389447738992911,0.0012813533441895669,-0.0029767234350124277,0.0011983004522463367,-0.0012380853502877885,0.0011924108694415152,0.0005680906071269445,0.001262843333732881,0.002173991944316527,0.0013719078661605987,0.0033512849165843414,0.001455867304295279,0.0039532550526057446,0.0014472737840849953,0.003941538274365261,0.0013016919148251993,0.003391770495857735,0.0010188844336192385,0.002477275576366283,0.0006500890005036799,0.0014349940171587156,0.00028888314153246465,0.000521682294589417,3.0146930832300727e-05,-7.705664375931882e-06
