时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.4696784658506225,20889049.735469155,-103.18272783005523,21.32203384757517,1.5885715147680521,0.1527196759151748,0.027828812605976326,0.003550843220179758,1.6268977176824102,1610.2943815487436,9.167771741520141,8.838934310982152,347.5197397452569,9.51285114091307,4.648121913442908,449.5945009838251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.4696784658506225,20889049.735469155,-103.18272783005523,21.32203384757517,1.5885715147680521,0.1527196759151748,0.027828812605976326,0.003550843220179758,1.6268977176824102,1610.2943815487436,9.167771741520141,8.838934310982152,347.5197397452569,9.51285114091307,4.648121913442908,449.5945009838251,3.9790180093715795,-3.5919209591696066e-07,-1.355780197740456e-07,1.822846741599334e-06,-7.150479487770854e-06,6.737189181425526e-06,-2.290568743335864e-05,1.2463902002334355e-05,-4.348436177223809e-05,1.741806507271063e-05,-6.401527008637392e-05,2.058047609328712e-05,-7.964301202121781e-05,2.16341405810969e-05,-8.647800377296648e-05,2.0922466557106467e-05,-8.234362464776438e-05,1.9247680069495205e-05,-6.718023046665084e-05,1.7569044589381934e-05,-4.303767602730587e-05,1.6678191451998266e-05,-1.366231208890237e-05,1.6936372209599105e-05,1.6240632923369727e-05,1.8149721843379885e-05,4.192851446214604e-05,1.9627907040842693e-05,5.954833149243922e-05,2.042012334025662e-05,6.688603762263051e-05,1.966348729066546e-05,6.378655544109365e-05,1.6934334394685818e-05,5.21587452705662e-05,1.2482660862845357e-05,3.556344462568678e-05,7.262698311238765e-06,1.8470678716482855e-05,2.722505479239997e-06,5.335961761285272e-06,3.407386113554593e-07,-2.7930570312711694e-07
3,0.4696784658506225,20889049.735469155,-103.18272783005523,21.32203384757517,1.5885715147680521,0.1527196759151748,0.027828812605976326,0.003550843220179758,1.6268977176824102,1610.2943815487436,9.167771741520141,8.838934310982152,347.5197397452569,9.51285114091307,4.648121913442908,449.5945009838251,9.086054710474235,-8.213511448505162e-07,-3.071261723311603e-07,5.086168893910674e-06,-1.8903175627783636e-05,1.8226137665938997e-05,-6.082938794923811e-05,3.3539738515500156e-05,-0.00011568100749772334,4.680126620873396e-05,-0.00017043496356551223,5.5281762311654476e-05,-0.00021206402718618726,5.812487528559433e-05,-0.0002301088099700385,5.6240133918644684e-05,-0.00021870324579217423,5.176950907331028e-05,-0.00017767433792736402,4.7284107540584e-05,-0.00011253099144598462,4.4914291197415076e-05,-3.335808548036559e-05,4.563908675615411e-05,4.7167257581987245e-05,4.894194614057595e-05,0.00011625881894941575,5.296076412289442e-05,0.00016352349428917244,5.512147841173473e-05,0.00018298688567049167,5.308205894541797e-05,0.0001742315621768853,4.5688805424446186e-05,0.0001424152675098192,3.3616757288313056e-05,9.716480867120546e-05,1.9455714613506132e-05,5.057860751962631e-05,7.147830620700816e-06,1.4743143707685357e-05,7.769182878854469e-07,-6.412108922750406e-07
4,0.4696784658506225,20889049.735469155,-103.18272783005523,21.32203384757517,1.5885715147680521,0.1527196759151748,0.027828812605976326,0.003550843220179758,1.6268977176824102,1610.2943815487436,9.167771741520141,8.838934310982152,347.5197397452569,9.51285114091307,4.648121913442908,449.5945009838251,14.187729832200464,-1.285021322225359e-06,-4.739983956294573e-07,1.0024440253649745e-05,-3.5327684432074e-05,3.4855601483018426e-05,-0.00011420127737651206,6.378956282083358e-05,-0.00021755336438155476,8.887165931329818e-05,-0.00032078110962605456,0.00010494524204183045,-0.0003991885766528101,0.00011037582658768896,-0.0004329023603625106,0.0001068580882693353,-0.00041074912435282233,9.842346042596456e-05,-0.00033237025999646275,8.993630058045525e-05,-0.0002082190678544438,8.545121323199213e-05,-5.747086950894024e-05,8.685356980474636e-05,9.574413178528456e-05,9.318240267827997e-05,0.00022706803555814608,0.00010089424438317338,0.000316688461744747,0.0001050627156572523,0.00035321011755160296,0.00010118904915017485,0.0003358364183598226,8.704755989381909e-05,0.0002744133640218479,6.392586860082775e-05,0.00018732893042101696,3.679440511374588e-05,9.7714342115096e-05,1.3237497304231858e-05,2.8721831743635074e-05,1.2105021262466623e-06,-1.0088372500126521e-06
5,0.4696784658506225,20889049.735469155,-103.18272783005523,21.32203384757517,1.5885715147680521,0.1527196759151748,0.027828812605976326,0.003550843220179758,1.6268977176824102,1610.2943815487436,9.167771741520141,8.838934310982152,347.5197397452569,9.51285114091307,4.648121913442908,449.5945009838251,20.98746047830081,-1.909217773766585e-06,-6.820512590216423e-07,2.1945294257997225e-05,-7.215318943757896e-05,7.337407771561735e-05,-0.00023469882176501545,0.00013325879779783062,-0.0004481630484730364,0.00018525038989598822,-0.0006616161440798845,0.00021870707917484285,-0.0008236985530530136,0.00023019389983690118,-0.0008929418658651968,0.0002231018160998526,-0.0008459302673016831,0.00020566761197950172,-0.0006817799025407587,0.00018794512380557128,-0.0004221917461392106,0.00017843469359599614,-0.00010714007057205477,0.00018121149235895864,0.00021296186268413348,0.00019440767800102193,0.000487137275025308,0.0002106590663024956,0.0006738579356777592,0.00021957741428311678,0.0007491963004562287,0.0002115931501572201,0.0007114409506570333,0.0001819239327505551,0.0005812168552493989,0.00013325641950582453,0.0003971004759465008,7.611315920720899e-05,0.00020767870207079659,2.6587163885094902e-05,6.168610174984308e-05,1.781560713762891e-06,-1.5178609249428618e-06
6,0.4696784658506225,20889049.735469155,-103.18272783005523,21.32203384757517,1.5885715147680521,0.1527196759151748,0.027828812605976326,0.003550843220179758,1.6268977176824102,1610.2943815487436,9.167771741520141,8.838934310982152,347.5197397452569,9.51285114091307,4.648121913442908,449.5945009838251,25.686506973616467,-2.3505787815464675e-06,-8.025409219625056e-07,3.880384632762219e-05,-0.00012180764851832211,0.00012634820591416222,-0.0003980640990695333,0.00022820256670013064,-0.0007616185933304161,0.00031677742341506724,-0.0011257912229547527,0.0003740816775472703,-0.0014028406699148894,0.00039418085559291834,-0.0015217027963067404,0.0003825590277129858,-0.001442040403497467,0.0003529215488078162,-0.0011619931244447425,0.0003222644998080738,-0.0007183600918450804,0.00030525013813299275,-0.00017932292808839882,0.0003092243128266559,0.00036888082041926375,0.00033138042030047925,0.0008388409803531022,0.0003592749036643112,0.0011591762412288557,0.0003749670298579668,0.001288608525632809,0.0003617199110760205,0.0012239763329099818,0.00031104028558783263,0.0010004944335453056,0.00022746567296566704,0.0006842484110719947,0.00012921034335385066,0.0003585906086168457,4.416967402924401e-05,0.00010727237867177708,2.1652809134818037e-06,-1.8998848820036418e-06
7,0.4696784658506225,20889049.735469155,-103.18272783005523,21.32203384757517,1.5885715147680521,0.1527196759151748,0.027828812605976326,0.003550843220179758,1.6268977176824102,1610.2943815487436,9.167771741520141,8.838934310982152,347.5197397452569,9.51285114091307,4.648121913442908,449.5945009838251,28.306246306461254,-2.6059308283368022e-06,-8.484079097398201e-07,5.60553045465336e-05,-0.00017165474932874291,0.00017984964899954426,-0.0005626590357492329,0.0003237943740131844,-0.001078183960880575,0.0004491732888971437,-0.001595635642094466,0.0005307309516557283,-0.001990552357895414,0.0005599606452328474,-0.002161854972730095,0.0005441952944307593,-0.0020518632590795192,0.0005023300362859621,-0.0016573768350279362,0.0004581861713921303,-0.001030042794580279,0.00043274490432034207,-0.0002661691950232095,0.0004369917489650012,0.0005120538744528488,0.0004675559501814695,0.0011804539807168267,0.0005070775709781527,0.001637343696598567,0.0005299314920307565,0.0018236401090226642,0.0005118910640929779,0.0017343886530668926,0.00044045448502580105,0.0014192146154853444,0.0003219132854475892,0.0009716885570399263,0.0001822993310215527,0.0005100311232003975,6.153632350425552e-05,0.00015322999981914217,2.3695039987338497e-06,-2.140130469056377e-06
8,0.4696784658506225,20889049.735469155,-103.18272783005523,21.32203384757517,1.5885715147680521,0.1527196759151748,0.027828812605976326,0.003550843220179758,1.6268977176824102,1610.2943815487436,9.167771741520141,8.838934310982152,347.5197397452569,9.51285114091307,4.648121913442908,449.5945009838251,29.96144787438943,-2.77518097829921e-06,-8.596783652063321e-07,7.34542605431418e-05,-0.00022159897058254008,0.0002334590953301687,-0.000728037313180642,0.0004194277790995043,-0.0013969834179804379,0.0005816738563588702,-0.002069926304450771,0.0006877970537335523,-0.0025855030732261767,0.000726658802345676,-0.002812318323407327,0.0007071832176820116,-0.002674975952065437,0.0006531398185248468,-0.0021685358591463553,0.0005950114488933638,-0.00135912215770427,0.0005602181338555846,-0.0003709009555319398,0.0005637444592088742,0.0006380757984359878,0.0006020557163298184,0.0015067479802103648,0.0006530913401016251,0.0021028106947491645,0.0006834689051745202,0.0023489699685318322,0.0006611900336225456,0.0022380795746703573,0.0005694507345765565,0.0018338481492992727,0.0004161624641597753,0.0012570953214571872,0.00023523163512074376,0.0006607783863124462,7.875135663582086e-05,0.00019913133913801128,2.490746730072266e-06,-2.3143326726554023e-06
9,0.4696784658506225,20889049.735469155,-103.18272783005523,21.32203384757517,1.5885715147680521,0.1527196759151748,0.027828812605976326,0.003550843220179758,1.6268977176824102,1610.2943815487436,9.167771741520141,8.838934310982152,347.5197397452569,9.51285114091307,4.648121913442908,449.5945009838251,31.094568206211857,-2.8980041933923845e-06,-8.522262359592836e-07,9.090904180655025e-05,-0.0002716184868652856,0.00028702834263573374,-0.0008940814730441515,0.0005148931923875664,-0.0017177957450074143,0.0007140148016918624,-0.0025483810658856565,0.0008449806167571557,-0.003187436798405435,0.0008939696449406969,-0.003472977210412241,0.0008712390168064599,-0.0033115216971210865,0.0008051046136598289,-0.0026959703750464212,0.0007325262160090868,-0.0017065099585237848,0.0006874630430077585,-0.0004948346390241976,0.0006892511254470691,0.0007453012035705827,0.0007346030287728305,0.00181588385924559,0.0007969982936638694,0.002553713907142605,0.0008352510689028868,0.002862880599465175,0.0008093245564842492,0.002733615711690908,0.0006978153222989908,0.0022433286414560555,0.0005100999099429415,0.0015397845024651832,0.0002879874487047652,0.0008104785304690294,9.58546326411972e-05,0.00024484829160600723,2.5673109280413346e-06,-2.452610703589612e-06
10,0.4696784658506225,20889049.735469155,-103.18272783005523,21.32203384757517,1.5885715147680521,0.1527196759151748,0.027828812605976326,0.003550843220179758,1.6268977176824102,1610.2943815487436,9.167771741520141,8.838934310982152,347.5197397452569,9.51285114091307,4.648121913442908,449.5945009838251,31.9126685003324,-2.992969973594329e-06,-8.334862754029691e-07,0.00010837483198683543,-0.0003216978379615842,0.0003404814460771696,-0.0010607213491631612,0.0006100775928855728,-0.002040492498541808,0.0008460458841128603,-0.0030308373667594308,0.0010021036354431853,-0.0037962032279462415,0.0010617063761161481,-0.004143751607880177,0.0010361895413799015,-0.003961548376245605,0.0009580805871337113,-0.00323990232339611,0.0008706161428629066,-0.002072626858015691,0.0008143783978394858,-0.0006385841803961291,0.0008133992074882572,0.0008329623998922783,0.0008650559151332632,0.0021070087622173197,0.0009386267553845239,0.00298919862729938,0.0009850959565062996,0.0033645950963683913,0.0009561322567108865,0.003220358450396973,0.0008254319270099703,0.0026471880999724812,0.0006036665700827925,0.0018194600499082557,0.00034055766510398,0.0009589801038472218,0.00011286589904372466,0.000290325666914133,2.6171232607430347e-06,-2.569067399298744e-06
