时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.0060077758446426,54307492.90062487,-1944.8567757081692,396.38450967445135,2.9199957915733923,0.2906269101587039,0.03368787097862926,0.009778962004359496,2.9953945458358304,1108.7294274537726,10.0,10.0,1000.0,10.0,10.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0060077758446426,54307492.90062487,-1944.8567757081692,396.38450967445135,2.9199957915733923,0.2906269101587039,0.03368787097862926,0.009778962004359496,2.9953945458358304,1108.7294274537726,10.0,10.0,1000.0,10.0,10.0,1000.0,2.3855364567755295,-7.390240909747384e-07,-2.8718889312773196e-07,1.3353263876247625e-06,-7.520129277732012e-06,6.69169916784856e-06,-2.4837241757324473e-05,1.3151886502600454e-05,-4.796923393031095e-05,1.8853011383959927e-05,-7.154878565146768e-05,2.2574703178791776e-05,-9.017113480939284e-05,2.3900113444659592e-05,-9.94433975780406e-05,2.317371593751578e-05,-9.681827938420183e-05,2.1277959347248787e-05,-8.205431431643212e-05,1.929352365806823e-05,-5.722550472592072e-05,1.8130775423961428e-05,-2.6284520779512028e-05,1.8229172173574224e-05,5.733217156547983e-06,1.941133456101431e-05,3.371060329779269e-05,2.0943383447476664e-05,5.345900367209404e-05,2.1794655711400482e-05,6.253527842767055e-05,2.102319858365986e-05,6.0698458234247145e-05,1.8163367282698482e-05,4.991200633966423e-05,1.3480458740109328e-05,3.389088977704815e-05,7.993221418837776e-06,1.7291251907850825e-05,3.227031772312846e-06,4.709172156024773e-06,7.340873851642183e-07,-2.9805085206374703e-07
3,1.0060077758446426,54307492.90062487,-1944.8567757081692,396.38450967445135,2.9199957915733923,0.2906269101587039,0.03368787097862926,0.009778962004359496,2.9953945458358304,1108.7294274537726,10.0,10.0,1000.0,10.0,10.0,1000.0,5.423732606356837,-1.6818822388096564e-06,-6.507602388718665e-07,3.977212772567982e-06,-1.96408946026286e-05,1.828299372242172e-05,-6.539072848235054e-05,3.5527421215933105e-05,-0.00012666432139110377,5.0764492994923195e-05,-0.00018915357893345487,6.07320068187728e-05,-0.00023836142673519574,6.430518387537985e-05,-0.00026246315095533265,6.239581756703992e-05,-0.0002545851096190664,5.736282215794415e-05,-0.00021407107651817385,5.210642132980647e-05,-0.00014652497057991565,4.907761660902108e-05,-6.264075430867422e-05,4.9461921505672956e-05,2.3945680502313203e-05,5.2774829672163017e-05,9.936702035482836e-05,5.701583513017927e-05,0.00015226647494330324,5.936952949165213e-05,0.00017602136708375432,5.725717039092255e-05,0.00016999235017513183,4.9400553272909e-05,0.0001395410026322806,3.652620948484977e-05,9.481410068943803e-05,2.1437483459570254e-05,4.855958231384357e-05,8.359320305616461e-06,1.3426137954929317e-05,1.668538115559166e-06,-6.801838474500181e-07
4,1.0060077758446426,54307492.90062487,-1944.8567757081692,396.38450967445135,2.9199957915733923,0.2906269101587039,0.03368787097862926,0.009778962004359496,2.9953945458358304,1108.7294274537726,10.0,10.0,1000.0,10.0,10.0,1000.0,8.717252776100846,-2.7070994821612665e-06,-1.0400361638298638e-06,8.891512316679507e-06,-3.8324666355101856e-05,3.750084787016183e-05,-0.0001287286366523696,7.193942068923844e-05,-0.00025011118383860684,0.0001023985456209404,-0.0003739315495818702,0.00012236887796070758,-0.0004710966273018185,0.00012958393708156066,-0.0005177924233000464,0.000125840621904752,-0.0005001428281184395,0.00011584352486159483,-0.00041681783191351224,0.00010540961910205225,-0.00027915669771939227,9.948274108590404e-05,-0.00010882559009881134,0.00010047146681839346,6.652011332098502e-05,0.00010739917363809885,0.00021873140432642212,0.00011618633718381792,0.0003247432826880913,0.00012106465877014272,0.0003711131223061633,0.00011673246751436025,0.00035658440724891966,0.00010055390369599893,0.0002921455043630996,7.40255185130471e-05,0.00019858010774222493,4.294260961252042e-05,0.00010204834764616462,1.6083976035603205e-05,2.8618439896111012e-05,2.6800945346479817e-06,-1.099721184642533e-06
5,1.0060077758446426,54307492.90062487,-1944.8567757081692,396.38450967445135,2.9199957915733923,0.2906269101587039,0.03368787097862926,0.009778962004359496,2.9953945458358304,1108.7294274537726,10.0,10.0,1000.0,10.0,10.0,1000.0,12.63066657983317,-3.933638878436143e-06,-1.487898789638016e-06,2.0851814358492367e-05,-7.711160173295379e-05,8.010533618498007e-05,-0.0002618161208295793,0.00015122304386109526,-0.0005104528176076285,0.00021416804867280308,-0.0007641132201317667,0.0002555787035741363,-0.000962373195854815,0.0002707397698659424,-0.0010555876137644338,0.00026324692564004597,-0.0010147499007978182,0.00024271283855647146,-0.0008370573022684493,0.0002211595104036967,-0.0005462580108547236,0.00020894345416675025,-0.0001878149900678301,0.00021123371030194095,0.0001801490971394757,0.0002260956321464652,0.000498392744559111,0.0002449486964341807,0.0007183308721045438,0.00025549774740751737,0.0008116654578148748,0.00024635167935230863,0.0007758621996294244,0.00021180883291044904,0.000634322791212366,0.0001550749903557538,0.0004312463912041177,8.864799921620281e-05,0.00022232991976745177,3.1519436840314757e-05,6.326021485934523e-05,3.8770381772387525e-06,-1.6133432294342917e-06
6,1.0060077758446426,54307492.90062487,-1944.8567757081692,396.38450967445135,2.9199957915733923,0.2906269101587039,0.03368787097862926,0.009778962004359496,2.9953945458358304,1108.7294274537726,10.0,10.0,1000.0,10.0,10.0,1000.0,15.112742655868642,-4.723371171463864e-06,-1.7503020894981052e-06,3.738300758966945e-05,-0.00012604486561895554,0.00013592524890902356,-0.0004310740990906553,0.00025387368528386053,-0.0008424430774069193,0.0003583286785846856,-0.0012623833621943595,0.00042733169494290116,-0.0015902244243636216,0.0004530206347117686,-0.0017430429688032858,0.00044107693651604466,-0.0016722513461052953,0.0004071155697492312,-0.0013730031524341172,0.00037096359664665985,-0.0008848743724785605,0.000350030771364844,-0.0002838795067782885,0.00035334488220068627,0.00033260050624068843,0.0003780607926054566,0.0008651316889168454,0.00040992850271847183,0.0012320391512912559,0.00042809990030077657,0.0013856965139065428,0.0004130330754348068,0.0013218416214941433,0.0003548298702172127,0.0010799206242971214,0.0002588805372082475,0.0007344541010520755,0.00014653503245474632,0.000379404295937447,5.025679043539754e-05,0.00010886570405058131,4.628679728939779e-06,-1.9605395494210337e-06
7,1.0060077758446426,54307492.90062487,-1944.8567757081692,396.38450967445135,2.9199957915733923,0.2906269101587039,0.03368787097862926,0.009778962004359496,2.9953945458358304,1108.7294274537726,10.0,10.0,1000.0,10.0,10.0,1000.0,16.49018277088438,-5.172395113394712e-06,-1.8765604926637547e-06,5.4509974302753543e-05,-0.00017494749111272398,0.0001924475465976695,-0.0006010015729743431,0.00035723748974348404,-0.0011765049942482095,0.0005032911588605993,-0.001764719393730155,0.000600206143673466,-0.002224463568296693,0.000636933602065422,-0.0024391999174340423,0.0006209744690348493,-0.0023404130140046537,0.0005736083898048001,-0.0019208985709216818,0.00052229780091096,-0.001235823195164818,0.0004916525797801954,-0.0003916507400795859,0.0004949644454400202,0.0004748940600688423,0.0005289050542898786,0.0012239053576537805,0.0005737474536556688,0.0017402145463627642,0.0005999464638437078,0.001956462878886654,0.0005794489968888049,0.0018663697184372492,0.0004978353372798798,0.0015252920384815178,0.0003625921421035681,0.001038070666624559,0.00020408675122399452,0.0005370253191355696,6.85168237827095e-05,0.00015483649984940307,5.039485750658909e-06,-2.1719437912606566e-06
8,1.0060077758446426,54307492.90062487,-1944.8567757081692,396.38450967445135,2.9199957915733923,0.2906269101587039,0.03368787097862926,0.009778962004359496,2.9953945458358304,1108.7294274537726,10.0,10.0,1000.0,10.0,10.0,1000.0,17.35858178969798,-5.464831031578653e-06,-1.9400791120696476e-06,7.188437376420138e-05,-0.0002238661231959554,0.00024916850309193966,-0.0007715396788990408,0.0004606743369090543,-0.0015125201727381734,0.0006483194143070319,-0.0022711148749160765,0.000773426699889845,-0.002865472623513312,0.0008217218542697514,-0.0031451640081523852,0.0008022404488019552,-0.0030213923312767056,0.0007415533232803997,-0.0024842010580401813,0.0006745470648492142,-0.0016039617741652207,0.0006331495502635083,-0.0005172877780556243,0.0006353223337832578,0.0005998790997502682,0.0006777180134803773,0.0015670625748549242,0.0007353879070909015,0.0022353015995774128,0.0007700099400590861,0.002517102643211444,0.0007446977060871526,0.002403769882594028,0.0006401781395270885,0.0019662420980765595,0.0004658918002385528,0.001339429647565537,0.0002613002420303837,0.0006938458267155101,8.649684080678335e-05,0.00020072659375212448,5.29373501240924e-06,-2.320570855438966e-06
9,1.0060077758446426,54307492.90062487,-1944.8567757081692,396.38450967445135,2.9199957915733923,0.2906269101587039,0.03368787097862926,0.009778962004359496,2.9953945458358304,1108.7294274537726,10.0,10.0,1000.0,10.0,10.0,1000.0,17.951164217636574,-5.672830476189945e-06,-1.969617115818521e-06,8.93674211531121e-05,-0.0002728132858942376,0.0003058858062813989,-0.0009426591255321771,0.0005639257150044001,-0.0018504554642694577,0.0007931134566517433,-0.002781623815852682,0.0009466747308635888,-0.0035135175870616773,0.0010070756448450886,-0.0038615452940644365,0.0009845975050537987,-0.0037162545566829476,0.0009107135539505049,-0.003064496443849326,0.0008275009227815506,-0.0019913967016103227,0.0007743045907107532,-0.000663341286817652,0.0007741586233323467,0.0007047132237214195,0.0008241783956070829,0.0018916777836329535,0.0008944811279398322,0.002714520263328632,0.0009379197111741713,0.00306518709504435,0.0009084671347512136,0.002932110675144462,0.0007816552723845778,0.0024013996610083494,0.0005687051710925189,0.0016376937780489783,0.000318210283220658,0.000849457180652857,0.00010428778270738702,0.0002463996327278505,5.463628117492102e-06,-2.4350558129758057e-06
10,1.0060077758446426,54307492.90062487,-1944.8567757081692,396.38450967445135,2.9199957915733923,0.2906269101587039,0.03368787097862926,0.009778962004359496,2.9953945458358304,1108.7294274537726,10.0,10.0,1000.0,10.0,10.0,1000.0,18.377448462156224,-5.83028308537099e-06,-1.978694369041812e-06,0.00010688909282051622,-0.0003217814335916154,0.00036248879539476633,-0.0011143028142989967,0.0006668391162685905,-0.0021902169506282975,0.0009374828952816552,-0.0032961639651031918,0.0011197343085936739,-0.0041685994382111135,0.0011927745789016154,-0.004588505055873489,0.0011678446277533087,-0.00442538666877037,0.0010809231875304518,-0.0036624377671525595,0.000981026572713031,-0.002399052775237952,0.0009149971299028624,-0.0008309722631600999,0.0009113356904756391,0.0007880764969898426,0.0009681111283415396,0.0021963806717578737,0.0010508170636779992,0.003176568439427744,0.0011034576803251046,0.003599585984597807,0.0010705704546155781,0.003450502874004325,0.0009221440876942371,0.0028301419609201863,0.0006709851544461411,0.0019324886208156706,0.0003748311493743153,0.0010036794795989779,0.0001219331005581924,0.00029179578947293274,5.583081557860893e-06,-2.5288514773605753e-06
11,1.0060077758446426,54307492.90062487,-1944.8567757081692,396.38450967445135,2.9199957915733923,0.2906269101587039,0.03368787097862926,0.009778962004359496,2.9953945458358304,1108.7294274537726,10.0,10.0,1000.0,10.0,10.0,1000.0,18.694973751210366,-5.954995931165246e-06,-1.9744262974279012e-06,0.00012440801229045197,-0.00037075447366336026,0.00041890362071333304,-0.0012864007882149408,0.0007693021472667681,-0.0025316817330934757,0.0010812759387117362,-0.0038145897476780776,0.0012924231311325649,-0.004830600589499522,0.001378625752512932,-0.0053260113489389535,0.0013518033812006923,-0.005148894001204241,0.001252036931654853,-0.004278303738023216,0.0011350134826453625,-0.0028273955865878654,0.0010551336983377392,-0.0010208182086109722,0.0010467494201167726,0.0008492052878206229,0.0011093802229594969,0.0024803520491043104,0.0012042268052198074,0.0036206514871308,0.0012664432560593477,0.004119600274334078,0.0012308482097920029,0.003958391158207366,0.0010615340283648069,0.0032520768825467228,0.000772679925124913,0.0022235768601590908,0.0004311590238430518,0.0011563987197188152,0.00013945310715642454,0.00033687837781141636,5.6699236200351555e-06,-2.6090219595195315e-06
12,1.0060077758446426,54307492.90062487,-1944.8567757081692,396.38450967445135,2.9199957915733923,0.2906269101587039,0.03368787097862926,0.009778962004359496,2.9953945458358304,1108.7294274537726,10.0,10.0,1000.0,10.0,10.0,1000.0,18.93739175733653,-6.057376264064613e-06,-1.9609837955645006e-06,0.0001418965781019922,-0.00041971265237944667,0.0004750755497828118,-0.0014588746378653573,0.0008712248386085782,-0.002874701652698792,0.0012243629247051361,-0.004336697280966086,0.0014645764762682588,-0.005499295499385488,0.0015644464315236108,-0.006073861304619855,0.0015362985513432583,-0.005886641000887704,0.0014239100262592888,-0.00491206374525004,0.001289355430325226,-0.003276524269312954,0.0011946345690212181,-0.0012331135622136663,0.0011803208182236764,0.0008877485191537711,0.0012478832882260988,0.0027431655784088092,0.0013545770235801606,0.0040463217584858924,0.001426726153927496,0.004624813223160698,0.0013891607662353635,0.004455428866350128,0.001199722188527592,0.0036669490265971725,0.0008737348348725417,0.00251079729582626,0.0004871807050020378,0.001307534388094306,0.0001568570496827544,0.00038162128634441027,5.734580073033511e-06,-2.6796943131996846e-06
13,1.0060077758446426,54307492.90062487,-1944.8567757081692,396.38450967445135,2.9199957915733923,0.2906269101587039,0.03368787097862926,0.009778962004359496,2.9953945458358304,1108.7294274537726,10.0,10.0,1000.0,10.0,10.0,1000.0,19.125194701235763,-6.1437605222817605e-06,-1.940915669458643e-06,0.00015933443004113672,-0.0004686345688366896,0.0005309587695510113,-0.0016316451982328671,0.0009725261506525452,-0.003219127663931026,0.0013666219630693163,-0.004862279239788877,0.001636036032665686,-0.0061744496014298905,0.001750059470324863,-0.006831834631020951,0.0017211602441934626,-0.006638464341571736,0.0015964027120850598,-0.005563648512420116,0.0014439501886692376,-0.003746489557321611,0.0013334221869196546,-0.0014680376276288883,0.0013119708743499934,0.0009034125951713621,0.0013835160249048406,0.0029844498273159884,0.0015017312447876713,0.004453179476311214,0.0015841521548768292,0.005114845759405151,0.0015453636475706428,0.004941295536984311,0.001336599464332225,0.00407451864208925,0.0009740876207094996,0.0027939965826901335,0.0005428748293817142,0.0014570095978486163,0.00017414714681336784,0.0004260006669334959,5.783405701329677e-06,-2.7433746972566996e-06
14,1.0060077758446426,54307492.90062487,-1944.8567757081692,396.38450967445135,2.9199957915733923,0.2906269101587039,0.03368787097862926,0.009778962004359496,2.9953945458358304,1108.7294274537726,10.0,10.0,1000.0,10.0,10.0,1000.0,19.27198581786366,-6.218345839972061e-06,-1.915920354035639e-06,0.00017670579626819297,-0.0005174984015057384,0.0005865153014232351,-0.0018046308086504545,0.001073136050605162,-0.0035647987313908117,0.001507943457915958,-0.005391096915018766,0.0018066537326663426,-0.006855767691500377,0.001935292902817325,-0.0075996135875108254,0.0019062181430932947,-0.007404062877695995,0.0017693721197464527,-0.006232812109117732,0.0015986950461780878,-0.004237133983034713,0.00147142618263136,-0.0017255425499105405,0.0014416374203414855,0.000896133791359787,0.0015161983596150175,0.003204049043068156,0.0016455792192651183,0.004841012041570409,0.0017385894658885307,0.0055894681540414985,0.0016993273464021986,0.005415778765160708,0.0014720637654460512,0.004474614984282136,0.001073677005840306,0.003073058351764587,0.0005982177713061223,0.0016047625801397102,0.00019132249594560103,0.00046999666919417493,5.820614543574369e-06,-2.80172253828542e-06
15,1.0060077758446426,54307492.90062487,-1944.8567757081692,396.38450967445135,2.9199957915733923,0.2906269101587039,0.03368787097862926,0.009778962004359496,2.9953945458358304,1108.7294274537726,10.0,10.0,1000.0,10.0,10.0,1000.0,19.386846678697623,-6.283932191295552e-06,-1.8871388393959103e-06,0.00019399734369638093,-0.0005662819315120701,0.0006417099928999317,-0.0019777508598482984,0.0011729870487618768,-0.003911557600827965,0.0016482197963567794,-0.005922919157461873,0.001976283218468255,-0.007542966703156766,0.0021199767563735658,-0.00837689764589769,0.0020913044274663358,-0.008183157739064388,0.0019426778512955443,-0.006919335364052275,0.0017534886087271898,-0.004748330190450238,0.001608575224317795,-0.0020056125723346007,0.0015692545624861266,0.0008658157977967334,0.001645844155037951,0.0034017759703496545,0.0017860033815284752,0.005209578018966792,0.0018898989045340855,0.006048425894639185,0.00185091563658202,0.005878646412904496,0.0016060071474029035,0.004867053116790342,0.0011724367020627948,0.0033478575562441507,0.0006531818576593825,0.0017507277314363333,0.0002083793983212836,0.0005135889506950502,5.849023875098701e-06,-2.8558392277369194e-06
16,1.0060077758446426,54307492.90062487,-1944.8567757081692,396.38450967445135,2.9199957915733923,0.2906269101587039,0.03368787097862926,0.009778962004359496,2.9953945458358304,1108.7294274537726,10.0,10.0,1000.0,10.0,10.0,1000.0,19.476267459097862,-6.342513138893456e-06,-1.8553916000905144e-06,0.00021119780624678702,-0.0006149632547575499,0.0006965119721788458,-0.00215092461909147,0.0012720185452246532,-0.0042592424092674115,0.0017873519021665196,-0.00645750009566175,0.0021447860697318406,-0.008235733012160304,0.0023039460495294685,-0.009163335374736107,0.002276252479756417,-0.00897539651150823,0.002116178477616818,-0.007622903383622661,0.0019082296515853987,-0.005279836591504017,0.0017448029115511197,-0.0023081060162051005,0.0016947677749085388,0.0008124907466721067,0.0017723838401691938,0.0035775645747017134,0.0019229044239778108,0.005558741695063906,0.0020379572897107853,0.0064915492849737366,0.0020000034706696094,0.006329728166209627,0.0017383276026299358,0.005251687971359081,0.0012703023627415818,0.0036182907306995357,0.0007077391536400992,0.001894848286256039,0.00022531312889299162,0.000556759359232979,5.870643532522746e-06,-2.906508094137423e-06
