时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,5.380728549875592,143850553.6251024,16016.122678377418,1074.8693809715587,2.5449802871282445,0.19659899132728867,0.0913995006938915,0.009526239175040734,2.5849184043598665,945.637664474444,8.670907715143517,8.950055759289619,72.4482400854735,6.6388856629214725,5.270452458882858,690.4669475218651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5.380728549875592,143850553.6251024,16016.122678377418,1074.8693809715587,2.5449802871282445,0.19659899132728867,0.0913995006938915,0.009526239175040734,2.5849184043598665,945.637664474444,8.670907715143517,8.950055759289619,72.4482400854735,6.6388856629214725,5.270452458882858,690.4669475218651,1.5086527797688232,-8.068824832733649e-07,-2.3524555254823485e-07,9.346144732663618e-07,-9.888763712472473e-06,4.744364170031783e-06,-2.5997371009497974e-05,8.76721065232439e-06,-4.5192447869036545e-05,1.2055288845955191e-05,-6.35694995036891e-05,1.4046341324128118e-05,-7.747099335750582e-05,1.461692206444899e-05,-8.410781062323485e-05,1.4029370669196231e-05,-8.202202975281314e-05,1.2801485744331293e-05,-7.13063205365098e-05,1.1530732846329312e-05,-5.354562335382856e-05,1.071195516104347e-05,-3.149485334400288e-05,1.0591376729707055e-05,-8.552585969928325e-06,1.1096190877510858e-05,1.187334010861487e-05,1.1863920992247395e-05,2.699159523594242e-05,1.2368953795879961e-05,3.512749261323837e-05,1.2112044005392117e-05,3.6002495069870114e-05,1.0814105241426949e-05,3.073986925118513e-05,8.549305458650934e-06,2.1595726631238946e-05,5.769023932593732e-06,1.1468698261374905e-05,3.2090683182365466e-06,3.279252162812077e-06,1.0548728160388103e-06,-4.1548476779021005e-07
3,5.380728549875592,143850553.6251024,16016.122678377418,1074.8693809715587,2.5449802871282445,0.19659899132728867,0.0913995006938915,0.009526239175040734,2.5849184043598665,945.637664474444,8.670907715143517,8.950055759289619,72.4482400854735,6.6388856629214725,5.270452458882858,690.4669475218651,3.3626972580757,-1.7998586575217856e-06,-5.236103854162979e-07,2.627723151918593e-06,-2.393472811391523e-05,1.1990084419741743e-05,-6.322680017805902e-05,2.1890228550047593e-05,-0.00011014012032645618,2.9993045995092916e-05,-0.0001550442024729334,3.4906430085989806e-05,-0.0001888658495804486,3.6319571589022386e-05,-0.0002046628231714669,3.487715353141364e-05,-0.00019879816566558976,3.186002957556497e-05,-0.00017150301644208626,2.8750682498020312e-05,-0.00012674118917086188,2.6779240930492725e-05,-7.140954212662935e-05,2.655654087474943e-05,-1.402373592309968e-05,2.7893939736465624e-05,3.687072893554661e-05,2.9873225732308873e-05,7.426981032920599e-05,3.1162835412497905e-05,9.397075013423875e-05,3.04958985932331e-05,9.528140254582095e-05,2.7162263236963096e-05,8.104474721548204e-05,2.1349696913494028e-05,5.697635868194155e-05,1.4211221783721178e-05,3.0448028573907682e-05,7.637370323673072e-06,8.946462825866852e-06,2.351701890295794e-06,-9.288890763328946e-07
4,5.380728549875592,143850553.6251024,16016.122678377418,1074.8693809715587,2.5449802871282445,0.19659899132728867,0.0913995006938915,0.009526239175040734,2.5849184043598665,945.637664474444,8.670907715143517,8.950055759289619,72.4482400854735,6.6388856629214725,5.270452458882858,690.4669475218651,5.5131746759875675,-2.9538181156041557e-06,-8.565417215774846e-07,5.698008253106564e-06,-4.407359573369986e-05,2.3255683086894903e-05,-0.00011709701624581527,4.184405952503036e-05,-0.000204461490776093,5.707718311949336e-05,-0.00028803479947916316,6.632748541417807e-05,-0.0003506270830252986,6.899793185955128e-05,-0.00037903797694065406,6.629564060877036e-05,-0.00036633744648499324,6.063737765099169e-05,-0.0003129727520795593,5.483206853305719e-05,-0.00022653272195158257,5.121792458070981e-05,-0.00012023283421420243,5.095575218619108e-05,-1.0405695551929087e-05,5.367293329887655e-05,8.654482209939453e-05,5.75872643254799e-05,0.0001571653684198392,6.011108622516242e-05,0.00019338552905419552,5.877688049651079e-05,0.0001938992005394451,5.2197925945312004e-05,0.0001642340849170515,4.074149043177267e-05,0.0001155034655791647,2.6673012424979475e-05,6.209466041534079e-05,1.3724972391536265e-05,1.873464044611927e-05,3.856128601207114e-06,-1.5297944587332605e-06
5,5.380728549875592,143850553.6251024,16016.122678377418,1074.8693809715587,2.5449802871282445,0.19659899132728867,0.0913995006938915,0.009526239175040734,2.5849184043598665,945.637664474444,8.670907715143517,8.950055759289619,72.4482400854735,6.6388856629214725,5.270452458882858,690.4669475218651,7.60396664848315,-4.078661526145834e-06,-1.1776359765937928e-06,1.0508594904368902e-05,-7.000630540490031e-05,3.890766755212268e-05,-0.00018706395298096636,6.899106099490694e-05,-0.0003273400394602313,9.3666281892664e-05,-0.000461400912455926,0.00010866937450080107,-0.0005611896122283568,0.00011301633623269973,-0.000605093691504149,0.00010865094292562755,-0.0005817513272904254,9.949551024652637e-05,-0.0004919203531535956,9.013226104407084e-05,-0.00034812634160372673,8.439407297204677e-05,-0.0001721905455739569,8.419070331730749e-05,8.89746787259279e-06,8.889823370754874e-05,0.0001680097702314239,9.554165656827207e-05,0.0002828877533902731,9.978783354799209e-05,0.00034018966901787573,9.749277180764143e-05,0.0003378078835196289,8.632268902380579e-05,0.0002850174871238731,6.690051493627863e-05,0.00020044290547324576,4.3065505161981394e-05,0.00010826103217212354,2.115940989891307e-05,3.337118000725942e-05,5.31832920397423e-06,-2.122533126969706e-06
6,5.380728549875592,143850553.6251024,16016.122678377418,1074.8693809715587,2.5449802871282445,0.19659899132728867,0.0913995006938915,0.009526239175040734,2.5849184043598665,945.637664474444,8.670907715143517,8.950055759289619,72.4482400854735,6.6388856629214725,5.270452458882858,690.4669475218651,9.533090588336222,-5.120169158156911e-06,-1.4698775252903483e-06,1.772517846199525e-05,-0.00010362071266233362,6.047266502470739e-05,-0.00027838662146953576,0.00010575126929338383,-0.0004880704431780529,0.00014290969697494405,-0.0006882257625106531,0.0001655324839448813,-0.0008362972674321226,0.00017211755393751126,-0.0008994245521831739,0.00016556348040220684,-0.0008603214188995154,0.00015176981346961722,-0.000720192067904791,0.00013767411113004563,-0.000498241708697133,0.00012912184888692408,-0.0002279292566235911,0.0001290535940716805,4.933493567053091e-05,0.00013652379493723268,0.0002919007721799469,0.0001469363978012555,0.0004655836820019381,0.00015355649526109952,0.0005499177565137749,0.00014991713089679813,0.0005417611264156813,0.0001323678702937467,0.0004555670657975411,0.00010189116837357613,0.0003202940533216255,6.452658923018094e-05,0.00017359584040444918,3.0254987920519437e-05,5.441748729988791e-05,6.665844687692593e-06,-2.6818446922830994e-06
7,5.380728549875592,143850553.6251024,16016.122678377418,1074.8693809715587,2.5449802871282445,0.19659899132728867,0.0913995006938915,0.009526239175040734,2.5849184043598665,945.637664474444,8.670907715143517,8.950055759289619,72.4482400854735,6.6388856629214725,5.270452458882858,690.4669475218651,11.809199381627566,-6.356951199295072e-06,-1.8044477734283636e-06,3.319109234391528e-05,-0.00016762159397200956,0.00010368048001828637,-0.0004533297821147776,0.00017826778328937433,-0.000796535916334251,0.000239509009674439,-0.001123655995744581,0.00027689598595531114,-0.0013639193866954084,0.0002879100274489465,-0.0014625438973277325,0.0002772051876542882,-0.0013906943329638926,0.000254405435482882,-0.001150474588128155,0.00023097733335436242,-0.0007741983385154447,0.00021673964322792245,-0.0003181728734709088,0.00021676941017517663,0.00014784677599475254,0.00022960411610990628,0.0005536323521774454,0.0002474913618801868,0.0008415127882755655,0.0002588903973993096,0.000977007548937771,0.00025262088487948225,0.0009550079907969308,0.00022233493574405416,0.0008003108130800568,0.00016973214522592197,0.0005624451801315642,0.0001053181109698998,0.00030588121113528437,4.642643149373534e-05,9.753820557694055e-05,8.250434619940881e-06,-3.371603702746126e-06
8,5.380728549875592,143850553.6251024,16016.122678377418,1074.8693809715587,2.5449802871282445,0.19659899132728867,0.0913995006938915,0.009526239175040734,2.5849184043598665,945.637664474444,8.670907715143517,8.950055759289619,72.4482400854735,6.6388856629214725,5.270452458882858,690.4669475218651,13.149585253151011,-7.093586198746285e-06,-1.9902250216743298e-06,4.98374606846704e-05,-0.0002318703870768571,0.00014833979942222903,-0.0006297224389766091,0.0002524534005635652,-0.0011080760100358293,0.00033799066227690403,-0.0015638115847572377,0.00039039779764259803,-0.001897495404996755,0.000406097663069531,-0.0020320300439553057,0.00039136911792466637,-0.0019267741853772422,0.0003594284798581083,-0.0015846631740255761,0.00032624873348804787,-0.0010512622058820866,0.00030575739904793666,-0.00040607386716989916,0.00030540229353939253,0.00025229376528298326,0.00032339969069530177,0.0008244484674376492,0.0003488704511238985,0.0012286903544758401,0.0003653012530503479,0.0014161561988776917,0.0003565292113406116,0.0013796739740033895,0.00031330023275871413,0.001154586517161392,0.0002380132264979471,0.0008114497578738439,0.00014583115063333032,0.00044216525887998256,6.17358141808203e-05,0.0001422927365548667,9.177662221002058e-06,-3.809254043875475e-06
9,5.380728549875592,143850553.6251024,16016.122678377418,1074.8693809715587,2.5449802871282445,0.19659899132728867,0.0913995006938915,0.009526239175040734,2.5849184043598665,945.637664474444,8.670907715143517,8.950055759289619,72.4482400854735,6.6388856629214725,5.270452458882858,690.4669475218651,14.016696622039074,-7.577421239170098e-06,-2.1007820307587146e-06,6.698204906102234e-05,-0.000296069561448851,0.00019344682399244584,-0.0008064811038584991,0.000326992506515698,-0.0014207757027954611,0.0004368105036994378,-0.0020062506531960496,0.0005043874004322277,-0.002434685865406395,0.000525044955880843,-0.0026064997497437367,0.0005065178629185477,-0.0024690555090338662,0.0004654189946890564,-0.0020259346657216532,0.00042213660744081183,-0.001335802126630612,0.00039479370575869644,-0.0005012727043871276,0.00039343555328978213,0.00035017570934298446,0.00041619581603209477,0.0010898622196987284,0.00044918300682334,0.0016118541642388983,0.00047084525423326965,0.0018526806693124388,0.0004598487274384875,0.0018029200620008916,0.0004038511357140588,0.0015083466932050039,0.00030588530035711336,0.001060501759616356,0.00018584188363875682,0.0005787388674994026,7.647729754755031e-05,0.0001873380510748718,9.772968511342e-06,-4.118471428661818e-06
10,5.380728549875592,143850553.6251024,16016.122678377418,1074.8693809715587,2.5449802871282445,0.19659899132728867,0.0913995006938915,0.009526239175040734,2.5849184043598665,945.637664474444,8.670907715143517,8.950055759289619,72.4482400854735,6.6388856629214725,5.270452458882858,690.4669475218651,14.618569007101579,-7.920001341971509e-06,-2.1691354280435857e-06,8.438350101486928e-05,-0.0003603160006894186,0.00023872320839438536,-0.0009837788812456733,0.00040158426151273104,-0.001734982959936857,0.0005356646472286984,-0.0024516381554054775,0.0006185774479739417,-0.0029766356245218813,0.0006444962945684958,-0.0031877324038693537,0.000622432802307537,-0.003020067680884127,0.0005721861212800628,-0.0024776164887942353,0.0005184539397359865,-0.001631902839096831,0.00048363338021296536,-0.0006084716433522643,0.0004805984543980488,0.0004364061402253642,0.0005076577786222754,0.0013447056326463898,0.0005480501211454305,0.0019860861405155746,0.0005751461789769881,0.0022822230022246847,0.0005622674750617903,0.0022211883162809812,0.0004937965875282342,0.0018589638795328204,0.00037331000421544935,0.0013079031723114065,0.0002254583995525186,0.0007147011537542828,9.086009346232273e-05,0.00023233143444300998,1.0182920081912384e-05,-4.3553524744240865e-06
