时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.10811687580261789,4376158.171714164,5.684341886080802e-14,0.8950842572490847,0.5992727314635344,0.11253706060875597,0.01604885606219176,0.0015323013665196994,0.6516190206215337,1440.8152573327877,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.10811687580261789,4376158.171714164,5.684341886080802e-14,0.8950842572490847,0.5992727314635344,0.11253706060875597,0.01604885606219176,0.0015323013665196994,0.6516190206215337,1440.8152573327877,10.0,10.0,0.0,10.0,10.0,0.0,18.80127671966807,-4.1654881047075167e-07,-3.1278734298356924e-07,-5.33785645418097e-05,7.147756406975558e-05,-9.759749043871677e-05,0.00013809166077131846,-0.00012973042855857336,0.0001921766082757796,-0.00014838800795431676,0.00022774216113430245,-0.00015443415380949116,0.00024061633612591435,-0.00015065376648281688,0.00022893418750642757,-0.00014110728620305514,0.00019339234100918822,-0.00013029217578114456,0.0001372548198751484,-0.00012223267646771244,6.606412316654502e-05,-0.00011966396709007069,-1.2931381741009875e-05,-0.00012347487931842264,-9.158313812219919e-05,-0.00013253214630230408,-0.00016177370235365262,-0.00014392425946082457,-0.0002163345243600565,-0.00015356240325259347,-0.0002498178013989488,-0.00015700094453797666,-0.00025903454957349,-0.00015031153053021525,-0.0002433224549268936,-0.00013086487419866928,-0.00020455792481891534,-9.790381128381751e-05,-0.0001469169329791719,-5.284819429736497e-05,-7.645385232324934e-05,4.1680091477022787e-07,-3.1230884699763955e-07
3,0.10811687580261789,4376158.171714164,5.684341886080802e-14,0.8950842572490847,0.5992727314635344,0.11253706060875597,0.01604885606219176,0.0015323013665196994,0.6516190206215337,1440.8152573327877,10.0,10.0,0.0,10.0,10.0,0.0,44.28073472203059,-9.80981622958765e-07,-7.375601043791943e-07,-0.00022708889609726415,0.0003060368337997001,-0.0004164785687216881,0.0005908086946303209,-0.0005542040952634156,0.0008226303580480185,-0.000634205775633554,0.0009757665046455226,-0.0006601187850420059,0.0010320833211194787,-0.0006438781812736084,0.0009832437606726288,-0.0006029524517729036,0.0008319405713261743,-0.0005566995388300867,0.0005920009427486147,-0.0005224088316078193,0.00028717911286507756,-0.0005117638906891432,-5.133209129209914e-05,-0.0005284530865491308,-0.00038842968973704355,-0.0005674605366172492,-0.0006891766753223917,-0.0006161852326678263,-0.0009227956468187959,-0.000657088983930406,-0.0010659939941198068,-0.0006712495682221586,-0.001105243997048157,-0.0006420885769514951,-0.0010378833570126068,-0.0005586432104244583,-0.0008721038678443804,-0.0004179217412159562,-0.0006258965955209352,-0.00022608373622617098,-0.0003251819717648358,9.82036395916335e-07,-7.346612017799522e-07
4,0.10811687580261789,4376158.171714164,5.684341886080802e-14,0.8950842572490847,0.5992727314635344,0.11253706060875597,0.01604885606219176,0.0015323013665196994,0.6516190206215337,1440.8152573327877,10.0,10.0,0.0,10.0,10.0,0.0,57.964383968606654,-1.284062048823021e-06,-9.67468653972346e-07,-0.0005270366485145206,0.0007079786089521736,-0.0009680013084051695,0.001366268252498915,-0.0012883370862748296,0.0019026832552228668,-0.0014737892181836318,0.0022571396898499853,-0.0015329996702520157,0.002386883529371296,-0.0014942030401103392,0.002271873048321531,-0.0013986147597417915,0.001917953936154765,-0.0012917002471927745,0.0013572517219364504,-0.0012137630204954004,0.0006453545059210848,-0.0011916408068505238,-0.00014463241455240318,-0.0012332405167640003,-0.0009305100851553742,-0.0013261205840141225,-0.0016306457517212753,-0.0014403774473385148,-0.00217333493185857,-0.0015350288472894213,-0.0025044959882853,-0.0015663535241564914,-0.0025928672981929313,-0.0014964577010940477,-0.0024324700451089686,-0.0013006288224767279,-0.002042526740713976,-0.0009725167062078794,-0.0014650445148756944,-0.0005266023177654204,-0.0007604694519628625,1.2864862161714908e-06,-9.596564163506566e-07
5,0.10811687580261789,4376158.171714164,5.684341886080802e-14,0.8950842572490847,0.5992727314635344,0.11253706060875597,0.01604885606219176,0.0015323013665196994,0.6516190206215337,1440.8152573327877,10.0,10.0,0.0,10.0,10.0,0.0,63.30493330709659,-1.402547793003915e-06,-1.0587678391107585e-06,-0.0008270725564479737,0.0011032507820665327,-0.0015196760143074929,0.0021287818532874044,-0.0020219123297987433,0.0029643665166593433,-0.0023113072612797104,0.0035154341878952887,-0.0024019353706307795,0.0037142524178063016,-0.0023390541518631333,0.003528737006996075,-0.0021883678546171545,0.0029677823850132973,-0.002021905943531895,0.0020820168944184285,-0.0019029543084940115,0.0009592978234077791,-0.0018729634442060414,-0.0002848709294013195,-0.0019431792059241156,-0.001520839864386028,-0.0020928146022643522,-0.0026201518338351145,-0.0022740133006841985,-0.0034702429955726084,-0.002422173121775265,-0.003986387546315595,-0.0024690994441582,-0.004119682765531512,-0.0023562549735521346,-0.003860815242980016,-0.002045915782673554,-0.003239954357260137,-0.001528882404169457,-0.0023231082930997185,-0.0008280282547965376,-0.0012054410039885972,1.406336901995124e-06,-1.0458354476672222e-06
6,0.10811687580261789,4376158.171714164,5.684341886080802e-14,0.8950842572490847,0.5992727314635344,0.11253706060875597,0.01604885606219176,0.0015323013665196994,0.6516190206215337,1440.8152573327877,10.0,10.0,0.0,10.0,10.0,0.0,66.12475950213484,-1.4654901305479668e-06,-1.1081686384462656e-06,-0.0011259566054497596,0.0014899252405047901,-0.002068984726853932,0.0028746776586189723,-0.0027514188932743,0.004002435409155114,-0.0031426072229630685,0.004744161259438576,-0.003262495080321911,0.0050069381978261815,-0.0031740406011698187,0.00474642397567696,-0.0029680796246148804,0.003974517869070061,-0.0027435295098960726,0.002760530365065457,-0.002586491516482872,0.001224901099725229,-0.0025523858937163343,-0.00047418898041652716,-0.0026548786390599858,-0.0021595431667492874,-0.002863950856912018,-0.003656009042846175,-0.0031132362154645933,-0.004810439631236875,-0.003314459911804331,-0.005507736500077608,-0.0033753985496522243,-0.005681484782658663,-0.003217629495704789,-0.005318975304653913,-0.0027911940755228574,-0.004461142225276811,-0.002084537714647361,-0.0031978483889951678,-0.0011289387376186765,-0.0016590302332969407,1.4706372482440638e-06,-1.0900712154740928e-06
7,0.10811687580261789,4376158.171714164,5.684341886080802e-14,0.8950842572490847,0.5992727314635344,0.11253706060875597,0.01604885606219176,0.0015323013665196994,0.6516190206215337,1440.8152573327877,10.0,10.0,0.0,10.0,10.0,0.0,67.8506132518729,-1.504515041542867e-06,-1.1393693558962087e-06,-0.0014233297572767759,0.001867735159322859,-0.002615203454619859,0.003603443997361785,-0.0034758493060864713,0.005016132775854103,-0.003966498745114851,0.005942340721629145,-0.004113408481253293,0.006263789063192954,-0.003997901578014116,0.0059236940446345384,-0.0037365603827419886,0.004936942730391249,-0.0034554761756290385,0.0033917179507477278,-0.003263359235247076,0.0014413405439846437,-0.0032289271118668777,-0.0007130933009870441,-0.003367337230908895,-0.0028467990441752035,-0.00363846469208901,-0.004738112696323001,-0.003956905149571149,-0.006193617533439157,-0.004210694111880285,-0.007068126539185072,-0.004284056030399611,-0.007277833118032144,-0.004079463173149822,-0.0068065514717061465,-0.003535508337461266,-0.005705777484033518,-0.002638771965605301,-0.004089063557491837,-0.0014289327119130489,-0.0021211572498476827,1.511012112954993e-06,-1.1161028750166433e-06
8,0.10811687580261789,4376158.171714164,5.684341886080802e-14,0.8950842572490847,0.5992727314635344,0.11253706060875597,0.01604885606219176,0.0015323013665196994,0.6516190206215337,1440.8152573327877,10.0,10.0,0.0,10.0,10.0,0.0,69.0005116542269,-1.5311063862842921e-06,-1.160972841572479e-06,-0.0017188966847636218,0.0022365958223979367,-0.0031577615661718145,0.004314911371929731,-0.004194424719675976,0.0060051957782581555,-0.004782074253036112,0.0071096166159359256,-0.004953716780035039,0.0074843692065964034,-0.004809691136396063,0.007060062500193067,-0.004492918551982011,0.0058545724564242965,-0.004156921834684453,0.00397515522044858,-0.003932785538151845,0.0016083071604242466,-0.00390183178163638,-0.0010017436885577213,-0.004079775286047547,-0.00358261614442223,-0.004415521832882121,-0.005866348086181071,-0.004804123399061085,-0.007619583331862898,-0.0051099350404579845,-0.008667331166618669,-0.0051941293367114205,-0.008908503495817427,-0.004940871150275836,-0.008323344818065848,-0.0042781006293109115,-0.006973701899773071,-0.003191023389926409,-0.004996647973055787,-0.0017277023563590226,-0.002591776294406561,1.5389439549836757e-06,-1.1325511807051347e-06
9,0.10811687580261789,4376158.171714164,5.684341886080802e-14,0.8950842572490847,0.5992727314635344,0.11253706060875597,0.01604885606219176,0.0015323013665196994,0.6516190206215337,1440.8152573327877,10.0,10.0,0.0,10.0,10.0,0.0,69.80791997282267,-1.5504405019526942e-06,-1.176855052176166e-06,-0.0020123719733430123,0.0025964742531740807,-0.003696118530537246,0.005009006778507213,-0.0049064155251844245,0.006969501283565162,-0.005588491678883635,0.008245811480596697,-0.005782537894819872,0.008668452371752894,-0.005608544562178326,0.008155274047948444,-0.005236341347205153,0.006727157897298407,-0.00484711313902732,0.004510643897804261,-0.00459405835329072,0.001725694841472253,-0.0045703940183332336,-0.001340130730789242,-0.004791455275774914,-0.004366872286352671,-0.005194327161204172,-0.007040506294246315,-0.005654033882323267,-0.009088078902593902,-0.006011283430965834,-0.010305078483928701,-0.006104718071030433,-0.010573235806116865,-0.00580100874711194,-0.009869123499646176,-0.005018248047510165,-0.008264725264655408,-0.003740757751932064,-0.0059204673318401365,-0.00202495888099225,-0.003070821602701977,1.5596075803153847e-06,-1.1433029791800386e-06
10,0.10811687580261789,4376158.171714164,5.684341886080802e-14,0.8950842572490847,0.5992727314635344,0.11253706060875597,0.01604885606219176,0.0015323013665196994,0.6516190206215337,1440.8152573327877,10.0,10.0,0.0,10.0,10.0,0.0,70.39316396339022,-1.5651861505415334e-06,-1.189012481711183e-06,-0.002303470709695096,0.0029473484423185236,-0.004229739242767798,0.0056856765259088535,-0.005611102407679752,0.007908953783638165,-0.006384923492796031,0.009350783217576762,-0.0065990073558873244,0.009815854053974763,-0.00639361624406013,0.009209119205089097,-0.005966034935617502,0.007554496516821434,-0.005525314236301771,0.0049980292602901455,-0.005246481063000437,0.001793434206841713,-0.005233921564352935,-0.0017282178527824868,-0.005501652336121307,-0.005199428578188365,-0.005974098197662732,-0.008260370828004578,-0.006505792546579196,-0.010598844497194428,-0.006913853111900938,-0.011981096936625092,-0.007014934139758457,-0.012271768738498896,-0.006659041913523246,-0.011443651026075191,-0.005755236198586472,-0.0095786495119008,-0.004287447317475838,-0.00686037839927345,-0.002320418578335572,-0.0035582203712784463,1.5756701590634536e-06,-1.1503629138886503e-06
