时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,3.308796779069906,66121278.20264633,2999.5495026387507,146.80747202932605,1.9640972981490457,0.5733918089004617,0.09244086392750658,0.005226785920382382,2.346719336871618,1574.9170763705622,6.382577405840388,7.1199321820025245,61.91726484523497,2.7595304687430273,6.4758987534345245,444.1934846126702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.308796779069906,66121278.20264633,2999.5495026387507,146.80747202932605,1.9640972981490457,0.5733918089004617,0.09244086392750658,0.005226785920382382,2.346719336871618,1574.9170763705622,6.382577405840388,7.1199321820025245,61.91726484523497,2.7595304687430273,6.4758987534345245,444.1934846126702,19.399428901935675,-1.4617776443890432e-06,-1.488911506103855e-06,4.6102904767645245e-05,-4.775459990304983e-05,0.0001263363802334104,-0.00012787854685945897,0.00021441807414116038,-0.00022510202737257738,0.0002888184408786759,-0.0003175547206303384,0.00033478148733460727,-0.00038350107483265896,0.000347455632096619,-0.00040554979887750733,0.00033232273363178734,-0.0003740853543675597,0.00030277810293972783,-0.0002893287878369728,0.00027532839305575285,-0.000161916520426292,0.0002634530443254432,-1.1492832354614816e-05,0.0002721975187223425,0.00013709955130928857,0.0002960493784102474,0.00025947462181225657,0.0003213250391159513,0.0003373048386301259,0.00033178057338423213,0.0003619410730902512,0.00031485552006236774,0.00033542015755218046,0.00026643320147833803,0.00026929985895341,0.00019292849653963125,0.0001819234680896184,0.00011035533944497744,9.473443851636445e-05,4.033252817443326e-05,2.7987116535675903e-05,3.314239395236438e-06,-1.6963210559009754e-06
3,3.308796779069906,66121278.20264633,2999.5495026387507,146.80747202932605,1.9640972981490457,0.5733918089004617,0.09244086392750658,0.005226785920382382,2.346719336871618,1574.9170763705622,6.382577405840388,7.1199321820025245,61.91726484523497,2.7595304687430273,6.4758987534345245,444.1934846126702,41.20420337242107,-3.155293737923736e-06,-3.1188768905122327e-06,0.0002245982741511161,-0.0002164834064742883,0.0006058647944378433,-0.0005970375495014611,0.0010273739108004384,-0.001063175590939922,0.0013863510291211069,-0.0015096332552048113,0.0016109161449746811,-0.0018303775418358897,0.001675814701675243,-0.0019398928758219646,0.001605364727956744,-0.0017900390318460451,0.0014629828495503331,-0.0013804806581165687,0.001328634162814287,-0.0007620553597042802,0.001268834584214245,-3.0507407147588042e-05,0.00130939319435952,0.0006920138368537635,0.001424102150812203,0.0012852601050045989,0.0015461057737957255,0.00165930760842082,0.0015957360332100499,0.001772848452180162,0.001511665349553631,0.001637793842794484,0.0012744807238804251,0.0013124846397954781,0.0009166456236769887,0.0008871979164014945,0.0005169669415678701,0.000465404549555454,0.0001802097984172764,0.00014345979929711214,6.9175295217920835e-06,-3.695309269612664e-06
4,3.308796779069906,66121278.20264633,2999.5495026387507,146.80747202932605,1.9640972981490457,0.5733918089004617,0.09244086392750658,0.005226785920382382,2.346719336871618,1574.9170763705622,6.382577405840388,7.1199321820025245,61.91726484523497,2.7595304687430273,6.4758987534345245,444.1934846126702,48.23392453203406,-3.7664247381383686e-06,-3.585516039441791e-06,0.0004483263769908522,-0.0004234530451626694,0.0012028172466189001,-0.001181363554741738,0.002039261163631314,-0.0021141641137363133,0.0027550230002505857,-0.0030111700650925573,0.0032070020052977176,-0.0036593092081882534,0.0033426566280197892,-0.003886747397398941,0.0032068465221987076,-0.003596362352982713,0.0029230324795353497,-0.0027861648407242275,0.002650083444952389,-0.0015561339527123909,0.0025227842484358523,-9.657963811014157e-05,0.002596104065403549,0.0013479783368992885,0.002820511831766935,0.0025355680459618543,0.00306323565815389,0.003284884846994973,0.0031639215611135797,0.0035132010752325594,0.0029981639099903885,0.003245742612407903,0.002526104689624782,0.0026008395178941032,0.0018130008817115828,0.00175922136874391,0.0010173516778352015,0.0009256357443242739,0.00034863607353574264,0.0002893731069556786,7.91864272879977e-06,-4.458661163088356e-06
5,3.308796779069906,66121278.20264633,2999.5495026387507,146.80747202932605,1.9640972981490457,0.5733918089004617,0.09244086392750658,0.005226785920382382,2.346719336871618,1574.9170763705622,6.382577405840388,7.1199321820025245,61.91726484523497,2.7595304687430273,6.4758987534345245,444.1934846126702,51.143126418339655,-4.07009644651392e-06,-3.7303714733502486e-06,0.0006724042386579575,-0.0006316539088249878,0.0017991846759269538,-0.0017725442998096001,0.003049905857772185,-0.0031810058568391532,0.004123680819065596,-0.004539014855077234,0.004806866007504726,-0.005524717953230156,0.005018363844637773,-0.005879284923306427,0.00482078216941831,-0.005456581837401708,0.004394951954957113,-0.0042526206214015694,0.003977837029762202,-0.002415417788258211,0.003774254737867023,-0.0002285796800029297,0.0038718150330936834,0.0019413471004144308,0.004200918312034627,0.003729621179752508,0.004564139939621083,0.004861846417820205,0.0047192758550049126,0.0052127548327228455,0.004476316913038497,0.0048209314784226735,0.0037727920528866006,0.0038652361440139472,0.002706112481569309,0.002616619786572537,0.0015152270810460562,0.0013795330579537092,0.0005153144525930561,0.00043423752890431306,8.206325426202774e-06,-4.866753469911185e-06
6,3.308796779069906,66121278.20264633,2999.5495026387507,146.80747202932605,1.9640972981490457,0.5733918089004617,0.09244086392750658,0.005226785920382382,2.346719336871618,1574.9170763705622,6.382577405840388,7.1199321820025245,61.91726484523497,2.7595304687430273,6.4758987534345245,444.1934846126702,52.718826025643025,-4.273583615640977e-06,-3.769735464564841e-06,0.0008965316285098227,-0.0008417393640612987,0.002394541206633942,-0.00237139877739352,0.00405842184009998,-0.004264456730294645,0.005490762875421249,-0.006093637519418203,0.006408309260586835,-0.007426686409349719,0.006700365218164147,-0.00791729266941501,0.006444585364349149,-0.007370516853048812,0.005876406230218305,-0.005780218127141703,0.005309846130546205,-0.003341364831911409,0.005021278455641712,-0.00042935377933410706,0.0051343481688173485,0.002468009554461376,0.00556277996893656,0.004862574521368031,0.006046036265596303,0.006385329003858571,0.006259140481675401,0.00686725556701562,0.005944028148623949,0.006360075416697538,0.00501332001906189,0.005103417548278128,0.003595670503956038,0.003457989009167343,0.0020109548287482533,0.0018262590968530779,0.0006808983574317018,0.0005775070482350553,8.263697167928992e-06,-5.158326811668991e-06
7,3.308796779069906,66121278.20264633,2999.5495026387507,146.80747202932605,1.9640972981490457,0.5733918089004617,0.09244086392750658,0.005226785920382382,2.346719336871618,1574.9170763705622,6.382577405840388,7.1199321820025245,61.91726484523497,2.7595304687430273,6.4758987534345245,444.1934846126702,53.69559683213138,-4.431471139035462e-06,-3.760642275959732e-06,0.0011205968202051752,-0.0010538746282761035,0.0029886329269055534,-0.0029781212074794974,0.0050642455559900745,-0.00536468590194433,0.006855310726238333,-0.007675138368587771,0.00801003189735796,-0.009365219804619004,0.008387183355817198,-0.010000678456991907,0.008076799761061607,-0.009338034816989273,0.007366104180008556,-0.007368928254426814,0.006645005837980845,-0.004334240544827181,0.006262826647911945,-0.0006995905290202306,0.00638258468710262,0.002926887030633261,0.006904783493695448,0.005933152036026591,0.007507452324909073,0.007854105153545538,0.00778205030204755,0.008475701279208618,0.007400059630436118,0.00786245422410845,0.006246854065105976,0.006314909286457727,0.004481295260559156,0.004283027427643402,0.002504512647564377,0.002265616907907701,0.0008455386635621198,0.0007190410257529556,8.218186008957338e-06,-5.396290874372771e-06
8,3.308796779069906,66121278.20264633,2999.5495026387507,146.80747202932605,1.9640972981490457,0.5733918089004617,0.09244086392750658,0.005226785920382382,2.346719336871618,1574.9170763705622,6.382577405840388,7.1199321820025245,61.91726484523497,2.7595304687430273,6.4758987534345245,444.1934846126702,54.350622763047255,-4.564304798313608e-06,-3.7246465528153185e-06,0.001344502964518834,-0.0012680893605405506,0.0035811748656841176,-0.003592690544594468,0.006066772521385785,-0.006481597519827072,0.00821635314207347,-0.00928335087625351,0.009610767416214933,-0.011340093119814853,0.010077413368471901,-0.01212916294134719,0.009716057616314782,-0.011358824313769377,0.008862838860172908,-0.009018487776071312,0.007982288490115669,-0.005393957906661747,0.007497956861426471,-0.0010394776985028205,0.00761551952538964,0.00331752857479977,0.008225757456697867,0.006940765402850032,0.008947060731413521,0.009267608142948554,0.009286646672458827,0.010037646989811319,0.008843204215034057,0.009327757322710992,0.00747250204230707,0.007499497635017006,0.005362481401295139,0.005091580670481695,0.0029957276274731946,0.0026974962271602357,0.0010092514606829714,0.0008587698613718399,8.117975816173124e-06,-5.604349025385153e-06
9,3.308796779069906,66121278.20264633,2999.5495026387507,146.80747202932605,1.9640972981490457,0.5733918089004617,0.09244086392750658,0.005226785920382382,2.346719336871618,1574.9170763705622,6.382577405840388,7.1199321820025245,61.91726484523497,2.7595304687430273,6.4758987534345245,444.1934846126702,54.81168681715892,-4.681511788169685e-06,-3.6717173149955096e-06,0.0015681550563169848,-0.0014843644759175531,0.004171865182556607,-0.004215001443928131,0.007065374754783835,-0.007614983129576239,0.009572901428598159,-0.010917985426918462,0.011209244263130618,-0.013350966285789415,0.011769656485450683,-0.0143023681709309,0.011361002498673688,-0.013432484171561605,0.010365414884962497,-0.010728532742994002,0.009320679015601435,-0.006520297602307111,0.008725746079072642,-0.0014490302063744351,0.008832178529076234,0.0036396885837474083,0.00952457003936684,0.007885042897645718,0.010363571537910274,0.010625473806051954,0.010771591776979365,0.011552815424592773,0.010272247858667231,0.010755795741706447,0.008689335492084393,0.008657044527583592,0.006238667728193743,0.005883535122254934,0.0034843682983332694,0.00312180996887442,0.0011720054233291869,0.0009966448870732203,7.985370118068308e-06,-5.793396958869305e-06
10,3.308796779069906,66121278.20264633,2999.5495026387507,146.80747202932605,1.9640972981490457,0.5733918089004617,0.09244086392750658,0.005226785920382382,2.346719336871618,1574.9170763705622,6.382577405840388,7.1199321820025245,61.91726484523497,2.7595304687430273,6.4758987534345245,444.1934846126702,55.14587803293826,-4.7880037862702015e-06,-3.607119387909696e-06,0.001791458592562035,-0.0017026590309852162,0.004760395702173242,-0.004844906897503783,0.008059416456788976,-0.008764573568401346,0.010923961734640237,-0.012578680849076219,0.012804189475219123,-0.015397428043786916,0.01346251509108124,-0.016519852592328063,0.013010279900893387,-0.01555855570030493,0.011872639268032658,-0.012498639157737076,0.010659167770569767,-0.007712968632938739,0.009945283584037273,-0.0019281765120840295,0.010031608072586492,0.003893217926112972,0.010800114618123195,0.00876571011744944,0.01175571745750055,0.011927427293920937,0.012235560472986302,0.0130210043291192,0.01168597452892108,0.012146437471801939,0.009896409395421716,0.009787449629318105,0.007109267490545875,0.006658798242152661,0.003970177102058665,0.003538481979772422,0.001333749059524604,0.0011326259026717743,7.83216001698957e-06,-5.969128569535342e-06
