时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,2.3524543137232925,140534094.13313422,2473.872913907282,737.13841234762,1.0637111094318927,0.2393741345044464,0.09587815062331867,0.00802642644137439,1.193577725484556,521.155149376845,1.7591071710504362,6.431619792724495,39.79613214714698,3.868760390286215,2.9661993826159216,400.5389991487582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.3524543137232925,140534094.13313422,2473.872913907282,737.13841234762,1.0637111094318927,0.2393741345044464,0.09587815062331867,0.00802642644137439,1.193577725484556,521.155149376845,1.7591071710504362,6.431619792724495,39.79613214714698,3.868760390286215,2.9661993826159216,400.5389991487582,21.399313203324837,-3.297442364333834e-05,-7.977933466068762e-06,-9.273322893609383e-06,-7.076277436373252e-05,4.141303168642052e-05,-0.00014242769982102235,9.169054629750245e-05,-0.00022174305532818365,0.000131974147263523,-0.0002948432177599065,0.00015638048880115747,-0.0003490317692954326,0.00016374500448287766,-0.0003746615291656578,0.0001573163689600497,-0.00036670876700845473,0.00014341816745578817,-0.000325572286668343,0.00012938662662390004,-0.0002570292827316385,0.00012128061462106582,-0.0001712627785462868,0.00012202067611018447,-8.103970719642949e-05,0.00013056653725291607,6.629839278805216e-07,0.00014242393895225452,6.306940314091608e-05,0.00015129037186890372,9.950048949415519e-05,0.00015126385466656986,0.00010837037652335135,0.00013891376984593955,9.316928193264604e-05,0.00011460314635935159,6.150962563975106e-05,8.273218785256709e-05,2.3519300402845604e-05,5.103895747983795e-05,-1.0315860434415978e-05,1.4814703246918006e-05,-1.752727362504698e-05
3,2.3524543137232925,140534094.13313422,2473.872913907282,737.13841234762,1.0637111094318927,0.2393741345044464,0.09587815062331867,0.00802642644137439,1.193577725484556,521.155149376845,1.7591071710504362,6.431619792724495,39.79613214714698,3.868760390286215,2.9661993826159216,400.5389991487582,46.65136974493511,-7.208010274674365e-05,-1.733596750010607e-05,1.97811725102897e-05,-0.00020171402503201178,0.00018381143515696665,-0.0004276834869492077,0.00034629671394911994,-0.0006775603610932056,0.00047557126852606097,-0.0009053370184115593,0.0005522854334523786,-0.0010683958242237884,0.0005728053361267556,-0.001134434759587096,0.0005483314576537584,-0.0010870345837819442,0.0005004328169954067,-0.0009285412970271423,0.0004539844815181204,-0.0006799426501118174,0.00042923827844311993,-0.0003774448375933178,0.00043536008769453466,-6.600476077485534e-05,0.0004676299068562817,0.00020910815723397766,0.0005093560752112129,0.000410850615050583,0.000537817093462368,0.0005170420593138429,0.0005321629688754788,0.0005237358142816916,0.00048076839069288897,0.0004449536661798816,0.0003858864992860483,0.0003091601755123797,0.0002644190470188046,0.0001534836228002144,0.00014504671725441772,1.6403038689311034e-05,3.2194628669185595e-05,-3.8393697792799775e-05
4,2.3524543137232925,140534094.13313422,2473.872913907282,737.13841234762,1.0637111094318927,0.2393741345044464,0.09587815062331867,0.00802642644137439,1.193577725484556,521.155149376845,1.7591071710504362,6.431619792724495,39.79613214714698,3.868760390286215,2.9661993826159216,400.5389991487582,66.96169880639515,-0.00010392257767336751,-2.4637144479702983e-05,0.00017192860530396134,-0.0004606140867735105,0.0005976941585105806,-0.0010355278298607169,0.0010178968045417007,-0.0016695122435474343,0.0013496070243145008,-0.0022401634229308985,0.0015425498903054494,-0.002633562662486911,0.0015876996297519387,-0.0027640253697104144,0.0015152801497077247,-0.002589317260085771,0.001383250714955845,-0.0021185262851954978,0.0012585030164148938,-0.0014116705185056682,0.001195272955503781,-0.0005702546720238277,0.0012172115266650902,0.00028069901569182347,0.0013094581798389492,0.0010162686897333764,0.0014239507883850192,0.0015356239971875368,0.0014962357888361202,0.0017805692170196805,0.001467962431488541,0.0017446135870312401,0.0013078137324563483,0.001471488726128749,0.0010245970576698725,0.001044484078452232,0.0006689344571452888,0.0005696672081917948,0.00032371779674322413,0.00015600710986670677,4.576926562011289e-05,-5.5698387724362396e-05
5,2.3524543137232925,140534094.13313422,2473.872913907282,737.13841234762,1.0637111094318927,0.2393741345044464,0.09587815062331867,0.00802642644137439,1.193577725484556,521.155149376845,1.7591071710504362,6.431619792724495,39.79613214714698,3.868760390286215,2.9661993826159216,400.5389991487582,74.26642333347714,-0.00011571100236390896,-2.7021557110855e-05,0.00035640073344098854,-0.0007104355435378371,0.001047301794236469,-0.0016405409522175264,0.0017278407548246626,-0.0026650268424055715,0.00226379191844819,-0.0035825230893092104,0.002573955230411316,-0.004205760306137589,0.002643505149451106,-0.00439474317441822,0.0025211302247035673,-0.00408157624875493,0.0023010688794634477,-0.0032830759184587282,0.002092986985319675,-0.0020999256109251233,0.001986585936779925,-0.0007011661309616707,0.0020214836402118242,0.0007053987414737697,0.002173255575752571,0.00191244821004801,0.0023616188635263357,0.0027533547117030927,0.002478356742030398,0.0031333756957734357,0.0024253740744188614,0.003044684070676059,0.0021504209209392,0.002563220463203914,0.0016694291415030396,0.0018299629244802244,0.0010690312761008178,0.0010222474787486375,0.0004892092520894564,0.0003210876480826137,5.023261438060924e-05,-6.241522942426557e-05
6,2.3524543137232925,140534094.13313422,2473.872913907282,737.13841234762,1.0637111094318927,0.2393741345044464,0.09587815062331867,0.00802642644137439,1.193577725484556,521.155149376845,1.7591071710504362,6.431619792724495,39.79613214714698,3.868760390286215,2.9661993826159216,400.5389991487582,77.91712083046995,-0.00012185840239579596,-2.8021891087661593e-05,0.000548723714009849,-0.0009582829215514854,0.0015036229111578933,-0.002246811356383543,0.0024432653281701256,-0.003665825311274391,0.0031831488842011557,-0.004934051695968122,0.003611561371610229,-0.0057903057142609385,0.003707216990759667,-0.006040267675273387,0.0035358591973215702,-0.005590616954821672,0.0032267006521494584,-0.004465976205851858,0.0029318090808327247,-0.002807454030273352,0.0027772047711232474,-0.0008512752442087982,0.002820132718403523,0.0011120791367341628,0.0030281890835553342,0.002792582494062871,0.0032895591595395682,0.0039573016264824795,0.003451783649937579,0.004474649491828132,0.00337579356451058,0.004335608712435964,0.0029872437947577714,0.003648716852235693,0.002308777410244446,0.002612766192907443,0.0014634751372728288,0.0014758535267530963,0.0006491304206159628,0.0004900893093060168,5.214385325485807e-05,-6.613649200112696e-05
7,2.3524543137232925,140534094.13313422,2473.872913907282,737.13841234762,1.0637111094318927,0.2393741345044464,0.09587815062331867,0.00802642644137439,1.193577725484556,521.155149376845,1.7591071710504362,6.431619792724495,39.79613214714698,3.868760390286215,2.9661993826159216,400.5389991487582,80.0825143744647,-0.00012571630919182647,-2.84569285475908e-05,0.0007441345464088306,-0.0012069350372471718,0.001962082524837153,-0.0028581363368174713,0.0031599506356072087,-0.004677142849593515,0.00410398128232963,-0.006301839677201084,0.004652305099310304,-0.007396500974328066,0.004776419060801104,-0.007712339712316206,0.004557591144226189,-0.007130667338370114,0.004158589036978757,-0.00568377064898564,0.003773444587361441,-0.0035526872017464196,0.003565373411570664,-0.0010402036315156284,0.0036110350505274167,0.0014808535323800973,0.0038718364227799482,0.0036375523860868817,0.0042053365158498035,0.005130076851127702,0.004414499668403605,0.005789454080978286,0.004318065898220339,0.005605264244164457,0.0038182950378637323,0.004718646116385946,0.0029438758037259685,0.0033860037249754623,0.001854492282197935,0.0019254762675909216,0.0008062908803432856,0.0006592475337104357,5.3022806291692566e-05,-6.862926683813448e-05
8,2.3524543137232925,140534094.13313422,2473.872913907282,737.13841234762,1.0637111094318927,0.2393741345044464,0.09587815062331867,0.00802642644137439,1.193577725484556,521.155149376845,1.7591071710504362,6.431619792724495,39.79613214714698,3.868760390286215,2.9661993826159216,400.5389991487582,81.49626700929649,-0.00012841925761063362,-2.860399639843563e-05,0.0009409473766767069,-0.0014572776681193238,0.0024209434089651144,-0.0034756809107527316,0.0038761503899542656,-0.0057005869973808295,0.00502461047646332,-0.0076881174381648034,0.005694662709410373,-0.00902735681638266,0.005849810493767219,-0.009414849580437637,0.0055852659463378985,-0.008706523577355563,0.005095865621417044,-0.006942108274601669,0.004617109170532958,-0.004341981852898112,0.004350262583079775,-0.0012747629831983281,0.004393222441605908,0.0018048091007101268,0.004703083522228851,0.004440749292707014,0.005107791394830389,0.006265748441321926,0.005365482518212672,0.007072790689077596,0.005251508657925917,0.006849681698846816,0.004643378613669108,0.005770012851866766,0.0035750445515720093,0.004147487080037665,0.0022428156168354165,0.0023695144358112387,0.0009616496108407487,0.0008273265453834278,5.338417237826053e-05,-7.049168226482568e-05
9,2.3524543137232925,140534094.13313422,2473.872913907282,737.13841234762,1.0637111094318927,0.2393741345044464,0.09587815062331867,0.00802642644137439,1.193577725484556,521.155149376845,1.7591071710504362,6.431619792724495,39.79613214714698,3.868760390286215,2.9661993826159216,400.5389991487582,82.47499481149276,-0.0001304568866865227,-2.8582962141941394e-05,0.0011383760567690246,-0.0017096489065172179,0.0028792991846358805,-0.004099842913334191,0.004590835748055698,-0.006736691964654087,0.0059439272904126435,-0.00909365541937495,0.00673752134147347,-0.01068397248525192,0.00692636018181339,-0.01114928715526011,0.006617995099895454,-0.010320093631856335,0.006037794040504896,-0.008243311894775649,0.005462169452946289,-0.005178034197665807,0.005131253273453644,-0.0015579237318449396,0.005166003817937355,0.0020808676176021688,0.005521129411471089,0.0051991975991870915,0.00599605097730227,0.007361643801505384,0.00630389445370345,0.008322424455557252,0.006175456299796327,0.008067106733623023,0.005462114441679641,0.006801505450282096,0.004202230512176654,0.004896261571747958,0.0026286693464238012,0.002807269421486864,0.001115594726612741,0.0009937886709892243,5.3450418926379804e-05,-7.198191500499457e-05
10,2.3524543137232925,140534094.13313422,2473.872913907282,737.13841234762,1.0637111094318927,0.2393741345044464,0.09587815062331867,0.00802642644137439,1.193577725484556,521.155149376845,1.7591071710504362,6.431619792724495,39.79613214714698,3.868760390286215,2.9661993826159216,400.5389991487582,83.17767378313029,-0.000132074944703101,-2.8454150617522027e-05,0.0013359780919235322,-0.0019641815238067187,0.00333656454973,-0.004730731675414163,0.005303257163349516,-0.007785584147753196,0.00686104356603481,-0.010518663489352603,0.007779924077150836,-0.012366707467147835,0.008005133734990094,-0.012916208545944484,0.007654945383149738,-0.011972158708639206,0.00698367694814677,-0.009588405688656446,0.006308039899175355,-0.006062113603908403,0.005907799778683035,-0.0018911654930000464,0.005928788754685809,0.0023074284494219617,0.0063252865518497355,0.0059113079444494815,0.006869341710596356,0.008416319226405972,0.007228952035383704,0.00953714848507836,0.007089228112655593,0.009256596601261593,0.006274028130467352,0.00781242046245113,0.0048252162504312055,0.00563181357089759,0.0030120687084143937,0.0032383661717524477,0.0012682910433496793,0.0011583523417234088,5.333352156637298e-05,-7.322959892232097e-05
